ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
2692;Male;60 years;Percentage/average;2007;21.41;14.0;16.5;18.5;8.0;5.9;7.4;19.4;;
2693;Male;60 years;Percentage/average;2008;21.7;13.3;16.0;18.9;8.9;5.9;8.1;19.9;;
2694;Male;60 years;Percentage/average;2009;21.85;14.5;16.5;19.0;8.5;5.8;7.8;20.2;;
2695;Male;60 years;Percentage/average;2010;22.03;14.1;16.6;18.9;8.5;6.5;8.5;20.0;;
2696;Male;60 years;Percentage/average;2011;22.42;13.7;17.4;19.8;8.1;5.3;7.0;20.5;;
2697;Male;60 years;Percentage/average;2012;22.37;14.0;17.7;19.9;8.9;6.0;7.6;20.5;;
2698;Male;60 years;Percentage/average;2013;22.56;14.2;17.0;19.6;8.4;6.0;7.6;20.4;;
2699;Male;60 years;Percentage/average;2014;22.97;14.2;17.4;19.0;10.0;5.3;7.1;20.9;11.8;19.8
2700;Male;60 years;Percentage/average;2015;22.76;14.5;17.4;19.6;10.4;5.2;7.2;21.2;12.6;20.0
2701;Male;60 years;Percentage/average;2016;22.88;14.8;17.8;19.8;9.9;5.6;7.4;21.3;12.6;20.1
2702;Male;60 years;Percentage/average;2017;23.11;15.0;18.2;20.0;11.0;5.5;7.6;21.7;12.6;20.8
2703;Male;60 years;Percentage/average;2018;23.15;14.5;18.3;20.2;10.2;5.7;7.6;20.8;13.0;20.9
2704;Male;60 years;Percentage/average;2019;23.43;15.1;18.2;20.5;9.8;5.4;7.6;21.6;12.0;21.1
2705;Male;60 years;Percentage/average;2020;22.68;15.7;18.0;19.8;9.6;5.0;7.0;20.9;12.3;20.4
2706;Male;60 years;Percentage/average;2021;22.74;15.5;18.4;20.0;10.1;5.8;7.6;20.5;11.8;21.0
2707;Male;60 years;Percentage/average;2022;23.17;14.5;18.5;20.7;9.8;5.4;7.1;21.2;11.3;20.7
2708;Male;60 years;Percentage/average;2023;23.38;15.4;18.5;20.9;9.9;5.5;7.1;21.5;12.2;21.2
2709;Male;60 years;Standard errors;1981;;0.3;;;;0.3;;;;
2710;Male;60 years;Standard errors;1982;;0.3;;;;0.3;;;;
2711;Male;60 years;Standard errors;1983;;0.4;0.3;;;0.4;;;;
2712;Male;60 years;Standard errors;1984;;0.3;0.3;;;0.3;;;;
2713;Male;60 years;Standard errors;1985;;0.3;0.3;;;0.3;;;;
2714;Male;60 years;Standard errors;1986;;0.4;0.3;;;0.4;;;;
2715;Male;60 years;Standard errors;1987;;0.3;0.3;;;0.3;;;;
2716;Male;60 years;Standard errors;1988;;0.4;0.3;;;0.4;;;;
2717;Male;60 years;Standard errors;1989;;0.3;0.3;;;0.3;;;;
2718;Male;60 years;Standard errors;1990;;0.4;0.4;;;0.4;;;;
2719;Male;60 years;Standard errors;1991;;0.4;0.4;;;0.4;;;;
2720;Male;60 years;Standard errors;1992;;0.3;0.3;;;0.3;;;;
2721;Male;60 years;Standard errors;1993;;0.3;0.3;;;0.3;;;;
2722;Male;60 years;Standard errors;1994;;0.4;0.3;;;0.4;;;;
2723;Male;60 years;Standard errors;1995;;0.3;0.3;;;0.3;;;;
2724;Male;60 years;Standard errors;1996;;0.4;0.3;;;0.4;;;;
2725;Male;60 years;Standard errors;1997;;0.4;0.3;;;0.3;;;;
2726;Male;60 years;Standard errors;1998;;0.4;0.4;;;0.4;;;;
2727;Male;60 years;Standard errors;1999;;0.4;0.3;;;0.4;;;;
2728;Male;60 years;Standard errors;2000;;0.4;0.3;;;0.4;;;;
2729;Male;60 years;Standard errors;2001;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;;
2730;Male;60 years;Standard errors;2002;;0.4;0.4;0.3;0.4;0.4;0.4;0.2;;
2731;Male;60 years;Standard errors;2003;;0.4;0.3;0.3;0.4;0.4;0.4;0.2;;
2732;Male;60 years;Standard errors;2004;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2733;Male;60 years;Standard errors;2005;;0.4;0.3;0.2;0.3;0.3;0.3;0.2;;
2734;Male;60 years;Standard errors;2006;;0.4;0.4;0.3;0.3;0.3;0.4;0.2;;
2735;Male;60 years;Standard errors;2007;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;;
2736;Male;60 years;Standard errors;2008;;0.4;0.4;0.3;0.4;0.3;0.4;0.2;;
2737;Male;60 years;Standard errors;2009;;0.3;0.3;0.3;0.4;0.3;0.4;0.2;;
2738;Male;60 years;Standard errors;2010;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2739;Male;60 years;Standard errors;2011;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2740;Male;60 years;Standard errors;2012;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2741;Male;60 years;Standard errors;2013;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2742;Male;60 years;Standard errors;2014;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.2
2743;Male;60 years;Standard errors;2015;;0.3;0.3;0.3;0.4;0.3;0.3;0.2;0.3;0.2
2744;Male;60 years;Standard errors;2016;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2745;Male;60 years;Standard errors;2017;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2746;Male;60 years;Standard errors;2018;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2747;Male;60 years;Standard errors;2019;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2748;Male;60 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2749;Male;60 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2750;Male;60 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2751;Male;60 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2752;Male;65 years;Percentage/average;1981;14.33;9.2;;;;6.9;;;;
2753;Male;65 years;Percentage/average;1982;14.39;8.3;;;;6.1;;;;
2754;Male;65 years;Percentage/average;1983;14.36;8.8;9.6;;;6.0;;;;
2755;Male;65 years;Percentage/average;1984;14.41;8.3;9.6;;;6.3;;;;
2756;Male;65 years;Percentage/average;1985;14.36;8.9;9.7;;;6.0;;;;
2757;Male;65 years;Percentage/average;1986;14.38;8.8;9.9;;;6.1;;;;
2758;Male;65 years;Percentage/average;1987;14.67;9.0;9.7;;;6.0;;;;
2759;Male;65 years;Percentage/average;1988;14.68;9.0;10.1;;;6.0;;;;
2760;Male;65 years;Percentage/average;1989;14.64;8.7;10.2;;;5.7;;;;
2761;Male;65 years;Percentage/average;1990;14.74;9.7;10.2;;;6.2;;;;
2762;Male;65 years;Percentage/average;1991;14.89;8.4;10.5;;;5.4;;;;
2763;Male;65 years;Percentage/average;1992;15.02;8.5;9.9;;;5.7;;;;
2764;Male;65 years;Percentage/average;1993;14.73;8.5;9.7;;;5.5;;;;
2765;Male;65 years;Percentage/average;1994;15.13;9.1;10.5;;;5.7;;;;
2766;Male;65 years;Percentage/average;1995;15.08;8.7;9.9;;;5.0;;;;
2767;Male;65 years;Percentage/average;1996;15.12;9.5;11.5;;;5.2;;;;
2768;Male;65 years;Percentage/average;1997;15.39;8.9;11.4;;;4.7;;;;
2769;Male;65 years;Percentage/average;1998;15.44;9.1;11.2;;;5.5;;;;
2770;Male;65 years;Percentage/average;1999;15.53;8.8;11.4;;;5.1;;;;
2771;Male;65 years;Percentage/average;2000;15.69;9.3;11.5;;;4.9;;;;
2772;Male;65 years;Percentage/average;2001;15.9;9.2;10.9;12.8;5.0;4.5;5.3;13.5;;
2773;Male;65 years;Percentage/average;2002;15.97;9.6;11.3;13.1;5.2;4.6;5.9;14.5;;
2774;Male;65 years;Percentage/average;2003;16.18;9.8;11.9;13.6;5.7;5.1;6.3;14.4;;
2775;Male;65 years;Percentage/average;2004;16.63;9.7;11.4;13.4;5.5;4.5;5.3;15.0;;
2776;Male;65 years;Percentage/average;2005;16.77;10.4;12.4;14.2;5.7;4.4;5.6;15.5;;
2777;Male;65 years;Percentage/average;2006;17.12;10.3;12.1;14.1;5.4;4.2;5.2;15.4;;
2778;Male;65 years;Percentage/average;2007;17.37;11.2;13.1;14.7;5.7;4.4;5.6;15.6;;
2779;Male;65 years;Percentage/average;2008;17.64;10.4;12.4;15.0;6.5;4.3;6.1;16.1;;
2780;Male;65 years;Percentage/average;2009;17.79;11.6;12.9;15.2;6.0;4.0;5.6;16.4;;
2781;Male;65 years;Percentage/average;2010;17.95;11.3;13.1;15.2;6.4;4.9;6.7;16.2;;
2782;Male;65 years;Percentage/average;2011;18.3;10.9;13.9;16.0;5.9;3.8;5.1;16.9;;
2783;Male;65 years;Percentage/average;2012;18.27;11.2;14.2;16.2;6.9;4.3;5.6;16.8;;
2784;Male;65 years;Percentage/average;2013;18.44;11.5;13.6;15.8;6.4;4.5;5.7;16.6;;
2785;Male;65 years;Percentage/average;2014;18.85;11.5;13.6;15.0;7.6;3.9;5.4;17.4;9.3;16.0
2786;Male;65 years;Percentage/average;2015;18.64;11.7;14.0;15.9;8.0;3.7;5.4;17.5;10.1;16.3
2787;Male;65 years;Percentage/average;2016;18.77;11.8;14.2;16.0;7.5;4.1;5.6;17.5;10.2;16.6
2788;Male;65 years;Percentage/average;2017;18.97;12.2;14.5;16.2;8.4;4.2;5.9;17.9;10.2;17.3
2789;Male;65 years;Percentage/average;2018;19.01;12.0;14.7;16.5;8.0;4.2;5.7;17.3;10.6;17.3
2790;Male;65 years;Percentage/average;2019;19.24;12.4;14.4;16.6;7.4;3.8;5.6;17.8;9.7;17.3
2791;Male;65 years;Percentage/average;2020;18.52;12.7;14.3;15.8;7.3;3.6;5.3;17.2;9.7;16.6
2792;Male;65 years;Percentage/average;2021;18.57;12.6;14.8;16.1;7.7;4.1;5.5;16.9;9.4;17.1
2793;Male;65 years;Percentage/average;2022;18.98;11.6;14.8;16.7;7.3;3.7;5.0;17.6;8.8;17.0
2794;Male;65 years;Percentage/average;2023;19.17;12.5;14.7;16.8;7.4;4.1;5.2;17.7;9.6;17.3
2795;Male;65 years;Standard errors;1981;;0.3;;;;0.3;;;;
2796;Male;65 years;Standard errors;1982;;0.3;;;;0.3;;;;
2797;Male;65 years;Standard errors;1983;;0.4;0.3;;;0.4;;;;
2798;Male;65 years;Standard errors;1984;;0.3;0.3;;;0.3;;;;
2799;Male;65 years;Standard errors;1985;;0.3;0.3;;;0.3;;;;
2800;Male;65 years;Standard errors;1986;;0.4;0.3;;;0.4;;;;
2801;Male;65 years;Standard errors;1987;;0.3;0.3;;;0.3;;;;
2802;Male;65 years;Standard errors;1988;;0.3;0.3;;;0.3;;;;
2803;Male;65 years;Standard errors;1989;;0.3;0.3;;;0.3;;;;
2804;Male;65 years;Standard errors;1990;;0.3;0.3;;;0.3;;;;
2805;Male;65 years;Standard errors;1991;;0.4;0.4;;;0.4;;;;
2806;Male;65 years;Standard errors;1992;;0.3;0.3;;;0.3;;;;
2807;Male;65 years;Standard errors;1993;;0.3;0.3;;;0.3;;;;
2808;Male;65 years;Standard errors;1994;;0.3;0.3;;;0.3;;;;
2809;Male;65 years;Standard errors;1995;;0.3;0.3;;;0.3;;;;
2810;Male;65 years;Standard errors;1996;;0.3;0.3;;;0.3;;;;
2811;Male;65 years;Standard errors;1997;;0.3;0.3;;;0.3;;;;
2812;Male;65 years;Standard errors;1998;;0.4;0.4;;;0.4;;;;
2813;Male;65 years;Standard errors;1999;;0.4;0.3;;;0.4;;;;
2814;Male;65 years;Standard errors;2000;;0.4;0.3;;;0.3;;;;
2815;Male;65 years;Standard errors;2001;;0.4;0.4;0.3;0.3;0.4;0.4;0.3;;
2816;Male;65 years;Standard errors;2002;;0.4;0.4;0.3;0.3;0.3;0.4;0.2;;
2817;Male;65 years;Standard errors;2003;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2818;Male;65 years;Standard errors;2004;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2819;Male;65 years;Standard errors;2005;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2820;Male;65 years;Standard errors;2006;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2821;Male;65 years;Standard errors;2007;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;;
2822;Male;65 years;Standard errors;2008;;0.4;0.4;0.3;0.4;0.3;0.4;0.2;;
2823;Male;65 years;Standard errors;2009;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2824;Male;65 years;Standard errors;2010;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2825;Male;65 years;Standard errors;2011;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2826;Male;65 years;Standard errors;2012;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2827;Male;65 years;Standard errors;2013;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2828;Male;65 years;Standard errors;2014;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.2
2829;Male;65 years;Standard errors;2015;;0.3;0.3;0.3;0.4;0.2;0.3;0.2;0.3;0.2
2830;Male;65 years;Standard errors;2016;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;0.3;0.2
2831;Male;65 years;Standard errors;2017;;0.3;0.3;0.2;0.3;0.2;0.3;0.1;0.3;0.2
2832;Male;65 years;Standard errors;2018;;0.3;0.3;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2833;Male;65 years;Standard errors;2019;;0.3;0.3;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2834;Male;65 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2835;Male;65 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2836;Male;65 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.2;0.2;0.2;0.3;0.2
2837;Male;65 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2838;Male;70 years;Percentage/average;1981;11.26;7.2;;;;5.4;;;;
2839;Male;70 years;Percentage/average;1982;11.35;6.4;;;;5.3;;;;
2840;Male;70 years;Percentage/average;1983;11.25;6.8;6.8;;;4.8;;;;
2841;Male;70 years;Percentage/average;1984;11.3;6.2;6.7;;;5.0;;;;
2842;Male;70 years;Percentage/average;1985;11.27;6.9;7.0;;;4.6;;;;
2843;Male;70 years;Percentage/average;1986;11.27;6.7;7.0;;;4.9;;;;
2844;Male;70 years;Percentage/average;1987;11.53;6.7;6.8;;;4.5;;;;
2845;Male;70 years;Percentage/average;1988;11.52;7.0;7.3;;;5.0;;;;
2846;Male;70 years;Percentage/average;1989;11.4;6.5;7.4;;;4.6;;;;
2847;Male;70 years;Percentage/average;1990;11.52;7.5;7.4;;;5.1;;;;
2848;Male;70 years;Percentage/average;1991;11.59;6.7;7.5;;;4.2;;;;
2849;Male;70 years;Percentage/average;1992;11.7;6.4;6.9;;;4.4;;;;
2850;Male;70 years;Percentage/average;1993;11.44;5.8;6.8;;;4.0;;;;
2851;Male;70 years;Percentage/average;1994;11.81;7.1;7.5;;;4.5;;;;
2852;Male;70 years;Percentage/average;1995;11.75;6.5;7.1;;;3.7;;;;
2853;Male;70 years;Percentage/average;1996;11.76;6.9;8.3;;;4.0;;;;
2854;Male;70 years;Percentage/average;1997;12.01;6.6;8.4;;;3.5;;;;
2855;Male;70 years;Percentage/average;1998;12.07;6.7;8.2;;;4.1;;;;
2856;Male;70 years;Percentage/average;1999;12.11;6.4;8.4;;;3.9;;;;
2857;Male;70 years;Percentage/average;2000;12.22;6.7;8.3;;;3.7;;;;
2858;Male;70 years;Percentage/average;2001;12.38;6.5;7.7;9.3;3.2;3.3;3.7;10.2;;
2859;Male;70 years;Percentage/average;2002;12.42;7.1;8.2;9.8;3.8;3.3;4.2;11.2;;
2860;Male;70 years;Percentage/average;2003;12.59;7.2;8.7;10.2;3.7;3.5;4.5;11.0;;
2861;Male;70 years;Percentage/average;2004;12.99;7.1;8.3;10.0;3.4;3.4;4.1;11.6;;
2862;Male;70 years;Percentage/average;2005;13.1;7.6;9.4;10.9;4.0;3.2;4.0;11.9;;
2863;Male;70 years;Percentage/average;2006;13.39;7.4;9.1;10.9;3.4;2.8;3.6;12.1;;
2864;Male;70 years;Percentage/average;2007;13.63;8.6;10.0;11.2;3.6;3.5;4.3;12.3;;
2865;Male;70 years;Percentage/average;2008;13.87;7.6;9.0;11.3;4.3;2.8;4.2;12.5;;
2866;Male;70 years;Percentage/average;2009;14.03;8.9;9.6;11.7;4.0;2.9;3.9;13.0;;
2867;Male;70 years;Percentage/average;2010;14.21;8.7;9.8;11.7;4.3;3.8;5.1;12.7;;
2868;Male;70 years;Percentage/average;2011;14.48;8.3;10.7;12.6;4.0;2.6;3.5;13.3;;
2869;Male;70 years;Percentage/average;2012;14.45;8.6;10.9;12.6;4.9;3.2;4.0;13.1;;
2870;Male;70 years;Percentage/average;2013;14.62;8.9;10.2;12.2;4.4;3.3;4.2;12.9;;
2871;Male;70 years;Percentage/average;2014;14.98;8.5;9.9;11.3;5.2;2.7;3.8;13.6;6.6;12.2
2872;Male;70 years;Percentage/average;2015;14.78;8.8;10.5;12.3;5.6;2.5;3.9;13.9;7.2;12.6
2873;Male;70 years;Percentage/average;2016;14.9;8.8;10.5;12.2;5.0;2.7;3.8;13.9;7.6;12.9
2874;Male;70 years;Percentage/average;2017;15.07;9.2;10.9;12.4;6.0;2.9;4.2;14.1;7.7;13.5
2875;Male;70 years;Percentage/average;2018;15.13;9.0;11.1;12.7;5.6;2.9;3.9;13.8;7.9;13.6
2876;Male;70 years;Percentage/average;2019;15.32;9.4;10.7;12.7;5.0;2.4;3.8;14.0;7.3;13.5
2877;Male;70 years;Percentage/average;2020;14.64;9.9;10.7;12.1;5.0;2.3;3.8;13.5;7.2;13.1
2878;Male;70 years;Percentage/average;2021;14.71;9.7;11.2;12.4;5.6;3.0;4.0;13.4;7.0;13.4
2879;Male;70 years;Percentage/average;2022;15.07;9.0;11.5;13.0;5.4;2.9;3.8;14.0;6.7;13.4
2880;Male;70 years;Percentage/average;2023;15.26;9.6;11.3;13.1;5.3;3.0;3.9;13.9;7.4;13.8
2881;Male;70 years;Standard errors;1981;;0.3;;;;0.3;;;;
2882;Male;70 years;Standard errors;1982;;0.3;;;;0.3;;;;
2883;Male;70 years;Standard errors;1983;;0.4;0.3;;;0.4;;;;
2884;Male;70 years;Standard errors;1984;;0.3;0.3;;;0.3;;;;
2885;Male;70 years;Standard errors;1985;;0.3;0.3;;;0.3;;;;
2886;Male;70 years;Standard errors;1986;;0.4;0.3;;;0.4;;;;
2887;Male;70 years;Standard errors;1987;;0.3;0.3;;;0.3;;;;
2888;Male;70 years;Standard errors;1988;;0.3;0.3;;;0.3;;;;
2889;Male;70 years;Standard errors;1989;;0.3;0.3;;;0.3;;;;
2890;Male;70 years;Standard errors;1990;;0.3;0.4;;;0.3;;;;
2891;Male;70 years;Standard errors;1991;;0.4;0.4;;;0.3;;;;
2892;Male;70 years;Standard errors;1992;;0.3;0.3;;;0.3;;;;
2893;Male;70 years;Standard errors;1993;;0.3;0.4;;;0.3;;;;
2894;Male;70 years;Standard errors;1994;;0.3;0.3;;;0.3;;;;
2895;Male;70 years;Standard errors;1995;;0.3;0.3;;;0.3;;;;
2896;Male;70 years;Standard errors;1996;;0.3;0.3;;;0.3;;;;
2897;Male;70 years;Standard errors;1997;;0.3;0.3;;;0.3;;;;
2898;Male;70 years;Standard errors;1998;;0.4;0.4;;;0.4;;;;
2899;Male;70 years;Standard errors;1999;;0.4;0.4;;;0.3;;;;
2900;Male;70 years;Standard errors;2000;;0.4;0.3;;;0.3;;;;
2901;Male;70 years;Standard errors;2001;;0.4;0.4;0.3;0.3;0.3;0.3;0.3;;
2902;Male;70 years;Standard errors;2002;;0.4;0.4;0.3;0.3;0.3;0.3;0.2;;
2903;Male;70 years;Standard errors;2003;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2904;Male;70 years;Standard errors;2004;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2905;Male;70 years;Standard errors;2005;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2906;Male;70 years;Standard errors;2006;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2907;Male;70 years;Standard errors;2007;;0.4;0.4;0.3;0.3;0.3;0.4;0.3;;
2908;Male;70 years;Standard errors;2008;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2909;Male;70 years;Standard errors;2009;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2910;Male;70 years;Standard errors;2010;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2911;Male;70 years;Standard errors;2011;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2912;Male;70 years;Standard errors;2012;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2913;Male;70 years;Standard errors;2013;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2914;Male;70 years;Standard errors;2014;;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.3;0.3
2915;Male;70 years;Standard errors;2015;;0.3;0.3;0.3;0.4;0.2;0.3;0.2;0.3;0.2
2916;Male;70 years;Standard errors;2016;;0.3;0.3;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2917;Male;70 years;Standard errors;2017;;0.3;0.3;0.2;0.3;0.2;0.3;0.1;0.3;0.2
2918;Male;70 years;Standard errors;2018;;0.3;0.3;0.2;0.3;0.2;0.3;0.2;0.3;0.2
2919;Male;70 years;Standard errors;2019;;0.3;0.3;0.2;0.3;0.2;0.2;0.2;0.3;0.2
2920;Male;70 years;Standard errors;2020;;0.3;0.2;0.2;0.2;0.2;0.2;0.1;0.3;0.2
2921;Male;70 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.2;0.2;0.2;0.3;0.2
2922;Male;70 years;Standard errors;2022;;0.3;0.2;0.2;0.2;0.2;0.2;0.1;0.3;0.2
2923;Male;70 years;Standard errors;2023;;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2
2924;Male;75 years;Percentage/average;1981;8.71;5.3;;;;3.2;;;;
2925;Male;75 years;Percentage/average;1982;8.74;4.7;;;;3.1;;;;
2926;Male;75 years;Percentage/average;1983;8.66;4.8;4.4;;;2.8;;;;
2927;Male;75 years;Percentage/average;1984;8.69;4.5;4.2;;;3.3;;;;
2928;Male;75 years;Percentage/average;1985;8.61;5.3;4.8;;;3.2;;;;
2929;Male;75 years;Percentage/average;1986;8.63;4.8;4.9;;;3.0;;;;
2930;Male;75 years;Percentage/average;1987;8.84;5.0;4.4;;;2.9;;;;
2931;Male;75 years;Percentage/average;1988;8.84;5.0;4.8;;;3.3;;;;
2932;Male;75 years;Percentage/average;1989;8.68;4.7;4.9;;;2.9;;;;
2933;Male;75 years;Percentage/average;1990;8.8;5.4;5.1;;;3.2;;;;
2934;Male;75 years;Percentage/average;1991;8.83;4.7;4.8;;;2.8;;;;
2935;Male;75 years;Percentage/average;1992;8.95;4.7;4.9;;;2.8;;;;
2936;Male;75 years;Percentage/average;1993;8.64;4.2;4.4;;;2.7;;;;
2937;Male;75 years;Percentage/average;1994;8.96;5.6;5.1;;;3.3;;;;
2938;Male;75 years;Percentage/average;1995;8.89;4.6;4.7;;;2.2;;;;
2939;Male;75 years;Percentage/average;1996;8.89;4.8;6.0;;;2.6;;;;
2940;Male;75 years;Percentage/average;1997;9.1;4.7;5.9;;;2.3;;;;
2941;Male;75 years;Percentage/average;1998;9.13;4.7;5.8;;;3.2;;;;
2942;Male;75 years;Percentage/average;1999;9.13;4.7;5.6;;;2.2;;;;
2943;Male;75 years;Percentage/average;2000;9.21;4.9;6.0;;;2.3;;;;
2944;Male;75 years;Percentage/average;2001;9.37;4.8;5.3;6.4;1.7;2.4;2.7;7.6;;
2945;Male;75 years;Percentage/average;2002;9.37;5.0;5.9;7.3;2.4;2.1;2.7;8.3;;
2946;Male;75 years;Percentage/average;2003;9.47;5.3;6.1;7.2;2.4;2.2;2.9;8.0;;
2947;Male;75 years;Percentage/average;2004;9.86;5.1;5.7;7.1;2.0;2.4;3.0;8.9;;
2948;Male;75 years;Percentage/average;2005;9.87;5.6;6.9;7.8;2.7;2.2;2.9;8.7;;
2949;Male;75 years;Percentage/average;2006;10.13;5.3;6.3;7.9;2.1;1.9;2.6;9.2;;
2950;Male;75 years;Percentage/average;2007;10.3;6.1;7.1;8.2;2.2;2.4;2.9;9.3;;
2951;Male;75 years;Percentage/average;2008;10.47;5.4;6.2;8.3;2.6;1.9;2.8;9.5;;
2952;Male;75 years;Percentage/average;2009;10.63;6.1;7.0;8.9;2.4;1.7;2.3;10.0;;
2953;Male;75 years;Percentage/average;2010;10.76;6.1;6.7;8.4;2.5;2.5;3.6;9.4;;
2954;Male;75 years;Percentage/average;2011;11.0;5.8;7.8;9.4;2.5;1.9;2.6;9.9;;
2955;Male;75 years;Percentage/average;2012;10.97;6.3;8.0;9.4;2.9;2.3;3.0;9.7;;
2956;Male;75 years;Percentage/average;2013;11.15;6.4;7.3;9.0;2.9;2.4;2.9;9.9;;
2957;Male;75 years;Percentage/average;2014;11.44;6.1;6.8;7.9;3.3;1.8;2.5;10.3;4.3;8.9
2958;Male;75 years;Percentage/average;2015;11.28;6.4;7.4;8.8;4.0;1.6;2.4;10.7;5.1;9.3
2959;Male;75 years;Percentage/average;2016;11.36;6.5;7.4;8.9;3.3;1.7;2.4;10.5;5.4;9.7
2960;Male;75 years;Percentage/average;2017;11.5;6.8;7.5;8.9;3.6;2.0;2.9;10.7;5.2;10.1
2961;Male;75 years;Percentage/average;2018;11.56;6.6;7.9;9.3;3.6;1.9;2.8;10.4;5.8;10.3
2962;Male;75 years;Percentage/average;2019;11.7;6.8;7.5;9.4;3.2;1.7;2.8;10.7;5.3;10.2
2963;Male;75 years;Percentage/average;2020;11.06;7.3;7.7;8.8;3.4;1.6;2.7;10.2;5.2;9.7
2964;Male;75 years;Percentage/average;2021;11.2;7.2;8.1;9.0;3.9;2.2;2.8;10.2;4.8;9.9
2965;Male;75 years;Percentage/average;2022;11.51;6.5;8.4;9.6;3.8;2.1;2.6;10.6;4.8;10.0
2966;Male;75 years;Percentage/average;2023;11.67;7.0;8.0;9.6;3.5;2.1;2.7;10.5;5.4;10.4
2967;Male;75 years;Standard errors;1981;;0.3;;;;0.3;;;;
2968;Male;75 years;Standard errors;1982;;0.3;;;;0.3;;;;
2969;Male;75 years;Standard errors;1983;;0.4;0.3;;;0.4;;;;
2970;Male;75 years;Standard errors;1984;;0.3;0.3;;;0.3;;;;
2971;Male;75 years;Standard errors;1985;;0.3;0.4;;;0.3;;;;
2972;Male;75 years;Standard errors;1986;;0.5;0.3;;;0.4;;;;
2973;Male;75 years;Standard errors;1987;;0.3;0.3;;;0.3;;;;
2974;Male;75 years;Standard errors;1988;;0.3;0.3;;;0.3;;;;
2975;Male;75 years;Standard errors;1989;;0.3;0.3;;;0.3;;;;
2976;Male;75 years;Standard errors;1990;;0.4;0.4;;;0.3;;;;
2977;Male;75 years;Standard errors;1991;;0.4;0.4;;;0.3;;;;
2978;Male;75 years;Standard errors;1992;;0.3;0.3;;;0.3;;;;
2979;Male;75 years;Standard errors;1993;;0.3;0.4;;;0.3;;;;
