ID;EarningGroups;SectorBranchesSIC2008;CarribeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
9142;Gross annual wage: 100,000 to 499,9...;Unknown;Bonaire;2021;;
9143;Gross annual wage: 100,000 to 499,9...;Unknown;Bonaire;2022;;
9144;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2011;;
9145;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2012;;
9146;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2013;;
9147;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2014;;
9148;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2015;;
9149;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2016;;
9150;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2017;;
9151;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2018;;
9152;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2019;;
9153;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2020;;
9154;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2021;;
9155;Gross annual wage: 100,000 to 499,9...;Unknown;St. Eustatius;2022;;
9156;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2011;;
9157;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2012;;
9158;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2013;;
9159;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2014;;
9160;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2015;;
9161;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2016;;
9162;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2017;;
9163;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2018;;
9164;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2019;;
9165;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2020;;
9166;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2021;;
9167;Gross annual wage: 100,000 to 499,9...;Unknown;Saba;2022;;
9168;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2011;;
9169;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2012;;
9170;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2013;;
9171;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2014;;
9172;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2015;;
9173;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2016;;
9174;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2017;;
9175;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2018;;
9176;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2019;;
9177;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2020;;
9178;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2021;;
9179;Gross annual wage: 100,000 to 499,9...;Unknown;Unclassifiable;2022;;
9180;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2011;;
9181;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2012;;
9182;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2013;;
9183;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2014;;
9184;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2015;;
9185;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2016;;
9186;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2017;;
9187;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2018;;
9188;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2019;;
9189;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2020;;
9190;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2021;;
9191;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Caribbean Netherlands;2022;;
9192;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2011;;
9193;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2012;;
9194;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2013;;
9195;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2014;;
9196;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2015;;
9197;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2016;;
9198;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2017;;
9199;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2018;;
9200;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2019;;
9201;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2020;;
9202;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2021;;
9203;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Bonaire;2022;;
9204;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2011;;
9205;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2012;;
9206;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2013;;
9207;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2014;;
9208;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2015;;
9209;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2016;;
9210;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2017;;
9211;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2018;;
9212;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2019;;
9213;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2020;;
9214;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2021;;
9215;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;St. Eustatius;2022;;
9216;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2011;;
9217;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2012;;
9218;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2013;;
9219;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2014;;
9220;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2015;;
9221;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2016;;
9222;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2017;;
9223;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2018;;
9224;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2019;;
9225;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2020;;
9226;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2021;;
9227;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Saba;2022;;
9228;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2011;;
9229;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2012;;
9230;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2013;;
9231;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2014;;
9232;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2015;;
9233;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2016;;
9234;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2017;;
9235;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2018;;
9236;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2019;;
9237;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2020;;
9238;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2021;;
9239;Gross annual wage: 500,000 dollar or ...;A-U All economic activities;Unclassifiable;2022;;
9240;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2011;;
9241;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2012;;
9242;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2013;;
9243;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2014;;
9244;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2015;;
9245;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2016;;
9246;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2017;;
9247;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2018;;
9248;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2019;;
9249;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2020;;
9250;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2021;;
9251;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Caribbean Netherlands;2022;;
9252;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2011;;
9253;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2012;;
9254;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2013;;
9255;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2014;;
9256;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2015;;
9257;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2016;;
9258;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2017;;
9259;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2018;;
9260;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2019;;
9261;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2020;;
9262;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2021;;
9263;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Bonaire;2022;;
9264;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2011;;
9265;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2012;;
9266;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2013;;
9267;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2014;;
9268;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2015;;
9269;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2016;;
9270;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2017;;
9271;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2018;;
9272;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2019;;
9273;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2020;;
9274;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2021;;
9275;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;St. Eustatius;2022;;
9276;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2011;;
9277;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2012;;
9278;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2013;;
9279;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2014;;
9280;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2015;;
9281;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2016;;
9282;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2017;;
9283;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2018;;
9284;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2019;;
9285;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2020;;
9286;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2021;;
9287;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Saba;2022;;
9288;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2011;;
9289;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2012;;
9290;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2013;;
9291;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2014;;
9292;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2015;;
9293;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2016;;
9294;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2017;;
9295;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2018;;
9296;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2019;;
9297;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2020;;
9298;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2021;;
9299;Gross annual wage: 500,000 dollar or ...;A Agriculture, forestry and fishing;Unclassifiable;2022;;
9300;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2011;;
9301;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2012;;
9302;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2013;;
9303;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2014;;
9304;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2015;;
9305;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2016;;
9306;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2017;;
9307;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2018;;
9308;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2019;;
9309;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2020;;
9310;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2021;;
9311;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Caribbean Netherlands;2022;;
9312;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2011;;
9313;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2012;;
9314;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2013;;
9315;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2014;;
9316;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2015;;
9317;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2016;;
9318;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2017;;
9319;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2018;;
9320;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2019;;
9321;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2020;;
9322;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2021;;
9323;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Bonaire;2022;;
9324;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2011;;
9325;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2012;;
9326;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2013;;
9327;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2014;;
9328;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2015;;
9329;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2016;;
9330;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2017;;
9331;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2018;;
9332;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2019;;
9333;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2020;;
9334;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2021;;
9335;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;St. Eustatius;2022;;
9336;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2011;;
9337;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2012;;
9338;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2013;;
9339;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2014;;
9340;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2015;;
9341;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2016;;
9342;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2017;;
9343;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2018;;
9344;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2019;;
9345;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2020;;
9346;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2021;;
9347;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Saba;2022;;
9348;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2011;;
9349;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2012;;
9350;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2013;;
9351;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2014;;
9352;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2015;;
9353;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2016;;
9354;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2017;;
9355;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2018;;
9356;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2019;;
9357;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2020;;
9358;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2021;;
9359;Gross annual wage: 500,000 dollar or ...;B Mining and quarrying ;Unclassifiable;2022;;
9360;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2011;;
9361;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2012;;
9362;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2013;;
9363;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2014;;
9364;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2015;;
9365;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2016;;
9366;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2017;;
9367;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2018;;
9368;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2019;;
9369;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2020;;
9370;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2021;;
9371;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Caribbean Netherlands;2022;;
9372;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2011;;
9373;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2012;;
9374;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2013;;
9375;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2014;;
9376;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2015;;
9377;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2016;;
9378;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2017;;
9379;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2018;;
9380;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2019;;
9381;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2020;;
9382;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2021;;
9383;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Bonaire;2022;;
9384;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2011;;
9385;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2012;;
9386;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2013;;
9387;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2014;;
9388;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2015;;
9389;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2016;;
9390;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2017;;
9391;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2018;;
9392;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2019;;
9393;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2020;;
9394;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2021;;
9395;Gross annual wage: 500,000 dollar or ...;C Manufacturing;St. Eustatius;2022;;
9396;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2011;;
9397;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2012;;
9398;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2013;;
9399;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2014;;
9400;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2015;;
9401;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2016;;
9402;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2017;;
9403;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2018;;
9404;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2019;;
9405;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2020;;
9406;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2021;;
9407;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Saba;2022;;
9408;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2011;;
9409;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2012;;
9410;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2013;;
9411;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2014;;
9412;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2015;;
9413;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2016;;
9414;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2017;;
9415;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2018;;
9416;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2019;;
9417;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2020;;
9418;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2021;;
9419;Gross annual wage: 500,000 dollar or ...;C Manufacturing;Unclassifiable;2022;;
9420;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2011;;
9421;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2012;;
9422;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2013;;
9423;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2014;;
9424;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2015;;
9425;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2016;;
9426;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2017;;
9427;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2018;;
9428;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2019;;
9429;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2020;;
9430;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2021;;
9431;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Caribbean Netherlands;2022;;
9432;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2011;;
9433;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2012;;
9434;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2013;;
9435;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2014;;
9436;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2015;;
9437;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2016;;
9438;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2017;;
9439;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2018;;
9440;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2019;;
9441;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2020;;
9442;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2021;;
9443;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;Bonaire;2022;;
9444;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;St. Eustatius;2011;;
9445;Gross annual wage: 500,000 dollar or ...;D-E Energy, water, waste treatment;St. Eustatius;2012;;
