ID;NACERev1;Period;Sales_1;Prices_2;Volume_3;Sales_4;Prices_5;Volume_6
3026;5244.4 Home furnishings, gen. assortment;1997 January;;;;;;
3027;5244.4 Home furnishings, gen. assortment;1997 February;;;;;;
3028;5244.4 Home furnishings, gen. assortment;1997 March;;;;;;
3029;5244.4 Home furnishings, gen. assortment;1997 1st quarter;;;;;;
3030;5244.4 Home furnishings, gen. assortment;1997 April;;;;;;
3031;5244.4 Home furnishings, gen. assortment;1997 May;;;;;;
3032;5244.4 Home furnishings, gen. assortment;1997 June;;;;;;
3033;5244.4 Home furnishings, gen. assortment;1997 2nd quarter;;;;;;
3034;5244.4 Home furnishings, gen. assortment;1997 July;;;;;;
3035;5244.4 Home furnishings, gen. assortment;1997 August;;;;;;
3036;5244.4 Home furnishings, gen. assortment;1997 September;;;;;;
3037;5244.4 Home furnishings, gen. assortment;1997 3rd quarter;;;;;;
3038;5244.4 Home furnishings, gen. assortment;1997 October;;;;;;
3039;5244.4 Home furnishings, gen. assortment;1997 November;;;;;;
3040;5244.4 Home furnishings, gen. assortment;1997 December;;;;;;
3041;5244.4 Home furnishings, gen. assortment;1997 4th quarter;;;;;;
3042;5244.4 Home furnishings, gen. assortment;1997;;;;;;
3043;5244.4 Home furnishings, gen. assortment;1998 January;;;;;;
3044;5244.4 Home furnishings, gen. assortment;1998 February;;;;;;
3045;5244.4 Home furnishings, gen. assortment;1998 March;;;;;;
3046;5244.4 Home furnishings, gen. assortment;1998 1st quarter;129.0;101.0;128.0;17.1;0.8;16.2
3047;5244.4 Home furnishings, gen. assortment;1998 April;;;;;;
3048;5244.4 Home furnishings, gen. assortment;1998 May;;;;;;
3049;5244.4 Home furnishings, gen. assortment;1998 June;;;;;;
3050;5244.4 Home furnishings, gen. assortment;1998 2nd quarter;138.0;102.0;136.0;17.6;1.8;15.5
3051;5244.4 Home furnishings, gen. assortment;1998 July;;;;;;
3052;5244.4 Home furnishings, gen. assortment;1998 August;;;;;;
3053;5244.4 Home furnishings, gen. assortment;1998 September;;;;;;
3054;5244.4 Home furnishings, gen. assortment;1998 3rd quarter;137.0;102.0;135.0;24.7;1.9;22.4
3055;5244.4 Home furnishings, gen. assortment;1998 October;;;;;;
3056;5244.4 Home furnishings, gen. assortment;1998 November;;;;;;
3057;5244.4 Home furnishings, gen. assortment;1998 December;;;;;;
3058;5244.4 Home furnishings, gen. assortment;1998 4th quarter;158.0;102.0;154.0;19.8;2.4;16.9
3059;5244.4 Home furnishings, gen. assortment;1998;141.0;102.0;138.0;19.8;1.7;17.7
3060;5244.4 Home furnishings, gen. assortment;1999 January;;;;;;
3061;5244.4 Home furnishings, gen. assortment;1999 February;;;;;;
3062;5244.4 Home furnishings, gen. assortment;1999 March;;;;;;
3063;5244.4 Home furnishings, gen. assortment;1999 1st quarter;137.0;104.0;132.0;6.2;3.2;2.9
3064;5244.4 Home furnishings, gen. assortment;1999 April;;;;;;
3065;5244.4 Home furnishings, gen. assortment;1999 May;;;;;;
3066;5244.4 Home furnishings, gen. assortment;1999 June;;;;;;
3067;5244.4 Home furnishings, gen. assortment;1999 2nd quarter;153.0;105.0;146.0;10.4;3.3;6.9
3068;5244.4 Home furnishings, gen. assortment;1999 July;;;;;;
3069;5244.4 Home furnishings, gen. assortment;1999 August;;;;;;
3070;5244.4 Home furnishings, gen. assortment;1999 September;;;;;;
3071;5244.4 Home furnishings, gen. assortment;1999 3rd quarter;147.0;105.0;140.0;7.1;3.6;3.4
3072;5244.4 Home furnishings, gen. assortment;1999 October;;;;;;
3073;5244.4 Home furnishings, gen. assortment;1999 November;;;;;;
3074;5244.4 Home furnishings, gen. assortment;1999 December;;;;;;
3075;5244.4 Home furnishings, gen. assortment;1999 4th quarter;170.0;105.0;161.0;7.4;2.8;4.4
3076;5244.4 Home furnishings, gen. assortment;1999;152.0;105.0;145.0;7.8;3.2;4.4
3077;5244.4 Home furnishings, gen. assortment;2000 January;138.0;105.0;131.0;11.5;2.2;9.1
3078;5244.4 Home furnishings, gen. assortment;2000 February;149.0;106.0;141.0;9.4;1.8;7.4
3079;5244.4 Home furnishings, gen. assortment;2000 March;154.0;106.0;145.0;2.2;1.5;0.7
3080;5244.4 Home furnishings, gen. assortment;2000 1st quarter;147.0;106.0;139.0;7.4;1.8;5.5
3081;5244.4 Home furnishings, gen. assortment;2000 April;153.0;106.0;144.0;1.1;1.7;-0.6
3082;5244.4 Home furnishings, gen. assortment;2000 May;159.0;107.0;149.0;9.1;1.9;7.1
3083;5244.4 Home furnishings, gen. assortment;2000 June;160.0;107.0;149.0;-0.7;1.8;-2.5
3084;5244.4 Home furnishings, gen. assortment;2000 2nd quarter;157.0;107.0;147.0;3.0;1.8;1.2
3085;5244.4 Home furnishings, gen. assortment;2000 July;164.0;108.0;152.0;-4.4;2.4;-6.7
3086;5244.4 Home furnishings, gen. assortment;2000 August;148.0;108.0;137.0;18.1;2.2;15.5
3087;5244.4 Home furnishings, gen. assortment;2000 September;147.0;109.0;135.0;2.2;3.5;-1.3
3088;5244.4 Home furnishings, gen. assortment;2000 3rd quarter;153.0;108.0;142.0;4.1;2.7;1.4
3089;5244.4 Home furnishings, gen. assortment;2000 October;169.0;109.0;155.0;8.7;3.8;4.7
3090;5244.4 Home furnishings, gen. assortment;2000 November;174.0;110.0;158.0;13.1;4.1;8.6
3091;5244.4 Home furnishings, gen. assortment;2000 December;208.0;110.0;190.0;4.1;4.2;-0.1
3092;5244.4 Home furnishings, gen. assortment;2000 4th quarter;184.0;110.0;168.0;8.2;4.1;4.0
3093;5244.4 Home furnishings, gen. assortment;2000;160.0;108.0;149.0;5.7;2.6;3.0
3094;5244.5 to 5244.7 Glassware, pottery;1994 January;;;;;;
3095;5244.5 to 5244.7 Glassware, pottery;1994 February;;;;;;
3096;5244.5 to 5244.7 Glassware, pottery;1994 March;;;;;;
3097;5244.5 to 5244.7 Glassware, pottery;1994 1st quarter;;;;;;
3098;5244.5 to 5244.7 Glassware, pottery;1994 April;;;;;;
3099;5244.5 to 5244.7 Glassware, pottery;1994 May;;;;;;
3100;5244.5 to 5244.7 Glassware, pottery;1994 June;;;;;;
3101;5244.5 to 5244.7 Glassware, pottery;1994 2nd quarter;;;;;;
3102;5244.5 to 5244.7 Glassware, pottery;1994 July;;;;;;
3103;5244.5 to 5244.7 Glassware, pottery;1994 August;;;;;;
3104;5244.5 to 5244.7 Glassware, pottery;1994 September;;;;;;
3105;5244.5 to 5244.7 Glassware, pottery;1994 3rd quarter;;;;;;
3106;5244.5 to 5244.7 Glassware, pottery;1994 October;;;;;;
3107;5244.5 to 5244.7 Glassware, pottery;1994 November;;;;;;
3108;5244.5 to 5244.7 Glassware, pottery;1994 December;;;;;;
3109;5244.5 to 5244.7 Glassware, pottery;1994 4th quarter;;;;;;
3110;5244.5 to 5244.7 Glassware, pottery;1994;99.0;100.0;99.0;;;
3111;5244.5 to 5244.7 Glassware, pottery;1995 January;83.0;100.0;82.0;;;
3112;5244.5 to 5244.7 Glassware, pottery;1995 February;78.0;100.0;78.0;;;
3113;5244.5 to 5244.7 Glassware, pottery;1995 March;87.0;100.0;87.0;;;
3114;5244.5 to 5244.7 Glassware, pottery;1995 1st quarter;83.0;100.0;82.0;0.7;0.5;0.1
3115;5244.5 to 5244.7 Glassware, pottery;1995 April;90.0;100.0;90.0;;;
3116;5244.5 to 5244.7 Glassware, pottery;1995 May;102.0;100.0;102.0;;;
3117;5244.5 to 5244.7 Glassware, pottery;1995 June;103.0;100.0;103.0;;;
3118;5244.5 to 5244.7 Glassware, pottery;1995 2nd quarter;98.0;100.0;98.0;2.8;0.1;2.7
3119;5244.5 to 5244.7 Glassware, pottery;1995 July;100.0;100.0;100.0;;;
3120;5244.5 to 5244.7 Glassware, pottery;1995 August;96.0;100.0;96.0;;;
3121;5244.5 to 5244.7 Glassware, pottery;1995 September;97.0;100.0;97.0;;;
3122;5244.5 to 5244.7 Glassware, pottery;1995 3rd quarter;98.0;100.0;98.0;2.5;-0.1;2.6
3123;5244.5 to 5244.7 Glassware, pottery;1995 October;91.0;100.0;91.0;;;
3124;5244.5 to 5244.7 Glassware, pottery;1995 November;122.0;100.0;122.0;;;
3125;5244.5 to 5244.7 Glassware, pottery;1995 December;151.0;100.0;152.0;;;
3126;5244.5 to 5244.7 Glassware, pottery;1995 4th quarter;121.0;100.0;122.0;-0.3;-0.5;0.2
3127;5244.5 to 5244.7 Glassware, pottery;1995;100.0;100.0;100.0;1.1;0.0;1.2
3128;5244.5 to 5244.7 Glassware, pottery;1996 January;85.0;99.0;86.0;2.8;-0.3;3.0
3129;5244.5 to 5244.7 Glassware, pottery;1996 February;80.0;99.0;81.0;3.0;-0.3;3.2
3130;5244.5 to 5244.7 Glassware, pottery;1996 March;91.0;100.0;92.0;4.2;-0.7;4.9
3131;5244.5 to 5244.7 Glassware, pottery;1996 1st quarter;85.0;99.0;86.0;2.8;-0.4;3.3
3132;5244.5 to 5244.7 Glassware, pottery;1996 April;100.0;100.0;100.0;10.7;-0.8;11.6
3133;5244.5 to 5244.7 Glassware, pottery;1996 May;109.0;100.0;110.0;6.9;-0.5;7.5
3134;5244.5 to 5244.7 Glassware, pottery;1996 June;107.0;99.0;107.0;3.6;-0.7;4.3
3135;5244.5 to 5244.7 Glassware, pottery;1996 2nd quarter;105.0;100.0;106.0;6.9;-0.7;7.6
3136;5244.5 to 5244.7 Glassware, pottery;1996 July;97.0;99.0;98.0;-3.4;-0.8;-2.6
3137;5244.5 to 5244.7 Glassware, pottery;1996 August;99.0;99.0;100.0;3.3;-0.9;4.2
3138;5244.5 to 5244.7 Glassware, pottery;1996 September;96.0;99.0;97.0;-1.2;-0.6;-0.7
3139;5244.5 to 5244.7 Glassware, pottery;1996 3rd quarter;97.0;99.0;98.0;-0.2;-0.8;0.5
3140;5244.5 to 5244.7 Glassware, pottery;1996 October;102.0;99.0;103.0;11.5;-0.4;11.9
3141;5244.5 to 5244.7 Glassware, pottery;1996 November;121.0;99.0;122.0;-0.6;0.0;-0.6
3142;5244.5 to 5244.7 Glassware, pottery;1996 December;157.0;99.0;158.0;4.1;0.2;3.9
3143;5244.5 to 5244.7 Glassware, pottery;1996 4th quarter;127.0;99.0;128.0;4.1;-0.1;4.1
3144;5244.5 to 5244.7 Glassware, pottery;1996;104.0;99.0;104.0;4.2;-0.7;4.9
3145;5244.5 to 5244.7 Glassware, pottery;1997 January;95.0;99.0;96.0;11.1;-0.3;11.4
3146;5244.5 to 5244.7 Glassware, pottery;1997 February;86.0;99.0;87.0;6.7;-0.5;7.1
3147;5244.5 to 5244.7 Glassware, pottery;1997 March;92.0;99.0;93.0;0.9;-0.3;1.2
3148;5244.5 to 5244.7 Glassware, pottery;1997 1st quarter;91.0;99.0;92.0;6.2;-0.4;6.6
3149;5244.5 to 5244.7 Glassware, pottery;1997 April;96.0;99.0;97.0;-3.9;-0.3;-3.6
3150;5244.5 to 5244.7 Glassware, pottery;1997 May;110.0;100.0;111.0;1.1;-0.1;1.1
3151;5244.5 to 5244.7 Glassware, pottery;1997 June;104.0;100.0;104.0;-3.0;0.5;-3.5
3152;5244.5 to 5244.7 Glassware, pottery;1997 2nd quarter;103.0;100.0;104.0;-1.9;0.0;-2.0
3153;5244.5 to 5244.7 Glassware, pottery;1997 July;104.0;100.0;104.0;6.8;0.5;6.2
3154;5244.5 to 5244.7 Glassware, pottery;1997 August;101.0;100.0;101.0;1.3;0.7;0.7
3155;5244.5 to 5244.7 Glassware, pottery;1997 September;97.0;100.0;97.0;0.8;0.9;-0.1
3156;5244.5 to 5244.7 Glassware, pottery;1997 3rd quarter;101.0;100.0;101.0;3.0;0.7;2.3
3157;5244.5 to 5244.7 Glassware, pottery;1997 October;100.0;100.0;101.0;-1.5;0.7;-2.3
3158;5244.5 to 5244.7 Glassware, pottery;1997 November;122.0;101.0;122.0;1.2;1.1;0.0
3159;5244.5 to 5244.7 Glassware, pottery;1997 December;168.0;100.0;168.0;7.0;1.0;6.0
3160;5244.5 to 5244.7 Glassware, pottery;1997 4th quarter;130.0;100.0;130.0;2.9;0.9;1.9
3161;5244.5 to 5244.7 Glassware, pottery;1997;106.0;100.0;107.0;2.3;0.3;2.0
3162;5244.5 to 5244.7 Glassware, pottery;1998 January;93.0;100.0;93.0;-1.6;1.2;-2.8
3163;5244.5 to 5244.7 Glassware, pottery;1998 February;84.0;100.0;83.0;-2.8;1.4;-4.2
3164;5244.5 to 5244.7 Glassware, pottery;1998 March;88.0;100.0;87.0;-5.0;1.1;-6.0
3165;5244.5 to 5244.7 Glassware, pottery;1998 1st quarter;88.0;100.0;88.0;-3.1;1.2;-4.3
3166;5244.5 to 5244.7 Glassware, pottery;1998 April;96.0;100.0;96.0;0.2;1.0;-0.8
3167;5244.5 to 5244.7 Glassware, pottery;1998 May;112.0;101.0;112.0;1.4;0.9;0.5
3168;5244.5 to 5244.7 Glassware, pottery;1998 June;105.0;101.0;104.0;0.8;0.8;0.0
3169;5244.5 to 5244.7 Glassware, pottery;1998 2nd quarter;104.0;100.0;104.0;0.9;0.9;-0.1
3170;5244.5 to 5244.7 Glassware, pottery;1998 July;106.0;101.0;105.0;2.2;1.3;0.8
3171;5244.5 to 5244.7 Glassware, pottery;1998 August;101.0;101.0;100.0;0.7;1.4;-0.7
3172;5244.5 to 5244.7 Glassware, pottery;1998 September;99.0;102.0;97.0;1.5;1.7;-0.3
3173;5244.5 to 5244.7 Glassware, pottery;1998 3rd quarter;102.0;101.0;101.0;1.4;1.5;-0.1
3174;5244.5 to 5244.7 Glassware, pottery;1998 October;108.0;102.0;106.0;7.2;1.8;5.4
3175;5244.5 to 5244.7 Glassware, pottery;1998 November;124.0;101.0;123.0;1.5;0.8;0.7
3176;5244.5 to 5244.7 Glassware, pottery;1998 December;176.0;101.0;174.0;4.4;1.0;3.4
3177;5244.5 to 5244.7 Glassware, pottery;1998 4th quarter;136.0;101.0;134.0;4.2;1.2;3.0
3178;5244.5 to 5244.7 Glassware, pottery;1998;108.0;101.0;107.0;1.2;1.2;0.0
3179;5244.5 to 5244.7 Glassware, pottery;1999 January;97.0;102.0;96.0;3.8;1.2;2.6
3180;5244.5 to 5244.7 Glassware, pottery;1999 February;88.0;102.0;87.0;5.8;1.5;4.2
3181;5244.5 to 5244.7 Glassware, pottery;1999 March;100.0;102.0;97.0;13.6;1.9;11.5
3182;5244.5 to 5244.7 Glassware, pottery;1999 1st quarter;95.0;102.0;93.0;7.7;1.6;6.0
3183;5244.5 to 5244.7 Glassware, pottery;1999 April;101.0;102.0;99.0;5.2;2.0;3.1
3184;5244.5 to 5244.7 Glassware, pottery;1999 May;113.0;102.0;111.0;1.0;1.8;-0.7
3185;5244.5 to 5244.7 Glassware, pottery;1999 June;110.0;103.0;107.0;4.9;2.0;2.9
3186;5244.5 to 5244.7 Glassware, pottery;1999 2nd quarter;108.0;102.0;106.0;3.6;1.9;1.7
3187;5244.5 to 5244.7 Glassware, pottery;1999 July;111.0;102.0;108.0;3.9;1.5;2.4
3188;5244.5 to 5244.7 Glassware, pottery;1999 August;100.0;103.0;98.0;-1.2;1.5;-2.7
3189;5244.5 to 5244.7 Glassware, pottery;1999 September;104.0;103.0;101.0;5.1;1.3;3.7
3190;5244.5 to 5244.7 Glassware, pottery;1999 3rd quarter;105.0;103.0;102.0;2.6;1.4;1.1
3191;5244.5 to 5244.7 Glassware, pottery;1999 October;107.0;103.0;104.0;-1.3;1.3;-2.5
3192;5244.5 to 5244.7 Glassware, pottery;1999 November;136.0;103.0;133.0;9.4;1.4;7.9
3193;5244.5 to 5244.7 Glassware, pottery;1999 December;186.0;103.0;181.0;5.8;1.6;4.2
3194;5244.5 to 5244.7 Glassware, pottery;1999 4th quarter;143.0;103.0;139.0;5.0;1.4;3.6
3195;5244.5 to 5244.7 Glassware, pottery;1999;113.0;102.0;110.0;4.7;1.6;3.0
3196;5244.5 to 5244.7 Glassware, pottery;2000 January;93.0;102.0;91.0;-4.3;0.9;-5.1
3197;5244.5 to 5244.7 Glassware, pottery;2000 February;97.0;103.0;95.0;10.0;0.7;9.3
3198;5244.5 to 5244.7 Glassware, pottery;2000 March;101.0;103.0;98.0;1.2;0.3;0.9
3199;5244.5 to 5244.7 Glassware, pottery;2000 1st quarter;97.0;103.0;95.0;2.1;0.6;1.4
3200;5244.5 to 5244.7 Glassware, pottery;2000 April;104.0;103.0;101.0;2.6;0.6;2.0
3201;5244.5 to 5244.7 Glassware, pottery;2000 May;112.0;104.0;108.0;-1.6;1.2;-2.7
3202;5244.5 to 5244.7 Glassware, pottery;2000 June;109.0;103.0;105.0;-1.0;0.7;-1.6
3203;5244.5 to 5244.7 Glassware, pottery;2000 2nd quarter;108.0;103.0;105.0;-0.1;0.8;-0.9
3204;5244.5 to 5244.7 Glassware, pottery;2000 July;103.0;103.0;100.0;-6.8;0.3;-7.0
3205;5244.5 to 5244.7 Glassware, pottery;2000 August;104.0;103.0;101.0;3.8;0.3;3.5
3206;5244.5 to 5244.7 Glassware, pottery;2000 September;102.0;103.0;99.0;-1.9;0.2;-2.1
3207;5244.5 to 5244.7 Glassware, pottery;2000 3rd quarter;103.0;103.0;100.0;-1.8;0.2;-2.0
3208;5244.5 to 5244.7 Glassware, pottery;2000 October;107.0;103.0;104.0;0.5;0.3;0.1
3209;5244.5 to 5244.7 Glassware, pottery;2000 November;140.0;103.0;136.0;2.9;0.4;2.5
3210;5244.5 to 5244.7 Glassware, pottery;2000 December;167.0;103.0;162.0;-10.0;0.5;-10.5
3211;5244.5 to 5244.7 Glassware, pottery;2000 4th quarter;138.0;103.0;134.0;-3.3;0.4;-3.7
3212;5244.5 to 5244.7 Glassware, pottery;2000;112.0;103.0;108.0;-1.1;0.5;-1.6
3213;5244.7 Household art., gen. assortment;1994 January;;;;;;
3214;5244.7 Household art., gen. assortment;1994 February;;;;;;
3215;5244.7 Household art., gen. assortment;1994 March;;;;;;
3216;5244.7 Household art., gen. assortment;1994 1st quarter;;;;;;
3217;5244.7 Household art., gen. assortment;1994 April;;;;;;
3218;5244.7 Household art., gen. assortment;1994 May;;;;;;
3219;5244.7 Household art., gen. assortment;1994 June;;;;;;
3220;5244.7 Household art., gen. assortment;1994 2nd quarter;;;;;;
3221;5244.7 Household art., gen. assortment;1994 July;;;;;;
3222;5244.7 Household art., gen. assortment;1994 August;;;;;;
3223;5244.7 Household art., gen. assortment;1994 September;;;;;;
3224;5244.7 Household art., gen. assortment;1994 3rd quarter;;;;;;
3225;5244.7 Household art., gen. assortment;1994 October;;;;;;
3226;5244.7 Household art., gen. assortment;1994 November;;;;;;
3227;5244.7 Household art., gen. assortment;1994 December;;;;;;
3228;5244.7 Household art., gen. assortment;1994 4th quarter;;;;;;
3229;5244.7 Household art., gen. assortment;1994;;;;;;
3230;5244.7 Household art., gen. assortment;1995 January;;;;;;
3231;5244.7 Household art., gen. assortment;1995 February;;;;;;
3232;5244.7 Household art., gen. assortment;1995 March;;;;;;
3233;5244.7 Household art., gen. assortment;1995 1st quarter;;;;;;
3234;5244.7 Household art., gen. assortment;1995 April;;;;;;
3235;5244.7 Household art., gen. assortment;1995 May;;;;;;
3236;5244.7 Household art., gen. assortment;1995 June;;;;;;
3237;5244.7 Household art., gen. assortment;1995 2nd quarter;;;;;;
3238;5244.7 Household art., gen. assortment;1995 July;;;;;;
3239;5244.7 Household art., gen. assortment;1995 August;;;;;;
3240;5244.7 Household art., gen. assortment;1995 September;;;;;;
3241;5244.7 Household art., gen. assortment;1995 3rd quarter;;;;;;
3242;5244.7 Household art., gen. assortment;1995 October;;;;;;
3243;5244.7 Household art., gen. assortment;1995 November;;;;;;
3244;5244.7 Household art., gen. assortment;1995 December;;;;;;
3245;5244.7 Household art., gen. assortment;1995 4th quarter;;;;;;
3246;5244.7 Household art., gen. assortment;1995;;;;;;
3247;5244.7 Household art., gen. assortment;1996 January;;;;;;
3248;5244.7 Household art., gen. assortment;1996 February;;;;;;
3249;5244.7 Household art., gen. assortment;1996 March;;;;;;
3250;5244.7 Household art., gen. assortment;1996 1st quarter;;;;;;
3251;5244.7 Household art., gen. assortment;1996 April;;;;;;
3252;5244.7 Household art., gen. assortment;1996 May;;;;;;
3253;5244.7 Household art., gen. assortment;1996 June;;;;;;
3254;5244.7 Household art., gen. assortment;1996 2nd quarter;;;;;;
3255;5244.7 Household art., gen. assortment;1996 July;;;;;;
3256;5244.7 Household art., gen. assortment;1996 August;;;;;;
3257;5244.7 Household art., gen. assortment;1996 September;;;;;;
3258;5244.7 Household art., gen. assortment;1996 3rd quarter;;;;;;
3259;5244.7 Household art., gen. assortment;1996 October;;;;;;
3260;5244.7 Household art., gen. assortment;1996 November;;;;;;
3261;5244.7 Household art., gen. assortment;1996 December;;;;;;
3262;5244.7 Household art., gen. assortment;1996 4th quarter;;;;;;
3263;5244.7 Household art., gen. assortment;1996;;;;;;
3264;5244.7 Household art., gen. assortment;1997 January;;;;;;
3265;5244.7 Household art., gen. assortment;1997 February;;;;;;
3266;5244.7 Household art., gen. assortment;1997 March;;;;;;
3267;5244.7 Household art., gen. assortment;1997 1st quarter;;;;;;
3268;5244.7 Household art., gen. assortment;1997 April;;;;;;
3269;5244.7 Household art., gen. assortment;1997 May;;;;;;
3270;5244.7 Household art., gen. assortment;1997 June;;;;;;
3271;5244.7 Household art., gen. assortment;1997 2nd quarter;;;;;;
3272;5244.7 Household art., gen. assortment;1997 July;;;;;;
3273;5244.7 Household art., gen. assortment;1997 August;;;;;;
3274;5244.7 Household art., gen. assortment;1997 September;;;;;;
3275;5244.7 Household art., gen. assortment;1997 3rd quarter;;;;;;
3276;5244.7 Household art., gen. assortment;1997 October;;;;;;
3277;5244.7 Household art., gen. assortment;1997 November;;;;;;
3278;5244.7 Household art., gen. assortment;1997 December;;;;;;
3279;5244.7 Household art., gen. assortment;1997 4th quarter;;;;;;
3280;5244.7 Household art., gen. assortment;1997;;;;;;
3281;5244.7 Household art., gen. assortment;1998 January;;;;;;
3282;5244.7 Household art., gen. assortment;1998 February;;;;;;
3283;5244.7 Household art., gen. assortment;1998 March;;;;;;
3284;5244.7 Household art., gen. assortment;1998 1st quarter;91.0;100.0;91.0;0.0;1.2;-1.1
3285;5244.7 Household art., gen. assortment;1998 April;;;;;;
3286;5244.7 Household art., gen. assortment;1998 May;;;;;;
3287;5244.7 Household art., gen. assortment;1998 June;;;;;;
3288;5244.7 Household art., gen. assortment;1998 2nd quarter;109.0;100.0;109.0;4.1;0.8;3.2
3289;5244.7 Household art., gen. assortment;1998 July;;;;;;
3290;5244.7 Household art., gen. assortment;1998 August;;;;;;
3291;5244.7 Household art., gen. assortment;1998 September;;;;;;
3292;5244.7 Household art., gen. assortment;1998 3rd quarter;107.0;101.0;106.0;4.8;1.3;3.5
3293;5244.7 Household art., gen. assortment;1998 October;;;;;;
3294;5244.7 Household art., gen. assortment;1998 November;;;;;;
3295;5244.7 Household art., gen. assortment;1998 December;;;;;;
3296;5244.7 Household art., gen. assortment;1998 4th quarter;139.0;101.0;138.0;7.3;1.1;6.2
3297;5244.7 Household art., gen. assortment;1998;112.0;100.0;111.0;4.4;1.1;3.2
3298;5244.7 Household art., gen. assortment;1999 January;;;;;;
3299;5244.7 Household art., gen. assortment;1999 February;;;;;;
3300;5244.7 Household art., gen. assortment;1999 March;;;;;;
3301;5244.7 Household art., gen. assortment;1999 1st quarter;99.0;102.0;97.0;8.7;1.5;7.0
3302;5244.7 Household art., gen. assortment;1999 April;;;;;;
3303;5244.7 Household art., gen. assortment;1999 May;;;;;;
3304;5244.7 Household art., gen. assortment;1999 June;;;;;;
3305;5244.7 Household art., gen. assortment;1999 2nd quarter;113.0;102.0;111.0;3.7;1.9;1.7
3306;5244.7 Household art., gen. assortment;1999 July;;;;;;
3307;5244.7 Household art., gen. assortment;1999 August;;;;;;
3308;5244.7 Household art., gen. assortment;1999 September;;;;;;
3309;5244.7 Household art., gen. assortment;1999 3rd quarter;110.0;102.0;108.0;3.6;1.5;2.1
3310;5244.7 Household art., gen. assortment;1999 October;;;;;;
3311;5244.7 Household art., gen. assortment;1999 November;;;;;;
3312;5244.7 Household art., gen. assortment;1999 December;;;;;;
3313;5244.7 Household art., gen. assortment;1999 4th quarter;147.0;102.0;144.0;5.6;1.3;4.2
3314;5244.7 Household art., gen. assortment;1999;117.0;102.0;115.0;5.3;1.6;3.6
3315;5244.7 Household art., gen. assortment;2000 January;94.0;102.0;93.0;-6.8;0.5;-7.3
3316;5244.7 Household art., gen. assortment;2000 February;101.0;102.0;99.0;9.6;0.3;9.3
3317;5244.7 Household art., gen. assortment;2000 March;105.0;102.0;103.0;0.2;0.0;0.2
3318;5244.7 Household art., gen. assortment;2000 1st quarter;100.0;102.0;98.0;0.7;0.3;0.5
3319;5244.7 Household art., gen. assortment;2000 April;108.0;102.0;106.0;2.2;0.2;1.9
3320;5244.7 Household art., gen. assortment;2000 May;115.0;103.0;112.0;-2.9;0.9;-3.8
3321;5244.7 Household art., gen. assortment;2000 June;113.0;103.0;110.0;-1.9;0.4;-2.4
3322;5244.7 Household art., gen. assortment;2000 2nd quarter;112.0;103.0;109.0;-1.0;0.5;-1.5
3323;5244.7 Household art., gen. assortment;2000 July;106.0;102.0;103.0;-9.6;0.0;-9.6
3324;5244.7 Household art., gen. assortment;2000 August;107.0;102.0;104.0;1.5;0.0;1.5
3325;5244.7 Household art., gen. assortment;2000 September;105.0;102.0;102.0;-3.9;0.1;-4.0
3326;5244.7 Household art., gen. assortment;2000 3rd quarter;106.0;102.0;103.0;-4.2;0.0;-4.2
3327;5244.7 Household art., gen. assortment;2000 October;111.0;103.0;109.0;0.3;0.2;0.1
3328;5244.7 Household art., gen. assortment;2000 November;145.0;103.0;141.0;2.1;0.4;1.7
3329;5244.7 Household art., gen. assortment;2000 December;165.0;103.0;160.0;-12.6;0.4;-13.0
3330;5244.7 Household art., gen. assortment;2000 4th quarter;140.0;103.0;137.0;-4.6;0.3;-5.0
3331;5244.7 Household art., gen. assortment;2000;114.0;102.0;112.0;-2.5;0.3;-2.8
3332;5249.5 Toys and games;1994 January;;;;;;
3333;5249.5 Toys and games;1994 February;;;;;;
3334;5249.5 Toys and games;1994 March;;;;;;
3335;5249.5 Toys and games;1994 1st quarter;;;;;;
3336;5249.5 Toys and games;1994 April;;;;;;
3337;5249.5 Toys and games;1994 May;;;;;;
3338;5249.5 Toys and games;1994 June;;;;;;
3339;5249.5 Toys and games;1994 2nd quarter;;;;;;
3340;5249.5 Toys and games;1994 July;;;;;;
3341;5249.5 Toys and games;1994 August;;;;;;
3342;5249.5 Toys and games;1994 September;;;;;;
3343;5249.5 Toys and games;1994 3rd quarter;;;;;;
3344;5249.5 Toys and games;1994 October;;;;;;
3345;5249.5 Toys and games;1994 November;;;;;;
3346;5249.5 Toys and games;1994 December;;;;;;
3347;5249.5 Toys and games;1994 4th quarter;;;;;;
3348;5249.5 Toys and games;1994;102.0;101.0;101.0;;;
3349;5249.5 Toys and games;1995 January;;;;;;
3350;5249.5 Toys and games;1995 February;;;;;;
3351;5249.5 Toys and games;1995 March;;;;;;
3352;5249.5 Toys and games;1995 1st quarter;;;;;;
3353;5249.5 Toys and games;1995 April;;;;;;
3354;5249.5 Toys and games;1995 May;;;;;;
3355;5249.5 Toys and games;1995 June;;;;;;
3356;5249.5 Toys and games;1995 2nd quarter;;;;;;
3357;5249.5 Toys and games;1995 July;;;;;;
3358;5249.5 Toys and games;1995 August;;;;;;
3359;5249.5 Toys and games;1995 September;;;;;;
3360;5249.5 Toys and games;1995 3rd quarter;;;;;;
3361;5249.5 Toys and games;1995 October;;;;;;
3362;5249.5 Toys and games;1995 November;;;;;;
3363;5249.5 Toys and games;1995 December;;;;;;
3364;5249.5 Toys and games;1995 4th quarter;;;;;;
