ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
5405;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Dutch;2011;1911.0;1292.0
5406;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Dutch;2012;1913.0;1283.0
5407;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Dutch;2013;1889.0;1263.0
5408;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Dutch;2014;1890.0;1250.0
5409;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Dutch;2015;1910.0;1257.0
5410;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Dutch;2016;1937.0;1290.0
5411;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2010;6.0;5.0
5412;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2011;6.0;5.0
5413;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2012;6.0;5.0
5414;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2013;6.0;4.0
5415;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2014;6.0;4.0
5416;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2015;6.0;4.0
5417;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Belgian;2016;6.0;4.0
5418;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2010;6.0;5.0
5419;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2011;6.0;5.0
5420;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2012;6.0;5.0
5421;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2013;6.0;5.0
5422;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2014;6.0;5.0
5423;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2015;6.0;5.0
5424;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: British;2016;6.0;5.0
5425;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2010;12.0;10.0
5426;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2011;13.0;10.0
5427;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2012;13.0;10.0
5428;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2013;12.0;9.0
5429;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2014;11.0;9.0
5430;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2015;11.0;9.0
5431;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: German;2016;11.0;9.0
5432;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2010;10.0;8.0
5433;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2011;12.0;10.0
5434;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2012;13.0;11.0
5435;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2013;13.0;11.0
5436;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2014;14.0;12.0
5437;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2015;15.0;13.0
5438;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Polish;2016;17.0;15.0
5439;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2010;1.0;1.0
5440;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2011;1.0;1.0
5441;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2012;1.0;1.0
5442;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2013;1.0;1.0
5443;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2014;1.0;1.0
5444;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2015;1.0;1.0
5445;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: Indian;2016;1.0;1.0
5446;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2010;59.0;43.0
5447;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2011;63.0;46.0
5448;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2012;65.0;47.0
5449;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2013;67.0;49.0
5450;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2014;69.0;50.0
5451;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2015;72.0;52.0
5452;Total domestic and foreign;G-I Trade, transport, hotels, catering;Total;Nationality: other;2016;77.0;57.0
5453;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2010;;
5454;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2011;;
5455;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2012;;
5456;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2013;705.0;475.0
5457;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2014;697.0;465.0
5458;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2015;701.0;465.0
5459;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Total ;2016;717.0;482.0
5460;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2010;;
5461;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2011;;
5462;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2012;;
5463;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2013;287.0;154.0
5464;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2014;296.0;157.0
5465;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2015;323.0;172.0
5466;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: specified time;2016;350.0;190.0
5467;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2010;;
5468;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2011;;
5469;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2012;;
5470;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2013;392.0;292.0
5471;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2014;376.0;280.0
5472;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2015;349.0;262.0
5473;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: unspecified time;2016;334.0;254.0
5474;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2010;;
5475;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2011;;
5476;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2012;;
5477;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2013;12.0;11.0
5478;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2014;12.0;11.0
5479;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2015;10.0;9.0
5480;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Type of contract: other;2016;10.0;9.0
5481;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2010;;
5482;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2011;;
5483;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2012;;
5484;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2013;389.0;300.0
5485;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2014;384.0;294.0
5486;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2015;386.0;294.0
5487;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Male;2016;398.0;305.0
5488;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2010;;
5489;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2011;;
5490;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2012;;
5491;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2013;315.0;172.0
5492;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2014;313.0;169.0
5493;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2015;314.0;169.0
5494;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Sex: Female;2016;319.0;175.0
5495;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2010;;
5496;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2011;;
5497;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2012;;
5498;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2013;357.0;198.0
5499;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2014;358.0;195.0
5500;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2015;370.0;201.0
5501;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 15 to 34 years;2016;388.0;216.0
5502;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2010;;
5503;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2011;;
5504;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2012;;
5505;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2013;229.0;186.0
5506;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2014;221.0;179.0
5507;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2015;209.0;169.0
5508;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 35 to 54 years;2016;204.0;166.0
5509;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2010;;
5510;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2011;;
5511;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2012;;
5512;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2013;115.0;83.0
5513;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2014;115.0;83.0
5514;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2015;116.0;85.0
5515;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Age: 55 years or older;2016;116.0;86.0
5516;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2010;;
5517;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2011;;
5518;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2012;;
5519;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2013;167.0;63.0
5520;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2014;162.0;60.0
5521;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2015;158.0;59.0
5522;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: low (among lowest 30 percent);2016;166.0;62.0
5523;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2010;;
5524;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2011;;
5525;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2012;;
5526;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2013;419.0;293.0
5527;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2014;414.0;287.0
5528;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2015;414.0;282.0
5529;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: middle;2016;414.0;285.0
5530;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2010;;
5531;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2011;;
5532;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2012;;
5533;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2013;50.0;46.0
5534;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2014;52.0;46.0
5535;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2015;52.0;47.0
5536;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Wage: high (among highest 20 percent);2016;49.0;45.0
5537;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2010;;
5538;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2011;;
5539;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2012;;
5540;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2013;664.0;444.0
5541;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2014;656.0;434.0
5542;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2015;659.0;434.0
5543;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Dutch;2016;673.0;448.0
5544;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2010;;
5545;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2011;;
5546;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2012;;
5547;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2013;;
5548;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2014;;
5549;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2015;;
5550;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Belgian;2016;;
5551;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2010;;
5552;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2011;;
5553;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2012;;
5554;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2013;;
5555;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2014;;
5556;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2015;;
5557;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: British;2016;;
5558;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2010;;
5559;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2011;;
5560;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2012;;
5561;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2013;;
5562;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2014;;
5563;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2015;;
5564;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: German;2016;;
5565;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2010;;
5566;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2011;;
5567;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2012;;
5568;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2013;;
5569;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2014;;
5570;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2015;;
5571;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Polish;2016;;
5572;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2010;;
5573;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2011;;
5574;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2012;;
5575;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2013;;
5576;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2014;;
5577;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2015;;
5578;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: Indian;2016;;
5579;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2010;;
5580;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2011;;
5581;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2012;;
5582;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2013;;
5583;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2014;;
5584;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2015;;
5585;Total domestic and foreign;G-I Trade, transport, hotels, catering;100 Lower education;Nationality: other;2016;;
5586;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2010;;
5587;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2011;;
5588;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2012;;
5589;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2013;1000.0;674.0
5590;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2014;1007.0;671.0
5591;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2015;1019.0;677.0
5592;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Total ;2016;1040.0;698.0
5593;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2010;;
5594;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2011;;
5595;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2012;;
5596;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2013;350.0;188.0
5597;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2014;371.0;197.0
5598;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2015;396.0;210.0
5599;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: specified time;2016;418.0;227.0
5600;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2010;;
5601;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2011;;
5602;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2012;;
5603;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2013;627.0;467.0
5604;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2014;613.0;456.0
5605;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2015;606.0;455.0
5606;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: unspecified time;2016;606.0;462.0
5607;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2010;;
5608;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2011;;
5609;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2012;;
5610;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2013;28.0;24.0
5611;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2014;27.0;24.0
5612;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2015;25.0;22.0
5613;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Type of contract: other;2016;25.0;22.0
5614;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2010;;
5615;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2011;;
5616;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2012;;
5617;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2013;568.0;438.0
5618;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2014;569.0;435.0
5619;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2015;573.0;436.0
5620;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Male;2016;587.0;450.0
5621;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2010;;
5622;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2011;;
5623;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2012;;
5624;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2013;432.0;236.0
5625;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2014;438.0;237.0
5626;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2015;447.0;241.0
5627;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Sex: Female;2016;453.0;249.0
5628;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2010;;
5629;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2011;;
5630;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2012;;
5631;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2013;500.0;278.0
5632;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2014;511.0;279.0
5633;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2015;522.0;284.0
5634;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 15 to 34 years;2016;533.0;296.0
5635;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2010;;
5636;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2011;;
5637;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2012;;
5638;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2013;387.0;314.0
5639;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2014;378.0;306.0
5640;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2015;376.0;305.0
5641;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 35 to 54 years;2016;378.0;309.0
5642;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2010;;
5643;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2011;;
5644;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2012;;
5645;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2013;112.0;81.0
5646;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2014;116.0;84.0
5647;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2015;120.0;88.0
5648;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Age: 55 years or older;2016;128.0;94.0
5649;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2010;;
5650;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2011;;
5651;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2012;;
5652;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2013;156.0;59.0
5653;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2014;157.0;58.0
5654;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2015;148.0;55.0
5655;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: low (among lowest 30 percent);2016;150.0;56.0
5656;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2010;;
5657;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2011;;
5658;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2012;;
5659;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2013;738.0;516.0
