ID;TripCharacteristics;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
4302;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;13.18;28.94
4303;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;13.63;29.75
4304;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;11.01;28.6
4305;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;11.08;29.81
4306;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;11.14;28.48
4307;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;12.02;29.41
4308;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2018;13.84;26.26
4309;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2019;16.55;28.62
4310;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2020;13.36;29.45
4311;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2021;14.31;30.0
4312;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2022;13.02;28.85
4313;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2023;14.63;28.05
4314;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;13.98;27.28
4315;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;13.95;27.26
4316;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;10.73;25.67
4317;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;11.17;27.14
4318;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;12.07;27.44
4319;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;12.88;27.39
4320;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2018;13.0;26.76
4321;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2019;12.88;26.77
4322;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2020;11.09;26.58
4323;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2021;11.3;28.72
4324;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2022;11.7;27.31
4325;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2023;11.18;26.45
4326;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2018;13.01;29.87
4327;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2019;13.09;30.83
4328;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2020;10.46;29.69
4329;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2021;10.47;31.16
4330;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2022;10.78;29.87
4331;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2023;11.24;30.1
4332;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2018;13.89;27.91
4333;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2019;14.25;28.39
4334;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2020;11.13;26.56
4335;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2021;11.55;28.02
4336;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2022;11.99;27.46
4337;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2023;12.57;27.66
4338;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2018;13.79;27.21
4339;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2019;14.6;28.03
4340;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2020;11.21;25.84
4341;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2021;11.69;27.38
4342;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2022;11.91;27.24
4343;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2023;12.7;27.02
4344;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2018;15.09;27.16
4345;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2019;15.13;27.71
4346;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2020;12.08;26.54
4347;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2021;12.42;27.89
4348;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2022;13.0;27.04
4349;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2023;13.27;26.78
4350;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2018;15.96;27.62
4351;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2019;17.46;29.94
4352;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2020;13.72;27.53
4353;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2021;14.24;30.07
4354;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2022;14.11;28.25
4355;Total;Population: 12 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2023;15.12;28.22
4356;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2018;19.23;29.6
4357;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2019;19.26;29.92
4358;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2020;16.66;26.13
4359;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2021;16.54;25.88
4360;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2022;17.61;27.96
4361;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2023;18.33;29.26
4362;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2018;21.03;26.93
4363;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2019;21.05;26.45
4364;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2020;17.51;24.68
4365;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2021;18.45;25.33
4366;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2022;18.7;25.64
4367;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2023;19.21;25.96
4368;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2018;20.69;29.58
4369;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2019;20.67;29.09
4370;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2020;18.04;25.7
4371;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2021;17.37;25.04
4372;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2022;18.91;27.6
4373;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2023;19.8;29.04
4374;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2018;18.58;31.46
4375;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2019;18.82;32.39
4376;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2020;16.32;27.89
4377;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2021;15.73;27.37
4378;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2022;16.72;29.32
4379;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2023;17.62;31.03
4380;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2018;18.39;26.75
4381;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2019;18.08;26.92
4382;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2020;15.61;23.66
4383;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2021;16.39;24.01
4384;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2022;17.62;26.64
4385;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2023;17.93;27.33
4386;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2018;18.73;26.54
4387;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2019;20.37;27.18
4388;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2020;17.3;26.65
4389;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2021;16.33;25.66
4390;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2022;18.33;27.14
4391;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2023;15.66;23.83
4392;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Fryslân (PV);2018;21.89;26.88
4393;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Fryslân (PV);2019;21.38;25.74
4394;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Fryslân (PV);2020;16.48;22.35
4395;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Fryslân (PV);2021;18.43;24.72
4396;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Fryslân (PV);2022;19.85;24.87
4397;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Fryslân (PV);2023;21.05;27.31
4398;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Drenthe (PV);2018;22.65;27.45
4399;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Drenthe (PV);2019;21.42;26.52
4400;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Drenthe (PV);2020;19.2;25.86
4401;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Drenthe (PV);2021;20.65;25.82
4402;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Drenthe (PV);2022;17.46;24.95
4403;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Drenthe (PV);2023;20.5;26.39
4404;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Overijssel (PV);2018;19.05;27.48
4405;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Overijssel (PV);2019;18.66;26.9
4406;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Overijssel (PV);2020;16.86;24.4
4407;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Overijssel (PV);2021;15.63;22.97
4408;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Overijssel (PV);2022;16.73;24.98
4409;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Overijssel (PV);2023;18.46;26.75
4410;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Flevoland (PV);2018;25.36;33.81
4411;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Flevoland (PV);2019;26.66;32.97
4412;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Flevoland (PV);2020;24.91;30.09
4413;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Flevoland (PV);2021;21.75;27.33
4414;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Flevoland (PV);2022;22.62;29.7
4415;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Flevoland (PV);2023;22.96;32.52
4416;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Gelderland (PV);2018;20.68;29.94
4417;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Gelderland (PV);2019;20.7;29.67
4418;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Gelderland (PV);2020;17.38;25.58
4419;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Gelderland (PV);2021;17.5;25.79
4420;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Gelderland (PV);2022;19.43;28.66
4421;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Gelderland (PV);2023;20.0;29.76
4422;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Utrecht (PV);2018;19.34;30.95
4423;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Utrecht (PV);2019;22.17;32.78
4424;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Utrecht (PV);2020;18.71;28.16
4425;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Utrecht (PV);2021;18.57;28.29
4426;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Utrecht (PV);2022;18.84;29.61
4427;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Utrecht (PV);2023;19.87;31.92
4428;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Holland (PV);2018;18.74;32.72
4429;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Holland (PV);2019;18.32;33.08
4430;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Holland (PV);2020;15.86;28.53
4431;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Holland (PV);2021;15.51;27.75
4432;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Holland (PV);2022;16.37;29.18
4433;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Holland (PV);2023;16.65;31.03
4434;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Holland (PV);2018;18.48;31.71
4435;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Holland (PV);2019;17.93;32.27
4436;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Holland (PV);2020;16.07;27.93
4437;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Holland (PV);2021;15.07;27.65
4438;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Holland (PV);2022;16.22;30.1
4439;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Holland (PV);2023;17.27;31.36
4440;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zeeland (PV);2018;15.5;21.14
4441;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zeeland (PV);2019;19.15;26.67
4442;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zeeland (PV);2020;14.0;22.04
4443;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zeeland (PV);2021;14.06;21.16
4444;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zeeland (PV);2022;16.85;22.77
4445;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Zeeland (PV);2023;19.98;25.55
4446;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Brabant (PV);2018;19.03;27.73
4447;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Brabant (PV);2019;18.53;27.66
4448;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Brabant (PV);2020;15.69;23.82
4449;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Brabant (PV);2021;16.81;24.41
4450;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Brabant (PV);2022;17.86;26.81
4451;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Brabant (PV);2023;18.32;27.9
4452;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Limburg (PV);2018;16.91;24.49
4453;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Limburg (PV);2019;16.96;25.09
4454;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Limburg (PV);2020;15.44;23.29
4455;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Limburg (PV);2021;15.4;23.05
4456;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Limburg (PV);2022;17.04;26.23
4457;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Limburg (PV);2023;16.91;25.81
4458;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Extremely urbanised;2018;17.61;32.75
4459;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Extremely urbanised;2019;17.26;32.46
4460;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Extremely urbanised;2020;15.14;29.36
4461;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Extremely urbanised;2021;14.73;28.92
4462;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Extremely urbanised;2022;15.28;30.24
4463;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Extremely urbanised;2023;16.35;31.86
4464;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Strongly urbanised;2018;19.58;30.4
4465;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Strongly urbanised;2019;19.3;30.36
4466;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Strongly urbanised;2020;17.27;26.56
4467;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Strongly urbanised;2021;16.19;25.56
4468;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Strongly urbanised;2022;18.43;28.81
4469;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Strongly urbanised;2023;18.84;29.99
4470;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Moderately urbanised;2018;19.33;28.33
4471;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Moderately urbanised;2019;19.99;29.24
4472;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Moderately urbanised;2020;15.82;23.88
4473;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Moderately urbanised;2021;16.64;24.49
4474;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Moderately urbanised;2022;17.52;26.77
4475;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Moderately urbanised;2023;18.5;27.92
4476;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Hardly urbanised;2018;20.02;27.06
4477;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Hardly urbanised;2019;19.79;27.86
4478;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Hardly urbanised;2020;17.08;24.37
4479;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Hardly urbanised;2021;17.65;24.79
4480;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Hardly urbanised;2022;19.0;26.43
4481;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Hardly urbanised;2023;19.28;27.54
4482;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Not urbanised;2018;20.36;26.69
4483;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Not urbanised;2019;22.01;27.74
4484;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Not urbanised;2020;18.89;26.15
4485;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Not urbanised;2021;18.89;25.09
4486;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Not urbanised;2022;17.62;24.96
4487;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Value;Not urbanised;2023;19.46;26.19
4488;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;The Netherlands;2018;18.82;29.18
4489;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;The Netherlands;2019;18.8;29.41
4490;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;The Netherlands;2020;16.24;25.65
4491;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;The Netherlands;2021;16.11;25.42
4492;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;The Netherlands;2022;17.16;27.48
4493;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;The Netherlands;2023;17.9;28.79
4494;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;19.5;25.68
4495;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;19.06;24.95
4496;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;16.07;23.22
4497;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;16.87;23.77
4498;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;16.91;23.97
4499;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;17.46;24.4
4500;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;19.76;28.6
4501;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;19.59;28.04
4502;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;17.04;24.7
4503;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;16.4;24.07
4504;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;17.86;26.55
4505;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;18.81;27.98
4506;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;West-Nederland (LD);2018;18.02;30.85
4507;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;West-Nederland (LD);2019;18.23;31.6
4508;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;West-Nederland (LD);2020;15.74;27.18
4509;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;West-Nederland (LD);2021;15.21;26.73
4510;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;West-Nederland (LD);2022;16.2;28.71
4511;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;West-Nederland (LD);2023;17.06;30.4
4512;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;17.53;25.93
4513;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;17.12;26.01
4514;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;14.71;22.6
4515;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;15.37;23.03
4516;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;16.54;25.41
4517;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;17.0;26.24
4518;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Groningen (PV);2018;16.26;24.47
4519;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Groningen (PV);2019;16.37;24.29
4520;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Groningen (PV);2020;15.0;24.22
4521;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Groningen (PV);2021;14.16;23.48
4522;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Groningen (PV);2022;15.09;24.12
4523;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Groningen (PV);2023;13.18;21.75
4524;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Fryslân (PV);2018;19.29;24.82
4525;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Fryslân (PV);2019;18.5;23.45
4526;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Fryslân (PV);2020;14.06;20.16
4527;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Fryslân (PV);2021;15.88;21.75
4528;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Fryslân (PV);2022;17.05;22.36
4529;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Fryslân (PV);2023;17.77;24.36
4530;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Drenthe (PV);2018;19.76;25.06
4531;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Drenthe (PV);2019;17.95;23.91
4532;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Drenthe (PV);2020;16.51;22.88
4533;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Drenthe (PV);2021;17.27;23.25
4534;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Drenthe (PV);2022;14.12;21.72
4535;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Drenthe (PV);2023;17.51;23.66
4536;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Overijssel (PV);2018;17.34;25.6
4537;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Overijssel (PV);2019;16.73;25.08
4538;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Overijssel (PV);2020;15.13;22.46
4539;Total;Population: 12 years or older;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;Overijssel (PV);2021;13.91;21.25
