ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
3985;Total health related expenditure;HP12: Mental health institutions,;2008;637
3986;Total health related expenditure;HP12: Mental health institutions,;2009;1058
3987;Total health related expenditure;HP12: Mental health institutions,;2010;1117
3988;Total health related expenditure;HP12: Mental health institutions,;2011;1177
3989;Total health related expenditure;HP12: Mental health institutions,;2012;1178
3990;Total health related expenditure;HP12: Mental health institutions,;2013;1389
3991;Total health related expenditure;HP12: Mental health institutions,;2014;1431
3992;Total health related expenditure;HP12: Mental health institutions,;2015;1204
3993;Total health related expenditure;HP12: Mental health institutions,;2016;1143
3994;Total health related expenditure;HP12: Mental health institutions,;2017;1121
3995;Total health related expenditure;HP12: Mental health institutions,;2018;1155
3996;Total health related expenditure;HP12: Mental health institutions,;2019;1222
3997;Total health related expenditure;HP12: Mental health institutions,;2020;1266
3998;Total health related expenditure;HP12: Mental health institutions,;2021;1404
3999;Total health related expenditure;HP12: Mental health institutions,;2022;1470
4000;Total health related expenditure;HP13: Specialised hospitals;1998;0
4001;Total health related expenditure;HP13: Specialised hospitals;1999;0
4002;Total health related expenditure;HP13: Specialised hospitals;2000;0
4003;Total health related expenditure;HP13: Specialised hospitals;2001;0
4004;Total health related expenditure;HP13: Specialised hospitals;2002;0
4005;Total health related expenditure;HP13: Specialised hospitals;2003;0
4006;Total health related expenditure;HP13: Specialised hospitals;2004;0
4007;Total health related expenditure;HP13: Specialised hospitals;2005;0
4008;Total health related expenditure;HP13: Specialised hospitals;2006;0
4009;Total health related expenditure;HP13: Specialised hospitals;2007;0
4010;Total health related expenditure;HP13: Specialised hospitals;2008;0
4011;Total health related expenditure;HP13: Specialised hospitals;2009;0
4012;Total health related expenditure;HP13: Specialised hospitals;2010;0
4013;Total health related expenditure;HP13: Specialised hospitals;2011;0
4014;Total health related expenditure;HP13: Specialised hospitals;2012;0
4015;Total health related expenditure;HP13: Specialised hospitals;2013;0
4016;Total health related expenditure;HP13: Specialised hospitals;2014;0
4017;Total health related expenditure;HP13: Specialised hospitals;2015;0
4018;Total health related expenditure;HP13: Specialised hospitals;2016;0
4019;Total health related expenditure;HP13: Specialised hospitals;2017;0
4020;Total health related expenditure;HP13: Specialised hospitals;2018;0
4021;Total health related expenditure;HP13: Specialised hospitals;2019;0
4022;Total health related expenditure;HP13: Specialised hospitals;2020;0
4023;Total health related expenditure;HP13: Specialised hospitals;2021;0
4024;Total health related expenditure;HP13: Specialised hospitals;2022;0
4025;Total health related expenditure;HP2: Nursing and residential care facil.;1998;2484
4026;Total health related expenditure;HP2: Nursing and residential care facil.;1999;2635
4027;Total health related expenditure;HP2: Nursing and residential care facil.;2000;2857
4028;Total health related expenditure;HP2: Nursing and residential care facil.;2001;3165
4029;Total health related expenditure;HP2: Nursing and residential care facil.;2002;3520
4030;Total health related expenditure;HP2: Nursing and residential care facil.;2003;3820
4031;Total health related expenditure;HP2: Nursing and residential care facil.;2004;3996
4032;Total health related expenditure;HP2: Nursing and residential care facil.;2005;4219
4033;Total health related expenditure;HP2: Nursing and residential care facil.;2006;3978
4034;Total health related expenditure;HP2: Nursing and residential care facil.;2007;4013
4035;Total health related expenditure;HP2: Nursing and residential care facil.;2008;4140
4036;Total health related expenditure;HP2: Nursing and residential care facil.;2009;4469
4037;Total health related expenditure;HP2: Nursing and residential care facil.;2010;4714
4038;Total health related expenditure;HP2: Nursing and residential care facil.;2011;4831
4039;Total health related expenditure;HP2: Nursing and residential care facil.;2012;5008
4040;Total health related expenditure;HP2: Nursing and residential care facil.;2013;4538
4041;Total health related expenditure;HP2: Nursing and residential care facil.;2014;4475
4042;Total health related expenditure;HP2: Nursing and residential care facil.;2015;5019
4043;Total health related expenditure;HP2: Nursing and residential care facil.;2016;5188
4044;Total health related expenditure;HP2: Nursing and residential care facil.;2017;5101
4045;Total health related expenditure;HP2: Nursing and residential care facil.;2018;5369
4046;Total health related expenditure;HP2: Nursing and residential care facil.;2019;5618
4047;Total health related expenditure;HP2: Nursing and residential care facil.;2020;6093
4048;Total health related expenditure;HP2: Nursing and residential care facil.;2021;5809
4049;Total health related expenditure;HP2: Nursing and residential care facil.;2022;5899
4050;Total health related expenditure;HP21: Nursing care facilities;1998;1316
4051;Total health related expenditure;HP21: Nursing care facilities;1999;1370
4052;Total health related expenditure;HP21: Nursing care facilities;2000;1497
4053;Total health related expenditure;HP21: Nursing care facilities;2001;1682
4054;Total health related expenditure;HP21: Nursing care facilities;2002;1864
4055;Total health related expenditure;HP21: Nursing care facilities;2003;2023
4056;Total health related expenditure;HP21: Nursing care facilities;2004;2104
4057;Total health related expenditure;HP21: Nursing care facilities;2005;2251
4058;Total health related expenditure;HP21: Nursing care facilities;2006;1625
4059;Total health related expenditure;HP21: Nursing care facilities;2007;1567
4060;Total health related expenditure;HP21: Nursing care facilities;2008;1484
4061;Total health related expenditure;HP21: Nursing care facilities;2009;1594
4062;Total health related expenditure;HP21: Nursing care facilities;2010;1751
4063;Total health related expenditure;HP21: Nursing care facilities;2011;1833
4064;Total health related expenditure;HP21: Nursing care facilities;2012;1839
4065;Total health related expenditure;HP21: Nursing care facilities;2013;1598
4066;Total health related expenditure;HP21: Nursing care facilities;2014;1560
4067;Total health related expenditure;HP21: Nursing care facilities;2015;1819
4068;Total health related expenditure;HP21: Nursing care facilities;2016;1770
4069;Total health related expenditure;HP21: Nursing care facilities;2017;1794
4070;Total health related expenditure;HP21: Nursing care facilities;2018;1812
4071;Total health related expenditure;HP21: Nursing care facilities;2019;1901
4072;Total health related expenditure;HP21: Nursing care facilities;2020;2259
4073;Total health related expenditure;HP21: Nursing care facilities;2021;1943
4074;Total health related expenditure;HP21: Nursing care facilities;2022;1852
4075;Total health related expenditure;HP22-29: Facilities for the disabled;1998;1168
4076;Total health related expenditure;HP22-29: Facilities for the disabled;1999;1265
4077;Total health related expenditure;HP22-29: Facilities for the disabled;2000;1360
4078;Total health related expenditure;HP22-29: Facilities for the disabled;2001;1484
4079;Total health related expenditure;HP22-29: Facilities for the disabled;2002;1656
4080;Total health related expenditure;HP22-29: Facilities for the disabled;2003;1797
4081;Total health related expenditure;HP22-29: Facilities for the disabled;2004;1892
4082;Total health related expenditure;HP22-29: Facilities for the disabled;2005;1968
4083;Total health related expenditure;HP22-29: Facilities for the disabled;2006;2353
4084;Total health related expenditure;HP22-29: Facilities for the disabled;2007;2446
4085;Total health related expenditure;HP22-29: Facilities for the disabled;2008;2656
4086;Total health related expenditure;HP22-29: Facilities for the disabled;2009;2875
4087;Total health related expenditure;HP22-29: Facilities for the disabled;2010;2963
4088;Total health related expenditure;HP22-29: Facilities for the disabled;2011;2998
4089;Total health related expenditure;HP22-29: Facilities for the disabled;2012;3169
4090;Total health related expenditure;HP22-29: Facilities for the disabled;2013;2940
4091;Total health related expenditure;HP22-29: Facilities for the disabled;2014;2916
4092;Total health related expenditure;HP22-29: Facilities for the disabled;2015;3200
4093;Total health related expenditure;HP22-29: Facilities for the disabled;2016;3418
4094;Total health related expenditure;HP22-29: Facilities for the disabled;2017;3306
4095;Total health related expenditure;HP22-29: Facilities for the disabled;2018;3557
4096;Total health related expenditure;HP22-29: Facilities for the disabled;2019;3717
4097;Total health related expenditure;HP22-29: Facilities for the disabled;2020;3834
4098;Total health related expenditure;HP22-29: Facilities for the disabled;2021;3866
4099;Total health related expenditure;HP22-29: Facilities for the disabled;2022;4047
4100;Total health related expenditure;HP3: Providers of ambulatory health care;1998;0
4101;Total health related expenditure;HP3: Providers of ambulatory health care;1999;0
4102;Total health related expenditure;HP3: Providers of ambulatory health care;2000;2
4103;Total health related expenditure;HP3: Providers of ambulatory health care;2001;0
4104;Total health related expenditure;HP3: Providers of ambulatory health care;2002;0
4105;Total health related expenditure;HP3: Providers of ambulatory health care;2003;0
4106;Total health related expenditure;HP3: Providers of ambulatory health care;2004;0
4107;Total health related expenditure;HP3: Providers of ambulatory health care;2005;0
4108;Total health related expenditure;HP3: Providers of ambulatory health care;2006;0
4109;Total health related expenditure;HP3: Providers of ambulatory health care;2007;0
4110;Total health related expenditure;HP3: Providers of ambulatory health care;2008;0
4111;Total health related expenditure;HP3: Providers of ambulatory health care;2009;0
4112;Total health related expenditure;HP3: Providers of ambulatory health care;2010;0
4113;Total health related expenditure;HP3: Providers of ambulatory health care;2011;0
4114;Total health related expenditure;HP3: Providers of ambulatory health care;2012;0
4115;Total health related expenditure;HP3: Providers of ambulatory health care;2013;0
4116;Total health related expenditure;HP3: Providers of ambulatory health care;2014;0
4117;Total health related expenditure;HP3: Providers of ambulatory health care;2015;66
4118;Total health related expenditure;HP3: Providers of ambulatory health care;2016;52
4119;Total health related expenditure;HP3: Providers of ambulatory health care;2017;45
4120;Total health related expenditure;HP3: Providers of ambulatory health care;2018;45
4121;Total health related expenditure;HP3: Providers of ambulatory health care;2019;42
4122;Total health related expenditure;HP3: Providers of ambulatory health care;2020;40
4123;Total health related expenditure;HP3: Providers of ambulatory health care;2021;32
4124;Total health related expenditure;HP3: Providers of ambulatory health care;2022;26
4125;Total health related expenditure;HP31: Medical practices;1998;0
4126;Total health related expenditure;HP31: Medical practices;1999;0
4127;Total health related expenditure;HP31: Medical practices;2000;0
4128;Total health related expenditure;HP31: Medical practices;2001;0
4129;Total health related expenditure;HP31: Medical practices;2002;0
4130;Total health related expenditure;HP31: Medical practices;2003;0
4131;Total health related expenditure;HP31: Medical practices;2004;0
4132;Total health related expenditure;HP31: Medical practices;2005;0
4133;Total health related expenditure;HP31: Medical practices;2006;0
4134;Total health related expenditure;HP31: Medical practices;2007;0
4135;Total health related expenditure;HP31: Medical practices;2008;0
4136;Total health related expenditure;HP31: Medical practices;2009;0
4137;Total health related expenditure;HP31: Medical practices;2010;0
4138;Total health related expenditure;HP31: Medical practices;2011;0
4139;Total health related expenditure;HP31: Medical practices;2012;0
4140;Total health related expenditure;HP31: Medical practices;2013;0
4141;Total health related expenditure;HP31: Medical practices;2014;0
4142;Total health related expenditure;HP31: Medical practices;2015;0
4143;Total health related expenditure;HP31: Medical practices;2016;0
4144;Total health related expenditure;HP31: Medical practices;2017;0
4145;Total health related expenditure;HP31: Medical practices;2018;0
4146;Total health related expenditure;HP31: Medical practices;2019;0
4147;Total health related expenditure;HP31: Medical practices;2020;0
4148;Total health related expenditure;HP31: Medical practices;2021;0
4149;Total health related expenditure;HP31: Medical practices;2022;0
4150;Total health related expenditure;HP32: Dental practices;1998;0
4151;Total health related expenditure;HP32: Dental practices;1999;0
4152;Total health related expenditure;HP32: Dental practices;2000;0
4153;Total health related expenditure;HP32: Dental practices;2001;0
4154;Total health related expenditure;HP32: Dental practices;2002;0
4155;Total health related expenditure;HP32: Dental practices;2003;0
4156;Total health related expenditure;HP32: Dental practices;2004;0
4157;Total health related expenditure;HP32: Dental practices;2005;0
4158;Total health related expenditure;HP32: Dental practices;2006;0
4159;Total health related expenditure;HP32: Dental practices;2007;0
4160;Total health related expenditure;HP32: Dental practices;2008;0
4161;Total health related expenditure;HP32: Dental practices;2009;0
4162;Total health related expenditure;HP32: Dental practices;2010;0
4163;Total health related expenditure;HP32: Dental practices;2011;0
4164;Total health related expenditure;HP32: Dental practices;2012;0
4165;Total health related expenditure;HP32: Dental practices;2013;0
4166;Total health related expenditure;HP32: Dental practices;2014;0
4167;Total health related expenditure;HP32: Dental practices;2015;0
4168;Total health related expenditure;HP32: Dental practices;2016;0
4169;Total health related expenditure;HP32: Dental practices;2017;0
4170;Total health related expenditure;HP32: Dental practices;2018;0
4171;Total health related expenditure;HP32: Dental practices;2019;0
4172;Total health related expenditure;HP32: Dental practices;2020;0
4173;Total health related expenditure;HP32: Dental practices;2021;0
4174;Total health related expenditure;HP32: Dental practices;2022;0
4175;Total health related expenditure;HP34: Ambulatory health care centres;1998;0
4176;Total health related expenditure;HP34: Ambulatory health care centres;1999;0
4177;Total health related expenditure;HP34: Ambulatory health care centres;2000;2
4178;Total health related expenditure;HP34: Ambulatory health care centres;2001;0
4179;Total health related expenditure;HP34: Ambulatory health care centres;2002;0
4180;Total health related expenditure;HP34: Ambulatory health care centres;2003;0
4181;Total health related expenditure;HP34: Ambulatory health care centres;2004;0
4182;Total health related expenditure;HP34: Ambulatory health care centres;2005;0
4183;Total health related expenditure;HP34: Ambulatory health care centres;2006;0
4184;Total health related expenditure;HP34: Ambulatory health care centres;2007;0
4185;Total health related expenditure;HP34: Ambulatory health care centres;2008;0
4186;Total health related expenditure;HP34: Ambulatory health care centres;2009;0
4187;Total health related expenditure;HP34: Ambulatory health care centres;2010;0
4188;Total health related expenditure;HP34: Ambulatory health care centres;2011;0
4189;Total health related expenditure;HP34: Ambulatory health care centres;2012;0
4190;Total health related expenditure;HP34: Ambulatory health care centres;2013;0
4191;Total health related expenditure;HP34: Ambulatory health care centres;2014;0
4192;Total health related expenditure;HP34: Ambulatory health care centres;2015;66
4193;Total health related expenditure;HP34: Ambulatory health care centres;2016;52
4194;Total health related expenditure;HP34: Ambulatory health care centres;2017;45
4195;Total health related expenditure;HP34: Ambulatory health care centres;2018;45
4196;Total health related expenditure;HP34: Ambulatory health care centres;2019;42
4197;Total health related expenditure;HP34: Ambulatory health care centres;2020;40
4198;Total health related expenditure;HP34: Ambulatory health care centres;2021;32
4199;Total health related expenditure;HP34: Ambulatory health care centres;2022;26
4200;Total health related expenditure;HP33 : Other health care practitioners;1998;0
4201;Total health related expenditure;HP33 : Other health care practitioners;1999;0
4202;Total health related expenditure;HP33 : Other health care practitioners;2000;0
4203;Total health related expenditure;HP33 : Other health care practitioners;2001;0
4204;Total health related expenditure;HP33 : Other health care practitioners;2002;0
4205;Total health related expenditure;HP33 : Other health care practitioners;2003;0
4206;Total health related expenditure;HP33 : Other health care practitioners;2004;0
4207;Total health related expenditure;HP33 : Other health care practitioners;2005;0
4208;Total health related expenditure;HP33 : Other health care practitioners;2006;0
4209;Total health related expenditure;HP33 : Other health care practitioners;2007;0
4210;Total health related expenditure;HP33 : Other health care practitioners;2008;0
4211;Total health related expenditure;HP33 : Other health care practitioners;2009;0
4212;Total health related expenditure;HP33 : Other health care practitioners;2010;0
4213;Total health related expenditure;HP33 : Other health care practitioners;2011;0
4214;Total health related expenditure;HP33 : Other health care practitioners;2012;0
4215;Total health related expenditure;HP33 : Other health care practitioners;2013;0
4216;Total health related expenditure;HP33 : Other health care practitioners;2014;0
4217;Total health related expenditure;HP33 : Other health care practitioners;2015;0
4218;Total health related expenditure;HP33 : Other health care practitioners;2016;0
4219;Total health related expenditure;HP33 : Other health care practitioners;2017;0
4220;Total health related expenditure;HP33 : Other health care practitioners;2018;0
4221;Total health related expenditure;HP33 : Other health care practitioners;2019;0
4222;Total health related expenditure;HP33 : Other health care practitioners;2020;0
4223;Total health related expenditure;HP33 : Other health care practitioners;2021;0
4224;Total health related expenditure;HP33 : Other health care practitioners;2022;0
4225;Total health related expenditure;HP4: Providers of ancillary services;1998;0
4226;Total health related expenditure;HP4: Providers of ancillary services;1999;0
4227;Total health related expenditure;HP4: Providers of ancillary services;2000;0
4228;Total health related expenditure;HP4: Providers of ancillary services;2001;0
4229;Total health related expenditure;HP4: Providers of ancillary services;2002;0
4230;Total health related expenditure;HP4: Providers of ancillary services;2003;0
4231;Total health related expenditure;HP4: Providers of ancillary services;2004;0
4232;Total health related expenditure;HP4: Providers of ancillary services;2005;0
4233;Total health related expenditure;HP4: Providers of ancillary services;2006;0
4234;Total health related expenditure;HP4: Providers of ancillary services;2007;0
4235;Total health related expenditure;HP4: Providers of ancillary services;2008;0
4236;Total health related expenditure;HP4: Providers of ancillary services;2009;0
4237;Total health related expenditure;HP4: Providers of ancillary services;2010;0
4238;Total health related expenditure;HP4: Providers of ancillary services;2011;0
4239;Total health related expenditure;HP4: Providers of ancillary services;2012;0
4240;Total health related expenditure;HP4: Providers of ancillary services;2013;0
4241;Total health related expenditure;HP4: Providers of ancillary services;2014;0
4242;Total health related expenditure;HP4: Providers of ancillary services;2015;0
4243;Total health related expenditure;HP4: Providers of ancillary services;2016;0
4244;Total health related expenditure;HP4: Providers of ancillary services;2017;0
4245;Total health related expenditure;HP4: Providers of ancillary services;2018;0
4246;Total health related expenditure;HP4: Providers of ancillary services;2019;0
4247;Total health related expenditure;HP4: Providers of ancillary services;2020;0
4248;Total health related expenditure;HP4: Providers of ancillary services;2021;0
4249;Total health related expenditure;HP4: Providers of ancillary services;2022;0
4250;Total health related expenditure;HP41: Patient transportation, emergency;1998;0
4251;Total health related expenditure;HP41: Patient transportation, emergency;1999;0
4252;Total health related expenditure;HP41: Patient transportation, emergency;2000;0
4253;Total health related expenditure;HP41: Patient transportation, emergency;2001;0
4254;Total health related expenditure;HP41: Patient transportation, emergency;2002;0
4255;Total health related expenditure;HP41: Patient transportation, emergency;2003;0
4256;Total health related expenditure;HP41: Patient transportation, emergency;2004;0
4257;Total health related expenditure;HP41: Patient transportation, emergency;2005;0
4258;Total health related expenditure;HP41: Patient transportation, emergency;2006;0
4259;Total health related expenditure;HP41: Patient transportation, emergency;2007;0
4260;Total health related expenditure;HP41: Patient transportation, emergency;2008;0
4261;Total health related expenditure;HP41: Patient transportation, emergency;2009;0
4262;Total health related expenditure;HP41: Patient transportation, emergency;2010;0
4263;Total health related expenditure;HP41: Patient transportation, emergency;2011;0
4264;Total health related expenditure;HP41: Patient transportation, emergency;2012;0
4265;Total health related expenditure;HP41: Patient transportation, emergency;2013;0
4266;Total health related expenditure;HP41: Patient transportation, emergency;2014;0
4267;Total health related expenditure;HP41: Patient transportation, emergency;2015;0
4268;Total health related expenditure;HP41: Patient transportation, emergency;2016;0
4269;Total health related expenditure;HP41: Patient transportation, emergency;2017;0
4270;Total health related expenditure;HP41: Patient transportation, emergency;2018;0
4271;Total health related expenditure;HP41: Patient transportation, emergency;2019;0
4272;Total health related expenditure;HP41: Patient transportation, emergency;2020;0
4273;Total health related expenditure;HP41: Patient transportation, emergency;2021;0
4274;Total health related expenditure;HP41: Patient transportation, emergency;2022;0
4275;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;1998;0
4276;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;1999;0
4277;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2000;0
4278;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2001;0
4279;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2002;0
4280;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2003;0
4281;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2004;0
4282;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2005;0
4283;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2006;0
4284;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2007;0
4285;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2008;0
4286;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2009;0
4287;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2010;0
4288;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2011;0
4289;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2012;0
4290;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2013;0
4291;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2014;0
4292;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2015;0
4293;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2016;0
4294;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2017;0
4295;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2018;0
4296;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2019;0
4297;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2020;0
4298;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2021;0
4299;Total health related expenditure;HP42-49: Laboratories, other anc. serv.;2022;0
4300;Total health related expenditure;HP5: Retailers of medical goods;1998;0
4301;Total health related expenditure;HP5: Retailers of medical goods;1999;0
4302;Total health related expenditure;HP5: Retailers of medical goods;2000;0
4303;Total health related expenditure;HP5: Retailers of medical goods;2001;0
4304;Total health related expenditure;HP5: Retailers of medical goods;2002;0
4305;Total health related expenditure;HP5: Retailers of medical goods;2003;0
4306;Total health related expenditure;HP5: Retailers of medical goods;2004;0
4307;Total health related expenditure;HP5: Retailers of medical goods;2005;0
4308;Total health related expenditure;HP5: Retailers of medical goods;2006;0
4309;Total health related expenditure;HP5: Retailers of medical goods;2007;0
4310;Total health related expenditure;HP5: Retailers of medical goods;2008;0
4311;Total health related expenditure;HP5: Retailers of medical goods;2009;0
4312;Total health related expenditure;HP5: Retailers of medical goods;2010;0
4313;Total health related expenditure;HP5: Retailers of medical goods;2011;0
4314;Total health related expenditure;HP5: Retailers of medical goods;2012;0
4315;Total health related expenditure;HP5: Retailers of medical goods;2013;0
4316;Total health related expenditure;HP5: Retailers of medical goods;2014;0
4317;Total health related expenditure;HP5: Retailers of medical goods;2015;0
4318;Total health related expenditure;HP5: Retailers of medical goods;2016;0
4319;Total health related expenditure;HP5: Retailers of medical goods;2017;0
4320;Total health related expenditure;HP5: Retailers of medical goods;2018;0
4321;Total health related expenditure;HP5: Retailers of medical goods;2019;0
4322;Total health related expenditure;HP5: Retailers of medical goods;2020;0
4323;Total health related expenditure;HP5: Retailers of medical goods;2021;0
4324;Total health related expenditure;HP5: Retailers of medical goods;2022;0
4325;Total health related expenditure;HP51: Pharmacies;1998;0
4326;Total health related expenditure;HP51: Pharmacies;1999;0
4327;Total health related expenditure;HP51: Pharmacies;2000;0
4328;Total health related expenditure;HP51: Pharmacies;2001;0
4329;Total health related expenditure;HP51: Pharmacies;2002;0
4330;Total health related expenditure;HP51: Pharmacies;2003;0
4331;Total health related expenditure;HP51: Pharmacies;2004;0
4332;Total health related expenditure;HP51: Pharmacies;2005;0
4333;Total health related expenditure;HP51: Pharmacies;2006;0
4334;Total health related expenditure;HP51: Pharmacies;2007;0
4335;Total health related expenditure;HP51: Pharmacies;2008;0
4336;Total health related expenditure;HP51: Pharmacies;2009;0
4337;Total health related expenditure;HP51: Pharmacies;2010;0
4338;Total health related expenditure;HP51: Pharmacies;2011;0
4339;Total health related expenditure;HP51: Pharmacies;2012;0
4340;Total health related expenditure;HP51: Pharmacies;2013;0
4341;Total health related expenditure;HP51: Pharmacies;2014;0
4342;Total health related expenditure;HP51: Pharmacies;2015;0
4343;Total health related expenditure;HP51: Pharmacies;2016;0
4344;Total health related expenditure;HP51: Pharmacies;2017;0
4345;Total health related expenditure;HP51: Pharmacies;2018;0
4346;Total health related expenditure;HP51: Pharmacies;2019;0
4347;Total health related expenditure;HP51: Pharmacies;2020;0
4348;Total health related expenditure;HP51: Pharmacies;2021;0
4349;Total health related expenditure;HP51: Pharmacies;2022;0
4350;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;1998;0
4351;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;1999;0
4352;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2000;0
4353;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2001;0
4354;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2002;0
4355;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2003;0
4356;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2004;0
4357;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2005;0
4358;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2006;0
4359;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2007;0
4360;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2008;0
4361;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2009;0
4362;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2010;0
4363;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2011;0
4364;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2012;0
4365;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2013;0
4366;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2014;0
4367;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2015;0
4368;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2016;0
4369;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2017;0
4370;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2018;0
4371;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2019;0
4372;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2020;0
4373;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2021;0
4374;Total health related expenditure;HP52-59 : Suppl. med. appliances, other;2022;0
4375;Total health related expenditure;HP6: Providers of preventive care;1998;0
4376;Total health related expenditure;HP6: Providers of preventive care;1999;0
4377;Total health related expenditure;HP6: Providers of preventive care;2000;0
4378;Total health related expenditure;HP6: Providers of preventive care;2001;0
4379;Total health related expenditure;HP6: Providers of preventive care;2002;0
4380;Total health related expenditure;HP6: Providers of preventive care;2003;0
4381;Total health related expenditure;HP6: Providers of preventive care;2004;0
4382;Total health related expenditure;HP6: Providers of preventive care;2005;0
4383;Total health related expenditure;HP6: Providers of preventive care;2006;0
4384;Total health related expenditure;HP6: Providers of preventive care;2007;0
4385;Total health related expenditure;HP6: Providers of preventive care;2008;0
4386;Total health related expenditure;HP6: Providers of preventive care;2009;0
4387;Total health related expenditure;HP6: Providers of preventive care;2010;0
4388;Total health related expenditure;HP6: Providers of preventive care;2011;0
4389;Total health related expenditure;HP6: Providers of preventive care;2012;0
4390;Total health related expenditure;HP6: Providers of preventive care;2013;0
4391;Total health related expenditure;HP6: Providers of preventive care;2014;0
4392;Total health related expenditure;HP6: Providers of preventive care;2015;0
4393;Total health related expenditure;HP6: Providers of preventive care;2016;0
4394;Total health related expenditure;HP6: Providers of preventive care;2017;0
4395;Total health related expenditure;HP6: Providers of preventive care;2018;0
4396;Total health related expenditure;HP6: Providers of preventive care;2019;0
4397;Total health related expenditure;HP6: Providers of preventive care;2020;0
4398;Total health related expenditure;HP6: Providers of preventive care;2021;0
4399;Total health related expenditure;HP6: Providers of preventive care;2022;0
4400;Total health related expenditure;HP7: Healthcare adm. and financ.;1998;0
4401;Total health related expenditure;HP7: Healthcare adm. and financ.;1999;0
4402;Total health related expenditure;HP7: Healthcare adm. and financ.;2000;0
4403;Total health related expenditure;HP7: Healthcare adm. and financ.;2001;0
4404;Total health related expenditure;HP7: Healthcare adm. and financ.;2002;0
4405;Total health related expenditure;HP7: Healthcare adm. and financ.;2003;0
4406;Total health related expenditure;HP7: Healthcare adm. and financ.;2004;0
4407;Total health related expenditure;HP7: Healthcare adm. and financ.;2005;0
4408;Total health related expenditure;HP7: Healthcare adm. and financ.;2006;0
4409;Total health related expenditure;HP7: Healthcare adm. and financ.;2007;0
4410;Total health related expenditure;HP7: Healthcare adm. and financ.;2008;0
4411;Total health related expenditure;HP7: Healthcare adm. and financ.;2009;0
4412;Total health related expenditure;HP7: Healthcare adm. and financ.;2010;0
4413;Total health related expenditure;HP7: Healthcare adm. and financ.;2011;0
4414;Total health related expenditure;HP7: Healthcare adm. and financ.;2012;0
4415;Total health related expenditure;HP7: Healthcare adm. and financ.;2013;0
4416;Total health related expenditure;HP7: Healthcare adm. and financ.;2014;0
4417;Total health related expenditure;HP7: Healthcare adm. and financ.;2015;0
4418;Total health related expenditure;HP7: Healthcare adm. and financ.;2016;0
4419;Total health related expenditure;HP7: Healthcare adm. and financ.;2017;0
4420;Total health related expenditure;HP7: Healthcare adm. and financ.;2018;0
4421;Total health related expenditure;HP7: Healthcare adm. and financ.;2019;0
4422;Total health related expenditure;HP7: Healthcare adm. and financ.;2020;0
4423;Total health related expenditure;HP7: Healthcare adm. and financ.;2021;0
4424;Total health related expenditure;HP7: Healthcare adm. and financ.;2022;0
4425;Total health related expenditure;HP71: Government health administration;1998;0
