ID;CharRegionalBusinessClassification;Periods;SicknessAbsenceRateTotal_1;SicknessAbsenceRate1stYear_2;SicknessAbsenceRate2ndYear_3;SicknessAbsenceRateTotal_4;SicknessAbsenceRate17Days_5;SicknessAbsenceRate842Days_6;SicknessAbsenceRate4391Days_7;SicknessAbsenceRate92182Days_8;SicknessAbsenceRate183365Days_9;SicknessAbsenceRate366730Days_10;SickLeaveFrequency_11;AverageDurationOfAbsenceTotal_12;AverageDurationOfAbsence1Year_13;AvgDurationOfAbsence1YrAnd2yr_14
1081;Province of Overijssel;2002 2nd quarter*;5.1;5.1;;5.1;0.7;1.4;1.1;1.1;0.9;;1.0;22.0;22.0;
1082;Province of Overijssel;2002 3rd quarter*;4.5;4.5;;4.5;0.5;1.2;0.9;1.0;0.9;;0.83;24.9;24.9;
1083;Province of Overijssel;2002 4th quarter*;5.3;5.3;;5.3;0.9;1.6;1.2;1.0;0.7;;1.31;16.3;16.3;
1084;Province of Overijssel;2002 annual figure*;5.2;5.2;;5.2;0.7;1.2;0.8;0.9;1.6;;1.11;20.3;20.3;
1085;Province of Overijssel;2003 1st quarter*;4.9;4.9;;4.9;1.1;1.5;1.0;0.7;0.5;;1.5;15.2;15.2;
1086;Province of Overijssel;2003 2nd quarter*;4.6;4.6;;4.6;0.7;1.4;1.0;1.0;0.5;;1.05;17.3;17.3;
1087;Province of Overijssel;2003 3rd quarter*;4.3;4.3;;4.3;0.6;1.2;0.9;0.9;0.7;;0.97;18.1;18.1;
1088;Province of Overijssel;2003 4th quarter*;5.4;5.4;;5.4;1.0;1.5;1.1;1.0;0.8;;1.42;13.9;13.9;
1089;Province of Overijssel;2003 annual figure*;4.8;4.8;;4.8;0.8;1.1;0.7;0.7;1.5;;1.23;15.8;15.8;
1090;Province of Overijssel;2004 1st quarter*;4.8;4.8;;4.8;0.8;1.4;1.1;0.9;0.6;;1.19;17.9;17.9;
1091;Province of Overijssel;2004 2nd quarter*;4.2;4.2;;4.2;0.6;1.2;1.0;0.9;0.6;;0.89;19.0;19.0;
1092;Province of Overijssel;2004 3rd quarter*;3.6;3.6;;3.6;0.5;1.0;0.8;0.8;0.6;;0.74;21.0;21.0;
1093;Province of Overijssel;2004 4th quarter*;4.1;4.1;;4.1;0.8;1.3;1.0;0.7;0.4;;1.1;19.9;19.9;
1094;Province of Overijssel;2004 annual figure*;4.2;4.2;;4.2;0.6;1.1;0.8;0.8;0.9;;0.98;19.3;19.3;
1095;Province of Overijssel;2005 1st quarter*;4.9;4.8;0.1;4.9;0.9;1.4;0.9;0.8;0.6;0.2;1.27;13.6;13.6;0.0
1096;Province of Overijssel;2005 2nd quarter*;4.0;3.9;0.1;4.0;0.5;1.1;0.8;0.7;0.6;0.3;0.79;18.5;18.2;0.2
1097;Province of Overijssel;2005 3rd quarter*;3.5;3.5;0.1;3.5;0.4;0.9;0.7;0.7;0.5;0.3;0.66;21.9;21.2;0.6
1098;Province of Overijssel;2005 4th quarter*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.6;0.4;0.4;0.89;28.1;25.7;2.4
1099;Province of Overijssel;2005 annual figure*;4.1;4.0;0.1;4.1;0.6;1.0;0.7;0.7;0.6;0.5;0.9;20.5;19.7;0.8
1100;Province of Flevoland;2002 1st quarter*;6.9;6.9;;6.9;1.3;2.0;1.4;1.3;0.9;;1.7;17.9;17.9;
1101;Province of Flevoland;2002 2nd quarter*;6.1;6.1;;6.1;0.9;1.7;1.2;1.3;1.0;;1.37;17.5;17.5;
1102;Province of Flevoland;2002 3rd quarter*;5.6;5.6;;5.6;0.8;1.5;1.1;1.1;1.1;;1.15;20.2;20.2;
1103;Province of Flevoland;2002 4th quarter*;6.3;6.3;;6.3;1.1;1.8;1.3;1.2;0.9;;1.57;16.3;16.3;
1104;Province of Flevoland;2002 annual figure*;6.2;6.2;;6.2;1.0;1.5;0.9;1.0;1.9;;1.45;17.8;17.8;
1105;Province of Flevoland;2003 1st quarter*;5.4;5.4;;5.4;1.2;1.8;1.0;0.8;0.6;;1.7;14.5;14.5;
1106;Province of Flevoland;2003 2nd quarter*;5.1;5.1;;5.1;0.9;1.5;1.1;1.0;0.6;;1.29;15.4;15.4;
1107;Province of Flevoland;2003 3rd quarter*;4.7;4.7;;4.7;0.8;1.3;0.9;1.0;0.7;;1.21;15.7;15.7;
1108;Province of Flevoland;2003 4th quarter*;5.7;5.7;;5.7;1.2;1.6;1.1;1.0;0.8;;1.59;13.1;13.1;
1109;Province of Flevoland;2003 annual figure*;5.2;5.2;;5.2;1.0;1.3;0.7;0.7;1.6;;1.45;14.6;14.6;
1110;Province of Flevoland;2004 1st quarter*;5.3;5.3;;5.3;1.0;1.6;1.1;0.9;0.7;;1.41;16.5;16.5;
1111;Province of Flevoland;2004 2nd quarter*;4.5;4.5;;4.5;0.7;1.3;1.1;0.9;0.6;;1.1;16.9;16.9;
1112;Province of Flevoland;2004 3rd quarter*;3.9;3.9;;3.9;0.6;1.1;0.8;0.8;0.6;;0.95;17.7;17.7;
1113;Province of Flevoland;2004 4th quarter*;4.3;4.3;;4.3;1.0;1.4;1.0;0.6;0.4;;1.32;17.3;17.3;
1114;Province of Flevoland;2004 annual figure*;4.5;4.5;;4.5;0.8;1.2;0.8;0.8;0.9;;1.19;17.1;17.1;
1115;Province of Flevoland;2005 1st quarter*;5.2;5.1;0.1;5.2;1.1;1.5;0.9;0.9;0.6;0.2;1.46;12.8;12.8;0.0
1116;Province of Flevoland;2005 2nd quarter*;4.4;4.3;0.1;4.4;0.7;1.2;0.9;0.7;0.6;0.3;1.0;16.1;15.9;0.2
1117;Province of Flevoland;2005 3rd quarter*;3.7;3.6;0.1;3.7;0.5;1.0;0.7;0.7;0.5;0.3;0.87;18.6;18.1;0.5
1118;Province of Flevoland;2005 4th quarter*;4.2;4.1;0.1;4.2;0.7;1.2;0.9;0.6;0.4;0.4;1.09;24.8;22.9;1.9
1119;Province of Flevoland;2005 annual figure*;4.4;4.3;0.1;4.4;0.7;1.1;0.7;0.7;0.6;0.5;1.1;18.1;17.4;0.7
1120;Province of Gelderland;2002 1st quarter*;5.9;5.9;;5.9;1.0;1.7;1.2;1.1;0.9;;1.39;18.9;18.9;
1121;Province of Gelderland;2002 2nd quarter*;5.2;5.2;;5.2;0.7;1.4;1.1;1.1;0.9;;1.06;20.1;20.1;
1122;Province of Gelderland;2002 3rd quarter*;4.5;4.5;;4.5;0.6;1.2;0.9;1.0;0.9;;0.88;23.0;23.0;
1123;Province of Gelderland;2002 4th quarter*;5.2;5.2;;5.2;0.9;1.5;1.1;0.9;0.8;;1.32;16.4;16.4;
1124;Province of Gelderland;2002 annual figure*;5.2;5.2;;5.2;0.8;1.2;0.7;0.9;1.6;;1.16;19.2;19.2;
1125;Province of Gelderland;2003 1st quarter*;4.8;4.8;;4.8;1.1;1.6;1.0;0.7;0.5;;1.55;13.8;13.8;
1126;Province of Gelderland;2003 2nd quarter*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.4;;1.12;15.8;15.8;
1127;Province of Gelderland;2003 3rd quarter*;4.1;4.1;;4.1;0.6;1.2;0.8;0.9;0.6;;0.98;16.9;16.9;
1128;Province of Gelderland;2003 4th quarter*;5.2;5.2;;5.2;1.0;1.5;1.1;0.9;0.7;;1.45;13.0;13.0;
1129;Province of Gelderland;2003 annual figure*;4.7;4.7;;4.7;0.9;1.1;0.6;0.7;1.4;;1.28;14.6;14.6;
1130;Province of Gelderland;2004 1st quarter*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.24;17.3;17.3;
1131;Province of Gelderland;2004 2nd quarter*;4.1;4.1;;4.1;0.6;1.2;1.0;0.8;0.5;;0.92;17.6;17.6;
1132;Province of Gelderland;2004 3rd quarter*;3.5;3.5;;3.5;0.5;1.0;0.8;0.7;0.6;;0.77;19.7;19.7;
1133;Province of Gelderland;2004 4th quarter*;4.1;4.1;;4.1;0.8;1.3;0.9;0.6;0.4;;1.17;18.6;18.6;
1134;Province of Gelderland;2004 annual figure*;4.1;4.1;;4.1;0.7;1.1;0.8;0.7;0.8;;1.02;18.2;18.2;
1135;Province of Gelderland;2005 1st quarter*;4.9;4.9;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.22;12.9;12.9;0.0
1136;Province of Gelderland;2005 2nd quarter*;4.0;3.9;0.1;4.0;0.5;1.1;0.8;0.7;0.6;0.3;0.76;17.2;17.0;0.2
1137;Province of Gelderland;2005 3rd quarter*;3.4;3.3;0.1;3.4;0.4;0.9;0.6;0.6;0.5;0.3;0.63;20.6;20.0;0.6
1138;Province of Gelderland;2005 4th quarter*;3.9;3.8;0.1;3.9;0.6;1.1;0.8;0.6;0.4;0.4;0.86;26.8;24.5;2.3
1139;Province of Gelderland;2005 annual figure*;4.1;4.0;0.1;4.1;0.6;1.0;0.6;0.6;0.6;0.5;0.87;19.4;18.6;0.8
1140;Province of Utrecht;2002 1st quarter*;6.2;6.2;;6.2;1.2;1.8;1.3;1.2;0.8;;1.58;17.3;17.3;
1141;Province of Utrecht;2002 2nd quarter*;5.4;5.4;;5.4;0.8;1.5;1.0;1.2;0.9;;1.23;18.1;18.1;
1142;Province of Utrecht;2002 3rd quarter*;4.7;4.7;;4.7;0.7;1.2;0.9;1.0;0.9;;1.02;20.7;20.7;
1143;Province of Utrecht;2002 4th quarter*;5.3;5.3;;5.3;1.0;1.6;1.1;0.9;0.8;;1.47;15.2;15.2;
1144;Province of Utrecht;2002 annual figure*;5.4;5.4;;5.4;0.9;1.3;0.8;0.9;1.6;;1.33;17.6;17.6;
1145;Province of Utrecht;2003 1st quarter*;4.8;4.8;;4.8;1.2;1.5;0.9;0.7;0.5;;1.65;13.8;13.8;
1146;Province of Utrecht;2003 2nd quarter*;4.4;4.4;;4.4;0.8;1.3;0.9;0.9;0.5;;1.19;15.3;15.3;
1147;Province of Utrecht;2003 3rd quarter*;4.0;4.0;;4.0;0.7;1.1;0.8;0.8;0.6;;1.07;15.5;15.5;
1148;Province of Utrecht;2003 4th quarter*;5.0;5.0;;5.0;1.1;1.4;1.0;0.9;0.7;;1.53;12.6;12.6;
1149;Province of Utrecht;2003 annual figure*;4.6;4.6;;4.6;0.9;1.1;0.6;0.6;1.4;;1.36;14.1;14.1;
1150;Province of Utrecht;2004 1st quarter*;4.5;4.5;;4.5;0.9;1.3;1.0;0.7;0.5;;1.3;15.3;15.3;
1151;Province of Utrecht;2004 2nd quarter*;3.8;3.8;;3.8;0.6;1.1;0.9;0.8;0.4;;0.98;15.7;15.7;
1152;Province of Utrecht;2004 3rd quarter*;3.3;3.3;;3.3;0.5;0.9;0.7;0.7;0.5;;0.83;17.5;17.5;
1153;Province of Utrecht;2004 4th quarter*;3.8;3.8;;3.8;0.9;1.2;0.8;0.5;0.4;;1.23;16.6;16.6;
1154;Province of Utrecht;2004 annual figure*;3.9;3.9;;3.9;0.7;1.0;0.7;0.7;0.8;;1.08;16.2;16.2;
1155;Province of Utrecht;2005 1st quarter*;4.7;4.6;0.1;4.7;1.1;1.3;0.8;0.7;0.6;0.2;1.41;12.0;11.9;0.0
1156;Province of Utrecht;2005 2nd quarter*;3.7;3.6;0.1;3.7;0.6;0.9;0.7;0.6;0.6;0.2;0.87;15.7;15.5;0.2
1157;Province of Utrecht;2005 3rd quarter*;3.2;3.1;0.1;3.2;0.5;0.8;0.6;0.6;0.5;0.3;0.75;17.9;17.4;0.5
1158;Province of Utrecht;2005 4th quarter*;3.6;3.6;0.1;3.6;0.7;1.0;0.7;0.5;0.4;0.3;1.03;22.7;20.8;1.9
1159;Province of Utrecht;2005 annual figure*;3.8;3.7;0.1;3.8;0.7;0.9;0.6;0.6;0.6;0.4;1.01;17.1;16.4;0.7
1160;Province of Noord-Holland;2002 1st quarter*;6.2;6.2;;6.2;1.2;1.8;1.3;1.2;0.8;;1.61;17.6;17.6;
1161;Province of Noord-Holland;2002 2nd quarter*;5.4;5.4;;5.4;0.8;1.5;1.1;1.1;0.8;;1.25;18.2;18.2;
1162;Province of Noord-Holland;2002 3rd quarter*;4.8;4.8;;4.8;0.7;1.3;0.9;0.9;0.9;;1.09;19.5;19.5;
1163;Province of Noord-Holland;2002 4th quarter*;5.4;5.4;;5.4;1.0;1.6;1.1;0.9;0.7;;1.49;15.3;15.3;
1164;Province of Noord-Holland;2002 annual figure*;5.5;5.5;;5.5;0.9;1.3;0.8;0.9;1.6;;1.36;17.5;17.5;
1165;Province of Noord-Holland;2003 1st quarter*;4.9;4.9;;4.9;1.2;1.6;0.9;0.7;0.5;;1.63;14.2;14.2;
1166;Province of Noord-Holland;2003 2nd quarter*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.18;15.6;15.6;
1167;Province of Noord-Holland;2003 3rd quarter*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.1;15.8;15.8;
1168;Province of Noord-Holland;2003 4th quarter*;5.1;5.1;;5.1;1.1;1.5;1.0;0.9;0.7;;1.52;12.8;12.8;
1169;Province of Noord-Holland;2003 annual figure*;4.7;4.7;;4.7;0.9;1.1;0.6;0.6;1.4;;1.36;14.4;14.4;
1170;Province of Noord-Holland;2004 1st quarter*;4.5;4.5;;4.5;0.9;1.4;1.0;0.7;0.6;;1.27;15.7;15.7;
1171;Province of Noord-Holland;2004 2nd quarter*;3.9;3.9;;3.9;0.6;1.1;0.9;0.7;0.5;;0.98;16.1;16.1;
1172;Province of Noord-Holland;2004 3rd quarter*;3.4;3.4;;3.4;0.5;1.0;0.7;0.7;0.5;;0.83;17.8;17.8;
1173;Province of Noord-Holland;2004 4th quarter*;3.8;3.8;;3.8;0.9;1.2;0.8;0.5;0.4;;1.19;16.7;16.7;
1174;Province of Noord-Holland;2004 annual figure*;3.9;3.9;;3.9;0.7;1.1;0.7;0.7;0.7;;1.07;16.5;16.5;
1175;Province of Noord-Holland;2005 1st quarter*;4.7;4.6;0.1;4.7;1.0;1.4;0.8;0.7;0.6;0.1;1.34;12.3;12.3;0.0
1176;Province of Noord-Holland;2005 2nd quarter*;3.8;3.7;0.1;3.8;0.6;1.0;0.7;0.6;0.6;0.2;0.89;15.9;15.7;0.2
1177;Province of Noord-Holland;2005 3rd quarter*;3.4;3.3;0.1;3.4;0.5;0.8;0.6;0.6;0.5;0.3;0.77;18.5;17.9;0.5
1178;Province of Noord-Holland;2005 4th quarter*;3.7;3.7;0.1;3.7;0.7;1.0;0.7;0.5;0.4;0.4;1.0;24.4;22.3;2.1
1179;Province of Noord-Holland;2005 annual figure*;3.9;3.8;0.1;3.9;0.7;1.0;0.6;0.6;0.6;0.5;1.0;17.8;17.1;0.7
1180;Province of Zuid-Holland;2002 1st quarter*;6.0;6.0;;6.0;1.2;1.8;1.2;1.0;0.8;;1.58;16.7;16.7;
1181;Province of Zuid-Holland;2002 2nd quarter*;5.2;5.2;;5.2;0.9;1.5;1.0;1.0;0.8;;1.26;17.3;17.3;
1182;Province of Zuid-Holland;2002 3rd quarter*;4.5;4.5;;4.5;0.7;1.3;0.9;0.9;0.8;;1.08;18.4;18.4;
1183;Province of Zuid-Holland;2002 4th quarter*;5.1;5.1;;5.1;1.1;1.6;1.0;0.8;0.6;;1.48;14.4;14.4;
1184;Province of Zuid-Holland;2002 annual figure*;5.2;5.2;;5.2;0.9;1.3;0.8;0.8;1.4;;1.35;16.6;16.6;
1185;Province of Zuid-Holland;2003 1st quarter*;5.2;5.2;;5.2;1.3;1.8;1.0;0.7;0.5;;1.74;14.2;14.2;
1186;Province of Zuid-Holland;2003 2nd quarter*;4.6;4.6;;4.6;0.9;1.5;1.0;0.9;0.5;;1.25;15.0;15.0;
1187;Province of Zuid-Holland;2003 3rd quarter*;4.2;4.2;;4.2;0.8;1.3;0.8;0.8;0.6;;1.13;15.0;15.0;
1188;Province of Zuid-Holland;2003 4th quarter*;5.3;5.3;;5.3;1.1;1.6;1.0;0.9;0.7;;1.59;12.4;12.4;
1189;Province of Zuid-Holland;2003 annual figure*;4.8;4.8;;4.8;1.0;1.3;0.6;0.6;1.4;;1.43;14.1;14.1;
1190;Province of Zuid-Holland;2004 1st quarter*;4.7;4.7;;4.7;1.0;1.5;1.0;0.7;0.5;;1.37;14.9;14.9;
1191;Province of Zuid-Holland;2004 2nd quarter*;4.0;4.0;;4.0;0.7;1.2;0.9;0.8;0.4;;1.03;15.5;15.5;
1192;Province of Zuid-Holland;2004 3rd quarter*;3.6;3.6;;3.6;0.6;1.1;0.7;0.7;0.5;;0.91;16.8;16.8;
1193;Province of Zuid-Holland;2004 4th quarter*;4.1;4.1;;4.1;0.9;1.4;0.8;0.6;0.4;;1.3;16.5;16.5;
1194;Province of Zuid-Holland;2004 annual figure*;4.1;4.1;;4.1;0.8;1.2;0.7;0.7;0.7;;1.15;15.9;15.9;
1195;Province of Zuid-Holland;2005 1st quarter*;4.9;4.9;0.1;4.9;1.1;1.5;0.8;0.7;0.6;0.2;1.48;12.2;12.2;0.0
1196;Province of Zuid-Holland;2005 2nd quarter*;4.0;3.9;0.1;4.0;0.7;1.1;0.8;0.6;0.5;0.3;0.97;15.2;15.0;0.2
1197;Province of Zuid-Holland;2005 3rd quarter*;3.5;3.4;0.1;3.5;0.5;1.0;0.6;0.6;0.5;0.3;0.83;17.3;16.8;0.5
1198;Province of Zuid-Holland;2005 4th quarter*;4.0;3.9;0.1;4.0;0.8;1.2;0.8;0.5;0.4;0.3;1.09;22.9;21.1;1.8
1199;Province of Zuid-Holland;2005 annual figure*;4.1;4.0;0.1;4.1;0.7;1.1;0.6;0.6;0.6;0.4;1.09;16.9;16.3;0.6
1200;Province of Zeeland;2002 1st quarter*;5.9;5.9;;5.9;1.2;1.7;1.1;1.1;0.7;;1.65;16.1;16.1;
1201;Province of Zeeland;2002 2nd quarter*;4.9;4.9;;4.9;0.8;1.4;1.0;1.0;0.7;;1.16;18.4;18.4;
1202;Province of Zeeland;2002 3rd quarter*;4.2;4.2;;4.2;0.6;1.2;0.8;0.8;0.8;;0.97;20.1;20.1;
1203;Province of Zeeland;2002 4th quarter*;4.9;4.9;;4.9;1.0;1.5;1.0;0.8;0.6;;1.4;15.1;15.1;
1204;Province of Zeeland;2002 annual figure*;5.0;5.0;;5.0;0.9;1.2;0.7;0.8;1.3;;1.29;17.1;17.1;
1205;Province of Zeeland;2003 1st quarter*;4.1;4.1;;4.1;1.1;1.4;0.8;0.5;0.4;;1.54;11.4;11.4;
1206;Province of Zeeland;2003 2nd quarter*;3.9;3.9;;3.9;0.8;1.2;0.8;0.7;0.4;;1.14;13.8;13.8;
1207;Province of Zeeland;2003 3rd quarter*;3.7;3.7;;3.7;0.6;1.1;0.8;0.7;0.5;;0.98;15.6;15.6;
1208;Province of Zeeland;2003 4th quarter*;4.8;4.8;;4.8;1.1;1.5;0.9;0.7;0.6;;1.53;12.1;12.1;
1209;Province of Zeeland;2003 annual figure*;4.1;4.1;;4.1;0.9;1.1;0.5;0.5;1.1;;1.29;12.9;12.9;
1210;Province of Zeeland;2004 1st quarter*;4.2;4.2;;4.2;0.9;1.3;0.9;0.7;0.5;;1.19;15.0;15.0;
1211;Province of Zeeland;2004 2nd quarter*;3.6;3.6;;3.6;0.6;1.1;0.8;0.7;0.4;;0.85;16.7;16.7;
1212;Province of Zeeland;2004 3rd quarter*;3.1;3.1;;3.1;0.4;0.9;0.7;0.6;0.5;;0.69;19.0;19.0;
1213;Province of Zeeland;2004 4th quarter*;3.7;3.7;;3.7;0.8;1.2;0.8;0.5;0.4;;1.1;17.8;17.8;
1214;Province of Zeeland;2004 annual figure*;3.7;3.7;;3.7;0.6;1.0;0.7;0.6;0.7;;0.96;17.0;17.0;
1215;Province of Zeeland;2005 1st quarter*;4.6;4.5;0.1;4.6;1.0;1.4;0.9;0.7;0.5;0.1;1.32;12.4;12.4;0.0
1216;Province of Zeeland;2005 2nd quarter*;3.7;3.7;0.0;3.7;0.5;1.0;0.8;0.7;0.5;0.2;0.81;16.3;16.2;0.2
1217;Province of Zeeland;2005 3rd quarter*;3.3;3.3;0.1;3.3;0.4;0.8;0.6;0.7;0.6;0.3;0.62;19.5;19.0;0.4
1218;Province of Zeeland;2005 4th quarter*;3.9;3.8;0.1;3.9;0.6;1.0;0.8;0.6;0.6;0.3;0.91;26.7;24.8;2.0
1219;Province of Zeeland;2005 annual figure*;3.9;3.8;0.1;3.9;0.6;1.0;0.6;0.6;0.7;0.4;0.91;18.7;18.1;0.7
1220;Province of Noord-Brabant;2002 1st quarter*;6.1;6.1;;6.1;1.1;1.8;1.3;1.1;0.8;;1.5;17.6;17.6;
1221;Province of Noord-Brabant;2002 2nd quarter*;5.4;5.4;;5.4;0.8;1.5;1.1;1.2;0.8;;1.12;19.3;19.3;
1222;Province of Noord-Brabant;2002 3rd quarter*;4.7;4.7;;4.7;0.6;1.3;0.9;0.9;0.9;;0.95;21.5;21.5;
1223;Province of Noord-Brabant;2002 4th quarter*;5.4;5.4;;5.4;1.0;1.6;1.1;0.9;0.8;;1.37;15.8;15.8;
1224;Province of Noord-Brabant;2002 annual figure*;5.4;5.4;;5.4;0.8;1.3;0.8;0.9;1.6;;1.23;18.2;18.2;
1225;Province of Noord-Brabant;2003 1st quarter*;4.9;4.9;;4.9;1.1;1.6;1.0;0.7;0.5;;1.55;14.8;14.8;
1226;Province of Noord-Brabant;2003 2nd quarter*;4.6;4.6;;4.6;0.8;1.5;1.0;0.9;0.5;;1.14;16.1;16.1;
1227;Province of Noord-Brabant;2003 3rd quarter*;4.2;4.2;;4.2;0.6;1.2;0.8;0.9;0.6;;0.97;17.1;17.1;
1228;Province of Noord-Brabant;2003 4th quarter*;5.2;5.2;;5.2;1.0;1.5;1.0;0.9;0.7;;1.45;13.1;13.1;
1229;Province of Noord-Brabant;2003 annual figure*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.27;15.0;15.0;
1230;Province of Noord-Brabant;2004 1st quarter*;4.7;4.7;;4.7;0.9;1.5;1.0;0.8;0.6;;1.26;16.4;16.4;
1231;Province of Noord-Brabant;2004 2nd quarter*;4.1;4.1;;4.1;0.6;1.3;1.0;0.8;0.5;;0.94;17.1;17.1;
1232;Province of Noord-Brabant;2004 3rd quarter*;3.5;3.5;;3.5;0.5;1.0;0.7;0.7;0.5;;0.77;19.3;19.3;
1233;Province of Noord-Brabant;2004 4th quarter*;4.0;4.0;;4.0;0.8;1.3;0.9;0.5;0.4;;1.16;17.9;17.9;
1234;Province of Noord-Brabant;2004 annual figure*;4.1;4.1;;4.1;0.7;1.1;0.8;0.7;0.8;;1.03;17.5;17.5;
1235;Province of Noord-Brabant;2005 1st quarter*;5.0;4.9;0.1;5.0;1.1;1.5;0.9;0.8;0.6;0.2;1.4;12.4;12.4;0.0
1236;Province of Noord-Brabant;2005 2nd quarter*;3.9;3.8;0.1;3.9;0.5;1.1;0.8;0.7;0.6;0.3;0.83;16.8;16.6;0.2
1237;Province of Noord-Brabant;2005 3rd quarter*;3.5;3.4;0.1;3.5;0.4;0.9;0.6;0.6;0.6;0.3;0.7;19.6;19.1;0.6
1238;Province of Noord-Brabant;2005 4th quarter*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.6;0.5;0.4;0.95;26.4;24.1;2.3
1239;Province of Noord-Brabant;2005 annual figure*;4.1;4.0;0.1;4.1;0.7;1.0;0.6;0.6;0.6;0.5;0.97;18.8;18.0;0.8
1240;Province of Limburg;2002 1st quarter*;6.4;6.4;;6.4;1.1;1.9;1.3;1.2;0.9;;1.53;18.8;18.8;
1241;Province of Limburg;2002 2nd quarter*;5.2;5.2;;5.2;0.7;1.5;1.1;1.1;0.9;;1.04;21.4;21.4;
1242;Province of Limburg;2002 3rd quarter*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.89;23.4;23.4;
1243;Province of Limburg;2002 4th quarter*;5.2;5.2;;5.2;0.9;1.6;1.1;0.9;0.7;;1.26;17.0;17.0;
1244;Province of Limburg;2002 annual figure*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.6;;1.18;19.7;19.7;
1245;Province of Limburg;2003 1st quarter*;5.1;5.1;;5.1;1.1;1.6;1.0;0.8;0.6;;1.54;15.3;15.3;
1246;Province of Limburg;2003 2nd quarter*;4.6;4.6;;4.6;0.7;1.5;1.0;0.9;0.5;;1.06;17.5;17.5;
1247;Province of Limburg;2003 3rd quarter*;4.2;4.2;;4.2;0.6;1.2;0.8;0.9;0.6;;0.94;18.5;18.5;
1248;Province of Limburg;2003 4th quarter*;5.1;5.1;;5.1;1.0;1.6;1.0;0.9;0.6;;1.4;13.9;13.9;
1249;Province of Limburg;2003 annual figure*;4.7;4.7;;4.7;0.8;1.2;0.7;0.7;1.4;;1.24;16.0;16.0;
1250;Province of Limburg;2004 1st quarter*;4.8;4.8;;4.8;0.8;1.5;1.1;0.8;0.6;;1.2;17.6;17.6;
1251;Province of Limburg;2004 2nd quarter*;4.1;4.1;;4.1;0.5;1.3;1.0;0.8;0.5;;0.87;18.9;18.9;
1252;Province of Limburg;2004 3rd quarter*;3.5;3.5;;3.5;0.4;1.0;0.8;0.7;0.6;;0.71;21.5;21.5;
1253;Province of Limburg;2004 4th quarter*;3.9;3.9;;3.9;0.7;1.3;0.9;0.5;0.4;;1.05;19.6;19.6;
1254;Province of Limburg;2004 annual figure*;4.1;4.1;;4.1;0.6;1.1;0.8;0.7;0.8;;0.96;19.2;19.2;
1255;Province of Limburg;2005 1st quarter*;4.9;4.8;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.31;13.0;13.0;0.0
1256;Province of Limburg;2005 2nd quarter*;3.9;3.8;0.1;3.9;0.5;1.1;0.8;0.7;0.6;0.3;0.76;18.4;18.1;0.3
1257;Province of Limburg;2005 3rd quarter*;3.4;3.4;0.1;3.4;0.4;0.9;0.6;0.6;0.5;0.3;0.65;21.3;20.6;0.7
1258;Province of Limburg;2005 4th quarter*;3.9;3.8;0.1;3.9;0.6;1.1;0.8;0.6;0.4;0.4;0.89;28.3;25.7;2.6
1259;Province of Limburg;2005 annual figure*;4.0;3.9;0.1;4.0;0.6;1.0;0.6;0.6;0.6;0.5;0.9;20.2;19.3;0.9
1260;Degree of urbanisation: total;2002 1st quarter*;6.1;6.1;;6.1;1.1;1.8;1.2;1.1;0.8;;1.52;17.8;17.8;
1261;Degree of urbanisation: total;2002 2nd quarter*;5.3;5.3;;5.3;0.8;1.5;1.1;1.1;0.8;;1.16;18.9;18.9;
1262;Degree of urbanisation: total;2002 3rd quarter*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.98;20.8;20.8;
1263;Degree of urbanisation: total;2002 4th quarter*;5.2;5.2;;5.2;1.0;1.6;1.1;0.9;0.7;;1.4;15.5;15.5;
1264;Degree of urbanisation: total;2002 annual figure*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.5;;1.26;18.0;18.0;
1265;Degree of urbanisation: total;2003 1st quarter*;5.0;5.0;;5.0;1.2;1.6;1.0;0.7;0.5;;1.6;14.3;14.3;
1266;Degree of urbanisation: total;2003 2nd quarter*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.16;15.8;15.8;
1267;Degree of urbanisation: total;2003 3rd quarter*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.04;16.3;16.3;
1268;Degree of urbanisation: total;2003 4th quarter*;5.2;5.2;;5.2;1.1;1.5;1.0;0.9;0.7;;1.49;13.0;13.0;
1269;Degree of urbanisation: total;2003 annual figure*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.32;14.7;14.7;
1270;Degree of urbanisation: total;2004 1st quarter*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.27;16.2;16.2;
