ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
6156;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 0 to 24 years;2019;0.1;;;;;;;;;
6157;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 0 to 24 years;2020;0.1;;;;;;;;;
6158;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 0 to 24 years;2021;0.1;;;;;;;;;
6159;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 0 to 24 years;2022;0.2;6.9;42.9;25.0;0.0;0.0;0.0;6.9;42.9;25.0
6160;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2007;0.1;3.9;36.0;22.0;0.0;0.0;0.0;3.9;36.0;22.0
6161;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2008;0.1;2.6;19.6;22.4;0.0;0.0;0.0;2.6;19.6;22.4
6162;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2009;0.1;2.4;20.6;22.8;0.0;0.0;0.0;2.4;20.6;22.8
6163;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2010;0.1;3.6;26.2;24.0;0.0;0.0;0.0;3.6;26.2;24.0
6164;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2011;0.1;10.9;88.6;24.1;0.0;0.0;0.0;10.9;88.6;24.1
6165;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2012;0.1;7.0;49.6;24.1;0.0;0.0;0.0;7.0;49.6;24.1
6166;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2013;0.4;35.3;97.9;32.7;0.0;0.0;0.0;35.3;97.9;32.7
6167;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2014;0.9;51.5;58.3;50.0;0.0;0.0;0.0;51.5;58.3;50.0
6168;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2015;0.2;11.4;65.8;25.0;0.0;0.0;0.0;11.4;65.8;25.0
6169;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2016;0.2;15.2;66.6;25.4;0.0;0.0;0.0;15.2;66.6;25.4
6170;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2017;0.4;50.3;118.7;30.1;0.0;0.0;0.0;50.3;118.7;30.1
6171;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2018;0.3;21.5;76.1;25.0;0.0;0.0;0.0;21.5;76.1;25.0
6172;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2019;0.3;29.7;106.2;26.0;0.0;0.0;0.0;29.7;106.2;26.0
6173;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2020;0.3;13.4;45.2;25.0;0.0;0.0;0.0;13.4;45.2;25.0
6174;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2021;0.3;17.5;55.5;26.9;0.0;0.0;0.0;17.5;55.5;26.9
6175;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 25 to 44 years;2022;0.4;21.8;50.1;27.2;0.0;0.0;0.0;21.8;50.1;27.2
6176;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2007;0.0;;;;;;;;;
6177;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2008;0.0;;;;;;;;;
6178;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2009;0.0;;;;;;;;;
6179;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2010;0.0;;;;;;;;;
6180;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2011;0.0;;;;;;;;;
6181;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2012;0.0;;;;;;;;;
6182;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2013;0.1;;;;;;;;;
6183;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2014;0.3;19.2;58.1;50.0;0.0;0.0;0.0;19.2;58.1;50.0
6184;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2015;0.0;;;;;;;;;
6185;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2016;0.0;;;;;;;;;
6186;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2017;0.0;;;;;;;;;
6187;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2018;0.0;;;;;;;;;
6188;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2019;0.0;;;;;;;;;
6189;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2020;0.0;;;;;;;;;
6190;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2021;0.0;;;;;;;;;
6191;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 45 to 64 years;2022;0.0;;;;;;;;;
6192;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2007;0.0;;;;;;;;;
6193;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2008;0.0;;;;;;;;;
6194;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2009;0.0;;;;;;;;;
6195;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2010;0.0;;;;;;;;;
6196;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2011;0.0;;;;;;;;;
6197;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2012;0.0;;;;;;;;;
6198;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2013;0.0;;;;;;;;;
6199;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2014;0.0;;;;;;;;;
6200;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2015;0.0;;;;;;;;;
6201;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2016;0.0;;;;;;;;;
6202;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2017;0.0;;;;;;;;;
6203;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2018;0.0;;;;;;;;;
6204;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2019;0.0;;;;;;;;;
6205;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2020;0.0;;;;;;;;;
6206;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2021;0.0;;;;;;;;;
6207;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: 65 years or older;2022;0.0;;;;;;;;;
6208;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2007;0.0;;;;;;;;;
6209;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2008;0.0;;;;;;;;;
6210;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2009;0.0;;;;;;;;;
6211;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2010;0.0;;;;;;;;;
6212;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2011;0.0;;;;;;;;;
6213;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2012;0.0;;;;;;;;;
6214;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2013;0.0;;;;;;;;;
6215;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2014;0.0;;;;;;;;;
6216;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2015;0.0;;;;;;;;;
6217;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2016;0.0;;;;;;;;;
6218;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2017;0.0;;;;;;;;;
6219;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2018;0.0;;;;;;;;;
6220;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2019;0.0;;;;;;;;;
6221;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2020;0.0;;;;;;;;;
6222;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2021;0.0;;;;;;;;;
6223;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Age: unknown;2022;0.0;;;;;;;;;
6224;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2007;0.1;3.2;29.4;22.0;0.0;0.0;0.0;3.2;29.4;22.0
6225;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2008;0.1;2.6;19.6;22.4;0.0;0.0;0.0;2.6;19.6;22.4
6226;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2009;0.1;2.7;22.4;22.8;0.0;0.0;0.0;2.7;22.4;22.8
6227;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2010;0.2;4.3;25.0;24.0;0.0;0.0;0.0;4.3;25.0;24.0
6228;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2011;0.1;5.5;45.1;24.1;0.0;0.0;0.0;5.5;45.1;24.1
6229;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2012;0.1;7.0;47.8;24.1;0.0;0.0;0.0;7.0;47.8;24.1
6230;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2013;0.4;32.3;74.2;37.6;0.0;0.0;0.0;32.3;74.2;37.6
6231;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2014;1.2;65.2;56.3;50.0;0.0;0.0;0.0;65.2;56.3;50.0
6232;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2015;0.2;10.5;65.0;25.0;0.0;0.0;0.0;10.5;65.0;25.0
6233;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2016;0.2;13.1;64.1;25.0;0.0;0.0;0.0;13.1;64.1;25.0
6234;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2017;0.4;44.9;125.0;45.0;0.0;0.0;0.0;44.9;125.0;45.0
6235;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2018;0.2;23.6;96.4;25.0;0.0;0.0;0.0;23.6;96.4;25.0
6236;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2019;0.2;18.5;83.3;26.0;0.0;0.0;0.0;18.5;83.3;26.0
6237;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2020;0.2;12.6;55.3;25.5;0.0;0.0;0.0;12.6;55.3;25.5
6238;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2021;0.2;14.6;59.3;26.9;0.0;0.0;0.0;14.6;59.3;26.9
6239;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: owner-occupied home;2022;0.3;13.6;42.0;27.2;0.0;0.0;0.0;13.6;42.0;27.2
6240;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2007;0.0;;;;;;;;;
6241;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2008;0.0;;;;;;;;;
6242;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2009;0.0;;;;;;;;;
6243;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2010;0.0;;;;;;;;;
6244;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2011;0.1;;;;;;;;;
6245;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2012;0.1;;;;;;;;;
6246;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2013;0.1;13.5;125.0;24.7;0.0;0.0;0.0;13.5;125.0;24.7
6247;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2014;0.2;13.6;60.6;35.0;0.0;0.0;0.0;13.6;60.6;35.0
6248;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2015;0.1;;;;;;;;;
6249;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2016;0.1;7.7;71.1;25.2;0.0;0.0;0.0;7.7;71.1;25.2
6250;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2017;0.2;16.4;91.8;25.5;0.0;0.0;0.0;16.4;91.8;25.5
6251;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2018;0.1;5.8;39.1;17.3;0.0;0.0;0.0;5.8;39.1;17.3
6252;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2019;0.2;21.3;138.3;25.3;0.0;0.0;0.0;21.3;138.3;25.3
6253;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2020;0.2;5.2;32.2;20.0;0.0;0.0;0.0;5.2;32.2;20.0
6254;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2021;0.2;12.9;73.0;26.9;0.0;0.0;0.0;12.9;73.0;26.9
6255;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: rent;2022;0.3;15.8;56.1;27.2;0.0;0.0;0.0;15.8;56.1;27.2
6256;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2007;0.0;;;;;;;;;
6257;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2008;0.0;;;;;;;;;
6258;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2009;0.0;;;;;;;;;
6259;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2010;0.0;;;;;;;;;
6260;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2011;0.0;;;;;;;;;
6261;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2012;0.0;;;;;;;;;
6262;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2013;0.0;;;;;;;;;
6263;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2014;0.0;;;;;;;;;
6264;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2015;0.0;;;;;;;;;
6265;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2016;0.0;;;;;;;;;
6266;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2017;0.0;;;;;;;;;
6267;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2018;0.0;;;;;;;;;
6268;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2019;0.0;;;;;;;;;
6269;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2020;0.0;;;;;;;;;
6270;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2021;0.0;;;;;;;;;
6271;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: institutional;2022;0.0;;;;;;;;;
6272;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2007;0.0;;;;;;;;;
6273;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2008;0.0;;;;;;;;;
6274;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2009;0.0;;;;;;;;;
6275;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2010;0.0;;;;;;;;;
6276;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2011;0.0;;;;;;;;;
6277;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2012;0.0;;;;;;;;;
6278;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2013;0.0;;;;;;;;;
6279;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2014;0.0;;;;;;;;;
6280;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2015;0.0;;;;;;;;;
6281;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2016;0.0;;;;;;;;;
6282;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2017;0.0;;;;;;;;;
6283;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2018;0.0;;;;;;;;;
6284;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2019;0.0;;;;;;;;;
6285;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2020;0.0;;;;;;;;;
6286;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2021;0.0;;;;;;;;;
6287;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Home ownership: unknown;2022;0.0;;;;;;;;;
6288;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2007;0.0;;;;;;;;;
6289;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2008;0.1;;;;;;;;;
6290;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2009;0.1;;;;;;;;;
6291;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2010;0.1;2.8;28.3;24.0;0.0;0.0;0.0;2.8;28.3;24.0
6292;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2011;0.1;8.7;81.8;24.1;0.0;0.0;0.0;8.7;81.8;24.1
6293;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2012;0.1;3.2;28.1;24.1;0.0;0.0;0.0;3.2;28.1;24.1
6294;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2013;0.3;13.0;48.8;24.7;0.0;0.0;0.0;13.0;48.8;24.7
6295;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2014;0.6;33.0;56.4;45.0;0.0;0.0;0.0;33.0;56.4;45.0
6296;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2015;0.1;5.1;44.5;25.0;0.0;0.0;0.0;5.1;44.5;25.0
6297;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2016;0.2;6.9;40.0;25.0;0.0;0.0;0.0;6.9;40.0;25.0
6298;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2017;0.2;9.7;43.6;25.5;0.0;0.0;0.0;9.7;43.6;25.5
6299;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2018;0.2;13.4;64.2;20.0;0.0;0.0;0.0;13.4;64.2;20.0
6300;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2019;0.2;8.9;51.0;25.0;0.0;0.0;0.0;8.9;51.0;25.0
6301;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2020;0.2;5.8;31.3;20.0;0.0;0.0;0.0;5.8;31.3;20.0
6302;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2021;0.2;12.6;61.7;26.9;0.0;0.0;0.0;12.6;61.7;26.9
6303;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 1st 20%-group;2022;0.3;10.3;39.3;25.0;0.0;0.0;0.0;10.3;39.3;25.0
6304;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2007;0.0;;;;;;;;;
6305;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2008;0.0;;;;;;;;;
6306;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2009;0.0;;;;;;;;;
6307;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2010;0.0;;;;;;;;;
6308;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2011;0.0;;;;;;;;;
6309;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2012;0.0;;;;;;;;;
6310;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2013;0.0;;;;;;;;;
6311;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2014;0.1;;;;;;;;;
6312;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2015;0.0;;;;;;;;;
6313;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2016;0.0;;;;;;;;;
6314;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2017;0.1;;;;;;;;;
6315;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2018;0.0;;;;;;;;;
6316;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2019;0.1;;;;;;;;;
6317;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2020;0.1;;;;;;;;;
6318;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2021;0.1;;;;;;;;;
6319;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 2nd 20%-group;2022;0.1;;;;;;;;;
6320;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2007;0.0;;;;;;;;;
6321;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2008;0.0;;;;;;;;;
6322;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2009;0.0;;;;;;;;;
6323;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2010;0.0;;;;;;;;;
6324;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2011;0.0;;;;;;;;;
6325;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2012;0.0;;;;;;;;;
6326;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2013;0.1;;;;;;;;;
6327;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2014;0.2;8.3;51.0;49.9;0.0;0.0;0.0;8.3;51.0;49.9
6328;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2015;0.1;;;;;;;;;
6329;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2016;0.0;;;;;;;;;
6330;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2017;0.1;13.4;127.6;47.0;0.0;0.0;0.0;13.4;127.6;47.0
6331;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2018;0.1;;;;;;;;;
6332;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2019;0.1;;;;;;;;;
6333;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2020;0.1;;;;;;;;;
6334;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2021;0.1;;;;;;;;;
6335;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 3rd 20%-group;2022;0.1;5.7;47.4;27.2;0.0;0.0;0.0;5.7;47.4;27.2
6336;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2007;0.0;;;;;;;;;
6337;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2008;0.0;;;;;;;;;
6338;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2009;0.0;;;;;;;;;
6339;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2010;0.0;;;;;;;;;
6340;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2011;0.0;;;;;;;;;
6341;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2012;0.0;;;;;;;;;
6342;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2013;0.1;;;;;;;;;
6343;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2014;0.2;13.0;52.5;48.0;0.0;0.0;0.0;13.0;52.5;48.0
6344;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2015;0.0;;;;;;;;;
6345;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2016;0.0;;;;;;;;;
6346;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2017;0.1;;;;;;;;;
6347;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2018;0.0;;;;;;;;;
6348;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2019;0.0;;;;;;;;;
6349;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2020;0.0;;;;;;;;;
6350;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2021;0.1;;;;;;;;;
6351;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 4th 20%-group;2022;0.1;;;;;;;;;
6352;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2007;0.0;;;;;;;;;
6353;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2008;0.0;;;;;;;;;
6354;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2009;0.0;;;;;;;;;
6355;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2010;0.0;;;;;;;;;
6356;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2011;0.0;;;;;;;;;
6357;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2012;0.0;;;;;;;;;
6358;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2013;0.1;20.4;194.2;55.1;0.0;0.0;0.0;20.4;194.2;55.1
6359;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2014;0.3;21.8;66.5;70.0;0.0;0.0;0.0;21.8;66.5;70.0
6360;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2015;0.0;;;;;;;;;
