ID;CaoSector;SectorBranchesSIC2008;Version;Periods;MonthlyCaoWagesExclSpecialPayments_1;MonthlyCaoWagesInclSpecialPayments_2;HourlyCaoWagesExclSpecialPayments_3;HourlyCaoWagesInclSpecialPayments_4;MonthlyContractualWageCosts_5;HourlyContractualWageCosts_6;ContractualWorkingHours_7;MonthlyCaoWagesExclSpecialPayments_8;MonthlyCaoWagesInclSpecialPayments_9;HourlyCaoWagesExclSpecialPayments_10;HourlyCaoWagesInclSpecialPayments_11;MonthlyContractualWageCosts_12;HourlyContractualWageCosts_13;ContractualWorkingHours_14;PercentageOfCaoSConcluded_15
6252;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 May;101.8;101.9;101.8;101.9;;;100.0;;;;;;;;
6253;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 June;103.5;103.6;103.5;103.6;;;100.0;;;;;;;;
6254;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 2nd quarter;102.3;102.5;102.3;102.5;;;100.0;;;;;;;;
6255;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 July;103.8;103.7;103.8;103.7;;;100.0;;;;;;;;
6256;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 August;103.9;103.8;103.9;103.8;;;100.0;;;;;;;;
6257;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 September;104.3;104.3;104.3;104.3;;;100.0;;;;;;;;
6258;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 3rd quarter;104.0;103.9;104.0;103.9;;;100.0;;;;;;;;
6259;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 October;104.3;104.3;104.3;104.3;;;100.0;;;;;;;;
6260;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 November;104.3;104.3;104.3;104.3;;;100.0;;;;;;;;
6261;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 December;104.3;104.3;104.3;104.3;;;100.0;;;;;;;;
6262;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 4th quarter;104.3;104.3;104.3;104.3;;;100.0;;;;;;;;
6263;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2022 year;103.1;103.2;103.1;103.2;;;100.0;;;;;;;;
6264;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 January;107.8;107.9;107.8;107.9;;;100.0;;;;;;;;
6265;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 February;108.2;108.2;108.2;108.2;;;100.0;;;;;;;;
6266;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 March;108.7;108.8;108.7;108.8;;;100.0;;;;;;;;
6267;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 1st quarter;108.2;108.3;108.2;108.3;;;100.0;;;;;;;;
6268;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 April;108.7;108.8;108.7;108.8;;;100.0;;;;;;;;
6269;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 May;108.7;108.8;108.7;108.8;;;100.0;;;;;;;;
6270;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 June;108.7;108.8;108.7;108.8;;;100.0;;;;;;;;
6271;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 2nd quarter;108.7;108.8;108.7;108.8;;;100.0;;;;;;;;
6272;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 July;108.9;109.0;108.9;109.0;;;100.0;;;;;;;;
6273;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 August;108.9;109.0;108.9;109.0;;;100.0;;;;;;;;
6274;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 September;108.9;109.0;108.9;109.0;;;100.0;;;;;;;;
6275;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 3rd quarter;108.9;109.0;108.9;109.0;;;100.0;;;;;;;;
6276;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 October;108.9;109.0;108.9;109.0;;;100.0;;;;;;;;
6277;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 November;;;;;;;;;;;;;;;
6278;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 December;;;;;;;;;;;;;;;
6279;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 4th quarter;;;;;;;;;;;;;;;
6280;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2023 year;;;;;;;;;;;;;;;
6281;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 January;;;;;;;;;;;;;;;
6282;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 February;115.0;114.9;115.0;114.9;;;100.0;;;;;;;;
6283;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 March;115.0;114.9;115.0;114.9;;;100.0;;;;;;;;
6284;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 1st quarter;114.9;114.9;114.9;114.9;;;100.0;;;;;;;;
6285;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 April;115.3;115.1;115.3;115.1;;;100.0;;;;;;;;
6286;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 May;115.3;115.1;115.3;115.1;;;100.0;;;;;;;;
6287;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 June;115.3;115.1;115.3;115.1;;;100.0;;;;;;;;
6288;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 2nd quarter;115.3;115.1;115.3;115.1;;;100.0;;;;;;;;
6289;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 July;115.6;115.3;115.6;115.3;;;100.0;;;;;;;;
6290;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 August;118.5;118.3;118.5;118.3;;;100.0;;;;;;;;
6291;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 September;119.3;119.1;119.3;119.1;;;100.0;;;;;;;;
6292;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 3rd quarter;118.4;118.2;118.4;118.2;;;100.0;;;;;;;;
6293;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 October;119.3;119.1;119.3;119.1;;;100.0;;;;;;;;
6294;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 November;119.3;119.1;119.3;119.1;;;100.0;;;;;;;;
6295;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 December;119.3;119.1;119.3;119.1;;;100.0;;;;;;;;
6296;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 4th quarter;119.3;119.1;119.3;119.1;;;100.0;;;;;;;;
6297;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2024 year;117.0;116.8;117.0;116.8;;;100.0;;;;;;;;
6298;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2025 January;121.0;120.8;121.0;120.8;;;100.0;;;;;;;;
6299;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2025 February;;;;;;;;;;;;;;;
6300;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2025 March;;;;;;;;;;;;;;;
6301;Total collective labour agreement sector;45 Sale and repair of motor vehicles;First-published figures;2025 1st quarter;;;;;;;;;;;;;;;
6302;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1972 year;;;;;;;;;;;;;;;
6303;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1973 year;;;;;;;;9.9;11.0;;12.8;;;;
6304;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1974 year;;;;;;;;15.5;15.3;;16.1;;;;
6305;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1975 year;;;;;;;;13.2;13.3;;16.0;;;;
6306;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1976 year;;;;;;;;9.1;9.1;;9.8;;;;
6307;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1977 year;;;;;;;;7.7;8.2;;8.3;;;;
6308;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1978 year;;;;;;;;5.3;5.2;;4.9;;;;
6309;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1979 year;;;;;;;;4.4;4.6;;4.9;;;;
6310;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1980 year;;;;;;;;5.0;5.2;;5.2;;;;
6311;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1981 year;;;;;;;;3.2;2.9;;2.9;;;-0.6;
6312;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1982 year;;;;;;;;6.6;6.7;;6.6;;;-0.5;
6313;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1983 year;;;;;;;;2.2;2.5;;2.8;;;-1.5;
6314;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1984 year;;;;;;;;0.4;0.4;;1.8;;;-1.9;
6315;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1985 year;;;;;;;;0.7;0.7;;2.4;;;-1.8;
6316;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1986 year;;;;;;;;1.3;1.4;;2.5;;;-0.8;
6317;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1987 year;;;;;;;;0.8;0.8;;2.0;;;-0.5;
6318;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1988 year;;;;;;;;1.1;1.1;;1.4;;;-0.1;
6319;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1989 year;;;;;;;;0.9;0.9;;1.1;;;0.0;
6320;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1990 year;;;;;;;;1.7;1.7;;1.6;;;0.0;
6321;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1991 year;;;;;;;;4.0;4.2;4.0;4.4;;;-0.1;
6322;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1992 year;;;;;;;;3.7;3.3;3.8;3.3;;;0.0;
6323;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1993 year;;;;;;;;3.3;3.3;3.3;3.3;;;-0.1;
6324;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1994 year;;;;;;;;1.5;1.5;1.6;1.6;;;0.0;
6325;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1995 year;;;;;;;;0.8;0.8;0.9;0.8;;;0.0;
6326;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1996 year;;;;;;;;2.4;2.3;2.4;2.4;;;-0.2;
6327;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1997 year;;;;;;;;2.4;2.6;2.7;3.0;;;-0.3;
6328;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1998 year;;;;;;;;3.2;2.9;3.3;3.0;;;0.0;
6329;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;1999 year;;;;;;;;3.2;3.2;3.2;3.2;;;0.0;
6330;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2000 year;;;;;;;;3.7;4.0;3.7;4.0;;;0.0;
6331;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2001 year;;;;;;;;3.1;3.0;3.1;3.0;;;0.0;
6332;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2002 year;;;;;;;;3.4;3.2;3.4;3.2;;;0.0;
6333;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2003 year;;;;;;;;2.8;2.8;2.8;2.8;;;0.0;
6334;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2004 year;;;;;;;;1.5;1.6;1.4;1.6;;;0.0;
6335;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2005 year;;;;;;;;0.4;0.2;0.5;0.3;;;0.0;
6336;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2006 year;;;;;;;;1.4;2.1;1.4;2.1;;;0.0;
6337;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2007 year;;;;;;;;1.8;1.8;1.7;1.8;;;0.0;
6338;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2008 year;;;;;;;;3.0;3.3;3.0;3.3;;;0.0;
6339;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2009 year;;;;;;;;2.6;2.6;2.6;2.6;;;0.0;
6340;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2010 year;;;;;;;;0.7;0.7;0.7;0.7;;;0.0;
6341;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2011 year;;;;;;;;1.1;1.1;1.1;1.1;;;0.0;
6342;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2012 year;;;;;;;;1.3;1.5;1.3;1.5;;;0.0;
6343;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2013 year;;;;;;;;1.0;0.9;1.0;0.9;;;0.0;
6344;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2014 year;;;;;;;;1.1;1.1;1.1;1.1;;;0.0;
6345;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2015 year;;;;;;;;1.3;1.1;1.3;1.0;;;0.0;
6346;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2016 year;;;;;;;;1.7;1.8;1.7;1.8;;;0.0;
6347;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2017 year;;;;;;;;1.2;1.4;1.2;1.5;;;0.0;
6348;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2018 year;;;;;;;;2.0;1.8;1.9;1.8;;;0.0;
6349;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2019 year;;;;;;;;1.9;2.1;2.0;2.0;;;0.0;
6350;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 January;98.7;98.7;98.7;98.7;;;100.0;;;;;;;;
6351;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 February;99.0;98.9;99.0;98.9;;;100.0;;;;;;;;
6352;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 March;99.0;99.0;99.0;99.0;;;100.0;;;;;;;;
6353;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 1st quarter;98.9;98.9;98.9;98.9;;;100.0;;;;;;;;
6354;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 April;99.9;99.9;99.9;99.9;;;100.0;;;;;;;;
6355;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 May;100.1;100.1;100.1;100.1;;;100.0;;;;;;;;
6356;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 June;100.1;100.1;100.1;100.1;;;100.0;;;;;;;;
6357;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 2nd quarter;100.0;100.0;100.0;100.0;;;100.0;;;;;;;;
6358;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 July;100.2;100.2;100.2;100.2;;;100.0;;;;;;;;
6359;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 August;100.2;100.2;100.2;100.2;;;100.0;;;;;;;;
6360;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 September;100.2;100.2;100.2;100.2;;;100.0;;;;;;;;
6361;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 3rd quarter;100.2;100.2;100.2;100.2;;;100.0;;;;;;;;
6362;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 October;100.8;100.8;100.8;100.8;;;100.0;;;;;;;;
6363;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 November;100.8;100.8;100.8;100.8;;;100.0;;;;;;;;
6364;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 December;101.0;101.0;101.0;101.0;;;100.0;;;;;;;;
6365;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 4th quarter;100.9;100.9;100.9;100.9;;;100.0;;;;;;;;
6366;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2020 year;100.0;100.0;100.0;100.0;;;100.0;2.6;2.5;2.6;2.6;;;0.0;
6367;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 January;101.3;101.1;101.3;101.1;;;100.0;2.6;2.4;2.6;2.4;;;0.0;
6368;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 February;101.3;101.1;101.3;101.1;;;100.0;2.3;2.2;2.3;2.2;;;0.0;
6369;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 March;101.3;101.2;101.3;101.2;;;100.0;2.3;2.2;2.3;2.2;;;0.0;
6370;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 1st quarter;101.3;101.1;101.3;101.1;;;100.0;2.4;2.2;2.4;2.2;;;0.0;
6371;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 April;101.7;101.6;101.7;101.6;;;100.0;1.8;1.7;1.8;1.7;;;0.0;
6372;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 May;101.7;101.6;101.7;101.6;;;100.0;1.6;1.5;1.6;1.5;;;0.0;
6373;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 June;101.9;101.8;101.9;101.8;;;100.0;1.8;1.7;1.8;1.7;;;0.0;
6374;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 2nd quarter;101.8;101.7;101.8;101.7;;;100.0;1.8;1.7;1.8;1.7;;;0.0;
6375;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 July;102.4;102.2;102.4;102.2;;;100.0;2.2;2.0;2.2;2.0;;;0.0;
6376;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 August;102.4;102.2;102.4;102.2;;;100.0;2.2;2.0;2.2;2.0;;;0.0;
6377;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 September;102.4;102.2;102.4;102.2;;;100.0;2.2;2.0;2.2;2.0;;;0.0;
6378;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 3rd quarter;102.4;102.2;102.4;102.2;;;100.0;2.2;2.0;2.2;2.0;;;0.0;
6379;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 October;102.8;102.7;102.8;102.7;;;100.0;2.0;1.9;2.0;1.9;;;0.0;
6380;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 November;102.9;102.7;102.9;102.7;;;100.0;2.1;1.9;2.1;1.9;;;0.0;
6381;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 December;103.2;103.1;103.2;103.1;;;100.0;2.2;2.1;2.2;2.1;;;0.0;
6382;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 4th quarter;103.0;102.8;103.0;102.8;;;100.0;2.1;1.9;2.1;1.9;;;0.0;
6383;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2021 year;102.1;102.0;102.1;102.0;;;100.0;2.1;2.0;2.1;2.0;;;0.0;
6384;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 January;104.3;104.1;104.3;104.2;;;100.0;3.0;3.0;3.0;3.1;;;0.0;
6385;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 February;104.3;104.1;104.3;104.2;;;100.0;3.0;3.0;3.0;3.1;;;0.0;
6386;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 March;104.8;104.6;104.8;104.7;;;100.0;3.5;3.4;3.5;3.5;;;0.0;
6387;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 1st quarter;104.5;104.3;104.5;104.3;;;100.0;3.2;3.2;3.2;3.2;;;0.0;
6388;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 April;105.0;104.7;105.0;104.8;;;100.0;3.2;3.1;3.2;3.1;;;0.0;
6389;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 May;105.2;105.0;105.2;105.0;;;100.0;3.4;3.3;3.4;3.3;;;0.0;
6390;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 June;105.5;105.2;105.5;105.3;;;100.0;3.5;3.3;3.5;3.4;;;0.0;
6391;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 2nd quarter;105.2;105.0;105.2;105.0;;;100.0;3.3;3.2;3.3;3.2;;;0.0;
6392;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 July;106.1;106.0;106.1;106.1;;;100.0;3.6;3.7;3.6;3.8;;;0.0;
6393;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 August;106.1;106.0;106.1;106.1;;;100.0;3.6;3.7;3.6;3.8;;;0.0;
6394;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 September;106.1;106.0;106.1;106.1;;;100.0;3.6;3.7;3.6;3.8;;;0.0;
6395;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 3rd quarter;106.1;106.0;106.1;106.1;;;100.0;3.6;3.7;3.6;3.8;;;0.0;
6396;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 October;106.1;107.0;106.2;107.1;;;100.0;3.2;4.2;3.3;4.3;;;0.0;
6397;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 November;106.1;107.0;106.2;107.1;;;100.0;3.1;4.2;3.2;4.3;;;0.0;
6398;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 December;106.3;107.2;106.3;107.2;;;100.0;3.0;4.0;3.0;4.0;;;0.0;
6399;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 4th quarter;106.2;107.1;106.2;107.1;;;100.0;3.1;4.2;3.1;4.2;;;0.0;
6400;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2022 year;105.5;105.6;105.5;105.6;;;100.0;3.3;3.5;3.3;3.5;;;0.0;
6401;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 January;108.6;110.1;108.7;110.2;;;100.0;4.1;5.8;4.2;5.8;;;0.0;
6402;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 February;109.0;110.4;109.0;110.5;;;100.0;4.5;6.1;4.5;6.0;;;0.0;
6403;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 March;109.1;110.6;109.1;110.6;;;100.0;4.1;5.7;4.1;5.6;;;0.0;
6404;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 1st quarter;108.9;110.4;108.9;110.4;;;100.0;4.2;5.8;4.2;5.8;;;0.0;
6405;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 April;110.5;112.1;110.6;112.2;;;100.0;5.2;7.1;5.3;7.1;;;0.0;
6406;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 May;110.6;112.1;110.6;112.2;;;100.0;5.1;6.8;5.1;6.9;;;0.0;
6407;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 June;110.6;112.1;110.6;112.2;;;100.0;4.8;6.6;4.8;6.6;;;0.0;
6408;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 2nd quarter;110.5;112.1;110.6;112.2;;;100.0;5.0;6.8;5.1;6.9;;;0.0;
6409;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 July;111.5;112.6;111.5;112.6;;;100.0;5.1;6.2;5.1;6.1;;;0.0;
6410;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 August;111.8;112.9;111.9;112.9;;;100.0;5.4;6.5;5.5;6.4;;;0.0;
6411;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 September;112.8;113.8;112.8;113.9;;;100.0;6.3;7.4;6.3;7.4;;;0.0;
6412;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 3rd quarter;112.0;113.1;112.1;113.1;;;100.0;5.6;6.7;5.7;6.6;;;0.0;
6413;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 October;112.8;113.6;112.8;113.6;;;100.0;6.3;6.2;6.2;6.1;;;0.0;
6414;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 November;113.0;113.7;113.0;113.7;;;100.0;6.5;6.3;6.4;6.2;;;0.0;
6415;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 December;113.0;113.7;113.0;113.7;;;100.0;6.3;6.1;6.3;6.1;;;0.0;
6416;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 4th quarter;112.9;113.7;113.0;113.7;;;100.0;6.3;6.2;6.4;6.2;;;0.0;
6417;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2023 year;111.1;112.3;111.1;112.4;;;100.0;5.3;6.3;5.3;6.4;;;0.0;
6418;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 January;116.9;117.5;117.0;117.5;;;100.0;7.6;6.7;7.6;6.6;;;0.0;
6419;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 February;116.9;117.5;117.0;117.5;;;100.0;7.2;6.4;7.3;6.3;;;0.0;
6420;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 March;116.9;117.5;117.0;117.5;;;100.0;7.1;6.2;7.2;6.2;;;0.0;
6421;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 1st quarter;116.9;117.5;117.0;117.5;;;100.0;7.3;6.4;7.4;6.4;;;0.0;
6422;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 April;117.2;117.7;117.2;117.7;;;100.0;6.1;5.0;6.0;4.9;;;0.0;
6423;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 May;117.2;117.7;117.2;117.7;;;100.0;6.0;5.0;6.0;4.9;;;0.0;
6424;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 June;118.8;118.6;118.9;118.7;;;100.0;7.4;5.8;7.5;5.8;;;0.0;
6425;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 2nd quarter;117.7;118.0;117.8;118.1;;;100.0;6.5;5.3;6.5;5.3;;;0.0;
6426;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 July;119.6;119.7;119.6;119.7;;;100.0;7.3;6.3;7.3;6.3;;;0.0;
6427;Total collective labour agreement sector;46 Wholesale trade (no motor vehicles);Current figures;2024 August;119.6;119.7;119.6;119.7;;;100.0;7.0;6.0;6.9;6.0;;;0.0;
