ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
2528;Train;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2020;4.3
2529;Train;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2021;5.0
2530;Train;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2022;6.9
2531;Train;Population 6 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2023;9.4
2532;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;3.6
2533;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;3.6
2534;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;1.3
2535;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;1.2
2536;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;2.3
2537;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;3.3
2538;Train;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2018;0.6
2539;Train;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2019;0.7
2540;Train;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2020;
2541;Train;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2021;0.4
2542;Train;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2022;0.4
2543;Train;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2023;0.5
2544;Train;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2018;0.4
2545;Train;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2019;
2546;Train;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2020;
2547;Train;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2021;
2548;Train;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2022;
2549;Train;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2023;
2550;Train;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2018;
2551;Train;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2019;
2552;Train;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2020;
2553;Train;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2021;
2554;Train;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2022;
2555;Train;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2023;
2556;Train;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2018;1.0
2557;Train;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2019;1.5
2558;Train;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2020;0.4
2559;Train;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2021;0.3
2560;Train;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2022;0.8
2561;Train;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2023;0.9
2562;Train;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2018;0.6
2563;Train;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2019;0.6
2564;Train;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2020;
2565;Train;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2021;0.2
2566;Train;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2022;0.3
2567;Train;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2023;0.3
2568;Train;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2018;2.1
2569;Train;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2019;2.1
2570;Train;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2020;1.0
2571;Train;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2021;1.0
2572;Train;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2022;1.9
2573;Train;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2023;2.1
2574;Train;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2018;1.8
2575;Train;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2019;2.2
2576;Train;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2020;0.9
2577;Train;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2021;0.9
2578;Train;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2022;1.4
2579;Train;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2023;2.0
2580;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2018;4.3
2581;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2019;4.1
2582;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2020;1.6
2583;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2021;1.7
2584;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2022;2.3
2585;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2023;2.9
2586;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;4.0
2587;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;4.3
2588;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;1.4
2589;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;1.9
2590;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;2.6
2591;Train;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;3.8
2592;Train;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2018;
2593;Train;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2019;
2594;Train;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2020;
2595;Train;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2021;
2596;Train;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2022;
2597;Train;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2023;
2598;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;2.4
2599;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;2.5
2600;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;0.8
2601;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;0.7
2602;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;1.3
2603;Train;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;2.3
2604;Train;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2018;1.1
2605;Train;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2019;0.9
2606;Train;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2020;0.4
2607;Train;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2021;0.4
2608;Train;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2022;0.8
2609;Train;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2023;0.8
2610;Train;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2018;8.0
2611;Train;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2019;8.6
2612;Train;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2020;3.0
2613;Train;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2021;4.1
2614;Train;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2022;5.2
2615;Train;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2023;6.9
2616;Train;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2018;6.4
2617;Train;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2019;7.1
2618;Train;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2020;2.9
2619;Train;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2021;2.7
2620;Train;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2022;4.6
2621;Train;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2023;6.3
2622;Train;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2018;2.7
2623;Train;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2019;2.4
2624;Train;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2020;0.8
2625;Train;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2021;0.7
2626;Train;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2022;1.5
2627;Train;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2023;2.0
2628;Train;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2018;2.2
2629;Train;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2019;2.3
2630;Train;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2020;0.8
2631;Train;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2021;0.9
2632;Train;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2022;1.7
2633;Train;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2023;2.0
2634;Train;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2018;0.6
2635;Train;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2019;0.7
2636;Train;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2020;
2637;Train;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2021;
2638;Train;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2022;0.5
2639;Train;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2023;0.4
2640;Train;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2018;24.1
2641;Train;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2019;25.5
2642;Train;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2020;10.4
2643;Train;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2021;11.0
2644;Train;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2022;16.8
2645;Train;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2023;21.2
2646;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;2.6
2647;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;2.5
2648;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;1.1
2649;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;1.5
2650;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;2.0
2651;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;2.2
2652;Train;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;5.4
2653;Train;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;6.2
2654;Train;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;2.7
2655;Train;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;2.4
2656;Train;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;4.5
2657;Train;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;4.8
2658;Train;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2018;12.6
2659;Train;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2019;13.2
2660;Train;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2020;5.3
2661;Train;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2021;5.9
2662;Train;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2022;8.1
2663;Train;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2023;10.8
2664;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;4.7
2665;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;4.9
2666;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;2.1
2667;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;1.9
2668;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;3.3
2669;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;4.6
2670;Train;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2018;1.2
2671;Train;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2019;1.5
2672;Train;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2020;
2673;Train;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2021;0.9
2674;Train;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2022;0.9
2675;Train;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2023;1.3
2676;Train;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2018;0.9
2677;Train;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2019;
2678;Train;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2020;
2679;Train;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2021;
2680;Train;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2022;
2681;Train;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2023;
2682;Train;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2018;
2683;Train;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2019;
2684;Train;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2020;
2685;Train;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2021;
2686;Train;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2022;
2687;Train;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2023;
2688;Train;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2018;1.6
2689;Train;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2019;2.5
2690;Train;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2020;1.0
2691;Train;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2021;0.6
2692;Train;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2022;1.6
2693;Train;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2023;1.6
2694;Train;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2018;0.9
2695;Train;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2019;1.0
2696;Train;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2020;
2697;Train;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2021;0.4
2698;Train;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2022;0.5
2699;Train;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2023;0.6
2700;Train;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2018;3.3
2701;Train;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2019;3.1
2702;Train;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2020;1.6
2703;Train;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2021;1.7
2704;Train;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2022;2.7
2705;Train;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2023;3.0
2706;Train;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2018;2.5
2707;Train;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2019;3.0
2708;Train;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2020;1.3
2709;Train;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2021;1.3
2710;Train;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2022;1.8
2711;Train;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2023;2.5
2712;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2018;5.4
2713;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2019;5.3
2714;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2020;2.3
2715;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2021;2.4
2716;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2022;3.1
2717;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2023;3.8
2718;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;5.1
2719;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;5.4
2720;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;1.9
2721;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;2.4
2722;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;3.4
2723;Train;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;4.8
2724;Train;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2018;
2725;Train;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2019;
2726;Train;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2020;
2727;Train;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2021;
2728;Train;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2022;
2729;Train;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2023;
2730;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;3.2
2731;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;3.6
2732;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;1.4
2733;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;1.2
2734;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;1.9
2735;Train;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;3.2
2736;Train;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2018;1.7
2737;Train;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2019;1.6
2738;Train;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2020;0.8
2739;Train;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2021;0.9
2740;Train;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2022;1.5
2741;Train;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2023;1.6
2742;Train;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2018;9.6
2743;Train;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2019;10.2
2744;Train;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2020;3.9
2745;Train;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2021;5.0
2746;Train;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2022;6.4
2747;Train;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2023;8.3
2748;Train;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2018;7.7
2749;Train;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2019;8.8
2750;Train;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2020;3.8
2751;Train;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2021;3.5
2752;Train;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2022;6.0
2753;Train;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2023;7.7
2754;Train;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2018;3.7
2755;Train;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2019;3.4
2756;Train;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2020;1.4
2757;Train;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2021;1.2
2758;Train;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2022;2.2
2759;Train;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2023;2.8
2760;Train;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2018;3.4
2761;Train;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2019;3.3
2762;Train;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2020;1.5
2763;Train;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2021;1.6
2764;Train;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2022;2.6
2765;Train;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2023;2.9
2766;Train;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2018;1.2
2767;Train;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2019;1.3
2768;Train;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2020;
2769;Train;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2021;
2770;Train;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2022;1.0
2771;Train;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2023;0.8
2772;Train;Population: 12 years or older;Value;The Netherlands;2018;22.6
2773;Train;Population: 12 years or older;Value;The Netherlands;2019;23.9
2774;Train;Population: 12 years or older;Value;The Netherlands;2020;9.5
2775;Train;Population: 12 years or older;Value;The Netherlands;2021;10.2
2776;Train;Population: 12 years or older;Value;The Netherlands;2022;15.6
2777;Train;Population: 12 years or older;Value;The Netherlands;2023;19.8
2778;Train;Population: 12 years or older;Value;Noord-Nederland (LD);2018;2.1
2779;Train;Population: 12 years or older;Value;Noord-Nederland (LD);2019;2.0
2780;Train;Population: 12 years or older;Value;Noord-Nederland (LD);2020;0.8
2781;Train;Population: 12 years or older;Value;Noord-Nederland (LD);2021;1.1
2782;Train;Population: 12 years or older;Value;Noord-Nederland (LD);2022;1.6
2783;Train;Population: 12 years or older;Value;Noord-Nederland (LD);2023;1.7
2784;Train;Population: 12 years or older;Value;Oost-Nederland (LD);2018;4.7
2785;Train;Population: 12 years or older;Value;Oost-Nederland (LD);2019;5.4
2786;Train;Population: 12 years or older;Value;Oost-Nederland (LD);2020;2.2
2787;Train;Population: 12 years or older;Value;Oost-Nederland (LD);2021;2.1
2788;Train;Population: 12 years or older;Value;Oost-Nederland (LD);2022;3.9
2789;Train;Population: 12 years or older;Value;Oost-Nederland (LD);2023;4.2
2790;Train;Population: 12 years or older;Value;West-Nederland (LD);2018;11.6
2791;Train;Population: 12 years or older;Value;West-Nederland (LD);2019;12.3
2792;Train;Population: 12 years or older;Value;West-Nederland (LD);2020;4.8
2793;Train;Population: 12 years or older;Value;West-Nederland (LD);2021;5.4
2794;Train;Population: 12 years or older;Value;West-Nederland (LD);2022;7.4
2795;Train;Population: 12 years or older;Value;West-Nederland (LD);2023;10.0
2796;Train;Population: 12 years or older;Value;Zuid-Nederland (LD);2018;4.2
2797;Train;Population: 12 years or older;Value;Zuid-Nederland (LD);2019;4.3
2798;Train;Population: 12 years or older;Value;Zuid-Nederland (LD);2020;1.7
2799;Train;Population: 12 years or older;Value;Zuid-Nederland (LD);2021;1.6
2800;Train;Population: 12 years or older;Value;Zuid-Nederland (LD);2022;2.7
2801;Train;Population: 12 years or older;Value;Zuid-Nederland (LD);2023;3.8
2802;Train;Population: 12 years or older;Value;Groningen (PV);2018;0.9
2803;Train;Population: 12 years or older;Value;Groningen (PV);2019;1.1
2804;Train;Population: 12 years or older;Value;Groningen (PV);2020;
2805;Train;Population: 12 years or older;Value;Groningen (PV);2021;0.6
2806;Train;Population: 12 years or older;Value;Groningen (PV);2022;0.7
2807;Train;Population: 12 years or older;Value;Groningen (PV);2023;0.9
2808;Train;Population: 12 years or older;Value;Fryslân (PV);2018;0.6
2809;Train;Population: 12 years or older;Value;Fryslân (PV);2019;
2810;Train;Population: 12 years or older;Value;Fryslân (PV);2020;
2811;Train;Population: 12 years or older;Value;Fryslân (PV);2021;
2812;Train;Population: 12 years or older;Value;Fryslân (PV);2022;
2813;Train;Population: 12 years or older;Value;Fryslân (PV);2023;
2814;Train;Population: 12 years or older;Value;Drenthe (PV);2018;
2815;Train;Population: 12 years or older;Value;Drenthe (PV);2019;
2816;Train;Population: 12 years or older;Value;Drenthe (PV);2020;
2817;Train;Population: 12 years or older;Value;Drenthe (PV);2021;
2818;Train;Population: 12 years or older;Value;Drenthe (PV);2022;
2819;Train;Population: 12 years or older;Value;Drenthe (PV);2023;
2820;Train;Population: 12 years or older;Value;Overijssel (PV);2018;1.3
2821;Train;Population: 12 years or older;Value;Overijssel (PV);2019;1.9
2822;Train;Population: 12 years or older;Value;Overijssel (PV);2020;0.7
2823;Train;Population: 12 years or older;Value;Overijssel (PV);2021;0.4
2824;Train;Population: 12 years or older;Value;Overijssel (PV);2022;1.2
2825;Train;Population: 12 years or older;Value;Overijssel (PV);2023;1.2
2826;Train;Population: 12 years or older;Value;Flevoland (PV);2018;0.7
2827;Train;Population: 12 years or older;Value;Flevoland (PV);2019;0.8
2828;Train;Population: 12 years or older;Value;Flevoland (PV);2020;
2829;Train;Population: 12 years or older;Value;Flevoland (PV);2021;0.3
2830;Train;Population: 12 years or older;Value;Flevoland (PV);2022;0.4
2831;Train;Population: 12 years or older;Value;Flevoland (PV);2023;0.4
2832;Train;Population: 12 years or older;Value;Gelderland (PV);2018;2.7
2833;Train;Population: 12 years or older;Value;Gelderland (PV);2019;2.6
2834;Train;Population: 12 years or older;Value;Gelderland (PV);2020;1.3
2835;Train;Population: 12 years or older;Value;Gelderland (PV);2021;1.4
2836;Train;Population: 12 years or older;Value;Gelderland (PV);2022;2.3
2837;Train;Population: 12 years or older;Value;Gelderland (PV);2023;2.5
2838;Train;Population: 12 years or older;Value;Utrecht (PV);2018;2.1
2839;Train;Population: 12 years or older;Value;Utrecht (PV);2019;2.6
2840;Train;Population: 12 years or older;Value;Utrecht (PV);2020;1.1
2841;Train;Population: 12 years or older;Value;Utrecht (PV);2021;1.1
2842;Train;Population: 12 years or older;Value;Utrecht (PV);2022;1.5
2843;Train;Population: 12 years or older;Value;Utrecht (PV);2023;2.3
2844;Train;Population: 12 years or older;Value;Noord-Holland (PV);2018;4.8
2845;Train;Population: 12 years or older;Value;Noord-Holland (PV);2019;4.7
2846;Train;Population: 12 years or older;Value;Noord-Holland (PV);2020;1.9
2847;Train;Population: 12 years or older;Value;Noord-Holland (PV);2021;2.0
2848;Train;Population: 12 years or older;Value;Noord-Holland (PV);2022;2.6
2849;Train;Population: 12 years or older;Value;Noord-Holland (PV);2023;3.3
2850;Train;Population: 12 years or older;Value;Zuid-Holland (PV);2018;4.5
2851;Train;Population: 12 years or older;Value;Zuid-Holland (PV);2019;4.8
2852;Train;Population: 12 years or older;Value;Zuid-Holland (PV);2020;1.6
2853;Train;Population: 12 years or older;Value;Zuid-Holland (PV);2021;2.1
2854;Train;Population: 12 years or older;Value;Zuid-Holland (PV);2022;2.9
