ID;Sex;PersonalCharacteristics;RegisteredEmploymentUWV;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;PartTime_7;LessThan20HoursAWeek_8;LessThan12HoursAWeek_9;k_12To19HoursAWeek_10;k_20To34HoursAWeek_11;FullTime_12;Unknown_13;NotInTheLabourForce_14;AvailableToWorkButNotSeeking_15;BecauseOfDiscouragement_16;BecauseOfOtherReason_17;SeekingWorkButNotAvailable_18;NotSeekingWorkNotAvailable_19;WantToWork_20;DoesnTWantToOrCanTWork_21;BecauseOfFamilyHouseholdCare_22;BecauseOfEducation_23;BecauseOfRetirementOldAge_24;BecauseOfIllnessDisability_25;BecauseOfOtherReason_26
3369;Total male and female;3 Tertiary;Registered at an employment office;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
3370;Total male and female;3 Tertiary;Registered at an employment office;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3371;Total male and female;3 Tertiary;Registered at an employment office;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3372;Total male and female;3 Tertiary;Registered at an employment office;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3373;Total male and female;3 Tertiary;Registered at an employment office;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3374;Total male and female;3 Tertiary;Registered at an employment office;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
3375;Total male and female;3 Tertiary;Registered at an employment office;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3376;Total male and female;3 Tertiary;Registered at an employment office;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3377;Total male and female;3 Tertiary;Registered at an employment office;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3378;Total male and female;3 Tertiary;Registered at an employment office;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3379;Total male and female;3 Tertiary;Registered at an employment office;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
3380;Total male and female;3 Tertiary;Registered at an employment office;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3381;Total male and female;3 Tertiary;Registered at an employment office;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3382;Total male and female;3 Tertiary;Registered at an employment office;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3383;Total male and female;3 Tertiary;Registered at an employment office;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3384;Total male and female;3 Tertiary;Registered at an employment office;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
3385;Total male and female;3 Tertiary;Registered at an employment office;2018 1st quarter;278.0;138.0;31.0;107.0;140.0;67.0;32.0;4.0;0.0;4.0;28.0;33.0;2.0;73.0;8.0;2.0;6.0;18.0;48.0;13.0;35.0;3.0;5.0;2.0;20.0;4.0
3386;Total male and female;3 Tertiary;Registered at an employment office;2018 2nd quarter;282.0;140.0;32.0;108.0;143.0;62.0;31.0;4.0;0.0;4.0;27.0;30.0;2.0;81.0;11.0;6.0;5.0;21.0;49.0;8.0;41.0;4.0;5.0;5.0;24.0;4.0
3387;Total male and female;3 Tertiary;Registered at an employment office;2018 3rd quarter;273.0;133.0;24.0;109.0;140.0;60.0;28.0;2.0;1.0;1.0;27.0;29.0;3.0;79.0;10.0;5.0;6.0;21.0;49.0;11.0;37.0;3.0;5.0;4.0;21.0;4.0
3388;Total male and female;3 Tertiary;Registered at an employment office;2018 4th quarter;276.0;141.0;30.0;111.0;135.0;58.0;31.0;3.0;1.0;2.0;28.0;24.0;3.0;77.0;8.0;3.0;5.0;20.0;48.0;7.0;41.0;3.0;6.0;5.0;24.0;4.0
3389;Total male and female;3 Tertiary;Registered at an employment office;2018;277.0;138.0;29.0;109.0;139.0;62.0;31.0;3.0;1.0;2.0;28.0;29.0;2.0;78.0;9.0;4.0;5.0;20.0;48.0;10.0;39.0;3.0;5.0;4.0;22.0;4.0
3390;Total male and female;3 Tertiary;Registered at an employment office;2019 1st quarter;274.0;133.0;27.0;107.0;141.0;60.0;32.0;6.0;1.0;5.0;26.0;25.0;2.0;81.0;9.0;4.0;5.0;21.0;51.0;7.0;45.0;3.0;5.0;6.0;27.0;3.0
3391;Total male and female;3 Tertiary;Registered at an employment office;2019 2nd quarter;265.0;133.0;26.0;107.0;132.0;56.0;25.0;2.0;0.0;1.0;24.0;28.0;3.0;77.0;8.0;2.0;6.0;15.0;53.0;12.0;42.0;3.0;6.0;6.0;22.0;4.0
3392;Total male and female;3 Tertiary;Registered at an employment office;2019 3rd quarter;260.0;134.0;23.0;111.0;126.0;55.0;29.0;3.0;1.0;2.0;26.0;24.0;2.0;71.0;6.0;1.0;4.0;15.0;51.0;10.0;41.0;3.0;5.0;5.0;25.0;3.0
3393;Total male and female;3 Tertiary;Registered at an employment office;2019 4th quarter;238.0;112.0;20.0;92.0;126.0;48.0;23.0;2.0;0.0;2.0;21.0;20.0;5.0;78.0;10.0;3.0;7.0;13.0;56.0;14.0;42.0;0.0;6.0;5.0;27.0;4.0
3394;Total male and female;3 Tertiary;Registered at an employment office;2019;259.0;128.0;24.0;104.0;132.0;55.0;27.0;3.0;1.0;3.0;24.0;24.0;3.0;77.0;8.0;2.0;6.0;16.0;53.0;10.0;42.0;2.0;6.0;5.0;25.0;4.0
3395;Total male and female;3 Tertiary;Registered at an employment office;2020 1st quarter;234.0;108.0;22.0;86.0;127.0;51.0;25.0;3.0;0.0;3.0;22.0;24.0;2.0;75.0;7.0;3.0;5.0;17.0;51.0;9.0;42.0;1.0;6.0;4.0;25.0;6.0
3396;Total male and female;3 Tertiary;Registered at an employment office;2020 2nd quarter;264.0;114.0;20.0;94.0;150.0;65.0;33.0;3.0;1.0;2.0;29.0;31.0;1.0;85.0;10.0;3.0;7.0;16.0;60.0;12.0;48.0;2.0;7.0;4.0;28.0;6.0
3397;Total male and female;3 Tertiary;Registered at an employment office;2020 3rd quarter;261.0;120.0;24.0;96.0;141.0;64.0;31.0;3.0;0.0;3.0;28.0;32.0;2.0;77.0;18.0;8.0;10.0;10.0;49.0;10.0;39.0;2.0;5.0;4.0;24.0;4.0
3398;Total male and female;3 Tertiary;Registered at an employment office;2020 4th quarter;262.0;119.0;26.0;92.0;143.0;69.0;32.0;3.0;0.0;3.0;29.0;34.0;4.0;74.0;11.0;6.0;5.0;11.0;52.0;11.0;41.0;2.0;3.0;6.0;25.0;4.0
3399;Total male and female;3 Tertiary;Registered at an employment office;2020;255.0;115.0;23.0;92.0;140.0;62.0;30.0;3.0;1.0;3.0;27.0;30.0;2.0;78.0;12.0;5.0;7.0;13.0;53.0;11.0;42.0;2.0;5.0;5.0;26.0;5.0
3400;Total male and female;3 Tertiary;Registered at an employment office;2021 1st quarter;274.0;135.0;26.0;108.0;139.0;62.0;30.0;4.0;1.0;3.0;26.0;28.0;4.0;78.0;9.0;1.0;8.0;8.0;60.0;;;3.0;4.0;4.0;37.0;11.0
3401;Total male and female;3 Tertiary;Registered at an employment office;2021 2nd quarter;256.0;124.0;20.0;104.0;132.0;47.0;26.0;1.0;0.0;1.0;25.0;18.0;3.0;85.0;9.0;3.0;6.0;16.0;61.0;;;6.0;8.0;3.0;37.0;5.0
3402;Total male and female;3 Tertiary;Registered at an employment office;2021 3rd quarter;249.0;117.0;15.0;102.0;132.0;48.0;26.0;5.0;0.0;4.0;22.0;17.0;4.0;84.0;9.0;0.0;9.0;16.0;59.0;;;6.0;8.0;5.0;34.0;6.0
3403;Total male and female;3 Tertiary;Registered at an employment office;2021 4th quarter;253.0;116.0;13.0;104.0;137.0;46.0;27.0;2.0;1.0;2.0;25.0;17.0;2.0;91.0;10.0;2.0;7.0;16.0;65.0;;;4.0;9.0;4.0;44.0;5.0
3404;Total male and female;3 Tertiary;Registered at an employment office;2021;258.0;123.0;18.0;105.0;135.0;51.0;27.0;3.0;1.0;2.0;24.0;20.0;3.0;84.0;9.0;1.0;8.0;14.0;61.0;;;5.0;7.0;4.0;38.0;7.0
3405;Total male and female;3 Tertiary;Registered at an employment office;2022 1st quarter;249.0;118.0;15.0;103.0;131.0;36.0;21.0;2.0;0.0;2.0;19.0;14.0;1.0;95.0;7.0;1.0;6.0;16.0;71.0;;;7.0;9.0;4.0;45.0;6.0
3406;Total male and female;3 Tertiary;Registered at an employment office;2022 2nd quarter;230.0;103.0;11.0;92.0;127.0;40.0;25.0;2.0;0.0;2.0;23.0;12.0;3.0;87.0;7.0;1.0;5.0;16.0;64.0;;;4.0;8.0;5.0;39.0;9.0
3407;Total male and female;3 Tertiary;Registered at an employment office;2022 3rd quarter;227.0;104.0;10.0;94.0;124.0;35.0;20.0;4.0;1.0;2.0;16.0;13.0;2.0;89.0;7.0;1.0;6.0;11.0;70.0;;;5.0;8.0;5.0;47.0;6.0
3408;Total male and female;3 Tertiary;Registered at an employment office;2022 4th quarter;215.0;97.0;12.0;85.0;117.0;38.0;23.0;3.0;0.0;2.0;20.0;14.0;2.0;79.0;4.0;1.0;3.0;11.0;63.0;;;6.0;5.0;5.0;43.0;4.0
3409;Total male and female;3 Tertiary;Registered at an employment office;2022;230.0;106.0;12.0;94.0;125.0;37.0;22.0;3.0;0.0;2.0;19.0;13.0;2.0;87.0;6.0;1.0;5.0;14.0;67.0;;;5.0;8.0;5.0;44.0;6.0
3410;Total male and female;3 Tertiary;Registered at an employment office;2023 1st quarter;208.0;90.0;9.0;82.0;118.0;38.0;25.0;4.0;0.0;3.0;21.0;11.0;2.0;80.0;6.0;0.0;6.0;9.0;65.0;;;6.0;8.0;7.0;41.0;3.0
3411;Total male and female;3 Tertiary;Registered at an employment office;2023 2nd quarter;207.0;88.0;11.0;77.0;119.0;37.0;18.0;3.0;1.0;1.0;16.0;17.0;1.0;82.0;5.0;1.0;4.0;12.0;66.0;;;6.0;9.0;6.0;41.0;5.0
3412;Total male and female;3 Tertiary;Registered at an employment office;2023 3rd quarter;214.0;91.0;13.0;78.0;123.0;35.0;19.0;4.0;2.0;2.0;15.0;15.0;2.0;88.0;4.0;1.0;3.0;15.0;68.0;;;6.0;9.0;6.0;42.0;5.0
3413;Total male and female;3 Tertiary;Registered at an employment office;2023 4th quarter;219.0;97.0;13.0;84.0;122.0;36.0;20.0;3.0;1.0;2.0;17.0;15.0;2.0;85.0;5.0;0.0;5.0;11.0;69.0;;;7.0;8.0;4.0;47.0;3.0
3414;Total male and female;3 Tertiary;Registered at an employment office;2023;212.0;92.0;11.0;80.0;120.0;36.0;20.0;3.0;1.0;2.0;17.0;14.0;2.0;84.0;5.0;1.0;4.0;12.0;67.0;;;6.0;8.0;6.0;43.0;4.0
3415;Total male and female;3 Tertiary;Registered at an employment office;2024 1st quarter;224.0;97.0;10.0;86.0;127.0;47.0;23.0;3.0;1.0;3.0;19.0;22.0;2.0;80.0;5.0;0.0;4.0;13.0;62.0;;;7.0;8.0;5.0;39.0;3.0
3416;Total male and female;3 Tertiary;Registered at an employment office;2024 2nd quarter;223.0;98.0;9.0;89.0;124.0;43.0;23.0;2.0;1.0;2.0;21.0;18.0;2.0;81.0;6.0;1.0;5.0;12.0;63.0;;;6.0;9.0;4.0;40.0;4.0
3417;Total male and female;3 Tertiary;Registered at an employment office;2024 3rd quarter;227.0;98.0;10.0;88.0;129.0;43.0;23.0;3.0;0.0;2.0;20.0;18.0;2.0;86.0;7.0;0.0;7.0;13.0;66.0;;;6.0;8.0;5.0;44.0;3.0
3418;Total male and female;3 Tertiary;Registered at an employment office;2024 4th quarter;226.0;100.0;10.0;90.0;126.0;47.0;25.0;2.0;1.0;2.0;23.0;20.0;2.0;80.0;7.0;0.0;7.0;9.0;63.0;;;3.0;10.0;5.0;41.0;4.0
3419;Total male and female;3 Tertiary;Registered at an employment office;2024;225.0;98.0;10.0;88.0;127.0;45.0;23.0;3.0;1.0;2.0;21.0;20.0;2.0;82.0;6.0;1.0;6.0;12.0;64.0;;;5.0;9.0;5.0;41.0;4.0
3420;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3421;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3422;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3423;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3424;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
3425;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3426;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3427;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3428;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3429;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
3430;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3431;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3432;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3433;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3434;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
3435;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3436;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3437;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3438;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3439;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
3440;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3441;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3442;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3443;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3444;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
3445;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2018 1st quarter;120.0;62.0;18.0;44.0;58.0;40.0;19.0;1.0;0.0;1.0;17.0;20.0;1.0;18.0;3.0;0.0;3.0;8.0;7.0;2.0;5.0;0.0;0.0;1.0;2.0;1.0
3446;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2018 2nd quarter;114.0;60.0;13.0;47.0;54.0;36.0;17.0;1.0;0.0;1.0;16.0;18.0;1.0;17.0;2.0;0.0;2.0;8.0;7.0;1.0;6.0;1.0;0.0;2.0;1.0;1.0
3447;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2018 3rd quarter;115.0;58.0;14.0;44.0;57.0;37.0;17.0;0.0;0.0;0.0;17.0;18.0;2.0;20.0;3.0;0.0;3.0;10.0;7.0;2.0;5.0;0.0;0.0;2.0;1.0;1.0
3448;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2018 4th quarter;116.0;64.0;15.0;48.0;52.0;36.0;19.0;2.0;1.0;1.0;17.0;15.0;2.0;16.0;1.0;0.0;1.0;8.0;7.0;1.0;6.0;0.0;0.0;3.0;2.0;1.0
3449;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2018;116.0;61.0;15.0;46.0;55.0;37.0;18.0;1.0;0.0;1.0;17.0;18.0;2.0;18.0;2.0;0.0;2.0;8.0;7.0;2.0;5.0;1.0;0.0;2.0;1.0;1.0
3450;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2019 1st quarter;111.0;57.0;16.0;41.0;54.0;36.0;19.0;1.0;0.0;1.0;17.0;16.0;2.0;17.0;2.0;0.0;2.0;9.0;6.0;1.0;6.0;0.0;0.0;3.0;1.0;1.0
3451;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2019 2nd quarter;109.0;58.0;16.0;42.0;51.0;34.0;16.0;1.0;0.0;0.0;15.0;17.0;1.0;17.0;2.0;0.0;2.0;8.0;7.0;2.0;5.0;0.0;1.0;3.0;0.0;0.0
3452;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2019 3rd quarter;107.0;61.0;14.0;47.0;46.0;31.0;16.0;0.0;0.0;0.0;15.0;14.0;1.0;15.0;2.0;0.0;1.0;7.0;6.0;1.0;5.0;0.0;0.0;2.0;1.0;1.0
3453;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2019 4th quarter;91.0;50.0;11.0;39.0;41.0;28.0;13.0;0.0;0.0;0.0;13.0;14.0;1.0;13.0;1.0;0.0;1.0;5.0;7.0;3.0;4.0;0.0;1.0;2.0;1.0;1.0
3454;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2019;105.0;57.0;14.0;42.0;48.0;32.0;16.0;1.0;0.0;1.0;15.0;15.0;1.0;16.0;2.0;0.0;2.0;7.0;7.0;2.0;5.0;0.0;1.0;2.0;1.0;1.0
3455;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2020 1st quarter;89.0;50.0;10.0;40.0;39.0;27.0;14.0;0.0;0.0;0.0;14.0;12.0;1.0;11.0;1.0;0.0;1.0;6.0;5.0;1.0;4.0;0.0;1.0;1.0;1.0;1.0
3456;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2020 2nd quarter;100.0;45.0;9.0;35.0;56.0;38.0;19.0;1.0;0.0;1.0;18.0;18.0;1.0;17.0;4.0;1.0;3.0;10.0;3.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0
3457;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2020 3rd quarter;104.0;51.0;11.0;41.0;53.0;40.0;16.0;0.0;0.0;0.0;16.0;23.0;1.0;13.0;4.0;0.0;3.0;5.0;4.0;1.0;3.0;1.0;0.0;1.0;0.0;1.0
3458;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2020 4th quarter;100.0;50.0;13.0;37.0;51.0;38.0;17.0;1.0;0.0;1.0;16.0;20.0;2.0;12.0;3.0;0.0;2.0;5.0;5.0;1.0;3.0;0.0;0.0;2.0;0.0;1.0
3459;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2020;98.0;49.0;11.0;38.0;49.0;36.0;16.0;0.0;0.0;0.0;16.0;18.0;1.0;14.0;3.0;0.0;3.0;6.0;4.0;1.0;3.0;0.0;0.0;1.0;1.0;1.0
3460;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2021 1st quarter;94.0;52.0;13.0;39.0;42.0;32.0;13.0;1.0;0.0;1.0;12.0;17.0;1.0;10.0;2.0;0.0;2.0;3.0;5.0;;;0.0;0.0;1.0;1.0;2.0
3461;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2021 2nd quarter;80.0;45.0;8.0;37.0;35.0;24.0;12.0;1.0;0.0;1.0;11.0;11.0;1.0;11.0;0.0;0.0;0.0;8.0;3.0;;;0.0;1.0;1.0;1.0;0.0
3462;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2021 3rd quarter;74.0;38.0;6.0;32.0;37.0;25.0;14.0;2.0;0.0;2.0;12.0;9.0;1.0;12.0;1.0;0.0;1.0;7.0;4.0;;;0.0;0.0;1.0;2.0;1.0
3463;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2021 4th quarter;69.0;34.0;4.0;29.0;36.0;25.0;15.0;2.0;0.0;2.0;13.0;9.0;1.0;11.0;1.0;0.0;1.0;6.0;4.0;;;0.0;0.0;1.0;2.0;1.0
3464;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2021;79.0;42.0;8.0;34.0;37.0;26.0;14.0;2.0;0.0;1.0;12.0;12.0;1.0;11.0;1.0;0.0;1.0;6.0;4.0;;;0.0;0.0;1.0;2.0;1.0
3465;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2022 1st quarter;64.0;35.0;5.0;30.0;29.0;18.0;10.0;0.0;0.0;0.0;10.0;8.0;0.0;11.0;1.0;0.0;1.0;7.0;3.0;;;0.0;0.0;1.0;1.0;1.0
3466;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2022 2nd quarter;57.0;30.0;5.0;25.0;27.0;19.0;12.0;0.0;0.0;0.0;11.0;7.0;0.0;8.0;0.0;0.0;0.0;4.0;4.0;;;1.0;0.0;1.0;1.0;1.0
3467;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2022 3rd quarter;57.0;30.0;4.0;26.0;27.0;19.0;10.0;1.0;0.0;1.0;9.0;8.0;1.0;8.0;0.0;0.0;0.0;4.0;3.0;;;0.0;0.0;1.0;1.0;1.0
3468;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2022 4th quarter;52.0;26.0;3.0;23.0;26.0;20.0;12.0;1.0;0.0;1.0;11.0;8.0;0.0;6.0;1.0;0.0;0.0;3.0;2.0;;;0.0;0.0;0.0;1.0;0.0
3469;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2022;58.0;30.0;4.0;26.0;27.0;19.0;11.0;1.0;0.0;0.0;10.0;8.0;0.0;8.0;1.0;0.0;1.0;5.0;3.0;;;0.0;0.0;1.0;1.0;1.0
3470;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2023 1st quarter;52.0;28.0;2.0;25.0;25.0;17.0;10.0;0.0;0.0;0.0;9.0;7.0;1.0;8.0;2.0;0.0;2.0;4.0;2.0;;;0.0;0.0;1.0;1.0;0.0
3471;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2023 2nd quarter;52.0;27.0;4.0;23.0;25.0;17.0;7.0;0.0;0.0;0.0;7.0;10.0;0.0;8.0;1.0;0.0;1.0;4.0;3.0;;;0.0;0.0;1.0;1.0;1.0
3472;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2023 3rd quarter;54.0;25.0;6.0;19.0;29.0;19.0;10.0;1.0;0.0;1.0;9.0;8.0;0.0;10.0;1.0;0.0;1.0;6.0;3.0;;;0.0;0.0;1.0;1.0;1.0
3473;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2023 4th quarter;58.0;29.0;4.0;25.0;29.0;21.0;12.0;0.0;0.0;0.0;12.0;8.0;1.0;8.0;1.0;0.0;0.0;4.0;3.0;;;0.0;0.0;1.0;1.0;0.0
3474;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2023;54.0;27.0;4.0;23.0;27.0;18.0;10.0;0.0;0.0;0.0;9.0;8.0;1.0;8.0;1.0;0.0;1.0;4.0;3.0;;;0.0;0.0;1.0;1.0;1.0
3475;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2024 1st quarter;63.0;31.0;5.0;26.0;32.0;22.0;11.0;1.0;0.0;1.0;10.0;11.0;0.0;9.0;0.0;0.0;0.0;5.0;4.0;;;0.0;1.0;1.0;1.0;1.0
3476;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2024 2nd quarter;68.0;34.0;4.0;30.0;34.0;26.0;13.0;0.0;0.0;0.0;12.0;13.0;0.0;8.0;1.0;0.0;1.0;4.0;4.0;;;0.0;0.0;1.0;1.0;1.0
3477;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2024 3rd quarter;66.0;30.0;4.0;26.0;36.0;23.0;10.0;1.0;0.0;1.0;10.0;12.0;1.0;13.0;3.0;0.0;3.0;5.0;5.0;;;1.0;0.0;1.0;2.0;1.0
3478;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2024 4th quarter;71.0;32.0;3.0;29.0;39.0;29.0;15.0;1.0;0.0;1.0;14.0;13.0;1.0;10.0;2.0;0.0;2.0;4.0;5.0;;;1.0;1.0;1.0;2.0;0.0
3479;Total male and female;3 Tertiary;Registered at UWV, with WW benefit ;2024;67.0;32.0;4.0;28.0;35.0;25.0;12.0;1.0;0.0;1.0;11.0;12.0;1.0;10.0;1.0;0.0;1.0;4.0;4.0;;;0.0;1.0;1.0;2.0;1.0
3480;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3481;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3482;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3483;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3484;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
3485;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3486;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3487;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3488;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3489;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
3490;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3491;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3492;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3493;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3494;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
3495;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3496;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3497;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
3498;Total male and female;3 Tertiary;Registered at UWV, no WW benefit;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
