ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
5157;Total male and female;Pos. in hh.: other member;2 Liabilities;2012;1.3;42.9;32.0;2.1
5158;Total male and female;Pos. in hh.: other member;2 Liabilities;2013;1.5;44.8;29.7;1.9
5159;Total male and female;Pos. in hh.: other member;2 Liabilities;2014;1.4;45.1;31.4;2.3
5160;Total male and female;Pos. in hh.: other member;2 Liabilities;2015;1.5;65.0;43.3;2.6
5161;Total male and female;Pos. in hh.: other member;2 Liabilities;2016;1.5;54.4;36.0;2.4
5162;Total male and female;Pos. in hh.: other member;2 Liabilities;2017;1.4;58.3;42.4;2.7
5163;Total male and female;Pos. in hh.: other member;2 Liabilities;2018;1.4;66.4;46.9;3.3
5164;Total male and female;Pos. in hh.: other member;2 Liabilities;2019;1.2;53.6;44.9;3.2
5165;Total male and female;Pos. in hh.: other member;2 Liabilities;2020;1.4;64.3;47.3;4.0
5166;Total male and female;Pos. in hh.: other member;2 Liabilities;2021;1.5;98.4;67.2;4.6
5167;Total male and female;Pos. in hh.: other member;2 Liabilities;2022;1.5;80.8;54.8;5.2
5168;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2007;1.6;109.7;66.6;50.0
5169;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2008;1.7;122.6;70.4;53.2
5170;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2009;1.7;124.9;72.8;56.1
5171;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2010;1.8;232.9;131.3;100.0
5172;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2011;0.3;21.1;71.9;50.0
5173;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2012;0.3;22.5;79.7;54.9
5174;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2013;0.3;22.6;76.3;50.2
5175;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2014;0.3;23.2;78.7;55.5
5176;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2015;0.4;31.6;87.2;66.9
5177;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2016;0.3;27.4;82.5;62.5
5178;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2017;0.3;31.3;94.8;55.0
5179;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2018;0.4;35.3;94.6;67.5
5180;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2019;0.3;28.3;93.0;62.8
5181;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2020;0.3;31.8;93.8;69.9
5182;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2021;0.4;39.1;98.7;70.1
5183;Total male and female;Pos. in hh.: other member;2.1 Principal residence loans;2022;0.4;39.2;94.7;70.0
5184;Total male and female;Pos. in hh.: other member;2.3 Other loans;2007;1.4;61.1;44.1;5.5
5185;Total male and female;Pos. in hh.: other member;2.3 Other loans;2008;1.1;51.9;49.2;5.4
5186;Total male and female;Pos. in hh.: other member;2.3 Other loans;2009;1.1;47.3;44.0;5.5
5187;Total male and female;Pos. in hh.: other member;2.3 Other loans;2010;1.0;46.7;47.7;5.1
5188;Total male and female;Pos. in hh.: other member;2.3 Other loans;2011;1.2;22.6;19.0;1.1
5189;Total male and female;Pos. in hh.: other member;2.3 Other loans;2012;1.2;20.4;16.8;1.3
5190;Total male and female;Pos. in hh.: other member;2.3 Other loans;2013;1.3;22.2;16.5;1.1
5191;Total male and female;Pos. in hh.: other member;2.3 Other loans;2014;1.3;21.9;17.1;1.3
5192;Total male and female;Pos. in hh.: other member;2.3 Other loans;2015;1.3;33.5;25.6;1.5
5193;Total male and female;Pos. in hh.: other member;2.3 Other loans;2016;1.3;27.0;20.3;1.3
5194;Total male and female;Pos. in hh.: other member;2.3 Other loans;2017;1.2;27.0;22.6;1.2
5195;Total male and female;Pos. in hh.: other member;2.3 Other loans;2018;1.2;31.1;25.6;1.3
5196;Total male and female;Pos. in hh.: other member;2.3 Other loans;2019;1.0;25.3;24.8;1.3
5197;Total male and female;Pos. in hh.: other member;2.3 Other loans;2020;1.2;32.5;27.7;1.7
5198;Total male and female;Pos. in hh.: other member;2.3 Other loans;2021;1.2;59.3;48.4;1.6
5199;Total male and female;Pos. in hh.: other member;2.3 Other loans;2022;1.2;41.6;33.9;1.6
5200;Total male and female;SEC: Employee;Wealth;2007;8.2;837.5;101.6;39.2
5201;Total male and female;SEC: Employee;Wealth;2008;8.7;947.4;108.5;40.7
5202;Total male and female;SEC: Employee;Wealth;2009;9.0;978.7;109.3;36.0
5203;Total male and female;SEC: Employee;Wealth;2010;8.9;864.5;97.5;40.7
5204;Total male and female;SEC: Employee;Wealth;2011;7.4;611.7;82.9;36.1
5205;Total male and female;SEC: Employee;Wealth;2012;7.4;684.7;93.0;28.8
5206;Total male and female;SEC: Employee;Wealth;2013;7.2;739.8;102.3;22.6
5207;Total male and female;SEC: Employee;Wealth;2014;7.1;552.4;78.1;22.0
5208;Total male and female;SEC: Employee;Wealth;2015;7.0;509.6;72.6;24.4
5209;Total male and female;SEC: Employee;Wealth;2016;7.1;723.8;102.0;27.8
5210;Total male and female;SEC: Employee;Wealth;2017;7.0;601.4;86.4;27.8
5211;Total male and female;SEC: Employee;Wealth;2018;7.2;1009.6;141.0;35.0
5212;Total male and female;SEC: Employee;Wealth;2019;7.2;667.2;92.4;39.2
5213;Total male and female;SEC: Employee;Wealth;2020;7.6;821.9;108.3;49.5
5214;Total male and female;SEC: Employee;Wealth;2021;8.2;959.6;117.2;61.5
5215;Total male and female;SEC: Employee;Wealth;2022;7.7;1352.7;175.4;79.1
5216;Total male and female;SEC: Employee;1 Assets;2007;8.2;1269.5;154.0;103.1
5217;Total male and female;SEC: Employee;1 Assets;2008;8.7;1373.9;157.4;106.0
5218;Total male and female;SEC: Employee;1 Assets;2009;9.0;1436.4;160.4;105.0
5219;Total male and female;SEC: Employee;1 Assets;2010;8.9;1368.2;154.3;110.7
5220;Total male and female;SEC: Employee;1 Assets;2011;7.4;1026.6;139.2;109.5
5221;Total male and female;SEC: Employee;1 Assets;2012;7.4;1207.9;164.1;107.4
5222;Total male and female;SEC: Employee;1 Assets;2013;7.2;1186.9;164.1;97.4
5223;Total male and female;SEC: Employee;1 Assets;2014;7.1;997.9;141.1;98.6
5224;Total male and female;SEC: Employee;1 Assets;2015;7.0;967.3;137.7;101.5
5225;Total male and female;SEC: Employee;1 Assets;2016;7.1;1229.2;173.2;106.7
5226;Total male and female;SEC: Employee;1 Assets;2017;7.0;1074.2;154.2;110.5
5227;Total male and female;SEC: Employee;1 Assets;2018;7.2;1469.3;205.3;115.9
5228;Total male and female;SEC: Employee;1 Assets;2019;7.2;1135.9;157.3;119.2
5229;Total male and female;SEC: Employee;1 Assets;2020;7.6;1353.6;178.4;130.1
5230;Total male and female;SEC: Employee;1 Assets;2021;8.2;1489.1;181.9;137.6
5231;Total male and female;SEC: Employee;1 Assets;2022;7.7;2091.0;271.2;164.5
5232;Total male and female;SEC: Employee;1.1 Financial assets;2007;7.0;221.8;31.6;8.4
5233;Total male and female;SEC: Employee;1.1 Financial assets;2008;7.5;215.7;28.8;8.0
5234;Total male and female;SEC: Employee;1.1 Financial assets;2009;7.7;215.3;28.0;7.8
5235;Total male and female;SEC: Employee;1.1 Financial assets;2010;8.2;259.7;31.9;9.0
5236;Total male and female;SEC: Employee;1.1 Financial assets;2011;7.0;197.4;28.2;7.5
5237;Total male and female;SEC: Employee;1.1 Financial assets;2012;7.0;237.6;33.8;7.7
5238;Total male and female;SEC: Employee;1.1 Financial assets;2013;7.0;257.5;37.1;6.6
5239;Total male and female;SEC: Employee;1.1 Financial assets;2014;6.8;220.1;32.4;7.0
5240;Total male and female;SEC: Employee;1.1 Financial assets;2015;6.8;194.1;28.5;7.5
5241;Total male and female;SEC: Employee;1.1 Financial assets;2016;6.8;393.1;57.4;8.4
5242;Total male and female;SEC: Employee;1.1 Financial assets;2017;6.8;224.1;33.1;8.2
5243;Total male and female;SEC: Employee;1.1 Financial assets;2018;6.9;221.5;32.0;8.5
5244;Total male and female;SEC: Employee;1.1 Financial assets;2019;6.9;205.1;29.6;8.4
5245;Total male and female;SEC: Employee;1.1 Financial assets;2020;7.3;251.0;34.3;9.0
5246;Total male and female;SEC: Employee;1.1 Financial assets;2021;8.0;253.8;31.9;10.6
5247;Total male and female;SEC: Employee;1.1 Financial assets;2022;7.5;354.8;47.4;12.2
5248;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2007;7.0;150.7;21.6;7.1
5249;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2008;7.5;159.7;21.4;7.0
5250;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2009;7.7;165.3;21.6;7.0
5251;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2010;8.1;193.2;23.8;7.9
5252;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2011;7.0;144.5;20.7;6.5
5253;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2012;7.0;161.3;23.0;6.8
5254;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2013;6.9;180.9;26.1;5.8
5255;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2014;6.8;158.8;23.4;6.2
5256;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2015;6.8;150.3;22.1;6.7
5257;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2016;6.8;168.1;24.6;7.4
5258;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2017;6.8;162.4;24.0;7.4
5259;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2018;6.9;164.0;23.8;7.8
5260;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2019;6.9;164.8;23.8;7.7
5261;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2020;7.3;193.0;26.4;8.2
5262;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2021;8.0;208.3;26.2;10.0
5263;Total male and female;SEC: Employee;1.1.1 Bank and savings credits;2022;7.5;229.0;30.6;11.3
5264;Total male and female;SEC: Employee;1.1.2. Securities;2007;1.5;71.1;47.1;8.9
5265;Total male and female;SEC: Employee;1.1.2. Securities;2008;1.5;56.0;37.5;7.5
5266;Total male and female;SEC: Employee;1.1.2. Securities;2009;1.4;50.0;34.6;5.8
5267;Total male and female;SEC: Employee;1.1.2. Securities;2010;1.7;66.5;39.7;7.0
5268;Total male and female;SEC: Employee;1.1.2. Securities;2011;1.4;52.9;39.0;6.9
5269;Total male and female;SEC: Employee;1.1.2. Securities;2012;1.4;76.3;55.5;6.2
5270;Total male and female;SEC: Employee;1.1.2. Securities;2013;1.2;76.6;64.4;6.1
5271;Total male and female;SEC: Employee;1.1.2. Securities;2014;1.1;61.3;55.5;7.6
5272;Total male and female;SEC: Employee;1.1.2. Securities;2015;1.0;43.8;42.4;7.9
5273;Total male and female;SEC: Employee;1.1.2. Securities;2016;1.0;225.0;220.3;9.3
5274;Total male and female;SEC: Employee;1.1.2. Securities;2017;0.9;61.8;69.6;8.7
5275;Total male and female;SEC: Employee;1.1.2. Securities;2018;0.9;57.5;62.4;10.4
5276;Total male and female;SEC: Employee;1.1.2. Securities;2019;0.8;40.2;49.1;8.9
5277;Total male and female;SEC: Employee;1.1.2. Securities;2020;0.8;58.1;70.2;11.2
5278;Total male and female;SEC: Employee;1.1.2. Securities;2021;0.9;45.5;50.9;11.5
5279;Total male and female;SEC: Employee;1.1.2. Securities;2022;0.9;125.8;134.2;11.7
5280;Total male and female;SEC: Employee;1.2. Real estate;2007;4.7;799.6;170.1;134.1
5281;Total male and female;SEC: Employee;1.2. Real estate;2008;5.0;830.6;166.0;136.0
5282;Total male and female;SEC: Employee;1.2. Real estate;2009;5.1;847.4;165.7;137.3
5283;Total male and female;SEC: Employee;1.2. Real estate;2010;5.4;945.7;174.7;139.8
5284;Total male and female;SEC: Employee;1.2. Real estate;2011;4.6;751.0;164.5;135.9
5285;Total male and female;SEC: Employee;1.2. Real estate;2012;4.7;755.3;160.8;130.0
5286;Total male and female;SEC: Employee;1.2. Real estate;2013;4.6;669.0;144.7;116.3
5287;Total male and female;SEC: Employee;1.2. Real estate;2014;4.5;648.3;144.4;118.8
5288;Total male and female;SEC: Employee;1.2. Real estate;2015;4.6;656.8;143.7;117.4
5289;Total male and female;SEC: Employee;1.2. Real estate;2016;4.6;694.7;151.0;122.9
5290;Total male and female;SEC: Employee;1.2. Real estate;2017;4.5;702.9;155.0;127.5
5291;Total male and female;SEC: Employee;1.2. Real estate;2018;4.6;756.4;163.4;136.3
5292;Total male and female;SEC: Employee;1.2. Real estate;2019;4.5;794.2;175.7;146.0
5293;Total male and female;SEC: Employee;1.2. Real estate;2020;4.7;907.5;192.4;160.5
5294;Total male and female;SEC: Employee;1.2. Real estate;2021;5.0;1014.4;202.5;171.0
5295;Total male and female;SEC: Employee;1.2. Real estate;2022;4.7;1144.3;241.1;197.4
5296;Total male and female;SEC: Employee;1.2.1 Principal residence;2007;4.6;737.7;159.2;132.3
5297;Total male and female;SEC: Employee;1.2.1 Principal residence;2008;5.0;784.9;158.4;134.5
5298;Total male and female;SEC: Employee;1.2.1 Principal residence;2009;5.1;802.4;158.4;135.0
5299;Total male and female;SEC: Employee;1.2.1 Principal residence;2010;5.4;894.0;166.8;138.0
5300;Total male and female;SEC: Employee;1.2.1 Principal residence;2011;4.5;721.1;159.1;135.0
5301;Total male and female;SEC: Employee;1.2.1 Principal residence;2012;4.7;707.3;151.7;128.2
5302;Total male and female;SEC: Employee;1.2.1 Principal residence;2013;4.6;635.5;138.8;114.9
5303;Total male and female;SEC: Employee;1.2.1 Principal residence;2014;4.5;616.1;138.4;117.0
5304;Total male and female;SEC: Employee;1.2.1 Principal residence;2015;4.5;627.3;138.5;116.0
5305;Total male and female;SEC: Employee;1.2.1 Principal residence;2016;4.6;658.4;144.2;121.8
5306;Total male and female;SEC: Employee;1.2.1 Principal residence;2017;4.5;671.6;149.3;126.5
5307;Total male and female;SEC: Employee;1.2.1 Principal residence;2018;4.6;728.3;158.7;135.2
5308;Total male and female;SEC: Employee;1.2.1 Principal residence;2019;4.5;761.0;170.0;145.0
5309;Total male and female;SEC: Employee;1.2.1 Principal residence;2020;4.7;866.9;185.6;158.5
5310;Total male and female;SEC: Employee;1.2.1 Principal residence;2021;5.0;974.9;196.8;169.0
5311;Total male and female;SEC: Employee;1.2.1 Principal residence;2022;4.7;1099.2;233.9;196.8
5312;Total male and female;SEC: Employee;1.2.2 Other real estate;2007;0.5;61.8;130.5;51.6
5313;Total male and female;SEC: Employee;1.2.2 Other real estate;2008;0.5;45.7;100.1;59.0
5314;Total male and female;SEC: Employee;1.2.2 Other real estate;2009;0.5;45.0;99.7;50.0
5315;Total male and female;SEC: Employee;1.2.2 Other real estate;2010;0.4;51.8;129.4;56.4
5316;Total male and female;SEC: Employee;1.2.2 Other real estate;2011;0.3;29.9;92.7;50.0
5317;Total male and female;SEC: Employee;1.2.2 Other real estate;2012;0.3;48.1;141.4;45.0
5318;Total male and female;SEC: Employee;1.2.2 Other real estate;2013;0.3;33.5;103.0;50.0
5319;Total male and female;SEC: Employee;1.2.2 Other real estate;2014;0.3;32.1;98.2;47.5
5320;Total male and female;SEC: Employee;1.2.2 Other real estate;2015;0.3;29.5;89.6;45.0
5321;Total male and female;SEC: Employee;1.2.2 Other real estate;2016;0.3;36.3;106.7;47.2
5322;Total male and female;SEC: Employee;1.2.2 Other real estate;2017;0.3;31.3;95.7;46.7
5323;Total male and female;SEC: Employee;1.2.2 Other real estate;2018;0.3;28.1;87.2;43.8
5324;Total male and female;SEC: Employee;1.2.2 Other real estate;2019;0.3;33.3;102.3;45.5
5325;Total male and female;SEC: Employee;1.2.2 Other real estate;2020;0.3;40.6;119.1;61.7
5326;Total male and female;SEC: Employee;1.2.2 Other real estate;2021;0.4;39.5;105.7;59.3
5327;Total male and female;SEC: Employee;1.2.2 Other real estate;2022;0.3;45.1;156.4;40.3
5328;Total male and female;SEC: Employee;1.3 Enterprise capital;2007;0.4;140.5;379.7;16.0
5329;Total male and female;SEC: Employee;1.3 Enterprise capital;2008;0.3;136.2;419.0;16.5
5330;Total male and female;SEC: Employee;1.3 Enterprise capital;2009;0.4;225.1;615.2;14.2
5331;Total male and female;SEC: Employee;1.3 Enterprise capital;2010;0.5;89.4;185.9;8.4
5332;Total male and female;SEC: Employee;1.3 Enterprise capital;2011;0.4;34.3;97.6;9.1
5333;Total male and female;SEC: Employee;1.3 Enterprise capital;2012;0.4;118.3;330.5;9.0
5334;Total male and female;SEC: Employee;1.3 Enterprise capital;2013;0.3;215.1;620.0;10.6
5335;Total male and female;SEC: Employee;1.3 Enterprise capital;2014;0.4;85.4;239.9;8.8
5336;Total male and female;SEC: Employee;1.3 Enterprise capital;2015;0.4;79.8;226.1;7.5
5337;Total male and female;SEC: Employee;1.3 Enterprise capital;2016;0.4;54.2;134.2;10.4
5338;Total male and female;SEC: Employee;1.3 Enterprise capital;2017;0.4;84.4;210.9;8.0
5339;Total male and female;SEC: Employee;1.3 Enterprise capital;2018;0.4;426.4;1096.2;7.4
5340;Total male and female;SEC: Employee;1.3 Enterprise capital;2019;0.4;85.4;231.3;16.2
5341;Total male and female;SEC: Employee;1.3 Enterprise capital;2020;0.3;108.7;333.4;14.3
5342;Total male and female;SEC: Employee;1.3 Enterprise capital;2021;0.4;133.5;360.8;20.5
5343;Total male and female;SEC: Employee;1.3 Enterprise capital;2022;0.4;502.1;1300.7;23.8
5344;Total male and female;SEC: Employee;1.5 Other assets;2007;3.7;107.6;29.3;7.0
5345;Total male and female;SEC: Employee;1.5 Other assets;2008;3.8;191.4;50.4;7.0
5346;Total male and female;SEC: Employee;1.5 Other assets;2009;3.9;148.5;37.8;6.7
5347;Total male and female;SEC: Employee;1.5 Other assets;2010;3.1;73.4;24.0;5.7
5348;Total male and female;SEC: Employee;1.5 Other assets;2011;2.1;43.9;20.4;6.0
5349;Total male and female;SEC: Employee;1.5 Other assets;2012;1.8;96.6;53.9;6.8
5350;Total male and female;SEC: Employee;1.5 Other assets;2013;1.6;45.2;27.7;7.0
5351;Total male and female;SEC: Employee;1.5 Other assets;2014;1.6;44.1;28.0;7.0
5352;Total male and female;SEC: Employee;1.5 Other assets;2015;1.5;36.6;24.5;7.6
5353;Total male and female;SEC: Employee;1.5 Other assets;2016;1.6;87.2;55.6;8.0
5354;Total male and female;SEC: Employee;1.5 Other assets;2017;1.5;62.7;41.4;7.5
5355;Total male and female;SEC: Employee;1.5 Other assets;2018;1.6;65.1;39.8;7.4
5356;Total male and female;SEC: Employee;1.5 Other assets;2019;2.0;51.3;26.2;6.8
5357;Total male and female;SEC: Employee;1.5 Other assets;2020;2.3;86.4;37.1;6.5
5358;Total male and female;SEC: Employee;1.5 Other assets;2021;2.9;87.4;30.6;7.4
5359;Total male and female;SEC: Employee;1.5 Other assets;2022;3.1;89.9;29.5;7.6
5360;Total male and female;SEC: Employee;2 Liabilities;2007;5.0;432.1;86.3;61.5
5361;Total male and female;SEC: Employee;2 Liabilities;2008;5.0;426.6;85.1;66.1
5362;Total male and female;SEC: Employee;2 Liabilities;2009;5.1;457.7;90.3;71.5
5363;Total male and female;SEC: Employee;2 Liabilities;2010;5.3;503.7;95.7;70.0
5364;Total male and female;SEC: Employee;2 Liabilities;2011;5.4;414.9;76.9;58.3
5365;Total male and female;SEC: Employee;2 Liabilities;2012;5.8;523.2;90.8;60.0
5366;Total male and female;SEC: Employee;2 Liabilities;2013;5.7;447.1;78.6;58.1
5367;Total male and female;SEC: Employee;2 Liabilities;2014;5.5;445.5;80.6;60.9
5368;Total male and female;SEC: Employee;2 Liabilities;2015;5.5;457.7;82.7;62.4
5369;Total male and female;SEC: Employee;2 Liabilities;2016;5.6;505.5;90.9;63.0
5370;Total male and female;SEC: Employee;2 Liabilities;2017;5.5;472.7;86.5;66.0
5371;Total male and female;SEC: Employee;2 Liabilities;2018;5.5;459.8;82.9;66.5
5372;Total male and female;SEC: Employee;2 Liabilities;2019;5.4;468.7;86.7;65.5
5373;Total male and female;SEC: Employee;2 Liabilities;2020;5.6;531.7;94.6;66.0
5374;Total male and female;SEC: Employee;2 Liabilities;2021;6.0;529.5;88.7;64.0
5375;Total male and female;SEC: Employee;2 Liabilities;2022;5.8;738.3;128.4;67.6
5376;Total male and female;SEC: Employee;2.1 Principal residence loans;2007;4.2;357.6;84.2;65.9
5377;Total male and female;SEC: Employee;2.1 Principal residence loans;2008;4.6;385.6;84.3;68.7
5378;Total male and female;SEC: Employee;2.1 Principal residence loans;2009;4.7;416.9;89.3;74.4
5379;Total male and female;SEC: Employee;2.1 Principal residence loans;2010;4.8;437.9;91.9;73.3
5380;Total male and female;SEC: Employee;2.1 Principal residence loans;2011;4.0;375.6;93.9;77.5
5381;Total male and female;SEC: Employee;2.1 Principal residence loans;2012;4.2;428.5;102.9;82.0
5382;Total male and female;SEC: Employee;2.1 Principal residence loans;2013;4.1;393.2;96.3;79.8
5383;Total male and female;SEC: Employee;2.1 Principal residence loans;2014;4.0;387.7;97.6;81.3
5384;Total male and female;SEC: Employee;2.1 Principal residence loans;2015;4.1;404.0;99.6;83.5
5385;Total male and female;SEC: Employee;2.1 Principal residence loans;2016;4.1;405.7;99.2;82.5
5386;Total male and female;SEC: Employee;2.1 Principal residence loans;2017;4.0;407.0;100.9;85.0
5387;Total male and female;SEC: Employee;2.1 Principal residence loans;2018;4.1;405.7;98.9;85.2
5388;Total male and female;SEC: Employee;2.1 Principal residence loans;2019;4.0;402.3;100.3;84.6
5389;Total male and female;SEC: Employee;2.1 Principal residence loans;2020;4.1;421.3;101.7;84.9
5390;Total male and female;SEC: Employee;2.1 Principal residence loans;2021;4.4;441.4;100.8;84.5
5391;Total male and female;SEC: Employee;2.1 Principal residence loans;2022;4.2;455.9;109.1;89.1
5392;Total male and female;SEC: Employee;2.3 Other loans;2007;2.4;74.5;30.6;2.6
5393;Total male and female;SEC: Employee;2.3 Other loans;2008;1.7;40.9;24.1;1.6
5394;Total male and female;SEC: Employee;2.3 Other loans;2009;1.8;40.8;23.1;1.6
5395;Total male and female;SEC: Employee;2.3 Other loans;2010;1.8;65.9;37.0;4.2
5396;Total male and female;SEC: Employee;2.3 Other loans;2011;3.0;39.4;13.1;1.1
5397;Total male and female;SEC: Employee;2.3 Other loans;2012;3.6;94.7;26.4;1.9
5398;Total male and female;SEC: Employee;2.3 Other loans;2013;3.5;53.9;15.3;1.6
5399;Total male and female;SEC: Employee;2.3 Other loans;2014;3.4;57.8;17.2;2.2
5400;Total male and female;SEC: Employee;2.3 Other loans;2015;3.3;53.7;16.3;2.0
5401;Total male and female;SEC: Employee;2.3 Other loans;2016;3.3;99.8;30.4;1.9
5402;Total male and female;SEC: Employee;2.3 Other loans;2017;3.1;65.7;21.2;1.9
5403;Total male and female;SEC: Employee;2.3 Other loans;2018;3.1;54.0;17.4;2.0
5404;Total male and female;SEC: Employee;2.3 Other loans;2019;3.0;66.4;22.2;2.5
5405;Total male and female;SEC: Employee;2.3 Other loans;2020;3.1;110.4;35.8;2.5
5406;Total male and female;SEC: Employee;2.3 Other loans;2021;3.2;88.1;27.4;2.6
5407;Total male and female;SEC: Employee;2.3 Other loans;2022;3.2;282.4;88.5;2.1
5408;Total male and female;SEC: Self-employed (total);Wealth;2007;2.3;869.7;386.2;184.6
5409;Total male and female;SEC: Self-employed (total);Wealth;2008;2.3;1008.9;435.6;174.9
5410;Total male and female;SEC: Self-employed (total);Wealth;2009;2.2;911.5;407.1;169.1
5411;Total male and female;SEC: Self-employed (total);Wealth;2010;2.3;907.0;387.6;156.2
5412;Total male and female;SEC: Self-employed (total);Wealth;2011;2.2;1402.7;648.8;176.2
5413;Total male and female;SEC: Self-employed (total);Wealth;2012;2.1;942.9;454.9;150.4
5414;Total male and female;SEC: Self-employed (total);Wealth;2013;2.1;904.6;421.5;145.7
5415;Total male and female;SEC: Self-employed (total);Wealth;2014;2.2;1018.5;466.6;133.8
5416;Total male and female;SEC: Self-employed (total);Wealth;2015;2.2;928.2;427.0;137.9
5417;Total male and female;SEC: Self-employed (total);Wealth;2016;2.3;1588.5;687.4;138.4
5418;Total male and female;SEC: Self-employed (total);Wealth;2017;2.3;1225.9;544.1;145.0
5419;Total male and female;SEC: Self-employed (total);Wealth;2018;2.3;1279.4;550.8;154.5
5420;Total male and female;SEC: Self-employed (total);Wealth;2019;2.3;1158.0;497.8;156.3
5421;Total male and female;SEC: Self-employed (total);Wealth;2020;2.5;1426.2;568.9;177.4
5422;Total male and female;SEC: Self-employed (total);Wealth;2021;2.6;1715.5;668.5;195.3
5423;Total male and female;SEC: Self-employed (total);Wealth;2022;2.6;2661.7;1013.6;206.8
5424;Total male and female;SEC: Self-employed (total);1 Assets;2007;2.3;1171.2;520.1;265.2
5425;Total male and female;SEC: Self-employed (total);1 Assets;2008;2.3;1254.7;541.8;251.0
5426;Total male and female;SEC: Self-employed (total);1 Assets;2009;2.2;1192.3;532.5;241.8
5427;Total male and female;SEC: Self-employed (total);1 Assets;2010;2.3;1408.2;601.8;242.1
5428;Total male and female;SEC: Self-employed (total);1 Assets;2011;2.2;1755.7;812.1;265.5
5429;Total male and female;SEC: Self-employed (total);1 Assets;2012;2.1;1249.8;602.9;237.1
5430;Total male and female;SEC: Self-employed (total);1 Assets;2013;2.1;1221.0;569.0;234.8
5431;Total male and female;SEC: Self-employed (total);1 Assets;2014;2.2;1331.7;610.1;217.0
5432;Total male and female;SEC: Self-employed (total);1 Assets;2015;2.2;1225.0;563.5;223.9
5433;Total male and female;SEC: Self-employed (total);1 Assets;2016;2.3;2124.2;919.2;230.5
5434;Total male and female;SEC: Self-employed (total);1 Assets;2017;2.3;1665.1;739.1;230.6
5435;Total male and female;SEC: Self-employed (total);1 Assets;2018;2.3;1706.0;734.4;246.8
5436;Total male and female;SEC: Self-employed (total);1 Assets;2019;2.3;1524.1;655.2;247.6
5437;Total male and female;SEC: Self-employed (total);1 Assets;2020;2.5;1942.0;774.6;269.3
5438;Total male and female;SEC: Self-employed (total);1 Assets;2021;2.6;2292.1;893.3;293.7
5439;Total male and female;SEC: Self-employed (total);1 Assets;2022;2.6;3320.7;1264.5;306.4
5440;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2007;1.9;218.1;113.7;21.2
5441;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2008;2.0;203.7;101.0;17.1
5442;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2009;2.0;201.9;100.7;17.9
5443;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2010;2.1;231.9;110.0;15.4
5444;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2011;2.0;233.3;118.9;17.5
5445;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2012;1.9;217.1;115.2;16.9
5446;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2013;2.0;291.7;148.7;16.7
5447;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2014;2.0;247.9;124.2;14.8
5448;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2015;2.0;320.6;157.9;15.1
5449;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2016;2.2;526.0;242.0;15.0
5450;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2017;2.1;462.4;215.3;15.6
5451;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2018;2.2;356.9;161.2;16.3
5452;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2019;2.2;180.2;82.9;15.4
5453;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2020;2.3;201.9;86.5;16.0
