ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
4479;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Outside Europe;2023;103.8
4480;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2010 1st quarter;13.3
4481;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2010 2nd quarter;13.9
4482;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2010 3rd quarter;14.3
4483;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2010 4th quarter;13.9
4484;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2010;13.8
4485;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2011 1st quarter;12.9
4486;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2011 2nd quarter;13.4
4487;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2011 3rd quarter;13.6
4488;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2011 4th quarter;13.1
4489;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2011;13.3
4490;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2012 1st quarter;12.1
4491;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2012 2nd quarter;12.3
4492;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2012 3rd quarter;12.5
4493;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2012 4th quarter;12.0
4494;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2012;12.2
4495;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2013 1st quarter;10.8
4496;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2013 2nd quarter;10.8
4497;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2013 3rd quarter;11.0
4498;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2013 4th quarter;10.7
4499;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2013;10.8
4500;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2014 1st quarter;9.8
4501;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2014 2nd quarter;10.1
4502;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2014 3rd quarter;10.7
4503;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2014 4th quarter;10.6
4504;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2014;10.3
4505;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2015 1st quarter;9.7
4506;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2015 2nd quarter;9.9
4507;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2015 3rd quarter;10.6
4508;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2015 4th quarter;10.3
4509;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2015;10.1
4510;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2016 1st quarter;9.7
4511;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2016 2nd quarter;10.2
4512;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2016 3rd quarter;11.1
4513;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2016 4th quarter;11.2
4514;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2016;10.5
4515;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2017 1st quarter;10.6
4516;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2017 2nd quarter;11.1
4517;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2017 3rd quarter;12.0
4518;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2017 4th quarter;12.1
4519;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2017;11.5
4520;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2018 1st quarter;11.4
4521;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2018 2nd quarter;11.9
4522;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2018 3rd quarter;12.6
4523;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2018 4th quarter;12.7
4524;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2018;12.2
4525;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2019 1st quarter;11.9
4526;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2019 2nd quarter;12.4
4527;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2019 3rd quarter;12.9
4528;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2019 4th quarter;12.9
4529;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2019;12.5
4530;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2020 1st quarter;11.6
4531;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2020 2nd quarter;10.4
4532;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2020 3rd quarter;10.7
4533;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2020 4th quarter;10.9
4534;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2020;10.9
4535;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2021 1st quarter;9.9
4536;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2021 2nd quarter;10.4
4537;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2021 3rd quarter;11.3
4538;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2021 4th quarter;11.6
4539;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2021;10.8
4540;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2022 1st quarter;10.5
4541;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2022 2nd quarter;10.2
4542;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2022 3rd quarter;9.9
4543;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2022 4th quarter;9.5
4544;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2022;10.0
4545;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2023 1st quarter;7.7
4546;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2023 2nd quarter;7.3
4547;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2023 3rd quarter;6.6
4548;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2023 4th quarter;6.2
4549;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Dutch Caribbean;2023;6.9
4550;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2010 1st quarter;6.0
4551;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2010 2nd quarter;6.2
4552;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2010 3rd quarter;6.2
4553;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2010 4th quarter;6.2
4554;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2010;6.2
4555;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2011 1st quarter;6.1
4556;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2011 2nd quarter;6.2
4557;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2011 3rd quarter;6.2
4558;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2011 4th quarter;6.1
4559;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2011;6.1
4560;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2012 1st quarter;6.0
4561;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2012 2nd quarter;6.0
4562;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2012 3rd quarter;6.0
4563;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2012 4th quarter;5.9
4564;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2012;6.0
4565;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2013 1st quarter;5.5
4566;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2013 2nd quarter;5.6
4567;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2013 3rd quarter;5.5
4568;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2013 4th quarter;5.5
4569;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2013;5.5
4570;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2014 1st quarter;5.3
4571;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2014 2nd quarter;5.3
4572;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2014 3rd quarter;5.4
4573;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2014 4th quarter;5.3
4574;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2014;5.3
4575;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2015 1st quarter;5.0
4576;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2015 2nd quarter;5.1
4577;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2015 3rd quarter;5.2
4578;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2015 4th quarter;5.1
4579;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2015;5.1
4580;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2016 1st quarter;5.0
4581;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2016 2nd quarter;5.1
4582;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2016 3rd quarter;5.2
4583;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2016 4th quarter;5.3
4584;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2016;5.2
4585;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2017 1st quarter;5.2
4586;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2017 2nd quarter;5.3
4587;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2017 3rd quarter;5.3
4588;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2017 4th quarter;5.4
4589;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2017;5.3
4590;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2018 1st quarter;5.3
4591;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2018 2nd quarter;5.3
4592;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2018 3rd quarter;5.5
4593;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2018 4th quarter;5.6
4594;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2018;5.4
4595;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2019 1st quarter;5.5
4596;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2019 2nd quarter;5.6
4597;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2019 3rd quarter;5.6
4598;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2019 4th quarter;5.6
4599;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2019;5.6
4600;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2020 1st quarter;5.2
4601;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2020 2nd quarter;4.9
4602;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2020 3rd quarter;4.9
4603;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2020 4th quarter;4.9
4604;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2020;5.0
4605;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2021 1st quarter;4.7
4606;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2021 2nd quarter;4.6
4607;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2021 3rd quarter;4.8
4608;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2021 4th quarter;4.8
4609;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2021;4.7
4610;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2022 1st quarter;4.6
4611;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2022 2nd quarter;4.0
4612;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2022 3rd quarter;3.8
4613;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2022 4th quarter;3.8
4614;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2022;4.0
4615;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2023 1st quarter;3.1
4616;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2023 2nd quarter;2.8
4617;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2023 3rd quarter;2.5
4618;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2023 4th quarter;2.4
4619;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Indonesia;2023;2.7
4620;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2010 1st quarter;21.7
4621;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2010 2nd quarter;22.4
4622;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2010 3rd quarter;22.1
4623;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2010 4th quarter;21.9
4624;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2010;22.0
4625;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2011 1st quarter;21.6
4626;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2011 2nd quarter;22.0
4627;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2011 3rd quarter;21.5
4628;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2011 4th quarter;21.2
4629;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2011;21.6
4630;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2012 1st quarter;20.8
4631;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2012 2nd quarter;20.8
4632;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2012 3rd quarter;20.2
4633;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2012 4th quarter;19.9
4634;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2012;20.4
4635;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2013 1st quarter;18.6
4636;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2013 2nd quarter;18.6
4637;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2013 3rd quarter;18.4
4638;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2013 4th quarter;18.4
4639;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2013;18.5
4640;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2014 1st quarter;18.0
4641;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2014 2nd quarter;18.2
4642;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2014 3rd quarter;18.3
4643;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2014 4th quarter;18.2
4644;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2014;18.2
4645;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2015 1st quarter;17.5
4646;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2015 2nd quarter;17.5
4647;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2015 3rd quarter;17.5
4648;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2015 4th quarter;17.4
4649;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2015;17.5
4650;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2016 1st quarter;17.4
4651;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2016 2nd quarter;17.4
4652;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2016 3rd quarter;17.3
4653;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2016 4th quarter;17.6
4654;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2016;17.4
4655;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2017 1st quarter;17.6
4656;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2017 2nd quarter;17.7
4657;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2017 3rd quarter;17.6
4658;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2017 4th quarter;17.8
4659;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2017;17.7
4660;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2018 1st quarter;17.4
4661;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2018 2nd quarter;17.5
4662;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2018 3rd quarter;17.2
4663;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2018 4th quarter;17.4
4664;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2018;17.4
4665;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2019 1st quarter;17.0
4666;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2019 2nd quarter;16.9
4667;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2019 3rd quarter;16.6
4668;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2019 4th quarter;16.8
4669;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2019;16.8
4670;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2020 1st quarter;15.8
4671;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2020 2nd quarter;14.8
4672;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2020 3rd quarter;14.5
4673;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2020 4th quarter;14.5
4674;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2020;14.9
4675;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2021 1st quarter;13.9
4676;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2021 2nd quarter;13.7
4677;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2021 3rd quarter;13.7
4678;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2021 4th quarter;13.9
4679;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2021;13.8
4680;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2022 1st quarter;13.2
4681;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2022 2nd quarter;10.1
4682;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2022 3rd quarter;9.8
4683;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2022 4th quarter;9.9
4684;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2022;10.7
4685;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2023 1st quarter;8.2
4686;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2023 2nd quarter;7.4
4687;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2023 3rd quarter;6.7
4688;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2023 4th quarter;6.3
4689;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Morocco;2023;7.1
4690;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2010 1st quarter;21.9
4691;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2010 2nd quarter;22.7
4692;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2010 3rd quarter;22.7
4693;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2010 4th quarter;22.3
4694;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2010;22.4
4695;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2011 1st quarter;21.0
4696;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2011 2nd quarter;21.8
4697;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2011 3rd quarter;21.3
4698;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2011 4th quarter;21.0
4699;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2011;21.3
4700;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2012 1st quarter;19.7
4701;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2012 2nd quarter;19.7
4702;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2012 3rd quarter;19.6
4703;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2012 4th quarter;19.2
4704;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2012;19.5
4705;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2013 1st quarter;17.3
4706;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2013 2nd quarter;17.0
