ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
6054;Total males and females;Total;Total;Myanmar;Total;One parent born in NL, one born abroad;2022;127.0
6055;Total males and females;Total;Total;Myanmar;Total;One parent born in NL, one born abroad;2023;131.0
6056;Total males and females;Total;Total;Myanmar;Total;One parent born in NL, one born abroad;2024;135.0
6057;Total males and females;Total;Total;Myanmar;Total;Two parents born abroad;2022;1556.0
6058;Total males and females;Total;Total;Myanmar;Total;Two parents born abroad;2023;1627.0
6059;Total males and females;Total;Total;Myanmar;Total;Two parents born abroad;2024;1737.0
6060;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Total;2022;369.0
6061;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Total;2023;384.0
6062;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Total;2024;404.0
6063;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6064;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6065;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6066;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;One parent born in NL, one born abroad;2022;113.0
6067;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;One parent born in NL, one born abroad;2023;117.0
6068;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;One parent born in NL, one born abroad;2024;121.0
6069;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Two parents born abroad;2022;256.0
6070;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Two parents born abroad;2023;267.0
6071;Total males and females;Total;Total;Myanmar;Person born in the Netherlands;Two parents born abroad;2024;283.0
6072;Total males and females;Total;Total;Myanmar;Person born abroad;Total;2022;1318.0
6073;Total males and females;Total;Total;Myanmar;Person born abroad;Total;2023;1379.0
6074;Total males and females;Total;Total;Myanmar;Person born abroad;Total;2024;1473.0
6075;Total males and females;Total;Total;Myanmar;Person born abroad;Two parents born in the Netherlands;2022;4.0
6076;Total males and females;Total;Total;Myanmar;Person born abroad;Two parents born in the Netherlands;2023;5.0
6077;Total males and females;Total;Total;Myanmar;Person born abroad;Two parents born in the Netherlands;2024;5.0
6078;Total males and females;Total;Total;Myanmar;Person born abroad;One parent born in NL, one born abroad;2022;14.0
6079;Total males and females;Total;Total;Myanmar;Person born abroad;One parent born in NL, one born abroad;2023;14.0
6080;Total males and females;Total;Total;Myanmar;Person born abroad;One parent born in NL, one born abroad;2024;14.0
6081;Total males and females;Total;Total;Myanmar;Person born abroad;Two parents born abroad;2022;1300.0
6082;Total males and females;Total;Total;Myanmar;Person born abroad;Two parents born abroad;2023;1360.0
6083;Total males and females;Total;Total;Myanmar;Person born abroad;Two parents born abroad;2024;1454.0
6084;Total males and females;Total;Total;Namibia;Total;Total;2022;661.0
6085;Total males and females;Total;Total;Namibia;Total;Total;2023;724.0
6086;Total males and females;Total;Total;Namibia;Total;Total;2024;784.0
6087;Total males and females;Total;Total;Namibia;Total;Two parents born in the Netherlands;2022;56.0
6088;Total males and females;Total;Total;Namibia;Total;Two parents born in the Netherlands;2023;56.0
6089;Total males and females;Total;Total;Namibia;Total;Two parents born in the Netherlands;2024;57.0
6090;Total males and females;Total;Total;Namibia;Total;One parent born in NL, one born abroad;2022;210.0
6091;Total males and females;Total;Total;Namibia;Total;One parent born in NL, one born abroad;2023;209.0
6092;Total males and females;Total;Total;Namibia;Total;One parent born in NL, one born abroad;2024;218.0
6093;Total males and females;Total;Total;Namibia;Total;Two parents born abroad;2022;395.0
6094;Total males and females;Total;Total;Namibia;Total;Two parents born abroad;2023;459.0
6095;Total males and females;Total;Total;Namibia;Total;Two parents born abroad;2024;509.0
6096;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Total;2022;189.0
6097;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Total;2023;187.0
6098;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Total;2024;195.0
6099;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6100;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6101;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6102;Total males and females;Total;Total;Namibia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;153.0
6103;Total males and females;Total;Total;Namibia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;149.0
6104;Total males and females;Total;Total;Namibia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;154.0
6105;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Two parents born abroad;2022;36.0
6106;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Two parents born abroad;2023;38.0
6107;Total males and females;Total;Total;Namibia;Person born in the Netherlands;Two parents born abroad;2024;41.0
6108;Total males and females;Total;Total;Namibia;Person born abroad;Total;2022;472.0
6109;Total males and females;Total;Total;Namibia;Person born abroad;Total;2023;537.0
6110;Total males and females;Total;Total;Namibia;Person born abroad;Total;2024;589.0
6111;Total males and females;Total;Total;Namibia;Person born abroad;Two parents born in the Netherlands;2022;56.0
6112;Total males and females;Total;Total;Namibia;Person born abroad;Two parents born in the Netherlands;2023;56.0
6113;Total males and females;Total;Total;Namibia;Person born abroad;Two parents born in the Netherlands;2024;57.0
6114;Total males and females;Total;Total;Namibia;Person born abroad;One parent born in NL, one born abroad;2022;57.0
6115;Total males and females;Total;Total;Namibia;Person born abroad;One parent born in NL, one born abroad;2023;60.0
6116;Total males and females;Total;Total;Namibia;Person born abroad;One parent born in NL, one born abroad;2024;64.0
6117;Total males and females;Total;Total;Namibia;Person born abroad;Two parents born abroad;2022;359.0
6118;Total males and females;Total;Total;Namibia;Person born abroad;Two parents born abroad;2023;421.0
6119;Total males and females;Total;Total;Namibia;Person born abroad;Two parents born abroad;2024;468.0
6120;Total males and females;Total;Total;Nauru;Total;Total;2022;4.0
6121;Total males and females;Total;Total;Nauru;Total;Total;2023;3.0
6122;Total males and females;Total;Total;Nauru;Total;Total;2024;3.0
6123;Total males and females;Total;Total;Nauru;Total;Two parents born in the Netherlands;2022;0.0
6124;Total males and females;Total;Total;Nauru;Total;Two parents born in the Netherlands;2023;0.0
6125;Total males and females;Total;Total;Nauru;Total;Two parents born in the Netherlands;2024;0.0
6126;Total males and females;Total;Total;Nauru;Total;One parent born in NL, one born abroad;2022;2.0
6127;Total males and females;Total;Total;Nauru;Total;One parent born in NL, one born abroad;2023;2.0
6128;Total males and females;Total;Total;Nauru;Total;One parent born in NL, one born abroad;2024;2.0
6129;Total males and females;Total;Total;Nauru;Total;Two parents born abroad;2022;2.0
6130;Total males and females;Total;Total;Nauru;Total;Two parents born abroad;2023;1.0
6131;Total males and females;Total;Total;Nauru;Total;Two parents born abroad;2024;1.0
6132;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Total;2022;2.0
6133;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Total;2023;2.0
6134;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Total;2024;2.0
6135;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6136;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6137;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6138;Total males and females;Total;Total;Nauru;Person born in the Netherlands;One parent born in NL, one born abroad;2022;2.0
6139;Total males and females;Total;Total;Nauru;Person born in the Netherlands;One parent born in NL, one born abroad;2023;2.0
6140;Total males and females;Total;Total;Nauru;Person born in the Netherlands;One parent born in NL, one born abroad;2024;2.0
6141;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Two parents born abroad;2022;0.0
6142;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Two parents born abroad;2023;0.0
6143;Total males and females;Total;Total;Nauru;Person born in the Netherlands;Two parents born abroad;2024;0.0
6144;Total males and females;Total;Total;Nauru;Person born abroad;Total;2022;2.0
6145;Total males and females;Total;Total;Nauru;Person born abroad;Total;2023;1.0
6146;Total males and females;Total;Total;Nauru;Person born abroad;Total;2024;1.0
6147;Total males and females;Total;Total;Nauru;Person born abroad;Two parents born in the Netherlands;2022;0.0
6148;Total males and females;Total;Total;Nauru;Person born abroad;Two parents born in the Netherlands;2023;0.0
6149;Total males and females;Total;Total;Nauru;Person born abroad;Two parents born in the Netherlands;2024;0.0
6150;Total males and females;Total;Total;Nauru;Person born abroad;One parent born in NL, one born abroad;2022;0.0
6151;Total males and females;Total;Total;Nauru;Person born abroad;One parent born in NL, one born abroad;2023;0.0
6152;Total males and females;Total;Total;Nauru;Person born abroad;One parent born in NL, one born abroad;2024;0.0
6153;Total males and females;Total;Total;Nauru;Person born abroad;Two parents born abroad;2022;2.0
6154;Total males and females;Total;Total;Nauru;Person born abroad;Two parents born abroad;2023;1.0
6155;Total males and females;Total;Total;Nauru;Person born abroad;Two parents born abroad;2024;1.0
6156;Total males and females;Total;Total;Netherlands Antilles (old);Total;Total;2022;0.0
6157;Total males and females;Total;Total;Netherlands Antilles (old);Total;Total;2023;0.0
6158;Total males and females;Total;Total;Netherlands Antilles (old);Total;Total;2024;0.0
6159;Total males and females;Total;Total;Netherlands Antilles (old);Total;Two parents born in the Netherlands;2022;0.0
6160;Total males and females;Total;Total;Netherlands Antilles (old);Total;Two parents born in the Netherlands;2023;0.0
6161;Total males and females;Total;Total;Netherlands Antilles (old);Total;Two parents born in the Netherlands;2024;0.0
6162;Total males and females;Total;Total;Netherlands Antilles (old);Total;One parent born in NL, one born abroad;2022;0.0
6163;Total males and females;Total;Total;Netherlands Antilles (old);Total;One parent born in NL, one born abroad;2023;0.0
6164;Total males and females;Total;Total;Netherlands Antilles (old);Total;One parent born in NL, one born abroad;2024;0.0
6165;Total males and females;Total;Total;Netherlands Antilles (old);Total;Two parents born abroad;2022;0.0
6166;Total males and females;Total;Total;Netherlands Antilles (old);Total;Two parents born abroad;2023;0.0
6167;Total males and females;Total;Total;Netherlands Antilles (old);Total;Two parents born abroad;2024;0.0
6168;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Total;2022;0.0
6169;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Total;2023;0.0
6170;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Total;2024;0.0
6171;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Two parents born in the Netherlands;2022;
6172;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Two parents born in the Netherlands;2023;
6173;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Two parents born in the Netherlands;2024;
6174;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;One parent born in NL, one born abroad;2022;0.0
6175;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;One parent born in NL, one born abroad;2023;0.0
6176;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;One parent born in NL, one born abroad;2024;0.0
6177;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Two parents born abroad;2022;0.0
6178;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Two parents born abroad;2023;0.0
6179;Total males and females;Total;Total;Netherlands Antilles (old);Person born in the Netherlands;Two parents born abroad;2024;0.0
6180;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Total;2022;0.0
6181;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Total;2023;0.0
6182;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Total;2024;0.0
6183;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Two parents born in the Netherlands;2022;0.0
6184;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Two parents born in the Netherlands;2023;0.0
6185;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Two parents born in the Netherlands;2024;0.0
6186;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;One parent born in NL, one born abroad;2022;0.0
6187;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;One parent born in NL, one born abroad;2023;0.0
6188;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;One parent born in NL, one born abroad;2024;0.0
6189;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Two parents born abroad;2022;0.0
6190;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Two parents born abroad;2023;0.0
6191;Total males and females;Total;Total;Netherlands Antilles (old);Person born abroad;Two parents born abroad;2024;0.0
6192;Total males and females;Total;Total;Nepal;Total;Total;2022;2805.0
6193;Total males and females;Total;Total;Nepal;Total;Total;2023;3020.0
6194;Total males and females;Total;Total;Nepal;Total;Total;2024;3288.0
6195;Total males and females;Total;Total;Nepal;Total;Two parents born in the Netherlands;2022;153.0
6196;Total males and females;Total;Total;Nepal;Total;Two parents born in the Netherlands;2023;151.0
6197;Total males and females;Total;Total;Nepal;Total;Two parents born in the Netherlands;2024;150.0
6198;Total males and females;Total;Total;Nepal;Total;One parent born in NL, one born abroad;2022;452.0
6199;Total males and females;Total;Total;Nepal;Total;One parent born in NL, one born abroad;2023;473.0
6200;Total males and females;Total;Total;Nepal;Total;One parent born in NL, one born abroad;2024;485.0
6201;Total males and females;Total;Total;Nepal;Total;Two parents born abroad;2022;2200.0
6202;Total males and females;Total;Total;Nepal;Total;Two parents born abroad;2023;2396.0
6203;Total males and females;Total;Total;Nepal;Total;Two parents born abroad;2024;2653.0
6204;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Total;2022;753.0
6205;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Total;2023;801.0
6206;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Total;2024;850.0
6207;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6208;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6209;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6210;Total males and females;Total;Total;Nepal;Person born in the Netherlands;One parent born in NL, one born abroad;2022;419.0
6211;Total males and females;Total;Total;Nepal;Person born in the Netherlands;One parent born in NL, one born abroad;2023;439.0
6212;Total males and females;Total;Total;Nepal;Person born in the Netherlands;One parent born in NL, one born abroad;2024;451.0
6213;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Two parents born abroad;2022;334.0
6214;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Two parents born abroad;2023;362.0
6215;Total males and females;Total;Total;Nepal;Person born in the Netherlands;Two parents born abroad;2024;399.0
6216;Total males and females;Total;Total;Nepal;Person born abroad;Total;2022;2052.0
6217;Total males and females;Total;Total;Nepal;Person born abroad;Total;2023;2219.0
6218;Total males and females;Total;Total;Nepal;Person born abroad;Total;2024;2438.0
6219;Total males and females;Total;Total;Nepal;Person born abroad;Two parents born in the Netherlands;2022;153.0
6220;Total males and females;Total;Total;Nepal;Person born abroad;Two parents born in the Netherlands;2023;151.0
6221;Total males and females;Total;Total;Nepal;Person born abroad;Two parents born in the Netherlands;2024;150.0
6222;Total males and females;Total;Total;Nepal;Person born abroad;One parent born in NL, one born abroad;2022;33.0
6223;Total males and females;Total;Total;Nepal;Person born abroad;One parent born in NL, one born abroad;2023;34.0
6224;Total males and females;Total;Total;Nepal;Person born abroad;One parent born in NL, one born abroad;2024;34.0
6225;Total males and females;Total;Total;Nepal;Person born abroad;Two parents born abroad;2022;1866.0
6226;Total males and females;Total;Total;Nepal;Person born abroad;Two parents born abroad;2023;2034.0
6227;Total males and females;Total;Total;Nepal;Person born abroad;Two parents born abroad;2024;2254.0
6228;Total males and females;Total;Total;New Caledonia;Total;Total;2022;47.0
6229;Total males and females;Total;Total;New Caledonia;Total;Total;2023;49.0
6230;Total males and females;Total;Total;New Caledonia;Total;Total;2024;45.0
6231;Total males and females;Total;Total;New Caledonia;Total;Two parents born in the Netherlands;2022;2.0
6232;Total males and females;Total;Total;New Caledonia;Total;Two parents born in the Netherlands;2023;2.0
6233;Total males and females;Total;Total;New Caledonia;Total;Two parents born in the Netherlands;2024;2.0
6234;Total males and females;Total;Total;New Caledonia;Total;One parent born in NL, one born abroad;2022;10.0
6235;Total males and females;Total;Total;New Caledonia;Total;One parent born in NL, one born abroad;2023;10.0
6236;Total males and females;Total;Total;New Caledonia;Total;One parent born in NL, one born abroad;2024;9.0
6237;Total males and females;Total;Total;New Caledonia;Total;Two parents born abroad;2022;35.0
6238;Total males and females;Total;Total;New Caledonia;Total;Two parents born abroad;2023;37.0
6239;Total males and females;Total;Total;New Caledonia;Total;Two parents born abroad;2024;34.0
6240;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Total;2022;13.0
6241;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Total;2023;13.0
6242;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Total;2024;12.0
6243;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6244;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6245;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6246;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;7.0
6247;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;7.0
6248;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;7.0
6249;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Two parents born abroad;2022;6.0
6250;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Two parents born abroad;2023;6.0
6251;Total males and females;Total;Total;New Caledonia;Person born in the Netherlands;Two parents born abroad;2024;5.0
6252;Total males and females;Total;Total;New Caledonia;Person born abroad;Total;2022;34.0
6253;Total males and females;Total;Total;New Caledonia;Person born abroad;Total;2023;36.0
6254;Total males and females;Total;Total;New Caledonia;Person born abroad;Total;2024;33.0
6255;Total males and females;Total;Total;New Caledonia;Person born abroad;Two parents born in the Netherlands;2022;2.0
6256;Total males and females;Total;Total;New Caledonia;Person born abroad;Two parents born in the Netherlands;2023;2.0
6257;Total males and females;Total;Total;New Caledonia;Person born abroad;Two parents born in the Netherlands;2024;2.0
6258;Total males and females;Total;Total;New Caledonia;Person born abroad;One parent born in NL, one born abroad;2022;3.0
6259;Total males and females;Total;Total;New Caledonia;Person born abroad;One parent born in NL, one born abroad;2023;3.0
6260;Total males and females;Total;Total;New Caledonia;Person born abroad;One parent born in NL, one born abroad;2024;2.0
6261;Total males and females;Total;Total;New Caledonia;Person born abroad;Two parents born abroad;2022;29.0
6262;Total males and females;Total;Total;New Caledonia;Person born abroad;Two parents born abroad;2023;31.0
6263;Total males and females;Total;Total;New Caledonia;Person born abroad;Two parents born abroad;2024;29.0
6264;Total males and females;Total;Total;New Zealand;Total;Total;2022;7921.0
6265;Total males and females;Total;Total;New Zealand;Total;Total;2023;8035.0
6266;Total males and females;Total;Total;New Zealand;Total;Total;2024;8338.0
6267;Total males and females;Total;Total;New Zealand;Total;Two parents born in the Netherlands;2022;1834.0
6268;Total males and females;Total;Total;New Zealand;Total;Two parents born in the Netherlands;2023;1822.0
6269;Total males and females;Total;Total;New Zealand;Total;Two parents born in the Netherlands;2024;1822.0
6270;Total males and females;Total;Total;New Zealand;Total;One parent born in NL, one born abroad;2022;4149.0
6271;Total males and females;Total;Total;New Zealand;Total;One parent born in NL, one born abroad;2023;4193.0
6272;Total males and females;Total;Total;New Zealand;Total;One parent born in NL, one born abroad;2024;4275.0
6273;Total males and females;Total;Total;New Zealand;Total;Two parents born abroad;2022;1938.0
6274;Total males and females;Total;Total;New Zealand;Total;Two parents born abroad;2023;2020.0
6275;Total males and females;Total;Total;New Zealand;Total;Two parents born abroad;2024;2241.0
6276;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Total;2022;3691.0
6277;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Total;2023;3718.0
6278;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Total;2024;3789.0
6279;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6280;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6281;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6282;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;One parent born in NL, one born abroad;2022;3467.0
6283;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;One parent born in NL, one born abroad;2023;3489.0
6284;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;One parent born in NL, one born abroad;2024;3550.0
6285;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Two parents born abroad;2022;224.0
6286;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Two parents born abroad;2023;229.0
6287;Total males and females;Total;Total;New Zealand;Person born in the Netherlands;Two parents born abroad;2024;239.0
6288;Total males and females;Total;Total;New Zealand;Person born abroad;Total;2022;4230.0
6289;Total males and females;Total;Total;New Zealand;Person born abroad;Total;2023;4317.0
6290;Total males and females;Total;Total;New Zealand;Person born abroad;Total;2024;4549.0
6291;Total males and females;Total;Total;New Zealand;Person born abroad;Two parents born in the Netherlands;2022;1834.0
6292;Total males and females;Total;Total;New Zealand;Person born abroad;Two parents born in the Netherlands;2023;1822.0
6293;Total males and females;Total;Total;New Zealand;Person born abroad;Two parents born in the Netherlands;2024;1822.0
6294;Total males and females;Total;Total;New Zealand;Person born abroad;One parent born in NL, one born abroad;2022;682.0
6295;Total males and females;Total;Total;New Zealand;Person born abroad;One parent born in NL, one born abroad;2023;704.0
6296;Total males and females;Total;Total;New Zealand;Person born abroad;One parent born in NL, one born abroad;2024;725.0
6297;Total males and females;Total;Total;New Zealand;Person born abroad;Two parents born abroad;2022;1714.0
6298;Total males and females;Total;Total;New Zealand;Person born abroad;Two parents born abroad;2023;1791.0
6299;Total males and females;Total;Total;New Zealand;Person born abroad;Two parents born abroad;2024;2002.0
6300;Total males and females;Total;Total;Nicaragua;Total;Total;2022;1166.0
6301;Total males and females;Total;Total;Nicaragua;Total;Total;2023;1197.0
6302;Total males and females;Total;Total;Nicaragua;Total;Total;2024;1284.0
6303;Total males and females;Total;Total;Nicaragua;Total;Two parents born in the Netherlands;2022;110.0
6304;Total males and females;Total;Total;Nicaragua;Total;Two parents born in the Netherlands;2023;112.0
6305;Total males and females;Total;Total;Nicaragua;Total;Two parents born in the Netherlands;2024;113.0
6306;Total males and females;Total;Total;Nicaragua;Total;One parent born in NL, one born abroad;2022;474.0
6307;Total males and females;Total;Total;Nicaragua;Total;One parent born in NL, one born abroad;2023;479.0
6308;Total males and females;Total;Total;Nicaragua;Total;One parent born in NL, one born abroad;2024;504.0
6309;Total males and females;Total;Total;Nicaragua;Total;Two parents born abroad;2022;582.0
6310;Total males and females;Total;Total;Nicaragua;Total;Two parents born abroad;2023;606.0
6311;Total males and females;Total;Total;Nicaragua;Total;Two parents born abroad;2024;667.0
6312;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Total;2022;414.0
6313;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Total;2023;422.0
6314;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Total;2024;453.0
6315;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6316;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6317;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6318;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;One parent born in NL, one born abroad;2022;369.0
6319;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;One parent born in NL, one born abroad;2023;376.0
6320;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;One parent born in NL, one born abroad;2024;401.0
6321;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Two parents born abroad;2022;45.0
6322;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Two parents born abroad;2023;46.0
6323;Total males and females;Total;Total;Nicaragua;Person born in the Netherlands;Two parents born abroad;2024;52.0
6324;Total males and females;Total;Total;Nicaragua;Person born abroad;Total;2022;752.0
6325;Total males and females;Total;Total;Nicaragua;Person born abroad;Total;2023;775.0
6326;Total males and females;Total;Total;Nicaragua;Person born abroad;Total;2024;831.0
6327;Total males and females;Total;Total;Nicaragua;Person born abroad;Two parents born in the Netherlands;2022;110.0
6328;Total males and females;Total;Total;Nicaragua;Person born abroad;Two parents born in the Netherlands;2023;112.0
6329;Total males and females;Total;Total;Nicaragua;Person born abroad;Two parents born in the Netherlands;2024;113.0
6330;Total males and females;Total;Total;Nicaragua;Person born abroad;One parent born in NL, one born abroad;2022;105.0
6331;Total males and females;Total;Total;Nicaragua;Person born abroad;One parent born in NL, one born abroad;2023;103.0
6332;Total males and females;Total;Total;Nicaragua;Person born abroad;One parent born in NL, one born abroad;2024;103.0
6333;Total males and females;Total;Total;Nicaragua;Person born abroad;Two parents born abroad;2022;537.0
6334;Total males and females;Total;Total;Nicaragua;Person born abroad;Two parents born abroad;2023;560.0
6335;Total males and females;Total;Total;Nicaragua;Person born abroad;Two parents born abroad;2024;615.0
6336;Total males and females;Total;Total;Niger;Total;Total;2022;441.0
6337;Total males and females;Total;Total;Niger;Total;Total;2023;449.0
6338;Total males and females;Total;Total;Niger;Total;Total;2024;450.0
6339;Total males and females;Total;Total;Niger;Total;Two parents born in the Netherlands;2022;18.0
6340;Total males and females;Total;Total;Niger;Total;Two parents born in the Netherlands;2023;19.0
6341;Total males and females;Total;Total;Niger;Total;Two parents born in the Netherlands;2024;19.0
6342;Total males and females;Total;Total;Niger;Total;One parent born in NL, one born abroad;2022;114.0
6343;Total males and females;Total;Total;Niger;Total;One parent born in NL, one born abroad;2023;119.0
6344;Total males and females;Total;Total;Niger;Total;One parent born in NL, one born abroad;2024;118.0
6345;Total males and females;Total;Total;Niger;Total;Two parents born abroad;2022;309.0
6346;Total males and females;Total;Total;Niger;Total;Two parents born abroad;2023;311.0
6347;Total males and females;Total;Total;Niger;Total;Two parents born abroad;2024;313.0
6348;Total males and females;Total;Total;Niger;Person born in the Netherlands;Total;2022;174.0
6349;Total males and females;Total;Total;Niger;Person born in the Netherlands;Total;2023;186.0
6350;Total males and females;Total;Total;Niger;Person born in the Netherlands;Total;2024;184.0
6351;Total males and females;Total;Total;Niger;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6352;Total males and females;Total;Total;Niger;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6353;Total males and females;Total;Total;Niger;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6354;Total males and females;Total;Total;Niger;Person born in the Netherlands;One parent born in NL, one born abroad;2022;107.0
6355;Total males and females;Total;Total;Niger;Person born in the Netherlands;One parent born in NL, one born abroad;2023;112.0
6356;Total males and females;Total;Total;Niger;Person born in the Netherlands;One parent born in NL, one born abroad;2024;111.0
6357;Total males and females;Total;Total;Niger;Person born in the Netherlands;Two parents born abroad;2022;67.0
6358;Total males and females;Total;Total;Niger;Person born in the Netherlands;Two parents born abroad;2023;74.0
6359;Total males and females;Total;Total;Niger;Person born in the Netherlands;Two parents born abroad;2024;73.0
6360;Total males and females;Total;Total;Niger;Person born abroad;Total;2022;267.0
6361;Total males and females;Total;Total;Niger;Person born abroad;Total;2023;263.0
6362;Total males and females;Total;Total;Niger;Person born abroad;Total;2024;266.0
