ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
3564;Taxes and actual social contributions;Local government;2014 2nd quarter;2370
3565;Taxes and actual social contributions;Local government;2014 3rd quarter;2397
3566;Taxes and actual social contributions;Local government;2014 4th quarter;2421
3567;Taxes and actual social contributions;Local government;2014;9505
3568;Taxes and actual social contributions;Local government;2015 1st quarter;2430
3569;Taxes and actual social contributions;Local government;2015 2nd quarter;2470
3570;Taxes and actual social contributions;Local government;2015 3rd quarter;2455
3571;Taxes and actual social contributions;Local government;2015 4th quarter;2460
3572;Taxes and actual social contributions;Local government;2015;9815
3573;Taxes and actual social contributions;Local government;2016 1st quarter;2490
3574;Taxes and actual social contributions;Local government;2016 2nd quarter;2516
3575;Taxes and actual social contributions;Local government;2016 3rd quarter;2503
3576;Taxes and actual social contributions;Local government;2016 4th quarter;2505
3577;Taxes and actual social contributions;Local government;2016;10014
3578;Taxes and actual social contributions;Local government;2017 1st quarter;2555
3579;Taxes and actual social contributions;Local government;2017 2nd quarter;2582
3580;Taxes and actual social contributions;Local government;2017 3rd quarter;2586
3581;Taxes and actual social contributions;Local government;2017 4th quarter;2566
3582;Taxes and actual social contributions;Local government;2017;10289
3583;Taxes and actual social contributions;Local government;2018 1st quarter;2607
3584;Taxes and actual social contributions;Local government;2018 2nd quarter;2635
3585;Taxes and actual social contributions;Local government;2018 3rd quarter;2658
3586;Taxes and actual social contributions;Local government;2018 4th quarter;2670
3587;Taxes and actual social contributions;Local government;2018;10570
3588;Taxes and actual social contributions;Local government;2019 1st quarter;2704
3589;Taxes and actual social contributions;Local government;2019 2nd quarter;2765
3590;Taxes and actual social contributions;Local government;2019 3rd quarter;2795
3591;Taxes and actual social contributions;Local government;2019 4th quarter;2746
3592;Taxes and actual social contributions;Local government;2019;11010
3593;Taxes and actual social contributions;Local government;2020 1st quarter;2792
3594;Taxes and actual social contributions;Local government;2020 2nd quarter;2811
3595;Taxes and actual social contributions;Local government;2020 3rd quarter;2850
3596;Taxes and actual social contributions;Local government;2020 4th quarter;2834
3597;Taxes and actual social contributions;Local government;2020;11287
3598;Taxes and actual social contributions;Local government;2021 1st quarter;2893
3599;Taxes and actual social contributions;Local government;2021 2nd quarter;2936
3600;Taxes and actual social contributions;Local government;2021 3rd quarter;2989
3601;Taxes and actual social contributions;Local government;2021 4th quarter;2934
3602;Taxes and actual social contributions;Local government;2021;11752
3603;Taxes and actual social contributions;Local government;2022 1st quarter;3028
3604;Taxes and actual social contributions;Local government;2022 2nd quarter;3103
3605;Taxes and actual social contributions;Local government;2022 3rd quarter;3116
3606;Taxes and actual social contributions;Local government;2022 4th quarter;3071
3607;Taxes and actual social contributions;Local government;2022;12318
3608;Taxes and actual social contributions;Local government;2023 1st quarter;3194
3609;Taxes and actual social contributions;Local government;2023 2nd quarter;3266
3610;Taxes and actual social contributions;Local government;2023 3rd quarter;3297
3611;Taxes and actual social contributions;Local government;2023 4th quarter;3267
3612;Taxes and actual social contributions;Local government;2023;13024
3613;Taxes and actual social contributions;Local government;2024 1st quarter;3462
3614;Taxes and actual social contributions;Local government;2024 2nd quarter;3521
3615;Taxes and actual social contributions;Local government;2024 3rd quarter;3539
3616;Taxes and actual social contributions;Local government;2024 4th quarter;3528
3617;Taxes and actual social contributions;Local government;2024;14050
3618;Taxes and actual social contributions;Municipalities;1995;2723
3619;Taxes and actual social contributions;Municipalities;1996;2831
3620;Taxes and actual social contributions;Municipalities;1997;2996
3621;Taxes and actual social contributions;Municipalities;1998;3202
3622;Taxes and actual social contributions;Municipalities;1999 1st quarter;839
3623;Taxes and actual social contributions;Municipalities;1999 2nd quarter;807
3624;Taxes and actual social contributions;Municipalities;1999 3rd quarter;843
3625;Taxes and actual social contributions;Municipalities;1999 4th quarter;786
3626;Taxes and actual social contributions;Municipalities;1999;3275
3627;Taxes and actual social contributions;Municipalities;2000 1st quarter;897
3628;Taxes and actual social contributions;Municipalities;2000 2nd quarter;868
3629;Taxes and actual social contributions;Municipalities;2000 3rd quarter;892
3630;Taxes and actual social contributions;Municipalities;2000 4th quarter;882
3631;Taxes and actual social contributions;Municipalities;2000;3539
3632;Taxes and actual social contributions;Municipalities;2001 1st quarter;936
3633;Taxes and actual social contributions;Municipalities;2001 2nd quarter;935
3634;Taxes and actual social contributions;Municipalities;2001 3rd quarter;948
3635;Taxes and actual social contributions;Municipalities;2001 4th quarter;958
3636;Taxes and actual social contributions;Municipalities;2001;3777
3637;Taxes and actual social contributions;Municipalities;2002 1st quarter;993
3638;Taxes and actual social contributions;Municipalities;2002 2nd quarter;992
3639;Taxes and actual social contributions;Municipalities;2002 3rd quarter;1007
3640;Taxes and actual social contributions;Municipalities;2002 4th quarter;1022
3641;Taxes and actual social contributions;Municipalities;2002;4014
3642;Taxes and actual social contributions;Municipalities;2003 1st quarter;1062
3643;Taxes and actual social contributions;Municipalities;2003 2nd quarter;1077
3644;Taxes and actual social contributions;Municipalities;2003 3rd quarter;1071
3645;Taxes and actual social contributions;Municipalities;2003 4th quarter;1134
3646;Taxes and actual social contributions;Municipalities;2003;4344
3647;Taxes and actual social contributions;Municipalities;2004 1st quarter;1124
3648;Taxes and actual social contributions;Municipalities;2004 2nd quarter;1138
3649;Taxes and actual social contributions;Municipalities;2004 3rd quarter;1139
3650;Taxes and actual social contributions;Municipalities;2004 4th quarter;1205
3651;Taxes and actual social contributions;Municipalities;2004;4606
3652;Taxes and actual social contributions;Municipalities;2005 1st quarter;1183
3653;Taxes and actual social contributions;Municipalities;2005 2nd quarter;1202
3654;Taxes and actual social contributions;Municipalities;2005 3rd quarter;1210
3655;Taxes and actual social contributions;Municipalities;2005 4th quarter;1278
3656;Taxes and actual social contributions;Municipalities;2005;4873
3657;Taxes and actual social contributions;Municipalities;2006 1st quarter;959
3658;Taxes and actual social contributions;Municipalities;2006 2nd quarter;1003
3659;Taxes and actual social contributions;Municipalities;2006 3rd quarter;1001
3660;Taxes and actual social contributions;Municipalities;2006 4th quarter;1048
3661;Taxes and actual social contributions;Municipalities;2006;4011
3662;Taxes and actual social contributions;Municipalities;2007 1st quarter;935
3663;Taxes and actual social contributions;Municipalities;2007 2nd quarter;987
3664;Taxes and actual social contributions;Municipalities;2007 3rd quarter;1083
3665;Taxes and actual social contributions;Municipalities;2007 4th quarter;1213
3666;Taxes and actual social contributions;Municipalities;2007;4218
3667;Taxes and actual social contributions;Municipalities;2008 1st quarter;1048
3668;Taxes and actual social contributions;Municipalities;2008 2nd quarter;1110
3669;Taxes and actual social contributions;Municipalities;2008 3rd quarter;1099
3670;Taxes and actual social contributions;Municipalities;2008 4th quarter;1203
3671;Taxes and actual social contributions;Municipalities;2008;4460
3672;Taxes and actual social contributions;Municipalities;2009 1st quarter;1102
3673;Taxes and actual social contributions;Municipalities;2009 2nd quarter;1156
3674;Taxes and actual social contributions;Municipalities;2009 3rd quarter;1144
3675;Taxes and actual social contributions;Municipalities;2009 4th quarter;1258
3676;Taxes and actual social contributions;Municipalities;2009;4660
3677;Taxes and actual social contributions;Municipalities;2010 1st quarter;1120
3678;Taxes and actual social contributions;Municipalities;2010 2nd quarter;1145
3679;Taxes and actual social contributions;Municipalities;2010 3rd quarter;1225
3680;Taxes and actual social contributions;Municipalities;2010 4th quarter;1302
3681;Taxes and actual social contributions;Municipalities;2010;4792
3682;Taxes and actual social contributions;Municipalities;2011 1st quarter;1209
3683;Taxes and actual social contributions;Municipalities;2011 2nd quarter;1257
3684;Taxes and actual social contributions;Municipalities;2011 3rd quarter;1233
3685;Taxes and actual social contributions;Municipalities;2011 4th quarter;1307
3686;Taxes and actual social contributions;Municipalities;2011;5006
3687;Taxes and actual social contributions;Municipalities;2012 1st quarter;1212
3688;Taxes and actual social contributions;Municipalities;2012 2nd quarter;1256
3689;Taxes and actual social contributions;Municipalities;2012 3rd quarter;1328
3690;Taxes and actual social contributions;Municipalities;2012 4th quarter;1446
3691;Taxes and actual social contributions;Municipalities;2012;5242
3692;Taxes and actual social contributions;Municipalities;2013 1st quarter;1256
3693;Taxes and actual social contributions;Municipalities;2013 2nd quarter;1344
3694;Taxes and actual social contributions;Municipalities;2013 3rd quarter;1304
3695;Taxes and actual social contributions;Municipalities;2013 4th quarter;1464
3696;Taxes and actual social contributions;Municipalities;2013;5368
3697;Taxes and actual social contributions;Municipalities;2014 1st quarter;1311
3698;Taxes and actual social contributions;Municipalities;2014 2nd quarter;1364
3699;Taxes and actual social contributions;Municipalities;2014 3rd quarter;1389
3700;Taxes and actual social contributions;Municipalities;2014 4th quarter;1413
3701;Taxes and actual social contributions;Municipalities;2014;5477
3702;Taxes and actual social contributions;Municipalities;2015 1st quarter;1398
3703;Taxes and actual social contributions;Municipalities;2015 2nd quarter;1437
3704;Taxes and actual social contributions;Municipalities;2015 3rd quarter;1422
3705;Taxes and actual social contributions;Municipalities;2015 4th quarter;1436
3706;Taxes and actual social contributions;Municipalities;2015;5693
3707;Taxes and actual social contributions;Municipalities;2016 1st quarter;1446
3708;Taxes and actual social contributions;Municipalities;2016 2nd quarter;1472
3709;Taxes and actual social contributions;Municipalities;2016 3rd quarter;1462
3710;Taxes and actual social contributions;Municipalities;2016 4th quarter;1453
3711;Taxes and actual social contributions;Municipalities;2016;5833
3712;Taxes and actual social contributions;Municipalities;2017 1st quarter;1484
3713;Taxes and actual social contributions;Municipalities;2017 2nd quarter;1513
3714;Taxes and actual social contributions;Municipalities;2017 3rd quarter;1517
3715;Taxes and actual social contributions;Municipalities;2017 4th quarter;1486
3716;Taxes and actual social contributions;Municipalities;2017;6000
3717;Taxes and actual social contributions;Municipalities;2018 1st quarter;1515
3718;Taxes and actual social contributions;Municipalities;2018 2nd quarter;1545
3719;Taxes and actual social contributions;Municipalities;2018 3rd quarter;1564
3720;Taxes and actual social contributions;Municipalities;2018 4th quarter;1532
3721;Taxes and actual social contributions;Municipalities;2018;6156
3722;Taxes and actual social contributions;Municipalities;2019 1st quarter;1568
3723;Taxes and actual social contributions;Municipalities;2019 2nd quarter;1629
3724;Taxes and actual social contributions;Municipalities;2019 3rd quarter;1657
3725;Taxes and actual social contributions;Municipalities;2019 4th quarter;1609
3726;Taxes and actual social contributions;Municipalities;2019;6463
3727;Taxes and actual social contributions;Municipalities;2020 1st quarter;1628
3728;Taxes and actual social contributions;Municipalities;2020 2nd quarter;1645
3729;Taxes and actual social contributions;Municipalities;2020 3rd quarter;1681
3730;Taxes and actual social contributions;Municipalities;2020 4th quarter;1663
3731;Taxes and actual social contributions;Municipalities;2020;6617
3732;Taxes and actual social contributions;Municipalities;2021 1st quarter;1691
3733;Taxes and actual social contributions;Municipalities;2021 2nd quarter;1732
3734;Taxes and actual social contributions;Municipalities;2021 3rd quarter;1785
3735;Taxes and actual social contributions;Municipalities;2021 4th quarter;1730
3736;Taxes and actual social contributions;Municipalities;2021;6938
3737;Taxes and actual social contributions;Municipalities;2022 1st quarter;1787
3738;Taxes and actual social contributions;Municipalities;2022 2nd quarter;1863
3739;Taxes and actual social contributions;Municipalities;2022 3rd quarter;1876
3740;Taxes and actual social contributions;Municipalities;2022 4th quarter;1822
3741;Taxes and actual social contributions;Municipalities;2022;7348
3742;Taxes and actual social contributions;Municipalities;2023 1st quarter;1892
3743;Taxes and actual social contributions;Municipalities;2023 2nd quarter;1962
3744;Taxes and actual social contributions;Municipalities;2023 3rd quarter;1993
3745;Taxes and actual social contributions;Municipalities;2023 4th quarter;1906
3746;Taxes and actual social contributions;Municipalities;2023;7753
3747;Taxes and actual social contributions;Municipalities;2024 1st quarter;2025
3748;Taxes and actual social contributions;Municipalities;2024 2nd quarter;2083
3749;Taxes and actual social contributions;Municipalities;2024 3rd quarter;2103
3750;Taxes and actual social contributions;Municipalities;2024 4th quarter;2094
3751;Taxes and actual social contributions;Municipalities;2024;8305
3752;Taxes and actual social contributions;Local intergovernmental organisations;1995;0
3753;Taxes and actual social contributions;Local intergovernmental organisations;1996;0
3754;Taxes and actual social contributions;Local intergovernmental organisations;1997;0
3755;Taxes and actual social contributions;Local intergovernmental organisations;1998;0
3756;Taxes and actual social contributions;Local intergovernmental organisations;1999 1st quarter;0
3757;Taxes and actual social contributions;Local intergovernmental organisations;1999 2nd quarter;0
3758;Taxes and actual social contributions;Local intergovernmental organisations;1999 3rd quarter;0
3759;Taxes and actual social contributions;Local intergovernmental organisations;1999 4th quarter;0
3760;Taxes and actual social contributions;Local intergovernmental organisations;1999;0
3761;Taxes and actual social contributions;Local intergovernmental organisations;2000 1st quarter;0
3762;Taxes and actual social contributions;Local intergovernmental organisations;2000 2nd quarter;0
3763;Taxes and actual social contributions;Local intergovernmental organisations;2000 3rd quarter;0
3764;Taxes and actual social contributions;Local intergovernmental organisations;2000 4th quarter;0
3765;Taxes and actual social contributions;Local intergovernmental organisations;2000;0
3766;Taxes and actual social contributions;Local intergovernmental organisations;2001 1st quarter;0
3767;Taxes and actual social contributions;Local intergovernmental organisations;2001 2nd quarter;0
3768;Taxes and actual social contributions;Local intergovernmental organisations;2001 3rd quarter;0
3769;Taxes and actual social contributions;Local intergovernmental organisations;2001 4th quarter;0
3770;Taxes and actual social contributions;Local intergovernmental organisations;2001;0
3771;Taxes and actual social contributions;Local intergovernmental organisations;2002 1st quarter;0
3772;Taxes and actual social contributions;Local intergovernmental organisations;2002 2nd quarter;0
3773;Taxes and actual social contributions;Local intergovernmental organisations;2002 3rd quarter;0
3774;Taxes and actual social contributions;Local intergovernmental organisations;2002 4th quarter;0
3775;Taxes and actual social contributions;Local intergovernmental organisations;2002;0
3776;Taxes and actual social contributions;Local intergovernmental organisations;2003 1st quarter;0
3777;Taxes and actual social contributions;Local intergovernmental organisations;2003 2nd quarter;0
3778;Taxes and actual social contributions;Local intergovernmental organisations;2003 3rd quarter;0
3779;Taxes and actual social contributions;Local intergovernmental organisations;2003 4th quarter;0
3780;Taxes and actual social contributions;Local intergovernmental organisations;2003;0
3781;Taxes and actual social contributions;Local intergovernmental organisations;2004 1st quarter;0
3782;Taxes and actual social contributions;Local intergovernmental organisations;2004 2nd quarter;0
3783;Taxes and actual social contributions;Local intergovernmental organisations;2004 3rd quarter;0
3784;Taxes and actual social contributions;Local intergovernmental organisations;2004 4th quarter;0
3785;Taxes and actual social contributions;Local intergovernmental organisations;2004;0
3786;Taxes and actual social contributions;Local intergovernmental organisations;2005 1st quarter;0
3787;Taxes and actual social contributions;Local intergovernmental organisations;2005 2nd quarter;0
3788;Taxes and actual social contributions;Local intergovernmental organisations;2005 3rd quarter;0
3789;Taxes and actual social contributions;Local intergovernmental organisations;2005 4th quarter;0
3790;Taxes and actual social contributions;Local intergovernmental organisations;2005;0
3791;Taxes and actual social contributions;Local intergovernmental organisations;2006 1st quarter;0
3792;Taxes and actual social contributions;Local intergovernmental organisations;2006 2nd quarter;0
3793;Taxes and actual social contributions;Local intergovernmental organisations;2006 3rd quarter;0
3794;Taxes and actual social contributions;Local intergovernmental organisations;2006 4th quarter;0
3795;Taxes and actual social contributions;Local intergovernmental organisations;2006;0
3796;Taxes and actual social contributions;Local intergovernmental organisations;2007 1st quarter;0
3797;Taxes and actual social contributions;Local intergovernmental organisations;2007 2nd quarter;0
3798;Taxes and actual social contributions;Local intergovernmental organisations;2007 3rd quarter;0
3799;Taxes and actual social contributions;Local intergovernmental organisations;2007 4th quarter;0
3800;Taxes and actual social contributions;Local intergovernmental organisations;2007;0
3801;Taxes and actual social contributions;Local intergovernmental organisations;2008 1st quarter;0
3802;Taxes and actual social contributions;Local intergovernmental organisations;2008 2nd quarter;0
3803;Taxes and actual social contributions;Local intergovernmental organisations;2008 3rd quarter;0
3804;Taxes and actual social contributions;Local intergovernmental organisations;2008 4th quarter;0
3805;Taxes and actual social contributions;Local intergovernmental organisations;2008;0
3806;Taxes and actual social contributions;Local intergovernmental organisations;2009 1st quarter;0
3807;Taxes and actual social contributions;Local intergovernmental organisations;2009 2nd quarter;0
3808;Taxes and actual social contributions;Local intergovernmental organisations;2009 3rd quarter;0
3809;Taxes and actual social contributions;Local intergovernmental organisations;2009 4th quarter;0
3810;Taxes and actual social contributions;Local intergovernmental organisations;2009;0
3811;Taxes and actual social contributions;Local intergovernmental organisations;2010 1st quarter;0
3812;Taxes and actual social contributions;Local intergovernmental organisations;2010 2nd quarter;0
3813;Taxes and actual social contributions;Local intergovernmental organisations;2010 3rd quarter;0
3814;Taxes and actual social contributions;Local intergovernmental organisations;2010 4th quarter;0
3815;Taxes and actual social contributions;Local intergovernmental organisations;2010;0
3816;Taxes and actual social contributions;Local intergovernmental organisations;2011 1st quarter;0
3817;Taxes and actual social contributions;Local intergovernmental organisations;2011 2nd quarter;0
3818;Taxes and actual social contributions;Local intergovernmental organisations;2011 3rd quarter;0
3819;Taxes and actual social contributions;Local intergovernmental organisations;2011 4th quarter;0
3820;Taxes and actual social contributions;Local intergovernmental organisations;2011;0
3821;Taxes and actual social contributions;Local intergovernmental organisations;2012 1st quarter;0
3822;Taxes and actual social contributions;Local intergovernmental organisations;2012 2nd quarter;0
3823;Taxes and actual social contributions;Local intergovernmental organisations;2012 3rd quarter;0
3824;Taxes and actual social contributions;Local intergovernmental organisations;2012 4th quarter;0
3825;Taxes and actual social contributions;Local intergovernmental organisations;2012;0
3826;Taxes and actual social contributions;Local intergovernmental organisations;2013 1st quarter;0
3827;Taxes and actual social contributions;Local intergovernmental organisations;2013 2nd quarter;0
3828;Taxes and actual social contributions;Local intergovernmental organisations;2013 3rd quarter;0
3829;Taxes and actual social contributions;Local intergovernmental organisations;2013 4th quarter;0
3830;Taxes and actual social contributions;Local intergovernmental organisations;2013;0
3831;Taxes and actual social contributions;Local intergovernmental organisations;2014 1st quarter;0
3832;Taxes and actual social contributions;Local intergovernmental organisations;2014 2nd quarter;0
3833;Taxes and actual social contributions;Local intergovernmental organisations;2014 3rd quarter;0
3834;Taxes and actual social contributions;Local intergovernmental organisations;2014 4th quarter;0
3835;Taxes and actual social contributions;Local intergovernmental organisations;2014;0
3836;Taxes and actual social contributions;Local intergovernmental organisations;2015 1st quarter;0
3837;Taxes and actual social contributions;Local intergovernmental organisations;2015 2nd quarter;0
3838;Taxes and actual social contributions;Local intergovernmental organisations;2015 3rd quarter;0
3839;Taxes and actual social contributions;Local intergovernmental organisations;2015 4th quarter;0
3840;Taxes and actual social contributions;Local intergovernmental organisations;2015;0
3841;Taxes and actual social contributions;Local intergovernmental organisations;2016 1st quarter;0
3842;Taxes and actual social contributions;Local intergovernmental organisations;2016 2nd quarter;0
3843;Taxes and actual social contributions;Local intergovernmental organisations;2016 3rd quarter;0
3844;Taxes and actual social contributions;Local intergovernmental organisations;2016 4th quarter;0
3845;Taxes and actual social contributions;Local intergovernmental organisations;2016;0
3846;Taxes and actual social contributions;Local intergovernmental organisations;2017 1st quarter;0
3847;Taxes and actual social contributions;Local intergovernmental organisations;2017 2nd quarter;0
3848;Taxes and actual social contributions;Local intergovernmental organisations;2017 3rd quarter;0
3849;Taxes and actual social contributions;Local intergovernmental organisations;2017 4th quarter;0
3850;Taxes and actual social contributions;Local intergovernmental organisations;2017;0
3851;Taxes and actual social contributions;Local intergovernmental organisations;2018 1st quarter;0
3852;Taxes and actual social contributions;Local intergovernmental organisations;2018 2nd quarter;0
3853;Taxes and actual social contributions;Local intergovernmental organisations;2018 3rd quarter;0
3854;Taxes and actual social contributions;Local intergovernmental organisations;2018 4th quarter;0
3855;Taxes and actual social contributions;Local intergovernmental organisations;2018;0
3856;Taxes and actual social contributions;Local intergovernmental organisations;2019 1st quarter;0
3857;Taxes and actual social contributions;Local intergovernmental organisations;2019 2nd quarter;0
3858;Taxes and actual social contributions;Local intergovernmental organisations;2019 3rd quarter;0
3859;Taxes and actual social contributions;Local intergovernmental organisations;2019 4th quarter;0
3860;Taxes and actual social contributions;Local intergovernmental organisations;2019;0
3861;Taxes and actual social contributions;Local intergovernmental organisations;2020 1st quarter;0
3862;Taxes and actual social contributions;Local intergovernmental organisations;2020 2nd quarter;0
3863;Taxes and actual social contributions;Local intergovernmental organisations;2020 3rd quarter;0
3864;Taxes and actual social contributions;Local intergovernmental organisations;2020 4th quarter;0
3865;Taxes and actual social contributions;Local intergovernmental organisations;2020;0
3866;Taxes and actual social contributions;Local intergovernmental organisations;2021 1st quarter;0
3867;Taxes and actual social contributions;Local intergovernmental organisations;2021 2nd quarter;0
3868;Taxes and actual social contributions;Local intergovernmental organisations;2021 3rd quarter;0
3869;Taxes and actual social contributions;Local intergovernmental organisations;2021 4th quarter;0
3870;Taxes and actual social contributions;Local intergovernmental organisations;2021;0
3871;Taxes and actual social contributions;Local intergovernmental organisations;2022 1st quarter;0
3872;Taxes and actual social contributions;Local intergovernmental organisations;2022 2nd quarter;0
3873;Taxes and actual social contributions;Local intergovernmental organisations;2022 3rd quarter;0
3874;Taxes and actual social contributions;Local intergovernmental organisations;2022 4th quarter;0
3875;Taxes and actual social contributions;Local intergovernmental organisations;2022;0
3876;Taxes and actual social contributions;Local intergovernmental organisations;2023 1st quarter;0
3877;Taxes and actual social contributions;Local intergovernmental organisations;2023 2nd quarter;0
3878;Taxes and actual social contributions;Local intergovernmental organisations;2023 3rd quarter;0
3879;Taxes and actual social contributions;Local intergovernmental organisations;2023 4th quarter;0
3880;Taxes and actual social contributions;Local intergovernmental organisations;2023;0
3881;Taxes and actual social contributions;Local intergovernmental organisations;2024 1st quarter;0
3882;Taxes and actual social contributions;Local intergovernmental organisations;2024 2nd quarter;0
3883;Taxes and actual social contributions;Local intergovernmental organisations;2024 3rd quarter;0
3884;Taxes and actual social contributions;Local intergovernmental organisations;2024 4th quarter;0
3885;Taxes and actual social contributions;Local intergovernmental organisations;2024;0
3886;Taxes and actual social contributions;Provinces;1995;237
3887;Taxes and actual social contributions;Provinces;1996;576
3888;Taxes and actual social contributions;Provinces;1997;551
3889;Taxes and actual social contributions;Provinces;1998;666
3890;Taxes and actual social contributions;Provinces;1999 1st quarter;172
3891;Taxes and actual social contributions;Provinces;1999 2nd quarter;172
3892;Taxes and actual social contributions;Provinces;1999 3rd quarter;172
3893;Taxes and actual social contributions;Provinces;1999 4th quarter;171
3894;Taxes and actual social contributions;Provinces;1999;687
3895;Taxes and actual social contributions;Provinces;2000 1st quarter;188
3896;Taxes and actual social contributions;Provinces;2000 2nd quarter;187
3897;Taxes and actual social contributions;Provinces;2000 3rd quarter;187
3898;Taxes and actual social contributions;Provinces;2000 4th quarter;186
3899;Taxes and actual social contributions;Provinces;2000;748
3900;Taxes and actual social contributions;Provinces;2001 1st quarter;200
3901;Taxes and actual social contributions;Provinces;2001 2nd quarter;200
3902;Taxes and actual social contributions;Provinces;2001 3rd quarter;200
3903;Taxes and actual social contributions;Provinces;2001 4th quarter;200
3904;Taxes and actual social contributions;Provinces;2001;800
3905;Taxes and actual social contributions;Provinces;2002 1st quarter;220
3906;Taxes and actual social contributions;Provinces;2002 2nd quarter;220
3907;Taxes and actual social contributions;Provinces;2002 3rd quarter;218
3908;Taxes and actual social contributions;Provinces;2002 4th quarter;219
3909;Taxes and actual social contributions;Provinces;2002;877
3910;Taxes and actual social contributions;Provinces;2003 1st quarter;229
3911;Taxes and actual social contributions;Provinces;2003 2nd quarter;229
3912;Taxes and actual social contributions;Provinces;2003 3rd quarter;228
3913;Taxes and actual social contributions;Provinces;2003 4th quarter;228
3914;Taxes and actual social contributions;Provinces;2003;914
3915;Taxes and actual social contributions;Provinces;2004 1st quarter;252
3916;Taxes and actual social contributions;Provinces;2004 2nd quarter;251
3917;Taxes and actual social contributions;Provinces;2004 3rd quarter;252
3918;Taxes and actual social contributions;Provinces;2004 4th quarter;253
3919;Taxes and actual social contributions;Provinces;2004;1008
3920;Taxes and actual social contributions;Provinces;2005 1st quarter;273
3921;Taxes and actual social contributions;Provinces;2005 2nd quarter;273
3922;Taxes and actual social contributions;Provinces;2005 3rd quarter;273
3923;Taxes and actual social contributions;Provinces;2005 4th quarter;272
3924;Taxes and actual social contributions;Provinces;2005;1091
3925;Taxes and actual social contributions;Provinces;2006 1st quarter;287
3926;Taxes and actual social contributions;Provinces;2006 2nd quarter;287
3927;Taxes and actual social contributions;Provinces;2006 3rd quarter;288
3928;Taxes and actual social contributions;Provinces;2006 4th quarter;288
3929;Taxes and actual social contributions;Provinces;2006;1150
3930;Taxes and actual social contributions;Provinces;2007 1st quarter;309
3931;Taxes and actual social contributions;Provinces;2007 2nd quarter;311
3932;Taxes and actual social contributions;Provinces;2007 3rd quarter;310
3933;Taxes and actual social contributions;Provinces;2007 4th quarter;309
3934;Taxes and actual social contributions;Provinces;2007;1239
3935;Taxes and actual social contributions;Provinces;2008 1st quarter;353
3936;Taxes and actual social contributions;Provinces;2008 2nd quarter;342
3937;Taxes and actual social contributions;Provinces;2008 3rd quarter;341
3938;Taxes and actual social contributions;Provinces;2008 4th quarter;317
3939;Taxes and actual social contributions;Provinces;2008;1353
3940;Taxes and actual social contributions;Provinces;2009 1st quarter;350
3941;Taxes and actual social contributions;Provinces;2009 2nd quarter;347
3942;Taxes and actual social contributions;Provinces;2009 3rd quarter;345
3943;Taxes and actual social contributions;Provinces;2009 4th quarter;376
3944;Taxes and actual social contributions;Provinces;2009;1418
3945;Taxes and actual social contributions;Provinces;2010 1st quarter;360
3946;Taxes and actual social contributions;Provinces;2010 2nd quarter;360
3947;Taxes and actual social contributions;Provinces;2010 3rd quarter;361
3948;Taxes and actual social contributions;Provinces;2010 4th quarter;366
3949;Taxes and actual social contributions;Provinces;2010;1447
3950;Taxes and actual social contributions;Provinces;2011 1st quarter;369
3951;Taxes and actual social contributions;Provinces;2011 2nd quarter;368
3952;Taxes and actual social contributions;Provinces;2011 3rd quarter;370
3953;Taxes and actual social contributions;Provinces;2011 4th quarter;346
3954;Taxes and actual social contributions;Provinces;2011;1453
3955;Taxes and actual social contributions;Provinces;2012 1st quarter;368
3956;Taxes and actual social contributions;Provinces;2012 2nd quarter;368
3957;Taxes and actual social contributions;Provinces;2012 3rd quarter;368
3958;Taxes and actual social contributions;Provinces;2012 4th quarter;348
3959;Taxes and actual social contributions;Provinces;2012;1452
3960;Taxes and actual social contributions;Provinces;2013 1st quarter;366
3961;Taxes and actual social contributions;Provinces;2013 2nd quarter;364
3962;Taxes and actual social contributions;Provinces;2013 3rd quarter;365
3963;Taxes and actual social contributions;Provinces;2013 4th quarter;329
3964;Taxes and actual social contributions;Provinces;2013;1424
3965;Taxes and actual social contributions;Provinces;2014 1st quarter;384
3966;Taxes and actual social contributions;Provinces;2014 2nd quarter;384
3967;Taxes and actual social contributions;Provinces;2014 3rd quarter;385
3968;Taxes and actual social contributions;Provinces;2014 4th quarter;401
3969;Taxes and actual social contributions;Provinces;2014;1554
3970;Taxes and actual social contributions;Provinces;2015 1st quarter;394
3971;Taxes and actual social contributions;Provinces;2015 2nd quarter;395
3972;Taxes and actual social contributions;Provinces;2015 3rd quarter;396
3973;Taxes and actual social contributions;Provinces;2015 4th quarter;395
3974;Taxes and actual social contributions;Provinces;2015;1580
3975;Taxes and actual social contributions;Provinces;2016 1st quarter;392
3976;Taxes and actual social contributions;Provinces;2016 2nd quarter;392
3977;Taxes and actual social contributions;Provinces;2016 3rd quarter;391
3978;Taxes and actual social contributions;Provinces;2016 4th quarter;397
3979;Taxes and actual social contributions;Provinces;2016;1572
3980;Taxes and actual social contributions;Provinces;2017 1st quarter;405
3981;Taxes and actual social contributions;Provinces;2017 2nd quarter;404
3982;Taxes and actual social contributions;Provinces;2017 3rd quarter;403
3983;Taxes and actual social contributions;Provinces;2017 4th quarter;410
3984;Taxes and actual social contributions;Provinces;2017;1622
3985;Taxes and actual social contributions;Provinces;2018 1st quarter;408
3986;Taxes and actual social contributions;Provinces;2018 2nd quarter;406
3987;Taxes and actual social contributions;Provinces;2018 3rd quarter;409
