ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
4659;"D41 Interest; definition National Acco..";Central government;2018;6581
4660;"D41 Interest; definition National Acco..";Central government;2019 1st quarter;1548
4661;"D41 Interest; definition National Acco..";Central government;2019 2nd quarter;1512
4662;"D41 Interest; definition National Acco..";Central government;2019 3rd quarter;1514
4663;"D41 Interest; definition National Acco..";Central government;2019 4th quarter;1513
4664;"D41 Interest; definition National Acco..";Central government;2019;6087
4665;"D41 Interest; definition National Acco..";Central government;2020 1st quarter;1276
4666;"D41 Interest; definition National Acco..";Central government;2020 2nd quarter;1333
4667;"D41 Interest; definition National Acco..";Central government;2020 3rd quarter;1409
4668;"D41 Interest; definition National Acco..";Central government;2020 4th quarter;1407
4669;"D41 Interest; definition National Acco..";Central government;2020;5425
4670;"D41 Interest; definition National Acco..";Central government;2021 1st quarter;1203
4671;"D41 Interest; definition National Acco..";Central government;2021 2nd quarter;1248
4672;"D41 Interest; definition National Acco..";Central government;2021 3rd quarter;1142
4673;"D41 Interest; definition National Acco..";Central government;2021 4th quarter;1200
4674;"D41 Interest; definition National Acco..";Central government;2021;4793
4675;"D41 Interest; definition National Acco..";Central government;2022 1st quarter;1162
4676;"D41 Interest; definition National Acco..";Central government;2022 2nd quarter;1220
4677;"D41 Interest; definition National Acco..";Central government;2022 3rd quarter;1277
4678;"D41 Interest; definition National Acco..";Central government;2022 4th quarter;1589
4679;"D41 Interest; definition National Acco..";Central government;2022;5248
4680;"D41 Interest; definition National Acco..";Central government;2023 1st quarter;1745
4681;"D41 Interest; definition National Acco..";Central government;2023 2nd quarter;1960
4682;"D41 Interest; definition National Acco..";Central government;2023 3rd quarter;2243
4683;"D41 Interest; definition National Acco..";Central government;2023 4th quarter;2305
4684;"D41 Interest; definition National Acco..";Central government;2023;8253
4685;"D41 Interest; definition National Acco..";Central government;2024 1st quarter;2241
4686;"D41 Interest; definition National Acco..";Central government;2024 2nd quarter;2379
4687;"D41 Interest; definition National Acco..";Central government;2024 3rd quarter;2495
4688;"D41 Interest; definition National Acco..";Central government;2024 4th quarter;2350
4689;"D41 Interest; definition National Acco..";Central government;2024;9465
4690;"D41 Interest; definition National Acco..";The State;1995;14228
4691;"D41 Interest; definition National Acco..";The State;1996;14067
4692;"D41 Interest; definition National Acco..";The State;1997;14026
4693;"D41 Interest; definition National Acco..";The State;1998;14183
4694;"D41 Interest; definition National Acco..";The State;1999 1st quarter;3432
4695;"D41 Interest; definition National Acco..";The State;1999 2nd quarter;3409
4696;"D41 Interest; definition National Acco..";The State;1999 3rd quarter;3390
4697;"D41 Interest; definition National Acco..";The State;1999 4th quarter;3392
4698;"D41 Interest; definition National Acco..";The State;1999;13623
4699;"D41 Interest; definition National Acco..";The State;2000 1st quarter;3226
4700;"D41 Interest; definition National Acco..";The State;2000 2nd quarter;3174
4701;"D41 Interest; definition National Acco..";The State;2000 3rd quarter;3151
4702;"D41 Interest; definition National Acco..";The State;2000 4th quarter;3177
4703;"D41 Interest; definition National Acco..";The State;2000;12728
4704;"D41 Interest; definition National Acco..";The State;2001 1st quarter;3060
4705;"D41 Interest; definition National Acco..";The State;2001 2nd quarter;3045
4706;"D41 Interest; definition National Acco..";The State;2001 3rd quarter;3061
4707;"D41 Interest; definition National Acco..";The State;2001 4th quarter;3068
4708;"D41 Interest; definition National Acco..";The State;2001;12234
4709;"D41 Interest; definition National Acco..";The State;2002 1st quarter;2718
4710;"D41 Interest; definition National Acco..";The State;2002 2nd quarter;2972
4711;"D41 Interest; definition National Acco..";The State;2002 3rd quarter;2951
4712;"D41 Interest; definition National Acco..";The State;2002 4th quarter;2797
4713;"D41 Interest; definition National Acco..";The State;2002;11438
4714;"D41 Interest; definition National Acco..";The State;2003 1st quarter;2799
4715;"D41 Interest; definition National Acco..";The State;2003 2nd quarter;2745
4716;"D41 Interest; definition National Acco..";The State;2003 3rd quarter;2736
4717;"D41 Interest; definition National Acco..";The State;2003 4th quarter;2689
4718;"D41 Interest; definition National Acco..";The State;2003;10969
4719;"D41 Interest; definition National Acco..";The State;2004 1st quarter;2733
4720;"D41 Interest; definition National Acco..";The State;2004 2nd quarter;2731
4721;"D41 Interest; definition National Acco..";The State;2004 3rd quarter;2612
4722;"D41 Interest; definition National Acco..";The State;2004 4th quarter;2785
4723;"D41 Interest; definition National Acco..";The State;2004;10861
4724;"D41 Interest; definition National Acco..";The State;2005 1st quarter;2681
4725;"D41 Interest; definition National Acco..";The State;2005 2nd quarter;2652
4726;"D41 Interest; definition National Acco..";The State;2005 3rd quarter;2698
4727;"D41 Interest; definition National Acco..";The State;2005 4th quarter;2603
4728;"D41 Interest; definition National Acco..";The State;2005;10634
4729;"D41 Interest; definition National Acco..";The State;2006 1st quarter;2676
4730;"D41 Interest; definition National Acco..";The State;2006 2nd quarter;2584
4731;"D41 Interest; definition National Acco..";The State;2006 3rd quarter;2670
4732;"D41 Interest; definition National Acco..";The State;2006 4th quarter;2525
4733;"D41 Interest; definition National Acco..";The State;2006;10455
4734;"D41 Interest; definition National Acco..";The State;2007 1st quarter;2701
4735;"D41 Interest; definition National Acco..";The State;2007 2nd quarter;2662
4736;"D41 Interest; definition National Acco..";The State;2007 3rd quarter;2823
4737;"D41 Interest; definition National Acco..";The State;2007 4th quarter;2976
4738;"D41 Interest; definition National Acco..";The State;2007;11162
4739;"D41 Interest; definition National Acco..";The State;2008 1st quarter;2894
4740;"D41 Interest; definition National Acco..";The State;2008 2nd quarter;2810
4741;"D41 Interest; definition National Acco..";The State;2008 3rd quarter;2850
4742;"D41 Interest; definition National Acco..";The State;2008 4th quarter;3348
4743;"D41 Interest; definition National Acco..";The State;2008;11902
4744;"D41 Interest; definition National Acco..";The State;2009 1st quarter;3017
4745;"D41 Interest; definition National Acco..";The State;2009 2nd quarter;2922
4746;"D41 Interest; definition National Acco..";The State;2009 3rd quarter;2936
4747;"D41 Interest; definition National Acco..";The State;2009 4th quarter;2599
4748;"D41 Interest; definition National Acco..";The State;2009;11474
4749;"D41 Interest; definition National Acco..";The State;2010 1st quarter;2737
4750;"D41 Interest; definition National Acco..";The State;2010 2nd quarter;2688
4751;"D41 Interest; definition National Acco..";The State;2010 3rd quarter;2615
4752;"D41 Interest; definition National Acco..";The State;2010 4th quarter;2520
4753;"D41 Interest; definition National Acco..";The State;2010;10560
4754;"D41 Interest; definition National Acco..";The State;2011 1st quarter;2473
4755;"D41 Interest; definition National Acco..";The State;2011 2nd quarter;2644
4756;"D41 Interest; definition National Acco..";The State;2011 3rd quarter;2696
4757;"D41 Interest; definition National Acco..";The State;2011 4th quarter;2975
4758;"D41 Interest; definition National Acco..";The State;2011;10788
4759;"D41 Interest; definition National Acco..";The State;2012 1st quarter;2445
4760;"D41 Interest; definition National Acco..";The State;2012 2nd quarter;2514
4761;"D41 Interest; definition National Acco..";The State;2012 3rd quarter;2474
4762;"D41 Interest; definition National Acco..";The State;2012 4th quarter;2686
4763;"D41 Interest; definition National Acco..";The State;2012;10119
4764;"D41 Interest; definition National Acco..";The State;2013 1st quarter;2546
4765;"D41 Interest; definition National Acco..";The State;2013 2nd quarter;2460
4766;"D41 Interest; definition National Acco..";The State;2013 3rd quarter;2444
4767;"D41 Interest; definition National Acco..";The State;2013 4th quarter;2515
4768;"D41 Interest; definition National Acco..";The State;2013;9965
4769;"D41 Interest; definition National Acco..";The State;2014 1st quarter;2375
4770;"D41 Interest; definition National Acco..";The State;2014 2nd quarter;2404
4771;"D41 Interest; definition National Acco..";The State;2014 3rd quarter;2287
4772;"D41 Interest; definition National Acco..";The State;2014 4th quarter;2362
4773;"D41 Interest; definition National Acco..";The State;2014;9428
4774;"D41 Interest; definition National Acco..";The State;2015 1st quarter;2222
4775;"D41 Interest; definition National Acco..";The State;2015 2nd quarter;2194
4776;"D41 Interest; definition National Acco..";The State;2015 3rd quarter;2149
4777;"D41 Interest; definition National Acco..";The State;2015 4th quarter;2147
4778;"D41 Interest; definition National Acco..";The State;2015;8712
4779;"D41 Interest; definition National Acco..";The State;2016 1st quarter;2126
4780;"D41 Interest; definition National Acco..";The State;2016 2nd quarter;2029
4781;"D41 Interest; definition National Acco..";The State;2016 3rd quarter;1892
4782;"D41 Interest; definition National Acco..";The State;2016 4th quarter;1926
4783;"D41 Interest; definition National Acco..";The State;2016;7973
4784;"D41 Interest; definition National Acco..";The State;2017 1st quarter;1828
4785;"D41 Interest; definition National Acco..";The State;2017 2nd quarter;1841
4786;"D41 Interest; definition National Acco..";The State;2017 3rd quarter;1768
4787;"D41 Interest; definition National Acco..";The State;2017 4th quarter;1697
4788;"D41 Interest; definition National Acco..";The State;2017;7134
4789;"D41 Interest; definition National Acco..";The State;2018 1st quarter;1634
4790;"D41 Interest; definition National Acco..";The State;2018 2nd quarter;1715
4791;"D41 Interest; definition National Acco..";The State;2018 3rd quarter;1615
4792;"D41 Interest; definition National Acco..";The State;2018 4th quarter;1617
4793;"D41 Interest; definition National Acco..";The State;2018;6581
4794;"D41 Interest; definition National Acco..";The State;2019 1st quarter;1535
4795;"D41 Interest; definition National Acco..";The State;2019 2nd quarter;1515
4796;"D41 Interest; definition National Acco..";The State;2019 3rd quarter;1518
4797;"D41 Interest; definition National Acco..";The State;2019 4th quarter;1517
4798;"D41 Interest; definition National Acco..";The State;2019;6085
4799;"D41 Interest; definition National Acco..";The State;2020 1st quarter;1268
4800;"D41 Interest; definition National Acco..";The State;2020 2nd quarter;1339
4801;"D41 Interest; definition National Acco..";The State;2020 3rd quarter;1415
4802;"D41 Interest; definition National Acco..";The State;2020 4th quarter;1417
4803;"D41 Interest; definition National Acco..";The State;2020;5439
4804;"D41 Interest; definition National Acco..";The State;2021 1st quarter;1209
4805;"D41 Interest; definition National Acco..";The State;2021 2nd quarter;1255
4806;"D41 Interest; definition National Acco..";The State;2021 3rd quarter;1148
4807;"D41 Interest; definition National Acco..";The State;2021 4th quarter;1206
4808;"D41 Interest; definition National Acco..";The State;2021;4818
4809;"D41 Interest; definition National Acco..";The State;2022 1st quarter;1162
4810;"D41 Interest; definition National Acco..";The State;2022 2nd quarter;1213
4811;"D41 Interest; definition National Acco..";The State;2022 3rd quarter;1265
4812;"D41 Interest; definition National Acco..";The State;2022 4th quarter;1574
4813;"D41 Interest; definition National Acco..";The State;2022;5214
4814;"D41 Interest; definition National Acco..";The State;2023 1st quarter;1746
4815;"D41 Interest; definition National Acco..";The State;2023 2nd quarter;1985
4816;"D41 Interest; definition National Acco..";The State;2023 3rd quarter;2265
4817;"D41 Interest; definition National Acco..";The State;2023 4th quarter;2345
4818;"D41 Interest; definition National Acco..";The State;2023;8341
4819;"D41 Interest; definition National Acco..";The State;2024 1st quarter;2342
4820;"D41 Interest; definition National Acco..";The State;2024 2nd quarter;2493
4821;"D41 Interest; definition National Acco..";The State;2024 3rd quarter;2604
4822;"D41 Interest; definition National Acco..";The State;2024 4th quarter;2446
4823;"D41 Interest; definition National Acco..";The State;2024;9885
4824;"D41 Interest; definition National Acco..";Other central government;1995;165
4825;"D41 Interest; definition National Acco..";Other central government;1996;152
4826;"D41 Interest; definition National Acco..";Other central government;1997;156
4827;"D41 Interest; definition National Acco..";Other central government;1998;169
4828;"D41 Interest; definition National Acco..";Other central government;1999 1st quarter;78
4829;"D41 Interest; definition National Acco..";Other central government;1999 2nd quarter;81
4830;"D41 Interest; definition National Acco..";Other central government;1999 3rd quarter;78
4831;"D41 Interest; definition National Acco..";Other central government;1999 4th quarter;82
4832;"D41 Interest; definition National Acco..";Other central government;1999;319
4833;"D41 Interest; definition National Acco..";Other central government;2000 1st quarter;45
4834;"D41 Interest; definition National Acco..";Other central government;2000 2nd quarter;45
4835;"D41 Interest; definition National Acco..";Other central government;2000 3rd quarter;46
4836;"D41 Interest; definition National Acco..";Other central government;2000 4th quarter;47
4837;"D41 Interest; definition National Acco..";Other central government;2000;183
4838;"D41 Interest; definition National Acco..";Other central government;2001 1st quarter;50
4839;"D41 Interest; definition National Acco..";Other central government;2001 2nd quarter;48
4840;"D41 Interest; definition National Acco..";Other central government;2001 3rd quarter;48
4841;"D41 Interest; definition National Acco..";Other central government;2001 4th quarter;45
4842;"D41 Interest; definition National Acco..";Other central government;2001;191
4843;"D41 Interest; definition National Acco..";Other central government;2002 1st quarter;49
4844;"D41 Interest; definition National Acco..";Other central government;2002 2nd quarter;50
4845;"D41 Interest; definition National Acco..";Other central government;2002 3rd quarter;47
4846;"D41 Interest; definition National Acco..";Other central government;2002 4th quarter;45
4847;"D41 Interest; definition National Acco..";Other central government;2002;191
4848;"D41 Interest; definition National Acco..";Other central government;2003 1st quarter;43
4849;"D41 Interest; definition National Acco..";Other central government;2003 2nd quarter;42
4850;"D41 Interest; definition National Acco..";Other central government;2003 3rd quarter;44
4851;"D41 Interest; definition National Acco..";Other central government;2003 4th quarter;44
4852;"D41 Interest; definition National Acco..";Other central government;2003;173
4853;"D41 Interest; definition National Acco..";Other central government;2004 1st quarter;44
4854;"D41 Interest; definition National Acco..";Other central government;2004 2nd quarter;44
4855;"D41 Interest; definition National Acco..";Other central government;2004 3rd quarter;44
4856;"D41 Interest; definition National Acco..";Other central government;2004 4th quarter;43
4857;"D41 Interest; definition National Acco..";Other central government;2004;175
4858;"D41 Interest; definition National Acco..";Other central government;2005 1st quarter;48
4859;"D41 Interest; definition National Acco..";Other central government;2005 2nd quarter;44
4860;"D41 Interest; definition National Acco..";Other central government;2005 3rd quarter;45
4861;"D41 Interest; definition National Acco..";Other central government;2005 4th quarter;46
4862;"D41 Interest; definition National Acco..";Other central government;2005;183
4863;"D41 Interest; definition National Acco..";Other central government;2006 1st quarter;50
4864;"D41 Interest; definition National Acco..";Other central government;2006 2nd quarter;51
4865;"D41 Interest; definition National Acco..";Other central government;2006 3rd quarter;51
4866;"D41 Interest; definition National Acco..";Other central government;2006 4th quarter;53
4867;"D41 Interest; definition National Acco..";Other central government;2006;205
4868;"D41 Interest; definition National Acco..";Other central government;2007 1st quarter;52
4869;"D41 Interest; definition National Acco..";Other central government;2007 2nd quarter;53
4870;"D41 Interest; definition National Acco..";Other central government;2007 3rd quarter;52
4871;"D41 Interest; definition National Acco..";Other central government;2007 4th quarter;54
4872;"D41 Interest; definition National Acco..";Other central government;2007;211
4873;"D41 Interest; definition National Acco..";Other central government;2008 1st quarter;52
4874;"D41 Interest; definition National Acco..";Other central government;2008 2nd quarter;68
4875;"D41 Interest; definition National Acco..";Other central government;2008 3rd quarter;59
4876;"D41 Interest; definition National Acco..";Other central government;2008 4th quarter;52
4877;"D41 Interest; definition National Acco..";Other central government;2008;231
4878;"D41 Interest; definition National Acco..";Other central government;2009 1st quarter;47
4879;"D41 Interest; definition National Acco..";Other central government;2009 2nd quarter;45
4880;"D41 Interest; definition National Acco..";Other central government;2009 3rd quarter;39
4881;"D41 Interest; definition National Acco..";Other central government;2009 4th quarter;43
4882;"D41 Interest; definition National Acco..";Other central government;2009;174
4883;"D41 Interest; definition National Acco..";Other central government;2010 1st quarter;57
4884;"D41 Interest; definition National Acco..";Other central government;2010 2nd quarter;61
4885;"D41 Interest; definition National Acco..";Other central government;2010 3rd quarter;53
4886;"D41 Interest; definition National Acco..";Other central government;2010 4th quarter;64
4887;"D41 Interest; definition National Acco..";Other central government;2010;235
4888;"D41 Interest; definition National Acco..";Other central government;2011 1st quarter;33
4889;"D41 Interest; definition National Acco..";Other central government;2011 2nd quarter;33
4890;"D41 Interest; definition National Acco..";Other central government;2011 3rd quarter;35
4891;"D41 Interest; definition National Acco..";Other central government;2011 4th quarter;41
4892;"D41 Interest; definition National Acco..";Other central government;2011;142
4893;"D41 Interest; definition National Acco..";Other central government;2012 1st quarter;24
4894;"D41 Interest; definition National Acco..";Other central government;2012 2nd quarter;29
4895;"D41 Interest; definition National Acco..";Other central government;2012 3rd quarter;32
4896;"D41 Interest; definition National Acco..";Other central government;2012 4th quarter;33
4897;"D41 Interest; definition National Acco..";Other central government;2012;118
4898;"D41 Interest; definition National Acco..";Other central government;2013 1st quarter;26
4899;"D41 Interest; definition National Acco..";Other central government;2013 2nd quarter;24
4900;"D41 Interest; definition National Acco..";Other central government;2013 3rd quarter;25
4901;"D41 Interest; definition National Acco..";Other central government;2013 4th quarter;27
4902;"D41 Interest; definition National Acco..";Other central government;2013;102
4903;"D41 Interest; definition National Acco..";Other central government;2014 1st quarter;31
4904;"D41 Interest; definition National Acco..";Other central government;2014 2nd quarter;32
4905;"D41 Interest; definition National Acco..";Other central government;2014 3rd quarter;30
4906;"D41 Interest; definition National Acco..";Other central government;2014 4th quarter;28
4907;"D41 Interest; definition National Acco..";Other central government;2014;121
4908;"D41 Interest; definition National Acco..";Other central government;2015 1st quarter;22
4909;"D41 Interest; definition National Acco..";Other central government;2015 2nd quarter;23
4910;"D41 Interest; definition National Acco..";Other central government;2015 3rd quarter;23
4911;"D41 Interest; definition National Acco..";Other central government;2015 4th quarter;19
4912;"D41 Interest; definition National Acco..";Other central government;2015;87
4913;"D41 Interest; definition National Acco..";Other central government;2016 1st quarter;19
4914;"D41 Interest; definition National Acco..";Other central government;2016 2nd quarter;18
4915;"D41 Interest; definition National Acco..";Other central government;2016 3rd quarter;15
4916;"D41 Interest; definition National Acco..";Other central government;2016 4th quarter;12
4917;"D41 Interest; definition National Acco..";Other central government;2016;64
4918;"D41 Interest; definition National Acco..";Other central government;2017 1st quarter;20
4919;"D41 Interest; definition National Acco..";Other central government;2017 2nd quarter;16
4920;"D41 Interest; definition National Acco..";Other central government;2017 3rd quarter;16
4921;"D41 Interest; definition National Acco..";Other central government;2017 4th quarter;11
4922;"D41 Interest; definition National Acco..";Other central government;2017;63
4923;"D41 Interest; definition National Acco..";Other central government;2018 1st quarter;14
4924;"D41 Interest; definition National Acco..";Other central government;2018 2nd quarter;10
4925;"D41 Interest; definition National Acco..";Other central government;2018 3rd quarter;10
4926;"D41 Interest; definition National Acco..";Other central government;2018 4th quarter;16
4927;"D41 Interest; definition National Acco..";Other central government;2018;50
4928;"D41 Interest; definition National Acco..";Other central government;2019 1st quarter;24
4929;"D41 Interest; definition National Acco..";Other central government;2019 2nd quarter;8
4930;"D41 Interest; definition National Acco..";Other central government;2019 3rd quarter;7
4931;"D41 Interest; definition National Acco..";Other central government;2019 4th quarter;7
4932;"D41 Interest; definition National Acco..";Other central government;2019;46
4933;"D41 Interest; definition National Acco..";Other central government;2020 1st quarter;19
4934;"D41 Interest; definition National Acco..";Other central government;2020 2nd quarter;4
4935;"D41 Interest; definition National Acco..";Other central government;2020 3rd quarter;4
4936;"D41 Interest; definition National Acco..";Other central government;2020 4th quarter;-1
4937;"D41 Interest; definition National Acco..";Other central government;2020;26
4938;"D41 Interest; definition National Acco..";Other central government;2021 1st quarter;8
4939;"D41 Interest; definition National Acco..";Other central government;2021 2nd quarter;-3
4940;"D41 Interest; definition National Acco..";Other central government;2021 3rd quarter;6
4941;"D41 Interest; definition National Acco..";Other central government;2021 4th quarter;25
4942;"D41 Interest; definition National Acco..";Other central government;2021;36
4943;"D41 Interest; definition National Acco..";Other central government;2022 1st quarter;12
4944;"D41 Interest; definition National Acco..";Other central government;2022 2nd quarter;19
4945;"D41 Interest; definition National Acco..";Other central government;2022 3rd quarter;28
4946;"D41 Interest; definition National Acco..";Other central government;2022 4th quarter;34
4947;"D41 Interest; definition National Acco..";Other central government;2022;93
4948;"D41 Interest; definition National Acco..";Other central government;2023 1st quarter;87
4949;"D41 Interest; definition National Acco..";Other central government;2023 2nd quarter;88
4950;"D41 Interest; definition National Acco..";Other central government;2023 3rd quarter;110
4951;"D41 Interest; definition National Acco..";Other central government;2023 4th quarter;106
4952;"D41 Interest; definition National Acco..";Other central government;2023;391
4953;"D41 Interest; definition National Acco..";Other central government;2024 1st quarter;41
4954;"D41 Interest; definition National Acco..";Other central government;2024 2nd quarter;52
4955;"D41 Interest; definition National Acco..";Other central government;2024 3rd quarter;47
4956;"D41 Interest; definition National Acco..";Other central government;2024 4th quarter;57
4957;"D41 Interest; definition National Acco..";Other central government;2024;197
4958;"D41 Interest; definition National Acco..";Local government;1995;4569
4959;"D41 Interest; definition National Acco..";Local government;1996;3154
4960;"D41 Interest; definition National Acco..";Local government;1997;3091
4961;"D41 Interest; definition National Acco..";Local government;1998;2977
4962;"D41 Interest; definition National Acco..";Local government;1999 1st quarter;783
4963;"D41 Interest; definition National Acco..";Local government;1999 2nd quarter;779
4964;"D41 Interest; definition National Acco..";Local government;1999 3rd quarter;783
4965;"D41 Interest; definition National Acco..";Local government;1999 4th quarter;785
4966;"D41 Interest; definition National Acco..";Local government;1999;3130
4967;"D41 Interest; definition National Acco..";Local government;2000 1st quarter;766
4968;"D41 Interest; definition National Acco..";Local government;2000 2nd quarter;760
4969;"D41 Interest; definition National Acco..";Local government;2000 3rd quarter;757
4970;"D41 Interest; definition National Acco..";Local government;2000 4th quarter;761
4971;"D41 Interest; definition National Acco..";Local government;2000;3044
4972;"D41 Interest; definition National Acco..";Local government;2001 1st quarter;689
4973;"D41 Interest; definition National Acco..";Local government;2001 2nd quarter;689
4974;"D41 Interest; definition National Acco..";Local government;2001 3rd quarter;672
4975;"D41 Interest; definition National Acco..";Local government;2001 4th quarter;621
4976;"D41 Interest; definition National Acco..";Local government;2001;2671
4977;"D41 Interest; definition National Acco..";Local government;2002 1st quarter;603
4978;"D41 Interest; definition National Acco..";Local government;2002 2nd quarter;612
4979;"D41 Interest; definition National Acco..";Local government;2002 3rd quarter;579
4980;"D41 Interest; definition National Acco..";Local government;2002 4th quarter;560
4981;"D41 Interest; definition National Acco..";Local government;2002;2354
4982;"D41 Interest; definition National Acco..";Local government;2003 1st quarter;499
4983;"D41 Interest; definition National Acco..";Local government;2003 2nd quarter;491
4984;"D41 Interest; definition National Acco..";Local government;2003 3rd quarter;500
4985;"D41 Interest; definition National Acco..";Local government;2003 4th quarter;519
4986;"D41 Interest; definition National Acco..";Local government;2003;2009
4987;"D41 Interest; definition National Acco..";Local government;2004 1st quarter;515
4988;"D41 Interest; definition National Acco..";Local government;2004 2nd quarter;536
4989;"D41 Interest; definition National Acco..";Local government;2004 3rd quarter;535
4990;"D41 Interest; definition National Acco..";Local government;2004 4th quarter;526
4991;"D41 Interest; definition National Acco..";Local government;2004;2112
4992;"D41 Interest; definition National Acco..";Local government;2005 1st quarter;538
4993;"D41 Interest; definition National Acco..";Local government;2005 2nd quarter;510
4994;"D41 Interest; definition National Acco..";Local government;2005 3rd quarter;505
4995;"D41 Interest; definition National Acco..";Local government;2005 4th quarter;510
4996;"D41 Interest; definition National Acco..";Local government;2005;2063
4997;"D41 Interest; definition National Acco..";Local government;2006 1st quarter;543
4998;"D41 Interest; definition National Acco..";Local government;2006 2nd quarter;553
4999;"D41 Interest; definition National Acco..";Local government;2006 3rd quarter;549
5000;"D41 Interest; definition National Acco..";Local government;2006 4th quarter;597
5001;"D41 Interest; definition National Acco..";Local government;2006;2242
5002;"D41 Interest; definition National Acco..";Local government;2007 1st quarter;572
5003;"D41 Interest; definition National Acco..";Local government;2007 2nd quarter;593
5004;"D41 Interest; definition National Acco..";Local government;2007 3rd quarter;591
5005;"D41 Interest; definition National Acco..";Local government;2007 4th quarter;636
5006;"D41 Interest; definition National Acco..";Local government;2007;2392
5007;"D41 Interest; definition National Acco..";Local government;2008 1st quarter;595
5008;"D41 Interest; definition National Acco..";Local government;2008 2nd quarter;641
5009;"D41 Interest; definition National Acco..";Local government;2008 3rd quarter;633
5010;"D41 Interest; definition National Acco..";Local government;2008 4th quarter;580
5011;"D41 Interest; definition National Acco..";Local government;2008;2449
5012;"D41 Interest; definition National Acco..";Local government;2009 1st quarter;479
5013;"D41 Interest; definition National Acco..";Local government;2009 2nd quarter;505
5014;"D41 Interest; definition National Acco..";Local government;2009 3rd quarter;534
5015;"D41 Interest; definition National Acco..";Local government;2009 4th quarter;493
5016;"D41 Interest; definition National Acco..";Local government;2009;2011
5017;"D41 Interest; definition National Acco..";Local government;2010 1st quarter;487
5018;"D41 Interest; definition National Acco..";Local government;2010 2nd quarter;482
5019;"D41 Interest; definition National Acco..";Local government;2010 3rd quarter;432
5020;"D41 Interest; definition National Acco..";Local government;2010 4th quarter;429
5021;"D41 Interest; definition National Acco..";Local government;2010;1830
5022;"D41 Interest; definition National Acco..";Local government;2011 1st quarter;476
5023;"D41 Interest; definition National Acco..";Local government;2011 2nd quarter;483
5024;"D41 Interest; definition National Acco..";Local government;2011 3rd quarter;436
5025;"D41 Interest; definition National Acco..";Local government;2011 4th quarter;391
5026;"D41 Interest; definition National Acco..";Local government;2011;1786
5027;"D41 Interest; definition National Acco..";Local government;2012 1st quarter;402
5028;"D41 Interest; definition National Acco..";Local government;2012 2nd quarter;400
5029;"D41 Interest; definition National Acco..";Local government;2012 3rd quarter;359
5030;"D41 Interest; definition National Acco..";Local government;2012 4th quarter;348
5031;"D41 Interest; definition National Acco..";Local government;2012;1509
5032;"D41 Interest; definition National Acco..";Local government;2013 1st quarter;333
5033;"D41 Interest; definition National Acco..";Local government;2013 2nd quarter;330
5034;"D41 Interest; definition National Acco..";Local government;2013 3rd quarter;352
5035;"D41 Interest; definition National Acco..";Local government;2013 4th quarter;348
5036;"D41 Interest; definition National Acco..";Local government;2013;1363
5037;"D41 Interest; definition National Acco..";Local government;2014 1st quarter;322
5038;"D41 Interest; definition National Acco..";Local government;2014 2nd quarter;293
5039;"D41 Interest; definition National Acco..";Local government;2014 3rd quarter;242
5040;"D41 Interest; definition National Acco..";Local government;2014 4th quarter;208
5041;"D41 Interest; definition National Acco..";Local government;2014;1065
5042;"D41 Interest; definition National Acco..";Local government;2015 1st quarter;202
5043;"D41 Interest; definition National Acco..";Local government;2015 2nd quarter;207
5044;"D41 Interest; definition National Acco..";Local government;2015 3rd quarter;209
5045;"D41 Interest; definition National Acco..";Local government;2015 4th quarter;207
5046;"D41 Interest; definition National Acco..";Local government;2015;825
5047;"D41 Interest; definition National Acco..";Local government;2016 1st quarter;185
5048;"D41 Interest; definition National Acco..";Local government;2016 2nd quarter;178
5049;"D41 Interest; definition National Acco..";Local government;2016 3rd quarter;155
5050;"D41 Interest; definition National Acco..";Local government;2016 4th quarter;179
5051;"D41 Interest; definition National Acco..";Local government;2016;697
5052;"D41 Interest; definition National Acco..";Local government;2017 1st quarter;150
5053;"D41 Interest; definition National Acco..";Local government;2017 2nd quarter;155
5054;"D41 Interest; definition National Acco..";Local government;2017 3rd quarter;161
5055;"D41 Interest; definition National Acco..";Local government;2017 4th quarter;161
5056;"D41 Interest; definition National Acco..";Local government;2017;627
5057;"D41 Interest; definition National Acco..";Local government;2018 1st quarter;158
5058;"D41 Interest; definition National Acco..";Local government;2018 2nd quarter;163
5059;"D41 Interest; definition National Acco..";Local government;2018 3rd quarter;152
5060;"D41 Interest; definition National Acco..";Local government;2018 4th quarter;178
5061;"D41 Interest; definition National Acco..";Local government;2018;651
5062;"D41 Interest; definition National Acco..";Local government;2019 1st quarter;124
5063;"D41 Interest; definition National Acco..";Local government;2019 2nd quarter;110
5064;"D41 Interest; definition National Acco..";Local government;2019 3rd quarter;75
5065;"D41 Interest; definition National Acco..";Local government;2019 4th quarter;93
5066;"D41 Interest; definition National Acco..";Local government;2019;402
5067;"D41 Interest; definition National Acco..";Local government;2020 1st quarter;80
5068;"D41 Interest; definition National Acco..";Local government;2020 2nd quarter;86
5069;"D41 Interest; definition National Acco..";Local government;2020 3rd quarter;61
5070;"D41 Interest; definition National Acco..";Local government;2020 4th quarter;53
5071;"D41 Interest; definition National Acco..";Local government;2020;280
5072;"D41 Interest; definition National Acco..";Local government;2021 1st quarter;17
5073;"D41 Interest; definition National Acco..";Local government;2021 2nd quarter;36
5074;"D41 Interest; definition National Acco..";Local government;2021 3rd quarter;13
