ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
2852;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2020;76.5;
2853;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2021;77.3;12.3
2854;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2022;82.6;14.6
2855;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2023;78.5;15.0
2856;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2018;97.2;22.8
2857;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2019;92.6;25.4
2858;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2020;86.1;
2859;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2021;86.6;20.8
2860;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2022;92.8;24.9
2861;Population: 12 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2023;91.5;25.6
2862;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Value;2018;82.0;7.5
2863;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Value;2019;81.1;7.5
2864;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Value;2020;73.3;3.4
2865;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Value;2021;77.5;3.4
2866;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Value;2022;79.1;5.1
2867;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Value;2023;79.8;6.0
2868;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2018;81.6;7.2
2869;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2019;80.7;7.2
2870;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2020;72.9;3.2
2871;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2021;77.1;3.3
2872;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2022;78.6;4.9
2873;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2023;79.4;5.8
2874;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2018;82.4;7.8
2875;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2019;81.6;7.8
2876;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2020;73.7;3.6
2877;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2021;77.9;3.6
2878;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2022;79.5;5.3
2879;Population: 12 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2023;80.2;6.3
2880;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Value;2018;73.6;5.9
2881;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Value;2019;72.0;5.5
2882;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Value;2020;63.7;2.9
2883;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Value;2021;70.5;3.2
2884;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Value;2022;72.8;4.5
2885;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Value;2023;72.0;4.8
2886;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2018;72.6;5.4
2887;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2019;71.0;5.0
2888;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2020;62.8;2.6
2889;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2021;69.6;2.9
2890;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2022;71.9;4.1
2891;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2023;71.1;4.4
2892;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2018;74.5;6.4
2893;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2019;73.0;5.9
2894;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2020;64.7;3.2
2895;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2021;71.4;3.6
2896;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2022;73.7;4.9
2897;Population: 12 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2023;72.9;5.2
2898;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Value;2018;86.0;9.5
2899;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Value;2019;85.2;9.3
2900;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Value;2020;77.1;4.3
2901;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Value;2021;80.6;5.3
2902;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Value;2022;82.3;6.8
2903;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Value;2023;82.6;7.2
2904;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2018;85.3;9.0
2905;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2019;84.5;8.8
2906;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2020;76.4;4.0
2907;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2021;79.9;5.0
2908;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2022;81.6;6.4
2909;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2023;81.9;6.8
2910;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2018;86.7;10.0
2911;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2019;86.0;9.8
2912;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2020;77.8;4.6
2913;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2021;81.2;5.7
2914;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2022;83.0;7.2
2915;Population: 12 years or older;Total male and female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2023;83.3;7.6
2916;Population: 12 years or older;Total male and female;Level of educ: 3 High;Value;2018;87.2;11.3
2917;Population: 12 years or older;Total male and female;Level of educ: 3 High;Value;2019;86.5;11.8
2918;Population: 12 years or older;Total male and female;Level of educ: 3 High;Value;2020;79.2;4.8
2919;Population: 12 years or older;Total male and female;Level of educ: 3 High;Value;2021;81.4;4.6
2920;Population: 12 years or older;Total male and female;Level of educ: 3 High;Value;2022;82.5;7.1
2921;Population: 12 years or older;Total male and female;Level of educ: 3 High;Value;2023;83.9;8.8
2922;Population: 12 years or older;Total male and female;Level of educ: 3 High;Lower bound 95% confidence interval;2018;86.5;10.8
2923;Population: 12 years or older;Total male and female;Level of educ: 3 High;Lower bound 95% confidence interval;2019;85.7;11.3
2924;Population: 12 years or older;Total male and female;Level of educ: 3 High;Lower bound 95% confidence interval;2020;78.6;4.5
2925;Population: 12 years or older;Total male and female;Level of educ: 3 High;Lower bound 95% confidence interval;2021;80.8;4.4
2926;Population: 12 years or older;Total male and female;Level of educ: 3 High;Lower bound 95% confidence interval;2022;81.9;6.7
2927;Population: 12 years or older;Total male and female;Level of educ: 3 High;Lower bound 95% confidence interval;2023;83.3;8.4
2928;Population: 12 years or older;Total male and female;Level of educ: 3 High;Upper bound 95% confidence interval;2018;87.8;11.8
2929;Population: 12 years or older;Total male and female;Level of educ: 3 High;Upper bound 95% confidence interval;2019;87.2;12.4
2930;Population: 12 years or older;Total male and female;Level of educ: 3 High;Upper bound 95% confidence interval;2020;79.8;5.1
2931;Population: 12 years or older;Total male and female;Level of educ: 3 High;Upper bound 95% confidence interval;2021;82.0;4.9
2932;Population: 12 years or older;Total male and female;Level of educ: 3 High;Upper bound 95% confidence interval;2022;83.2;7.5
2933;Population: 12 years or older;Total male and female;Level of educ: 3 High;Upper bound 95% confidence interval;2023;84.5;9.2
2934;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Value;2018;89.6;7.8
2935;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Value;2019;87.8;8.4
2936;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Value;2020;82.7;3.9
2937;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Value;2021;86.4;4.6
2938;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Value;2022;86.8;6.4
2939;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Value;2023;87.0;6.7
2940;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Lower bound 95% confidence interval;2018;88.7;7.1
2941;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Lower bound 95% confidence interval;2019;86.7;7.6
2942;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Lower bound 95% confidence interval;2020;81.8;3.4
2943;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Lower bound 95% confidence interval;2021;85.5;4.2
2944;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Lower bound 95% confidence interval;2022;85.7;5.8
2945;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Lower bound 95% confidence interval;2023;86.0;6.1
2946;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Upper bound 95% confidence interval;2018;90.5;8.6
2947;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Upper bound 95% confidence interval;2019;88.9;9.2
2948;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Upper bound 95% confidence interval;2020;83.7;4.4
2949;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Upper bound 95% confidence interval;2021;87.2;5.2
2950;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Upper bound 95% confidence interval;2022;87.7;7.0
2951;Population: 12 years or older;Total male and female;Participation: working 12 -29 h. a week;Upper bound 95% confidence interval;2023;87.9;7.3
2952;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Value;2018;89.0;9.6
2953;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Value;2019;88.7;9.9
2954;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Value;2020;80.5;4.3
2955;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Value;2021;82.8;4.0
2956;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Value;2022;83.6;6.3
2957;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Value;2023;84.8;7.8
2958;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Lower bound 95% confidence interval;2018;88.4;9.1
2959;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Lower bound 95% confidence interval;2019;88.0;9.5
2960;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Lower bound 95% confidence interval;2020;79.9;4.0
2961;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Lower bound 95% confidence interval;2021;82.2;3.7
2962;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Lower bound 95% confidence interval;2022;82.9;5.9
2963;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Lower bound 95% confidence interval;2023;84.2;7.4
2964;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Upper bound 95% confidence interval;2018;89.6;10.1
2965;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Upper bound 95% confidence interval;2019;89.3;10.4
2966;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Upper bound 95% confidence interval;2020;81.1;4.6
2967;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Upper bound 95% confidence interval;2021;83.3;4.2
2968;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Upper bound 95% confidence interval;2022;84.2;6.6
2969;Population: 12 years or older;Total male and female;Participation: working >30 hours a week;Upper bound 95% confidence interval;2023;85.5;8.2
2970;Population: 12 years or older;Total male and female;Participatie:student/scholier;Value;2018;85.4;20.1
2971;Population: 12 years or older;Total male and female;Participatie:student/scholier;Value;2019;85.0;19.0
2972;Population: 12 years or older;Total male and female;Participatie:student/scholier;Value;2020;72.2;9.8
2973;Population: 12 years or older;Total male and female;Participatie:student/scholier;Value;2021;77.1;11.7
2974;Population: 12 years or older;Total male and female;Participatie:student/scholier;Value;2022;81.1;15.5
2975;Population: 12 years or older;Total male and female;Participatie:student/scholier;Value;2023;82.3;16.4
2976;Population: 12 years or older;Total male and female;Participatie:student/scholier;Lower bound 95% confidence interval;2018;84.3;19.1
2977;Population: 12 years or older;Total male and female;Participatie:student/scholier;Lower bound 95% confidence interval;2019;83.9;18.0
2978;Population: 12 years or older;Total male and female;Participatie:student/scholier;Lower bound 95% confidence interval;2020;71.1;9.1
2979;Population: 12 years or older;Total male and female;Participatie:student/scholier;Lower bound 95% confidence interval;2021;76.0;11.0
2980;Population: 12 years or older;Total male and female;Participatie:student/scholier;Lower bound 95% confidence interval;2022;79.9;14.7
2981;Population: 12 years or older;Total male and female;Participatie:student/scholier;Lower bound 95% confidence interval;2023;81.2;15.5
2982;Population: 12 years or older;Total male and female;Participatie:student/scholier;Upper bound 95% confidence interval;2018;86.4;21.1
2983;Population: 12 years or older;Total male and female;Participatie:student/scholier;Upper bound 95% confidence interval;2019;86.1;20.1
2984;Population: 12 years or older;Total male and female;Participatie:student/scholier;Upper bound 95% confidence interval;2020;73.3;10.6
2985;Population: 12 years or older;Total male and female;Participatie:student/scholier;Upper bound 95% confidence interval;2021;78.1;12.4
2986;Population: 12 years or older;Total male and female;Participatie:student/scholier;Upper bound 95% confidence interval;2022;82.2;16.5
2987;Population: 12 years or older;Total male and female;Participatie:student/scholier;Upper bound 95% confidence interval;2023;83.4;17.3
2988;Population: 12 years or older;Total male and female;Participation: unemployed;Value;2018;75.2;6.6
2989;Population: 12 years or older;Total male and female;Participation: unemployed;Value;2019;71.2;6.6
2990;Population: 12 years or older;Total male and female;Participation: unemployed;Value;2020;66.1;
2991;Population: 12 years or older;Total male and female;Participation: unemployed;Value;2021;66.4;5.0
2992;Population: 12 years or older;Total male and female;Participation: unemployed;Value;2022;66.3;6.2
2993;Population: 12 years or older;Total male and female;Participation: unemployed;Value;2023;66.9;9.6
2994;Population: 12 years or older;Total male and female;Participation: unemployed;Lower bound 95% confidence interval;2018;72.0;5.0
2995;Population: 12 years or older;Total male and female;Participation: unemployed;Lower bound 95% confidence interval;2019;67.3;4.9
2996;Population: 12 years or older;Total male and female;Participation: unemployed;Lower bound 95% confidence interval;2020;63.1;
2997;Population: 12 years or older;Total male and female;Participation: unemployed;Lower bound 95% confidence interval;2021;63.3;3.7
2998;Population: 12 years or older;Total male and female;Participation: unemployed;Lower bound 95% confidence interval;2022;62.3;4.7
2999;Population: 12 years or older;Total male and female;Participation: unemployed;Lower bound 95% confidence interval;2023;63.1;7.5
3000;Population: 12 years or older;Total male and female;Participation: unemployed;Upper bound 95% confidence interval;2018;78.2;8.6
3001;Population: 12 years or older;Total male and female;Participation: unemployed;Upper bound 95% confidence interval;2019;74.7;8.9
3002;Population: 12 years or older;Total male and female;Participation: unemployed;Upper bound 95% confidence interval;2020;68.9;
3003;Population: 12 years or older;Total male and female;Participation: unemployed;Upper bound 95% confidence interval;2021;69.4;6.8
3004;Population: 12 years or older;Total male and female;Participation: unemployed;Upper bound 95% confidence interval;2022;70.0;8.3
3005;Population: 12 years or older;Total male and female;Participation: unemployed;Upper bound 95% confidence interval;2023;70.5;12.3
3006;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Value;2018;71.1;4.8
3007;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Value;2019;67.8;5.6
3008;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Value;2020;58.3;
3009;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Value;2021;67.1;
3010;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Value;2022;70.3;3.6
3011;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Value;2023;70.2;3.4
3012;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Lower bound 95% confidence interval;2018;68.5;3.7
3013;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Lower bound 95% confidence interval;2019;64.8;4.4
3014;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Lower bound 95% confidence interval;2020;55.6;
3015;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Lower bound 95% confidence interval;2021;64.6;
3016;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Lower bound 95% confidence interval;2022;67.8;2.7
3017;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Lower bound 95% confidence interval;2023;67.8;2.5
3018;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Upper bound 95% confidence interval;2018;73.6;6.3
3019;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Upper bound 95% confidence interval;2019;70.7;7.2
3020;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Upper bound 95% confidence interval;2020;60.9;
3021;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Upper bound 95% confidence interval;2021;69.4;
3022;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Upper bound 95% confidence interval;2022;72.7;4.7
3023;Population: 12 years or older;Total male and female;Particip.: claiming disability benefit;Upper bound 95% confidence interval;2023;72.5;4.5
3024;Population: 12 years or older;Total male and female;Participation: retired;Value;2018;69.8;3.8
3025;Population: 12 years or older;Total male and female;Participation: retired;Value;2019;69.0;3.7
3026;Population: 12 years or older;Total male and female;Participation: retired;Value;2020;62.7;1.4
3027;Population: 12 years or older;Total male and female;Participation: retired;Value;2021;69.6;1.5
3028;Population: 12 years or older;Total male and female;Participation: retired;Value;2022;71.6;2.0
3029;Population: 12 years or older;Total male and female;Participation: retired;Value;2023;70.9;2.7
3030;Population: 12 years or older;Total male and female;Participation: retired;Lower bound 95% confidence interval;2018;68.6;3.4
3031;Population: 12 years or older;Total male and female;Participation: retired;Lower bound 95% confidence interval;2019;67.9;3.3
3032;Population: 12 years or older;Total male and female;Participation: retired;Lower bound 95% confidence interval;2020;61.7;1.2
3033;Population: 12 years or older;Total male and female;Participation: retired;Lower bound 95% confidence interval;2021;68.6;1.3
3034;Population: 12 years or older;Total male and female;Participation: retired;Lower bound 95% confidence interval;2022;70.7;1.8
3035;Population: 12 years or older;Total male and female;Participation: retired;Lower bound 95% confidence interval;2023;70.0;2.4
3036;Population: 12 years or older;Total male and female;Participation: retired;Upper bound 95% confidence interval;2018;70.9;4.4
3037;Population: 12 years or older;Total male and female;Participation: retired;Upper bound 95% confidence interval;2019;70.2;4.2
3038;Population: 12 years or older;Total male and female;Participation: retired;Upper bound 95% confidence interval;2020;63.6;1.7
3039;Population: 12 years or older;Total male and female;Participation: retired;Upper bound 95% confidence interval;2021;70.5;1.8
3040;Population: 12 years or older;Total male and female;Participation: retired;Upper bound 95% confidence interval;2022;72.6;2.3
3041;Population: 12 years or older;Total male and female;Participation: retired;Upper bound 95% confidence interval;2023;71.8;3.0
3042;Population: 12 years or older;Total male and female;Participation: unemployed, other;Value;2018;73.2;5.4
3043;Population: 12 years or older;Total male and female;Participation: unemployed, other;Value;2019;71.0;5.0
3044;Population: 12 years or older;Total male and female;Participation: unemployed, other;Value;2020;62.1;2.1
3045;Population: 12 years or older;Total male and female;Participation: unemployed, other;Value;2021;67.8;2.9
3046;Population: 12 years or older;Total male and female;Participation: unemployed, other;Value;2022;70.1;3.8
3047;Population: 12 years or older;Total male and female;Participation: unemployed, other;Value;2023;70.5;4.6
3048;Population: 12 years or older;Total male and female;Participation: unemployed, other;Lower bound 95% confidence interval;2018;71.7;4.7
3049;Population: 12 years or older;Total male and female;Participation: unemployed, other;Lower bound 95% confidence interval;2019;69.4;4.3
3050;Population: 12 years or older;Total male and female;Participation: unemployed, other;Lower bound 95% confidence interval;2020;60.7;1.7
3051;Population: 12 years or older;Total male and female;Participation: unemployed, other;Lower bound 95% confidence interval;2021;66.3;2.5
3052;Population: 12 years or older;Total male and female;Participation: unemployed, other;Lower bound 95% confidence interval;2022;68.5;3.2
3053;Population: 12 years or older;Total male and female;Participation: unemployed, other;Lower bound 95% confidence interval;2023;68.9;4.0
3054;Population: 12 years or older;Total male and female;Participation: unemployed, other;Upper bound 95% confidence interval;2018;74.6;6.1
3055;Population: 12 years or older;Total male and female;Participation: unemployed, other;Upper bound 95% confidence interval;2019;72.5;5.7
3056;Population: 12 years or older;Total male and female;Participation: unemployed, other;Upper bound 95% confidence interval;2020;63.5;2.5
3057;Population: 12 years or older;Total male and female;Participation: unemployed, other;Upper bound 95% confidence interval;2021;69.1;3.5
3058;Population: 12 years or older;Total male and female;Participation: unemployed, other;Upper bound 95% confidence interval;2022;71.6;4.5
3059;Population: 12 years or older;Total male and female;Participation: unemployed, other;Upper bound 95% confidence interval;2023;72.0;5.3
3060;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Value;2018;84.4;3.7
3061;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Value;2019;84.7;4.1
3062;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Value;2020;78.3;1.6
3063;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Value;2021;80.9;1.4
3064;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Value;2022;82.3;2.4
3065;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Value;2023;82.8;2.9
3066;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Lower bound 95% confidence interval;2018;83.7;3.5
3067;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Lower bound 95% confidence interval;2019;84.0;3.8
3068;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Lower bound 95% confidence interval;2020;77.8;1.4
3069;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Lower bound 95% confidence interval;2021;80.3;1.2
3070;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Lower bound 95% confidence interval;2022;81.7;2.2
3071;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Lower bound 95% confidence interval;2023;82.2;2.7
3072;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Upper bound 95% confidence interval;2018;85.0;4.0
3073;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Upper bound 95% confidence interval;2019;85.3;4.4
3074;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Upper bound 95% confidence interval;2020;78.9;1.7
3075;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Upper bound 95% confidence interval;2021;81.4;1.5
3076;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Upper bound 95% confidence interval;2022;82.9;2.6
3077;Population: 12 years or older;Total male and female;Driver's license, pass. car, in own name;Upper bound 95% confidence interval;2023;83.4;3.1
3078;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Value;2018;85.5;7.9
3079;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Value;2019;84.1;8.1
3080;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Value;2020;77.5;3.1
3081;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Value;2021;81.5;3.3
3082;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Value;2022;82.9;5.1
3083;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Value;2023;83.3;6.3
3084;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Lower bound 95% confidence interval;2018;84.7;7.4
3085;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Lower bound 95% confidence interval;2019;83.1;7.6
3086;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Lower bound 95% confidence interval;2020;76.7;2.9
3087;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Lower bound 95% confidence interval;2021;80.8;3.0
3088;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Lower bound 95% confidence interval;2022;82.0;4.7
3089;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Lower bound 95% confidence interval;2023;82.5;5.9
3090;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Upper bound 95% confidence interval;2018;86.3;8.4
3091;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Upper bound 95% confidence interval;2019;85.0;8.7
3092;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Upper bound 95% confidence interval;2020;78.2;3.5
3093;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Upper bound 95% confidence interval;2021;82.2;3.6
3094;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Upper bound 95% confidence interval;2022;83.6;5.5
3095;Population: 12 years or older;Total male and female;Driver's license, passenger car in hh;Upper bound 95% confidence interval;2023;84.1;6.8
3096;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Value;2018;84.9;21.5
3097;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Value;2019;82.9;21.9
3098;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Value;2020;72.4;9.7
3099;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Value;2021;79.4;11.8
3100;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Value;2022;79.2;13.4
3101;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Value;2023;79.5;17.1
3102;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Lower bound 95% confidence interval;2018;83.3;20.1
3103;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Lower bound 95% confidence interval;2019;81.2;20.5
3104;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Lower bound 95% confidence interval;2020;70.8;8.8
3105;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Lower bound 95% confidence interval;2021;78.0;10.8
3106;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Lower bound 95% confidence interval;2022;77.5;12.3
3107;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Lower bound 95% confidence interval;2023;77.9;15.9
3108;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Upper bound 95% confidence interval;2018;86.3;23.1
3109;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Upper bound 95% confidence interval;2019;84.4;23.4
3110;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Upper bound 95% confidence interval;2020;73.8;10.6
3111;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Upper bound 95% confidence interval;2021;80.7;12.8
3112;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Upper bound 95% confidence interval;2022;80.7;14.6
3113;Population: 12 years or older;Total male and female;Driver's license, no passenger car in hh;Upper bound 95% confidence interval;2023;80.9;18.3
3114;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Value;2018;72.2;17.5
