ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
4448;Nat. person without sole proprietorship;60 to 64 years;2017 October;5
4449;Nat. person without sole proprietorship;60 to 64 years;2017 November;7
4450;Nat. person without sole proprietorship;60 to 64 years;2017 December;3
4451;Nat. person without sole proprietorship;60 to 64 years;2017 4th quarter;15
4452;Nat. person without sole proprietorship;60 to 64 years;2017;67
4453;Nat. person without sole proprietorship;60 to 64 years;2018 January;6
4454;Nat. person without sole proprietorship;60 to 64 years;2018 February;1
4455;Nat. person without sole proprietorship;60 to 64 years;2018 March;3
4456;Nat. person without sole proprietorship;60 to 64 years;2018 1st quarter;10
4457;Nat. person without sole proprietorship;60 to 64 years;2018 April;3
4458;Nat. person without sole proprietorship;60 to 64 years;2018 May;2
4459;Nat. person without sole proprietorship;60 to 64 years;2018 June;8
4460;Nat. person without sole proprietorship;60 to 64 years;2018 2nd quarter;13
4461;Nat. person without sole proprietorship;60 to 64 years;2018 July;5
4462;Nat. person without sole proprietorship;60 to 64 years;2018 August;2
4463;Nat. person without sole proprietorship;60 to 64 years;2018 September;1
4464;Nat. person without sole proprietorship;60 to 64 years;2018 3rd quarter;8
4465;Nat. person without sole proprietorship;60 to 64 years;2018 October;3
4466;Nat. person without sole proprietorship;60 to 64 years;2018 November;1
4467;Nat. person without sole proprietorship;60 to 64 years;2018 December;4
4468;Nat. person without sole proprietorship;60 to 64 years;2018 4th quarter;8
4469;Nat. person without sole proprietorship;60 to 64 years;2018;39
4470;Nat. person without sole proprietorship;60 to 64 years;2019 January;3
4471;Nat. person without sole proprietorship;60 to 64 years;2019 February;7
4472;Nat. person without sole proprietorship;60 to 64 years;2019 March;1
4473;Nat. person without sole proprietorship;60 to 64 years;2019 1st quarter;11
4474;Nat. person without sole proprietorship;60 to 64 years;2019 April;2
4475;Nat. person without sole proprietorship;60 to 64 years;2019 May;2
4476;Nat. person without sole proprietorship;60 to 64 years;2019 June;6
4477;Nat. person without sole proprietorship;60 to 64 years;2019 2nd quarter;10
4478;Nat. person without sole proprietorship;60 to 64 years;2019 July;2
4479;Nat. person without sole proprietorship;60 to 64 years;2019 August;6
4480;Nat. person without sole proprietorship;60 to 64 years;2019 September;3
4481;Nat. person without sole proprietorship;60 to 64 years;2019 3rd quarter;11
4482;Nat. person without sole proprietorship;60 to 64 years;2019 October;4
4483;Nat. person without sole proprietorship;60 to 64 years;2019 November;2
4484;Nat. person without sole proprietorship;60 to 64 years;2019 December;2
4485;Nat. person without sole proprietorship;60 to 64 years;2019 4th quarter;8
4486;Nat. person without sole proprietorship;60 to 64 years;2019;40
4487;Nat. person without sole proprietorship;60 to 64 years;2020 January;1
4488;Nat. person without sole proprietorship;60 to 64 years;2020 February;3
4489;Nat. person without sole proprietorship;60 to 64 years;2020 March;5
4490;Nat. person without sole proprietorship;60 to 64 years;2020 1st quarter;9
4491;Nat. person without sole proprietorship;60 to 64 years;2020 April;3
4492;Nat. person without sole proprietorship;60 to 64 years;2020 May;2
4493;Nat. person without sole proprietorship;60 to 64 years;2020 June;7
4494;Nat. person without sole proprietorship;60 to 64 years;2020 2nd quarter;12
4495;Nat. person without sole proprietorship;60 to 64 years;2020 July;4
4496;Nat. person without sole proprietorship;60 to 64 years;2020 August;5
4497;Nat. person without sole proprietorship;60 to 64 years;2020 September;2
4498;Nat. person without sole proprietorship;60 to 64 years;2020 3rd quarter;11
4499;Nat. person without sole proprietorship;60 to 64 years;2020 October;5
4500;Nat. person without sole proprietorship;60 to 64 years;2020 November;0
4501;Nat. person without sole proprietorship;60 to 64 years;2020 December;3
4502;Nat. person without sole proprietorship;60 to 64 years;2020 4th quarter;8
4503;Nat. person without sole proprietorship;60 to 64 years;2020;40
4504;Nat. person without sole proprietorship;60 to 64 years;2021 January;2
4505;Nat. person without sole proprietorship;60 to 64 years;2021 February;1
4506;Nat. person without sole proprietorship;60 to 64 years;2021 March;1
4507;Nat. person without sole proprietorship;60 to 64 years;2021 1st quarter;4
4508;Nat. person without sole proprietorship;60 to 64 years;2021 April;4
4509;Nat. person without sole proprietorship;60 to 64 years;2021 May;2
4510;Nat. person without sole proprietorship;60 to 64 years;2021 June;4
4511;Nat. person without sole proprietorship;60 to 64 years;2021 2nd quarter;10
4512;Nat. person without sole proprietorship;60 to 64 years;2021 July;3
4513;Nat. person without sole proprietorship;60 to 64 years;2021 August;3
4514;Nat. person without sole proprietorship;60 to 64 years;2021 September;2
4515;Nat. person without sole proprietorship;60 to 64 years;2021 3rd quarter;8
4516;Nat. person without sole proprietorship;60 to 64 years;2021 October;2
4517;Nat. person without sole proprietorship;60 to 64 years;2021 November;1
4518;Nat. person without sole proprietorship;60 to 64 years;2021 December;0
4519;Nat. person without sole proprietorship;60 to 64 years;2021 4th quarter;3
4520;Nat. person without sole proprietorship;60 to 64 years;2021;25
4521;Nat. person without sole proprietorship;60 to 64 years;2022 January;0
4522;Nat. person without sole proprietorship;60 to 64 years;2022 February;2
4523;Nat. person without sole proprietorship;60 to 64 years;2022 March;0
4524;Nat. person without sole proprietorship;60 to 64 years;2022 1st quarter;2
4525;Nat. person without sole proprietorship;60 to 64 years;2022 April;0
4526;Nat. person without sole proprietorship;60 to 64 years;2022 May;1
4527;Nat. person without sole proprietorship;60 to 64 years;2022 June;1
4528;Nat. person without sole proprietorship;60 to 64 years;2022 2nd quarter;2
4529;Nat. person without sole proprietorship;60 to 64 years;2022 July;1
4530;Nat. person without sole proprietorship;60 to 64 years;2022 August;2
4531;Nat. person without sole proprietorship;60 to 64 years;2022 September;1
4532;Nat. person without sole proprietorship;60 to 64 years;2022 3rd quarter;4
4533;Nat. person without sole proprietorship;60 to 64 years;2022 October;1
4534;Nat. person without sole proprietorship;60 to 64 years;2022 November;5
4535;Nat. person without sole proprietorship;60 to 64 years;2022 December;0
4536;Nat. person without sole proprietorship;60 to 64 years;2022 4th quarter;6
4537;Nat. person without sole proprietorship;60 to 64 years;2022;14
4538;Nat. person without sole proprietorship;60 to 64 years;2023 January;1
4539;Nat. person without sole proprietorship;60 to 64 years;2023 February;1
4540;Nat. person without sole proprietorship;60 to 64 years;2023 March;0
4541;Nat. person without sole proprietorship;60 to 64 years;2023 1st quarter;2
4542;Nat. person without sole proprietorship;60 to 64 years;2023 April;1
4543;Nat. person without sole proprietorship;60 to 64 years;2023 May;2
4544;Nat. person without sole proprietorship;60 to 64 years;2023 June;5
4545;Nat. person without sole proprietorship;60 to 64 years;2023 2nd quarter;8
4546;Nat. person without sole proprietorship;60 to 64 years;2023 July;2
4547;Nat. person without sole proprietorship;60 to 64 years;2023 August;0
4548;Nat. person without sole proprietorship;60 to 64 years;2023 September;2
4549;Nat. person without sole proprietorship;60 to 64 years;2023 3rd quarter;4
4550;Nat. person without sole proprietorship;60 to 64 years;2023 October;1
4551;Nat. person without sole proprietorship;60 to 64 years;2023 November;1
4552;Nat. person without sole proprietorship;60 to 64 years;2023 December;3
4553;Nat. person without sole proprietorship;60 to 64 years;2023 4th quarter;5
4554;Nat. person without sole proprietorship;60 to 64 years;2023;19
4555;Nat. person without sole proprietorship;60 to 64 years;2024 January;3
4556;Nat. person without sole proprietorship;60 to 64 years;2024 February;0
4557;Nat. person without sole proprietorship;60 to 64 years;2024 March;1
4558;Nat. person without sole proprietorship;60 to 64 years;2024 1st quarter;4
4559;Nat. person without sole proprietorship;60 to 64 years;2024 April;2
4560;Nat. person without sole proprietorship;60 to 64 years;2024 May;1
4561;Nat. person without sole proprietorship;60 to 64 years;2024 June;1
4562;Nat. person without sole proprietorship;60 to 64 years;2024 2nd quarter;4
4563;Nat. person without sole proprietorship;60 to 64 years;2024 July;6
4564;Nat. person without sole proprietorship;60 to 64 years;2024 August;0
4565;Nat. person without sole proprietorship;60 to 64 years;2024 September;2
4566;Nat. person without sole proprietorship;60 to 64 years;2024 3rd quarter;8
4567;Nat. person without sole proprietorship;60 to 64 years;2024 October;0
4568;Nat. person without sole proprietorship;60 to 64 years;2024 November;0
4569;Nat. person without sole proprietorship;60 to 64 years;2024 December;3
4570;Nat. person without sole proprietorship;60 to 64 years;2024 4th quarter;3
4571;Nat. person without sole proprietorship;60 to 64 years;2024;19
4572;Nat. person without sole proprietorship;60 to 64 years;2025 January;6
4573;Nat. person without sole proprietorship;60 to 64 years;2025 February;3
4574;Nat. person without sole proprietorship;60 to 64 years;2025 March;3
4575;Nat. person without sole proprietorship;60 to 64 years;2025 1st quarter;12
4576;Nat. person without sole proprietorship;65 years and over;2013 January;5
4577;Nat. person without sole proprietorship;65 years and over;2013 February;10
4578;Nat. person without sole proprietorship;65 years and over;2013 March;11
4579;Nat. person without sole proprietorship;65 years and over;2013 1st quarter;26
4580;Nat. person without sole proprietorship;65 years and over;2013 April;7
4581;Nat. person without sole proprietorship;65 years and over;2013 May;10
4582;Nat. person without sole proprietorship;65 years and over;2013 June;12
4583;Nat. person without sole proprietorship;65 years and over;2013 2nd quarter;29
4584;Nat. person without sole proprietorship;65 years and over;2013 July;6
4585;Nat. person without sole proprietorship;65 years and over;2013 August;5
4586;Nat. person without sole proprietorship;65 years and over;2013 September;6
4587;Nat. person without sole proprietorship;65 years and over;2013 3rd quarter;17
4588;Nat. person without sole proprietorship;65 years and over;2013 October;9
4589;Nat. person without sole proprietorship;65 years and over;2013 November;6
4590;Nat. person without sole proprietorship;65 years and over;2013 December;12
4591;Nat. person without sole proprietorship;65 years and over;2013 4th quarter;27
4592;Nat. person without sole proprietorship;65 years and over;2013;99
4593;Nat. person without sole proprietorship;65 years and over;2014 January;14
4594;Nat. person without sole proprietorship;65 years and over;2014 February;8
4595;Nat. person without sole proprietorship;65 years and over;2014 March;6
4596;Nat. person without sole proprietorship;65 years and over;2014 1st quarter;28
4597;Nat. person without sole proprietorship;65 years and over;2014 April;9
4598;Nat. person without sole proprietorship;65 years and over;2014 May;6
4599;Nat. person without sole proprietorship;65 years and over;2014 June;6
4600;Nat. person without sole proprietorship;65 years and over;2014 2nd quarter;21
4601;Nat. person without sole proprietorship;65 years and over;2014 July;10
4602;Nat. person without sole proprietorship;65 years and over;2014 August;8
4603;Nat. person without sole proprietorship;65 years and over;2014 September;11
4604;Nat. person without sole proprietorship;65 years and over;2014 3rd quarter;29
4605;Nat. person without sole proprietorship;65 years and over;2014 October;9
4606;Nat. person without sole proprietorship;65 years and over;2014 November;4
4607;Nat. person without sole proprietorship;65 years and over;2014 December;3
4608;Nat. person without sole proprietorship;65 years and over;2014 4th quarter;16
4609;Nat. person without sole proprietorship;65 years and over;2014;94
4610;Nat. person without sole proprietorship;65 years and over;2015 January;10
4611;Nat. person without sole proprietorship;65 years and over;2015 February;2
4612;Nat. person without sole proprietorship;65 years and over;2015 March;7
4613;Nat. person without sole proprietorship;65 years and over;2015 1st quarter;19
4614;Nat. person without sole proprietorship;65 years and over;2015 April;5
4615;Nat. person without sole proprietorship;65 years and over;2015 May;4
4616;Nat. person without sole proprietorship;65 years and over;2015 June;5
4617;Nat. person without sole proprietorship;65 years and over;2015 2nd quarter;14
4618;Nat. person without sole proprietorship;65 years and over;2015 July;3
4619;Nat. person without sole proprietorship;65 years and over;2015 August;4
4620;Nat. person without sole proprietorship;65 years and over;2015 September;9
4621;Nat. person without sole proprietorship;65 years and over;2015 3rd quarter;16
4622;Nat. person without sole proprietorship;65 years and over;2015 October;10
4623;Nat. person without sole proprietorship;65 years and over;2015 November;4
4624;Nat. person without sole proprietorship;65 years and over;2015 December;12
4625;Nat. person without sole proprietorship;65 years and over;2015 4th quarter;26
4626;Nat. person without sole proprietorship;65 years and over;2015;75
4627;Nat. person without sole proprietorship;65 years and over;2016 January;2
4628;Nat. person without sole proprietorship;65 years and over;2016 February;3
4629;Nat. person without sole proprietorship;65 years and over;2016 March;7
4630;Nat. person without sole proprietorship;65 years and over;2016 1st quarter;12
4631;Nat. person without sole proprietorship;65 years and over;2016 April;6
4632;Nat. person without sole proprietorship;65 years and over;2016 May;8
4633;Nat. person without sole proprietorship;65 years and over;2016 June;7
4634;Nat. person without sole proprietorship;65 years and over;2016 2nd quarter;21
4635;Nat. person without sole proprietorship;65 years and over;2016 July;2
4636;Nat. person without sole proprietorship;65 years and over;2016 August;4
4637;Nat. person without sole proprietorship;65 years and over;2016 September;3
4638;Nat. person without sole proprietorship;65 years and over;2016 3rd quarter;9
4639;Nat. person without sole proprietorship;65 years and over;2016 October;2
4640;Nat. person without sole proprietorship;65 years and over;2016 November;7
4641;Nat. person without sole proprietorship;65 years and over;2016 December;10
4642;Nat. person without sole proprietorship;65 years and over;2016 4th quarter;19
4643;Nat. person without sole proprietorship;65 years and over;2016;61
4644;Nat. person without sole proprietorship;65 years and over;2017 January;5
4645;Nat. person without sole proprietorship;65 years and over;2017 February;2
4646;Nat. person without sole proprietorship;65 years and over;2017 March;4
4647;Nat. person without sole proprietorship;65 years and over;2017 1st quarter;11
4648;Nat. person without sole proprietorship;65 years and over;2017 April;2
4649;Nat. person without sole proprietorship;65 years and over;2017 May;7
4650;Nat. person without sole proprietorship;65 years and over;2017 June;6
4651;Nat. person without sole proprietorship;65 years and over;2017 2nd quarter;15
4652;Nat. person without sole proprietorship;65 years and over;2017 July;9
4653;Nat. person without sole proprietorship;65 years and over;2017 August;6
4654;Nat. person without sole proprietorship;65 years and over;2017 September;11
4655;Nat. person without sole proprietorship;65 years and over;2017 3rd quarter;26
4656;Nat. person without sole proprietorship;65 years and over;2017 October;8
4657;Nat. person without sole proprietorship;65 years and over;2017 November;1
4658;Nat. person without sole proprietorship;65 years and over;2017 December;3
4659;Nat. person without sole proprietorship;65 years and over;2017 4th quarter;12
4660;Nat. person without sole proprietorship;65 years and over;2017;64
4661;Nat. person without sole proprietorship;65 years and over;2018 January;3
4662;Nat. person without sole proprietorship;65 years and over;2018 February;4
4663;Nat. person without sole proprietorship;65 years and over;2018 March;3
4664;Nat. person without sole proprietorship;65 years and over;2018 1st quarter;10
4665;Nat. person without sole proprietorship;65 years and over;2018 April;1
4666;Nat. person without sole proprietorship;65 years and over;2018 May;6
4667;Nat. person without sole proprietorship;65 years and over;2018 June;2
4668;Nat. person without sole proprietorship;65 years and over;2018 2nd quarter;9
4669;Nat. person without sole proprietorship;65 years and over;2018 July;3
4670;Nat. person without sole proprietorship;65 years and over;2018 August;1
4671;Nat. person without sole proprietorship;65 years and over;2018 September;4
4672;Nat. person without sole proprietorship;65 years and over;2018 3rd quarter;8
4673;Nat. person without sole proprietorship;65 years and over;2018 October;2
4674;Nat. person without sole proprietorship;65 years and over;2018 November;8
4675;Nat. person without sole proprietorship;65 years and over;2018 December;2
4676;Nat. person without sole proprietorship;65 years and over;2018 4th quarter;12
4677;Nat. person without sole proprietorship;65 years and over;2018;39
4678;Nat. person without sole proprietorship;65 years and over;2019 January;3
4679;Nat. person without sole proprietorship;65 years and over;2019 February;2
4680;Nat. person without sole proprietorship;65 years and over;2019 March;3
4681;Nat. person without sole proprietorship;65 years and over;2019 1st quarter;8
4682;Nat. person without sole proprietorship;65 years and over;2019 April;5
4683;Nat. person without sole proprietorship;65 years and over;2019 May;1
4684;Nat. person without sole proprietorship;65 years and over;2019 June;7
4685;Nat. person without sole proprietorship;65 years and over;2019 2nd quarter;13
4686;Nat. person without sole proprietorship;65 years and over;2019 July;3
4687;Nat. person without sole proprietorship;65 years and over;2019 August;3
4688;Nat. person without sole proprietorship;65 years and over;2019 September;0
4689;Nat. person without sole proprietorship;65 years and over;2019 3rd quarter;6
4690;Nat. person without sole proprietorship;65 years and over;2019 October;4
4691;Nat. person without sole proprietorship;65 years and over;2019 November;2
4692;Nat. person without sole proprietorship;65 years and over;2019 December;4
4693;Nat. person without sole proprietorship;65 years and over;2019 4th quarter;10
4694;Nat. person without sole proprietorship;65 years and over;2019;37
4695;Nat. person without sole proprietorship;65 years and over;2020 January;4
4696;Nat. person without sole proprietorship;65 years and over;2020 February;4
4697;Nat. person without sole proprietorship;65 years and over;2020 March;2
4698;Nat. person without sole proprietorship;65 years and over;2020 1st quarter;10
4699;Nat. person without sole proprietorship;65 years and over;2020 April;0
4700;Nat. person without sole proprietorship;65 years and over;2020 May;2
4701;Nat. person without sole proprietorship;65 years and over;2020 June;0
4702;Nat. person without sole proprietorship;65 years and over;2020 2nd quarter;2
4703;Nat. person without sole proprietorship;65 years and over;2020 July;3
4704;Nat. person without sole proprietorship;65 years and over;2020 August;0
4705;Nat. person without sole proprietorship;65 years and over;2020 September;5
4706;Nat. person without sole proprietorship;65 years and over;2020 3rd quarter;8
4707;Nat. person without sole proprietorship;65 years and over;2020 October;3
4708;Nat. person without sole proprietorship;65 years and over;2020 November;2
4709;Nat. person without sole proprietorship;65 years and over;2020 December;1
4710;Nat. person without sole proprietorship;65 years and over;2020 4th quarter;6
4711;Nat. person without sole proprietorship;65 years and over;2020;26
4712;Nat. person without sole proprietorship;65 years and over;2021 January;2
4713;Nat. person without sole proprietorship;65 years and over;2021 February;1
4714;Nat. person without sole proprietorship;65 years and over;2021 March;1
4715;Nat. person without sole proprietorship;65 years and over;2021 1st quarter;4
4716;Nat. person without sole proprietorship;65 years and over;2021 April;1
4717;Nat. person without sole proprietorship;65 years and over;2021 May;1
4718;Nat. person without sole proprietorship;65 years and over;2021 June;0
4719;Nat. person without sole proprietorship;65 years and over;2021 2nd quarter;2
4720;Nat. person without sole proprietorship;65 years and over;2021 July;1
4721;Nat. person without sole proprietorship;65 years and over;2021 August;0
4722;Nat. person without sole proprietorship;65 years and over;2021 September;2
4723;Nat. person without sole proprietorship;65 years and over;2021 3rd quarter;3
4724;Nat. person without sole proprietorship;65 years and over;2021 October;5
4725;Nat. person without sole proprietorship;65 years and over;2021 November;2
4726;Nat. person without sole proprietorship;65 years and over;2021 December;0
4727;Nat. person without sole proprietorship;65 years and over;2021 4th quarter;7
4728;Nat. person without sole proprietorship;65 years and over;2021;16
4729;Nat. person without sole proprietorship;65 years and over;2022 January;0
4730;Nat. person without sole proprietorship;65 years and over;2022 February;1
4731;Nat. person without sole proprietorship;65 years and over;2022 March;2
4732;Nat. person without sole proprietorship;65 years and over;2022 1st quarter;3
4733;Nat. person without sole proprietorship;65 years and over;2022 April;4
4734;Nat. person without sole proprietorship;65 years and over;2022 May;3
4735;Nat. person without sole proprietorship;65 years and over;2022 June;0
4736;Nat. person without sole proprietorship;65 years and over;2022 2nd quarter;7
4737;Nat. person without sole proprietorship;65 years and over;2022 July;3
4738;Nat. person without sole proprietorship;65 years and over;2022 August;1
4739;Nat. person without sole proprietorship;65 years and over;2022 September;1
4740;Nat. person without sole proprietorship;65 years and over;2022 3rd quarter;5
4741;Nat. person without sole proprietorship;65 years and over;2022 October;1
4742;Nat. person without sole proprietorship;65 years and over;2022 November;2
4743;Nat. person without sole proprietorship;65 years and over;2022 December;2
4744;Nat. person without sole proprietorship;65 years and over;2022 4th quarter;5
4745;Nat. person without sole proprietorship;65 years and over;2022;20
4746;Nat. person without sole proprietorship;65 years and over;2023 January;1
4747;Nat. person without sole proprietorship;65 years and over;2023 February;0
4748;Nat. person without sole proprietorship;65 years and over;2023 March;2
4749;Nat. person without sole proprietorship;65 years and over;2023 1st quarter;3
4750;Nat. person without sole proprietorship;65 years and over;2023 April;0
4751;Nat. person without sole proprietorship;65 years and over;2023 May;1
4752;Nat. person without sole proprietorship;65 years and over;2023 June;2
4753;Nat. person without sole proprietorship;65 years and over;2023 2nd quarter;3
4754;Nat. person without sole proprietorship;65 years and over;2023 July;4
4755;Nat. person without sole proprietorship;65 years and over;2023 August;0
4756;Nat. person without sole proprietorship;65 years and over;2023 September;0
4757;Nat. person without sole proprietorship;65 years and over;2023 3rd quarter;4
4758;Nat. person without sole proprietorship;65 years and over;2023 October;1
4759;Nat. person without sole proprietorship;65 years and over;2023 November;1
4760;Nat. person without sole proprietorship;65 years and over;2023 December;2
4761;Nat. person without sole proprietorship;65 years and over;2023 4th quarter;4
4762;Nat. person without sole proprietorship;65 years and over;2023;14
4763;Nat. person without sole proprietorship;65 years and over;2024 January;5
4764;Nat. person without sole proprietorship;65 years and over;2024 February;4
4765;Nat. person without sole proprietorship;65 years and over;2024 March;1
4766;Nat. person without sole proprietorship;65 years and over;2024 1st quarter;10
4767;Nat. person without sole proprietorship;65 years and over;2024 April;1
4768;Nat. person without sole proprietorship;65 years and over;2024 May;1
4769;Nat. person without sole proprietorship;65 years and over;2024 June;3
4770;Nat. person without sole proprietorship;65 years and over;2024 2nd quarter;5
4771;Nat. person without sole proprietorship;65 years and over;2024 July;4
4772;Nat. person without sole proprietorship;65 years and over;2024 August;1
4773;Nat. person without sole proprietorship;65 years and over;2024 September;2
4774;Nat. person without sole proprietorship;65 years and over;2024 3rd quarter;7
4775;Nat. person without sole proprietorship;65 years and over;2024 October;3
4776;Nat. person without sole proprietorship;65 years and over;2024 November;2
4777;Nat. person without sole proprietorship;65 years and over;2024 December;2
4778;Nat. person without sole proprietorship;65 years and over;2024 4th quarter;7
4779;Nat. person without sole proprietorship;65 years and over;2024;29
4780;Nat. person without sole proprietorship;65 years and over;2025 January;3
4781;Nat. person without sole proprietorship;65 years and over;2025 February;0
4782;Nat. person without sole proprietorship;65 years and over;2025 March;3
4783;Nat. person without sole proprietorship;65 years and over;2025 1st quarter;6
4784;Nat. person without sole proprietorship;Age unknown;2013 January;3
4785;Nat. person without sole proprietorship;Age unknown;2013 February;1
4786;Nat. person without sole proprietorship;Age unknown;2013 March;0
4787;Nat. person without sole proprietorship;Age unknown;2013 1st quarter;4
4788;Nat. person without sole proprietorship;Age unknown;2013 April;1
4789;Nat. person without sole proprietorship;Age unknown;2013 May;5
4790;Nat. person without sole proprietorship;Age unknown;2013 June;1
4791;Nat. person without sole proprietorship;Age unknown;2013 2nd quarter;7
4792;Nat. person without sole proprietorship;Age unknown;2013 July;1
4793;Nat. person without sole proprietorship;Age unknown;2013 August;0
4794;Nat. person without sole proprietorship;Age unknown;2013 September;0
4795;Nat. person without sole proprietorship;Age unknown;2013 3rd quarter;1
4796;Nat. person without sole proprietorship;Age unknown;2013 October;1
4797;Nat. person without sole proprietorship;Age unknown;2013 November;0
4798;Nat. person without sole proprietorship;Age unknown;2013 December;1
4799;Nat. person without sole proprietorship;Age unknown;2013 4th quarter;2
4800;Nat. person without sole proprietorship;Age unknown;2013;14
4801;Nat. person without sole proprietorship;Age unknown;2014 January;0
4802;Nat. person without sole proprietorship;Age unknown;2014 February;2
4803;Nat. person without sole proprietorship;Age unknown;2014 March;1
4804;Nat. person without sole proprietorship;Age unknown;2014 1st quarter;3
4805;Nat. person without sole proprietorship;Age unknown;2014 April;0
4806;Nat. person without sole proprietorship;Age unknown;2014 May;1
4807;Nat. person without sole proprietorship;Age unknown;2014 June;1
4808;Nat. person without sole proprietorship;Age unknown;2014 2nd quarter;2
4809;Nat. person without sole proprietorship;Age unknown;2014 July;0
4810;Nat. person without sole proprietorship;Age unknown;2014 August;0
4811;Nat. person without sole proprietorship;Age unknown;2014 September;1
4812;Nat. person without sole proprietorship;Age unknown;2014 3rd quarter;1
4813;Nat. person without sole proprietorship;Age unknown;2014 October;0
4814;Nat. person without sole proprietorship;Age unknown;2014 November;0
4815;Nat. person without sole proprietorship;Age unknown;2014 December;0
4816;Nat. person without sole proprietorship;Age unknown;2014 4th quarter;0
4817;Nat. person without sole proprietorship;Age unknown;2014;6
4818;Nat. person without sole proprietorship;Age unknown;2015 January;0
4819;Nat. person without sole proprietorship;Age unknown;2015 February;0
4820;Nat. person without sole proprietorship;Age unknown;2015 March;0
4821;Nat. person without sole proprietorship;Age unknown;2015 1st quarter;0
4822;Nat. person without sole proprietorship;Age unknown;2015 April;2
4823;Nat. person without sole proprietorship;Age unknown;2015 May;0
4824;Nat. person without sole proprietorship;Age unknown;2015 June;0
4825;Nat. person without sole proprietorship;Age unknown;2015 2nd quarter;2
4826;Nat. person without sole proprietorship;Age unknown;2015 July;2
4827;Nat. person without sole proprietorship;Age unknown;2015 August;0
4828;Nat. person without sole proprietorship;Age unknown;2015 September;1
4829;Nat. person without sole proprietorship;Age unknown;2015 3rd quarter;3
4830;Nat. person without sole proprietorship;Age unknown;2015 October;0
4831;Nat. person without sole proprietorship;Age unknown;2015 November;0
4832;Nat. person without sole proprietorship;Age unknown;2015 December;3
4833;Nat. person without sole proprietorship;Age unknown;2015 4th quarter;3
4834;Nat. person without sole proprietorship;Age unknown;2015;8
4835;Nat. person without sole proprietorship;Age unknown;2016 January;0
4836;Nat. person without sole proprietorship;Age unknown;2016 February;0
4837;Nat. person without sole proprietorship;Age unknown;2016 March;0
4838;Nat. person without sole proprietorship;Age unknown;2016 1st quarter;0
4839;Nat. person without sole proprietorship;Age unknown;2016 April;0
4840;Nat. person without sole proprietorship;Age unknown;2016 May;0
4841;Nat. person without sole proprietorship;Age unknown;2016 June;1
4842;Nat. person without sole proprietorship;Age unknown;2016 2nd quarter;1
4843;Nat. person without sole proprietorship;Age unknown;2016 July;0
4844;Nat. person without sole proprietorship;Age unknown;2016 August;0
4845;Nat. person without sole proprietorship;Age unknown;2016 September;0
4846;Nat. person without sole proprietorship;Age unknown;2016 3rd quarter;0
4847;Nat. person without sole proprietorship;Age unknown;2016 October;3
4848;Nat. person without sole proprietorship;Age unknown;2016 November;0
4849;Nat. person without sole proprietorship;Age unknown;2016 December;0
4850;Nat. person without sole proprietorship;Age unknown;2016 4th quarter;3
4851;Nat. person without sole proprietorship;Age unknown;2016;4
4852;Nat. person without sole proprietorship;Age unknown;2017 January;0
4853;Nat. person without sole proprietorship;Age unknown;2017 February;0
4854;Nat. person without sole proprietorship;Age unknown;2017 March;0
4855;Nat. person without sole proprietorship;Age unknown;2017 1st quarter;0
4856;Nat. person without sole proprietorship;Age unknown;2017 April;0
4857;Nat. person without sole proprietorship;Age unknown;2017 May;0
4858;Nat. person without sole proprietorship;Age unknown;2017 June;1
4859;Nat. person without sole proprietorship;Age unknown;2017 2nd quarter;1
4860;Nat. person without sole proprietorship;Age unknown;2017 July;0
4861;Nat. person without sole proprietorship;Age unknown;2017 August;0
4862;Nat. person without sole proprietorship;Age unknown;2017 September;0
4863;Nat. person without sole proprietorship;Age unknown;2017 3rd quarter;0
4864;Nat. person without sole proprietorship;Age unknown;2017 October;0
4865;Nat. person without sole proprietorship;Age unknown;2017 November;0
4866;Nat. person without sole proprietorship;Age unknown;2017 December;0
4867;Nat. person without sole proprietorship;Age unknown;2017 4th quarter;0
4868;Nat. person without sole proprietorship;Age unknown;2017;1
4869;Nat. person without sole proprietorship;Age unknown;2018 January;0
4870;Nat. person without sole proprietorship;Age unknown;2018 February;0
4871;Nat. person without sole proprietorship;Age unknown;2018 March;0
4872;Nat. person without sole proprietorship;Age unknown;2018 1st quarter;0
4873;Nat. person without sole proprietorship;Age unknown;2018 April;0
4874;Nat. person without sole proprietorship;Age unknown;2018 May;0
4875;Nat. person without sole proprietorship;Age unknown;2018 June;0
4876;Nat. person without sole proprietorship;Age unknown;2018 2nd quarter;0
4877;Nat. person without sole proprietorship;Age unknown;2018 July;0
4878;Nat. person without sole proprietorship;Age unknown;2018 August;0
4879;Nat. person without sole proprietorship;Age unknown;2018 September;0
4880;Nat. person without sole proprietorship;Age unknown;2018 3rd quarter;0
4881;Nat. person without sole proprietorship;Age unknown;2018 October;0
4882;Nat. person without sole proprietorship;Age unknown;2018 November;0
4883;Nat. person without sole proprietorship;Age unknown;2018 December;0
4884;Nat. person without sole proprietorship;Age unknown;2018 4th quarter;0
4885;Nat. person without sole proprietorship;Age unknown;2018;0
4886;Nat. person without sole proprietorship;Age unknown;2019 January;0
4887;Nat. person without sole proprietorship;Age unknown;2019 February;0
4888;Nat. person without sole proprietorship;Age unknown;2019 March;0
4889;Nat. person without sole proprietorship;Age unknown;2019 1st quarter;0
4890;Nat. person without sole proprietorship;Age unknown;2019 April;0
