ID;Donorregistation;CharacteristicsHouseholdsPersons;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
951;Decision by designated person;Age: 12 to 17 years;2020;0.1;0
952;Decision by designated person;Age: 18 to 19 years;2014;0.4;0
953;Decision by designated person;Age: 18 to 19 years;2015;0.3;0
954;Decision by designated person;Age: 18 to 19 years;2016;0.3;0
955;Decision by designated person;Age: 18 to 19 years;2017;0.3;0
956;Decision by designated person;Age: 18 to 19 years;2018;0.8;0
957;Decision by designated person;Age: 18 to 19 years;2019;0.5;0
958;Decision by designated person;Age: 18 to 19 years;2020;0.7;0
959;Decision by designated person;Age: 20 to 29 years;2014;7.1;0
960;Decision by designated person;Age: 20 to 29 years;2015;6.6;0
961;Decision by designated person;Age: 20 to 29 years;2016;5.9;0
962;Decision by designated person;Age: 20 to 29 years;2017;5.5;0
963;Decision by designated person;Age: 20 to 29 years;2018;5.2;0
964;Decision by designated person;Age: 20 to 29 years;2019;4.9;0
965;Decision by designated person;Age: 20 to 29 years;2020;5.6;0
966;Decision by designated person;Age: 30 to 39 years;2014;15.0;1
967;Decision by designated person;Age: 30 to 39 years;2015;14.0;1
968;Decision by designated person;Age: 30 to 39 years;2016;13.5;1
969;Decision by designated person;Age: 30 to 39 years;2017;13.0;1
970;Decision by designated person;Age: 30 to 39 years;2018;12.5;1
971;Decision by designated person;Age: 30 to 39 years;2019;12.1;1
972;Decision by designated person;Age: 30 to 39 years;2020;12.4;1
973;Decision by designated person;Age: 40 to 49 years;2014;32.4;1
974;Decision by designated person;Age: 40 to 49 years;2015;31.2;1
975;Decision by designated person;Age: 40 to 49 years;2016;29.8;1
976;Decision by designated person;Age: 40 to 49 years;2017;27.7;1
977;Decision by designated person;Age: 40 to 49 years;2018;25.8;1
978;Decision by designated person;Age: 40 to 49 years;2019;24.1;1
979;Decision by designated person;Age: 40 to 49 years;2020;22.1;1
980;Decision by designated person;Age: 50 to 59 years;2014;27.1;1
981;Decision by designated person;Age: 50 to 59 years;2015;28.0;1
982;Decision by designated person;Age: 50 to 59 years;2016;28.9;1
983;Decision by designated person;Age: 50 to 59 years;2017;29.3;1
984;Decision by designated person;Age: 50 to 59 years;2018;29.7;1
985;Decision by designated person;Age: 50 to 59 years;2019;30.3;1
986;Decision by designated person;Age: 50 to 59 years;2020;30.6;1
987;Decision by designated person;Age: 60 to 69 years;2014;13.4;1
988;Decision by designated person;Age: 60 to 69 years;2015;14.7;1
989;Decision by designated person;Age: 60 to 69 years;2016;15.9;1
990;Decision by designated person;Age: 60 to 69 years;2017;16.7;1
991;Decision by designated person;Age: 60 to 69 years;2018;17.5;1
992;Decision by designated person;Age: 60 to 69 years;2019;18.6;1
993;Decision by designated person;Age: 60 to 69 years;2020;19.5;1
994;Decision by designated person;Age: 70 to 79 years;2014;5.0;0
995;Decision by designated person;Age: 70 to 79 years;2015;5.4;0
996;Decision by designated person;Age: 70 to 79 years;2016;5.8;0
997;Decision by designated person;Age: 70 to 79 years;2017;6.4;0
998;Decision by designated person;Age: 70 to 79 years;2018;7.0;0
999;Decision by designated person;Age: 70 to 79 years;2019;7.6;0
1000;Decision by designated person;Age: 70 to 79 years;2020;7.9;1
1001;Decision by designated person;Age: 80 years or older;2014;1.8;0
1002;Decision by designated person;Age: 80 years or older;2015;1.9;0
1003;Decision by designated person;Age: 80 years or older;2016;2.0;0
1004;Decision by designated person;Age: 80 years or older;2017;2.2;0
1005;Decision by designated person;Age: 80 years or older;2018;2.3;0
1006;Decision by designated person;Age: 80 years or older;2019;2.6;0
1007;Decision by designated person;Age: 80 years or older;2020;2.8;0
1008;Decision by designated person;Background: Dutch;2014;91.2;1
1009;Decision by designated person;Background: Dutch;2015;91.0;1
1010;Decision by designated person;Background: Dutch;2016;90.8;1
1011;Decision by designated person;Background: Dutch;2017;89.9;1
1012;Decision by designated person;Background: Dutch;2018;89.5;1
1013;Decision by designated person;Background: Dutch;2019;89.1;1
1014;Decision by designated person;Background: Dutch;2020;89.5;1
1015;Decision by designated person;Background: with migration background;2014;11.2;0
1016;Decision by designated person;Background: with migration background;2015;11.2;0
1017;Decision by designated person;Background: with migration background;2016;11.3;0
1018;Decision by designated person;Background: with migration background;2017;11.3;0
1019;Decision by designated person;Background: with migration background;2018;11.5;0
1020;Decision by designated person;Background: with migration background;2019;11.6;0
1021;Decision by designated person;Background: with migration background;2020;12.2;0
1022;Decision by designated person;Background: Turkey;2014;0.3;0
1023;Decision by designated person;Background: Turkey;2015;0.3;0
1024;Decision by designated person;Background: Turkey;2016;0.3;0
1025;Decision by designated person;Background: Turkey;2017;0.3;0
1026;Decision by designated person;Background: Turkey;2018;0.4;0
1027;Decision by designated person;Background: Turkey;2019;0.4;0
1028;Decision by designated person;Background: Turkey;2020;0.5;0
1029;Decision by designated person;Background: Morocco;2014;0.1;0
1030;Decision by designated person;Background: Morocco;2015;0.1;0
1031;Decision by designated person;Background: Morocco;2016;0.1;0
1032;Decision by designated person;Background: Morocco;2017;0.1;0
1033;Decision by designated person;Background: Morocco;2018;0.1;0
1034;Decision by designated person;Background: Morocco;2019;0.1;0
1035;Decision by designated person;Background: Morocco;2020;0.2;0
1036;Decision by designated person;Background: Surinam;2014;0.9;0
1037;Decision by designated person;Background: Surinam;2015;0.9;0
1038;Decision by designated person;Background: Surinam;2016;0.9;0
1039;Decision by designated person;Background: Surinam;2017;0.9;0
1040;Decision by designated person;Background: Surinam;2018;1.0;0
1041;Decision by designated person;Background: Surinam;2019;1.0;0
1042;Decision by designated person;Background: Surinam;2020;1.2;0
1043;Decision by designated person;Background: (former) Net Antilles, Aruba;2014;0.4;0
1044;Decision by designated person;Background: (former) Net Antilles, Aruba;2015;0.4;0
1045;Decision by designated person;Background: (former) Net Antilles, Aruba;2016;0.4;0
1046;Decision by designated person;Background: (former) Net Antilles, Aruba;2017;0.4;0
1047;Decision by designated person;Background: (former) Net Antilles, Aruba;2018;0.4;0
1048;Decision by designated person;Background: (former) Net Antilles, Aruba;2019;0.4;0
1049;Decision by designated person;Background: (former) Net Antilles, Aruba;2020;0.5;0
1050;Decision by designated person;Background: western;2014;8.4;1
1051;Decision by designated person;Background: western;2015;8.4;1
1052;Decision by designated person;Background: western;2016;8.4;1
1053;Decision by designated person;Background: western;2017;8.3;1
1054;Decision by designated person;Background: western;2018;8.3;1
1055;Decision by designated person;Background: western;2019;8.3;1
1056;Decision by designated person;Background: western;2020;8.4;1
1057;Decision by designated person;Background: non-western;2014;2.8;0
1058;Decision by designated person;Background: non-western;2015;2.8;0
1059;Decision by designated person;Background: non-western;2016;2.9;0
1060;Decision by designated person;Background: non-western;2017;3.0;0
1061;Decision by designated person;Background: non-western;2018;3.2;0
1062;Decision by designated person;Background: non-western;2019;3.3;0
1063;Decision by designated person;Background: non-western;2020;3.8;0
1064;Decision by designated person;Background: 1st generation;2014;4.5;0
1065;Decision by designated person;Background: 1st generation;2015;4.5;0
1066;Decision by designated person;Background: 1st generation;2016;4.5;0
1067;Decision by designated person;Background: 1st generation;2017;4.6;0
1068;Decision by designated person;Background: 1st generation;2018;4.6;0
1069;Decision by designated person;Background: 1st generation;2019;4.7;0
1070;Decision by designated person;Background: 1st generation;2020;5.0;0
1071;Decision by designated person;Background, 2nd generation;2014;6.7;1
1072;Decision by designated person;Background, 2nd generation;2015;6.7;1
1073;Decision by designated person;Background, 2nd generation;2016;6.8;1
1074;Decision by designated person;Background, 2nd generation;2017;6.8;0
1075;Decision by designated person;Background, 2nd generation;2018;6.9;0
1076;Decision by designated person;Background, 2nd generation;2019;6.9;0
1077;Decision by designated person;Background, 2nd generation;2020;7.2;0
1078;Not registered in donorregister;Total population;2014;8822.4;60
1079;Not registered in donorregister;Total population;2015;8870.7;60
1080;Not registered in donorregister;Total population;2016;8917.0;60
1081;Not registered in donorregister;Total population;2017;8837.6;59
1082;Not registered in donorregister;Total population;2018;8688.0;58
1083;Not registered in donorregister;Total population;2019;8743.3;58
1084;Not registered in donorregister;Total population;2020;8331.7;55
1085;Not registered in donorregister;Sex: male;2014;4569.3;64
1086;Not registered in donorregister;Sex: male;2015;4603.0;64
1087;Not registered in donorregister;Sex: male;2016;4636.9;64
1088;Not registered in donorregister;Sex: male;2017;4606.6;63
1089;Not registered in donorregister;Sex: male;2018;4540.4;61
1090;Not registered in donorregister;Sex: male;2019;4574.1;61
1091;Not registered in donorregister;Sex: male;2020;4389.7;58
1092;Not registered in donorregister;Sex: female;2014;4253.1;57
1093;Not registered in donorregister;Sex: female;2015;4267.6;57
1094;Not registered in donorregister;Sex: female;2016;4280.0;57
1095;Not registered in donorregister;Sex: female;2017;4231.1;56
1096;Not registered in donorregister;Sex: female;2018;4147.6;55
1097;Not registered in donorregister;Sex: female;2019;4169.2;55
1098;Not registered in donorregister;Sex: female;2020;3942.0;51
1099;Not registered in donorregister;Age: 12 to 17 years;2014;1187.6;98
1100;Not registered in donorregister;Age: 12 to 17 years;2015;1198.9;99
1101;Not registered in donorregister;Age: 12 to 17 years;2016;1208.5;99
1102;Not registered in donorregister;Age: 12 to 17 years;2017;1205.2;98
1103;Not registered in donorregister;Age: 12 to 17 years;2018;1195.2;98
1104;Not registered in donorregister;Age: 12 to 17 years;2019;1183.5;99
1105;Not registered in donorregister;Age: 12 to 17 years;2020;1164.3;99
1106;Not registered in donorregister;Age: 18 to 19 years;2014;319.6;79
1107;Not registered in donorregister;Age: 18 to 19 years;2015;324.5;81
1108;Not registered in donorregister;Age: 18 to 19 years;2016;330.2;82
1109;Not registered in donorregister;Age: 18 to 19 years;2017;337.0;82
1110;Not registered in donorregister;Age: 18 to 19 years;2018;284.0;67
1111;Not registered in donorregister;Age: 18 to 19 years;2019;342.9;79
1112;Not registered in donorregister;Age: 18 to 19 years;2020;324.5;74
1113;Not registered in donorregister;Age: 20 to 29 years;2014;1302.4;62
1114;Not registered in donorregister;Age: 20 to 29 years;2015;1320.2;62
1115;Not registered in donorregister;Age: 20 to 29 years;2016;1344.6;63
1116;Not registered in donorregister;Age: 20 to 29 years;2017;1349.1;63
1117;Not registered in donorregister;Age: 20 to 29 years;2018;1347.1;62
1118;Not registered in donorregister;Age: 20 to 29 years;2019;1371.7;62
1119;Not registered in donorregister;Age: 20 to 29 years;2020;1312.5;59
1120;Not registered in donorregister;Age: 30 to 39 years;2014;1136.2;56
1121;Not registered in donorregister;Age: 30 to 39 years;2015;1135.8;56
1122;Not registered in donorregister;Age: 30 to 39 years;2016;1134.1;56
1123;Not registered in donorregister;Age: 30 to 39 years;2017;1118.8;55
1124;Not registered in donorregister;Age: 30 to 39 years;2018;1108.9;53
1125;Not registered in donorregister;Age: 30 to 39 years;2019;1126.6;53
1126;Not registered in donorregister;Age: 30 to 39 years;2020;1095.6;51
1127;Not registered in donorregister;Age: 40 to 49 years;2014;1375.9;55
1128;Not registered in donorregister;Age: 40 to 49 years;2015;1338.0;54
1129;Not registered in donorregister;Age: 40 to 49 years;2016;1299.2;54
1130;Not registered in donorregister;Age: 40 to 49 years;2017;1241.9;53
1131;Not registered in donorregister;Age: 40 to 49 years;2018;1188.1;52
1132;Not registered in donorregister;Age: 40 to 49 years;2019;1156.1;51
1133;Not registered in donorregister;Age: 40 to 49 years;2020;1064.7;48
1134;Not registered in donorregister;Age: 50 to 59 years;2014;1226.5;51
1135;Not registered in donorregister;Age: 50 to 59 years;2015;1255.4;52
1136;Not registered in donorregister;Age: 50 to 59 years;2016;1276.4;52
1137;Not registered in donorregister;Age: 50 to 59 years;2017;1267.8;51
1138;Not registered in donorregister;Age: 50 to 59 years;2018;1252.7;50
1139;Not registered in donorregister;Age: 50 to 59 years;2019;1255.7;50
1140;Not registered in donorregister;Age: 50 to 59 years;2020;1190.7;47
1141;Not registered in donorregister;Age: 60 to 69 years;2014;1126.3;55
1142;Not registered in donorregister;Age: 60 to 69 years;2015;1121.3;54
1143;Not registered in donorregister;Age: 60 to 69 years;2016;1120.8;53
1144;Not registered in donorregister;Age: 60 to 69 years;2017;1070.2;51
1145;Not registered in donorregister;Age: 60 to 69 years;2018;1028.5;49
1146;Not registered in donorregister;Age: 60 to 69 years;2019;1007.3;48
1147;Not registered in donorregister;Age: 60 to 69 years;2020;927.7;44
1148;Not registered in donorregister;Age: 70 to 79 years;2014;716.8;59
1149;Not registered in donorregister;Age: 70 to 79 years;2015;738.1;59
1150;Not registered in donorregister;Age: 70 to 79 years;2016;754.9;59
1151;Not registered in donorregister;Age: 70 to 79 years;2017;792.9;57
1152;Not registered in donorregister;Age: 70 to 79 years;2018;822.9;56
1153;Not registered in donorregister;Age: 70 to 79 years;2019;840.4;55
1154;Not registered in donorregister;Age: 70 to 79 years;2020;798.4;50
1155;Not registered in donorregister;Age: 80 years or older;2014;430.9;60
1156;Not registered in donorregister;Age: 80 years or older;2015;438.5;60
1157;Not registered in donorregister;Age: 80 years or older;2016;448.3;60
1158;Not registered in donorregister;Age: 80 years or older;2017;454.7;60
1159;Not registered in donorregister;Age: 80 years or older;2018;460.7;59
1160;Not registered in donorregister;Age: 80 years or older;2019;459.3;58
1161;Not registered in donorregister;Age: 80 years or older;2020;453.3;55
1162;Not registered in donorregister;Background: Dutch;2014;6457.8;56
1163;Not registered in donorregister;Background: Dutch;2015;6450.1;56
1164;Not registered in donorregister;Background: Dutch;2016;6429.3;55
1165;Not registered in donorregister;Background: Dutch;2017;6320.8;54
1166;Not registered in donorregister;Background: Dutch;2018;6163.9;53
1167;Not registered in donorregister;Background: Dutch;2019;6145.5;53
1168;Not registered in donorregister;Background: Dutch;2020;5760.3;50
1169;Not registered in donorregister;Background: with migration background;2014;2364.6;78
1170;Not registered in donorregister;Background: with migration background;2015;2420.6;78
1171;Not registered in donorregister;Background: with migration background;2016;2487.7;78
1172;Not registered in donorregister;Background: with migration background;2017;2516.9;77
1173;Not registered in donorregister;Background: with migration background;2018;2524.1;74
1174;Not registered in donorregister;Background: with migration background;2019;2597.8;74
1175;Not registered in donorregister;Background: with migration background;2020;2571.4;71
1176;Not registered in donorregister;Background: Turkey;2014;298.1;90
1177;Not registered in donorregister;Background: Turkey;2015;299.4;90
1178;Not registered in donorregister;Background: Turkey;2016;301.3;90
1179;Not registered in donorregister;Background: Turkey;2017;293.0;86
1180;Not registered in donorregister;Background: Turkey;2018;282.5;82
1181;Not registered in donorregister;Background: Turkey;2019;283.3;80
1182;Not registered in donorregister;Background: Turkey;2020;268.5;74
1183;Not registered in donorregister;Background: Morocco;2014;246.9;86
1184;Not registered in donorregister;Background: Morocco;2015;253.0;86
1185;Not registered in donorregister;Background: Morocco;2016;259.1;86
1186;Not registered in donorregister;Background: Morocco;2017;247.4;81
1187;Not registered in donorregister;Background: Morocco;2018;230.2;73
1188;Not registered in donorregister;Background: Morocco;2019;232.6;72
1189;Not registered in donorregister;Background: Morocco;2020;221.1;66
1190;Not registered in donorregister;Background: Surinam;2014;246.0;81
1191;Not registered in donorregister;Background: Surinam;2015;247.4;81
1192;Not registered in donorregister;Background: Surinam;2016;248.4;80
1193;Not registered in donorregister;Background: Surinam;2017;244.8;78
1194;Not registered in donorregister;Background: Surinam;2018;238.4;76
1195;Not registered in donorregister;Background: Surinam;2019;238.8;75
1196;Not registered in donorregister;Background: Surinam;2020;225.1;70
1197;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2014;99.2;82
1198;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2015;100.5;82
1199;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2016;101.9;82
1200;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2017;102.3;81
1201;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2018;102.5;79
1202;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2019;105.1;79
1203;Not registered in donorregister;Background: (former) Net Antilles, Aruba;2020;103.7;75
1204;Not registered in donorregister;Background: western;2014;975.8;68
1205;Not registered in donorregister;Background: western;2015;998.4;69
1206;Not registered in donorregister;Background: western;2016;1018.9;69
1207;Not registered in donorregister;Background: western;2017;1031.2;69
1208;Not registered in donorregister;Background: western;2018;1048.8;68
1209;Not registered in donorregister;Background: western;2019;1082.7;68
1210;Not registered in donorregister;Background: western;2020;1081.7;66
1211;Not registered in donorregister;Background: non-western;2014;1388.7;86
1212;Not registered in donorregister;Background: non-western;2015;1422.2;86
1213;Not registered in donorregister;Background: non-western;2016;1468.7;86
1214;Not registered in donorregister;Background: non-western;2017;1485.6;83
1215;Not registered in donorregister;Background: non-western;2018;1475.3;80
1216;Not registered in donorregister;Background: non-western;2019;1515.1;79
1217;Not registered in donorregister;Background: non-western;2020;1489.7;75
1218;Not registered in donorregister;Background: 1st generation;2014;1467.4;83
1219;Not registered in donorregister;Background: 1st generation;2015;1500.6;84
1220;Not registered in donorregister;Background: 1st generation;2016;1546.3;84
1221;Not registered in donorregister;Background: 1st generation;2017;1580.3;83
1222;Not registered in donorregister;Background: 1st generation;2018;1607.3;81
1223;Not registered in donorregister;Background: 1st generation;2019;1662.6;81
1224;Not registered in donorregister;Background: 1st generation;2020;1675.1;78
1225;Not registered in donorregister;Background, 2nd generation;2014;897.2;70
1226;Not registered in donorregister;Background, 2nd generation;2015;920.0;70
1227;Not registered in donorregister;Background, 2nd generation;2016;941.4;70
1228;Not registered in donorregister;Background, 2nd generation;2017;936.5;68
1229;Not registered in donorregister;Background, 2nd generation;2018;916.8;65
1230;Not registered in donorregister;Background, 2nd generation;2019;935.2;65
1231;Not registered in donorregister;Background, 2nd generation;2020;896.3;61
