ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
4173;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;93.0;88.8
4174;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;91.8;87.6
4175;Total;Age head of household: older than 74;Type of dwelling: terraced house;Upper bound 95% confidence interval;2024;90.2;88.5
4176;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2002;93.6;88.1
4177;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2006;92.4;86.8
4178;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2009;92.8;87.1
4179;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2012;92.8;88.9
4180;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2015;91.4;87.9
4181;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2018;91.0;87.5
4182;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2021;91.8;87.5
4183;Total;Age head of household: older than 74;Type of dwelling: multi-family;Value;2024;87.8;85.8
4184;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2002;92.4;86.6
4185;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2006;91.2;85.3
4186;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2009;91.6;85.6
4187;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;91.4;87.3
4188;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;90.0;86.3
4189;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;89.6;86.0
4190;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;90.4;85.8
4191;Total;Age head of household: older than 74;Type of dwelling: multi-family;Lower bound 95% confidence interval;2024;86.2;84.1
4192;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2002;94.6;89.4
4193;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2006;93.5;88.2
4194;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2009;93.9;88.5
4195;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;94.0;90.4
4196;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;92.7;89.3
4197;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;92.2;88.9
4198;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;93.0;89.0
4199;Total;Age head of household: older than 74;Type of dwelling: multi-family;Upper bound 95% confidence interval;2024;89.3;87.3
4200;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2002;92.4;87.7
4201;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2006;91.7;86.4
4202;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2009;90.8;86.7
4203;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2012;91.3;88.3
4204;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2015;88.0;86.5
4205;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2018;88.6;84.8
4206;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2021;88.9;85.9
4207;Total;Age head of household: older than 74;Living surface: less than  75 m²;Value;2024;81.4;84.0
4208;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2002;91.1;86.0
4209;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2006;90.3;84.7
4210;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2009;89.1;85.0
4211;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;89.6;86.3
4212;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;85.5;84.1
4213;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;86.3;82.2
4214;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;86.2;82.8
4215;Total;Age head of household: older than 74;Living surface: less than  75 m²;Lower bound 95% confidence interval;2024;78.2;80.9
4216;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2002;93.6;89.1
4217;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2006;93.0;88.0
4218;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2009;92.2;88.3
4219;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;92.8;90.0
4220;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;90.1;88.5
4221;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;90.5;87.1
4222;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;91.1;88.4
4223;Total;Age head of household: older than 74;Living surface: less than  75 m²;Upper bound 95% confidence interval;2024;84.2;86.6
4224;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2002;93.5;89.1
4225;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2006;93.6;90.7
4226;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2009;95.4;88.7
4227;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2012;93.6;89.9
4228;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2015;92.0;85.9
4229;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2018;90.5;86.8
4230;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2021;91.7;86.0
4231;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Value;2024;86.4;85.1
4232;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2002;91.3;86.8
4233;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2006;91.9;88.8
4234;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2009;93.9;86.7
4235;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;91.8;87.8
4236;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;90.4;83.9
4237;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;88.8;85.1
4238;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;90.1;84.0
4239;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2024;84.5;83.2
4240;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2002;95.2;91.1
4241;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2006;94.9;92.3
4242;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2009;96.5;90.4
4243;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;95.0;91.7
4244;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;93.4;87.7
4245;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;91.9;88.4
4246;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;93.1;87.8
4247;Total;Age head of household: older than 74;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2024;88.1;86.9
4248;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2002;96.4;91.0
4249;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2006;96.1;91.3
4250;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2009;95.9;89.4
4251;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2012;95.8;92.3
4252;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2015;94.1;90.2
4253;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2018;93.6;91.2
4254;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2021;92.7;89.2
4255;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Value;2024;93.5;89.4
4256;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2002;95.0;88.8
4257;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2006;94.8;89.5
4258;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2009;94.6;87.4
4259;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;94.2;90.5
4260;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;92.6;88.6
4261;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;92.4;89.8
4262;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;91.3;87.7
4263;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2024;92.3;87.9
4264;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2002;97.4;92.7
4265;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2006;97.1;92.8
4266;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2009;96.9;91.1
4267;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;96.9;93.8
4268;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;95.3;91.7
4269;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;94.7;92.4
4270;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;93.8;90.6
4271;Total;Age head of household: older than 74;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2024;94.5;90.7
4272;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2002;97.8;94.6
4273;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2006;97.1;94.5
4274;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2009;97.9;92.2
4275;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2012;98.4;92.6
4276;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2015;98.3;92.5
4277;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2018;97.6;94.7
4278;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2021;97.3;94.6
4279;Total;Age head of household: older than 74;Living surface: 150 m² or more;Value;2024;95.6;94.1
4280;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2002;96.5;92.7
4281;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2006;95.3;92.5
4282;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2009;96.4;89.8
4283;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;96.9;90.2
4284;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;97.2;90.3
4285;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;96.4;93.1
4286;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;95.9;92.7
4287;Total;Age head of household: older than 74;Living surface: 150 m² or more;Lower bound 95% confidence interval;2024;94.2;92.6
4288;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2002;98.6;96.1
4289;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2006;98.2;96.0
4290;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2009;98.8;94.0
4291;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;99.2;94.5
4292;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;99.0;94.2
4293;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;98.4;96.0
4294;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;98.2;95.9
4295;Total;Age head of household: older than 74;Living surface: 150 m² or more;Upper bound 95% confidence interval;2024;96.7;95.3
4296;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2002;92.6;88.7
4297;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2006;91.8;88.9
4298;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2009;90.0;87.7
4299;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2012;88.8;86.7
4300;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2015;86.9;86.4
4301;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2018;88.7;86.1
4302;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2021;88.9;85.2
4303;Total;Age head of household: older than 74;Number of rooms: 2 or less;Value;2024;83.8;88.7
4304;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2002;90.5;86.1
4305;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2006;89.7;86.4
4306;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2009;87.1;84.6
4307;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2012;85.2;82.9
4308;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2015;83.3;82.9
4309;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2018;85.3;82.3
4310;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2021;84.4;80.0
4311;Total;Age head of household: older than 74;Number of rooms: 2 or less;Lower bound 95% confidence interval;2024;79.7;85.0
4312;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2002;94.2;90.8
4313;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2006;93.6;91.0
4314;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2009;92.4;90.3
4315;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2012;91.6;89.8
4316;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2015;89.8;89.3
4317;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2018;91.3;89.1
4318;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2021;92.2;89.2
4319;Total;Age head of household: older than 74;Number of rooms: 2 or less;Upper bound 95% confidence interval;2024;87.2;91.5
4320;Total;Age head of household: older than 74;Number of rooms: 3;Value;2002;94.3;89.1
4321;Total;Age head of household: older than 74;Number of rooms: 3;Value;2006;93.4;87.8
4322;Total;Age head of household: older than 74;Number of rooms: 3;Value;2009;93.9;88.3
4323;Total;Age head of household: older than 74;Number of rooms: 3;Value;2012;93.6;89.9
4324;Total;Age head of household: older than 74;Number of rooms: 3;Value;2015;92.7;88.5
4325;Total;Age head of household: older than 74;Number of rooms: 3;Value;2018;91.3;88.1
4326;Total;Age head of household: older than 74;Number of rooms: 3;Value;2021;92.6;88.6
4327;Total;Age head of household: older than 74;Number of rooms: 3;Value;2024;87.9;87.0
4328;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2002;92.9;87.3
4329;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2006;92.0;86.0
4330;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2009;92.5;86.6
4331;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2012;92.0;88.0
4332;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2015;91.2;86.8
4333;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2018;89.8;86.4
4334;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2021;91.1;86.8
4335;Total;Age head of household: older than 74;Number of rooms: 3;Lower bound 95% confidence interval;2024;86.0;85.2
4336;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2002;95.5;90.6
4337;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2006;94.6;89.3
4338;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2009;95.0;89.8
4339;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2012;94.8;91.5
4340;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2015;94.0;90.1
4341;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2018;92.6;89.5
4342;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2021;93.9;90.3
4343;Total;Age head of household: older than 74;Number of rooms: 3;Upper bound 95% confidence interval;2024;89.5;88.6
4344;Total;Age head of household: older than 74;Number of rooms: 4;Value;2002;93.7;88.8
4345;Total;Age head of household: older than 74;Number of rooms: 4;Value;2006;94.4;89.7
4346;Total;Age head of household: older than 74;Number of rooms: 4;Value;2009;95.7;88.2
4347;Total;Age head of household: older than 74;Number of rooms: 4;Value;2012;95.4;91.0
4348;Total;Age head of household: older than 74;Number of rooms: 4;Value;2015;92.6;87.2
4349;Total;Age head of household: older than 74;Number of rooms: 4;Value;2018;92.8;88.7
4350;Total;Age head of household: older than 74;Number of rooms: 4;Value;2021;90.7;86.9
4351;Total;Age head of household: older than 74;Number of rooms: 4;Value;2024;90.6;87.6
4352;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2002;92.2;86.8
4353;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2006;92.9;87.9
4354;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2009;94.5;86.4
4355;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2012;94.1;89.3
4356;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2015;90.8;85.2
4357;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2018;91.4;87.0
4358;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2021;89.0;85.1
4359;Total;Age head of household: older than 74;Number of rooms: 4;Lower bound 95% confidence interval;2024;89.1;86.0
4360;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2002;95.0;90.5
4361;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2006;95.6;91.2
4362;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2009;96.6;89.8
4363;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2012;96.4;92.4
4364;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2015;94.0;89.0
4365;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2018;94.0;90.2
4366;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2021;92.1;88.5
4367;Total;Age head of household: older than 74;Number of rooms: 4;Upper bound 95% confidence interval;2024;91.9;89.1
4368;Total;Age head of household: older than 74;Number of rooms: 5;Value;2002;96.2;93.4
4369;Total;Age head of household: older than 74;Number of rooms: 5;Value;2006;96.0;93.7
4370;Total;Age head of household: older than 74;Number of rooms: 5;Value;2009;95.2;90.1
4371;Total;Age head of household: older than 74;Number of rooms: 5;Value;2012;95.5;91.9
4372;Total;Age head of household: older than 74;Number of rooms: 5;Value;2015;94.6;88.5
4373;Total;Age head of household: older than 74;Number of rooms: 5;Value;2018;94.0;91.0
4374;Total;Age head of household: older than 74;Number of rooms: 5;Value;2021;94.1;90.6
4375;Total;Age head of household: older than 74;Number of rooms: 5;Value;2024;93.6;89.2
4376;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2002;94.2;91.0
4377;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2006;93.8;91.5
4378;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2009;93.1;87.7
4379;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2012;93.5;89.5
4380;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2015;92.6;85.9
4381;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2018;92.2;89.0
4382;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2021;92.3;88.6
4383;Total;Age head of household: older than 74;Number of rooms: 5;Lower bound 95% confidence interval;2024;91.9;87.2
4384;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2002;97.5;95.2
4385;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2006;97.4;95.4
4386;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2009;96.6;92.1
4387;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2012;97.0;93.8
4388;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2015;96.1;90.6
4389;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2018;95.4;92.7
4390;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2021;95.5;92.3
4391;Total;Age head of household: older than 74;Number of rooms: 5;Upper bound 95% confidence interval;2024;94.9;91.0
4392;Total;Age head of household: older than 74;Number of rooms: 6;Value;2002;98.9;93.5
4393;Total;Age head of household: older than 74;Number of rooms: 6;Value;2006;98.5;95.8
4394;Total;Age head of household: older than 74;Number of rooms: 6;Value;2009;95.2;91.0
4395;Total;Age head of household: older than 74;Number of rooms: 6;Value;2012;96.5;92.4
4396;Total;Age head of household: older than 74;Number of rooms: 6;Value;2015;95.7;93.0
4397;Total;Age head of household: older than 74;Number of rooms: 6;Value;2018;95.2;94.0
4398;Total;Age head of household: older than 74;Number of rooms: 6;Value;2021;97.3;92.9
4399;Total;Age head of household: older than 74;Number of rooms: 6;Value;2024;93.0;92.5
4400;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2002;97.2;89.3
4401;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2006;96.1;91.9
4402;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2009;90.6;85.7
4403;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2012;93.3;87.8
4404;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2015;92.8;89.8
4405;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2018;91.8;90.9
4406;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2021;95.3;89.6
4407;Total;Age head of household: older than 74;Number of rooms: 6;Lower bound 95% confidence interval;2024;89.5;89.2
4408;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2002;99.6;96.2
4409;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2006;99.4;97.8
4410;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2009;97.6;94.5
4411;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2012;98.2;95.3
4412;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2015;97.5;95.3
4413;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2018;97.2;96.1
4414;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2021;98.5;95.2
4415;Total;Age head of household: older than 74;Number of rooms: 6;Upper bound 95% confidence interval;2024;95.4;94.9
4416;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2002;94.7;91.6
4417;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2006;97.6;94.1
4418;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2009;98.8;92.2
4419;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2012;96.3;93.4
4420;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2015;99.6;95.3
4421;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2018;95.8;95.4
4422;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2021;96.8;91.4
4423;Total;Age head of household: older than 74;Number of rooms: 7 or more;Value;2024;94.7;91.7
4424;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2002;80.6;84.3
4425;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2006;92.5;87.4
4426;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2009;96.2;86.1
4427;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2012;89.8;87.7
4428;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2015;97.4;91.6
4429;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2018;92.5;91.8
4430;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2021;93.9;86.0
4431;Total;Age head of household: older than 74;Number of rooms: 7 or more;Lower bound 95% confidence interval;2024;91.0;87.4
4432;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2002;98.7;95.7
4433;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2006;99.2;97.3
4434;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2009;99.6;95.7
4435;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2012;98.7;96.6
4436;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2015;99.9;97.4
4437;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2018;97.7;97.4
4438;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2021;98.3;94.8
4439;Total;Age head of household: older than 74;Number of rooms: 7 or more;Upper bound 95% confidence interval;2024;97.0;94.6
4440;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2002;95.5;90.5
4441;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2006;93.1;91.5
4442;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2009;95.0;87.6
4443;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2012;94.6;90.6
4444;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2015;90.6;90.3
4445;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2018;94.0;90.8
4446;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2021;91.1;90.6
4447;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Value;2024;89.5;90.8
