ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
3666;Local intergovernmental organisations;P1 Output;2007;4450
3667;Local intergovernmental organisations;P1 Output;2008;4714
3668;Local intergovernmental organisations;P1 Output;2009;4982
3669;Local intergovernmental organisations;P1 Output;2010;5185
3670;Local intergovernmental organisations;P1 Output;2011;5318
3671;Local intergovernmental organisations;P1 Output;2012;5508
3672;Local intergovernmental organisations;P1 Output;2013;6172
3673;Local intergovernmental organisations;P1 Output;2014;6575
3674;Local intergovernmental organisations;P1 Output;2015;6775
3675;Local intergovernmental organisations;P1 Output;2016;6955
3676;Local intergovernmental organisations;P1 Output;2017;7133
3677;Local intergovernmental organisations;P1 Output;2018;7173
3678;Local intergovernmental organisations;P1 Output;2019;7365
3679;Local intergovernmental organisations;P1 Output;2020;8172
3680;Local intergovernmental organisations;P1 Output;2021;9467
3681;Local intergovernmental organisations;P1 Output;2022;9201
3682;Local intergovernmental organisations;P1 Output;2023;9042
3683;Local intergovernmental organisations;P11 Market output;1995;378
3684;Local intergovernmental organisations;P11 Market output;1996;412
3685;Local intergovernmental organisations;P11 Market output;1997;444
3686;Local intergovernmental organisations;P11 Market output;1998;491
3687;Local intergovernmental organisations;P11 Market output;1999;537
3688;Local intergovernmental organisations;P11 Market output;2000;528
3689;Local intergovernmental organisations;P11 Market output;2001;551
3690;Local intergovernmental organisations;P11 Market output;2002;554
3691;Local intergovernmental organisations;P11 Market output;2003;609
3692;Local intergovernmental organisations;P11 Market output;2004;636
3693;Local intergovernmental organisations;P11 Market output;2005;625
3694;Local intergovernmental organisations;P11 Market output;2006;670
3695;Local intergovernmental organisations;P11 Market output;2007;697
3696;Local intergovernmental organisations;P11 Market output;2008;695
3697;Local intergovernmental organisations;P11 Market output;2009;724
3698;Local intergovernmental organisations;P11 Market output;2010;727
3699;Local intergovernmental organisations;P11 Market output;2011;686
3700;Local intergovernmental organisations;P11 Market output;2012;685
3701;Local intergovernmental organisations;P11 Market output;2013;687
3702;Local intergovernmental organisations;P11 Market output;2014;686
3703;Local intergovernmental organisations;P11 Market output;2015;703
3704;Local intergovernmental organisations;P11 Market output;2016;658
3705;Local intergovernmental organisations;P11 Market output;2017;612
3706;Local intergovernmental organisations;P11 Market output;2018;567
3707;Local intergovernmental organisations;P11 Market output;2019;521
3708;Local intergovernmental organisations;P11 Market output;2020;476
3709;Local intergovernmental organisations;P11 Market output;2021;448
3710;Local intergovernmental organisations;P11 Market output;2022;467
3711;Local intergovernmental organisations;P11 Market output;2023;487
3712;Local intergovernmental organisations;P12A Own-account capital formation;1995;0
3713;Local intergovernmental organisations;P12A Own-account capital formation;1996;7
3714;Local intergovernmental organisations;P12A Own-account capital formation;1997;9
3715;Local intergovernmental organisations;P12A Own-account capital formation;1998;9
3716;Local intergovernmental organisations;P12A Own-account capital formation;1999;8
3717;Local intergovernmental organisations;P12A Own-account capital formation;2000;7
3718;Local intergovernmental organisations;P12A Own-account capital formation;2001;17
3719;Local intergovernmental organisations;P12A Own-account capital formation;2002;15
3720;Local intergovernmental organisations;P12A Own-account capital formation;2003;17
3721;Local intergovernmental organisations;P12A Own-account capital formation;2004;17
3722;Local intergovernmental organisations;P12A Own-account capital formation;2005;18
3723;Local intergovernmental organisations;P12A Own-account capital formation;2006;18
3724;Local intergovernmental organisations;P12A Own-account capital formation;2007;18
3725;Local intergovernmental organisations;P12A Own-account capital formation;2008;21
3726;Local intergovernmental organisations;P12A Own-account capital formation;2009;25
3727;Local intergovernmental organisations;P12A Own-account capital formation;2010;29
3728;Local intergovernmental organisations;P12A Own-account capital formation;2011;39
3729;Local intergovernmental organisations;P12A Own-account capital formation;2012;40
3730;Local intergovernmental organisations;P12A Own-account capital formation;2013;40
3731;Local intergovernmental organisations;P12A Own-account capital formation;2014;41
3732;Local intergovernmental organisations;P12A Own-account capital formation;2015;46
3733;Local intergovernmental organisations;P12A Own-account capital formation;2016;50
3734;Local intergovernmental organisations;P12A Own-account capital formation;2017;52
3735;Local intergovernmental organisations;P12A Own-account capital formation;2018;55
3736;Local intergovernmental organisations;P12A Own-account capital formation;2019;60
3737;Local intergovernmental organisations;P12A Own-account capital formation;2020;61
3738;Local intergovernmental organisations;P12A Own-account capital formation;2021;60
3739;Local intergovernmental organisations;P12A Own-account capital formation;2022;70
3740;Local intergovernmental organisations;P12A Own-account capital formation;2023;74
3741;Local intergovernmental organisations;P13 Non-marketoutput;1995;1934
3742;Local intergovernmental organisations;P13 Non-marketoutput;1996;1874
3743;Local intergovernmental organisations;P13 Non-marketoutput;1997;1853
3744;Local intergovernmental organisations;P13 Non-marketoutput;1998;2025
3745;Local intergovernmental organisations;P13 Non-marketoutput;1999;2016
3746;Local intergovernmental organisations;P13 Non-marketoutput;2000;2379
3747;Local intergovernmental organisations;P13 Non-marketoutput;2001;2514
3748;Local intergovernmental organisations;P13 Non-marketoutput;2002;2671
3749;Local intergovernmental organisations;P13 Non-marketoutput;2003;2885
3750;Local intergovernmental organisations;P13 Non-marketoutput;2004;3072
3751;Local intergovernmental organisations;P13 Non-marketoutput;2005;3372
3752;Local intergovernmental organisations;P13 Non-marketoutput;2006;3480
3753;Local intergovernmental organisations;P13 Non-marketoutput;2007;3735
3754;Local intergovernmental organisations;P13 Non-marketoutput;2008;3998
3755;Local intergovernmental organisations;P13 Non-marketoutput;2009;4233
3756;Local intergovernmental organisations;P13 Non-marketoutput;2010;4429
3757;Local intergovernmental organisations;P13 Non-marketoutput;2011;4593
3758;Local intergovernmental organisations;P13 Non-marketoutput;2012;4783
3759;Local intergovernmental organisations;P13 Non-marketoutput;2013;5445
3760;Local intergovernmental organisations;P13 Non-marketoutput;2014;5848
3761;Local intergovernmental organisations;P13 Non-marketoutput;2015;6026
3762;Local intergovernmental organisations;P13 Non-marketoutput;2016;6247
3763;Local intergovernmental organisations;P13 Non-marketoutput;2017;6469
3764;Local intergovernmental organisations;P13 Non-marketoutput;2018;6551
3765;Local intergovernmental organisations;P13 Non-marketoutput;2019;6784
3766;Local intergovernmental organisations;P13 Non-marketoutput;2020;7635
3767;Local intergovernmental organisations;P13 Non-marketoutput;2021;8959
3768;Local intergovernmental organisations;P13 Non-marketoutput;2022;8664
3769;Local intergovernmental organisations;P13 Non-marketoutput;2023;8481
3770;Local intergovernmental organisations;P131 Payments for non-market output;1995;400
3771;Local intergovernmental organisations;P131 Payments for non-market output;1996;524
3772;Local intergovernmental organisations;P131 Payments for non-market output;1997;477
3773;Local intergovernmental organisations;P131 Payments for non-market output;1998;517
3774;Local intergovernmental organisations;P131 Payments for non-market output;1999;545
3775;Local intergovernmental organisations;P131 Payments for non-market output;2000;494
3776;Local intergovernmental organisations;P131 Payments for non-market output;2001;534
3777;Local intergovernmental organisations;P131 Payments for non-market output;2002;506
3778;Local intergovernmental organisations;P131 Payments for non-market output;2003;504
3779;Local intergovernmental organisations;P131 Payments for non-market output;2004;513
3780;Local intergovernmental organisations;P131 Payments for non-market output;2005;512
3781;Local intergovernmental organisations;P131 Payments for non-market output;2006;506
3782;Local intergovernmental organisations;P131 Payments for non-market output;2007;523
3783;Local intergovernmental organisations;P131 Payments for non-market output;2008;551
3784;Local intergovernmental organisations;P131 Payments for non-market output;2009;603
3785;Local intergovernmental organisations;P131 Payments for non-market output;2010;642
3786;Local intergovernmental organisations;P131 Payments for non-market output;2011;679
3787;Local intergovernmental organisations;P131 Payments for non-market output;2012;718
3788;Local intergovernmental organisations;P131 Payments for non-market output;2013;670
3789;Local intergovernmental organisations;P131 Payments for non-market output;2014;737
3790;Local intergovernmental organisations;P131 Payments for non-market output;2015;807
3791;Local intergovernmental organisations;P131 Payments for non-market output;2016;801
3792;Local intergovernmental organisations;P131 Payments for non-market output;2017;710
3793;Local intergovernmental organisations;P131 Payments for non-market output;2018;713
3794;Local intergovernmental organisations;P131 Payments for non-market output;2019;746
3795;Local intergovernmental organisations;P131 Payments for non-market output;2020;754
3796;Local intergovernmental organisations;P131 Payments for non-market output;2021;857
3797;Local intergovernmental organisations;P131 Payments for non-market output;2022;919
3798;Local intergovernmental organisations;P131 Payments for non-market output;2023;970
3799;Local intergovernmental organisations;P132 Other non-market output;1995;1534
3800;Local intergovernmental organisations;P132 Other non-market output;1996;1350
3801;Local intergovernmental organisations;P132 Other non-market output;1997;1376
3802;Local intergovernmental organisations;P132 Other non-market output;1998;1508
3803;Local intergovernmental organisations;P132 Other non-market output;1999;1471
3804;Local intergovernmental organisations;P132 Other non-market output;2000;1885
3805;Local intergovernmental organisations;P132 Other non-market output;2001;1980
3806;Local intergovernmental organisations;P132 Other non-market output;2002;2165
3807;Local intergovernmental organisations;P132 Other non-market output;2003;2381
3808;Local intergovernmental organisations;P132 Other non-market output;2004;2559
3809;Local intergovernmental organisations;P132 Other non-market output;2005;2860
3810;Local intergovernmental organisations;P132 Other non-market output;2006;2974
3811;Local intergovernmental organisations;P132 Other non-market output;2007;3212
3812;Local intergovernmental organisations;P132 Other non-market output;2008;3447
3813;Local intergovernmental organisations;P132 Other non-market output;2009;3630
3814;Local intergovernmental organisations;P132 Other non-market output;2010;3787
3815;Local intergovernmental organisations;P132 Other non-market output;2011;3914
3816;Local intergovernmental organisations;P132 Other non-market output;2012;4065
3817;Local intergovernmental organisations;P132 Other non-market output;2013;4775
3818;Local intergovernmental organisations;P132 Other non-market output;2014;5111
3819;Local intergovernmental organisations;P132 Other non-market output;2015;5219
3820;Local intergovernmental organisations;P132 Other non-market output;2016;5446
3821;Local intergovernmental organisations;P132 Other non-market output;2017;5759
3822;Local intergovernmental organisations;P132 Other non-market output;2018;5838
3823;Local intergovernmental organisations;P132 Other non-market output;2019;6038
3824;Local intergovernmental organisations;P132 Other non-market output;2020;6881
3825;Local intergovernmental organisations;P132 Other non-market output;2021;8102
3826;Local intergovernmental organisations;P132 Other non-market output;2022;7745
3827;Local intergovernmental organisations;P132 Other non-market output;2023;7511
3828;Local intergovernmental organisations;P2 Intermediate consumption;1995;508
3829;Local intergovernmental organisations;P2 Intermediate consumption;1996;505
3830;Local intergovernmental organisations;P2 Intermediate consumption;1997;457
3831;Local intergovernmental organisations;P2 Intermediate consumption;1998;441
3832;Local intergovernmental organisations;P2 Intermediate consumption;1999;399
3833;Local intergovernmental organisations;P2 Intermediate consumption;2000;499
3834;Local intergovernmental organisations;P2 Intermediate consumption;2001;506
3835;Local intergovernmental organisations;P2 Intermediate consumption;2002;456
3836;Local intergovernmental organisations;P2 Intermediate consumption;2003;495
3837;Local intergovernmental organisations;P2 Intermediate consumption;2004;520
3838;Local intergovernmental organisations;P2 Intermediate consumption;2005;580
3839;Local intergovernmental organisations;P2 Intermediate consumption;2006;602
3840;Local intergovernmental organisations;P2 Intermediate consumption;2007;791
3841;Local intergovernmental organisations;P2 Intermediate consumption;2008;857
3842;Local intergovernmental organisations;P2 Intermediate consumption;2009;899
3843;Local intergovernmental organisations;P2 Intermediate consumption;2010;956
3844;Local intergovernmental organisations;P2 Intermediate consumption;2011;1019
3845;Local intergovernmental organisations;P2 Intermediate consumption;2012;1104
3846;Local intergovernmental organisations;P2 Intermediate consumption;2013;1546
3847;Local intergovernmental organisations;P2 Intermediate consumption;2014;1696
3848;Local intergovernmental organisations;P2 Intermediate consumption;2015;2029
3849;Local intergovernmental organisations;P2 Intermediate consumption;2016;2120
3850;Local intergovernmental organisations;P2 Intermediate consumption;2017;2258
3851;Local intergovernmental organisations;P2 Intermediate consumption;2018;2194
3852;Local intergovernmental organisations;P2 Intermediate consumption;2019;2299
3853;Local intergovernmental organisations;P2 Intermediate consumption;2020;2745
3854;Local intergovernmental organisations;P2 Intermediate consumption;2021;3829
3855;Local intergovernmental organisations;P2 Intermediate consumption;2022;3588
3856;Local intergovernmental organisations;P2 Intermediate consumption;2023;3190
3857;Local intergovernmental organisations;B1g Gross value added;1995;1804
3858;Local intergovernmental organisations;B1g Gross value added;1996;1788
3859;Local intergovernmental organisations;B1g Gross value added;1997;1849
3860;Local intergovernmental organisations;B1g Gross value added;1998;2084
3861;Local intergovernmental organisations;B1g Gross value added;1999;2162
3862;Local intergovernmental organisations;B1g Gross value added;2000;2415
3863;Local intergovernmental organisations;B1g Gross value added;2001;2576
3864;Local intergovernmental organisations;B1g Gross value added;2002;2784
3865;Local intergovernmental organisations;B1g Gross value added;2003;3016
3866;Local intergovernmental organisations;B1g Gross value added;2004;3205
3867;Local intergovernmental organisations;B1g Gross value added;2005;3435
3868;Local intergovernmental organisations;B1g Gross value added;2006;3566
3869;Local intergovernmental organisations;B1g Gross value added;2007;3659
3870;Local intergovernmental organisations;B1g Gross value added;2008;3857
3871;Local intergovernmental organisations;B1g Gross value added;2009;4083
3872;Local intergovernmental organisations;B1g Gross value added;2010;4229
3873;Local intergovernmental organisations;B1g Gross value added;2011;4299
3874;Local intergovernmental organisations;B1g Gross value added;2012;4404
3875;Local intergovernmental organisations;B1g Gross value added;2013;4626
3876;Local intergovernmental organisations;B1g Gross value added;2014;4879
3877;Local intergovernmental organisations;B1g Gross value added;2015;4746
3878;Local intergovernmental organisations;B1g Gross value added;2016;4835
3879;Local intergovernmental organisations;B1g Gross value added;2017;4875
3880;Local intergovernmental organisations;B1g Gross value added;2018;4979
3881;Local intergovernmental organisations;B1g Gross value added;2019;5066
3882;Local intergovernmental organisations;B1g Gross value added;2020;5427
3883;Local intergovernmental organisations;B1g Gross value added;2021;5638
3884;Local intergovernmental organisations;B1g Gross value added;2022;5613
3885;Local intergovernmental organisations;B1g Gross value added;2023;5852
3886;Local intergovernmental organisations;P51c Consumption of fixed capital;1995;225
3887;Local intergovernmental organisations;P51c Consumption of fixed capital;1996;240
3888;Local intergovernmental organisations;P51c Consumption of fixed capital;1997;227
3889;Local intergovernmental organisations;P51c Consumption of fixed capital;1998;231
3890;Local intergovernmental organisations;P51c Consumption of fixed capital;1999;243
3891;Local intergovernmental organisations;P51c Consumption of fixed capital;2000;262
3892;Local intergovernmental organisations;P51c Consumption of fixed capital;2001;290
3893;Local intergovernmental organisations;P51c Consumption of fixed capital;2002;315
3894;Local intergovernmental organisations;P51c Consumption of fixed capital;2003;331
3895;Local intergovernmental organisations;P51c Consumption of fixed capital;2004;345
3896;Local intergovernmental organisations;P51c Consumption of fixed capital;2005;348
3897;Local intergovernmental organisations;P51c Consumption of fixed capital;2006;352
3898;Local intergovernmental organisations;P51c Consumption of fixed capital;2007;360
3899;Local intergovernmental organisations;P51c Consumption of fixed capital;2008;369
3900;Local intergovernmental organisations;P51c Consumption of fixed capital;2009;387
3901;Local intergovernmental organisations;P51c Consumption of fixed capital;2010;372
3902;Local intergovernmental organisations;P51c Consumption of fixed capital;2011;378
3903;Local intergovernmental organisations;P51c Consumption of fixed capital;2012;409
3904;Local intergovernmental organisations;P51c Consumption of fixed capital;2013;425
3905;Local intergovernmental organisations;P51c Consumption of fixed capital;2014;474
3906;Local intergovernmental organisations;P51c Consumption of fixed capital;2015;497
3907;Local intergovernmental organisations;P51c Consumption of fixed capital;2016;499
3908;Local intergovernmental organisations;P51c Consumption of fixed capital;2017;521
3909;Local intergovernmental organisations;P51c Consumption of fixed capital;2018;571
3910;Local intergovernmental organisations;P51c Consumption of fixed capital;2019;596
3911;Local intergovernmental organisations;P51c Consumption of fixed capital;2020;628
3912;Local intergovernmental organisations;P51c Consumption of fixed capital;2021;609
3913;Local intergovernmental organisations;P51c Consumption of fixed capital;2022;656
3914;Local intergovernmental organisations;P51c Consumption of fixed capital;2023;695
3915;Local intergovernmental organisations;B1n Net value added;1995;1579
3916;Local intergovernmental organisations;B1n Net value added;1996;1548
3917;Local intergovernmental organisations;B1n Net value added;1997;1622
3918;Local intergovernmental organisations;B1n Net value added;1998;1853
3919;Local intergovernmental organisations;B1n Net value added;1999;1919
3920;Local intergovernmental organisations;B1n Net value added;2000;2153
3921;Local intergovernmental organisations;B1n Net value added;2001;2286
3922;Local intergovernmental organisations;B1n Net value added;2002;2469
3923;Local intergovernmental organisations;B1n Net value added;2003;2685
3924;Local intergovernmental organisations;B1n Net value added;2004;2860
3925;Local intergovernmental organisations;B1n Net value added;2005;3087
3926;Local intergovernmental organisations;B1n Net value added;2006;3214
3927;Local intergovernmental organisations;B1n Net value added;2007;3299
3928;Local intergovernmental organisations;B1n Net value added;2008;3488
3929;Local intergovernmental organisations;B1n Net value added;2009;3696
3930;Local intergovernmental organisations;B1n Net value added;2010;3857
3931;Local intergovernmental organisations;B1n Net value added;2011;3921
3932;Local intergovernmental organisations;B1n Net value added;2012;3995
3933;Local intergovernmental organisations;B1n Net value added;2013;4201
3934;Local intergovernmental organisations;B1n Net value added;2014;4405
3935;Local intergovernmental organisations;B1n Net value added;2015;4249
3936;Local intergovernmental organisations;B1n Net value added;2016;4336
3937;Local intergovernmental organisations;B1n Net value added;2017;4354
3938;Local intergovernmental organisations;B1n Net value added;2018;4408
3939;Local intergovernmental organisations;B1n Net value added;2019;4470
3940;Local intergovernmental organisations;B1n Net value added;2020;4799
3941;Local intergovernmental organisations;B1n Net value added;2021;5029
3942;Local intergovernmental organisations;B1n Net value added;2022;4957
3943;Local intergovernmental organisations;B1n Net value added;2023;5157
3944;Local intergovernmental organisations;D1 Compensation of employees;1995;1557
3945;Local intergovernmental organisations;D1 Compensation of employees;1996;1561
3946;Local intergovernmental organisations;D1 Compensation of employees;1997;1671
3947;Local intergovernmental organisations;D1 Compensation of employees;1998;1937
3948;Local intergovernmental organisations;D1 Compensation of employees;1999;2025
3949;Local intergovernmental organisations;D1 Compensation of employees;2000;2272
3950;Local intergovernmental organisations;D1 Compensation of employees;2001;2428
3951;Local intergovernmental organisations;D1 Compensation of employees;2002;2623
3952;Local intergovernmental organisations;D1 Compensation of employees;2003;2825
3953;Local intergovernmental organisations;D1 Compensation of employees;2004;2975
3954;Local intergovernmental organisations;D1 Compensation of employees;2005;3133
3955;Local intergovernmental organisations;D1 Compensation of employees;2006;3241
3956;Local intergovernmental organisations;D1 Compensation of employees;2007;3328
3957;Local intergovernmental organisations;D1 Compensation of employees;2008;3514
3958;Local intergovernmental organisations;D1 Compensation of employees;2009;3705
3959;Local intergovernmental organisations;D1 Compensation of employees;2010;3859
3960;Local intergovernmental organisations;D1 Compensation of employees;2011;3908
3961;Local intergovernmental organisations;D1 Compensation of employees;2012;3977
3962;Local intergovernmental organisations;D1 Compensation of employees;2013;4162
3963;Local intergovernmental organisations;D1 Compensation of employees;2014;4348
3964;Local intergovernmental organisations;D1 Compensation of employees;2015;4184
3965;Local intergovernmental organisations;D1 Compensation of employees;2016;4289
3966;Local intergovernmental organisations;D1 Compensation of employees;2017;4338
3967;Local intergovernmental organisations;D1 Compensation of employees;2018;4394
3968;Local intergovernmental organisations;D1 Compensation of employees;2019;4451
3969;Local intergovernmental organisations;D1 Compensation of employees;2020;4810
3970;Local intergovernmental organisations;D1 Compensation of employees;2021;5082
3971;Local intergovernmental organisations;D1 Compensation of employees;2022;5031
3972;Local intergovernmental organisations;D1 Compensation of employees;2023;5226
3973;Local intergovernmental organisations;D11 Wages and salaries;1995;1329
3974;Local intergovernmental organisations;D11 Wages and salaries;1996;1313
3975;Local intergovernmental organisations;D11 Wages and salaries;1997;1409
3976;Local intergovernmental organisations;D11 Wages and salaries;1998;1550
3977;Local intergovernmental organisations;D11 Wages and salaries;1999;1629
3978;Local intergovernmental organisations;D11 Wages and salaries;2000;1858
3979;Local intergovernmental organisations;D11 Wages and salaries;2001;1991
3980;Local intergovernmental organisations;D11 Wages and salaries;2002;2138
3981;Local intergovernmental organisations;D11 Wages and salaries;2003;2290
3982;Local intergovernmental organisations;D11 Wages and salaries;2004;2362
3983;Local intergovernmental organisations;D11 Wages and salaries;2005;2471
3984;Local intergovernmental organisations;D11 Wages and salaries;2006;2557
3985;Local intergovernmental organisations;D11 Wages and salaries;2007;2611
3986;Local intergovernmental organisations;D11 Wages and salaries;2008;2686
3987;Local intergovernmental organisations;D11 Wages and salaries;2009;2819
3988;Local intergovernmental organisations;D11 Wages and salaries;2010;2915
3989;Local intergovernmental organisations;D11 Wages and salaries;2011;2966
3990;Local intergovernmental organisations;D11 Wages and salaries;2012;2990
3991;Local intergovernmental organisations;D11 Wages and salaries;2013;3117
3992;Local intergovernmental organisations;D11 Wages and salaries;2014;3119
3993;Local intergovernmental organisations;D11 Wages and salaries;2015;3178
3994;Local intergovernmental organisations;D11 Wages and salaries;2016;3275
3995;Local intergovernmental organisations;D11 Wages and salaries;2017;3302
3996;Local intergovernmental organisations;D11 Wages and salaries;2018;3317
3997;Local intergovernmental organisations;D11 Wages and salaries;2019;3323
3998;Local intergovernmental organisations;D11 Wages and salaries;2020;3607
3999;Local intergovernmental organisations;D11 Wages and salaries;2021;3815
4000;Local intergovernmental organisations;D11 Wages and salaries;2022;3706
4001;Local intergovernmental organisations;D11 Wages and salaries;2023;3874
4002;Local intergovernmental organisations;D12 Employer's social contributions;1995;228
4003;Local intergovernmental organisations;D12 Employer's social contributions;1996;248
4004;Local intergovernmental organisations;D12 Employer's social contributions;1997;262
4005;Local intergovernmental organisations;D12 Employer's social contributions;1998;387
4006;Local intergovernmental organisations;D12 Employer's social contributions;1999;396
4007;Local intergovernmental organisations;D12 Employer's social contributions;2000;414
4008;Local intergovernmental organisations;D12 Employer's social contributions;2001;437
4009;Local intergovernmental organisations;D12 Employer's social contributions;2002;485
4010;Local intergovernmental organisations;D12 Employer's social contributions;2003;535
4011;Local intergovernmental organisations;D12 Employer's social contributions;2004;613
4012;Local intergovernmental organisations;D12 Employer's social contributions;2005;662
4013;Local intergovernmental organisations;D12 Employer's social contributions;2006;684
4014;Local intergovernmental organisations;D12 Employer's social contributions;2007;717
4015;Local intergovernmental organisations;D12 Employer's social contributions;2008;828
4016;Local intergovernmental organisations;D12 Employer's social contributions;2009;886
4017;Local intergovernmental organisations;D12 Employer's social contributions;2010;944
4018;Local intergovernmental organisations;D12 Employer's social contributions;2011;942
4019;Local intergovernmental organisations;D12 Employer's social contributions;2012;987
4020;Local intergovernmental organisations;D12 Employer's social contributions;2013;1045
4021;Local intergovernmental organisations;D12 Employer's social contributions;2014;1229
4022;Local intergovernmental organisations;D12 Employer's social contributions;2015;1006
4023;Local intergovernmental organisations;D12 Employer's social contributions;2016;1014
4024;Local intergovernmental organisations;D12 Employer's social contributions;2017;1036
4025;Local intergovernmental organisations;D12 Employer's social contributions;2018;1077
4026;Local intergovernmental organisations;D12 Employer's social contributions;2019;1128
4027;Local intergovernmental organisations;D12 Employer's social contributions;2020;1203
4028;Local intergovernmental organisations;D12 Employer's social contributions;2021;1267
4029;Local intergovernmental organisations;D12 Employer's social contributions;2022;1325
4030;Local intergovernmental organisations;D12 Employer's social contributions;2023;1352
4031;Local intergovernmental organisations;D29 Other taxes on production;1995;32
4032;Local intergovernmental organisations;D29 Other taxes on production;1996;34
4033;Local intergovernmental organisations;D29 Other taxes on production;1997;34
4034;Local intergovernmental organisations;D29 Other taxes on production;1998;36
4035;Local intergovernmental organisations;D29 Other taxes on production;1999;47
4036;Local intergovernmental organisations;D29 Other taxes on production;2000;44
4037;Local intergovernmental organisations;D29 Other taxes on production;2001;49
4038;Local intergovernmental organisations;D29 Other taxes on production;2002;47
4039;Local intergovernmental organisations;D29 Other taxes on production;2003;44
4040;Local intergovernmental organisations;D29 Other taxes on production;2004;44
4041;Local intergovernmental organisations;D29 Other taxes on production;2005;47
4042;Local intergovernmental organisations;D29 Other taxes on production;2006;47
4043;Local intergovernmental organisations;D29 Other taxes on production;2007;50
4044;Local intergovernmental organisations;D29 Other taxes on production;2008;56
4045;Local intergovernmental organisations;D29 Other taxes on production;2009;59
4046;Local intergovernmental organisations;D29 Other taxes on production;2010;59
4047;Local intergovernmental organisations;D29 Other taxes on production;2011;59
4048;Local intergovernmental organisations;D29 Other taxes on production;2012;48
4049;Local intergovernmental organisations;D29 Other taxes on production;2013;59
4050;Local intergovernmental organisations;D29 Other taxes on production;2014;64
4051;Local intergovernmental organisations;D29 Other taxes on production;2015;74
4052;Local intergovernmental organisations;D29 Other taxes on production;2016;56
4053;Local intergovernmental organisations;D29 Other taxes on production;2017;59
4054;Local intergovernmental organisations;D29 Other taxes on production;2018;61
4055;Local intergovernmental organisations;D29 Other taxes on production;2019;65
4056;Local intergovernmental organisations;D29 Other taxes on production;2020;64
4057;Local intergovernmental organisations;D29 Other taxes on production;2021;56
4058;Local intergovernmental organisations;D29 Other taxes on production;2022;59
4059;Local intergovernmental organisations;D29 Other taxes on production;2023;70
4060;Local intergovernmental organisations;D39 Other subsidies on production;1995;-10
4061;Local intergovernmental organisations;D39 Other subsidies on production;1996;-47
4062;Local intergovernmental organisations;D39 Other subsidies on production;1997;-83
4063;Local intergovernmental organisations;D39 Other subsidies on production;1998;-120
4064;Local intergovernmental organisations;D39 Other subsidies on production;1999;-153
4065;Local intergovernmental organisations;D39 Other subsidies on production;2000;-163
4066;Local intergovernmental organisations;D39 Other subsidies on production;2001;-191
4067;Local intergovernmental organisations;D39 Other subsidies on production;2002;-201
4068;Local intergovernmental organisations;D39 Other subsidies on production;2003;-184
4069;Local intergovernmental organisations;D39 Other subsidies on production;2004;-159
4070;Local intergovernmental organisations;D39 Other subsidies on production;2005;-93
4071;Local intergovernmental organisations;D39 Other subsidies on production;2006;-74
4072;Local intergovernmental organisations;D39 Other subsidies on production;2007;-79
4073;Local intergovernmental organisations;D39 Other subsidies on production;2008;-82
4074;Local intergovernmental organisations;D39 Other subsidies on production;2009;-68
4075;Local intergovernmental organisations;D39 Other subsidies on production;2010;-61
4076;Local intergovernmental organisations;D39 Other subsidies on production;2011;-46
4077;Local intergovernmental organisations;D39 Other subsidies on production;2012;-30
4078;Local intergovernmental organisations;D39 Other subsidies on production;2013;-20
4079;Local intergovernmental organisations;D39 Other subsidies on production;2014;-7
4080;Local intergovernmental organisations;D39 Other subsidies on production;2015;-9
4081;Local intergovernmental organisations;D39 Other subsidies on production;2016;-9
4082;Local intergovernmental organisations;D39 Other subsidies on production;2017;-43
4083;Local intergovernmental organisations;D39 Other subsidies on production;2018;-47
4084;Local intergovernmental organisations;D39 Other subsidies on production;2019;-46
4085;Local intergovernmental organisations;D39 Other subsidies on production;2020;-75
4086;Local intergovernmental organisations;D39 Other subsidies on production;2021;-109
4087;Local intergovernmental organisations;D39 Other subsidies on production;2022;-133
4088;Local intergovernmental organisations;D39 Other subsidies on production;2023;-139
4089;Local intergovernmental organisations;B2n Net operating surplus;1995;0
4090;Local intergovernmental organisations;B2n Net operating surplus;1996;0
4091;Local intergovernmental organisations;B2n Net operating surplus;1997;0
4092;Local intergovernmental organisations;B2n Net operating surplus;1998;0
4093;Local intergovernmental organisations;B2n Net operating surplus;1999;0
4094;Local intergovernmental organisations;B2n Net operating surplus;2000;0
4095;Local intergovernmental organisations;B2n Net operating surplus;2001;0
4096;Local intergovernmental organisations;B2n Net operating surplus;2002;0
4097;Local intergovernmental organisations;B2n Net operating surplus;2003;0
4098;Local intergovernmental organisations;B2n Net operating surplus;2004;0
4099;Local intergovernmental organisations;B2n Net operating surplus;2005;0
4100;Local intergovernmental organisations;B2n Net operating surplus;2006;0
4101;Local intergovernmental organisations;B2n Net operating surplus;2007;0
4102;Local intergovernmental organisations;B2n Net operating surplus;2008;0
4103;Local intergovernmental organisations;B2n Net operating surplus;2009;0
4104;Local intergovernmental organisations;B2n Net operating surplus;2010;0
4105;Local intergovernmental organisations;B2n Net operating surplus;2011;0
4106;Local intergovernmental organisations;B2n Net operating surplus;2012;0
4107;Local intergovernmental organisations;B2n Net operating surplus;2013;0
4108;Local intergovernmental organisations;B2n Net operating surplus;2014;0
4109;Local intergovernmental organisations;B2n Net operating surplus;2015;0
4110;Local intergovernmental organisations;B2n Net operating surplus;2016;0
