ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
6356;Total;Household with Dutch background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;708.0;512.0;197.0;32.8;;;
6357;Total;Household with Dutch background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;702.0;514.0;189.0;32.7;;;
6358;Total;Household with Dutch background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;725.0;536.0;190.0;31.8;;;
6359;Total;Household with Dutch background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;737.0;557.0;182.0;28.8;;;
6360;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Value;2012;831.0;609.0;222.0;30.2;;;
6361;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Value;2015;806.0;594.0;212.0;28.8;;;
6362;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Value;2018;836.0;625.0;211.0;28.0;;;
6363;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Value;2021;839.0;634.0;205.0;25.6;;;
6364;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;822.0;600.0;221.0;29.8;;;
6365;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;798.0;586.0;211.0;28.4;;;
6366;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;828.0;618.0;210.0;27.7;;;
6367;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;830.0;626.0;203.0;25.2;;;
6368;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;840.0;618.0;223.0;30.6;;;
6369;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;814.0;602.0;213.0;29.1;;;
6370;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;843.0;632.0;212.0;28.4;;;
6371;Total;Household with Dutch background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;848.0;643.0;206.0;26.0;;;
6372;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Value;2012;1121.0;845.0;276.0;30.0;;;
6373;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Value;2015;1093.0;833.0;259.0;28.1;;;
6374;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Value;2018;1104.0;850.0;254.0;27.9;;;
6375;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Value;2021;1135.0;885.0;250.0;25.4;;;
6376;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;1106.0;830.0;275.0;29.6;;;
6377;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;1075.0;816.0;258.0;27.7;;;
6378;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;1091.0;837.0;253.0;27.5;;;
6379;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;1119.0;870.0;248.0;24.9;;;
6380;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;1137.0;860.0;278.0;30.4;;;
6381;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;1110.0;850.0;261.0;28.5;;;
6382;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;1118.0;863.0;256.0;28.3;;;
6383;Total;Household with Dutch background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;1150.0;900.0;251.0;25.8;;;
6384;Total;Household with Dutch background;Year of construction: 1000 to 1945;Value;2012;874.0;640.0;234.0;32.4;;;
6385;Total;Household with Dutch background;Year of construction: 1000 to 1945;Value;2015;875.0;651.0;225.0;31.7;;;
6386;Total;Household with Dutch background;Year of construction: 1000 to 1945;Value;2018;900.0;674.0;226.0;31.1;;;
6387;Total;Household with Dutch background;Year of construction: 1000 to 1945;Value;2021;920.0;697.0;223.0;28.9;;;
6388;Total;Household with Dutch background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;858.0;625.0;232.0;31.9;;;
6389;Total;Household with Dutch background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;855.0;631.0;223.0;31.1;;;
6390;Total;Household with Dutch background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;885.0;660.0;224.0;30.5;;;
6391;Total;Household with Dutch background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;903.0;680.0;221.0;28.3;;;
6392;Total;Household with Dutch background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;889.0;655.0;236.0;33.0;;;
6393;Total;Household with Dutch background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;896.0;670.0;227.0;32.3;;;
6394;Total;Household with Dutch background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;914.0;688.0;228.0;31.6;;;
6395;Total;Household with Dutch background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;937.0;713.0;226.0;29.4;;;
6396;Total;Household with Dutch background;Year of construction: 1946 to 1970;Value;2012;718.0;503.0;215.0;32.2;;;
6397;Total;Household with Dutch background;Year of construction: 1946 to 1970;Value;2015;702.0;494.0;208.0;31.6;;;
6398;Total;Household with Dutch background;Year of construction: 1946 to 1970;Value;2018;729.0;522.0;206.0;31.0;;;
6399;Total;Household with Dutch background;Year of construction: 1946 to 1970;Value;2021;745.0;546.0;199.0;28.3;;;
6400;Total;Household with Dutch background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;708.0;494.0;213.0;31.8;;;
6401;Total;Household with Dutch background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;693.0;486.0;206.0;31.2;;;
6402;Total;Household with Dutch background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;720.0;514.0;205.0;30.6;;;
6403;Total;Household with Dutch background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;735.0;537.0;197.0;27.9;;;
6404;Total;Household with Dutch background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;728.0;512.0;216.0;32.5;;;
6405;Total;Household with Dutch background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;710.0;501.0;209.0;32.0;;;
6406;Total;Household with Dutch background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;737.0;530.0;208.0;31.3;;;
6407;Total;Household with Dutch background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;755.0;555.0;201.0;28.8;;;
6408;Total;Household with Dutch background;Year of construction: 1971 to 1985;Value;2012;772.0;553.0;218.0;31.0;;;
6409;Total;Household with Dutch background;Year of construction: 1971 to 1985;Value;2015;744.0;536.0;208.0;30.7;;;
6410;Total;Household with Dutch background;Year of construction: 1971 to 1985;Value;2018;760.0;553.0;208.0;30.0;;;
6411;Total;Household with Dutch background;Year of construction: 1971 to 1985;Value;2021;761.0;562.0;199.0;27.6;;;
6412;Total;Household with Dutch background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;762.0;544.0;217.0;30.6;;;
6413;Total;Household with Dutch background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;735.0;527.0;207.0;30.3;;;
6414;Total;Household with Dutch background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;752.0;545.0;206.0;29.6;;;
6415;Total;Household with Dutch background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;752.0;554.0;197.0;27.1;;;
6416;Total;Household with Dutch background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;781.0;562.0;220.0;31.4;;;
6417;Total;Household with Dutch background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;753.0;544.0;210.0;31.1;;;
6418;Total;Household with Dutch background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;769.0;561.0;209.0;30.4;;;
6419;Total;Household with Dutch background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;770.0;571.0;200.0;28.0;;;
6420;Total;Household with Dutch background;Year of construction: 1986 to 2000;Value;2012;864.0;648.0;216.0;30.4;;;
6421;Total;Household with Dutch background;Year of construction: 1986 to 2000;Value;2015;824.0;620.0;204.0;29.8;;;
6422;Total;Household with Dutch background;Year of construction: 1986 to 2000;Value;2018;825.0;622.0;203.0;28.8;;;
6423;Total;Household with Dutch background;Year of construction: 1986 to 2000;Value;2021;805.0;612.0;193.0;25.4;;;
6424;Total;Household with Dutch background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;851.0;636.0;214.0;30.0;;;
6425;Total;Household with Dutch background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;813.0;609.0;202.0;29.4;;;
6426;Total;Household with Dutch background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;815.0;612.0;202.0;28.4;;;
6427;Total;Household with Dutch background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;794.0;602.0;191.0;25.0;;;
6428;Total;Household with Dutch background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;877.0;660.0;218.0;30.9;;;
6429;Total;Household with Dutch background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;835.0;630.0;206.0;30.2;;;
6430;Total;Household with Dutch background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;835.0;631.0;205.0;29.2;;;
6431;Total;Household with Dutch background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;816.0;622.0;195.0;25.8;;;
6432;Total;Household with Dutch background;Year of construction: from 2001;Value;2012;998.0;792.0;206.0;34.3;;;
6433;Total;Household with Dutch background;Year of construction: from 2001;Value;2015;996.0;801.0;196.0;33.9;;;
6434;Total;Household with Dutch background;Year of construction: from 2001;Value;2018;992.0;797.0;195.0;32.6;;;
6435;Total;Household with Dutch background;Year of construction: from 2001;Value;2021;992.0;811.0;181.0;30.0;;;
6436;Total;Household with Dutch background;Year of construction: from 2001;Lower bound 95% confidence interval;2012;976.0;772.0;203.0;33.6;;;
6437;Total;Household with Dutch background;Year of construction: from 2001;Lower bound 95% confidence interval;2015;977.0;782.0;193.0;33.2;;;
6438;Total;Household with Dutch background;Year of construction: from 2001;Lower bound 95% confidence interval;2018;975.0;781.0;193.0;32.0;;;
6439;Total;Household with Dutch background;Year of construction: from 2001;Lower bound 95% confidence interval;2021;977.0;796.0;179.0;29.3;;;
6440;Total;Household with Dutch background;Year of construction: from 2001;Upper bound 95% confidence interval;2012;1019.0;813.0;208.0;35.0;;;
6441;Total;Household with Dutch background;Year of construction: from 2001;Upper bound 95% confidence interval;2015;1016.0;819.0;198.0;34.5;;;
6442;Total;Household with Dutch background;Year of construction: from 2001;Upper bound 95% confidence interval;2018;1008.0;812.0;197.0;33.2;;;
6443;Total;Household with Dutch background;Year of construction: from 2001;Upper bound 95% confidence interval;2021;1008.0;826.0;183.0;30.6;;;
6444;Total;Household with Dutch background;Own garden, grounds etc. : included;Value;2012;874.0;638.0;236.0;30.5;;;
6445;Total;Household with Dutch background;Own garden, grounds etc. : included;Value;2015;851.0;626.0;225.0;29.4;;;
6446;Total;Household with Dutch background;Own garden, grounds etc. : included;Value;2018;868.0;646.0;222.0;28.8;;;
6447;Total;Household with Dutch background;Own garden, grounds etc. : included;Value;2021;871.0;656.0;216.0;26.0;;;
6448;Total;Household with Dutch background;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2012;867.0;631.0;235.0;30.3;;;
6449;Total;Household with Dutch background;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2015;844.0;619.0;224.0;29.2;;;
6450;Total;Household with Dutch background;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2018;862.0;640.0;221.0;28.6;;;
6451;Total;Household with Dutch background;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2021;864.0;649.0;215.0;25.8;;;
6452;Total;Household with Dutch background;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2012;881.0;645.0;237.0;30.7;;;
6453;Total;Household with Dutch background;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2015;858.0;633.0;226.0;29.6;;;
6454;Total;Household with Dutch background;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2018;874.0;651.0;223.0;29.0;;;
6455;Total;Household with Dutch background;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2021;878.0;662.0;216.0;26.2;;;
6456;Total;Household with Dutch background;Own garden, grounds etc. : not included;Value;2012;641.0;480.0;161.0;36.0;;;
6457;Total;Household with Dutch background;Own garden, grounds etc. : not included;Value;2015;665.0;506.0;159.0;37.3;;;
6458;Total;Household with Dutch background;Own garden, grounds etc. : not included;Value;2018;678.0;516.0;161.0;36.2;;;
6459;Total;Household with Dutch background;Own garden, grounds etc. : not included;Value;2021;708.0;563.0;146.0;34.3;;;
6460;Total;Household with Dutch background;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2012;633.0;473.0;159.0;35.5;;;
6461;Total;Household with Dutch background;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2015;658.0;499.0;158.0;36.8;;;
6462;Total;Household with Dutch background;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2018;670.0;509.0;160.0;35.8;;;
6463;Total;Household with Dutch background;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2021;699.0;553.0;145.0;33.7;;;
6464;Total;Household with Dutch background;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2012;648.0;487.0;162.0;36.5;;;
6465;Total;Household with Dutch background;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2015;673.0;514.0;160.0;37.8;;;
6466;Total;Household with Dutch background;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2018;685.0;524.0;162.0;36.7;;;
6467;Total;Household with Dutch background;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2021;718.0;572.0;147.0;34.8;;;
6468;Total;Household with Dutch background;Total dwellings;Value;2012;819.0;600.0;218.0;31.8;;;
6469;Total;Household with Dutch background;Total dwellings;Value;2015;805.0;597.0;209.0;31.3;;;
6470;Total;Household with Dutch background;Total dwellings;Value;2018;823.0;615.0;208.0;30.5;;;
6471;Total;Household with Dutch background;Total dwellings;Value;2021;833.0;634.0;199.0;28.0;;;
6472;Total;Household with Dutch background;Total dwellings;Lower bound 95% confidence interval;2012;813.0;595.0;217.0;31.6;;;
6473;Total;Household with Dutch background;Total dwellings;Lower bound 95% confidence interval;2015;800.0;591.0;208.0;31.1;;;
6474;Total;Household with Dutch background;Total dwellings;Lower bound 95% confidence interval;2018;818.0;611.0;207.0;30.3;;;
6475;Total;Household with Dutch background;Total dwellings;Lower bound 95% confidence interval;2021;827.0;628.0;198.0;27.7;;;
6476;Total;Household with Dutch background;Total dwellings;Upper bound 95% confidence interval;2012;825.0;606.0;219.0;32.0;;;
6477;Total;Household with Dutch background;Total dwellings;Upper bound 95% confidence interval;2015;811.0;602.0;210.0;31.5;;;
6478;Total;Household with Dutch background;Total dwellings;Upper bound 95% confidence interval;2018;828.0;620.0;209.0;30.7;;;
6479;Total;Household with Dutch background;Total dwellings;Upper bound 95% confidence interval;2021;838.0;639.0;200.0;28.2;;;
6480;Total;Household with Dutch background;"Type of dwelling: single-family; total";Value;2012;893.0;651.0;242.0;30.3;;;
6481;Total;Household with Dutch background;"Type of dwelling: single-family; total";Value;2015;864.0;635.0;229.0;28.9;;;
6482;Total;Household with Dutch background;"Type of dwelling: single-family; total";Value;2018;883.0;656.0;227.0;28.4;;;
6483;Total;Household with Dutch background;"Type of dwelling: single-family; total";Value;2021;885.0;665.0;220.0;25.6;;;
6484;Total;Household with Dutch background;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2012;885.0;644.0;241.0;30.0;;;
6485;Total;Household with Dutch background;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2015;857.0;628.0;228.0;28.7;;;
6486;Total;Household with Dutch background;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2018;877.0;650.0;226.0;28.2;;;
6487;Total;Household with Dutch background;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2021;878.0;658.0;220.0;25.3;;;
6488;Total;Household with Dutch background;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2012;900.0;658.0;243.0;30.5;;;
6489;Total;Household with Dutch background;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2015;872.0;643.0;230.0;29.2;;;
6490;Total;Household with Dutch background;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2018;889.0;662.0;228.0;28.6;;;
6491;Total;Household with Dutch background;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2021;892.0;672.0;221.0;25.8;;;
6492;Total;Household with Dutch background;Type of dwelling: detached house;Value;2012;1078.0;785.0;293.0;30.6;;;
6493;Total;Household with Dutch background;Type of dwelling: detached house;Value;2015;1026.0;752.0;274.0;28.6;;;
6494;Total;Household with Dutch background;Type of dwelling: detached house;Value;2018;1053.0;781.0;273.0;28.3;;;
6495;Total;Household with Dutch background;Type of dwelling: detached house;Value;2021;1038.0;765.0;273.0;25.0;;;
6496;Total;Household with Dutch background;Type of dwelling: detached house;Lower bound 95% confidence interval;2012;1057.0;765.0;290.0;30.0;;;
6497;Total;Household with Dutch background;Type of dwelling: detached house;Lower bound 95% confidence interval;2015;1006.0;732.0;272.0;28.1;;;
6498;Total;Household with Dutch background;Type of dwelling: detached house;Lower bound 95% confidence interval;2018;1035.0;763.0;271.0;27.8;;;
6499;Total;Household with Dutch background;Type of dwelling: detached house;Lower bound 95% confidence interval;2021;1019.0;747.0;271.0;24.5;;;
6500;Total;Household with Dutch background;Type of dwelling: detached house;Upper bound 95% confidence interval;2012;1099.0;806.0;295.0;31.2;;;
6501;Total;Household with Dutch background;Type of dwelling: detached house;Upper bound 95% confidence interval;2015;1046.0;771.0;276.0;29.2;;;
6502;Total;Household with Dutch background;Type of dwelling: detached house;Upper bound 95% confidence interval;2018;1071.0;798.0;275.0;28.8;;;
6503;Total;Household with Dutch background;Type of dwelling: detached house;Upper bound 95% confidence interval;2021;1057.0;783.0;275.0;25.5;;;
6504;Total;Household with Dutch background;Type of dwelling: semi-detached house;Value;2012;932.0;682.0;250.0;28.9;;;
6505;Total;Household with Dutch background;Type of dwelling: semi-detached house;Value;2015;906.0;667.0;239.0;26.6;;;
6506;Total;Household with Dutch background;Type of dwelling: semi-detached house;Value;2018;915.0;681.0;234.0;26.4;;;
6507;Total;Household with Dutch background;Type of dwelling: semi-detached house;Value;2021;905.0;678.0;227.0;23.6;;;
6508;Total;Household with Dutch background;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2012;916.0;667.0;248.0;28.4;;;
6509;Total;Household with Dutch background;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2015;884.0;646.0;237.0;26.2;;;
6510;Total;Household with Dutch background;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2018;902.0;668.0;233.0;26.0;;;
6511;Total;Household with Dutch background;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2021;891.0;664.0;225.0;23.1;;;
6512;Total;Household with Dutch background;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2012;949.0;698.0;252.0;29.4;;;
6513;Total;Household with Dutch background;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2015;928.0;688.0;241.0;27.0;;;
6514;Total;Household with Dutch background;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2018;928.0;693.0;236.0;26.8;;;
6515;Total;Household with Dutch background;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2021;919.0;691.0;229.0;24.1;;;
6516;Total;Household with Dutch background;Type of dwelling: corner house;Value;2012;812.0;584.0;229.0;30.7;;;
6517;Total;Household with Dutch background;Type of dwelling: corner house;Value;2015;794.0;578.0;216.0;30.4;;;
6518;Total;Household with Dutch background;Type of dwelling: corner house;Value;2018;801.0;588.0;212.0;29.4;;;
6519;Total;Household with Dutch background;Type of dwelling: corner house;Value;2021;822.0;616.0;206.0;26.6;;;
6520;Total;Household with Dutch background;Type of dwelling: corner house;Lower bound 95% confidence interval;2012;800.0;572.0;227.0;30.2;;;
6521;Total;Household with Dutch background;Type of dwelling: corner house;Lower bound 95% confidence interval;2015;782.0;566.0;214.0;29.9;;;
6522;Total;Household with Dutch background;Type of dwelling: corner house;Lower bound 95% confidence interval;2018;790.0;578.0;211.0;28.9;;;
6523;Total;Household with Dutch background;Type of dwelling: corner house;Lower bound 95% confidence interval;2021;809.0;604.0;204.0;26.0;;;
6524;Total;Household with Dutch background;Type of dwelling: corner house;Upper bound 95% confidence interval;2012;825.0;595.0;230.0;31.2;;;
6525;Total;Household with Dutch background;Type of dwelling: corner house;Upper bound 95% confidence interval;2015;806.0;589.0;218.0;30.9;;;
6526;Total;Household with Dutch background;Type of dwelling: corner house;Upper bound 95% confidence interval;2018;812.0;599.0;214.0;29.9;;;
6527;Total;Household with Dutch background;Type of dwelling: corner house;Upper bound 95% confidence interval;2021;835.0;628.0;208.0;27.1;;;
6528;Total;Household with Dutch background;Type of dwelling: terraced house;Value;2012;809.0;593.0;216.0;30.5;;;
6529;Total;Household with Dutch background;Type of dwelling: terraced house;Value;2015;777.0;574.0;203.0;29.7;;;
6530;Total;Household with Dutch background;Type of dwelling: terraced house;Value;2018;800.0;598.0;201.0;29.1;;;
6531;Total;Household with Dutch background;Type of dwelling: terraced house;Value;2021;810.0;618.0;191.0;26.5;;;
6532;Total;Household with Dutch background;Type of dwelling: terraced house;Lower bound 95% confidence interval;2012;799.0;583.0;215.0;30.2;;;
6533;Total;Household with Dutch background;Type of dwelling: terraced house;Lower bound 95% confidence interval;2015;769.0;566.0;201.0;29.4;;;
6534;Total;Household with Dutch background;Type of dwelling: terraced house;Lower bound 95% confidence interval;2018;791.0;591.0;200.0;28.8;;;
6535;Total;Household with Dutch background;Type of dwelling: terraced house;Lower bound 95% confidence interval;2021;800.0;609.0;190.0;26.1;;;
6536;Total;Household with Dutch background;Type of dwelling: terraced house;Upper bound 95% confidence interval;2012;819.0;602.0;217.0;30.9;;;
6537;Total;Household with Dutch background;Type of dwelling: terraced house;Upper bound 95% confidence interval;2015;785.0;582.0;204.0;30.0;;;
6538;Total;Household with Dutch background;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;808.0;606.0;202.0;29.4;;;
6539;Total;Household with Dutch background;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;819.0;628.0;192.0;26.8;;;
6540;Total;Household with Dutch background;Type of dwelling: multi-family;Value;2012;633.0;473.0;160.0;35.7;;;
6541;Total;Household with Dutch background;Type of dwelling: multi-family;Value;2015;658.0;500.0;158.0;37.3;;;
6542;Total;Household with Dutch background;Type of dwelling: multi-family;Value;2018;672.0;511.0;160.0;36.0;;;
6543;Total;Household with Dutch background;Type of dwelling: multi-family;Value;2021;701.0;555.0;145.0;34.0;;;
6544;Total;Household with Dutch background;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;626.0;466.0;158.0;35.3;;;
6545;Total;Household with Dutch background;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;651.0;493.0;157.0;36.8;;;
6546;Total;Household with Dutch background;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;665.0;505.0;159.0;35.6;;;
6547;Total;Household with Dutch background;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;692.0;547.0;144.0;33.5;;;
6548;Total;Household with Dutch background;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;639.0;479.0;161.0;36.2;;;
6549;Total;Household with Dutch background;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;665.0;506.0;159.0;37.7;;;
6550;Total;Household with Dutch background;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;679.0;518.0;161.0;36.4;;;
6551;Total;Household with Dutch background;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;709.0;563.0;146.0;34.4;;;
6552;Total;Household with Dutch background;Living surface: less than  75 m²;Value;2012;605.0;427.0;178.0;33.9;;;
6553;Total;Household with Dutch background;Living surface: less than  75 m²;Value;2015;586.0;432.0;154.0;38.3;;;
6554;Total;Household with Dutch background;Living surface: less than  75 m²;Value;2018;595.0;440.0;155.0;37.2;;;
6555;Total;Household with Dutch background;Living surface: less than  75 m²;Value;2021;622.0;484.0;138.0;34.5;;;
6556;Total;Household with Dutch background;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;598.0;421.0;176.0;33.5;;;
6557;Total;Household with Dutch background;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;578.0;425.0;153.0;37.7;;;
6558;Total;Household with Dutch background;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;588.0;433.0;154.0;36.5;;;
6559;Total;Household with Dutch background;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;614.0;476.0;137.0;33.9;;;
6560;Total;Household with Dutch background;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;612.0;433.0;179.0;34.4;;;
6561;Total;Household with Dutch background;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;594.0;440.0;155.0;38.9;;;
6562;Total;Household with Dutch background;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;603.0;447.0;157.0;37.8;;;
6563;Total;Household with Dutch background;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;631.0;493.0;139.0;35.2;;;
6564;Total;Household with Dutch background;Living surface: 75 to 99 m²;Value;2012;697.0;505.0;192.0;33.0;;;
6565;Total;Household with Dutch background;Living surface: 75 to 99 m²;Value;2015;675.0;495.0;180.0;33.1;;;
6566;Total;Household with Dutch background;Living surface: 75 to 99 m²;Value;2018;688.0;508.0;180.0;32.7;;;
6567;Total;Household with Dutch background;Living surface: 75 to 99 m²;Value;2021;700.0;533.0;167.0;30.0;;;
6568;Total;Household with Dutch background;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;688.0;496.0;191.0;32.5;;;
6569;Total;Household with Dutch background;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;669.0;489.0;179.0;32.8;;;
6570;Total;Household with Dutch background;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;681.0;502.0;179.0;32.3;;;
6571;Total;Household with Dutch background;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;692.0;525.0;166.0;29.5;;;
6572;Total;Household with Dutch background;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;707.0;514.0;194.0;33.4;;;
6573;Total;Household with Dutch background;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;681.0;500.0;181.0;33.5;;;
6574;Total;Household with Dutch background;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;694.0;514.0;181.0;33.1;;;
6575;Total;Household with Dutch background;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;708.0;541.0;168.0;30.4;;;
6576;Total;Household with Dutch background;Living surface: 100 to 149 m²;Value;2012;843.0;617.0;226.0;30.3;;;
6577;Total;Household with Dutch background;Living surface: 100 to 149 m²;Value;2015;815.0;598.0;217.0;28.8;;;
6578;Total;Household with Dutch background;Living surface: 100 to 149 m²;Value;2018;836.0;621.0;215.0;28.1;;;
6579;Total;Household with Dutch background;Living surface: 100 to 149 m²;Value;2021;832.0;627.0;205.0;25.8;;;
