ID;Sex;PersonCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
548;Male;SEC: benefit claimant;2020;1.7;28.0;72.0;-3.7;1.4;2.3;8.8
549;Male;SEC: benefit claimant;2021;0.1;48.5;51.5;-4.9;-0.3;0.9;8.0
550;Male;SEC: benefit claimant;2022;2.5;42.1;57.9;-5.5;-0.7;4.8;8.1
551;Male;SEC: benefit claimant;2023;1.5;34.6;65.4;-4.0;0.6;2.6;8.0
552;Male;SEC: claiming unemployment benefit;2012;-1.9;58.5;41.5;-14.4;-4.7;0.4;7.6
553;Male;SEC: claiming unemployment benefit;2013;-2.0;57.9;42.1;-15.0;-5.1;0.6;8.5
554;Male;SEC: claiming unemployment benefit;2014;0.0;50.0;50.0;-13.3;-3.0;2.6;10.5
555;Male;SEC: claiming unemployment benefit;2015;0.2;48.9;51.1;-12.4;-2.5;2.5;10.7
556;Male;SEC: claiming unemployment benefit;2016;1.7;42.8;57.2;-11.0;-0.8;4.1;12.8
557;Male;SEC: claiming unemployment benefit;2017;0.4;48.3;51.7;-12.2;-1.9;2.7;12.0
558;Male;SEC: claiming unemployment benefit;2018;0.5;47.2;52.8;-11.9;-1.7;2.8;12.0
559;Male;SEC: claiming unemployment benefit;2019;1.1;45.5;54.5;-12.1;-1.6;3.6;12.6
560;Male;SEC: claiming unemployment benefit;2020;1.2;46.3;53.7;-14.4;-2.4;3.9;12.9
561;Male;SEC: claiming unemployment benefit;2021;1.1;46.7;53.3;-14.9;-2.4;4.5;15.3
562;Male;SEC: claiming unemployment benefit;2022;-1.2;53.5;46.5;-17.6;-5.0;2.0;11.2
563;Male;SEC: claiming unemployment benefit;2023;-0.1;50.4;49.6;-17.3;-4.4;3.5;12.0
564;Male;SEC: claiming social provision benefit;2012;-1.4;66.2;33.8;-7.8;-2.1;-0.9;5.3
565;Male;SEC: claiming social provision benefit;2013;-1.7;66.6;33.4;-9.1;-2.2;-1.1;5.3
566;Male;SEC: claiming social provision benefit;2014;1.9;30.3;69.7;-4.0;1.2;2.6;10.7
567;Male;SEC: claiming social provision benefit;2015;0.8;35.8;64.2;-4.9;0.3;1.5;8.3
568;Male;SEC: claiming social provision benefit;2016;1.3;29.8;70.2;-3.7;1.0;1.9;8.5
569;Male;SEC: claiming social provision benefit;2017;0.4;36.4;63.6;-3.3;0.1;0.9;7.0
570;Male;SEC: claiming social provision benefit;2018;-0.2;55.3;44.7;-4.1;-0.5;0.2;6.0
571;Male;SEC: claiming social provision benefit;2019;0.5;32.7;67.3;-2.3;0.2;1.0;6.5
572;Male;SEC: claiming social provision benefit;2020;1.7;22.8;77.2;-1.1;1.5;2.0;7.1
573;Male;SEC: claiming social provision benefit;2021;-0.1;52.2;47.8;-2.4;-0.3;0.4;7.0
574;Male;SEC: claiming social provision benefit;2022;4.9;27.9;72.1;-2.9;3.3;5.6;8.4
575;Male;SEC: claiming social provision benefit;2023;1.2;33.0;67.0;-2.9;0.7;2.0;6.9
576;Male;SEC: claiming disability benefit;2012;-1.1;62.5;37.5;-8.1;-2.2;-0.3;5.1
577;Male;SEC: claiming disability benefit;2013;-1.6;63.1;36.9;-8.8;-2.7;-0.5;5.2
578;Male;SEC: claiming disability benefit;2014;0.9;41.6;58.4;-6.1;-0.2;1.9;8.2
579;Male;SEC: claiming disability benefit;2015;0.3;46.8;53.2;-6.5;-0.7;1.2;7.4
580;Male;SEC: claiming disability benefit;2016;1.4;33.4;66.6;-4.6;0.8;2.7;9.5
581;Male;SEC: claiming disability benefit;2017;0.1;48.3;51.7;-6.2;-0.6;1.0;7.8
582;Male;SEC: claiming disability benefit;2018;0.1;48.5;51.5;-6.0;-0.4;0.9;7.9
583;Male;SEC: claiming disability benefit;2019;1.1;33.6;66.4;-4.6;0.5;2.1;9.0
584;Male;SEC: claiming disability benefit;2020;1.8;30.4;69.6;-4.8;1.4;2.8;9.8
585;Male;SEC: claiming disability benefit;2021;0.2;43.7;56.3;-6.4;-0.2;1.2;8.2
586;Male;SEC: claiming disability benefit;2022;-1.6;57.1;42.9;-7.7;-2.6;0.9;6.9
587;Male;SEC: claiming disability benefit;2023;2.0;34.8;65.2;-4.5;0.8;3.2;8.7
588;Male;SEC: pensioner;2012;-1.2;67.5;32.5;-5.2;-1.8;-0.7;2.4
589;Male;SEC: pensioner;2013;-3.1;76.8;23.2;-7.7;-4.0;-2.1;0.7
590;Male;SEC: pensioner;2014;0.7;39.9;60.1;-3.5;0.0;1.4;4.3
591;Male;SEC: pensioner;2015;0.0;49.8;50.2;-3.7;-0.6;0.6;3.2
592;Male;SEC: pensioner;2016;0.8;38.8;61.2;-3.0;0.1;1.3;4.0
593;Male;SEC: pensioner;2017;-0.3;55.1;44.9;-3.6;-0.8;0.3;2.9
594;Male;SEC: pensioner;2018;-0.4;61.3;38.7;-3.1;-0.8;-0.1;2.8
595;Male;SEC: pensioner;2019;0.7;32.2;67.8;-1.8;0.3;1.1;4.0
596;Male;SEC: pensioner;2020;1.1;29.8;70.2;-2.7;0.7;1.5;3.8
597;Male;SEC: pensioner;2021;-0.3;58.9;41.1;-2.9;-0.7;0.1;3.9
598;Male;SEC: pensioner;2022;-3.1;72.7;27.3;-5.7;-3.5;-2.5;2.3
599;Male;SEC: pensioner;2023;-0.6;57.4;42.6;-4.5;-1.4;0.2;2.8
600;Male;SEC: (school) child or student;2012;-0.9;54.4;45.6;-10.2;-2.9;1.2;8.1
601;Male;SEC: (school) child or student;2013;0.0;49.8;50.2;-9.7;-2.0;2.1;9.4
602;Male;SEC: (school) child or student;2014;2.7;37.4;62.6;-7.1;0.6;4.9;13.0
603;Male;SEC: (school) child or student;2015;2.7;37.6;62.4;-7.5;0.6;5.0;13.3
604;Male;SEC: (school) child or student;2016;4.9;30.0;70.0;-4.7;2.6;7.2;15.9
605;Male;SEC: (school) child or student;2017;1.9;39.5;60.5;-6.6;0.1;4.3;13.5
606;Male;SEC: (school) child or student;2018;2.1;39.4;60.6;-6.5;0.1;4.5;13.5
607;Male;SEC: (school) child or student;2019;2.8;35.7;64.3;-5.8;0.9;5.2;14.1
608;Male;SEC: (school) child or student;2020;4.4;31.7;68.3;-5.5;2.1;6.8;15.2
609;Male;SEC: (school) child or student;2021;2.9;36.0;64.0;-5.9;0.9;5.3;14.5
610;Male;SEC: (school) child or student;2022;0.4;48.4;51.6;-8.3;-1.9;2.9;11.5
611;Male;SEC: (school) child or student;2023;1.6;42.6;57.4;-7.0;-0.6;3.8;11.0
612;Male;SEC: other (without income);2012;-1.6;59.4;40.6;-11.5;-3.4;0.1;9.0
613;Male;SEC: other (without income);2013;-1.3;56.7;43.3;-12.4;-3.3;0.7;8.9
614;Male;SEC: other (without income);2014;1.7;39.6;60.4;-8.3;0.1;3.7;12.9
615;Male;SEC: other (without income);2015;0.8;44.5;55.5;-9.3;-0.7;2.6;11.8
616;Male;SEC: other (without income);2016;2.2;36.6;63.4;-7.1;0.6;4.4;13.5
617;Male;SEC: other (without income);2017;0.1;49.1;50.9;-8.7;-1.2;1.7;11.6
618;Male;SEC: other (without income);2018;0.2;48.0;52.0;-7.7;-0.8;2.1;12.3
619;Male;SEC: other (without income);2019;1.3;39.2;60.8;-6.5;0.1;3.2;13.6
620;Male;SEC: other (without income);2020;2.4;32.9;67.1;-6.7;1.1;4.4;13.7
621;Male;SEC: other (without income);2021;0.8;44.8;55.2;-7.3;-0.6;3.0;13.9
622;Male;SEC: other (without income);2022;-0.5;51.9;48.1;-9.0;-2.7;2.2;11.3
623;Male;SEC: other (without income);2023;-0.1;50.4;49.6;-9.6;-2.1;1.9;10.0
624;Female;Total persons;2012;-1.1;58.3;41.7;-9.2;-2.4;0.3;6.8
625;Female;Total persons;2013;-1.2;56.8;43.2;-9.4;-2.8;0.6;7.6
626;Female;Total persons;2014;1.8;37.3;62.7;-6.3;0.4;3.5;11.2
627;Female;Total persons;2015;1.3;40.1;59.9;-6.5;0.0;3.2;11.1
628;Female;Total persons;2016;2.7;32.3;67.7;-4.5;1.2;5.1;13.4
629;Female;Total persons;2017;0.6;44.0;56.0;-6.3;-0.5;2.4;11.1
630;Female;Total persons;2018;0.4;46.1;53.9;-6.2;-0.5;2.5;11.1
631;Female;Total persons;2019;1.4;35.4;64.6;-5.2;0.4;3.4;11.9
632;Female;Total persons;2020;2.4;31.5;68.5;-5.3;1.2;4.7;13.0
633;Female;Total persons;2021;1.2;42.3;57.7;-5.6;-0.2;3.5;12.6
634;Female;Total persons;2022;-1.1;54.6;45.4;-8.2;-2.9;1.5;9.2
635;Female;Total persons;2023;0.3;47.8;52.2;-6.9;-1.2;2.1;9.2
636;Female;Age: 0 to 14 years;2012;-0.8;54.7;45.3;-9.1;-2.6;1.0;7.3
637;Female;Age: 0 to 14 years;2013;-0.1;50.3;49.7;-8.7;-1.8;1.8;8.3
638;Female;Age: 0 to 14 years;2014;2.7;36.0;64.0;-5.8;0.9;4.6;11.9
639;Female;Age: 0 to 14 years;2015;2.5;36.8;63.2;-6.2;0.7;4.5;12.0
640;Female;Age: 0 to 14 years;2016;4.9;28.0;72.0;-3.5;2.9;7.0;14.8
641;Female;Age: 0 to 14 years;2017;1.7;39.5;60.5;-6.0;0.1;3.7;11.9
642;Female;Age: 0 to 14 years;2018;1.8;39.6;60.4;-5.9;0.1;4.0;12.1
643;Female;Age: 0 to 14 years;2019;2.5;35.6;64.4;-5.4;0.8;4.6;12.6
644;Female;Age: 0 to 14 years;2020;4.2;30.5;69.5;-4.8;2.2;6.4;14.1
645;Female;Age: 0 to 14 years;2021;2.7;35.6;64.4;-5.3;0.8;4.8;13.1
646;Female;Age: 0 to 14 years;2022;0.0;49.8;50.2;-7.8;-2.0;2.3;10.1
647;Female;Age: 0 to 14 years;2023;1.2;43.5;56.5;-6.5;-0.7;3.2;9.4
648;Female;Age: 15 to 24 years;2012;-0.3;51.0;49.0;-14.8;-3.3;2.7;12.6
649;Female;Age: 15 to 24 years;2013;0.8;47.4;52.6;-14.1;-2.3;3.9;14.5
650;Female;Age: 15 to 24 years;2014;3.5;39.2;60.8;-11.7;0.3;6.8;18.4
651;Female;Age: 15 to 24 years;2015;3.8;38.4;61.6;-12.0;0.6;7.1;19.0
652;Female;Age: 15 to 24 years;2016;5.9;32.7;67.3;-8.1;2.7;9.5;22.2
653;Female;Age: 15 to 24 years;2017;3.7;37.9;62.1;-8.9;0.7;7.3;20.2
654;Female;Age: 15 to 24 years;2018;3.9;37.3;62.7;-8.7;0.8;7.4;19.7
655;Female;Age: 15 to 24 years;2019;4.9;34.3;65.7;-7.3;1.8;8.3;20.3
656;Female;Age: 15 to 24 years;2020;5.7;33.2;66.8;-7.9;2.5;9.1;20.5
657;Female;Age: 15 to 24 years;2021;4.6;35.4;64.6;-8.0;1.5;8.2;20.4
658;Female;Age: 15 to 24 years;2022;2.0;43.8;56.2;-10.5;-1.2;5.4;17.0
659;Female;Age: 15 to 24 years;2023;3.4;38.9;61.1;-8.9;0.3;6.7;17.4
660;Female;Age: 25 to 44 years;2012;-0.8;54.4;45.6;-10.9;-2.8;1.2;8.3
661;Female;Age: 25 to 44 years;2013;-0.1;50.3;49.7;-10.5;-2.0;2.0;9.4
662;Female;Age: 25 to 44 years;2014;2.7;37.0;63.0;-7.6;0.7;4.9;13.2
663;Female;Age: 25 to 44 years;2015;2.4;38.4;61.6;-8.1;0.4;4.7;13.6
664;Female;Age: 25 to 44 years;2016;4.8;30.6;69.4;-5.5;2.5;7.2;16.5
665;Female;Age: 25 to 44 years;2017;1.5;41.2;58.8;-8.0;-0.2;3.9;13.6
666;Female;Age: 25 to 44 years;2018;1.7;41.1;58.9;-7.8;-0.2;4.2;13.9
667;Female;Age: 25 to 44 years;2019;2.5;37.1;62.9;-7.3;0.5;4.9;14.3
668;Female;Age: 25 to 44 years;2020;4.2;32.4;67.6;-6.6;1.9;6.7;15.8
669;Female;Age: 25 to 44 years;2021;2.6;37.2;62.8;-7.2;0.6;5.1;15.2
670;Female;Age: 25 to 44 years;2022;0.1;49.5;50.5;-9.7;-2.1;2.7;11.9
671;Female;Age: 25 to 44 years;2023;1.1;44.5;55.5;-8.5;-1.0;3.3;11.0
672;Female;Age: 45 to 64 years;2012;-1.4;59.0;41.0;-9.5;-3.0;0.2;7.0
673;Female;Age: 45 to 64 years;2013;-1.1;56.0;44.0;-9.8;-2.8;0.8;8.0
674;Female;Age: 45 to 64 years;2014;2.0;38.3;61.7;-6.8;0.3;3.9;12.0
675;Female;Age: 45 to 64 years;2015;1.5;40.2;59.8;-7.2;0.0;3.5;11.6
676;Female;Age: 45 to 64 years;2016;3.0;33.5;66.5;-5.4;1.2;5.2;13.5
677;Female;Age: 45 to 64 years;2017;0.5;45.7;54.3;-7.2;-0.8;2.5;11.4
678;Female;Age: 45 to 64 years;2018;0.4;47.3;52.7;-7.3;-0.8;2.4;11.1
679;Female;Age: 45 to 64 years;2019;1.5;38.4;61.6;-6.1;0.2;3.5;12.3
680;Female;Age: 45 to 64 years;2020;2.6;34.3;65.7;-6.5;1.2;4.8;13.2
681;Female;Age: 45 to 64 years;2021;1.4;41.8;58.2;-6.8;-0.2;3.6;13.0
682;Female;Age: 45 to 64 years;2022;-1.1;54.3;45.7;-9.5;-2.9;1.6;9.6
683;Female;Age: 45 to 64 years;2023;0.1;49.4;50.6;-7.8;-1.7;2.0;9.3
684;Female;Age: 65 years or older;2012;-1.2;71.2;28.8;-4.1;-1.6;-0.8;1.3
685;Female;Age: 65 years or older;2013;-2.7;79.0;21.0;-6.7;-3.6;-1.8;0.2
686;Female;Age: 65 years or older;2014;0.9;36.1;63.9;-2.6;0.3;1.4;3.4
687;Female;Age: 65 years or older;2015;0.2;45.9;54.1;-2.8;-0.3;0.7;2.4
688;Female;Age: 65 years or older;2016;0.9;36.1;63.9;-2.4;0.3;1.4;3.1
689;Female;Age: 65 years or older;2017;-0.1;51.6;48.4;-2.9;-0.6;0.4;2.2
690;Female;Age: 65 years or older;2018;-0.3;60.4;39.6;-2.5;-0.6;0.0;2.2
691;Female;Age: 65 years or older;2019;0.7;29.7;70.3;-1.2;0.4;1.0;3.4
692;Female;Age: 65 years or older;2020;1.2;26.4;73.6;-1.7;0.9;1.6;3.6
693;Female;Age: 65 years or older;2021;-0.2;57.3;42.7;-2.2;-0.5;0.1;3.8
694;Female;Age: 65 years or older;2022;-2.9;69.8;30.2;-5.2;-3.4;-2.2;3.3
695;Female;Age: 65 years or older;2023;-0.5;57.0;43.0;-4.3;-1.3;0.2;2.6
696;Female;Background: Netherlands;2012;-1.1;58.3;41.7;-8.6;-2.3;0.3;6.5
697;Female;Background: Netherlands;2013;-1.1;56.9;43.1;-8.9;-2.7;0.6;7.2
698;Female;Background: Netherlands;2014;1.8;37.2;62.8;-5.9;0.4;3.4;10.7
699;Female;Background: Netherlands;2015;1.2;40.2;59.8;-6.2;0.0;3.0;10.5
700;Female;Background: Netherlands;2016;2.6;32.2;67.8;-4.2;1.2;5.0;12.8
701;Female;Background: Netherlands;2017;0.5;44.8;55.2;-6.1;-0.5;2.1;10.3
702;Female;Background: Netherlands;2018;0.3;46.8;53.2;-6.0;-0.5;2.2;10.3
703;Female;Background: Netherlands;2019;1.3;35.3;64.7;-5.0;0.4;3.1;11.1
704;Female;Background: Netherlands;2020;2.3;31.3;68.7;-5.0;1.2;4.4;12.3
705;Female;Background: Netherlands;2021;;;;;;;
706;Female;Background: Netherlands;2022;;;;;;;
707;Female;Background: Netherlands;2023;;;;;;;
708;Female;Background: western;2012;-1.2;58.5;41.5;-10.0;-2.5;0.3;7.8
709;Female;Background: western;2013;-1.4;57.7;42.3;-10.5;-3.1;0.5;8.4
710;Female;Background: western;2014;1.8;37.5;62.5;-7.0;0.4;3.7;12.7
711;Female;Background: western;2015;1.2;40.3;59.7;-7.4;0.0;3.3;12.5
712;Female;Background: western;2016;2.5;33.4;66.6;-5.5;1.1;5.0;14.7
713;Female;Background: western;2017;0.6;44.0;56.0;-7.1;-0.5;2.5;12.5
714;Female;Background: western;2018;0.5;46.1;53.9;-6.8;-0.5;2.7;12.7
715;Female;Background: western;2019;1.4;36.0;64.0;-6.0;0.4;3.6;13.5
716;Female;Background: western;2020;2.2;33.0;67.0;-6.6;1.1;4.6;14.2
717;Female;Background: western;2021;;;;;;;
718;Female;Background: western;2022;;;;;;;
719;Female;Background: western;2023;;;;;;;
720;Female;Background: non-western;2012;-1.8;58.8;41.2;-12.6;-3.9;0.3;9.0
721;Female;Background: non-western;2013;-1.1;55.4;44.6;-12.2;-3.0;1.1;10.2
722;Female;Background: non-western;2014;2.2;38.2;61.8;-8.4;0.5;4.4;14.4
723;Female;Background: non-western;2015;2.1;39.0;61.0;-8.3;0.2;4.5;14.8
724;Female;Background: non-western;2016;3.5;32.3;67.7;-6.3;1.4;6.3;16.9
725;Female;Background: non-western;2017;1.6;38.4;61.6;-7.1;0.2;4.2;15.4
726;Female;Background: non-western;2018;1.4;42.3;57.7;-6.9;-0.2;4.3;15.7
727;Female;Background: non-western;2019;2.3;35.6;64.4;-6.3;0.5;5.1;16.1
728;Female;Background: non-western;2020;3.3;31.8;68.2;-6.2;1.5;6.3;17.3
729;Female;Background: non-western;2021;;;;;;;
730;Female;Background: non-western;2022;;;;;;;
731;Female;Background: non-western;2023;;;;;;;
732;Female;Pos. in hh.: main earner;2012;-1.1;61.8;38.2;-7.3;-2.0;-0.2;5.5
733;Female;Pos. in hh.: main earner;2013;-1.4;61.4;38.6;-8.2;-2.5;-0.2;5.9
734;Female;Pos. in hh.: main earner;2014;1.7;34.2;65.8;-4.6;0.7;2.7;9.6
735;Female;Pos. in hh.: main earner;2015;1.1;37.2;62.8;-4.7;0.3;2.1;9.4
736;Female;Pos. in hh.: main earner;2016;1.7;31.5;68.5;-3.6;1.0;3.2;10.6
737;Female;Pos. in hh.: main earner;2017;0.4;43.7;56.3;-5.1;-0.3;1.1;8.2
738;Female;Pos. in hh.: main earner;2018;0.0;50.0;50.0;-4.8;-0.5;0.9;8.3
739;Female;Pos. in hh.: main earner;2019;1.0;33.1;66.9;-3.7;0.4;1.9;9.0
740;Female;Pos. in hh.: main earner;2020;1.9;27.5;72.5;-3.2;1.3;3.0;10.4
741;Female;Pos. in hh.: main earner;2021;0.3;44.9;55.1;-3.8;-0.2;1.9;10.2
742;Female;Pos. in hh.: main earner;2022;-1.1;54.2;45.8;-6.2;-2.6;1.8;7.6
743;Female;Pos. in hh.: main earner;2023;0.2;48.0;52.0;-5.3;-1.0;1.5;7.7
744;Female;Pos. in hh.: main earner without partner;2012;-1.1;64.2;35.8;-6.2;-1.9;-0.5;4.2
745;Female;Pos. in hh.: main earner without partner;2013;-1.5;64.6;35.4;-7.3;-2.5;-0.5;4.3
746;Female;Pos. in hh.: main earner without partner;2014;1.6;32.8;67.2;-3.6;0.8;2.3;7.8
747;Female;Pos. in hh.: main earner without partner;2015;1.0;36.1;63.9;-3.6;0.3;1.6;7.6
748;Female;Pos. in hh.: main earner without partner;2016;1.5;30.7;69.3;-2.9;1.0;2.3;8.5
749;Female;Pos. in hh.: main earner without partner;2017;0.4;43.2;56.8;-4.1;-0.2;0.9;6.2
750;Female;Pos. in hh.: main earner without partner;2018;-0.1;51.9;48.1;-3.9;-0.4;0.4;6.3
751;Female;Pos. in hh.: main earner without partner;2019;0.9;31.3;68.7;-2.7;0.5;1.5;7.1
752;Female;Pos. in hh.: main earner without partner;2020;1.7;25.3;74.7;-2.0;1.3;2.4;8.5
753;Female;Pos. in hh.: main earner without partner;2021;0.1;47.0;53.0;-2.9;-0.3;1.1;7.8
754;Female;Pos. in hh.: main earner without partner;2022;-1.0;53.8;46.2;-5.0;-2.5;2.0;6.7
755;Female;Pos. in hh.: main earner without partner;2023;0.2;47.6;52.4;-4.5;-0.8;1.3;6.9
756;Female;Pos. in hh.: main earner with partner;2012;-1.1;56.6;43.4;-9.2;-2.6;0.6;7.1
757;Female;Pos. in hh.: main earner with partner;2013;-0.7;53.8;46.2;-9.3;-2.7;1.2;8.0
758;Female;Pos. in hh.: main earner with partner;2014;2.2;37.0;63.0;-6.2;0.6;4.2;11.7
759;Female;Pos. in hh.: main earner with partner;2015;1.6;40.1;59.9;-6.5;0.0;3.6;11.3
760;Female;Pos. in hh.: main earner with partner;2016;3.5;31.5;68.5;-4.2;1.5;5.8;13.8
761;Female;Pos. in hh.: main earner with partner;2017;0.7;44.9;55.1;-6.3;-0.6;2.6;10.6
762;Female;Pos. in hh.: main earner with partner;2018;0.7;45.5;54.5;-6.0;-0.6;2.7;10.6
763;Female;Pos. in hh.: main earner with partner;2019;1.6;36.8;63.2;-5.2;0.4;3.5;11.2
764;Female;Pos. in hh.: main earner with partner;2020;2.9;31.8;68.2;-4.9;1.3;5.2;12.8
765;Female;Pos. in hh.: main earner with partner;2021;1.5;41.0;59.0;-5.5;-0.1;3.7;11.9
766;Female;Pos. in hh.: main earner with partner;2022;-1.4;56.4;43.6;-8.3;-3.1;0.9;8.4
767;Female;Pos. in hh.: main earner with partner;2023;0.1;49.6;50.4;-6.8;-1.4;1.7;7.8
768;Female;Pos. in hh.: partner of main earner;2012;-1.2;59.1;40.9;-7.9;-2.4;0.1;5.6
769;Female;Pos. in hh.: partner of main earner;2013;-1.4;58.5;41.5;-8.2;-3.0;0.3;6.0
770;Female;Pos. in hh.: partner of main earner;2014;1.6;37.6;62.4;-5.0;0.3;3.2;9.5
771;Female;Pos. in hh.: partner of main earner;2015;0.9;42.3;57.7;-5.3;-0.3;2.6;9.0
772;Female;Pos. in hh.: partner of main earner;2016;2.5;32.6;67.4;-3.5;1.0;4.6;11.5
773;Female;Pos. in hh.: partner of main earner;2017;0.3;46.6;53.4;-5.3;-0.7;1.9;9.0
774;Female;Pos. in hh.: partner of main earner;2018;0.3;47.6;52.4;-5.2;-0.6;2.1;9.2
775;Female;Pos. in hh.: partner of main earner;2019;1.3;35.4;64.6;-4.2;0.4;3.0;10.0
776;Female;Pos. in hh.: partner of main earner;2020;2.1;31.5;68.5;-4.2;1.0;4.2;11.2
777;Female;Pos. in hh.: partner of main earner;2021;0.9;44.1;55.9;-4.9;-0.4;2.9;10.4
778;Female;Pos. in hh.: partner of main earner;2022;-2.1;59.8;40.2;-7.7;-3.3;0.0;7.0
779;Female;Pos. in hh.: partner of main earner;2023;-0.1;51.0;49.0;-6.4;-1.5;1.3;7.0
780;Female;Pos. in hh.: child underage;2012;-0.7;53.6;46.4;-8.8;-2.5;1.3;7.6
781;Female;Pos. in hh.: child underage;2013;0.2;49.1;50.9;-8.3;-1.7;2.1;8.7
782;Female;Pos. in hh.: child underage;2014;2.9;35.2;64.8;-5.5;1.0;4.9;12.4
783;Female;Pos. in hh.: child underage;2015;2.8;35.9;64.1;-5.9;0.9;4.9;12.4
784;Female;Pos. in hh.: child underage;2016;5.1;27.6;72.4;-3.2;3.0;7.2;15.1
785;Female;Pos. in hh.: child underage;2017;1.9;38.5;61.5;-5.6;0.3;4.1;12.4
786;Female;Pos. in hh.: child underage;2018;2.1;38.4;61.6;-5.5;0.3;4.4;12.6
787;Female;Pos. in hh.: child underage;2019;2.8;34.3;65.7;-4.9;1.0;5.1;13.2
788;Female;Pos. in hh.: child underage;2020;4.5;29.8;70.2;-4.4;2.4;6.8;14.6
789;Female;Pos. in hh.: child underage;2021;3.0;34.6;65.4;-5.0;1.1;5.2;13.7
790;Female;Pos. in hh.: child underage;2022;0.4;48.3;51.7;-7.4;-1.7;2.7;10.7
791;Female;Pos. in hh.: child underage;2023;1.5;42.2;57.8;-6.2;-0.4;3.6;10.1
792;Female;Pos. in hh.: child of age;2012;0.3;48.9;51.1;-9.3;-2.1;2.8;10.5
793;Female;Pos. in hh.: child of age;2013;1.2;45.4;54.6;-8.6;-1.3;3.9;12.1
794;Female;Pos. in hh.: child of age;2014;4.0;34.7;65.3;-6.0;1.4;6.9;15.9
795;Female;Pos. in hh.: child of age;2015;4.3;34.5;65.5;-5.9;1.5;7.3;16.4
796;Female;Pos. in hh.: child of age;2016;6.4;28.4;71.6;-3.7;3.5;9.6;19.3
797;Female;Pos. in hh.: child of age;2017;4.1;35.0;65.0;-5.3;1.3;7.4;17.3
798;Female;Pos. in hh.: child of age;2018;4.3;34.5;65.5;-5.3;1.5;7.5;17.2
799;Female;Pos. in hh.: child of age;2019;5.2;31.1;68.9;-4.5;2.4;8.4;18.0
800;Female;Pos. in hh.: child of age;2020;5.9;29.8;70.2;-4.7;3.0;9.1;18.9
801;Female;Pos. in hh.: child of age;2021;5.1;31.9;68.1;-4.7;2.2;8.5;18.7
802;Female;Pos. in hh.: child of age;2022;2.1;42.8;57.2;-7.6;-0.8;5.4;15.1
803;Female;Pos. in hh.: child of age;2023;3.8;35.3;64.7;-5.6;1.2;6.8;15.6
804;Female;Pos. in hh.: other member;2012;-1.6;57.9;42.1;-11.8;-3.8;0.5;8.4
805;Female;Pos. in hh.: other member;2013;-1.2;55.9;44.1;-11.2;-3.4;0.9;9.2
806;Female;Pos. in hh.: other member;2014;1.8;40.8;59.2;-8.0;-0.2;4.0;13.2
807;Female;Pos. in hh.: other member;2015;1.4;42.6;57.4;-8.3;-0.5;4.0;13.6
808;Female;Pos. in hh.: other member;2016;3.3;35.8;64.2;-6.5;1.0;5.9;15.6
809;Female;Pos. in hh.: other member;2017;1.2;43.7;56.3;-7.5;-0.6;3.9;14.5
810;Female;Pos. in hh.: other member;2018;1.4;43.2;56.8;-7.6;-0.5;4.1;14.3
811;Female;Pos. in hh.: other member;2019;2.3;37.5;62.5;-6.5;0.5;5.0;14.9
812;Female;Pos. in hh.: other member;2020;3.2;35.0;65.0;-6.8;1.2;5.9;15.5
813;Female;Pos. in hh.: other member;2021;2.4;38.4;61.6;-6.8;0.3;5.2;15.4
814;Female;Pos. in hh.: other member;2022;-0.7;53.0;47.0;-9.7;-3.0;2.0;12.0
815;Female;Pos. in hh.: other member;2023;1.3;43.7;56.3;-7.6;-0.8;3.7;11.8
816;Female;SEC: employee;2012;-0.7;54.1;45.9;-8.8;-2.5;1.1;7.3
817;Female;SEC: employee;2013;0.3;48.5;51.5;-8.1;-1.5;2.1;8.8
818;Female;SEC: employee;2014;2.9;34.9;65.1;-5.6;1.1;4.8;11.9
819;Female;SEC: employee;2015;2.6;36.1;63.9;-5.8;0.8;4.6;12.2
820;Female;SEC: employee;2016;4.9;28.2;71.8;-3.5;3.0;7.0;14.9
821;Female;SEC: employee;2017;1.4;42.2;57.8;-6.3;-0.4;3.5;11.7
822;Female;SEC: employee;2018;1.5;41.6;58.4;-6.3;-0.3;3.7;11.9
823;Female;SEC: employee;2019;2.5;36.1;63.9;-5.4;0.7;4.6;12.8
824;Female;SEC: employee;2020;4.1;31.1;68.9;-4.8;2.2;6.3;14.1
825;Female;SEC: employee;2021;2.5;36.2;63.8;-5.6;0.7;4.8;13.4
826;Female;SEC: employee;2022;-0.6;53.1;46.9;-8.5;-2.5;1.6;9.8
827;Female;SEC: employee;2023;0.7;46.3;53.7;-7.0;-1.2;2.8;10.0
828;Female;SEC: self-employed (total);2012;-2.0;55.8;44.2;-17.8;-5.7;1.7;15.2
829;Female;SEC: self-employed (total);2013;-2.2;56.0;44.0;-18.2;-6.0;1.6;15.3
830;Female;SEC: self-employed (total);2014;2.8;42.3;57.7;-12.5;-0.9;7.2;24.1
831;Female;SEC: self-employed (total);2015;2.0;44.5;55.5;-14.8;-1.8;6.2;20.9
832;Female;SEC: self-employed (total);2016;4.4;38.5;61.5;-10.7;0.6;8.8;24.4
833;Female;SEC: self-employed (total);2017;2.1;44.4;55.6;-12.5;-1.5;6.5;22.2
