ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
5478;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Eindhoven;2021;70.2;68.4
5479;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Eindhoven;2024;60.0;66.0
5480;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2002;76.5;69.4
5481;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2006;82.2;76.0
5482;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2009;80.5;72.4
5483;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2012;70.5;73.2
5484;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2015;;
5485;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2018;;
5486;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2021;;
5487;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Emmen;2024;;
5488;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2002;79.3;69.4
5489;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2006;77.4;74.0
5490;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2009;78.7;69.0
5491;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2012;67.1;59.0
5492;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2015;59.7;58.6
5493;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2018;62.4;63.6
5494;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2021;76.0;69.6
5495;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Enschede;2024;65.2;67.6
5496;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2002;76.1;67.1
5497;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2006;74.1;62.8
5498;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2009;79.1;69.4
5499;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2012;73.8;70.7
5500;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2015;69.9;67.4
5501;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2018;68.5;69.9
5502;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2021;64.9;66.2
5503;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Gravenhage (municipality);2024;58.3;65.0
5504;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2002;73.2;71.7
5505;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2006;81.1;73.3
5506;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2009;71.0;65.6
5507;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2012;73.9;85.1
5508;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2015;65.2;53.1
5509;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2018;64.1;69.4
5510;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2021;69.7;66.8
5511;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Groningen (municipality);2024;69.8;59.8
5512;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2002;69.8;74.0
5513;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2006;88.6;69.7
5514;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2009;83.8;70.0
5515;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2012;74.7;74.6
5516;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2015;74.2;61.7
5517;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2018;75.0;75.2
5518;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2021;59.4;70.2
5519;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlem;2024;63.1;58.2
5520;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2002;84.0;58.9
5521;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2006;81.8;72.1
5522;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2009;77.7;68.8
5523;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2012;77.7;72.5
5524;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2015;81.2;62.3
5525;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2018;75.4;83.9
5526;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2021;82.6;79.6
5527;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Haarlemmermeer;2024;;
5528;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2002;79.0;69.9
5529;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2006;78.0;68.8
5530;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2009;89.6;70.4
5531;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2012;69.7;75.6
5532;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2015;62.6;72.4
5533;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2018;65.0;75.5
5534;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2021;78.7;76.1
5535;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;'s-Hertogenbosch;2024;48.8;51.2
5536;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2002;82.3;70.9
5537;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2006;64.6;67.3
5538;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2009;66.4;58.1
5539;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2012;74.1;61.2
5540;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2015;55.7;54.3
5541;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2018;66.0;60.7
5542;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2021;67.0;76.0
5543;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leeuwarden;2024;41.1;53.7
5544;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2002;80.2;69.9
5545;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2006;81.5;68.5
5546;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2009;75.0;67.7
5547;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2012;65.6;52.7
5548;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2015;64.4;73.8
5549;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2018;63.8;64.2
5550;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2021;;
5551;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Leiden;2024;;
5552;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2002;68.2;60.9
5553;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2006;77.4;57.5
5554;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2009;82.1;63.4
5555;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2012;74.3;57.4
5556;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2015;64.1;63.7
5557;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2018;61.2;61.7
5558;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2021;52.7;58.5
5559;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Maastricht;2024;;
5560;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2002;74.3;71.0
5561;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2006;68.1;65.3
5562;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2009;80.0;71.1
5563;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2012;78.0;70.7
5564;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2015;74.0;72.1
5565;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2018;64.5;62.5
5566;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2021;56.5;58.3
5567;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Nijmegen;2024;68.4;69.1
5568;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2002;72.2;63.4
5569;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2006;70.8;64.2
5570;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2009;73.1;64.1
5571;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2012;66.8;54.2
5572;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2015;67.2;61.5
5573;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2018;69.3;66.9
5574;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2021;62.1;61.4
5575;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Rotterdam;2024;58.5;66.4
5576;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2002;84.6;73.8
5577;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2006;75.0;66.3
5578;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2009;78.1;68.1
5579;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2012;76.0;68.3
5580;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2015;67.5;54.1
5581;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2018;72.8;59.5
5582;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2021;68.2;60.7
5583;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Tilburg;2024;61.2;67.7
5584;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2002;82.5;72.5
5585;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2006;79.5;70.4
5586;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2009;83.6;70.2
5587;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2012;77.3;71.8
5588;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2015;75.2;68.6
5589;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2018;76.1;68.5
5590;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2021;71.8;76.3
5591;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Utrecht (municipality);2024;73.4;69.0
5592;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2002;83.3;72.0
5593;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2006;;
5594;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2009;68.4;53.1
5595;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2012;59.3;59.1
5596;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2015;;
5597;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2018;50.9;65.6
5598;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2021;69.8;62.2
5599;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Venlo;2024;53.3;51.0
5600;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2002;;
5601;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2006;86.5;82.3
5602;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2009;83.0;74.1
5603;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2012;81.9;73.2
5604;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2015;77.4;71.6
5605;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2018;82.4;74.3
5606;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2021;;
5607;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Westland;2024;;
5608;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2002;62.7;70.9
5609;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2006;81.4;76.3
5610;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2009;75.5;69.7
5611;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2012;78.0;69.3
5612;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2015;67.5;63.4
5613;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2018;71.8;70.3
5614;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2021;54.4;55.7
5615;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zaanstad;2024;69.5;66.8
5616;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2002;81.5;66.3
5617;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2006;81.4;70.2
5618;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2009;84.7;77.1
5619;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2012;87.2;77.9
5620;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2015;75.9;62.0
5621;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2018;70.4;69.2
5622;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2021;57.7;62.6
5623;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zoetermeer;2024;56.5;57.0
5624;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2002;74.7;67.7
5625;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2006;83.2;78.8
5626;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2009;81.2;73.2
5627;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2012;79.9;76.1
5628;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2015;71.0;69.0
5629;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2018;76.1;82.6
5630;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2021;78.6;77.8
5631;Total;Age head of household: 35 to 44;Lower bound 95% confidence interval;Zwolle;2024;76.7;70.7
5632;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2002;88.4;83.9
5633;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2006;88.3;84.1
5634;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2009;88.9;82.7
5635;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2012;87.5;83.1
5636;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2015;84.2;80.9
5637;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2018;81.7;82.3
5638;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2021;84.3;84.5
5639;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;The Netherlands;2024;80.1;82.2
5640;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2002;90.9;88.8
5641;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2006;92.8;88.7
5642;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2009;90.5;87.5
5643;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2012;89.7;89.0
5644;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2015;85.9;80.6
5645;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;82.1;85.3
5646;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;87.5;89.3
5647;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Nederland (LD);2024;84.4;86.3
5648;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2002;91.0;86.3
5649;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2006;90.5;87.2
5650;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2009;91.9;85.1
5651;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2012;90.7;86.6
5652;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2015;87.2;82.9
5653;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;84.8;84.3
5654;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;88.2;88.4
5655;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Nederland (LD);2024;85.3;85.3
5656;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2002;86.5;82.2
5657;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2006;85.9;82.3
5658;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2009;88.0;81.5
5659;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2012;85.7;81.0
5660;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2015;83.2;81.2
5661;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2018;81.4;81.3
5662;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2021;82.9;82.5
5663;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;West-Nederland (LD);2024;78.5;81.8
5664;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2002;91.4;85.9
5665;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2006;92.3;86.7
5666;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2009;90.3;84.5
5667;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2012;90.7;85.9
5668;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2015;87.0;83.0
5669;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;83.8;85.6
5670;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;87.1;87.9
5671;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Nederland (LD);2024;81.8;83.3
5672;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2002;91.3;88.8
5673;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2006;94.3;88.4
5674;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2009;90.7;88.4
5675;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2012;88.6;89.4
5676;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2015;85.8;75.4
5677;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2018;80.8;85.6
5678;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2021;90.1;88.3
5679;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Groningen (PV);2024;86.4;83.7
5680;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2002;92.1;90.9
5681;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2006;92.4;90.9
5682;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2009;92.7;91.6
5683;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2012;91.7;89.8
5684;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2015;87.6;87.0
5685;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2018;86.5;86.7
5686;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2021;87.3;93.1
5687;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Friesland (PV);2024;84.6;90.3
5688;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2002;92.7;90.2
5689;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2006;95.0;90.8
5690;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2009;92.4;86.6
5691;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2012;93.9;93.2
5692;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2015;90.7;86.3
5693;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2018;85.8;90.1
5694;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2021;91.7;91.5
5695;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Drenthe (PV);2024;89.6;91.1
5696;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2002;91.9;86.9
5697;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2006;90.1;86.2
5698;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2009;91.6;86.5
5699;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2012;90.2;88.5
5700;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2015;88.5;86.5
5701;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2018;85.4;84.9
5702;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2021;90.2;91.2
5703;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overijssel (PV);2024;89.9;89.3
5704;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2002;94.4;86.2
5705;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2006;93.9;89.8
5706;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2009;94.5;87.4
5707;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2012;92.5;85.2
5708;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2015;88.7;81.8
5709;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2018;89.2;85.5
5710;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2021;92.4;88.3
5711;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Flevoland (PV);2024;84.0;80.2
5712;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2002;90.9;87.4
5713;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2006;91.2;88.7
5714;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2009;92.8;85.5
5715;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2012;92.1;87.8
5716;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2015;88.1;83.2
5717;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2018;85.5;85.8
5718;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2021;88.1;88.9
5719;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Gelderland (PV);2024;85.4;86.6
5720;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2002;92.4;85.9
5721;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2006;89.9;85.1
5722;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2009;91.6;83.8
5723;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2012;90.1;84.3
5724;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2015;88.0;82.4
5725;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2018;85.4;81.9
5726;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2021;89.1;88.6
5727;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Utrecht (PV);2024;83.9;83.5
5728;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2002;83.5;83.0
5729;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2006;85.0;84.7
5730;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2009;87.5;84.4
5731;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2012;84.9;83.7
5732;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2015;84.4;84.5
5733;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2018;82.8;85.0
5734;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2021;84.8;85.4
5735;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Holland (PV);2024;78.5;83.7
5736;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2002;87.7;81.2
5737;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2006;86.4;80.7
5738;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2009;88.2;79.7
5739;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2012;86.3;79.2
5740;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2015;82.4;79.9
5741;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;80.9;80.4
5742;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;80.4;80.1
5743;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuid-Holland (PV);2024;79.1;82.0
5744;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2002;94.3;91.5
