ID;Population;Sex;PersonalCharacteristics;TravelMotives;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
5870;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Gelderland (PV);2020;;;;;;
5871;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Gelderland (PV);2021;;;;;;
5872;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Gelderland (PV);2022;;;;;;
5873;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Gelderland (PV);2023;0.38;;6.14;140.0;;37.4
5874;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Utrecht (PV);2018;0.38;;6.43;138.0;;39.1
5875;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Utrecht (PV);2019;;;;;;
5876;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Utrecht (PV);2020;0.24;;3.57;88.0;;21.7
5877;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Utrecht (PV);2021;0.28;1.53;3.97;101.0;560.0;24.2
5878;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Utrecht (PV);2022;0.39;2.52;5.26;141.0;921.0;32.0
5879;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Utrecht (PV);2023;0.34;;5.98;123.0;;36.4
5880;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Holland (PV);2018;0.28;1.15;4.18;102.0;420.0;25.4
5881;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Holland (PV);2019;0.32;;6.25;116.0;;38.0
5882;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Holland (PV);2020;0.28;;4.4;102.0;;26.9
5883;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Holland (PV);2021;0.25;1.02;3.28;91.0;373.0;20.0
5884;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Holland (PV);2022;0.25;0.92;4.3;92.0;335.0;26.2
5885;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Holland (PV);2023;0.31;2.06;4.72;113.0;754.0;28.7
5886;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;0.31;;6.97;113.0;;42.4
5887;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;0.21;1.14;3.47;76.0;416.0;21.1
5888;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;0.23;0.79;3.4;84.0;290.0;20.7
5889;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;0.27;1.53;6.6;97.0;558.0;40.2
5890;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;0.29;1.92;4.9;107.0;702.0;29.8
5891;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;0.27;1.36;4.52;98.0;495.0;27.5
5892;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zeeland (PV);2018;;;;;;
5893;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zeeland (PV);2019;;;;;;
5894;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zeeland (PV);2020;;;;;;
5895;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zeeland (PV);2021;;;;;;
5896;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zeeland (PV);2022;;;;;;
5897;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Zeeland (PV);2023;;;;;;
5898;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;0.31;1.33;4.1;113.0;484.0;25.0
5899;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;0.34;1.99;4.63;125.0;725.0;28.2
5900;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;;;;;;
5901;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;;;;;;
5902;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;0.37;;5.32;137.0;;32.4
5903;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;0.35;;6.77;129.0;;41.2
5904;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Limburg (PV);2018;;;;;;
5905;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Limburg (PV);2019;;;;;;
5906;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Limburg (PV);2020;;;;;;
5907;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Limburg (PV);2021;;;;;;
5908;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Limburg (PV);2022;;;;;;
5909;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Limburg (PV);2023;;;;;;
5910;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Extremely urbanised;2018;0.31;;7.13;114.0;;43.4
5911;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Extremely urbanised;2019;0.28;0.94;4.21;102.0;344.0;25.6
5912;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Extremely urbanised;2020;0.24;0.5;3.04;90.0;185.0;18.5
5913;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Extremely urbanised;2021;0.25;0.91;5.64;93.0;332.0;34.3
5914;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Extremely urbanised;2022;0.31;1.55;4.76;112.0;566.0;28.9
5915;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Extremely urbanised;2023;0.29;1.33;4.27;107.0;485.0;26.0
5916;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Strongly urbanised;2018;0.34;1.78;4.88;125.0;649.0;29.7
5917;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Strongly urbanised;2019;0.23;1.78;3.82;85.0;650.0;23.2
5918;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Strongly urbanised;2020;0.25;1.25;3.64;91.0;456.0;22.2
5919;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Strongly urbanised;2021;0.27;1.01;3.5;97.0;369.0;21.3
5920;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Strongly urbanised;2022;0.3;1.55;4.4;108.0;567.0;26.8
5921;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Strongly urbanised;2023;0.31;1.47;4.91;111.0;535.0;29.9
5922;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Moderately urbanised;2018;0.32;1.85;4.59;117.0;675.0;27.9
5923;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Moderately urbanised;2019;0.35;2.76;5.47;129.0;1008.0;33.2
5924;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Moderately urbanised;2020;;;;;;
5925;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Moderately urbanised;2021;0.23;1.05;3.49;84.0;382.0;21.2
5926;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Moderately urbanised;2022;0.36;1.89;5.24;130.0;691.0;31.9
5927;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Moderately urbanised;2023;0.34;2.0;4.63;123.0;730.0;28.2
5928;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Hardly urbanised;2018;0.29;;6.13;108.0;;37.3
5929;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Hardly urbanised;2019;0.26;1.91;;95.0;697.0;
5930;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Hardly urbanised;2020;0.22;;3.0;81.0;;18.3
5931;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Hardly urbanised;2021;0.27;1.45;3.7;99.0;530.0;22.5
5932;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Hardly urbanised;2022;0.32;2.28;4.53;116.0;831.0;27.5
5933;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Hardly urbanised;2023;0.31;;6.3;112.0;;38.3
5934;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Not urbanised;2018;;;;;;
5935;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Not urbanised;2019;;;;;;
5936;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Not urbanised;2020;;;;;;
5937;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Not urbanised;2021;;;;;;
5938;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Not urbanised;2022;;;;;;
5939;Population 6 years or older;Total male and female;Age: 6 to 11 years;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;Not urbanised;2023;;;;;;
5940;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;The Netherlands;2018;1.25;2.65;13.15;455.0;967.0;80.0
5941;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;The Netherlands;2019;1.24;2.62;13.01;453.0;957.0;79.2
5942;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;The Netherlands;2020;0.9;2.08;9.97;329.0;763.0;60.8
5943;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;The Netherlands;2021;0.91;2.08;10.27;331.0;758.0;62.5
5944;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;The Netherlands;2022;1.05;2.37;12.55;384.0;866.0;76.3
5945;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;The Netherlands;2023;1.06;2.29;12.61;387.0;835.0;76.7
5946;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Nederland (LD);2018;1.33;3.04;13.77;486.0;1110.0;83.8
5947;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Nederland (LD);2019;1.21;3.05;12.09;442.0;1114.0;73.6
5948;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Nederland (LD);2020;0.86;2.12;8.53;314.0;775.0;52.0
5949;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Nederland (LD);2021;0.91;2.09;11.6;333.0;761.0;70.6
5950;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Nederland (LD);2022;1.14;3.0;13.83;416.0;1094.0;84.1
5951;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Nederland (LD);2023;0.98;3.03;11.71;359.0;1107.0;71.2
5952;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Oost-Nederland (LD);2018;1.31;3.1;13.65;477.0;1130.0;83.1
5953;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Oost-Nederland (LD);2019;1.23;2.56;11.95;448.0;935.0;72.7
5954;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Oost-Nederland (LD);2020;0.91;2.35;10.79;334.0;861.0;65.8
5955;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Oost-Nederland (LD);2021;0.9;2.73;10.17;330.0;997.0;61.9
5956;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Oost-Nederland (LD);2022;1.02;2.35;11.0;372.0;857.0;66.9
5957;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Oost-Nederland (LD);2023;1.13;2.5;12.69;414.0;913.0;77.2
5958;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;West-Nederland (LD);2018;1.19;2.5;13.1;434.0;912.0;79.7
5959;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;West-Nederland (LD);2019;1.27;2.65;14.41;465.0;966.0;87.6
5960;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;West-Nederland (LD);2020;0.9;1.88;10.13;331.0;689.0;61.8
5961;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;West-Nederland (LD);2021;0.91;1.94;10.71;332.0;706.0;65.2
5962;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;West-Nederland (LD);2022;1.07;2.29;13.56;390.0;837.0;82.5
5963;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;West-Nederland (LD);2023;1.06;2.0;12.34;385.0;731.0;75.1
5964;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Nederland (LD);2018;1.29;2.31;12.4;471.0;845.0;75.4
5965;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Nederland (LD);2019;1.19;2.44;11.23;434.0;891.0;68.3
5966;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Nederland (LD);2020;0.89;2.26;9.36;326.0;826.0;57.1
5967;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Nederland (LD);2021;0.9;1.71;8.57;328.0;623.0;52.1
5968;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Nederland (LD);2022;1.01;2.33;11.24;370.0;850.0;68.4
5969;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Nederland (LD);2023;1.03;2.39;13.58;377.0;871.0;82.6
5970;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Groningen (PV);2018;1.46;3.15;14.53;532.0;1149.0;88.4
5971;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Groningen (PV);2019;1.28;;12.19;466.0;;74.2
5972;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Groningen (PV);2020;;;;;;
5973;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Groningen (PV);2021;;;;;;
5974;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Groningen (PV);2022;;;;;;
5975;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Groningen (PV);2023;;;;;;
5976;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Fryslân (PV);2018;1.21;2.58;11.66;441.0;940.0;70.9
5977;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Fryslân (PV);2019;1.04;;12.24;379.0;;74.5
5978;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Fryslân (PV);2020;;;;;;
5979;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Fryslân (PV);2021;0.9;2.01;9.61;329.0;733.0;58.5
5980;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Fryslân (PV);2022;;;;;;
5981;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Fryslân (PV);2023;1.06;;10.8;388.0;;65.7
5982;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Drenthe (PV);2018;1.36;3.58;15.89;496.0;1306.0;96.6
5983;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Drenthe (PV);2019;1.39;;11.77;508.0;;71.6
5984;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Drenthe (PV);2020;;;;;;
5985;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Drenthe (PV);2021;;;;;;
5986;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Drenthe (PV);2022;;;;;;
5987;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Drenthe (PV);2023;;;;;;
5988;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Overijssel (PV);2018;1.22;2.73;12.93;446.0;996.0;78.7
5989;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Overijssel (PV);2019;1.22;2.52;12.0;444.0;921.0;73.0
5990;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Overijssel (PV);2020;0.81;1.76;8.0;297.0;646.0;48.8
5991;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Overijssel (PV);2021;0.88;;9.19;319.0;;55.9
5992;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Overijssel (PV);2022;1.03;1.77;10.12;377.0;648.0;61.6
5993;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Overijssel (PV);2023;1.16;2.07;11.18;424.0;754.0;68.0
5994;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Flevoland (PV);2018;1.45;;18.96;529.0;;115.3
5995;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Flevoland (PV);2019;1.18;2.79;12.52;430.0;1019.0;76.2
5996;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Flevoland (PV);2020;0.78;1.69;;284.0;619.0;
5997;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Flevoland (PV);2021;;;;;;
5998;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Flevoland (PV);2022;1.13;;16.94;414.0;;103.1
5999;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Flevoland (PV);2023;1.19;2.79;14.06;434.0;1017.0;85.5
6000;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Gelderland (PV);2018;1.33;2.53;12.88;484.0;922.0;78.3
6001;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Gelderland (PV);2019;1.24;2.53;11.8;454.0;923.0;71.8
6002;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Gelderland (PV);2020;1.0;;10.61;367.0;;64.7
6003;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Gelderland (PV);2021;0.91;2.87;10.67;332.0;1046.0;64.9
6004;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Gelderland (PV);2022;0.98;2.33;9.95;357.0;851.0;60.5
6005;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Gelderland (PV);2023;1.11;2.68;13.25;404.0;980.0;80.6
6006;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Utrecht (PV);2018;1.26;3.13;14.3;458.0;1141.0;87.0
6007;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Utrecht (PV);2019;1.27;2.59;13.43;465.0;946.0;81.7
6008;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Utrecht (PV);2020;0.91;2.08;9.58;333.0;761.0;58.4
6009;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Utrecht (PV);2021;0.83;2.03;9.04;304.0;742.0;55.0
6010;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Utrecht (PV);2022;1.06;2.09;12.33;387.0;762.0;75.0
6011;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Utrecht (PV);2023;1.03;1.96;11.66;376.0;715.0;70.9
6012;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Holland (PV);2018;1.22;2.3;12.87;445.0;840.0;78.3
6013;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Holland (PV);2019;1.22;2.2;12.82;444.0;802.0;78.0
6014;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Holland (PV);2020;0.93;2.04;10.8;339.0;747.0;65.9
6015;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Holland (PV);2021;0.87;2.0;9.64;317.0;729.0;58.6
6016;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Holland (PV);2022;1.09;2.44;15.72;398.0;892.0;95.6
6017;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Holland (PV);2023;1.06;1.94;11.96;386.0;708.0;72.8
6018;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Holland (PV);2018;1.12;2.35;12.69;409.0;858.0;77.2
6019;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Holland (PV);2019;1.33;2.95;16.29;486.0;1076.0;99.1
6020;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Holland (PV);2020;0.87;1.58;9.94;320.0;577.0;60.7
6021;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Holland (PV);2021;0.97;1.89;12.46;353.0;689.0;75.8
6022;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Holland (PV);2022;1.08;2.36;13.09;393.0;861.0;79.7
6023;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zuid-Holland (PV);2023;1.06;1.92;13.0;387.0;701.0;79.1
6024;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zeeland (PV);2018;1.42;3.14;14.46;519.0;1146.0;87.9
6025;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zeeland (PV);2019;1.17;3.0;11.58;426.0;1096.0;70.5
6026;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zeeland (PV);2020;;;;;;
6027;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zeeland (PV);2021;;;;;;
6028;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zeeland (PV);2022;;;;;;
6029;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Zeeland (PV);2023;;;;;;
6030;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Brabant (PV);2018;1.29;2.27;12.43;471.0;829.0;75.6
6031;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Brabant (PV);2019;1.21;2.64;11.77;443.0;963.0;71.6
6032;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Brabant (PV);2020;0.93;2.45;10.12;342.0;897.0;61.7
6033;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Brabant (PV);2021;0.94;1.55;8.78;345.0;567.0;53.4
6034;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Brabant (PV);2022;1.01;2.41;11.64;369.0;878.0;70.8
6035;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Noord-Brabant (PV);2023;1.01;1.87;13.6;367.0;683.0;82.7
6036;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Limburg (PV);2018;1.29;2.45;12.31;472.0;893.0;74.9
6037;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Limburg (PV);2019;1.12;1.91;9.79;408.0;699.0;59.6
6038;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Limburg (PV);2020;0.77;1.73;7.3;282.0;634.0;44.5
6039;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Limburg (PV);2021;0.78;;8.01;284.0;;48.8
6040;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Limburg (PV);2022;1.03;2.12;10.17;374.0;774.0;61.9
6041;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Limburg (PV);2023;1.1;3.62;13.55;401.0;1321.0;82.4
6042;Population 6 years or older;Total male and female;Age: 6 to 11 years;Attending education/courses;Value;Extremely urbanised;2018;1.08;2.55;13.94;393.0;930.0;84.8
