ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
6090;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;West-Nederland (LD);2018;11.29;29.62
6091;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;West-Nederland (LD);2019;11.43;29.56
6092;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;West-Nederland (LD);2020;10.01;28.19
6093;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;West-Nederland (LD);2021;11.1;29.71
6094;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;West-Nederland (LD);2022;10.97;29.86
6095;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;West-Nederland (LD);2023;10.66;30.45
6096;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;13.66;31.17
6097;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;13.25;30.14
6098;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;9.35;24.89
6099;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;10.77;26.43
6100;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;12.19;28.12
6101;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;12.81;29.83
6102;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Groningen (PV);2018;8.02;22.28
6103;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Groningen (PV);2019;7.11;23.29
6104;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Groningen (PV);2020;6.31;20.56
6105;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Groningen (PV);2021;7.62;20.82
6106;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Groningen (PV);2022;8.66;25.44
6107;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Groningen (PV);2023;8.87;25.77
6108;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Fryslân (PV);2018;16.55;33.17
6109;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Fryslân (PV);2019;10.89;27.17
6110;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Fryslân (PV);2020;8.1;24.6
6111;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Fryslân (PV);2021;10.01;25.95
6112;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Fryslân (PV);2022;11.42;28.33
6113;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Fryslân (PV);2023;13.57;27.84
6114;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Drenthe (PV);2018;13.31;28.72
6115;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Drenthe (PV);2019;14.26;29.35
6116;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Drenthe (PV);2020;9.67;25.92
6117;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Drenthe (PV);2021;9.61;26.14
6118;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Drenthe (PV);2022;11.5;29.67
6119;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Drenthe (PV);2023;10.87;27.92
6120;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Overijssel (PV);2018;10.09;27.13
6121;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Overijssel (PV);2019;10.6;25.43
6122;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Overijssel (PV);2020;7.02;23.29
6123;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Overijssel (PV);2021;9.62;25.55
6124;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Overijssel (PV);2022;9.54;26.77
6125;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Overijssel (PV);2023;11.4;27.69
6126;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Flevoland (PV);2018;12.85;28.47
6127;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Flevoland (PV);2019;17.28;32.48
6128;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Flevoland (PV);2020;10.78;24.37
6129;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Flevoland (PV);2021;11.58;28.87
6130;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Flevoland (PV);2022;10.06;25.46
6131;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Flevoland (PV);2023;11.96;28.35
6132;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Gelderland (PV);2018;12.12;28.74
6133;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Gelderland (PV);2019;11.53;28.8
6134;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Gelderland (PV);2020;10.41;27.22
6135;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Gelderland (PV);2021;10.04;26.59
6136;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Gelderland (PV);2022;11.65;27.9
6137;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Gelderland (PV);2023;11.42;28.42
6138;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Utrecht (PV);2018;11.32;28.91
6139;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Utrecht (PV);2019;9.67;25.82
6140;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Utrecht (PV);2020;9.87;28.22
6141;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Utrecht (PV);2021;10.23;29.14
6142;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Utrecht (PV);2022;10.3;28.62
6143;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Utrecht (PV);2023;10.15;28.64
6144;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Holland (PV);2018;10.92;29.26
6145;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Holland (PV);2019;10.51;28.84
6146;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Holland (PV);2020;9.4;27.89
6147;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Holland (PV);2021;9.97;28.31
6148;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Holland (PV);2022;11.36;29.68
6149;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Holland (PV);2023;9.97;29.3
6150;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;9.67;28.06
6151;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;10.71;29.08
6152;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;8.48;25.6
6153;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;10.56;29.04
6154;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;9.12;28.47
6155;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;9.73;29.84
6156;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zeeland (PV);2018;13.23;29.09
6157;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zeeland (PV);2019;13.69;28.07
6158;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zeeland (PV);2020;11.41;30.55
6159;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zeeland (PV);2021;;
6160;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zeeland (PV);2022;12.06;25.84
6161;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Zeeland (PV);2023;11.4;26.34
6162;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;11.98;29.57
6163;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;13.04;30.0
6164;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;7.85;23.14
6165;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;9.47;25.04
6166;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;12.05;28.57
6167;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;12.02;29.08
6168;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Limburg (PV);2018;15.03;32.03
6169;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Limburg (PV);2019;11.19;27.19
6170;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Limburg (PV);2020;10.79;26.73
6171;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Limburg (PV);2021;11.05;26.11
6172;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Limburg (PV);2022;10.24;24.31
6173;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Limburg (PV);2023;12.36;28.89
6174;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Extremely urbanised;2018;9.25;26.96
6175;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Extremely urbanised;2019;9.29;26.25
6176;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Extremely urbanised;2020;7.86;25.48
6177;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Extremely urbanised;2021;8.34;26.41
6178;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Extremely urbanised;2022;8.48;26.75
6179;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Extremely urbanised;2023;8.41;27.84
6180;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Strongly urbanised;2018;11.58;27.82
6181;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Strongly urbanised;2019;12.32;27.55
6182;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Strongly urbanised;2020;9.18;24.3
6183;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Strongly urbanised;2021;10.42;26.79
6184;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Strongly urbanised;2022;10.36;26.59
6185;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Strongly urbanised;2023;11.41;28.47
6186;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Moderately urbanised;2018;12.77;29.73
6187;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Moderately urbanised;2019;12.0;29.67
6188;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Moderately urbanised;2020;9.61;25.95
6189;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Moderately urbanised;2021;11.24;26.57
6190;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Moderately urbanised;2022;11.7;28.89
6191;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Moderately urbanised;2023;12.75;30.33
6192;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Hardly urbanised;2018;14.7;33.42
6193;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Hardly urbanised;2019;14.21;33.05
6194;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Hardly urbanised;2020;12.14;30.52
6195;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Hardly urbanised;2021;13.38;32.01
6196;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Hardly urbanised;2022;14.63;33.01
6197;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Hardly urbanised;2023;14.18;32.88
6198;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Not urbanised;2018;16.25;36.0
6199;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Not urbanised;2019;16.22;37.81
6200;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Not urbanised;2020;12.82;32.51
6201;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Not urbanised;2021;13.62;32.51
6202;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Not urbanised;2022;18.49;39.59
6203;Total;Population: 12 years or older;Attending education/courses;Lower bound 95% confidence interval;Not urbanised;2023;15.83;34.57
6204;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;The Netherlands;2018;14.29;32.34
6205;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;The Netherlands;2019;14.55;32.48
6206;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;The Netherlands;2020;12.38;30.07
6207;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;The Netherlands;2021;13.22;31.47
6208;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;The Netherlands;2022;13.71;32.07
6209;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;The Netherlands;2023;13.96;32.87
6210;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;19.21;35.78
6211;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;17.57;34.82
6212;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;18.02;34.39
6213;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;15.62;32.25
6214;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;18.53;38.17
6215;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;20.13;36.22
6216;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;14.98;32.64
6217;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;16.97;34.04
6218;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;13.35;31.15
6219;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;14.17;33.18
6220;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;15.51;32.92
6221;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;15.81;33.83
6222;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;West-Nederland (LD);2018;13.02;31.9
6223;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;West-Nederland (LD);2019;13.29;32.26
6224;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;West-Nederland (LD);2020;11.96;30.92
6225;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;West-Nederland (LD);2021;13.14;32.4
6226;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;West-Nederland (LD);2022;12.67;32.22
6227;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;West-Nederland (LD);2023;12.37;33.09
6228;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;17.06;35.11
6229;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;17.11;34.84
6230;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;13.28;29.36
6231;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;14.88;31.89
6232;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;15.66;32.44
6233;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;16.49;34.13
6234;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Groningen (PV);2018;14.51;30.64
6235;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Groningen (PV);2019;12.89;31.18
6236;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Groningen (PV);2020;17.86;30.96
6237;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Groningen (PV);2021;15.04;29.58
6238;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Groningen (PV);2022;15.67;40.84
6239;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Groningen (PV);2023;22.81;38.16
6240;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Fryslân (PV);2018;25.81;44.93
6241;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Fryslân (PV);2019;21.86;38.67
6242;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Fryslân (PV);2020;19.71;36.94
6243;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Fryslân (PV);2021;18.92;37.06
6244;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Fryslân (PV);2022;24.36;40.68
6245;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Fryslân (PV);2023;23.62;37.63
6246;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Drenthe (PV);2018;23.29;38.3
6247;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Drenthe (PV);2019;26.67;44.49
6248;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Drenthe (PV);2020;24.92;44.39
6249;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Drenthe (PV);2021;18.37;36.83
6250;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Drenthe (PV);2022;21.39;41.23
6251;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Drenthe (PV);2023;20.47;40.44
6252;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Overijssel (PV);2018;14.42;32.68
6253;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Overijssel (PV);2019;17.89;32.36
6254;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Overijssel (PV);2020;11.86;30.75
6255;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Overijssel (PV);2021;15.1;36.69
6256;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Overijssel (PV);2022;16.91;35.04
6257;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Overijssel (PV);2023;19.01;37.03
6258;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Flevoland (PV);2018;20.45;39.08
6259;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Flevoland (PV);2019;29.94;47.13
6260;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Flevoland (PV);2020;18.26;34.3
6261;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Flevoland (PV);2021;19.39;39.71
6262;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Flevoland (PV);2022;17.44;35.89
6263;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Flevoland (PV);2023;19.04;37.74
6264;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Gelderland (PV);2018;15.63;33.25
6265;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Gelderland (PV);2019;15.95;34.75
6266;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Gelderland (PV);2020;14.98;33.24
6267;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Gelderland (PV);2021;14.31;32.39
6268;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Gelderland (PV);2022;16.26;33.55
6269;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Gelderland (PV);2023;15.19;33.63
6270;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Utrecht (PV);2018;15.17;33.61
6271;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Utrecht (PV);2019;13.78;32.01
6272;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Utrecht (PV);2020;13.54;33.42
6273;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Utrecht (PV);2021;13.34;34.29
6274;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Utrecht (PV);2022;13.34;33.52
6275;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Utrecht (PV);2023;12.88;34.74
6276;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Holland (PV);2018;13.96;33.15
6277;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Holland (PV);2019;13.73;33.56
6278;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Holland (PV);2020;13.57;33.5
6279;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Holland (PV);2021;13.38;32.8
6280;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Holland (PV);2022;14.74;34.03
6281;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Holland (PV);2023;13.35;33.73
6282;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;12.15;31.58
6283;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;13.31;33.03
6284;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;10.88;29.18
6285;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;14.01;33.44
6286;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;11.18;31.77
6287;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;12.22;33.87
6288;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zeeland (PV);2018;26.29;42.72
6289;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zeeland (PV);2019;29.71;42.54
6290;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zeeland (PV);2020;22.38;43.95
6291;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zeeland (PV);2021;;
6292;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zeeland (PV);2022;25.08;40.48
6293;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Zeeland (PV);2023;21.91;40.36
6294;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;15.75;34.04
6295;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;17.54;35.21
6296;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;11.4;27.91
6297;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;13.29;31.46
6298;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;16.2;33.96
6299;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;16.06;33.95
6300;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Limburg (PV);2018;21.89;39.78
6301;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Limburg (PV);2019;18.64;37.2
6302;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Limburg (PV);2020;22.01;37.13
6303;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Limburg (PV);2021;21.17;36.35
6304;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Limburg (PV);2022;16.55;31.02
6305;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Limburg (PV);2023;20.72;37.95
6306;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Extremely urbanised;2018;11.7;30.0
6307;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Extremely urbanised;2019;11.59;29.4
6308;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Extremely urbanised;2020;10.53;29.1
6309;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Extremely urbanised;2021;10.67;30.36
6310;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Extremely urbanised;2022;10.67;29.51
6311;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Extremely urbanised;2023;11.08;31.58
6312;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Strongly urbanised;2018;13.99;30.88
6313;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Strongly urbanised;2019;15.56;31.35
6314;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Strongly urbanised;2020;11.9;27.67
6315;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Strongly urbanised;2021;13.16;30.34
6316;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Strongly urbanised;2022;12.98;30.06
6317;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Strongly urbanised;2023;14.07;31.83
6318;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Moderately urbanised;2018;16.16;33.67
6319;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Moderately urbanised;2019;15.88;34.84
6320;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Moderately urbanised;2020;12.96;30.64
6321;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Moderately urbanised;2021;15.72;33.14
6322;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Moderately urbanised;2022;15.34;33.43
6323;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Moderately urbanised;2023;16.07;34.94
6324;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Hardly urbanised;2018;17.63;37.22
6325;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Hardly urbanised;2019;17.5;37.44
6326;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Hardly urbanised;2020;16.09;35.26
