ID;EarningGroups;CharacteristicsEmployee;CaribbeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
6990;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;St. Eustatius;2017;50.0;44640.0
6991;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;St. Eustatius;2018;50.0;44500.0
6992;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;St. Eustatius;2019;50.0;45410.0
6993;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;St. Eustatius;2020;40.0;44850.0
6994;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;St. Eustatius;2021;40.0;44770.0
6995;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;St. Eustatius;2022;40.0;44170.0
6996;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2011;20.0;44430.0
6997;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2012;10.0;44940.0
6998;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2013;10.0;45900.0
6999;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2014;20.0;45980.0
7000;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2015;10.0;45670.0
7001;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2016;10.0;47260.0
7002;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2017;10.0;46180.0
7003;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2018;10.0;45530.0
7004;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2019;10.0;45710.0
7005;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2020;;
7006;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2021;20.0;45660.0
7007;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Saba;2022;30.0;45050.0
7008;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2011;;
7009;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2012;;
7010;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2013;;
7011;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2014;;
7012;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2015;;
7013;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2016;;
7014;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2017;;
7015;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2018;;
7016;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2019;;
7017;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2020;;
7018;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2021;;
7019;Gross annual wage: 40,000 to 49,999 d...;Age: 45 to 54 years;Unclassificable;2022;;
7020;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2011;70.0;44280.0
7021;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2012;90.0;44870.0
7022;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2013;100.0;44110.0
7023;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2014;120.0;44640.0
7024;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2015;130.0;44890.0
7025;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2016;120.0;44590.0
7026;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2017;140.0;44380.0
7027;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2018;160.0;44520.0
7028;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2019;180.0;44480.0
7029;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2020;200.0;44420.0
7030;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2021;210.0;44470.0
7031;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Caribbean Netherlands;2022;240.0;44240.0
7032;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2011;50.0;44210.0
7033;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2012;70.0;44970.0
7034;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2013;70.0;43950.0
7035;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2014;90.0;44520.0
7036;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2015;100.0;44900.0
7037;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2016;100.0;44720.0
7038;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2017;110.0;44490.0
7039;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2018;130.0;44490.0
7040;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2019;140.0;44580.0
7041;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2020;160.0;44450.0
7042;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2021;170.0;44640.0
7043;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Bonaire;2022;190.0;44300.0
7044;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2011;10.0;45150.0
7045;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2012;10.0;45230.0
7046;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2013;20.0;44500.0
7047;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2014;20.0;44830.0
7048;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2015;20.0;44830.0
7049;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2016;20.0;44220.0
7050;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2017;20.0;44140.0
7051;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2018;10.0;44170.0
7052;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2019;30.0;44410.0
7053;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2020;30.0;44430.0
7054;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2021;30.0;43700.0
7055;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;St. Eustatius;2022;40.0;44110.0
7056;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2011;10.0;43670.0
7057;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2012;10.0;43100.0
7058;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2013;10.0;45040.0
7059;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2014;10.0;45400.0
7060;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2015;10.0;44860.0
7061;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2016;10.0;43820.0
7062;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2017;10.0;43470.0
7063;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2018;10.0;45400.0
7064;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2019;10.0;42840.0
7065;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2020;;
7066;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2021;;
7067;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Saba;2022;10.0;43780.0
7068;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2011;;
7069;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2012;;
7070;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2013;;
7071;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2014;;
7072;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2015;;
7073;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2016;;
7074;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2017;;
7075;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2018;;
7076;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2019;;
7077;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2020;;
7078;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2021;;
7079;Gross annual wage: 40,000 to 49,999 d...;Age: 55 to 64 years;Unclassificable;2022;;
7080;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2011;10.0;42660.0
7081;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2012;10.0;42800.0
7082;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2013;10.0;44730.0
7083;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2014;10.0;45270.0
7084;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2015;10.0;45770.0
7085;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2016;10.0;44530.0
7086;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2017;10.0;45240.0
7087;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2018;10.0;45260.0
7088;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2019;20.0;45450.0
7089;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2020;10.0;44560.0
7090;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2021;20.0;45430.0
7091;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Caribbean Netherlands;2022;20.0;45690.0
7092;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2011;;
7093;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2012;;
7094;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2013;10.0;44900.0
7095;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2014;;
7096;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2015;10.0;45900.0
7097;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2016;10.0;45000.0
7098;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2017;10.0;45290.0
7099;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2018;10.0;45720.0
7100;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2019;10.0;45640.0
7101;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2020;;
7102;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2021;20.0;45320.0
7103;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Bonaire;2022;20.0;45590.0
7104;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2011;;
7105;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2012;;
7106;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2013;;
7107;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2014;;
7108;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2015;;
7109;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2016;;
7110;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2017;;
7111;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2018;;
7112;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2019;;
7113;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2020;;
7114;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2021;;
7115;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;St. Eustatius;2022;;
7116;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2011;;
7117;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2012;;
7118;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2013;;
7119;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2014;;
7120;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2015;;
7121;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2016;;
7122;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2017;;
7123;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2018;;
7124;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2019;;
7125;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2020;;
7126;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2021;;
7127;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Saba;2022;;
7128;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2011;;
7129;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2012;;
7130;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2013;;
7131;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2014;;
7132;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2015;;
7133;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2016;;
7134;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2017;;
7135;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2018;;
7136;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2019;;
7137;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2020;;
7138;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2021;;
7139;Gross annual wage: 40,000 to 49,999 d...;Age: 65 to 74 years;Unclassificable;2022;;
7140;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2011;;
7141;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2012;;
7142;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2013;;
7143;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2014;;
7144;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2015;;
7145;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2016;;
7146;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2017;;
7147;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2018;;
7148;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2019;;
7149;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2020;;
7150;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2021;;
7151;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Caribbean Netherlands;2022;;
7152;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2011;;
7153;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2012;;
7154;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2013;;
7155;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2014;;
7156;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2015;;
7157;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2016;;
7158;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2017;;
7159;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2018;;
7160;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2019;;
7161;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2020;;
7162;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2021;;
7163;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Bonaire;2022;;
7164;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2011;;
7165;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2012;;
7166;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2013;;
7167;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2014;;
7168;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2015;;
7169;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2016;;
7170;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2017;;
7171;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2018;;
7172;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2019;;
7173;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2020;;
7174;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2021;;
7175;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;St. Eustatius;2022;;
7176;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2011;;
7177;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2012;;
7178;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2013;;
7179;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2014;;
7180;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2015;;
7181;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2016;;
7182;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2017;;
7183;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2018;;
7184;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2019;;
7185;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2020;;
7186;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2021;;
7187;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Saba;2022;;
7188;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2011;;
7189;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2012;;
7190;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2013;;
7191;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2014;;
7192;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2015;;
7193;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2016;;
7194;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2017;;
7195;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2018;;
7196;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2019;;
7197;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2020;;
7198;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2021;;
7199;Gross annual wage: 40,000 to 49,999 d...;Age: 75 years or older;Unclassificable;2022;;
7200;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2011;;
7201;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2012;;
7202;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2013;;
7203;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2014;;
7204;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2015;;
7205;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2016;;
7206;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2017;;
7207;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2018;;
7208;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2019;;
7209;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2020;;
7210;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2021;;
7211;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Caribbean Netherlands;2022;;
7212;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2011;;
7213;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2012;;
7214;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2013;;
7215;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2014;;
7216;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2015;;
7217;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2016;;
7218;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2017;;
7219;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2018;;
7220;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2019;;
7221;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2020;;
7222;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2021;;
7223;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Bonaire;2022;;
7224;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2011;;
7225;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2012;;
7226;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2013;;
7227;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2014;;
7228;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2015;;
7229;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2016;;
7230;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2017;;
7231;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2018;;
7232;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2019;;
7233;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2020;;
7234;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2021;;
7235;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;St. Eustatius;2022;;
7236;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2011;;
7237;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2012;;
7238;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2013;;
7239;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2014;;
7240;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2015;;
7241;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2016;;
7242;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2017;;
7243;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2018;;
7244;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2019;;
7245;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2020;;
7246;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2021;;
7247;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Saba;2022;;
7248;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2011;;
7249;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2012;;
7250;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2013;;
7251;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2014;;
7252;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2015;;
7253;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2016;;
7254;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2017;;
7255;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2018;;
7256;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2019;;
7257;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2020;;
7258;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2021;;
7259;Gross annual wage: 40,000 to 49,999 d...;Age: unknown;Unclassificable;2022;;
7260;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2011;;
7261;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2012;;
7262;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2013;;
7263;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2014;;
7264;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2015;;
7265;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2016;;
7266;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2017;;
7267;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2018;;
7268;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2019;;
7269;Gross annual wage: 40,000 to 49,999 d...;Age: younger than 16 years;Caribbean Netherlands;2020;;
