ID;PersonalCharacteristics;TypeOfFigure;CarribeanNetherlands;Periods;PersonsWithAtLeast1Contact_1;AverageNumberOfContactsPopulation_2;AverageNumberOfContactsPerPatient_3;IslandOfResidence_4;OtherIslandOrCountry_5;PersonsWithAtLeast1Contact_6;AverageNumberOfContactsPopulation_7;AverageNumberOfContactsPerPatient_8;IslandOfResidence_9;OtherIslandOrCountry_10;PersonsWithAtLeast1Contact_11;AverageNumberOfContactsPopulation_12;AverageNumberOfContactsPerPatient_13;IslandOfResidence_14;OtherIslandOrCountry_15;PersonsWithAtLeast1Contact_16;AverageNumberOfContactsPopulation_17;AverageNumberOfContactsPerPatient_18;IslandOfResidence_19;OtherIslandOrCountry_20;PersonsWithOvernightStays_21;NumberOfAdmissionsPer100Persons_22;NumberOfAdmissionsPer100Patients_23;IslandOfResidence_24;OtherIslandOrCountry_25;PersonsWithDayAdmission_26;NumberOfDayAdmissionsP100Persons_27;NumberOfDayAdmissionsP100Patients_28;IslandOfResidence_29;OtherIslandOrCountry_30;PersonsWithAtLeast1Contact_31;NumberOfContactsPer100Persons_32;NumberOfContactsPer100Patients_33;IslandOfResidence_34;OtherIslandOrCountry_35;PrescribedMedicinesIn14Days_36;NonPrescribedMedicinesIn14Days_37
206;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2021;5.1;1.4;2.1;1.9;1.9;4.6;0.9;2.8;7.3;7.3;5.1;1.7;3.4;4.5;4.5;2.9;0.3;;;;2.7;9.9;;;;3.1;12.7;;;;5.0;13.8;26.2;2.9;2.9;4.4;4.7
207;Level of education: Intermediate;Reliability margin;Bonaire;2013;5.3;2.1;2.5;2.2;;6.6;1.6;3.5;7.1;7.1;6.5;1.1;1.8;5.1;5.1;5.6;0.9;3.6;6.6;;3.7;13.1;;;;4.0;5.9;;;;6.5;24.7;35.5;2.1;;6.3;6.0
208;Level of education: Intermediate;Reliability margin;Bonaire;2017/2018;5.1;1.4;1.8;1.5;;5.9;1.7;3.7;4.6;4.6;5.9;1.0;1.7;5.2;5.2;3.9;1.2;;;;3.7;19.0;;;;3.1;5.1;;;;5.7;22.8;30.0;2.4;2.4;5.7;4.7
209;Level of education: Intermediate;Reliability margin;Bonaire;2021;6.7;1.7;2.4;;;6.2;1.6;5.0;4.5;;6.9;3.1;5.0;4.7;4.7;3.8;0.6;;;;3.4;8.7;;;;3.3;3.3;;;;6.9;20.7;40.5;4.1;;6.2;6.8
210;Level of education: Intermediate;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Level of education: Intermediate;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;5.8;;;;;;;;;;5.6;;;;;12.1;36.3;;;;8.4;7.9
212;Level of education: Intermediate;Reliability margin;St. Eustatius;2021;10.7;4.2;;;;9.1;1.4;;;;8.9;1.4;;;;;;;;;7.1;;;;;;;;;;10.0;22.9;;;;7.4;6.5
213;Level of education: Intermediate;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Level of education: Intermediate;Reliability margin;Saba;2017/2018;10.6;2.7;;;;11.9;1.6;;;;;;;;;8.7;1.4;;;;8.1;;;;;7.0;;;;;12.3;43.5;;;;11.6;11.9
215;Level of education: Intermediate;Reliability margin;Saba;2021;10.2;2.0;2.6;4.5;;10.3;1.0;;;;10.8;1.1;;;;7.9;0.4;;;;4.9;15.1;;;;9.6;49.8;;;;10.7;27.5;;;;10.0;10.6
216;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;76.8;6.4;8.3;84.0;16.0;40.7;2.0;5.0;55.0;45.0;59.8;2.9;4.8;73.7;26.3;18.7;1.7;;;;9.7;17.2;;;;11.2;;;;;50.9;101.3;199.1;87.7;12.3;36.1;32.9
217;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;15.0;2.1;13.7;92.3;;;;;;;14.3;30.1;;;;50.6;123.4;243.8;85.5;14.5;33.1;31.6
218;Level of education: High;Percentage/average;Caribbean Netherlands ;2021;73.1;6.7;9.1;95.2;4.8;33.5;3.5;10.3;74.6;25.4;58.0;3.0;5.2;85.7;14.3;11.9;1.1;;;;6.9;;;;;10.6;;;;;47.4;100.3;211.5;95.3;4.7;29.0;37.0
219;Level of education: High;Percentage/average;Bonaire;2013;78.7;7.3;9.3;94.5;;45.6;2.2;4.8;74.0;26.0;67.2;3.8;5.6;79.4;20.6;23.7;2.5;;;;11.5;21.7;;;;12.4;18.3;;;;55.7;108.3;194.2;93.5;;37.5;33.0
220;Level of education: High;Percentage/average;Bonaire;2017/2018;77.6;5.6;7.2;99.3;;49.2;5.9;12.1;89.9;10.1;60.1;1.7;2.9;89.0;11.0;17.0;2.8;;;;9.9;24.1;;;;11.5;34.9;;;;51.0;149.8;293.5;96.8;;35.0;28.9
221;Level of education: High;Percentage/average;Bonaire;2021;81.4;6.8;8.4;98.9;;34.3;2.7;;;;68.2;3.7;5.4;94.2;5.8;11.1;;;;;9.4;12.9;;;;9.7;10.9;;;;50.0;110.0;219.9;96.5;;30.1;38.6
222;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Level of education: High;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.5;30.9
224;Level of education: High;Percentage/average;St. Eustatius;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Level of education: High;Percentage/average;Saba;2013;72.9;4.5;;;;26.8;2.2;;;;45.2;;;;;8.4;0.4;;;;;;;;;;;;;;34.5;;74.7;;;33.4;27.1
226;Level of education: High;Percentage/average;Saba;2017/2018;76.9;3.6;4.6;70.9;29.1;34.3;2.6;;;;;;;;;11.5;1.0;;;;5.0;;;;;20.2;28.0;;;;50.8;89.7;;;;31.6;37.6
227;Level of education: High;Percentage/average;Saba;2021;67.9;6.7;;;;28.6;3.7;;;;49.4;2.3;;;;13.4;;;;;4.7;;;;;18.2;;;;;43.5;68.8;;;;37.0;44.8
228;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;6.7;2.1;2.6;6.6;6.6;7.8;0.9;2.1;12.5;12.5;7.8;1.4;2.2;9.1;9.1;6.3;0.9;;;;5.4;10.6;;;;5.1;;;;;7.9;23.9;35.7;7.3;7.3;7.7;7.6
229;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;;;;;;;;;;;;;;;;4.0;0.9;5.1;7.8;;;;;;;4.0;17.8;;;;5.7;28.3;48.9;5.6;5.6;5.3;5.2
230;Level of education: High;Reliability margin;Caribbean Netherlands ;2021;6.1;2.1;2.7;3.4;3.4;6.2;1.5;3.9;10.1;10.1;6.6;0.9;1.5;6.1;6.1;4.3;1.0;;;;3.5;;;;;4.3;;;;;6.6;19.8;31.0;4.2;4.2;5.9;6.3
231;Level of education: High;Reliability margin;Bonaire;2013;8.3;2.9;3.6;5.8;;9.8;1.2;2.5;12.8;12.8;9.2;2.0;2.8;10.4;10.4;8.4;1.3;;;;6.9;15.2;;;;6.3;11.1;;;;9.8;28.0;34.6;8.1;;9.6;9.4
232;Level of education: High;Reliability margin;Bonaire;2017/2018;6.2;1.5;1.8;1.4;;7.5;2.5;4.8;6.4;6.4;7.3;0.9;1.4;6.0;6.0;5.6;1.5;;;;4.5;15.5;;;;4.8;29.6;;;;7.5;41.0;68.0;3.7;;7.1;6.8
233;Level of education: High;Reliability margin;Bonaire;2021;6.6;2.2;2.7;2.2;;8.3;1.0;;;;8.0;1.3;1.9;4.7;4.7;5.5;;;;;5.6;8.8;;;;5.6;6.5;;;;8.7;27.4;40.4;4.7;;7.8;8.4
234;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;Level of education: High;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;13.3
236;Level of education: High;Reliability margin;St. Eustatius;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Level of education: High;Reliability margin;Saba;2013;13.1;2.9;;;;13.0;1.7;;;;14.2;;;;;7.9;0.4;;;;;;;;;;;;;;13.5;;45.5;;;13.6;12.7
238;Level of education: High;Reliability margin;Saba;2017/2018;9.1;1.4;1.7;11.2;11.2;10.3;2.2;;;;;;;;;6.9;0.9;;;;4.7;;;;;8.7;17.4;;;;10.8;51.2;;;;10.0;10.5
239;Level of education: High;Reliability margin;Saba;2021;12.8;5.4;;;;11.3;3.7;;;;13.2;1.1;;;;8.9;;;;;4.7;;;;;10.1;;;;;13.0;26.9;;;;12.6;13.0
