ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
5042;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;;;;;;
5043;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;;;;;;
5044;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;;;;;;
5045;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;;;;;;
5046;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Groningen (PV);2018;;;;;;
5047;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Groningen (PV);2019;;;;;;
5048;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Groningen (PV);2020;;;;;;
5049;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Groningen (PV);2021;;;;;;
5050;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Groningen (PV);2022;;;;;;
5051;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Groningen (PV);2023;;;;;;
5052;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Fryslân (PV);2018;;;;;;
5053;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Fryslân (PV);2019;;;;;;
5054;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Fryslân (PV);2020;;;;;;
5055;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Fryslân (PV);2021;;;;;;
5056;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Fryslân (PV);2022;;;;;;
5057;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Fryslân (PV);2023;;;;;;
5058;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Drenthe (PV);2018;;;;;;
5059;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Drenthe (PV);2019;;;;;;
5060;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Drenthe (PV);2020;;;;;;
5061;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Drenthe (PV);2021;;;;;;
5062;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Drenthe (PV);2022;;;;;;
5063;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Drenthe (PV);2023;;;;;;
5064;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Overijssel (PV);2018;;;;;;
5065;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Overijssel (PV);2019;;;;;;
5066;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Overijssel (PV);2020;;;;;;
5067;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Overijssel (PV);2021;;;;;;
5068;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Overijssel (PV);2022;;;;;;
5069;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Overijssel (PV);2023;;;;;;
5070;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Flevoland (PV);2018;;;;;;
5071;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Flevoland (PV);2019;;;;;;
5072;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Flevoland (PV);2020;;;;;;
5073;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Flevoland (PV);2021;;;;;;
5074;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Flevoland (PV);2022;;;;;;
5075;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Flevoland (PV);2023;;;;;;
5076;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Gelderland (PV);2018;;;;;;
5077;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Gelderland (PV);2019;;;;;;
5078;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Gelderland (PV);2020;;;;;;
5079;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Gelderland (PV);2021;;;;;;
5080;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Gelderland (PV);2022;;;;;;
5081;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Gelderland (PV);2023;;;;;;
5082;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Utrecht (PV);2018;;;;;;
5083;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Utrecht (PV);2019;;;;;;
5084;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Utrecht (PV);2020;;;;;;
5085;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Utrecht (PV);2021;;;;;;
5086;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Utrecht (PV);2022;;;;;;
5087;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Utrecht (PV);2023;;;;;;
5088;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Holland (PV);2018;;;;;;
5089;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Holland (PV);2019;;;;;;
5090;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Holland (PV);2020;;;;;;
5091;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Holland (PV);2021;;;;;;
5092;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Holland (PV);2022;;;;;;
5093;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Holland (PV);2023;;;;;;
5094;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;;;;;;
5095;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;;;;;;
5096;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;;;;;;
5097;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;;;;;;
5098;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;;;;;;
5099;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;;;;;;
5100;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zeeland (PV);2018;;;;;;
5101;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zeeland (PV);2019;;;;;;
5102;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zeeland (PV);2020;;;;;;
5103;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zeeland (PV);2021;;;;;;
5104;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zeeland (PV);2022;;;;;;
5105;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Zeeland (PV);2023;;;;;;
5106;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;;;;;;
5107;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;;;;;;
5108;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;;;;;;
5109;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;;;;;;
5110;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;;;;;;
5111;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;;;;;;
5112;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Limburg (PV);2018;;;;;;
5113;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Limburg (PV);2019;;;;;;
5114;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Limburg (PV);2020;;;;;;
5115;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Limburg (PV);2021;;;;;;
5116;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Limburg (PV);2022;;;;;;
5117;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Limburg (PV);2023;;;;;;
5118;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Extremely urbanised;2018;;;;;;
5119;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Extremely urbanised;2019;;;;;;
5120;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Extremely urbanised;2020;;;;;;
5121;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Extremely urbanised;2021;;;;;;
5122;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Extremely urbanised;2022;;;;;;
5123;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Extremely urbanised;2023;;;;;;
5124;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Strongly urbanised;2018;;;;;;
5125;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Strongly urbanised;2019;;;;;;
5126;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Strongly urbanised;2020;;;;;;
5127;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Strongly urbanised;2021;;;;;;
5128;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Strongly urbanised;2022;;;;;;
5129;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Strongly urbanised;2023;;;;;;
5130;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Moderately urbanised;2018;;;;;;
5131;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Moderately urbanised;2019;;;;;;
5132;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Moderately urbanised;2020;;;;;;
5133;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Moderately urbanised;2021;;;;;;
5134;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Moderately urbanised;2022;;;;;;
5135;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Moderately urbanised;2023;;;;;;
5136;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Hardly urbanised;2018;;;;;;
5137;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Hardly urbanised;2019;;;;;;
5138;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Hardly urbanised;2020;;;;;;
5139;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Hardly urbanised;2021;;;;;;
5140;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Hardly urbanised;2022;;;;;;
5141;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Hardly urbanised;2023;;;;;;
5142;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Not urbanised;2018;;;;;;
5143;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Not urbanised;2019;;;;;;
5144;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Not urbanised;2020;;;;;;
5145;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Not urbanised;2021;;;;;;
5146;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Not urbanised;2022;;;;;;
5147;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bus/tram/metro;Upper bound 95% confidence interval;Not urbanised;2023;;;;;;
5148;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;The Netherlands;2018;1.27;2.55;19.28;465.0;932.0;117.3
5149;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;The Netherlands;2019;1.19;2.49;19.85;436.0;910.0;120.8
5150;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;The Netherlands;2020;0.99;2.18;18.76;364.0;797.0;114.4
5151;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;The Netherlands;2021;1.01;2.35;21.1;368.0;856.0;128.4
5152;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;The Netherlands;2022;1.09;2.34;19.43;398.0;854.0;118.2
5153;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;The Netherlands;2023;1.08;2.34;19.33;394.0;855.0;117.6
5154;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Nederland (LD);2018;1.44;2.9;22.12;527.0;1058.0;134.5
5155;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Nederland (LD);2019;1.42;3.16;25.3;519.0;1155.0;153.9
5156;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Nederland (LD);2020;1.06;2.02;15.64;390.0;738.0;95.4
5157;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Nederland (LD);2021;1.14;2.77;23.98;415.0;1013.0;145.9
5158;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Nederland (LD);2022;1.45;3.19;24.28;531.0;1166.0;147.7
5159;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Nederland (LD);2023;1.21;2.61;22.05;440.0;953.0;134.1
5160;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Oost-Nederland (LD);2018;1.43;2.81;19.74;524.0;1027.0;120.1
5161;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Oost-Nederland (LD);2019;1.22;2.55;19.01;446.0;930.0;115.7
5162;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Oost-Nederland (LD);2020;1.12;2.46;20.0;410.0;900.0;122.0
5163;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Oost-Nederland (LD);2021;1.09;2.62;22.26;398.0;955.0;135.4
5164;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Oost-Nederland (LD);2022;1.18;2.46;19.31;432.0;897.0;117.5
5165;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Oost-Nederland (LD);2023;1.2;2.5;19.48;439.0;912.0;118.5
5166;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;West-Nederland (LD);2018;1.2;2.46;18.92;439.0;897.0;115.1
5167;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;West-Nederland (LD);2019;1.17;2.38;19.09;426.0;870.0;116.2
5168;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;West-Nederland (LD);2020;1.0;2.23;19.9;365.0;814.0;121.4
5169;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;West-Nederland (LD);2021;0.96;2.24;20.36;351.0;817.0;123.9
5170;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;West-Nederland (LD);2022;1.09;2.42;19.99;397.0;882.0;121.6
5171;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;West-Nederland (LD);2023;1.06;2.38;19.63;386.0;870.0;119.4
5172;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Nederland (LD);2018;1.19;2.32;18.34;433.0;847.0;111.6
5173;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Nederland (LD);2019;1.13;2.4;20.15;412.0;878.0;122.6
5174;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Nederland (LD);2020;0.82;1.84;16.17;301.0;674.0;98.6
5175;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Nederland (LD);2021;0.97;2.11;20.27;355.0;770.0;123.3
5176;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Nederland (LD);2022;0.84;1.65;16.08;307.0;602.0;97.8
5177;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Nederland (LD);2023;0.94;1.95;17.15;343.0;712.0;104.3
5178;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Groningen (PV);2018;1.3;3.02;22.85;475.0;1103.0;139.0
5179;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Groningen (PV);2019;1.5;2.9;;546.0;1059.0;
5180;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Groningen (PV);2020;;;;;;
5181;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Groningen (PV);2021;1.18;2.38;23.7;431.0;868.0;144.2
5182;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Groningen (PV);2022;1.4;3.14;21.28;512.0;1147.0;129.4
5183;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Groningen (PV);2023;;;;;;
5184;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Fryslân (PV);2018;1.48;2.51;19.47;539.0;914.0;118.4
5185;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Fryslân (PV);2019;1.59;4.1;31.22;580.0;1495.0;189.9
5186;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Fryslân (PV);2020;;;;;;
5187;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Fryslân (PV);2021;1.19;2.54;18.55;433.0;925.0;112.9
5188;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Fryslân (PV);2022;1.67;3.58;29.22;608.0;1308.0;177.7
5189;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Fryslân (PV);2023;;;;;;
5190;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Drenthe (PV);2018;1.57;3.31;25.04;574.0;1210.0;152.3
5191;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Drenthe (PV);2019;;;;;;
5192;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Drenthe (PV);2020;;;;;;
5193;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Drenthe (PV);2021;;;;;;
5194;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Drenthe (PV);2022;;;;;;
5195;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Drenthe (PV);2023;;;;;;
5196;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Overijssel (PV);2018;1.52;2.88;20.69;553.0;1051.0;125.9
5197;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Overijssel (PV);2019;1.21;2.76;21.02;443.0;1006.0;127.8
5198;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Overijssel (PV);2020;1.17;2.5;20.74;428.0;916.0;126.5
5199;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Overijssel (PV);2021;1.12;3.28;26.55;411.0;1198.0;161.5
5200;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Overijssel (PV);2022;1.35;2.58;16.66;491.0;943.0;101.3
5201;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Overijssel (PV);2023;1.33;2.49;18.02;485.0;909.0;109.6
5202;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Flevoland (PV);2018;1.09;2.42;18.33;396.0;885.0;111.5
5203;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Flevoland (PV);2019;;;;;;
5204;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Flevoland (PV);2020;;;;;;
5205;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Flevoland (PV);2021;;;;;;
5206;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Flevoland (PV);2022;0.93;1.88;16.81;338.0;685.0;102.3
5207;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Flevoland (PV);2023;0.9;2.13;18.86;330.0;779.0;114.8
5208;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Gelderland (PV);2018;1.46;2.86;19.47;534.0;1044.0;118.4
5209;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Gelderland (PV);2019;1.26;2.46;18.06;459.0;898.0;109.9
5210;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Gelderland (PV);2020;1.19;2.55;19.45;435.0;931.0;118.6
5211;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Gelderland (PV);2021;1.19;2.54;22.21;433.0;929.0;135.1
5212;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Gelderland (PV);2022;1.15;2.54;21.71;419.0;926.0;132.1
5213;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Gelderland (PV);2023;1.2;2.58;20.45;437.0;943.0;124.4
5214;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Utrecht (PV);2018;1.49;2.91;20.62;545.0;1062.0;125.4
5215;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Utrecht (PV);2019;1.42;2.64;17.65;519.0;965.0;107.4
5216;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Utrecht (PV);2020;1.09;2.29;20.38;399.0;837.0;124.3
5217;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Utrecht (PV);2021;1.03;2.24;17.82;377.0;819.0;108.4
5218;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Utrecht (PV);2022;1.27;2.6;20.7;463.0;947.0;125.9
5219;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Utrecht (PV);2023;1.31;2.6;20.2;477.0;949.0;122.9
5220;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Holland (PV);2018;1.24;2.37;17.86;453.0;865.0;108.7
5221;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Holland (PV);2019;1.23;2.61;21.47;448.0;953.0;130.6
5222;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Holland (PV);2020;1.03;2.3;22.04;376.0;840.0;134.5
5223;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Holland (PV);2021;1.0;2.26;20.8;366.0;826.0;126.5
5224;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Holland (PV);2022;1.08;2.64;21.35;395.0;964.0;129.9
5225;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Holland (PV);2023;0.98;2.19;19.16;357.0;800.0;116.5
5226;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Holland (PV);2018;1.04;2.29;18.5;379.0;834.0;112.6
5227;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Holland (PV);2019;0.99;2.04;17.72;363.0;743.0;107.8
5228;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Holland (PV);2020;0.92;2.11;17.92;338.0;773.0;109.3
5229;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Holland (PV);2021;0.89;2.23;21.12;324.0;816.0;128.5
5230;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Holland (PV);2022;1.02;2.2;18.38;371.0;803.0;111.8
5231;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zuid-Holland (PV);2023;1.01;2.42;19.35;369.0;883.0;117.7
5232;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zeeland (PV);2018;1.51;3.2;24.44;551.0;1166.0;148.7
5233;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zeeland (PV);2019;;;;;;
5234;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zeeland (PV);2020;;;;;;
