ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
4563;Men;35 to 45 years;Partial disablement (< 80%);2001 January;510;370;120;10;0;10;490;0;20;270;170;;100;260;0;10
4564;Men;35 to 45 years;Partial disablement (< 80%);2001 February;570;450;80;20;0;20;540;0;30;290;180;;120;270;0;10
4565;Men;35 to 45 years;Partial disablement (< 80%);2001 March;580;450;100;10;0;20;550;0;30;300;200;;110;290;0;10
4566;Men;35 to 45 years;Partial disablement (< 80%);2001 April;520;420;70;10;0;20;490;0;30;260;180;;80;250;0;10
4567;Men;35 to 45 years;Partial disablement (< 80%);2001 May;590;450;110;10;0;20;560;0;30;270;170;;100;260;0;10
4568;Men;35 to 45 years;Partial disablement (< 80%);2001 June;620;410;180;20;0;20;590;0;40;340;170;;170;310;0;30
4569;Men;35 to 45 years;Partial disablement (< 80%);2001 July;470;400;40;10;0;10;440;0;30;280;150;;130;270;0;10
4570;Men;35 to 45 years;Partial disablement (< 80%);2001 August;480;420;40;10;0;20;460;0;30;340;190;;150;320;0;20
4571;Men;35 to 45 years;Partial disablement (< 80%);2001 September;420;360;30;10;0;10;400;0;20;310;160;;150;280;0;20
4572;Men;35 to 45 years;Partial disablement (< 80%);2001 October;550;480;30;10;0;20;510;0;30;320;200;;120;300;0;10
4573;Men;35 to 45 years;Partial disablement (< 80%);2001 November;560;470;60;10;0;20;530;0;20;300;190;;110;270;0;20
4574;Men;35 to 45 years;Partial disablement (< 80%);2001 December;530;430;70;10;0;20;500;0;20;300;190;;110;290;0;10
4575;Men;35 to 45 years;Partial disablement (< 80%);2001 annual total;6380;5110;930;140;10;210;6050;10;330;3550;2120;;1430;3380;10;160
4576;Men;35 to 45 years;Partial disablement (< 80%);2002 January;560;470;60;10;0;20;530;0;30;250;150;;110;240;0;10
4577;Men;35 to 45 years;Partial disablement (< 80%);2002 February;510;450;40;10;0;10;490;0;20;310;190;;120;300;0;10
4578;Men;35 to 45 years;Partial disablement (< 80%);2002 March;470;400;40;20;0;20;440;0;30;300;190;;110;280;0;10
4579;Men;35 to 45 years;Partial disablement (< 80%);2002 April;520;440;40;10;0;30;490;0;30;350;230;;120;330;0;20
4580;Men;35 to 45 years;Partial disablement (< 80%);2002 May;450;380;30;20;0;20;410;0;30;270;190;;80;260;0;10
4581;Men;35 to 45 years;Partial disablement (< 80%);2002 June;430;350;50;20;0;10;400;0;30;280;190;;90;260;0;10
4582;Men;35 to 45 years;Partial disablement (< 80%);2002 July;500;400;60;30;0;10;460;0;40;340;220;;120;310;0;20
4583;Men;35 to 45 years;Partial disablement (< 80%);2002 August;400;340;40;20;0;0;380;0;20;270;170;;100;260;0;10
4584;Men;35 to 45 years;Partial disablement (< 80%);2002 September;450;340;80;20;0;10;420;0;30;290;160;;130;280;0;10
4585;Men;35 to 45 years;Partial disablement (< 80%);2002 October;570;470;70;30;0;10;540;0;30;360;210;;140;340;0;20
4586;Men;35 to 45 years;Partial disablement (< 80%);2002 November;460;370;40;30;0;20;420;0;40;300;180;;110;280;0;20
4587;Men;35 to 45 years;Partial disablement (< 80%);2002 December;440;330;60;40;0;10;400;0;40;310;180;;130;290;0;20
4588;Men;35 to 45 years;Partial disablement (< 80%);2002 annual total;5760;4730;610;260;0;160;5370;10;390;3620;2270;;1350;3430;20;170
4589;Men;35 to 45 years;Partial disablement (< 80%);2003 January;440;360;40;40;0;20;400;0;50;230;140;;90;220;0;10
4590;Men;35 to 45 years;Partial disablement (< 80%);2003 February;420;330;50;30;0;10;380;0;40;370;200;;170;350;0;20
4591;Men;35 to 45 years;Partial disablement (< 80%);2003 March;400;310;40;30;0;10;360;0;40;340;220;;130;330;0;10
4592;Men;35 to 45 years;Partial disablement (< 80%);2003 April;390;330;40;30;0;10;360;0;30;350;200;;140;320;0;20
4593;Men;35 to 45 years;Partial disablement (< 80%);2003 May;280;220;30;20;0;10;250;0;30;300;180;;130;280;10;20
4594;Men;35 to 45 years;Partial disablement (< 80%);2003 June;440;340;30;40;0;40;370;0;70;300;170;;120;280;0;10
4595;Men;35 to 45 years;Partial disablement (< 80%);2003 July;400;320;20;30;0;20;350;0;50;320;170;;150;300;0;20
4596;Men;35 to 45 years;Partial disablement (< 80%);2003 August;270;210;20;30;0;10;230;0;40;230;130;;100;210;0;10
4597;Men;35 to 45 years;Partial disablement (< 80%);2003 September;290;230;30;20;0;10;260;0;30;260;150;;110;250;0;20
4598;Men;35 to 45 years;Partial disablement (< 80%);2003 October;360;290;40;30;0;10;330;0;40;260;150;;110;240;0;20
4599;Men;35 to 45 years;Partial disablement (< 80%);2003 November;420;360;30;20;0;20;390;0;40;300;150;;150;280;0;20
4600;Men;35 to 45 years;Partial disablement (< 80%);2003 December;350;270;50;20;0;10;320;0;30;330;170;;160;310;0;20
4601;Men;35 to 45 years;Partial disablement (< 80%);2003 annual total;4460;3560;390;320;10;180;3980;10;470;3580;2020;;1560;3360;20;200
4602;Men;35 to 45 years;Partial disablement (< 80%);2004 January;300;240;30;20;0;10;270;0;30;250;140;;110;230;0;20
4603;Men;35 to 45 years;Partial disablement (< 80%);2004 February;330;250;50;20;0;20;300;0;30;260;140;;120;240;0;10
4604;Men;35 to 45 years;Partial disablement (< 80%);2004 March;320;260;30;20;0;20;290;0;30;280;160;;120;260;0;20
4605;Men;35 to 45 years;Partial disablement (< 80%);2004 April;320;250;40;20;0;10;290;0;30;250;140;;110;240;0;10
4606;Men;35 to 45 years;Partial disablement (< 80%);2004 May;270;200;30;20;0;20;230;0;30;210;120;;90;190;0;20
4607;Men;35 to 45 years;Partial disablement (< 80%);2004 June;320;260;30;20;0;10;290;0;30;230;140;;90;220;0;10
4608;Men;35 to 45 years;Partial disablement (< 80%);2004 July;270;210;20;10;0;20;240;0;30;250;150;;100;240;0;10
4609;Men;35 to 45 years;Partial disablement (< 80%);2004 August;280;220;20;30;0;10;240;0;40;190;100;;80;180;0;10
4610;Men;35 to 45 years;Partial disablement (< 80%);2004 September;310;240;20;30;0;20;270;0;40;210;100;;110;200;0;10
4611;Men;35 to 45 years;Partial disablement (< 80%);2004 October;240;190;20;20;0;10;210;0;30;210;100;;110;200;0;10
4612;Men;35 to 45 years;Partial disablement (< 80%);2004 November;280;200;30;30;0;10;230;0;50;260;140;;130;240;0;20
4613;Men;35 to 45 years;Partial disablement (< 80%);2004 December;280;200;40;10;0;20;250;0;30;190;110;;80;170;0;10
4614;Men;35 to 45 years;Partial disablement (< 80%);2004 annual total;3500;2730;360;240;10;170;3100;10;390;2790;1550;;1240;2630;0;150
4615;Men;35 to 45 years;Partial disablement (< 80%);2005 January;230;190;10;20;0;10;200;0;30;170;110;;70;160;0;10
4616;Men;35 to 45 years;Partial disablement (< 80%);2005 February;230;140;40;30;0;10;190;0;40;230;140;;90;210;0;20
4617;Men;35 to 45 years;Partial disablement (< 80%);2005 March;100;60;20;10;0;10;80;0;20;230;150;;90;210;0;30
4618;Men;35 to 45 years;Partial disablement (< 80%);2005 April;100;60;20;10;0;20;70;0;30;220;150;;70;210;0;10
4619;Men;35 to 45 years;Partial disablement (< 80%);2005 May;70;30;10;0;0;20;40;0;20;260;170;;90;240;0;20
4620;Men;35 to 45 years;Partial disablement (< 80%);2005 June;130;70;10;20;0;20;80;0;40;290;190;;100;270;0;20
4621;Men;35 to 45 years;Partial disablement (< 80%);2005 July;40;20;0;10;0;0;20;0;20;210;150;;60;200;0;10
4622;Men;35 to 45 years;Partial disablement (< 80%);2005 August;50;30;10;10;0;10;40;0;20;280;200;;80;270;0;10
4623;Men;35 to 45 years;Partial disablement (< 80%);2005 September;50;20;10;10;0;10;30;0;20;250;180;;70;230;0;20
4624;Men;35 to 45 years;Partial disablement (< 80%);2005 October;30;20;0;10;0;10;20;0;10;260;190;;70;240;0;10
4625;Men;35 to 45 years;Partial disablement (< 80%);2005 November;50;30;10;10;0;0;40;0;10;340;240;;90;310;0;20
4626;Men;35 to 45 years;Partial disablement (< 80%);2005 December;20;10;0;10;0;0;20;0;10;330;260;;70;300;0;20
4627;Men;35 to 45 years;Partial disablement (< 80%);2005 annual total;1100;680;150;150;0;120;830;0;260;3060;2110;;940;2850;10;190
4628;Men;35 to 45 years;Partial disablement (< 80%);2006 January;50;40;0;0;0;0;50;0;10;390;290;;100;370;0;20
4629;Men;35 to 45 years;Partial disablement (< 80%);2006 February;30;10;0;10;0;0;20;0;10;300;220;;80;290;0;10
4630;Men;35 to 45 years;Partial disablement (< 80%);2006 March;20;10;0;0;0;0;20;0;10;340;240;;100;310;0;30
4631;Men;35 to 45 years;Partial disablement (< 80%);2006 April;30;20;0;10;0;0;20;0;10;290;170;;120;270;0;20
4632;Men;35 to 45 years;Partial disablement (< 80%);2006 May;20;10;0;0;0;0;20;0;0;280;150;;130;250;0;30
4633;Men;35 to 45 years;Partial disablement (< 80%);2006 June;20;10;0;0;0;0;10;0;0;240;150;;80;220;0;20
4634;Men;35 to 45 years;Partial disablement (< 80%);2006 July;30;20;0;0;0;0;30;0;10;220;140;;80;200;0;20
4635;Men;35 to 45 years;Partial disablement (< 80%);2006 August;30;20;0;0;0;0;30;0;0;190;110;;90;180;0;10
4636;Men;35 to 45 years;Partial disablement (< 80%);2006 September;50;20;0;0;0;20;20;0;20;180;90;;100;170;0;20
4637;Men;35 to 45 years;Partial disablement (< 80%);2006 October;20;10;0;0;0;0;20;0;0;180;100;;80;170;0;10
4638;Men;35 to 45 years;Partial disablement (< 80%);2006 November;20;10;0;0;0;0;10;0;0;180;100;;80;160;0;20
4639;Men;35 to 45 years;Partial disablement (< 80%);2006 December;10;10;0;0;0;0;10;0;0;160;90;;70;150;0;10
4640;Men;35 to 45 years;Partial disablement (< 80%);2006 annual total;320;220;30;30;0;40;240;0;70;2950;1840;;1110;2730;10;210
4641;Men;35 to 45 years;Partial disablement (< 80%);2007 January;20;20;0;0;0;0;20;0;0;280;110;;170;250;0;30
4642;Men;35 to 45 years;Partial disablement (< 80%);2007 February;30;20;0;0;0;0;20;0;0;160;90;;70;140;0;20
4643;Men;35 to 45 years;Partial disablement (< 80%);2007 March;20;10;0;0;0;0;20;0;0;160;110;;60;150;0;10
4644;Men;35 to 45 years;Partial disablement (< 80%);2007 April;20;10;0;0;0;0;10;0;0;140;80;;60;130;0;10
4645;Men;35 to 45 years;Partial disablement (< 80%);2007 May;30;20;0;0;0;0;20;0;0;140;90;;50;130;0;10
4646;Men;35 to 45 years;Partial disablement (< 80%);2007 June;20;20;0;0;0;0;20;0;0;130;70;;60;120;0;10
4647;Men;35 to 45 years;Partial disablement (< 80%);2007 July;40;40;0;0;0;0;40;0;0;140;60;;80;130;0;10
4648;Men;35 to 45 years;Partial disablement (< 80%);2007 August;20;20;0;0;0;0;20;0;0;90;50;;40;80;0;0
4649;Men;35 to 45 years;Partial disablement (< 80%);2007 September;20;10;0;0;0;0;20;0;0;80;40;;40;70;0;10
4650;Men;35 to 45 years;Partial disablement (< 80%);2007 October;40;40;0;0;0;0;40;0;0;120;50;;80;120;0;10
4651;Men;35 to 45 years;Partial disablement (< 80%);2007 November;60;50;0;0;0;10;50;0;10;100;50;;60;100;0;0
4652;Men;35 to 45 years;Partial disablement (< 80%);2007 December;30;20;0;10;0;10;20;0;10;40;10;;30;30;0;0
4653;Men;35 to 45 years;Partial disablement (< 80%);2007 annual total;350;280;10;20;10;40;290;10;50;1580;800;;770;1450;10;120
4654;Men;35 to 45 years;Partial disablement (< 80%);2008 January;30;20;0;0;0;0;20;0;0;70;40;;30;70;0;10
4655;Men;35 to 45 years;Partial disablement (< 80%);2008 February;20;20;0;0;0;0;20;0;0;70;40;;30;60;0;10
4656;Men;35 to 45 years;Partial disablement (< 80%);2008 March;20;20;0;0;0;0;20;0;0;50;30;;20;40;0;10
4657;Men;35 to 45 years;Partial disablement (< 80%);2008 April;20;10;0;0;0;0;10;0;0;60;40;;20;60;0;0
4658;Men;35 to 45 years;Partial disablement (< 80%);2008 May;20;10;0;0;0;0;10;0;0;50;30;;20;50;0;0
4659;Men;35 to 45 years;Partial disablement (< 80%);2008 June;80;20;0;0;0;70;80;0;0;30;20;;10;30;0;0
4660;Men;35 to 45 years;Partial disablement (< 80%);2008 July;40;30;0;0;0;0;30;0;10;30;10;;20;30;0;0
4661;Men;35 to 45 years;Partial disablement (< 80%);2008 August;20;20;0;0;0;10;20;0;0;40;10;;20;30;0;0
4662;Men;35 to 45 years;Partial disablement (< 80%);2008 September;20;10;0;0;0;0;10;0;0;30;10;;30;30;0;0
4663;Men;35 to 45 years;Partial disablement (< 80%);2008 October;20;20;0;0;0;0;20;0;0;20;10;;20;20;0;0
4664;Men;35 to 45 years;Partial disablement (< 80%);2008 November;20;10;0;0;0;0;10;0;0;30;10;;20;30;0;10
4665;Men;35 to 45 years;Partial disablement (< 80%);2008 December;10;10;0;0;0;0;10;0;0;30;10;;20;30;0;0
4666;Men;35 to 45 years;Partial disablement (< 80%);2008 annual total;310;190;10;20;0;90;270;0;30;520;250;;260;470;0;50
4667;Men;35 to 45 years;Partial disablement (< 80%);2009 January;20;10;0;0;0;0;20;0;0;40;10;;30;40;0;0
4668;Men;35 to 45 years;Partial disablement (< 80%);2009 February;10;10;0;0;0;0;10;0;0;30;10;;20;20;0;0
4669;Men;35 to 45 years;Partial disablement (< 80%);2009 March;10;10;0;0;0;0;10;0;0;20;0;;10;10;0;0
4670;Men;35 to 45 years;Partial disablement (< 80%);2009 April;10;10;0;0;0;0;10;0;0;10;10;;10;10;0;0
4671;Men;35 to 45 years;Partial disablement (< 80%);2009 May;60;50;0;0;0;0;60;0;0;60;30;;30;60;0;0
4672;Men;35 to 45 years;Partial disablement (< 80%);2009 June;10;10;0;0;0;0;10;0;0;20;10;;10;20;0;0
4673;Men;35 to 45 years;Partial disablement (< 80%);2009 July;10;10;0;0;0;0;10;0;0;20;0;;20;20;0;0
4674;Men;35 to 45 years;Partial disablement (< 80%);2009 August;10;10;0;0;0;0;10;0;0;10;0;;0;10;0;0
4675;Men;35 to 45 years;Partial disablement (< 80%);2009 September;10;10;0;0;0;0;10;0;0;10;0;;10;10;0;0
4676;Men;35 to 45 years;Partial disablement (< 80%);2009 October;10;0;0;0;0;0;10;0;0;10;0;;10;10;0;0
4677;Men;35 to 45 years;Partial disablement (< 80%);2009 November;10;10;0;0;0;0;10;0;0;10;0;;10;0;0;0
4678;Men;35 to 45 years;Partial disablement (< 80%);2009 December;10;0;0;0;0;0;0;0;0;10;0;;10;0;0;0
4679;Men;35 to 45 years;Partial disablement (< 80%);2009 annual total;170;140;10;10;0;20;160;10;10;230;80;;150;210;0;20
4680;Men;45 to 55 years;Total, degree of disablement;1998 January;1820;1370;260;50;10;130;1650;20;150;1020;240;;790;880;70;80
4681;Men;45 to 55 years;Total, degree of disablement;1998 February;1490;980;170;40;0;300;1190;20;280;1050;210;;840;840;110;110
4682;Men;45 to 55 years;Total, degree of disablement;1998 March;1470;1010;210;60;10;180;1280;20;170;670;290;;380;550;40;80
4683;Men;45 to 55 years;Total, degree of disablement;1998 April;1550;1080;210;80;10;180;1330;10;200;790;270;;530;670;40;90
4684;Men;45 to 55 years;Total, degree of disablement;1998 May;1210;860;120;60;60;110;1010;70;130;670;220;;450;540;70;60
4685;Men;45 to 55 years;Total, degree of disablement;1998 June;1270;930;160;60;20;110;1100;20;150;780;230;;550;620;80;80
4686;Men;45 to 55 years;Total, degree of disablement;1998 July;1160;790;200;60;10;110;1020;10;130;710;200;;510;590;70;50
4687;Men;45 to 55 years;Total, degree of disablement;1998 August;1150;870;160;30;10;80;1050;10;90;660;200;;470;540;40;90
4688;Men;45 to 55 years;Total, degree of disablement;1998 September;1210;920;150;50;0;80;1090;10;110;680;200;;480;550;40;90
4689;Men;45 to 55 years;Total, degree of disablement;1998 October;1280;890;240;70;10;70;1150;10;120;580;190;;390;490;40;50
4690;Men;45 to 55 years;Total, degree of disablement;1998 November;1680;1060;250;60;10;300;1550;10;120;710;220;;490;610;30;60
4691;Men;45 to 55 years;Total, degree of disablement;1998 December;1860;1080;290;110;10;380;1560;140;170;730;230;;510;650;30;50
4692;Men;45 to 55 years;Total, degree of disablement;1998 annual total;17140;11840;2410;720;140;2020;14980;340;1820;9050;2690;;6370;7520;650;880
4693;Men;45 to 55 years;Total, degree of disablement;1999 January;1430;850;450;60;0;60;1310;10;110;900;200;;690;810;30;50
4694;Men;45 to 55 years;Total, degree of disablement;1999 February;1550;1120;290;50;10;100;1430;10;120;720;250;;480;620;40;60
4695;Men;45 to 55 years;Total, degree of disablement;1999 March;1480;1050;270;70;10;80;1350;10;130;870;240;;630;620;180;70
4696;Men;45 to 55 years;Total, degree of disablement;1999 April;1330;930;270;50;10;80;1210;10;110;680;220;;460;590;40;60
4697;Men;45 to 55 years;Total, degree of disablement;1999 May;1250;960;180;40;10;60;1150;10;80;580;220;;360;510;20;40
4698;Men;45 to 55 years;Total, degree of disablement;1999 June;1240;900;220;50;10;50;1130;10;100;560;210;;350;500;20;40
4699;Men;45 to 55 years;Total, degree of disablement;1999 July;1160;860;140;70;20;70;1010;20;120;590;200;;390;510;30;50
4700;Men;45 to 55 years;Total, degree of disablement;1999 August;1150;870;150;60;10;70;1030;10;110;580;190;;390;490;20;70
4701;Men;45 to 55 years;Total, degree of disablement;1999 September;1290;1000;170;30;0;80;1180;0;100;600;180;;420;540;30;40
4702;Men;45 to 55 years;Total, degree of disablement;1999 October;1230;930;190;40;10;60;1130;10;90;530;160;;370;460;20;50
4703;Men;45 to 55 years;Total, degree of disablement;1999 November;2020;1320;540;50;10;100;1890;10;130;640;240;;410;560;20;50
4704;Men;45 to 55 years;Total, degree of disablement;1999 December;1410;1110;170;40;0;80;1290;0;110;880;250;;630;830;20;40
4705;Men;45 to 55 years;Total, degree of disablement;1999 annual total;16520;11900;3050;620;80;870;15130;90;1310;8130;2550;;5580;7040;460;630
4706;Men;45 to 55 years;Total, degree of disablement;2000 January;1360;1030;190;60;0;70;1230;10;120;550;230;;320;480;20;50
4707;Men;45 to 55 years;Total, degree of disablement;2000 February;1550;1160;230;50;10;100;1410;10;130;780;310;;470;720;20;50
4708;Men;45 to 55 years;Total, degree of disablement;2000 March;1550;1110;310;60;0;80;1420;0;130;760;240;;520;690;10;60
4709;Men;45 to 55 years;Total, degree of disablement;2000 April;1400;1010;240;60;10;80;1260;20;120;700;220;;490;620;20;60
4710;Men;45 to 55 years;Total, degree of disablement;2000 May;1410;1070;190;70;10;70;1270;10;130;620;260;;360;550;20;50
4711;Men;45 to 55 years;Total, degree of disablement;2000 June;1260;910;220;50;10;70;1140;10;120;860;240;;630;690;110;70
4712;Men;45 to 55 years;Total, degree of disablement;2000 July;1140;890;150;30;10;60;1050;10;90;720;200;;510;620;40;50
4713;Men;45 to 55 years;Total, degree of disablement;2000 August;1230;1020;80;40;0;90;1100;0;130;790;240;;540;700;40;50
4714;Men;45 to 55 years;Total, degree of disablement;2000 September;1350;920;310;50;10;70;1240;10;100;640;200;;440;580;20;50
4715;Men;45 to 55 years;Total, degree of disablement;2000 October;1430;1080;220;50;0;80;1300;0;130;590;200;;390;520;20;40
4716;Men;45 to 55 years;Total, degree of disablement;2000 November;1850;1410;290;60;10;90;1700;10;140;700;270;;420;620;30;50
4717;Men;45 to 55 years;Total, degree of disablement;2000 December;1610;1210;280;50;0;80;1490;0;120;640;270;;380;560;30;60
4718;Men;45 to 55 years;Total, degree of disablement;2000 annual total;17140;12830;2690;630;60;930;15620;70;1450;8350;2880;;5470;7330;380;630
4719;Men;45 to 55 years;Total, degree of disablement;2001 January;1540;960;450;50;10;80;1420;10;120;620;250;;360;560;10;50
4720;Men;45 to 55 years;Total, degree of disablement;2001 February;1700;1240;320;50;0;80;1570;0;120;740;280;;460;660;30;50
4721;Men;45 to 55 years;Total, degree of disablement;2001 March;1680;1190;350;60;10;90;1550;10;130;680;280;;400;600;30;50
4722;Men;45 to 55 years;Total, degree of disablement;2001 April;1550;1100;320;50;10;90;1410;10;130;670;290;;370;580;40;50
4723;Men;45 to 55 years;Total, degree of disablement;2001 May;1950;1140;670;50;0;90;1820;10;130;680;320;;350;620;20;40
4724;Men;45 to 55 years;Total, degree of disablement;2001 June;1520;970;430;60;0;60;1410;0;110;790;270;;520;660;20;110
4725;Men;45 to 55 years;Total, degree of disablement;2001 July;1230;900;170;60;10;90;1080;10;150;1060;310;;750;1000;20;50
4726;Men;45 to 55 years;Total, degree of disablement;2001 August;1270;980;160;40;10;80;1150;10;120;810;290;;530;720;20;70
4727;Men;45 to 55 years;Total, degree of disablement;2001 September;1200;920;170;60;0;60;1100;10;100;670;250;;410;580;20;70
4728;Men;45 to 55 years;Total, degree of disablement;2001 October;1490;1160;180;50;0;100;1350;0;140;750;300;;450;650;30;70
4729;Men;45 to 55 years;Total, degree of disablement;2001 November;1440;1090;240;40;0;60;1330;10;100;620;260;;360;560;20;40
4730;Men;45 to 55 years;Total, degree of disablement;2001 December;1370;1010;220;50;0;80;1240;0;130;600;270;;330;530;30;50
4731;Men;45 to 55 years;Total, degree of disablement;2001 annual total;17940;12650;3680;610;40;950;16410;50;1480;8680;3380;;5300;7700;290;680
4732;Men;45 to 55 years;Total, degree of disablement;2002 January;1400;1090;180;50;0;80;1270;10;120;660;270;;390;570;30;70
4733;Men;45 to 55 years;Total, degree of disablement;2002 February;1290;990;180;40;10;80;1170;10;120;800;300;;500;700;30;70
4734;Men;45 to 55 years;Total, degree of disablement;2002 March;1330;1010;170;60;0;90;1200;0;140;650;310;;350;580;30;50
4735;Men;45 to 55 years;Total, degree of disablement;2002 April;1430;1070;200;40;10;100;1280;10;140;790;370;;420;690;40;60
4736;Men;45 to 55 years;Total, degree of disablement;2002 May;1240;920;170;70;0;80;1090;10;140;590;280;;320;530;30;30
4737;Men;45 to 55 years;Total, degree of disablement;2002 June;1100;780;190;80;0;50;990;0;110;590;290;;300;520;20;40
4738;Men;45 to 55 years;Total, degree of disablement;2002 July;1380;1010;200;120;0;50;1220;0;160;750;370;;380;670;30;50
4739;Men;45 to 55 years;Total, degree of disablement;2002 August;1130;850;150;90;0;40;1010;0;120;680;310;;370;600;30;50
4740;Men;45 to 55 years;Total, degree of disablement;2002 September;1100;780;190;90;0;40;980;0;120;670;280;;380;590;30;50
4741;Men;45 to 55 years;Total, degree of disablement;2002 October;1540;1120;270;110;0;50;1390;0;150;730;330;;400;640;30;60
4742;Men;45 to 55 years;Total, degree of disablement;2002 November;1220;910;170;100;10;40;1080;10;130;670;300;;370;580;30;70
4743;Men;45 to 55 years;Total, degree of disablement;2002 December;1230;830;290;80;0;40;1120;0;110;670;290;;380;570;40;70
4744;Men;45 to 55 years;Total, degree of disablement;2002 annual total;15400;11350;2360;910;40;730;13800;50;1550;8250;3700;;4550;7230;350;680
4745;Men;45 to 55 years;Total, degree of disablement;2003 January;1360;1020;160;130;10;50;1200;10;160;570;240;;330;480;30;60
4746;Men;45 to 55 years;Total, degree of disablement;2003 February;1240;910;190;90;0;40;1120;10;110;920;270;;650;780;40;110
4747;Men;45 to 55 years;Total, degree of disablement;2003 March;1120;800;160;100;10;50;970;10;140;710;290;;420;610;30;60
4748;Men;45 to 55 years;Total, degree of disablement;2003 April;1070;790;140;110;0;40;930;0;140;790;320;;470;680;50;60
4749;Men;45 to 55 years;Total, degree of disablement;2003 May;900;660;110;90;0;40;780;0;120;680;280;;400;590;40;60
4750;Men;45 to 55 years;Total, degree of disablement;2003 June;1020;700;110;130;0;80;820;0;200;650;280;;370;560;40;50
4751;Men;45 to 55 years;Total, degree of disablement;2003 July;1020;740;120;100;0;70;860;0;150;750;300;;460;630;40;80
4752;Men;45 to 55 years;Total, degree of disablement;2003 August;820;600;90;80;0;50;700;0;120;530;230;;300;450;20;60
4753;Men;45 to 55 years;Total, degree of disablement;2003 September;950;700;130;80;0;40;830;10;110;700;280;;420;580;40;80
4754;Men;45 to 55 years;Total, degree of disablement;2003 October;950;700;140;70;0;40;850;0;100;600;220;;380;510;30;50
4755;Men;45 to 55 years;Total, degree of disablement;2003 November;1070;810;140;60;0;60;960;0;110;620;240;;390;510;40;70
4756;Men;45 to 55 years;Total, degree of disablement;2003 December;1060;750;190;70;10;50;950;10;100;660;270;;390;580;20;60
4757;Men;45 to 55 years;Total, degree of disablement;2003 annual total;12570;9170;1670;1100;40;580;10970;50;1550;8170;3190;;4970;6950;420;790
4758;Men;45 to 55 years;Total, degree of disablement;2004 January;870;550;230;40;10;50;790;10;80;580;220;;360;520;20;50
4759;Men;45 to 55 years;Total, degree of disablement;2004 February;940;670;150;60;10;50;830;10;100;690;220;;470;610;30;50
4760;Men;45 to 55 years;Total, degree of disablement;2004 March;980;750;110;90;0;40;860;0;120;640;230;;410;570;30;40
4761;Men;45 to 55 years;Total, degree of disablement;2004 April;1020;710;160;90;10;50;870;10;140;570;230;;340;500;20;50
4762;Men;45 to 55 years;Total, degree of disablement;2004 May;780;580;110;70;0;30;690;0;90;470;200;;270;410;20;50
4763;Men;45 to 55 years;Total, degree of disablement;2004 June;940;680;120;80;0;50;800;0;130;550;230;;320;480;20;40
4764;Men;45 to 55 years;Total, degree of disablement;2004 July;830;580;120;80;10;40;710;10;120;510;220;;290;440;30;50
4765;Men;45 to 55 years;Total, degree of disablement;2004 August;830;590;120;70;0;50;720;10;110;510;190;;320;440;20;50
4766;Men;45 to 55 years;Total, degree of disablement;2004 September;860;610;120;80;0;50;730;0;120;550;190;;360;470;20;60
4767;Men;45 to 55 years;Total, degree of disablement;2004 October;740;530;70;90;0;50;600;0;130;500;190;;310;440;10;50
4768;Men;45 to 55 years;Total, degree of disablement;2004 November;920;620;120;130;0;50;740;0;170;580;200;;380;520;20;40
4769;Men;45 to 55 years;Total, degree of disablement;2004 December;900;670;110;80;0;50;780;0;120;470;180;;290;390;20;60
4770;Men;45 to 55 years;Total, degree of disablement;2004 annual total;10610;7520;1540;950;40;550;9130;50;1440;6620;2500;;4120;5780;250;590
4771;Men;45 to 55 years;Total, degree of disablement;2005 January;640;440;60;80;10;60;510;10;130;440;170;;270;380;20;40
4772;Men;45 to 55 years;Total, degree of disablement;2005 February;760;350;270;90;0;40;630;0;130;550;200;;350;470;20;50
4773;Men;45 to 55 years;Total, degree of disablement;2005 March;350;190;50;80;0;30;230;0;110;480;190;;290;410;20;60
4774;Men;45 to 55 years;Total, degree of disablement;2005 April;300;150;60;40;0;60;200;0;100;410;160;;250;350;20;40
4775;Men;45 to 55 years;Total, degree of disablement;2005 May;260;150;30;30;10;50;180;10;80;500;210;;280;420;30;40
4776;Men;45 to 55 years;Total, degree of disablement;2005 June;420;150;50;110;10;110;200;10;210;490;210;;280;410;30;50
4777;Men;45 to 55 years;Total, degree of disablement;2005 July;200;90;20;50;0;30;110;0;80;310;140;;170;270;10;30
4778;Men;45 to 55 years;Total, degree of disablement;2005 August;180;90;30;50;0;20;110;10;60;440;180;;260;360;30;40
4779;Men;45 to 55 years;Total, degree of disablement;2005 September;230;70;110;30;10;20;190;10;40;370;150;;220;300;20;50
4780;Men;45 to 55 years;Total, degree of disablement;2005 October;140;80;20;30;0;20;100;10;40;340;140;;200;290;20;30
4781;Men;45 to 55 years;Total, degree of disablement;2005 November;160;80;40;30;0;20;120;0;40;420;200;;210;350;20;40
4782;Men;45 to 55 years;Total, degree of disablement;2005 December;110;60;20;20;0;10;80;0;30;370;200;;170;310;10;50
4783;Men;45 to 55 years;Total, degree of disablement;2005 annual total;3750;1890;740;620;50;450;2660;60;1040;5100;2160;;2940;4320;250;530
