ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalBudgetsIn1000Euros_1;MunicipalBudgetsEuroInhabitant_2
5430;Total property tax;Maasbree;2017;;
5431;Total property tax;Maasbree;2018;;
5432;Total property tax;Maasbree;2019;;
5433;Total property tax;Maasbree;2020;;
5434;Total property tax;Maasbree;2021;;
5435;Total property tax;Maasbree;2022;;
5436;Total property tax;Maasbree;2023;;
5437;Total property tax;Maasbree;2024;;
5438;Total property tax;Maasbree;2025;;
5439;Total property tax;Maasdonk;2005;;
5440;Total property tax;Maasdonk;2006;1443.0;128.0
5441;Total property tax;Maasdonk;2007;1429.0;127.0
5442;Total property tax;Maasdonk;2008;1534.0;137.0
5443;Total property tax;Maasdonk;2009;1567.0;140.0
5444;Total property tax;Maasdonk;2010;1653.0;147.0
5445;Total property tax;Maasdonk;2011;1813.0;161.0
5446;Total property tax;Maasdonk;2012;1942.0;172.0
5447;Total property tax;Maasdonk;2013;2121.0;189.0
5448;Total property tax;Maasdonk;2014;2273.0;202.0
5449;Total property tax;Maasdonk;2015;;
5450;Total property tax;Maasdonk;2016;;
5451;Total property tax;Maasdonk;2017;;
5452;Total property tax;Maasdonk;2018;;
5453;Total property tax;Maasdonk;2019;;
5454;Total property tax;Maasdonk;2020;;
5455;Total property tax;Maasdonk;2021;;
5456;Total property tax;Maasdonk;2022;;
5457;Total property tax;Maasdonk;2023;;
5458;Total property tax;Maasdonk;2024;;
5459;Total property tax;Maasdonk;2025;;
5460;Total property tax;Maasdriel;2005;4820.0;205.0
5461;Total property tax;Maasdriel;2006;;
5462;Total property tax;Maasdriel;2007;3121.0;133.0
5463;Total property tax;Maasdriel;2008;;
5464;Total property tax;Maasdriel;2009;3340.0;140.0
5465;Total property tax;Maasdriel;2010;3408.0;143.0
5466;Total property tax;Maasdriel;2011;3490.0;145.0
5467;Total property tax;Maasdriel;2012;3874.0;162.0
5468;Total property tax;Maasdriel;2013;3965.0;164.0
5469;Total property tax;Maasdriel;2014;3945.0;163.0
5470;Total property tax;Maasdriel;2015;;
5471;Total property tax;Maasdriel;2016;4387.0;182.0
5472;Total property tax;Maasdriel;2017;4745.0;196.0
5473;Total property tax;Maasdriel;2018;4775.0;196.0
5474;Total property tax;Maasdriel;2019;4924.0;199.0
5475;Total property tax;Maasdriel;2020;5172.0;207.0
5476;Total property tax;Maasdriel;2021;5335.0;210.0
5477;Total property tax;Maasdriel;2022;5475.0;215.0
5478;Total property tax;Maasdriel;2023;5722.0;220.0
5479;Total property tax;Maasdriel;2024;5855.0;224.0
5480;Total property tax;Maasdriel;2025;6530.0;248.0
5481;Total property tax;Maasgouw;2005;;
5482;Total property tax;Maasgouw;2006;;
5483;Total property tax;Maasgouw;2007;;
5484;Total property tax;Maasgouw;2008;3290.0;134.0
5485;Total property tax;Maasgouw;2009;3236.0;133.0
5486;Total property tax;Maasgouw;2010;3236.0;133.0
5487;Total property tax;Maasgouw;2011;3293.0;135.0
5488;Total property tax;Maasgouw;2012;3584.0;149.0
5489;Total property tax;Maasgouw;2013;3765.0;156.0
5490;Total property tax;Maasgouw;2014;3893.0;163.0
5491;Total property tax;Maasgouw;2015;3983.0;168.0
5492;Total property tax;Maasgouw;2016;4068.0;171.0
5493;Total property tax;Maasgouw;2017;4081.0;172.0
5494;Total property tax;Maasgouw;2018;3816.0;161.0
5495;Total property tax;Maasgouw;2019;3850.0;162.0
5496;Total property tax;Maasgouw;2020;3950.0;165.0
5497;Total property tax;Maasgouw;2021;4321.0;180.0
5498;Total property tax;Maasgouw;2022;4473.0;186.0
5499;Total property tax;Maasgouw;2023;4563.0;188.0
5500;Total property tax;Maasgouw;2024;5326.0;218.0
5501;Total property tax;Maasgouw;2025;5506.0;225.0
5502;Total property tax;Maashorst;2005;;
5503;Total property tax;Maashorst;2006;;
5504;Total property tax;Maashorst;2007;;
5505;Total property tax;Maashorst;2008;;
5506;Total property tax;Maashorst;2009;;
5507;Total property tax;Maashorst;2010;;
5508;Total property tax;Maashorst;2011;;
5509;Total property tax;Maashorst;2012;;
5510;Total property tax;Maashorst;2013;;
5511;Total property tax;Maashorst;2014;;
5512;Total property tax;Maashorst;2015;;
5513;Total property tax;Maashorst;2016;;
5514;Total property tax;Maashorst;2017;;
5515;Total property tax;Maashorst;2018;;
5516;Total property tax;Maashorst;2019;;
5517;Total property tax;Maashorst;2020;;
5518;Total property tax;Maashorst;2021;;
5519;Total property tax;Maashorst;2022;13918.0;238.0
5520;Total property tax;Maashorst;2023;14303.0;243.0
5521;Total property tax;Maashorst;2024;14973.0;253.0
5522;Total property tax;Maashorst;2025;16983.0;285.0
5523;Total property tax;Maassluis;2005;4861.0;150.0
5524;Total property tax;Maassluis;2006;3401.0;106.0
5525;Total property tax;Maassluis;2007;3494.0;110.0
5526;Total property tax;Maassluis;2008;3511.0;111.0
5527;Total property tax;Maassluis;2009;3598.0;115.0
5528;Total property tax;Maassluis;2010;3688.0;117.0
5529;Total property tax;Maassluis;2011;4740.0;149.0
5530;Total property tax;Maassluis;2012;4846.0;152.0
5531;Total property tax;Maassluis;2013;4846.0;152.0
5532;Total property tax;Maassluis;2014;4846.0;151.0
5533;Total property tax;Maassluis;2015;5019.0;156.0
5534;Total property tax;Maassluis;2016;5371.0;166.0
5535;Total property tax;Maassluis;2017;5648.0;174.0
5536;Total property tax;Maassluis;2018;5906.0;182.0
5537;Total property tax;Maassluis;2019;6180.0;188.0
5538;Total property tax;Maassluis;2020;6405.0;193.0
5539;Total property tax;Maassluis;2021;6754.0;201.0
5540;Total property tax;Maassluis;2022;7174.0;210.0
5541;Total property tax;Maassluis;2023;7973.0;226.0
5542;Total property tax;Maassluis;2024;8355.0;233.0
5543;Total property tax;Maassluis;2025;8666.0;238.0
5544;Total property tax;Maastricht;2005;31480.0;259.0
5545;Total property tax;Maastricht;2006;32044.0;266.0
5546;Total property tax;Maastricht;2007;23558.0;198.0
5547;Total property tax;Maastricht;2008;23920.0;203.0
5548;Total property tax;Maastricht;2009;24638.0;208.0
5549;Total property tax;Maastricht;2010;25696.0;217.0
5550;Total property tax;Maastricht;2011;25905.0;216.0
5551;Total property tax;Maastricht;2012;27272.0;225.0
5552;Total property tax;Maastricht;2013;28350.0;232.0
5553;Total property tax;Maastricht;2014;28872.0;236.0
5554;Total property tax;Maastricht;2015;29305.0;239.0
5555;Total property tax;Maastricht;2016;29598.0;242.0
5556;Total property tax;Maastricht;2017;30189.0;246.0
5557;Total property tax;Maastricht;2018;30854.0;251.0
5558;Total property tax;Maastricht;2019;32075.0;264.0
5559;Total property tax;Maastricht;2020;33277.0;274.0
5560;Total property tax;Maastricht;2021;35471.0;295.0
5561;Total property tax;Maastricht;2022;36146.0;298.0
5562;Total property tax;Maastricht;2023;38164.0;311.0
5563;Total property tax;Maastricht;2024;40390.0;323.0
5564;Total property tax;Maastricht;2025;43343.0;344.0
5565;Total property tax;Margraten;2005;2371.0;175.0
5566;Total property tax;Margraten;2006;1566.0;115.0
5567;Total property tax;Margraten;2007;1579.0;116.0
5568;Total property tax;Margraten;2008;1898.0;140.0
5569;Total property tax;Margraten;2009;1864.0;140.0
5570;Total property tax;Margraten;2010;1858.0;139.0
5571;Total property tax;Margraten;2011;;
5572;Total property tax;Margraten;2012;;
5573;Total property tax;Margraten;2013;;
5574;Total property tax;Margraten;2014;;
5575;Total property tax;Margraten;2015;;
5576;Total property tax;Margraten;2016;;
5577;Total property tax;Margraten;2017;;
5578;Total property tax;Margraten;2018;;
5579;Total property tax;Margraten;2019;;
5580;Total property tax;Margraten;2020;;
5581;Total property tax;Margraten;2021;;
5582;Total property tax;Margraten;2022;;
5583;Total property tax;Margraten;2023;;
5584;Total property tax;Margraten;2024;;
5585;Total property tax;Margraten;2025;;
5586;Total property tax;De Marne;2005;1693.0;151.0
5587;Total property tax;De Marne;2006;;
5588;Total property tax;De Marne;2007;;
5589;Total property tax;De Marne;2008;1268.0;118.0
5590;Total property tax;De Marne;2009;1425.0;135.0
5591;Total property tax;De Marne;2010;1520.0;145.0
5592;Total property tax;De Marne;2011;1561.0;149.0
5593;Total property tax;De Marne;2012;1816.0;175.0
5594;Total property tax;De Marne;2013;2017.0;195.0
5595;Total property tax;De Marne;2014;2241.0;219.0
5596;Total property tax;De Marne;2015;2444.0;241.0
5597;Total property tax;De Marne;2016;2612.0;259.0
5598;Total property tax;De Marne;2017;2697.0;267.0
5599;Total property tax;De Marne;2018;2777.0;276.0
5600;Total property tax;De Marne;2019;;
5601;Total property tax;De Marne;2020;;
5602;Total property tax;De Marne;2021;;
5603;Total property tax;De Marne;2022;;
5604;Total property tax;De Marne;2023;;
5605;Total property tax;De Marne;2024;;
5606;Total property tax;De Marne;2025;;
5607;Total property tax;Marum;2005;1599.0;157.0
5608;Total property tax;Marum;2006;1041.0;103.0
5609;Total property tax;Marum;2007;1089.0;108.0
5610;Total property tax;Marum;2008;1188.0;117.0
5611;Total property tax;Marum;2009;1247.0;121.0
5612;Total property tax;Marum;2010;1273.0;121.0
5613;Total property tax;Marum;2011;1364.0;130.0
5614;Total property tax;Marum;2012;1451.0;139.0
5615;Total property tax;Marum;2013;1476.0;142.0
5616;Total property tax;Marum;2014;1521.0;147.0
5617;Total property tax;Marum;2015;1552.0;151.0
5618;Total property tax;Marum;2016;1584.0;154.0
5619;Total property tax;Marum;2017;1666.0;160.0
5620;Total property tax;Marum;2018;1710.0;163.0
5621;Total property tax;Marum;2019;;
5622;Total property tax;Marum;2020;;
5623;Total property tax;Marum;2021;;
5624;Total property tax;Marum;2022;;
5625;Total property tax;Marum;2023;;
5626;Total property tax;Marum;2024;;
5627;Total property tax;Marum;2025;;
5628;Total property tax;Medemblik;2005;;
5629;Total property tax;Medemblik;2006;931.0;114.0
5630;Total property tax;Medemblik;2007;;
5631;Total property tax;Medemblik;2008;2532.0;95.0
5632;Total property tax;Medemblik;2009;2663.0;99.0
5633;Total property tax;Medemblik;2010;2835.0;103.0
5634;Total property tax;Medemblik;2011;;
5635;Total property tax;Medemblik;2012;5712.0;132.0
5636;Total property tax;Medemblik;2013;5794.0;134.0
5637;Total property tax;Medemblik;2014;5794.0;134.0
5638;Total property tax;Medemblik;2015;5790.0;133.0
5639;Total property tax;Medemblik;2016;5894.0;135.0
5640;Total property tax;Medemblik;2017;5998.0;136.0
5641;Total property tax;Medemblik;2018;6093.0;137.0
5642;Total property tax;Medemblik;2019;6324.0;141.0
5643;Total property tax;Medemblik;2020;6513.0;144.0
5644;Total property tax;Medemblik;2021;7544.0;167.0
5645;Total property tax;Medemblik;2022;8878.0;195.0
5646;Total property tax;Medemblik;2023;14355.0;312.0
5647;Total property tax;Medemblik;2024;14821.0;322.0
5648;Total property tax;Medemblik;2025;15163.0;330.0
5649;Total property tax;Meerlo-Wanssum;2005;1489.0;192.0
5650;Total property tax;Meerlo-Wanssum;2006;1028.0;134.0
5651;Total property tax;Meerlo-Wanssum;2007;1056.0;138.0
5652;Total property tax;Meerlo-Wanssum;2008;1105.0;144.0
5653;Total property tax;Meerlo-Wanssum;2009;1130.0;145.0
5654;Total property tax;Meerlo-Wanssum;2010;;
5655;Total property tax;Meerlo-Wanssum;2011;;
5656;Total property tax;Meerlo-Wanssum;2012;;
5657;Total property tax;Meerlo-Wanssum;2013;;
5658;Total property tax;Meerlo-Wanssum;2014;;
5659;Total property tax;Meerlo-Wanssum;2015;;
5660;Total property tax;Meerlo-Wanssum;2016;;
5661;Total property tax;Meerlo-Wanssum;2017;;
5662;Total property tax;Meerlo-Wanssum;2018;;
5663;Total property tax;Meerlo-Wanssum;2019;;
5664;Total property tax;Meerlo-Wanssum;2020;;
5665;Total property tax;Meerlo-Wanssum;2021;;
5666;Total property tax;Meerlo-Wanssum;2022;;
5667;Total property tax;Meerlo-Wanssum;2023;;
5668;Total property tax;Meerlo-Wanssum;2024;;
5669;Total property tax;Meerlo-Wanssum;2025;;
5670;Total property tax;Meerssen;2005;3663.0;184.0
5671;Total property tax;Meerssen;2006;2218.0;112.0
5672;Total property tax;Meerssen;2007;2257.0;115.0
5673;Total property tax;Meerssen;2008;2352.0;119.0
5674;Total property tax;Meerssen;2009;2438.0;123.0
5675;Total property tax;Meerssen;2010;2636.0;135.0
5676;Total property tax;Meerssen;2011;2731.0;140.0
5677;Total property tax;Meerssen;2012;2812.0;145.0
5678;Total property tax;Meerssen;2013;2823.0;146.0
5679;Total property tax;Meerssen;2014;3049.0;158.0
5680;Total property tax;Meerssen;2015;;
5681;Total property tax;Meerssen;2016;4398.0;231.0
5682;Total property tax;Meerssen;2017;4531.0;238.0
5683;Total property tax;Meerssen;2018;4650.0;244.0
5684;Total property tax;Meerssen;2019;4586.0;242.0
5685;Total property tax;Meerssen;2020;4793.0;255.0
5686;Total property tax;Meerssen;2021;5008.0;269.0
5687;Total property tax;Meerssen;2022;5234.0;282.0
5688;Total property tax;Meerssen;2023;5417.0;291.0
5689;Total property tax;Meerssen;2024;5675.0;306.0
5690;Total property tax;Meerssen;2025;5872.0;318.0
5691;Total property tax;Meierijstad;2005;;
5692;Total property tax;Meierijstad;2006;;
5693;Total property tax;Meierijstad;2007;;
5694;Total property tax;Meierijstad;2008;;
5695;Total property tax;Meierijstad;2009;;
5696;Total property tax;Meierijstad;2010;;
5697;Total property tax;Meierijstad;2011;;
5698;Total property tax;Meierijstad;2012;;
5699;Total property tax;Meierijstad;2013;;
5700;Total property tax;Meierijstad;2014;;
5701;Total property tax;Meierijstad;2015;;
5702;Total property tax;Meierijstad;2016;;
5703;Total property tax;Meierijstad;2017;;
5704;Total property tax;Meierijstad;2018;17522.0;219.0
5705;Total property tax;Meierijstad;2019;18225.0;225.0
5706;Total property tax;Meierijstad;2020;18747.0;231.0
5707;Total property tax;Meierijstad;2021;19732.0;242.0
5708;Total property tax;Meierijstad;2022;20437.0;247.0
5709;Total property tax;Meierijstad;2023;21195.0;253.0
5710;Total property tax;Meierijstad;2024;22361.0;265.0
5711;Total property tax;Meierijstad;2025;23203.0;274.0
5712;Total property tax;Meijel;2005;1052.0;180.0
5713;Total property tax;Meijel;2006;674.0;115.0
5714;Total property tax;Meijel;2007;;
5715;Total property tax;Meijel;2008;778.0;130.0
5716;Total property tax;Meijel;2009;827.0;138.0
5717;Total property tax;Meijel;2010;;
5718;Total property tax;Meijel;2011;;
5719;Total property tax;Meijel;2012;;
5720;Total property tax;Meijel;2013;;
5721;Total property tax;Meijel;2014;;
5722;Total property tax;Meijel;2015;;
5723;Total property tax;Meijel;2016;;
5724;Total property tax;Meijel;2017;;
5725;Total property tax;Meijel;2018;;
5726;Total property tax;Meijel;2019;;
5727;Total property tax;Meijel;2020;;
5728;Total property tax;Meijel;2021;;
5729;Total property tax;Meijel;2022;;
5730;Total property tax;Meijel;2023;;
5731;Total property tax;Meijel;2024;;
5732;Total property tax;Meijel;2025;;
5733;Total property tax;Menaldumadeel;2005;1991.0;143.0
5734;Total property tax;Menaldumadeel;2006;1299.0;94.0
5735;Total property tax;Menaldumadeel;2007;1288.0;94.0
5736;Total property tax;Menaldumadeel;2008;;
5737;Total property tax;Menaldumadeel;2009;1367.0;100.0
5738;Total property tax;Menaldumadeel;2010;1436.0;105.0
5739;Total property tax;Menaldumadeel;2011;;
5740;Total property tax;Menaldumadeel;2012;;
5741;Total property tax;Menaldumadeel;2013;;
5742;Total property tax;Menaldumadeel;2014;;
5743;Total property tax;Menaldumadeel;2015;;
5744;Total property tax;Menaldumadeel;2016;;
5745;Total property tax;Menaldumadeel;2017;;
5746;Total property tax;Menaldumadeel;2018;;
5747;Total property tax;Menaldumadeel;2019;;
5748;Total property tax;Menaldumadeel;2020;;
5749;Total property tax;Menaldumadeel;2021;;
5750;Total property tax;Menaldumadeel;2022;;
5751;Total property tax;Menaldumadeel;2023;;
5752;Total property tax;Menaldumadeel;2024;;
5753;Total property tax;Menaldumadeel;2025;;
5754;Total property tax;Menameradiel;2005;;
5755;Total property tax;Menameradiel;2006;;
5756;Total property tax;Menameradiel;2007;;
5757;Total property tax;Menameradiel;2008;;
5758;Total property tax;Menameradiel;2009;;
5759;Total property tax;Menameradiel;2010;;
5760;Total property tax;Menameradiel;2011;1523.0;111.0
5761;Total property tax;Menameradiel;2012;1579.0;115.0
5762;Total property tax;Menameradiel;2013;1648.0;120.0
5763;Total property tax;Menameradiel;2014;1698.0;124.0
5764;Total property tax;Menameradiel;2015;1799.0;132.0
5765;Total property tax;Menameradiel;2016;1845.0;136.0
5766;Total property tax;Menameradiel;2017;1845.0;137.0
5767;Total property tax;Menameradiel;2018;;
5768;Total property tax;Menameradiel;2019;;
5769;Total property tax;Menameradiel;2020;;
5770;Total property tax;Menameradiel;2021;;
5771;Total property tax;Menameradiel;2022;;
5772;Total property tax;Menameradiel;2023;;
5773;Total property tax;Menameradiel;2024;;
5774;Total property tax;Menameradiel;2025;;
5775;Total property tax;Menterwolde;2005;2688.0;214.0
5776;Total property tax;Menterwolde;2006;1892.0;150.0
5777;Total property tax;Menterwolde;2007;1947.0;155.0
5778;Total property tax;Menterwolde;2008;1992.0;159.0
5779;Total property tax;Menterwolde;2009;2102.0;168.0
5780;Total property tax;Menterwolde;2010;2266.0;182.0
5781;Total property tax;Menterwolde;2011;2322.0;187.0
5782;Total property tax;Menterwolde;2012;2413.0;196.0
5783;Total property tax;Menterwolde;2013;2519.0;203.0
5784;Total property tax;Menterwolde;2014;2572.0;210.0
5785;Total property tax;Menterwolde;2015;2604.0;214.0
5786;Total property tax;Menterwolde;2016;2625.0;215.0
5787;Total property tax;Menterwolde;2017;2857.0;235.0
5788;Total property tax;Menterwolde;2018;;
5789;Total property tax;Menterwolde;2019;;
5790;Total property tax;Menterwolde;2020;;
5791;Total property tax;Menterwolde;2021;;
5792;Total property tax;Menterwolde;2022;;
5793;Total property tax;Menterwolde;2023;;
5794;Total property tax;Menterwolde;2024;;
5795;Total property tax;Menterwolde;2025;;
5796;Total property tax;Meppel;2005;5230.0;172.0
5797;Total property tax;Meppel;2006;;
5798;Total property tax;Meppel;2007;4130.0;133.0
5799;Total property tax;Meppel;2008;;
5800;Total property tax;Meppel;2009;4684.0;146.0
5801;Total property tax;Meppel;2010;5168.0;159.0
5802;Total property tax;Meppel;2011;5431.0;167.0
5803;Total property tax;Meppel;2012;6073.0;187.0
5804;Total property tax;Meppel;2013;6380.0;195.0
5805;Total property tax;Meppel;2014;6528.0;199.0
5806;Total property tax;Meppel;2015;7120.0;217.0
5807;Total property tax;Meppel;2016;7353.0;224.0
5808;Total property tax;Meppel;2017;7483.0;227.0
5809;Total property tax;Meppel;2018;7734.0;231.0
5810;Total property tax;Meppel;2019;7951.0;237.0
5811;Total property tax;Meppel;2020;8372.0;247.0
5812;Total property tax;Meppel;2021;9454.0;275.0
5813;Total property tax;Meppel;2022;9691.0;279.0
5814;Total property tax;Meppel;2023;10017.0;282.0
5815;Total property tax;Meppel;2024;11429.0;319.0
5816;Total property tax;Meppel;2025;11852.0;327.0
5817;Total property tax;Middelburg (Z.);2005;8688.0;186.0
5818;Total property tax;Middelburg (Z.);2006;6092.0;130.0
5819;Total property tax;Middelburg (Z.);2007;6185.0;131.0
5820;Total property tax;Middelburg (Z.);2008;6361.0;135.0
5821;Total property tax;Middelburg (Z.);2009;6741.0;142.0
5822;Total property tax;Middelburg (Z.);2010;7094.0;148.0
5823;Total property tax;Middelburg (Z.);2011;7471.0;156.0
5824;Total property tax;Middelburg (Z.);2012;7689.0;161.0
5825;Total property tax;Middelburg (Z.);2013;7944.0;167.0
5826;Total property tax;Middelburg (Z.);2014;8163.0;171.0
5827;Total property tax;Middelburg (Z.);2015;8329.0;175.0
5828;Total property tax;Middelburg (Z.);2016;9172.0;192.0
5829;Total property tax;Middelburg (Z.);2017;9341.0;195.0
5830;Total property tax;Middelburg (Z.);2018;9480.0;196.0
5831;Total property tax;Middelburg (Z.);2019;10673.0;220.0
5832;Total property tax;Middelburg (Z.);2020;11100.0;227.0
5833;Total property tax;Middelburg (Z.);2021;13849.0;283.0
5834;Total property tax;Middelburg (Z.);2022;14126.0;287.0
5835;Total property tax;Middelburg (Z.);2023;14167.0;284.0
5836;Total property tax;Middelburg (Z.);2024;14827.0;297.0
5837;Total property tax;Middelburg (Z.);2025;15403.0;307.0
5838;Total property tax;Middelharnis;2005;2241.0;128.0
5839;Total property tax;Middelharnis;2006;1564.0;89.0
5840;Total property tax;Middelharnis;2007;1508.0;85.0
5841;Total property tax;Middelharnis;2008;1692.0;96.0
5842;Total property tax;Middelharnis;2009;1718.0;96.0
5843;Total property tax;Middelharnis;2010;1782.0;99.0
5844;Total property tax;Middelharnis;2011;1826.0;101.0
5845;Total property tax;Middelharnis;2012;1978.0;110.0
5846;Total property tax;Middelharnis;2013;;
5847;Total property tax;Middelharnis;2014;;
5848;Total property tax;Middelharnis;2015;;
5849;Total property tax;Middelharnis;2016;;
5850;Total property tax;Middelharnis;2017;;
5851;Total property tax;Middelharnis;2018;;
5852;Total property tax;Middelharnis;2019;;
5853;Total property tax;Middelharnis;2020;;
5854;Total property tax;Middelharnis;2021;;
5855;Total property tax;Middelharnis;2022;;
5856;Total property tax;Middelharnis;2023;;
5857;Total property tax;Middelharnis;2024;;
5858;Total property tax;Middelharnis;2025;;
5859;Total property tax;Midden-Delfland;2005;3348.0;196.0
5860;Total property tax;Midden-Delfland;2006;2554.0;147.0
5861;Total property tax;Midden-Delfland;2007;2616.0;150.0
5862;Total property tax;Midden-Delfland;2008;2655.0;152.0
5863;Total property tax;Midden-Delfland;2009;3202.0;182.0
5864;Total property tax;Midden-Delfland;2010;3414.0;190.0
5865;Total property tax;Midden-Delfland;2011;3494.0;193.0
5866;Total property tax;Midden-Delfland;2012;3422.0;188.0
5867;Total property tax;Midden-Delfland;2013;3535.0;193.0
5868;Total property tax;Midden-Delfland;2014;3989.0;216.0
5869;Total property tax;Midden-Delfland;2015;4073.0;218.0
5870;Total property tax;Midden-Delfland;2016;4005.0;212.0
5871;Total property tax;Midden-Delfland;2017;4071.0;214.0
5872;Total property tax;Midden-Delfland;2018;4213.0;218.0
5873;Total property tax;Midden-Delfland;2019;4412.0;227.0
5874;Total property tax;Midden-Delfland;2020;4873.0;252.0
5875;Total property tax;Midden-Delfland;2021;5445.0;281.0
5876;Total property tax;Midden-Delfland;2022;5761.0;296.0
5877;Total property tax;Midden-Delfland;2023;6214.0;319.0
5878;Total property tax;Midden-Delfland;2024;6564.0;339.0
5879;Total property tax;Midden-Delfland;2025;6763.0;348.0
5880;Total property tax;Midden-Drenthe;2005;5644.0;171.0
5881;Total property tax;Midden-Drenthe;2006;4160.0;125.0
5882;Total property tax;Midden-Drenthe;2007;4361.0;130.0
5883;Total property tax;Midden-Drenthe;2008;4576.0;136.0
5884;Total property tax;Midden-Drenthe;2009;4761.0;141.0
5885;Total property tax;Midden-Drenthe;2010;4852.0;144.0
5886;Total property tax;Midden-Drenthe;2011;5073.0;151.0
5887;Total property tax;Midden-Drenthe;2012;5320.0;159.0
5888;Total property tax;Midden-Drenthe;2013;5445.0;163.0
5889;Total property tax;Midden-Drenthe;2014;5600.0;168.0
5890;Total property tax;Midden-Drenthe;2015;5684.0;171.0
5891;Total property tax;Midden-Drenthe;2016;5826.0;174.0
5892;Total property tax;Midden-Drenthe;2017;5930.0;177.0
5893;Total property tax;Midden-Drenthe;2018;6045.0;182.0
5894;Total property tax;Midden-Drenthe;2019;6200.0;187.0
5895;Total property tax;Midden-Drenthe;2020;6310.0;190.0
5896;Total property tax;Midden-Drenthe;2021;6415.0;192.0
5897;Total property tax;Midden-Drenthe;2022;6732.0;200.0
5898;Total property tax;Midden-Drenthe;2023;7120.0;209.0
5899;Total property tax;Midden-Drenthe;2024;8120.0;238.0
5900;Total property tax;Midden-Drenthe;2025;;
5901;Total property tax;Midden-Groningen;2005;;
5902;Total property tax;Midden-Groningen;2006;;
5903;Total property tax;Midden-Groningen;2007;;
5904;Total property tax;Midden-Groningen;2008;;
5905;Total property tax;Midden-Groningen;2009;;
5906;Total property tax;Midden-Groningen;2010;;
5907;Total property tax;Midden-Groningen;2011;;
5908;Total property tax;Midden-Groningen;2012;;
5909;Total property tax;Midden-Groningen;2013;;
5910;Total property tax;Midden-Groningen;2014;;
5911;Total property tax;Midden-Groningen;2015;;
5912;Total property tax;Midden-Groningen;2016;;
5913;Total property tax;Midden-Groningen;2017;;
5914;Total property tax;Midden-Groningen;2018;;
5915;Total property tax;Midden-Groningen;2019;15480.0;254.0
5916;Total property tax;Midden-Groningen;2020;17650.0;290.0
5917;Total property tax;Midden-Groningen;2021;19828.0;326.0
5918;Total property tax;Midden-Groningen;2022;20649.0;339.0
5919;Total property tax;Midden-Groningen;2023;21486.0;349.0
5920;Total property tax;Midden-Groningen;2024;24173.0;393.0
5921;Total property tax;Midden-Groningen;2025;24747.0;403.0
5922;Total property tax;Mill en Sint Hubert;2005;2164.0;197.0
5923;Total property tax;Mill en Sint Hubert;2006;1504.0;136.0
5924;Total property tax;Mill en Sint Hubert;2007;1654.0;151.0
5925;Total property tax;Mill en Sint Hubert;2008;1726.0;157.0
5926;Total property tax;Mill en Sint Hubert;2009;1846.0;167.0
5927;Total property tax;Mill en Sint Hubert;2010;1926.0;174.0
5928;Total property tax;Mill en Sint Hubert;2011;2089.0;190.0
5929;Total property tax;Mill en Sint Hubert;2012;2253.0;206.0
5930;Total property tax;Mill en Sint Hubert;2013;2369.0;217.0
5931;Total property tax;Mill en Sint Hubert;2014;2440.0;225.0
5932;Total property tax;Mill en Sint Hubert;2015;;
5933;Total property tax;Mill en Sint Hubert;2016;2590.0;240.0
5934;Total property tax;Mill en Sint Hubert;2017;2671.0;247.0
5935;Total property tax;Mill en Sint Hubert;2018;2857.0;264.0
5936;Total property tax;Mill en Sint Hubert;2019;2847.0;261.0
5937;Total property tax;Mill en Sint Hubert;2020;2922.0;267.0
5938;Total property tax;Mill en Sint Hubert;2021;2946.0;268.0
5939;Total property tax;Mill en Sint Hubert;2022;;
5940;Total property tax;Mill en Sint Hubert;2023;;
5941;Total property tax;Mill en Sint Hubert;2024;;
5942;Total property tax;Mill en Sint Hubert;2025;;
5943;Total property tax;Millingen aan de Rijn;2005;977.0;166.0
5944;Total property tax;Millingen aan de Rijn;2006;722.0;123.0
5945;Total property tax;Millingen aan de Rijn;2007;679.0;116.0
5946;Total property tax;Millingen aan de Rijn;2008;745.0;127.0
5947;Total property tax;Millingen aan de Rijn;2009;792.0;135.0
5948;Total property tax;Millingen aan de Rijn;2010;869.0;146.0
5949;Total property tax;Millingen aan de Rijn;2011;896.0;152.0
5950;Total property tax;Millingen aan de Rijn;2012;952.0;162.0
5951;Total property tax;Millingen aan de Rijn;2013;983.0;166.0
5952;Total property tax;Millingen aan de Rijn;2014;992.0;169.0
5953;Total property tax;Millingen aan de Rijn;2015;;
5954;Total property tax;Millingen aan de Rijn;2016;;
5955;Total property tax;Millingen aan de Rijn;2017;;
5956;Total property tax;Millingen aan de Rijn;2018;;
5957;Total property tax;Millingen aan de Rijn;2019;;
5958;Total property tax;Millingen aan de Rijn;2020;;
5959;Total property tax;Millingen aan de Rijn;2021;;
5960;Total property tax;Millingen aan de Rijn;2022;;
5961;Total property tax;Millingen aan de Rijn;2023;;
5962;Total property tax;Millingen aan de Rijn;2024;;
5963;Total property tax;Millingen aan de Rijn;2025;;
5964;Total property tax;Moerdijk;2005;12297.0;334.0
5965;Total property tax;Moerdijk;2006;;
5966;Total property tax;Moerdijk;2007;11008.0;301.0
5967;Total property tax;Moerdijk;2008;11257.0;306.0
5968;Total property tax;Moerdijk;2009;11694.0;319.0
5969;Total property tax;Moerdijk;2010;11687.0;320.0
5970;Total property tax;Moerdijk;2011;12065.0;330.0
5971;Total property tax;Moerdijk;2012;12455.0;341.0
