ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
1808;6   Health;CPI low income households;2002 February;111.4;0.0;1.9;516
1809;6   Health;CPI low income households;2002 March;111.4;0.0;1.4;516
1810;6   Health;CPI low income households;2002 April;111.3;-0.1;1.2;516
1811;6   Health;CPI low income households;2002 May;112.0;0.6;1.4;516
1812;6   Health;CPI low income households;2002 June;111.9;-0.1;1.3;516
1813;6   Health;CPI low income households;2002 July;112.8;0.8;2.2;516
1814;6   Health;CPI low income households;2002 August;112.9;0.1;2.1;516
1815;6   Health;CPI low income households;2002 September;112.8;-0.1;2.3;516
1816;6   Health;CPI low income households;2002 October;112.9;0.1;2.4;516
1817;6   Health;CPI low income households;2002 November;113.0;0.1;2.4;516
1818;6   Health;CPI low income households;2002 December;113.2;0.2;2.2;516
1819;6   Health;CPI low income households;2002;112.3;;1.9;516
1820;6   Health;CPI high income households;1996 January;100.4;;;508
1821;6   Health;CPI high income households;1996 February;100.4;0.0;;508
1822;6   Health;CPI high income households;1996 March;100.5;0.1;;508
1823;6   Health;CPI high income households;1996 April;100.6;0.1;;508
1824;6   Health;CPI high income households;1996 May;100.6;0.0;;508
1825;6   Health;CPI high income households;1996 June;101.2;0.6;;508
1826;6   Health;CPI high income households;1996 July;102.2;1.0;;508
1827;6   Health;CPI high income households;1996 August;102.2;0.0;;508
1828;6   Health;CPI high income households;1996 September;102.5;0.3;;508
1829;6   Health;CPI high income households;1996 October;102.6;0.1;;508
1830;6   Health;CPI high income households;1996 November;102.7;0.1;;508
1831;6   Health;CPI high income households;1996 December;102.4;-0.3;;508
1832;6   Health;CPI high income households;1996;101.5;;;508
1833;6   Health;CPI high income households;1997 January;102.5;0.1;2.1;508
1834;6   Health;CPI high income households;1997 February;102.9;0.4;2.5;508
1835;6   Health;CPI high income households;1997 March;102.9;0.0;2.4;508
1836;6   Health;CPI high income households;1997 April;103.9;1.0;3.3;508
1837;6   Health;CPI high income households;1997 May;103.9;0.0;3.3;508
1838;6   Health;CPI high income households;1997 June;104.0;0.1;2.8;508
1839;6   Health;CPI high income households;1997 July;104.0;0.0;1.8;508
1840;6   Health;CPI high income households;1997 August;103.9;-0.1;1.7;508
1841;6   Health;CPI high income households;1997 September;104.0;0.1;1.5;508
1842;6   Health;CPI high income households;1997 October;104.0;0.0;1.4;508
1843;6   Health;CPI high income households;1997 November;104.0;0.0;1.3;508
1844;6   Health;CPI high income households;1997 December;103.9;-0.1;1.5;508
1845;6   Health;CPI high income households;1997;103.7;;2.2;508
1846;6   Health;CPI high income households;1998 January;104.3;0.4;1.8;508
1847;6   Health;CPI high income households;1998 February;104.2;-0.1;1.3;508
1848;6   Health;CPI high income households;1998 March;104.0;-0.2;1.1;508
1849;6   Health;CPI high income households;1998 April;104.1;0.1;0.2;508
1850;6   Health;CPI high income households;1998 May;104.2;0.1;0.3;508
1851;6   Health;CPI high income households;1998 June;104.1;-0.1;0.1;508
1852;6   Health;CPI high income households;1998 July;103.9;-0.2;-0.1;508
1853;6   Health;CPI high income households;1998 August;104.0;0.1;0.1;508
1854;6   Health;CPI high income households;1998 September;104.0;0.0;0.0;508
1855;6   Health;CPI high income households;1998 October;103.9;-0.1;-0.1;508
1856;6   Health;CPI high income households;1998 November;104.2;0.3;0.2;508
1857;6   Health;CPI high income households;1998 December;104.1;-0.1;0.2;508
1858;6   Health;CPI high income households;1998;104.1;;0.4;508
1859;6   Health;CPI high income households;1999 January;104.3;0.2;0.0;508
1860;6   Health;CPI high income households;1999 February;104.6;0.3;0.4;508
1861;6   Health;CPI high income households;1999 March;104.9;0.3;0.9;508
1862;6   Health;CPI high income households;1999 April;105.0;0.1;0.9;508
1863;6   Health;CPI high income households;1999 May;105.3;0.3;1.1;508
1864;6   Health;CPI high income households;1999 June;105.3;0.0;1.2;508
1865;6   Health;CPI high income households;1999 July;105.2;-0.1;1.3;508
1866;6   Health;CPI high income households;1999 August;105.8;0.6;1.7;508
1867;6   Health;CPI high income households;1999 September;105.9;0.1;1.8;508
1868;6   Health;CPI high income households;1999 October;105.9;0.0;1.9;508
1869;6   Health;CPI high income households;1999 November;106.0;0.1;1.7;508
1870;6   Health;CPI high income households;1999 December;105.9;-0.1;1.7;508
1871;6   Health;CPI high income households;1999;105.3;;1.2;508
1872;6   Health;CPI high income households;2000 January;106.2;0.3;1.8;508
1873;6   Health;CPI high income households;2000 February;106.3;0.1;1.6;508
1874;6   Health;CPI high income households;2000 March;106.3;0.0;1.3;508
1875;6   Health;CPI high income households;2000 April;106.8;0.5;1.7;508
1876;6   Health;CPI high income households;2000 May;107.1;0.3;1.7;508
1877;6   Health;CPI high income households;2000 June;107.0;-0.1;1.6;508
1878;6   Health;CPI high income households;2000 July;107.0;0.0;1.7;508
1879;6   Health;CPI high income households;2000 August;107.1;0.1;1.2;508
1880;6   Health;CPI high income households;2000 September;107.2;0.1;1.2;508
1881;6   Health;CPI high income households;2000 October;107.8;0.6;1.8;508
1882;6   Health;CPI high income households;2000 November;107.8;0.0;1.7;508
1883;6   Health;CPI high income households;2000 December;107.9;0.1;1.9;508
1884;6   Health;CPI high income households;2000;107.0;;1.6;508
1885;6   Health;CPI high income households;2001 January;109.0;1.0;2.6;508
1886;6   Health;CPI high income households;2001 February;109.1;0.1;2.6;508
1887;6   Health;CPI high income households;2001 March;109.8;0.6;3.3;508
1888;6   Health;CPI high income households;2001 April;109.8;0.0;2.8;508
1889;6   Health;CPI high income households;2001 May;110.4;0.5;3.1;508
1890;6   Health;CPI high income households;2001 June;110.4;0.0;3.2;508
1891;6   Health;CPI high income households;2001 July;110.3;-0.1;3.1;508
1892;6   Health;CPI high income households;2001 August;110.4;0.1;3.1;508
1893;6   Health;CPI high income households;2001 September;110.2;-0.2;2.8;508
1894;6   Health;CPI high income households;2001 October;110.3;0.1;2.3;508
1895;6   Health;CPI high income households;2001 November;110.4;0.1;2.4;508
1896;6   Health;CPI high income households;2001 December;110.7;0.3;2.6;508
1897;6   Health;CPI high income households;2001;110.1;;2.9;508
1898;6   Health;CPI high income households;2002 January;111.4;0.6;2.2;508
1899;6   Health;CPI high income households;2002 February;111.4;0.0;2.1;508
1900;6   Health;CPI high income households;2002 March;111.3;-0.1;1.4;508
1901;6   Health;CPI high income households;2002 April;111.2;-0.1;1.3;508
1902;6   Health;CPI high income households;2002 May;111.9;0.6;1.4;508
1903;6   Health;CPI high income households;2002 June;111.8;-0.1;1.3;508
1904;6   Health;CPI high income households;2002 July;112.6;0.7;2.1;508
1905;6   Health;CPI high income households;2002 August;112.7;0.1;2.1;508
1906;6   Health;CPI high income households;2002 September;112.7;0.0;2.3;508
1907;6   Health;CPI high income households;2002 October;112.9;0.2;2.4;508
1908;6   Health;CPI high income households;2002 November;113.0;0.1;2.4;508
1909;6   Health;CPI high income households;2002 December;113.2;0.2;2.3;508
1910;6   Health;CPI high income households;2002;112.2;;1.9;508
1911;7   Transport;CPI all households;1996 January;100.4;;;10707
1912;7   Transport;CPI all households;1996 February;100.6;0.2;;10707
1913;7   Transport;CPI all households;1996 March;100.5;-0.1;;10707
1914;7   Transport;CPI all households;1996 April;101.5;1.0;;10707
1915;7   Transport;CPI all households;1996 May;101.6;0.1;;10707
1916;7   Transport;CPI all households;1996 June;100.9;-0.7;;10707
1917;7   Transport;CPI all households;1996 July;101.1;0.2;;10707
1918;7   Transport;CPI all households;1996 August;100.9;-0.2;;10707
1919;7   Transport;CPI all households;1996 September;101.3;0.4;;10707
1920;7   Transport;CPI all households;1996 October;101.7;0.4;;10707
1921;7   Transport;CPI all households;1996 November;101.6;-0.1;;10707
1922;7   Transport;CPI all households;1996 December;101.9;0.3;;10707
1923;7   Transport;CPI all households;1996;101.2;;;10707
1924;7   Transport;CPI all households;1997 January;102.4;0.5;2.0;10707
1925;7   Transport;CPI all households;1997 February;102.4;0.0;1.8;10707
1926;7   Transport;CPI all households;1997 March;101.9;-0.5;1.4;10707
1927;7   Transport;CPI all households;1997 April;101.9;0.0;0.4;10707
1928;7   Transport;CPI all households;1997 May;102.0;0.1;0.4;10707
1929;7   Transport;CPI all households;1997 June;102.1;0.1;1.2;10707
1930;7   Transport;CPI all households;1997 July;103.8;1.7;2.7;10707
1931;7   Transport;CPI all households;1997 August;104.9;1.1;4.0;10707
1932;7   Transport;CPI all households;1997 September;104.6;-0.3;3.3;10707
1933;7   Transport;CPI all households;1997 October;104.2;-0.4;2.5;10707
1934;7   Transport;CPI all households;1997 November;104.2;0.0;2.6;10707
1935;7   Transport;CPI all households;1997 December;104.1;-0.1;2.2;10707
1936;7   Transport;CPI all households;1997;103.2;;2.0;10707
1937;7   Transport;CPI all households;1998 January;103.9;-0.2;1.5;10707
1938;7   Transport;CPI all households;1998 February;103.7;-0.2;1.3;10707
1939;7   Transport;CPI all households;1998 March;103.2;-0.5;1.3;10707
1940;7   Transport;CPI all households;1998 April;103.6;0.4;1.7;10707
1941;7   Transport;CPI all households;1998 May;103.7;0.1;1.7;10707
1942;7   Transport;CPI all households;1998 June;103.6;-0.1;1.5;10707
1943;7   Transport;CPI all households;1998 July;104.1;0.5;0.3;10707
1944;7   Transport;CPI all households;1998 August;103.5;-0.6;-1.3;10707
1945;7   Transport;CPI all households;1998 September;103.3;-0.2;-1.2;10707
1946;7   Transport;CPI all households;1998 October;103.5;0.2;-0.7;10707
1947;7   Transport;CPI all households;1998 November;103.2;-0.3;-1.0;10707
1948;7   Transport;CPI all households;1998 December;102.6;-0.6;-1.4;10707
1949;7   Transport;CPI all households;1998;103.5;;0.3;10707
1950;7   Transport;CPI all households;1999 January;103.7;1.1;-0.2;10707
1951;7   Transport;CPI all households;1999 February;103.6;-0.1;-0.1;10707
1952;7   Transport;CPI all households;1999 March;104.1;0.5;0.9;10707
1953;7   Transport;CPI all households;1999 April;105.1;1.0;1.4;10707
1954;7   Transport;CPI all households;1999 May;105.3;0.2;1.5;10707
1955;7   Transport;CPI all households;1999 June;105.5;0.2;1.8;10707
1956;7   Transport;CPI all households;1999 July;106.8;1.2;2.6;10707
1957;7   Transport;CPI all households;1999 August;107.6;0.7;4.0;10707
1958;7   Transport;CPI all households;1999 September;107.7;0.1;4.3;10707
1959;7   Transport;CPI all households;1999 October;107.8;0.1;4.2;10707
1960;7   Transport;CPI all households;1999 November;108.6;0.7;5.2;10707
1961;7   Transport;CPI all households;1999 December;109.0;0.4;6.2;10707
1962;7   Transport;CPI all households;1999;106.2;;2.6;10707
1963;7   Transport;CPI all households;2000 January;109.3;0.3;5.4;10707
1964;7   Transport;CPI all households;2000 February;111.2;1.7;7.3;10707
1965;7   Transport;CPI all households;2000 March;112.4;1.1;8.0;10707
1966;7   Transport;CPI all households;2000 April;111.5;-0.8;6.1;10707
1967;7   Transport;CPI all households;2000 May;113.6;1.9;7.9;10707
1968;7   Transport;CPI all households;2000 June;115.4;1.6;9.4;10707
1969;7   Transport;CPI all households;2000 July;115.0;-0.3;7.7;10707
1970;7   Transport;CPI all households;2000 August;115.0;0.0;6.9;10707
1971;7   Transport;CPI all households;2000 September;116.3;1.1;8.0;10707
1972;7   Transport;CPI all households;2000 October;116.3;0.0;7.9;10707
1973;7   Transport;CPI all households;2000 November;115.9;-0.3;6.7;10707
1974;7   Transport;CPI all households;2000 December;114.0;-1.6;4.6;10707
1975;7   Transport;CPI all households;2000;113.8;;7.2;10707
1976;7   Transport;CPI all households;2001 January;116.2;1.9;6.3;10707
1977;7   Transport;CPI all households;2001 February;116.6;0.3;4.9;10707
1978;7   Transport;CPI all households;2001 March;116.2;-0.3;3.4;10707
1979;7   Transport;CPI all households;2001 April;118.0;1.5;5.8;10707
1980;7   Transport;CPI all households;2001 May;119.2;1.0;4.9;10707
1981;7   Transport;CPI all households;2001 June;117.9;-1.1;2.2;10707
1982;7   Transport;CPI all households;2001 July;116.5;-1.2;1.3;10707
1983;7   Transport;CPI all households;2001 August;116.3;-0.2;1.1;10707
1984;7   Transport;CPI all households;2001 September;116.7;0.3;0.3;10707
1985;7   Transport;CPI all households;2001 October;115.3;-1.2;-0.9;10707
1986;7   Transport;CPI all households;2001 November;114.4;-0.8;-1.3;10707
1987;7   Transport;CPI all households;2001 December;114.1;-0.3;0.1;10707
1988;7   Transport;CPI all households;2001;116.5;;2.4;10707
1989;7   Transport;CPI all households;2002 January;115.4;1.1;-0.7;10707
1990;7   Transport;CPI all households;2002 February;115.6;0.2;-0.9;10707
1991;7   Transport;CPI all households;2002 March;116.9;1.1;0.6;10707
1992;7   Transport;CPI all households;2002 April;118.7;1.5;0.6;10707
1993;7   Transport;CPI all households;2002 May;118.5;-0.2;-0.6;10707
1994;7   Transport;CPI all households;2002 June;118.0;-0.4;0.1;10707
1995;7   Transport;CPI all households;2002 July;118.3;0.3;1.5;10707
1996;7   Transport;CPI all households;2002 August;118.8;0.4;2.1;10707
1997;7   Transport;CPI all households;2002 September;119.5;0.6;2.4;10707
1998;7   Transport;CPI all households;2002 October;119.0;-0.4;3.2;10707
1999;7   Transport;CPI all households;2002 November;117.6;-1.2;2.8;10707
2000;7   Transport;CPI all households;2002 December;118.4;0.7;3.8;10707
2001;7   Transport;CPI all households;2002;117.9;;1.2;10707
2002;7   Transport;CPI low income households;1996 January;100.4;;;10657
2003;7   Transport;CPI low income households;1996 February;100.6;0.2;;10657
2004;7   Transport;CPI low income households;1996 March;100.5;-0.1;;10657
2005;7   Transport;CPI low income households;1996 April;101.5;1.0;;10657
2006;7   Transport;CPI low income households;1996 May;101.7;0.2;;10657
2007;7   Transport;CPI low income households;1996 June;100.9;-0.8;;10657
2008;7   Transport;CPI low income households;1996 July;101.1;0.2;;10657
2009;7   Transport;CPI low income households;1996 August;100.9;-0.2;;10657
2010;7   Transport;CPI low income households;1996 September;101.3;0.4;;10657
2011;7   Transport;CPI low income households;1996 October;101.8;0.5;;10657
2012;7   Transport;CPI low income households;1996 November;101.7;-0.1;;10657
2013;7   Transport;CPI low income households;1996 December;102.0;0.3;;10657
2014;7   Transport;CPI low income households;1996;101.2;;;10657
2015;7   Transport;CPI low income households;1997 January;102.4;0.4;2.0;10657
2016;7   Transport;CPI low income households;1997 February;102.4;0.0;1.8;10657
2017;7   Transport;CPI low income households;1997 March;101.9;-0.5;1.4;10657
2018;7   Transport;CPI low income households;1997 April;101.9;0.0;0.4;10657
2019;7   Transport;CPI low income households;1997 May;102.0;0.1;0.3;10657
2020;7   Transport;CPI low income households;1997 June;102.0;0.0;1.1;10657
2021;7   Transport;CPI low income households;1997 July;104.0;2.0;2.9;10657
2022;7   Transport;CPI low income households;1997 August;105.1;1.1;4.2;10657
2023;7   Transport;CPI low income households;1997 September;104.8;-0.3;3.5;10657
2024;7   Transport;CPI low income households;1997 October;104.4;-0.4;2.6;10657
2025;7   Transport;CPI low income households;1997 November;104.4;0.0;2.7;10657
2026;7   Transport;CPI low income households;1997 December;104.3;-0.1;2.3;10657
2027;7   Transport;CPI low income households;1997;103.3;;2.1;10657
2028;7   Transport;CPI low income households;1998 January;104.0;-0.3;1.6;10657
2029;7   Transport;CPI low income households;1998 February;103.7;-0.3;1.3;10657
2030;7   Transport;CPI low income households;1998 March;103.2;-0.5;1.3;10657
2031;7   Transport;CPI low income households;1998 April;103.6;0.4;1.7;10657
2032;7   Transport;CPI low income households;1998 May;103.7;0.1;1.7;10657
2033;7   Transport;CPI low income households;1998 June;103.6;-0.1;1.6;10657
2034;7   Transport;CPI low income households;1998 July;104.0;0.4;0.0;10657
2035;7   Transport;CPI low income households;1998 August;103.4;-0.6;-1.6;10657
2036;7   Transport;CPI low income households;1998 September;103.2;-0.2;-1.5;10657
2037;7   Transport;CPI low income households;1998 October;103.4;0.2;-1.0;10657
2038;7   Transport;CPI low income households;1998 November;103.1;-0.3;-1.2;10657
2039;7   Transport;CPI low income households;1998 December;102.5;-0.6;-1.7;10657
2040;7   Transport;CPI low income households;1998;103.5;;0.2;10657
2041;7   Transport;CPI low income households;1999 January;103.6;1.1;-0.4;10657
2042;7   Transport;CPI low income households;1999 February;103.5;-0.1;-0.2;10657
2043;7   Transport;CPI low income households;1999 March;104.0;0.5;0.8;10657
2044;7   Transport;CPI low income households;1999 April;105.1;1.1;1.4;10657
2045;7   Transport;CPI low income households;1999 May;105.3;0.2;1.5;10657
2046;7   Transport;CPI low income households;1999 June;105.6;0.3;1.9;10657
2047;7   Transport;CPI low income households;1999 July;106.8;1.1;2.7;10657
2048;7   Transport;CPI low income households;1999 August;107.6;0.7;4.1;10657
2049;7   Transport;CPI low income households;1999 September;107.8;0.2;4.5;10657
2050;7   Transport;CPI low income households;1999 October;107.9;0.1;4.4;10657
2051;7   Transport;CPI low income households;1999 November;108.8;0.8;5.5;10657
2052;7   Transport;CPI low income households;1999 December;109.2;0.4;6.5;10657
2053;7   Transport;CPI low income households;1999;106.3;;2.7;10657
2054;7   Transport;CPI low income households;2000 January;109.5;0.3;5.7;10657
2055;7   Transport;CPI low income households;2000 February;111.4;1.7;7.6;10657
2056;7   Transport;CPI low income households;2000 March;112.7;1.2;8.4;10657
2057;7   Transport;CPI low income households;2000 April;111.7;-0.9;6.3;10657
2058;7   Transport;CPI low income households;2000 May;113.9;2.0;8.2;10657
2059;7   Transport;CPI low income households;2000 June;115.8;1.7;9.7;10657
2060;7   Transport;CPI low income households;2000 July;115.2;-0.5;7.9;10657
2061;7   Transport;CPI low income households;2000 August;115.2;0.0;7.1;10657
2062;7   Transport;CPI low income households;2000 September;116.7;1.3;8.3;10657
2063;7   Transport;CPI low income households;2000 October;116.7;0.0;8.2;10657
2064;7   Transport;CPI low income households;2000 November;116.3;-0.3;6.9;10657
2065;7   Transport;CPI low income households;2000 December;114.2;-1.8;4.6;10657
2066;7   Transport;CPI low income households;2000;114.1;;7.3;10657
2067;7   Transport;CPI low income households;2001 January;116.4;1.9;6.3;10657
2068;7   Transport;CPI low income households;2001 February;116.8;0.3;4.8;10657
2069;7   Transport;CPI low income households;2001 March;116.4;-0.3;3.3;10657
2070;7   Transport;CPI low income households;2001 April;118.3;1.6;5.9;10657
2071;7   Transport;CPI low income households;2001 May;119.6;1.1;5.0;10657
2072;7   Transport;CPI low income households;2001 June;118.2;-1.2;2.1;10657
2073;7   Transport;CPI low income households;2001 July;116.5;-1.4;1.1;10657
2074;7   Transport;CPI low income households;2001 August;116.4;-0.1;1.0;10657
2075;7   Transport;CPI low income households;2001 September;116.8;0.3;0.1;10657
2076;7   Transport;CPI low income households;2001 October;115.3;-1.3;-1.2;10657
2077;7   Transport;CPI low income households;2001 November;114.4;-0.8;-1.6;10657
2078;7   Transport;CPI low income households;2001 December;114.0;-0.3;-0.2;10657
2079;7   Transport;CPI low income households;2001;116.6;;2.2;10657
2080;7   Transport;CPI low income households;2002 January;115.4;1.2;-0.9;10657
2081;7   Transport;CPI low income households;2002 February;115.6;0.2;-1.0;10657
2082;7   Transport;CPI low income households;2002 March;117.0;1.2;0.5;10657
2083;7   Transport;CPI low income households;2002 April;118.8;1.5;0.4;10657
2084;7   Transport;CPI low income households;2002 May;118.6;-0.2;-0.8;10657
2085;7   Transport;CPI low income households;2002 June;118.0;-0.5;-0.2;10657
2086;7   Transport;CPI low income households;2002 July;118.3;0.3;1.5;10657
2087;7   Transport;CPI low income households;2002 August;118.8;0.4;2.1;10657
2088;7   Transport;CPI low income households;2002 September;119.6;0.7;2.4;10657
2089;7   Transport;CPI low income households;2002 October;119.0;-0.5;3.2;10657
2090;7   Transport;CPI low income households;2002 November;117.6;-1.2;2.8;10657
2091;7   Transport;CPI low income households;2002 December;118.4;0.7;3.9;10657
2092;7   Transport;CPI low income households;2002;117.9;;1.1;10657
2093;7   Transport;CPI high income households;1996 January;100.4;;;13168
2094;7   Transport;CPI high income households;1996 February;100.5;0.1;;13168
2095;7   Transport;CPI high income households;1996 March;100.4;-0.1;;13168
2096;7   Transport;CPI high income households;1996 April;101.3;0.9;;13168
2097;7   Transport;CPI high income households;1996 May;101.3;0.0;;13168
2098;7   Transport;CPI high income households;1996 June;100.7;-0.6;;13168
2099;7   Transport;CPI high income households;1996 July;100.8;0.1;;13168
2100;7   Transport;CPI high income households;1996 August;100.6;-0.2;;13168
2101;7   Transport;CPI high income households;1996 September;101.1;0.5;;13168
2102;7   Transport;CPI high income households;1996 October;101.5;0.4;;13168
2103;7   Transport;CPI high income households;1996 November;101.5;0.0;;13168
2104;7   Transport;CPI high income households;1996 December;101.8;0.3;;13168
2105;7   Transport;CPI high income households;1996;101.0;;;13168
2106;7   Transport;CPI high income households;1997 January;102.4;0.6;2.0;13168
2107;7   Transport;CPI high income households;1997 February;102.3;-0.1;1.8;13168
2108;7   Transport;CPI high income households;1997 March;101.8;-0.5;1.4;13168
2109;7   Transport;CPI high income households;1997 April;101.7;-0.1;0.4;13168
2110;7   Transport;CPI high income households;1997 May;101.9;0.2;0.6;13168
2111;7   Transport;CPI high income households;1997 June;101.8;-0.1;1.1;13168
2112;7   Transport;CPI high income households;1997 July;103.6;1.8;2.8;13168
2113;7   Transport;CPI high income households;1997 August;104.5;0.9;3.9;13168
2114;7   Transport;CPI high income households;1997 September;104.3;-0.2;3.2;13168
2115;7   Transport;CPI high income households;1997 October;104.0;-0.3;2.5;13168
2116;7   Transport;CPI high income households;1997 November;104.0;0.0;2.5;13168
2117;7   Transport;CPI high income households;1997 December;103.9;-0.1;2.1;13168
2118;7   Transport;CPI high income households;1997;103.0;;2.0;13168
2119;7   Transport;CPI high income households;1998 January;103.7;-0.2;1.3;13168
2120;7   Transport;CPI high income households;1998 February;103.5;-0.2;1.2;13168
2121;7   Transport;CPI high income households;1998 March;103.0;-0.5;1.2;13168
2122;7   Transport;CPI high income households;1998 April;103.4;0.4;1.7;13168
2123;7   Transport;CPI high income households;1998 May;103.4;0.0;1.5;13168
2124;7   Transport;CPI high income households;1998 June;103.3;-0.1;1.5;13168
2125;7   Transport;CPI high income households;1998 July;103.7;0.4;0.1;13168
2126;7   Transport;CPI high income households;1998 August;103.2;-0.5;-1.2;13168
2127;7   Transport;CPI high income households;1998 September;103.0;-0.2;-1.2;13168
2128;7   Transport;CPI high income households;1998 October;103.3;0.3;-0.7;13168
2129;7   Transport;CPI high income households;1998 November;103.0;-0.3;-1.0;13168
2130;7   Transport;CPI high income households;1998 December;102.5;-0.5;-1.3;13168
2131;7   Transport;CPI high income households;1998;103.2;;0.2;13168
2132;7   Transport;CPI high income households;1999 January;103.4;0.9;-0.3;13168
2133;7   Transport;CPI high income households;1999 February;103.3;-0.1;-0.2;13168
2134;7   Transport;CPI high income households;1999 March;103.8;0.5;0.8;13168
2135;7   Transport;CPI high income households;1999 April;104.8;1.0;1.4;13168
2136;7   Transport;CPI high income households;1999 May;104.9;0.1;1.5;13168
2137;7   Transport;CPI high income households;1999 June;105.2;0.3;1.8;13168
2138;7   Transport;CPI high income households;1999 July;106.4;1.1;2.6;13168
2139;7   Transport;CPI high income households;1999 August;107.1;0.7;3.8;13168
2140;7   Transport;CPI high income households;1999 September;107.3;0.2;4.2;13168
2141;7   Transport;CPI high income households;1999 October;107.5;0.2;4.1;13168
2142;7   Transport;CPI high income households;1999 November;108.2;0.7;5.0;13168
2143;7   Transport;CPI high income households;1999 December;108.6;0.4;6.0;13168
2144;7   Transport;CPI high income households;1999;105.9;;2.6;13168
2145;7   Transport;CPI high income households;2000 January;109.0;0.4;5.4;13168
2146;7   Transport;CPI high income households;2000 February;110.7;1.6;7.2;13168
2147;7   Transport;CPI high income households;2000 March;111.9;1.1;7.8;13168
2148;7   Transport;CPI high income households;2000 April;111.1;-0.7;6.0;13168
2149;7   Transport;CPI high income households;2000 May;113.0;1.7;7.7;13168
2150;7   Transport;CPI high income households;2000 June;114.7;1.5;9.0;13168
2151;7   Transport;CPI high income households;2000 July;114.3;-0.3;7.4;13168
2152;7   Transport;CPI high income households;2000 August;114.4;0.1;6.8;13168
2153;7   Transport;CPI high income households;2000 September;115.7;1.1;7.8;13168
2154;7   Transport;CPI high income households;2000 October;115.9;0.2;7.8;13168
2155;7   Transport;CPI high income households;2000 November;115.5;-0.3;6.7;13168
2156;7   Transport;CPI high income households;2000 December;113.7;-1.6;4.7;13168
2157;7   Transport;CPI high income households;2000;113.3;;7.0;13168
2158;7   Transport;CPI high income households;2001 January;115.8;1.8;6.2;13168
2159;7   Transport;CPI high income households;2001 February;116.2;0.3;5.0;13168
2160;7   Transport;CPI high income households;2001 March;115.8;-0.3;3.5;13168
2161;7   Transport;CPI high income households;2001 April;117.5;1.5;5.8;13168
2162;7   Transport;CPI high income households;2001 May;118.6;0.9;5.0;13168
2163;7   Transport;CPI high income households;2001 June;117.4;-1.0;2.4;13168
2164;7   Transport;CPI high income households;2001 July;116.0;-1.2;1.5;13168
2165;7   Transport;CPI high income households;2001 August;115.9;-0.1;1.3;13168
2166;7   Transport;CPI high income households;2001 September;116.2;0.3;0.4;13168
2167;7   Transport;CPI high income households;2001 October;115.0;-1.0;-0.8;13168
2168;7   Transport;CPI high income households;2001 November;114.1;-0.8;-1.2;13168
2169;7   Transport;CPI high income households;2001 December;113.8;-0.3;0.1;13168
2170;7   Transport;CPI high income households;2001;116.0;;2.4;13168
2171;7   Transport;CPI high income households;2002 January;115.0;1.1;-0.7;13168
2172;7   Transport;CPI high income households;2002 February;115.2;0.2;-0.9;13168
2173;7   Transport;CPI high income households;2002 March;116.4;1.0;0.5;13168
2174;7   Transport;CPI high income households;2002 April;118.1;1.5;0.5;13168
2175;7   Transport;CPI high income households;2002 May;117.9;-0.2;-0.6;13168
2176;7   Transport;CPI high income households;2002 June;117.4;-0.4;0.0;13168
2177;7   Transport;CPI high income households;2002 July;117.8;0.3;1.6;13168
2178;7   Transport;CPI high income households;2002 August;118.2;0.3;2.0;13168
2179;7   Transport;CPI high income households;2002 September;119.0;0.7;2.4;13168
2180;7   Transport;CPI high income households;2002 October;118.4;-0.5;3.0;13168
2181;7   Transport;CPI high income households;2002 November;117.2;-1.0;2.7;13168
2182;7   Transport;CPI high income households;2002 December;117.9;0.6;3.6;13168
2183;7   Transport;CPI high income households;2002;117.4;;1.2;13168
2184;8   Communications;CPI all households;1996 January;108.8;;;1862
2185;8   Communications;CPI all households;1996 February;108.8;0.0;;1862
2186;8   Communications;CPI all households;1996 March;108.8;0.0;;1862
2187;8   Communications;CPI all households;1996 April;108.8;0.0;;1862
2188;8   Communications;CPI all households;1996 May;108.8;0.0;;1862
2189;8   Communications;CPI all households;1996 June;108.8;0.0;;1862
2190;8   Communications;CPI all households;1996 July;108.8;0.0;;1862
2191;8   Communications;CPI all households;1996 August;108.8;0.0;;1862
2192;8   Communications;CPI all households;1996 September;108.8;0.0;;1862
2193;8   Communications;CPI all households;1996 October;108.8;0.0;;1862
2194;8   Communications;CPI all households;1996 November;108.8;0.0;;1862
2195;8   Communications;CPI all households;1996 December;107.7;-1.0;;1862
2196;8   Communications;CPI all households;1996;108.7;;;1862
2197;8   Communications;CPI all households;1997 January;109.3;1.5;0.5;1862
2198;8   Communications;CPI all households;1997 February;109.3;0.0;0.5;1862
2199;8   Communications;CPI all households;1997 March;109.3;0.0;0.5;1862
2200;8   Communications;CPI all households;1997 April;109.3;0.0;0.5;1862
2201;8   Communications;CPI all households;1997 May;109.3;0.0;0.5;1862
2202;8   Communications;CPI all households;1997 June;109.1;-0.2;0.3;1862
2203;8   Communications;CPI all households;1997 July;109.1;0.0;0.3;1862
2204;8   Communications;CPI all households;1997 August;109.1;0.0;0.3;1862
2205;8   Communications;CPI all households;1997 September;109.1;0.0;0.3;1862
2206;8   Communications;CPI all households;1997 October;109.1;0.0;0.3;1862
2207;8   Communications;CPI all households;1997 November;109.1;0.0;0.3;1862
2208;8   Communications;CPI all households;1997 December;107.3;-1.6;-0.4;1862
