ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
6383;Total;Total;Working hours: 25 to 29 hours a week;O-U Noncommercial services;2023;433.0;333.0;28.33;2980.0;2977.0;41400.0;35760.0;5640.0;20.0;28.0;27.9;1261.0;1638.0
6384;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2009;229.0;180.0;20.84;2169.0;2161.0;30020.0;26020.0;3990.0;10.0;27.6;27.5;1244.0;1582.0
6385;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2010 before change of method;245.0;192.0;21.4;2200.0;2195.0;30500.0;26400.0;4090.0;10.0;27.6;27.5;1230.0;1564.0
6386;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2010 after change of method;245.0;193.0;21.39;2199.0;2194.0;30490.0;26390.0;4100.0;10.0;27.6;27.5;1231.0;1565.0
6387;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2011;259.0;203.0;21.58;2236.0;2231.0;31050.0;26840.0;4210.0;10.0;27.6;27.5;1240.0;1582.0
6388;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2012;271.0;213.0;22.18;2285.0;2280.0;31680.0;27420.0;4260.0;10.0;27.7;27.6;1234.0;1572.0
6389;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2013;300.0;237.0;22.79;2356.0;2352.0;32730.0;28280.0;4460.0;10.0;27.8;27.8;1239.0;1570.0
6390;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2014;293.0;231.0;22.66;2350.0;2345.0;32480.0;28200.0;4270.0;10.0;27.8;27.8;1242.0;1574.0
6391;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2015;295.0;232.0;23.32;2407.0;2403.0;33290.0;28890.0;4400.0;10.0;27.8;27.8;1237.0;1574.0
6392;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2016;304.0;238.0;23.65;2455.0;2450.0;34080.0;29460.0;4620.0;10.0;27.8;27.8;1243.0;1588.0
6393;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2017;322.0;248.0;23.66;2486.0;2482.0;34670.0;29830.0;4840.0;10.0;27.9;27.9;1258.0;1631.0
6394;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2018;339.0;262.0;24.14;2524.0;2520.0;35030.0;30290.0;4740.0;10.0;27.9;27.9;1253.0;1624.0
6395;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2019;358.0;277.0;24.57;2582.0;2578.0;35800.0;30980.0;4820.0;10.0;27.9;27.9;1259.0;1631.0
6396;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2020;373.0;287.0;25.44;2668.0;2664.0;37270.0;32020.0;5250.0;10.0;27.9;27.9;1256.0;1628.0
6397;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2021;385.0;298.0;25.87;2734.0;2729.0;37990.0;32800.0;5180.0;10.0;28.0;27.9;1266.0;1639.0
6398;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2022;399.0;308.0;26.88;2839.0;2835.0;39640.0;34070.0;5570.0;20.0;28.0;27.9;1266.0;1638.0
6399;Total;Total;Working hours: 25 to 29 hours a week;O-Q Government and care;2023;408.0;315.0;28.69;3016.0;3013.0;41970.0;36190.0;5780.0;20.0;28.0;27.9;1260.0;1634.0
6400;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2009;29.0;22.0;23.35;2515.0;2489.0;35360.0;30180.0;5180.0;10.0;27.9;27.7;1279.0;1662.0
6401;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2010 before change of method;30.0;23.0;23.38;2510.0;2491.0;35720.0;30110.0;5600.0;10.0;27.9;27.7;1279.0;1659.0
6402;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2010 after change of method;30.0;23.0;23.33;2504.0;2486.0;35700.0;30050.0;5640.0;10.0;27.9;27.7;1279.0;1660.0
6403;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2011;31.0;24.0;23.21;2510.0;2494.0;35650.0;30120.0;5530.0;10.0;27.9;27.7;1290.0;1676.0
6404;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2012;32.0;25.0;23.45;2518.0;2502.0;35780.0;30220.0;5560.0;10.0;27.9;27.7;1280.0;1661.0
6405;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2013;39.0;31.0;23.75;2569.0;2560.0;36500.0;30820.0;5680.0;0.0;28.2;28.1;1293.0;1659.0
6406;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2014;40.0;31.0;24.03;2614.0;2600.0;37050.0;31370.0;5680.0;0.0;28.3;28.1;1299.0;1665.0
6407;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2015;39.0;31.0;25.08;2703.0;2691.0;38250.0;32430.0;5820.0;0.0;28.2;28.1;1288.0;1649.0
6408;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2016;40.0;31.0;26.06;2819.0;2808.0;39750.0;33830.0;5920.0;0.0;28.2;28.1;1293.0;1657.0
6409;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2017;43.0;33.0;26.47;2880.0;2871.0;41080.0;34560.0;6520.0;0.0;28.1;28.1;1301.0;1668.0
6410;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2018;45.0;35.0;27.08;2928.0;2923.0;41080.0;35130.0;5940.0;0.0;28.1;28.1;1295.0;1661.0
6411;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2019;47.0;36.0;27.39;2975.0;2970.0;42190.0;35700.0;6490.0;10.0;28.1;28.1;1302.0;1668.0
6412;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2020;47.0;37.0;28.71;3112.0;3104.0;43840.0;37350.0;6490.0;10.0;28.1;28.1;1297.0;1664.0
6413;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2021;47.0;37.0;29.32;3200.0;3195.0;44750.0;38400.0;6350.0;10.0;28.1;28.1;1308.0;1674.0
6414;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2022;48.0;37.0;29.98;3271.0;3266.0;46800.0;39260.0;7540.0;10.0;28.1;28.1;1307.0;1672.0
6415;Total;Total;Working hours: 25 to 29 hours a week;O Public administration and services;2023;49.0;38.0;32.55;3466.0;3461.0;48810.0;41600.0;7210.0;0.0;28.1;28.1;1276.0;1633.0
6416;Total;Total;Working hours: 25 to 29 hours a week;P Education;2009;64.0;49.0;24.66;2515.0;2513.0;35480.0;30180.0;5300.0;10.0;27.6;27.6;1223.0;1583.0
6417;Total;Total;Working hours: 25 to 29 hours a week;P Education;2010 before change of method;67.0;52.0;25.53;2569.0;2567.0;36130.0;30830.0;5300.0;10.0;27.6;27.6;1207.0;1561.0
6418;Total;Total;Working hours: 25 to 29 hours a week;P Education;2010 after change of method;67.0;52.0;25.53;2568.0;2567.0;36120.0;30820.0;5300.0;10.0;27.6;27.6;1207.0;1561.0
6419;Total;Total;Working hours: 25 to 29 hours a week;P Education;2011;73.0;56.0;26.08;2656.0;2655.0;37480.0;31870.0;5600.0;10.0;27.6;27.6;1221.0;1581.0
6420;Total;Total;Working hours: 25 to 29 hours a week;P Education;2012;77.0;60.0;26.8;2722.0;2721.0;38260.0;32670.0;5590.0;10.0;27.9;27.9;1218.0;1566.0
6421;Total;Total;Working hours: 25 to 29 hours a week;P Education;2013;81.0;63.0;27.56;2789.0;2786.0;39260.0;33460.0;5790.0;10.0;27.9;27.9;1213.0;1560.0
6422;Total;Total;Working hours: 25 to 29 hours a week;P Education;2014;74.0;57.0;26.59;2678.0;2675.0;37310.0;32130.0;5180.0;10.0;27.8;27.7;1207.0;1559.0
6423;Total;Total;Working hours: 25 to 29 hours a week;P Education;2015;76.0;59.0;27.13;2718.0;2716.0;38130.0;32620.0;5510.0;10.0;27.7;27.7;1201.0;1553.0
6424;Total;Total;Working hours: 25 to 29 hours a week;P Education;2016;80.0;62.0;27.43;2763.0;2760.0;38920.0;33150.0;5770.0;10.0;27.8;27.7;1208.0;1562.0
6425;Total;Total;Working hours: 25 to 29 hours a week;P Education;2017;85.0;66.0;26.51;2785.0;2782.0;39170.0;33420.0;5760.0;10.0;28.1;28.1;1259.0;1631.0
6426;Total;Total;Working hours: 25 to 29 hours a week;P Education;2018;89.0;69.0;27.01;2828.0;2826.0;40050.0;33940.0;6110.0;10.0;28.1;28.1;1255.0;1622.0
6427;Total;Total;Working hours: 25 to 29 hours a week;P Education;2019;93.0;73.0;27.7;2918.0;2916.0;40630.0;35010.0;5620.0;10.0;28.2;28.2;1263.0;1625.0
6428;Total;Total;Working hours: 25 to 29 hours a week;P Education;2020;97.0;76.0;28.77;3020.0;3018.0;43010.0;36240.0;6780.0;10.0;28.2;28.2;1259.0;1616.0
6429;Total;Total;Working hours: 25 to 29 hours a week;P Education;2021;101.0;79.0;28.96;3070.0;3068.0;43250.0;36840.0;6410.0;10.0;28.2;28.2;1271.0;1634.0
6430;Total;Total;Working hours: 25 to 29 hours a week;P Education;2022;107.0;83.0;30.28;3214.0;3212.0;45600.0;38570.0;7030.0;10.0;28.3;28.2;1273.0;1634.0
6431;Total;Total;Working hours: 25 to 29 hours a week;P Education;2023;109.0;85.0;32.41;3455.0;3454.0;49000.0;41470.0;7530.0;10.0;28.3;28.3;1279.0;1651.0
6432;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2009;136.0;108.0;18.53;1932.0;1926.0;26320.0;23190.0;3130.0;10.0;27.6;27.5;1247.0;1565.0
6433;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2010 before change of method;147.0;117.0;19.13;1968.0;1963.0;26850.0;23620.0;3230.0;10.0;27.6;27.5;1231.0;1547.0
6434;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2010 after change of method;147.0;117.0;19.13;1968.0;1963.0;26840.0;23610.0;3230.0;10.0;27.6;27.5;1232.0;1547.0
6435;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2011;156.0;123.0;19.18;1986.0;1981.0;27130.0;23830.0;3300.0;10.0;27.5;27.5;1239.0;1564.0
6436;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2012;162.0;128.0;19.75;2033.0;2028.0;27760.0;24390.0;3370.0;10.0;27.5;27.5;1232.0;1557.0
6437;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2013;180.0;143.0;20.48;2117.0;2113.0;28990.0;25400.0;3590.0;10.0;27.7;27.7;1238.0;1555.0
6438;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2014;180.0;143.0;20.78;2158.0;2154.0;29480.0;25890.0;3590.0;10.0;27.7;27.7;1244.0;1561.0
6439;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2015;180.0;142.0;21.35;2211.0;2207.0;30150.0;26530.0;3620.0;10.0;27.7;27.7;1241.0;1566.0
6440;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2016;185.0;145.0;21.52;2242.0;2238.0;30750.0;26910.0;3840.0;10.0;27.8;27.7;1248.0;1584.0
6441;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2017;194.0;149.0;21.76;2268.0;2264.0;31280.0;27210.0;4070.0;10.0;27.8;27.7;1248.0;1623.0
6442;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2018;206.0;158.0;22.23;2305.0;2301.0;31540.0;27660.0;3880.0;10.0;27.8;27.7;1242.0;1616.0
6443;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2019;219.0;168.0;22.59;2354.0;2350.0;32370.0;28250.0;4120.0;20.0;27.8;27.7;1248.0;1625.0
6444;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2020;228.0;175.0;23.31;2427.0;2422.0;33470.0;29120.0;4350.0;20.0;27.8;27.8;1247.0;1626.0
6445;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2021;237.0;182.0;23.82;2497.0;2492.0;34390.0;29960.0;4430.0;20.0;27.8;27.8;1255.0;1634.0
6446;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2022;244.0;188.0;24.73;2591.0;2586.0;35640.0;31090.0;4550.0;20.0;27.8;27.8;1255.0;1633.0
6447;Total;Total;Working hours: 25 to 29 hours a week;Q Health and social work activities;2023;250.0;192.0;26.26;2737.0;2733.0;37570.0;32840.0;4730.0;20.0;27.8;27.8;1249.0;1626.0
6448;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2009;19.0;15.0;17.08;1802.0;1787.0;24410.0;21620.0;2790.0;70.0;27.8;27.7;1256.0;1602.0
6449;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2010 before change of method;19.0;15.0;17.53;1840.0;1830.0;24820.0;22080.0;2750.0;70.0;27.8;27.6;1253.0;1595.0
6450;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2010 after change of method;19.0;15.0;17.52;1840.0;1830.0;24820.0;22080.0;2750.0;70.0;27.8;27.7;1253.0;1596.0
6451;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2011;20.0;15.0;17.69;1875.0;1865.0;25030.0;22500.0;2530.0;70.0;27.8;27.7;1265.0;1624.0
6452;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2012;20.0;16.0;18.04;1891.0;1882.0;25430.0;22700.0;2730.0;70.0;27.7;27.6;1252.0;1611.0
6453;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2013;21.0;16.0;17.74;1866.0;1858.0;25180.0;22390.0;2790.0;60.0;27.9;27.8;1257.0;1622.0
6454;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2014;21.0;16.0;17.81;1884.0;1875.0;25370.0;22600.0;2770.0;60.0;27.9;27.8;1263.0;1635.0
6455;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2015;20.0;16.0;18.19;1918.0;1910.0;25810.0;23020.0;2780.0;50.0;27.9;27.8;1260.0;1642.0
6456;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2016;21.0;16.0;18.32;1944.0;1936.0;26120.0;23330.0;2790.0;60.0;28.0;27.9;1268.0;1659.0
6457;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2017;22.0;17.0;18.53;1975.0;1968.0;26560.0;23700.0;2860.0;60.0;28.0;27.9;1274.0;1696.0
6458;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2018;24.0;18.0;19.33;2046.0;2038.0;27470.0;24550.0;2920.0;60.0;27.9;27.8;1266.0;1685.0
6459;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2019;24.0;18.0;19.72;2097.0;2090.0;28190.0;25170.0;3020.0;60.0;28.0;27.9;1272.0;1700.0
6460;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2020;24.0;18.0;20.61;2189.0;2183.0;29380.0;26270.0;3110.0;60.0;28.0;27.9;1271.0;1698.0
6461;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2021;24.0;18.0;20.95;2243.0;2236.0;30090.0;26920.0;3180.0;70.0;28.0;27.9;1281.0;1707.0
6462;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2022;24.0;18.0;21.34;2286.0;2280.0;30700.0;27440.0;3260.0;70.0;28.1;28.0;1282.0;1708.0
6463;Total;Total;Working hours: 25 to 29 hours a week;R-U Culture, recreation, other services;2023;25.0;19.0;22.47;2395.0;2390.0;32060.0;28740.0;3320.0;80.0;28.0;28.0;1276.0;1705.0
6464;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2009;7.0;5.0;17.48;1844.0;1831.0;24830.0;22130.0;2700.0;50.0;27.7;27.6;1257.0;1647.0
6465;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2010 before change of method;8.0;6.0;17.59;1848.0;1838.0;24770.0;22170.0;2600.0;50.0;27.7;27.6;1254.0;1634.0
6466;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2010 after change of method;8.0;6.0;17.6;1849.0;1839.0;24790.0;22190.0;2600.0;60.0;27.7;27.6;1254.0;1634.0
6467;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2011;8.0;6.0;17.7;1877.0;1869.0;24750.0;22530.0;2220.0;50.0;27.7;27.6;1267.0;1661.0
6468;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2012;8.0;6.0;18.16;1905.0;1895.0;25400.0;22860.0;2540.0;50.0;27.7;27.6;1253.0;1645.0
6469;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2013;8.0;6.0;17.7;1861.0;1854.0;24820.0;22330.0;2490.0;50.0;27.8;27.7;1257.0;1653.0
6470;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2014;9.0;7.0;17.76;1878.0;1870.0;24980.0;22530.0;2450.0;40.0;27.8;27.7;1264.0;1666.0
6471;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2015;9.0;6.0;18.06;1903.0;1896.0;25370.0;22840.0;2530.0;40.0;27.9;27.8;1260.0;1664.0
6472;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2016;9.0;7.0;18.19;1929.0;1923.0;25630.0;23150.0;2480.0;40.0;27.9;27.8;1268.0;1681.0
6473;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2017;10.0;7.0;18.33;1951.0;1945.0;26000.0;23410.0;2590.0;40.0;27.9;27.8;1273.0;1703.0
6474;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2018;11.0;8.0;19.33;2042.0;2037.0;27110.0;24510.0;2600.0;40.0;27.8;27.8;1264.0;1689.0
6475;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2019;11.0;8.0;19.79;2101.0;2095.0;27990.0;25220.0;2770.0;40.0;27.9;27.8;1271.0;1701.0
6476;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2020;11.0;8.0;20.68;2190.0;2186.0;29040.0;26280.0;2760.0;40.0;27.9;27.9;1268.0;1698.0
6477;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2021;11.0;8.0;20.89;2231.0;2228.0;29590.0;26780.0;2820.0;40.0;27.9;27.9;1279.0;1708.0
6478;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2022;12.0;9.0;21.3;2280.0;2275.0;30260.0;27360.0;2900.0;40.0;28.0;27.9;1282.0;1708.0
6479;Total;Total;Working hours: 25 to 29 hours a week;R Culture, sports and recreation;2023;12.0;9.0;22.25;2369.0;2365.0;31370.0;28430.0;2940.0;50.0;28.0;27.9;1276.0;1703.0
6480;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2009;11.0;9.0;16.77;1770.0;1755.0;24100.0;21240.0;2860.0;80.0;27.9;27.7;1255.0;1575.0
6481;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2010 before change of method;12.0;9.0;17.49;1835.0;1825.0;24860.0;22010.0;2840.0;80.0;27.8;27.7;1252.0;1571.0
6482;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2010 after change of method;12.0;9.0;17.47;1834.0;1825.0;24850.0;22010.0;2840.0;80.0;27.8;27.7;1253.0;1573.0
6483;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2011;12.0;9.0;17.68;1873.0;1862.0;25220.0;22480.0;2740.0;80.0;27.9;27.7;1264.0;1600.0
6484;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2012;12.0;9.0;17.96;1883.0;1873.0;25450.0;22590.0;2860.0;80.0;27.8;27.6;1251.0;1589.0
6485;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2013;13.0;10.0;17.76;1869.0;1861.0;25410.0;22430.0;2980.0;70.0;28.0;27.8;1257.0;1603.0
6486;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2014;12.0;10.0;17.84;1888.0;1878.0;25650.0;22650.0;3000.0;60.0;28.0;27.9;1263.0;1614.0
6487;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2015;12.0;9.0;18.28;1929.0;1920.0;26120.0;23150.0;2970.0;60.0;28.0;27.9;1260.0;1626.0
6488;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2016;12.0;9.0;18.42;1955.0;1945.0;26470.0;23460.0;3020.0;60.0;28.0;27.9;1267.0;1643.0
6489;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2017;12.0;9.0;18.69;1993.0;1985.0;26980.0;23910.0;3060.0;70.0;28.1;28.0;1275.0;1690.0
6490;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2018;13.0;10.0;19.32;2048.0;2040.0;27760.0;24580.0;3180.0;80.0;28.0;27.9;1267.0;1682.0
6491;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2019;13.0;10.0;19.65;2094.0;2086.0;28360.0;25130.0;3220.0;80.0;28.0;27.9;1274.0;1700.0
6492;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2020;13.0;10.0;20.56;2189.0;2180.0;29650.0;26260.0;3390.0;80.0;28.1;28.0;1272.0;1699.0
6493;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2021;13.0;10.0;20.99;2252.0;2243.0;30500.0;27030.0;3470.0;90.0;28.1;28.0;1282.0;1706.0
6494;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2022;12.0;9.0;21.37;2292.0;2285.0;31120.0;27510.0;3610.0;100.0;28.1;28.0;1283.0;1708.0
6495;Total;Total;Working hours: 25 to 29 hours a week;S Other service activities;2023;13.0;9.0;22.68;2419.0;2413.0;32720.0;29030.0;3690.0;100.0;28.1;28.0;1276.0;1706.0
6496;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2009;852.0;763.0;19.37;2403.0;2366.0;32990.0;28830.0;4160.0;220.0;32.6;32.2;1466.0;1636.0
6497;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2010 before change of method;838.0;753.0;19.76;2424.0;2402.0;33380.0;29080.0;4300.0;210.0;32.5;32.2;1459.0;1623.0
6498;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2010 after change of method;841.0;756.0;19.76;2424.0;2403.0;33380.0;29090.0;4300.0;210.0;32.5;32.2;1459.0;1624.0
6499;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2011;871.0;779.0;20.05;2490.0;2460.0;34130.0;29880.0;4250.0;200.0;32.6;32.2;1472.0;1646.0
6500;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2012;864.0;770.0;20.57;2534.0;2505.0;34660.0;30400.0;4260.0;210.0;32.6;32.3;1461.0;1639.0
6501;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2013;797.0;707.0;21.05;2573.0;2549.0;35380.0;30870.0;4510.0;190.0;32.6;32.3;1453.0;1638.0
6502;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2014;817.0;724.0;21.18;2610.0;2579.0;35730.0;31320.0;4400.0;190.0;32.6;32.3;1461.0;1648.0
6503;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2015;831.0;733.0;21.66;2655.0;2624.0;36260.0;31860.0;4400.0;170.0;32.6;32.3;1454.0;1649.0
6504;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2016;858.0;756.0;21.7;2672.0;2644.0;36650.0;32060.0;4590.0;170.0;32.6;32.3;1462.0;1659.0
6505;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2017;890.0;776.0;21.79;2692.0;2668.0;36920.0;32300.0;4610.0;180.0;32.6;32.3;1469.0;1685.0
6506;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2018;942.0;821.0;22.16;2720.0;2699.0;37160.0;32640.0;4520.0;190.0;32.5;32.3;1461.0;1677.0
6507;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2019;988.0;860.0;22.6;2785.0;2766.0;38040.0;33420.0;4620.0;200.0;32.5;32.3;1468.0;1688.0
6508;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2020;1004.0;870.0;23.55;2889.0;2872.0;39510.0;34670.0;4840.0;220.0;32.4;32.3;1464.0;1689.0
6509;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2021;1040.0;903.0;23.85;2948.0;2930.0;40260.0;35380.0;4880.0;220.0;32.4;32.3;1474.0;1697.0
6510;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2022;1096.0;951.0;24.66;3048.0;3030.0;41830.0;36580.0;5250.0;230.0;32.4;32.3;1475.0;1700.0
6511;Total;Total;Working hours: 30 to 34 hours a week;A-U All economic activities;2023;1140.0;987.0;26.4;3241.0;3223.0;44280.0;38890.0;5390.0;260.0;32.4;32.3;1465.0;1692.0
6512;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2009;118.0;105.0;19.57;2512.0;2420.0;34230.0;30150.0;4080.0;300.0;33.5;32.6;1484.0;1676.0
6513;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2010 before change of method;108.0;96.0;19.54;2470.0;2416.0;33660.0;29630.0;4030.0;270.0;33.2;32.6;1484.0;1667.0
6514;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2010 after change of method;109.0;97.0;19.55;2470.0;2418.0;33670.0;29650.0;4020.0;280.0;33.2;32.6;1484.0;1667.0
6515;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2011;116.0;103.0;19.82;2562.0;2477.0;34550.0;30740.0;3810.0;270.0;33.5;32.6;1500.0;1691.0
6516;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2012;116.0;103.0;20.36;2603.0;2525.0;35160.0;31240.0;3920.0;270.0;33.5;32.7;1489.0;1679.0
6517;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2013;96.0;84.0;21.07;2644.0;2586.0;36140.0;31730.0;4410.0;280.0;33.1;32.5;1473.0;1693.0
6518;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2014;101.0;88.0;21.08;2687.0;2603.0;36570.0;32240.0;4330.0;280.0;33.3;32.5;1482.0;1700.0
6519;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2015;99.0;86.0;22.52;2842.0;2760.0;38550.0;34100.0;4450.0;240.0;33.2;32.4;1471.0;1699.0
6520;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2016;100.0;87.0;22.47;2851.0;2770.0;39080.0;34210.0;4870.0;240.0;33.2;32.5;1479.0;1709.0
6521;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2017;100.0;87.0;22.78;2872.0;2807.0;39250.0;34460.0;4790.0;270.0;33.0;32.4;1479.0;1711.0
6522;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2018;106.0;92.0;23.25;2902.0;2849.0;39690.0;34820.0;4870.0;280.0;32.8;32.4;1470.0;1706.0
