ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked2010100_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
661;H Transportation and storage;2012 January - 2012 December;104.2;2.3;105.7;3.2;0.9
662;H Transportation and storage;2012 April - 2013 March;105.7;3.5;107.5;4.6;1.1
663;H Transportation and storage;2012 July - 2013 June;106.0;3.2;108.2;4.4;1.2
664;H Transportation and storage;2012 October - 2013 September;106.3;2.9;108.8;4.1;1.2
665;H Transportation and storage;2013 January - 2013 December;106.2;1.9;108.9;3.1;1.1
666;H Transportation and storage;2013 April - 2014 March;105.8;0.1;108.8;1.1;1.0
667;H Transportation and storage;2013 July - 2014 June;105.6;-0.4;108.7;0.5;0.9
668;H Transportation and storage;2013 October - 2014 September;105.3;-1.0;108.5;-0.2;0.7
669;H Transportation and storage;2014 January - 2014 December;105.6;-0.6;109.0;0.0;0.6
670;H Transportation and storage;2014 April - 2015 March ;106.1;0.2;109.4;0.6;0.4
671;H Transportation and storage;2014 July - 2015 June;107.0;1.3;110.4;1.5;0.2
672;H Transportation and storage;2014 October - 2015 September;107.8;2.3;111.2;2.5;0.1
673;H Transportation and storage;2015 January - 2015 December;107.7;2.0;111.1;2.0;0.0
674;H Transportation and storage;2015 April - 2016 March;108.2;2.0;111.5;1.9;0.0
675;H Transportation and storage;2015 July - 2016 June;107.8;0.8;111.2;0.7;-0.1
676;H Transportation and storage;2015 October - 2016 September;107.8;0.1;111.1;-0.1;-0.1
677;H Transportation and storage;2016 January - 2016 December;108.5;0.8;111.8;0.6;-0.2
678;H Transportation and storage;2016 April - 2017 March;107.7;-0.4;110.9;-0.6;-0.2
679;H Transportation and storage;2016 July - 2017 June;108.1;0.2;111.6;0.3;0.1
680;H Transportation and storage;2016 October - 2017 September;109.0;1.1;112.3;1.1;0.0
681;H Transportation and storage;2017 January - 2017 December;110.4;1.7;113.3;1.4;-0.3
682;I Accommodation and food serving;2001;89.6;;87.0;;
683;I Accommodation and food serving;2002;92.2;2.8;89.8;3.3;0.4
684;I Accommodation and food serving;2003;93.7;1.7;91.7;2.1;0.5
685;I Accommodation and food serving;2004;92.2;-1.6;90.8;-1.1;0.6
686;I Accommodation and food serving;2005;94.1;2.1;93.3;2.8;0.7
687;I Accommodation and food serving;2006;95.7;1.7;94.4;1.2;-0.5
688;I Accommodation and food serving;2007;97.5;1.9;96.1;1.7;-0.2
689;I Accommodation and food serving;2008;99.5;2.0;98.1;2.1;0.0
690;I Accommodation and food serving;2009;100.0;0.5;99.2;1.1;0.6
691;I Accommodation and food serving;2010;100.0;0.0;100.0;0.9;0.8
692;I Accommodation and food serving;2011;100.5;0.5;100.4;0.4;-0.1
693;I Accommodation and food serving;2012;103.1;2.5;103.3;2.9;0.4
694;I Accommodation and food serving;2013;103.8;0.7;104.4;1.1;0.4
695;I Accommodation and food serving;2014;105.8;1.9;106.6;2.1;0.2
696;I Accommodation and food serving;2015;105.1;-0.6;105.7;-0.9;-0.3
697;I Accommodation and food serving;2016;106.0;0.8;106.1;0.4;-0.4
698;I Accommodation and food serving;2017;107.1;1.0;106.8;0.6;-0.4
699;I Accommodation and food serving;2006 January - 2006 December;95.7;1.7;94.4;1.2;-0.5
700;I Accommodation and food serving;2006 April - 2007 March;96.1;;94.9;;
701;I Accommodation and food serving;2006 July - 2007 June;96.7;;95.3;;
702;I Accommodation and food serving;2006 October - 2007 September;97.3;;95.8;;
703;I Accommodation and food serving;2007 January - 2007 December;97.5;1.9;96.1;1.7;-0.2
704;I Accommodation and food serving;2007 April - 2008 March;98.4;2.4;97.0;2.2;-0.1
705;I Accommodation and food serving;2007 July - 2008 June;98.9;2.2;97.5;2.2;0.0
706;I Accommodation and food serving;2007 October - 2008 September;99.1;1.9;97.7;1.9;0.1
707;I Accommodation and food serving;2008 January - 2008 December;99.5;2.0;98.1;2.1;0.0
708;I Accommodation and food serving;2008 April - 2009 March;99.2;0.8;97.9;0.9;0.2
709;I Accommodation and food serving;2008 July - 2009 June;99.7;0.8;98.5;1.1;0.3
710;I Accommodation and food serving;2008 October - 2009 September;99.7;0.6;98.7;1.1;0.4
711;I Accommodation and food serving;2009 January - 2009 December;100.0;0.5;99.2;1.1;0.6
712;I Accommodation and food serving;2009 April - 2010 March;101.7;2.5;101.1;3.3;0.7
713;I Accommodation and food serving;2009 July - 2010 June;102.2;2.5;101.8;3.3;0.8
714;I Accommodation and food serving;2009 October - 2010 September;100.2;0.5;100.0;1.3;0.8
715;I Accommodation and food serving;2010 January - 2010 December;100.0;0.0;100.0;0.9;0.8
716;I Accommodation and food serving;2010 April - 2011 March;99.8;-1.9;99.8;-1.3;0.6
717;I Accommodation and food serving;2010 July - 2011 June;99.6;-2.5;99.5;-2.2;0.2
718;I Accommodation and food serving;2010 October - 2011 September;99.8;-0.4;99.6;-0.4;0.0
719;I Accommodation and food serving;2011 January - 2011 December;100.5;0.5;100.4;0.4;-0.1
720;I Accommodation and food serving;2011 April - 2012 March;100.6;0.8;100.5;0.7;-0.1
721;I Accommodation and food serving;2011 July - 2012 June;101.1;1.5;101.2;1.6;0.2
722;I Accommodation and food serving;2011 October - 2012 September;102.1;2.3;102.2;2.6;0.3
723;I Accommodation and food serving;2012 January - 2012 December;103.1;2.5;103.3;2.9;0.4
724;I Accommodation and food serving;2012 April - 2013 March;104.0;3.4;104.4;3.9;0.5
725;I Accommodation and food serving;2012 July - 2013 June;104.1;2.9;104.5;3.3;0.4
726;I Accommodation and food serving;2012 October - 2013 September;104.5;2.4;105.0;2.8;0.4
727;I Accommodation and food serving;2013 January - 2013 December;103.8;0.7;104.4;1.1;0.4
728;I Accommodation and food serving;2013 April - 2014 March;104.1;0.0;104.8;0.4;0.3
729;I Accommodation and food serving;2013 July - 2014 June;104.8;0.7;105.5;1.0;0.3
730;I Accommodation and food serving;2013 October - 2014 September;104.9;0.4;105.7;0.6;0.2
731;I Accommodation and food serving;2014 January - 2014 December;105.8;1.9;106.6;2.1;0.2
732;I Accommodation and food serving;2014 April - 2015 March ;105.5;1.3;106.3;1.4;0.1
733;I Accommodation and food serving;2014 July - 2015 June;105.6;0.8;106.3;0.8;0.0
734;I Accommodation and food serving;2014 October - 2015 September;105.9;0.9;106.5;0.7;-0.2
735;I Accommodation and food serving;2015 January - 2015 December;105.1;-0.6;105.7;-0.9;-0.3
736;I Accommodation and food serving;2015 April - 2016 March;105.4;-0.1;105.8;-0.4;-0.4
737;I Accommodation and food serving;2015 July - 2016 June;105.2;-0.4;105.6;-0.7;-0.3
738;I Accommodation and food serving;2015 October - 2016 September;105.5;-0.3;105.7;-0.7;-0.4
739;I Accommodation and food serving;2016 January - 2016 December;106.0;0.8;106.1;0.4;-0.4
740;I Accommodation and food serving;2016 April - 2017 March;105.2;-0.2;105.3;-0.5;-0.4
741;I Accommodation and food serving;2016 July - 2017 June;105.9;0.7;105.8;0.2;-0.5
742;I Accommodation and food serving;2016 October - 2017 September;106.5;1.0;106.3;0.6;-0.4
743;I Accommodation and food serving;2017 January - 2017 December;107.1;1.0;106.8;0.6;-0.4
744;J Information and communication;2001;81.6;;73.5;;
745;J Information and communication;2002;85.0;4.2;78.0;6.1;1.8
746;J Information and communication;2003;88.9;4.6;82.8;6.3;1.6
747;J Information and communication;2004;89.2;0.3;84.6;2.1;1.7
748;J Information and communication;2005;91.0;2.0;87.3;3.3;1.2
749;J Information and communication;2006;92.3;1.5;89.5;2.5;1.0
750;J Information and communication;2007;95.6;3.6;93.1;4.0;0.4
751;J Information and communication;2008;99.5;4.1;97.0;4.2;0.2
752;J Information and communication;2009;102.6;3.1;100.8;3.9;0.7
753;J Information and communication;2010;100.0;-2.5;100.0;-0.8;1.8
754;J Information and communication;2011;100.6;0.6;101.2;1.2;0.6
755;J Information and communication;2012;102.6;2.0;103.9;2.7;0.7
756;J Information and communication;2013;103.1;0.4;104.9;0.9;0.5
757;J Information and communication;2014;101.1;-1.9;103.1;-1.7;0.2
758;J Information and communication;2015;103.2;2.1;105.0;1.9;-0.2
759;J Information and communication;2016;103.6;0.4;104.8;-0.2;-0.6
760;J Information and communication;2017;106.2;2.5;107.2;2.3;-0.3
761;J Information and communication;2006 January - 2006 December;92.3;1.5;89.5;2.5;1.0
762;J Information and communication;2006 April - 2007 March;93.6;;90.8;;
763;J Information and communication;2006 July - 2007 June;94.7;;92.0;;
764;J Information and communication;2006 October - 2007 September;95.3;;92.8;;
765;J Information and communication;2007 January - 2007 December;95.6;3.6;93.1;4.0;0.4
766;J Information and communication;2007 April - 2008 March;96.5;3.2;94.0;3.5;0.4
767;J Information and communication;2007 July - 2008 June;97.7;3.3;95.3;3.6;0.3
768;J Information and communication;2007 October - 2008 September;98.4;3.2;95.9;3.4;0.2
769;J Information and communication;2008 January - 2008 December;99.5;4.1;97.0;4.2;0.2
770;J Information and communication;2008 April - 2009 March;100.5;4.2;98.1;4.3;0.2
771;J Information and communication;2008 July - 2009 June;102.1;4.4;99.8;4.7;0.3
772;J Information and communication;2008 October - 2009 September;102.5;4.2;100.4;4.7;0.4
773;J Information and communication;2009 January - 2009 December;102.6;3.1;100.8;3.9;0.7
774;J Information and communication;2009 April - 2010 March;102.3;1.8;101.0;2.9;1.2
775;J Information and communication;2009 July - 2010 June;101.4;-0.6;100.7;0.9;1.5
776;J Information and communication;2009 October - 2010 September;100.6;-1.9;100.2;-0.2;1.7
777;J Information and communication;2010 January - 2010 December;100.0;-2.5;100.0;-0.8;1.8
778;J Information and communication;2010 April - 2011 March;99.9;-2.3;100.1;-0.9;1.5
779;J Information and communication;2010 July - 2011 June;99.7;-1.7;100.1;-0.6;1.1
780;J Information and communication;2010 October - 2011 September;99.8;-0.7;100.3;0.1;0.8
781;J Information and communication;2011 January - 2011 December;100.6;0.6;101.2;1.2;0.6
782;J Information and communication;2011 April - 2012 March;100.7;0.8;101.3;1.2;0.4
783;J Information and communication;2011 July - 2012 June;100.7;1.1;101.6;1.5;0.5
784;J Information and communication;2011 October - 2012 September;101.8;1.9;102.8;2.5;0.6
785;J Information and communication;2012 January - 2012 December;102.6;2.0;103.9;2.7;0.7
786;J Information and communication;2012 April - 2013 March;103.8;3.2;105.3;4.0;0.8
787;J Information and communication;2012 July - 2013 June;103.5;2.7;105.1;3.4;0.7
788;J Information and communication;2012 October - 2013 September;103.5;1.7;105.2;2.3;0.6
789;J Information and communication;2013 January - 2013 December;103.1;0.4;104.9;0.9;0.5
790;J Information and communication;2013 April - 2014 March;102.3;-1.5;104.2;-1.1;0.4
791;J Information and communication;2013 July - 2014 June;101.9;-1.5;103.9;-1.2;0.3
792;J Information and communication;2013 October - 2014 September;101.1;-2.3;103.0;-2.0;0.3
793;J Information and communication;2014 January - 2014 December;101.1;-1.9;103.1;-1.7;0.2
794;J Information and communication;2014 April - 2015 March ;101.6;-0.7;103.6;-0.6;0.1
795;J Information and communication;2014 July - 2015 June;102.7;0.8;104.8;0.9;0.1
796;J Information and communication;2014 October - 2015 September;103.4;2.3;105.4;2.3;0.0
797;J Information and communication;2015 January - 2015 December;103.2;2.1;105.0;1.9;-0.2
798;J Information and communication;2015 April - 2016 March;103.5;1.9;105.1;1.5;-0.3
799;J Information and communication;2015 July - 2016 June;102.5;-0.2;104.1;-0.7;-0.5
800;J Information and communication;2015 October - 2016 September;102.4;-0.9;103.9;-1.5;-0.5
801;J Information and communication;2016 January - 2016 December;103.6;0.4;104.8;-0.2;-0.6
802;J Information and communication;2016 April - 2017 March;103.0;-0.5;104.0;-1.0;-0.5
803;J Information and communication;2016 July - 2017 June;104.1;1.5;105.1;1.0;-0.5
804;J Information and communication;2016 October - 2017 September;105.0;2.5;106.0;2.1;-0.4
805;J Information and communication;2017 January - 2017 December;106.2;2.5;107.2;2.3;-0.3
806;K Financial institutions;2001;82.4;;73.5;;
807;K Financial institutions;2002;91.3;10.7;83.2;13.2;2.3
808;K Financial institutions;2003;90.6;-0.7;83.7;0.6;1.4
809;K Financial institutions;2004;92.1;1.7;86.0;2.8;1.1
810;K Financial institutions;2005;94.9;3.0;90.1;4.7;1.6
811;K Financial institutions;2006;94.0;-1.0;90.2;0.1;1.2
812;K Financial institutions;2007;100.8;7.2;97.3;7.9;0.6
813;K Financial institutions;2008;103.6;2.8;100.3;3.1;0.3
814;K Financial institutions;2009;99.3;-4.1;97.7;-2.6;1.6
815;K Financial institutions;2010;100.0;0.7;100.0;2.3;1.6
816;K Financial institutions;2011;101.9;1.9;103.2;3.2;1.2
817;K Financial institutions;2012;102.8;0.9;105.2;1.9;1.0
818;K Financial institutions;2013;110.0;6.9;113.7;8.1;1.1
819;K Financial institutions;2014;112.2;2.0;117.1;3.0;1.0
820;K Financial institutions;2015;107.6;-4.1;112.9;-3.5;0.6
821;K Financial institutions;2016;109.0;1.2;115.2;2.0;0.8
822;K Financial institutions;2017;111.5;2.4;118.8;3.1;0.7
823;K Financial institutions;2006 January - 2006 December;94.0;-1.0;90.2;0.1;1.2
824;K Financial institutions;2006 April - 2007 March;96.1;;92.4;;
825;K Financial institutions;2006 July - 2007 June;96.9;;93.4;;
826;K Financial institutions;2006 October - 2007 September;97.8;;94.4;;
827;K Financial institutions;2007 January - 2007 December;100.8;7.2;97.3;7.9;0.6
828;K Financial institutions;2007 April - 2008 March;102.3;6.4;98.8;7.0;0.5
829;K Financial institutions;2007 July - 2008 June;103.4;6.7;100.0;7.1;0.3
830;K Financial institutions;2007 October - 2008 September;104.2;6.5;100.8;6.8;0.3
831;K Financial institutions;2008 January - 2008 December;103.6;2.8;100.3;3.1;0.3
832;K Financial institutions;2008 April - 2009 March;101.1;-1.1;98.3;-0.4;0.7
833;K Financial institutions;2008 July - 2009 June;100.9;-2.5;98.5;-1.5;1.0
834;K Financial institutions;2008 October - 2009 September;100.1;-4.0;98.1;-2.7;1.3
835;K Financial institutions;2009 January - 2009 December;99.3;-4.1;97.7;-2.6;1.6
836;K Financial institutions;2009 April - 2010 March;99.6;-1.6;98.6;0.3;1.9
837;K Financial institutions;2009 July - 2010 June;100.1;-0.8;99.6;1.1;1.9
838;K Financial institutions;2009 October - 2010 September;100.2;0.1;100.0;1.9;1.8
839;K Financial institutions;2010 January - 2010 December;100.0;0.7;100.0;2.3;1.6
840;K Financial institutions;2010 April - 2011 March;100.3;0.8;100.6;2.0;1.3
841;K Financial institutions;2010 July - 2011 June;100.3;0.2;101.0;1.5;1.2
842;K Financial institutions;2010 October - 2011 September;100.7;0.5;101.7;1.7;1.2
843;K Financial institutions;2011 January - 2011 December;101.9;1.9;103.2;3.2;1.2
844;K Financial institutions;2011 April - 2012 March;101.6;1.2;103.1;2.4;1.1
845;K Financial institutions;2011 July - 2012 June;101.3;0.9;103.0;2.0;1.0
846;K Financial institutions;2011 October - 2012 September;102.1;1.4;104.1;2.4;1.0
847;K Financial institutions;2012 January - 2012 December;102.8;0.9;105.2;1.9;1.0
848;K Financial institutions;2012 April - 2013 March;106.5;4.8;109.2;6.0;1.1
849;K Financial institutions;2012 July - 2013 June;106.9;5.6;110.0;6.7;1.1
850;K Financial institutions;2012 October - 2013 September;108.0;5.8;111.3;6.9;1.1
851;K Financial institutions;2013 January - 2013 December;110.0;6.9;113.7;8.1;1.1
852;K Financial institutions;2013 April - 2014 March;110.1;3.4;114.1;4.5;1.0
853;K Financial institutions;2013 July - 2014 June;109.9;2.8;114.2;3.8;1.0
854;K Financial institutions;2013 October - 2014 September;110.6;2.4;115.1;3.4;1.0
855;K Financial institutions;2014 January - 2014 December;112.2;2.0;117.1;3.0;1.0
856;K Financial institutions;2014 April - 2015 March ;110.9;0.7;115.8;1.5;0.8
857;K Financial institutions;2014 July - 2015 June;110.1;0.1;115.1;0.8;0.7
858;K Financial institutions;2014 October - 2015 September;109.6;-0.9;114.7;-0.3;0.6
859;K Financial institutions;2015 January - 2015 December;107.6;-4.1;112.9;-3.5;0.6
860;K Financial institutions;2015 April - 2016 March;108.3;-2.3;113.9;-1.7;0.7
861;K Financial institutions;2015 July - 2016 June;108.1;-1.8;113.8;-1.1;0.7
862;K Financial institutions;2015 October - 2016 September;108.2;-1.3;114.1;-0.5;0.7
863;K Financial institutions;2016 January - 2016 December;109.0;1.2;115.2;2.0;0.8
864;K Financial institutions;2016 April - 2017 March;108.7;0.3;115.1;1.0;0.7
865;K Financial institutions;2016 July - 2017 June;109.4;1.2;116.1;2.0;0.7
866;K Financial institutions;2016 October - 2017 September;110.2;1.9;117.2;2.7;0.8
867;K Financial institutions;2017 January - 2017 December;111.5;2.4;118.8;3.1;0.7
868;L Renting, buying, selling real estate;2001;85.1;;80.4;;
869;L Renting, buying, selling real estate;2002;87.7;3.1;83.4;3.8;0.7
870;L Renting, buying, selling real estate;2003;93.7;6.8;89.7;7.5;0.7
871;L Renting, buying, selling real estate;2004;91.4;-2.4;87.4;-2.5;-0.1
872;L Renting, buying, selling real estate;2005;93.0;1.8;88.7;1.5;-0.3
873;L Renting, buying, selling real estate;2006;94.4;1.5;91.0;2.6;1.1
874;L Renting, buying, selling real estate;2007;97.0;2.7;94.3;3.6;0.8
875;L Renting, buying, selling real estate;2008;100.0;3.1;97.4;3.3;0.2
876;L Renting, buying, selling real estate;2009;99.1;-1.0;97.4;0.0;1.0
877;L Renting, buying, selling real estate;2010;100.0;1.0;100.0;2.6;1.7
878;L Renting, buying, selling real estate;2011;102.8;2.8;103.5;3.5;0.7
879;L Renting, buying, selling real estate;2012;103.9;1.1;105.8;2.3;1.2
880;L Renting, buying, selling real estate;2013;104.2;0.3;107.3;1.4;1.1
881;L Renting, buying, selling real estate;2014;103.6;-0.6;107.0;-0.3;0.4
882;L Renting, buying, selling real estate;2015;102.8;-0.7;106.0;-0.9;-0.2
883;L Renting, buying, selling real estate;2016;102.6;-0.2;105.6;-0.5;-0.3
884;L Renting, buying, selling real estate;2017;104.4;1.7;107.1;1.4;-0.3
885;L Renting, buying, selling real estate;2006 January - 2006 December;94.4;1.5;91.0;2.6;1.1
886;L Renting, buying, selling real estate;2006 April - 2007 March;95.5;;92.2;;
887;L Renting, buying, selling real estate;2006 July - 2007 June;96.3;;93.2;;
888;L Renting, buying, selling real estate;2006 October - 2007 September;96.5;;93.6;;
889;L Renting, buying, selling real estate;2007 January - 2007 December;97.0;2.7;94.3;3.6;0.8
890;L Renting, buying, selling real estate;2007 April - 2008 March;98.4;3.1;95.8;3.9;0.8
891;L Renting, buying, selling real estate;2007 July - 2008 June;99.1;2.9;96.5;3.5;0.6
892;L Renting, buying, selling real estate;2007 October - 2008 September;99.6;3.2;97.0;3.6;0.4
893;L Renting, buying, selling real estate;2008 January - 2008 December;100.0;3.1;97.4;3.3;0.2
894;L Renting, buying, selling real estate;2008 April - 2009 March;99.9;1.5;97.4;1.7;0.2
895;L Renting, buying, selling real estate;2008 July - 2009 June;100.0;0.9;97.8;1.4;0.5
896;L Renting, buying, selling real estate;2008 October - 2009 September;99.2;-0.3;97.3;0.3;0.6
897;L Renting, buying, selling real estate;2009 January - 2009 December;99.1;-1.0;97.4;0.0;1.0
898;L Renting, buying, selling real estate;2009 April - 2010 March;99.2;-0.7;98.0;0.6;1.3
899;L Renting, buying, selling real estate;2009 July - 2010 June;99.5;-0.6;98.7;0.9;1.5
900;L Renting, buying, selling real estate;2009 October - 2010 September;100.6;1.4;100.2;3.0;1.6
901;L Renting, buying, selling real estate;2010 January - 2010 December;100.0;1.0;100.0;2.6;1.7
902;L Renting, buying, selling real estate;2010 April - 2011 March;100.2;1.1;100.4;2.4;1.3
903;L Renting, buying, selling real estate;2010 July - 2011 June;100.5;1.1;100.9;2.2;1.1
904;L Renting, buying, selling real estate;2010 October - 2011 September;101.1;0.5;101.6;1.4;0.9
905;L Renting, buying, selling real estate;2011 January - 2011 December;102.8;2.8;103.5;3.5;0.7
906;L Renting, buying, selling real estate;2011 April - 2012 March;102.7;2.5;103.7;3.3;0.8
907;L Renting, buying, selling real estate;2011 July - 2012 June;102.8;2.2;104.1;3.2;0.9
908;L Renting, buying, selling real estate;2011 October - 2012 September;103.3;2.2;105.0;3.3;1.1
909;L Renting, buying, selling real estate;2012 January - 2012 December;103.9;1.1;105.8;2.3;1.2
910;L Renting, buying, selling real estate;2012 April - 2013 March;105.7;2.9;108.0;4.2;1.3
911;L Renting, buying, selling real estate;2012 July - 2013 June;105.3;2.5;108.0;3.8;1.3
912;L Renting, buying, selling real estate;2012 October - 2013 September;104.9;1.5;107.7;2.6;1.1
913;L Renting, buying, selling real estate;2013 January - 2013 December;104.2;0.3;107.3;1.4;1.1
914;L Renting, buying, selling real estate;2013 April - 2014 March;103.5;-2.1;106.8;-1.1;0.9
915;L Renting, buying, selling real estate;2013 July - 2014 June;103.4;-1.9;106.8;-1.1;0.8
916;L Renting, buying, selling real estate;2013 October - 2014 September;103.2;-1.6;106.7;-1.0;0.6
917;L Renting, buying, selling real estate;2014 January - 2014 December;103.6;-0.6;107.0;-0.3;0.4
918;L Renting, buying, selling real estate;2014 April - 2015 March ;103.2;-0.3;106.7;-0.1;0.2
919;L Renting, buying, selling real estate;2014 July - 2015 June;103.1;-0.2;106.6;-0.1;0.1
920;L Renting, buying, selling real estate;2014 October - 2015 September;103.0;-0.2;106.5;-0.2;0.0
921;L Renting, buying, selling real estate;2015 January - 2015 December;102.8;-0.7;106.0;-0.9;-0.2
922;L Renting, buying, selling real estate;2015 April - 2016 March;103.1;0.0;106.3;-0.3;-0.3
923;L Renting, buying, selling real estate;2015 July - 2016 June;102.7;-0.4;105.8;-0.8;-0.5
924;L Renting, buying, selling real estate;2015 October - 2016 September;102.8;-0.2;105.7;-0.7;-0.5
925;L Renting, buying, selling real estate;2016 January - 2016 December;102.6;-0.2;105.6;-0.5;-0.3
926;L Renting, buying, selling real estate;2016 April - 2017 March;102.0;-1.1;104.8;-1.4;-0.2
927;L Renting, buying, selling real estate;2016 July - 2017 June;102.8;0.0;105.6;-0.2;-0.2
928;L Renting, buying, selling real estate;2016 October - 2017 September;103.3;0.5;106.1;0.3;-0.2
929;L Renting, buying, selling real estate;2017 January - 2017 December;104.4;1.7;107.1;1.4;-0.3
930;M-N Business services;2001;87.7;;82.0;;
931;M-N Business services;2002;89.8;2.5;85.2;3.9;1.4
932;M-N Business services;2003;92.1;2.6;88.4;3.8;1.2
933;M-N Business services;2004;92.0;-0.2;89.2;0.8;1.0
934;M-N Business services;2005;93.3;1.4;90.1;1.0;-0.4
935;M-N Business services;2006;93.7;0.4;90.7;0.7;0.3
936;M-N Business services;2007;96.7;3.3;93.4;3.0;-0.3
937;M-N Business services;2008;99.4;2.8;96.3;3.1;0.3
938;M-N Business services;2009;99.5;0.1;99.5;3.3;3.2
939;M-N Business services;2010;100.0;0.5;100.0;0.5;0.0
940;M-N Business services;2011;101.7;1.7;101.7;1.7;0.0
941;M-N Business services;2012;103.0;1.3;104.2;2.4;1.1
942;M-N Business services;2013;104.2;1.1;105.6;1.4;0.3
943;M-N Business services;2014;104.8;0.5;105.8;0.2;-0.4
944;M-N Business services;2015;103.2;-1.5;103.1;-2.5;-1.1
945;M-N Business services;2016;103.0;-0.2;101.9;-1.2;-1.0
946;M-N Business services;2017;104.4;1.4;101.7;-0.2;-1.6
947;M-N Business services;2006 January - 2006 December;93.7;0.4;90.7;0.7;0.3
948;M-N Business services;2006 April - 2007 March;94.4;;91.3;;
949;M-N Business services;2006 July - 2007 June;95.1;;91.9;;
950;M-N Business services;2006 October - 2007 September;95.8;;92.6;;
951;M-N Business services;2007 January - 2007 December;96.7;3.3;93.4;3.0;-0.3
952;M-N Business services;2007 April - 2008 March;97.7;3.6;94.5;3.5;0.0
953;M-N Business services;2007 July - 2008 June;98.6;3.7;95.4;3.8;0.1
954;M-N Business services;2007 October - 2008 September;99.0;3.3;95.9;3.5;0.2
955;M-N Business services;2008 January - 2008 December;99.4;2.8;96.3;3.1;0.3
956;M-N Business services;2008 April - 2009 March;99.6;1.9;97.1;2.8;0.9
957;M-N Business services;2008 July - 2009 June;100.2;1.6;98.5;3.3;1.7
958;M-N Business services;2008 October - 2009 September;100.1;1.1;99.3;3.6;2.4
959;M-N Business services;2009 January - 2009 December;99.5;0.1;99.5;3.3;3.2
960;M-N Business services;2009 April - 2010 March;100.6;1.1;101.2;4.2;3.1
961;M-N Business services;2009 July - 2010 June;100.6;0.5;101.2;2.7;2.2
962;M-N Business services;2009 October - 2010 September;99.8;-0.3;100.0;0.7;1.1
963;M-N Business services;2010 January - 2010 December;100.0;0.5;100.0;0.5;0.0
964;M-N Business services;2010 April - 2011 March;100.4;-0.2;100.2;-1.0;-0.7
965;M-N Business services;2010 July - 2011 June;100.5;-0.2;100.3;-0.9;-0.7
966;M-N Business services;2010 October - 2011 September;100.7;0.9;100.6;0.6;-0.3
967;M-N Business services;2011 January - 2011 December;101.7;1.7;101.7;1.7;0.0
968;M-N Business services;2011 April - 2012 March;101.4;1.0;101.7;1.5;0.5
969;M-N Business services;2011 July - 2012 June;101.6;1.1;102.2;1.9;0.8
970;M-N Business services;2011 October - 2012 September;102.3;1.6;103.1;2.5;0.9
971;M-N Business services;2012 January - 2012 December;103.0;1.3;104.2;2.4;1.1
972;M-N Business services;2012 April - 2013 March;104.4;3.0;105.5;3.7;0.7
973;M-N Business services;2012 July - 2013 June;104.5;2.9;105.8;3.5;0.6
974;M-N Business services;2012 October - 2013 September;104.5;2.1;106.0;2.8;0.7
975;M-N Business services;2013 January - 2013 December;104.2;1.1;105.6;1.4;0.3
976;M-N Business services;2013 April - 2014 March;104.2;-0.3;105.6;0.1;0.3
977;M-N Business services;2013 July - 2014 June;104.5;0.0;105.8;0.1;0.1
978;M-N Business services;2013 October - 2014 September;104.3;-0.2;105.6;-0.4;-0.2
979;M-N Business services;2014 January - 2014 December;104.8;0.5;105.8;0.2;-0.4
980;M-N Business services;2014 April - 2015 March ;104.2;0.0;105.0;-0.6;-0.6
981;M-N Business services;2014 July - 2015 June;104.3;-0.2;104.7;-1.0;-0.9
982;M-N Business services;2014 October - 2015 September;104.2;-0.1;104.4;-1.1;-1.0
983;M-N Business services;2015 January - 2015 December;103.2;-1.5;103.1;-2.5;-1.1
984;M-N Business services;2015 April - 2016 March;103.4;-0.7;103.1;-1.7;-1.0
985;M-N Business services;2015 July - 2016 June;102.9;-1.3;102.4;-2.3;-0.9
986;M-N Business services;2015 October - 2016 September;102.9;-1.3;102.1;-2.2;-0.9
987;M-N Business services;2016 January - 2016 December;103.0;-0.2;101.9;-1.2;-1.0
988;M-N Business services;2016 April - 2017 March;102.2;-1.2;100.8;-2.3;-1.1
989;M-N Business services;2016 July - 2017 June;103.2;0.3;101.3;-1.0;-1.3
990;M-N Business services;2016 October - 2017 September;103.8;0.8;101.5;-0.7;-1.5
991;M-N Business services;2017 January - 2017 December;104.4;1.4;101.7;-0.2;-1.6
992;M Other specialised business services;2001;86.7;;77.5;;
993;M Other specialised business services;2002;89.8;3.5;80.5;3.8;0.3
994;M Other specialised business services;2003;92.6;3.2;84.4;4.9;1.7
995;M Other specialised business services;2004;91.9;-0.7;84.9;0.5;1.3
996;M Other specialised business services;2005;93.8;2.1;88.0;3.7;1.6
997;M Other specialised business services;2006;93.7;-0.1;89.9;2.1;2.3
998;M Other specialised business services;2007;96.0;2.5;92.9;3.4;0.9
999;M Other specialised business services;2008;99.3;3.4;96.3;3.7;0.3
1000;M Other specialised business services;2009;98.9;-0.4;97.0;0.7;1.1
1001;M Other specialised business services;2010;100.0;1.1;100.0;3.1;2.0
1002;M Other specialised business services;2011;101.4;1.4;102.3;2.3;1.0
1003;M Other specialised business services;2012;102.5;1.1;104.5;2.1;0.9
1004;M Other specialised business services;2013;104.1;1.5;107.0;2.5;1.0
1005;M Other specialised business services;2014;104.5;0.4;108.1;1.0;0.6
