ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
6256;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Overijssel (PV);2022;22.14;34.31
6257;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Overijssel (PV);2023;27.16;35.54
6258;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Flevoland (PV);2018;34.36;44.11
6259;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Flevoland (PV);2019;47.72;52.12
6260;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Flevoland (PV);2020;;
6261;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Flevoland (PV);2021;27.7;46.48
6262;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Flevoland (PV);2022;;66.57
6263;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Flevoland (PV);2023;27.63;37.44
6264;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Gelderland (PV);2018;27.59;39.29
6265;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Gelderland (PV);2019;26.8;37.84
6266;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Gelderland (PV);2020;23.17;33.48
6267;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Gelderland (PV);2021;29.2;40.84
6268;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Gelderland (PV);2022;25.36;36.37
6269;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Gelderland (PV);2023;21.63;32.39
6270;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Utrecht (PV);2018;24.65;38.19
6271;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Utrecht (PV);2019;25.12;32.41
6272;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Utrecht (PV);2020;26.51;40.25
6273;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Utrecht (PV);2021;19.31;34.48
6274;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Utrecht (PV);2022;24.21;38.05
6275;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Utrecht (PV);2023;21.38;37.57
6276;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Holland (PV);2018;20.84;36.26
6277;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Holland (PV);2019;24.88;42.87
6278;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Holland (PV);2020;19.2;33.55
6279;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Holland (PV);2021;16.37;36.16
6280;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Holland (PV);2022;19.19;33.27
6281;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Holland (PV);2023;18.67;35.53
6282;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;22.22;42.44
6283;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;22.59;40.16
6284;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;19.51;37.29
6285;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;18.37;38.37
6286;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;18.89;33.12
6287;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;18.36;34.9
6288;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zeeland (PV);2018;22.61;26.71
6289;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zeeland (PV);2019;20.03;28.1
6290;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zeeland (PV);2020;;
6291;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zeeland (PV);2021;21.72;37.77
6292;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zeeland (PV);2022;18.98;27.9
6293;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Zeeland (PV);2023;;
6294;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;29.56;40.35
6295;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;23.86;36.41
6296;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;20.07;34.66
6297;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;22.66;38.47
6298;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;27.73;43.89
6299;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;22.63;36.38
6300;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2018;26.75;37.69
6301;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2019;20.87;32.68
6302;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2020;20.81;28.91
6303;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2021;18.92;34.24
6304;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2022;19.32;30.73
6305;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Limburg (PV);2023;22.37;34.3
6306;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2018;19.71;39.26
6307;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2019;20.7;37.43
6308;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2020;17.56;38.36
6309;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2021;15.85;36.25
6310;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2022;15.55;33.09
6311;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Extremely urbanised;2023;17.07;35.81
6312;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2018;23.2;39.22
6313;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2019;20.51;33.54
6314;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2020;20.37;32.05
6315;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2021;19.52;35.0
6316;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2022;23.86;37.63
6317;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Strongly urbanised;2023;19.77;33.01
6318;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2018;29.64;42.13
6319;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2019;27.36;42.25
6320;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2020;22.09;33.85
6321;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2021;22.07;38.58
6322;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2022;24.03;35.77
6323;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Moderately urbanised;2023;20.92;35.35
6324;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2018;29.13;39.61
6325;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2019;27.55;36.71
6326;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2020;22.23;37.33
6327;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2021;27.61;44.22
6328;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2022;23.99;34.22
6329;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Hardly urbanised;2023;22.28;33.1
6330;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2018;30.65;35.51
6331;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2019;30.5;44.45
6332;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2020;25.37;36.6
6333;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2021;19.25;34.06
6334;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2022;22.59;32.33
6335;Total;Population: 12 years or older;Other;Upper bound 95% confidence interval;Not urbanised;2023;26.35;37.56
6336;Distance: 0 to <1 km;Population 6 years or older;Total;Value;The Netherlands;2018;0.47;6.14
6337;Distance: 0 to <1 km;Population 6 years or older;Total;Value;The Netherlands;2019;0.47;6.41
6338;Distance: 0 to <1 km;Population 6 years or older;Total;Value;The Netherlands;2020;0.46;6.42
6339;Distance: 0 to <1 km;Population 6 years or older;Total;Value;The Netherlands;2021;0.46;6.7
6340;Distance: 0 to <1 km;Population 6 years or older;Total;Value;The Netherlands;2022;0.48;6.66
6341;Distance: 0 to <1 km;Population 6 years or older;Total;Value;The Netherlands;2023;0.48;6.84
6342;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Nederland (LD);2018;0.47;5.63
6343;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Nederland (LD);2019;0.48;6.1
6344;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Nederland (LD);2020;0.48;6.02
6345;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Nederland (LD);2021;0.46;6.53
6346;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Nederland (LD);2022;0.45;6.04
6347;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Nederland (LD);2023;0.49;6.38
6348;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Oost-Nederland (LD);2018;0.48;5.76
6349;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Oost-Nederland (LD);2019;0.48;5.95
6350;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Oost-Nederland (LD);2020;0.46;6.05
6351;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Oost-Nederland (LD);2021;0.47;6.36
6352;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Oost-Nederland (LD);2022;0.48;6.41
6353;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Oost-Nederland (LD);2023;0.49;6.56
6354;Distance: 0 to <1 km;Population 6 years or older;Total;Value;West-Nederland (LD);2018;0.47;6.35
6355;Distance: 0 to <1 km;Population 6 years or older;Total;Value;West-Nederland (LD);2019;0.47;6.59
6356;Distance: 0 to <1 km;Population 6 years or older;Total;Value;West-Nederland (LD);2020;0.46;6.77
6357;Distance: 0 to <1 km;Population 6 years or older;Total;Value;West-Nederland (LD);2021;0.46;6.98
6358;Distance: 0 to <1 km;Population 6 years or older;Total;Value;West-Nederland (LD);2022;0.47;6.93
6359;Distance: 0 to <1 km;Population 6 years or older;Total;Value;West-Nederland (LD);2023;0.48;7.21
6360;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2018;0.47;6.22
6361;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2019;0.48;6.59
6362;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2020;0.47;6.11
6363;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2021;0.46;6.42
6364;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2022;0.49;6.56
6365;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Nederland (LD);2023;0.48;6.46
6366;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Groningen (PV);2018;0.45;5.52
6367;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Groningen (PV);2019;0.47;6.23
6368;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Groningen (PV);2020;0.48;6.09
6369;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Groningen (PV);2021;0.46;5.93
6370;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Groningen (PV);2022;0.44;6.03
6371;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Groningen (PV);2023;0.47;6.64
6372;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Fryslân (PV);2018;0.47;5.6
6373;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Fryslân (PV);2019;0.47;6.37
6374;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Fryslân (PV);2020;0.48;6.09
6375;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Fryslân (PV);2021;0.46;7.86
6376;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Fryslân (PV);2022;0.48;5.72
6377;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Fryslân (PV);2023;0.47;6.01
6378;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Drenthe (PV);2018;0.49;5.88
6379;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Drenthe (PV);2019;0.49;5.62
6380;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Drenthe (PV);2020;0.48;5.83
6381;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Drenthe (PV);2021;0.47;5.54
6382;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Drenthe (PV);2022;0.44;6.56
6383;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Drenthe (PV);2023;0.54;6.56
6384;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Overijssel (PV);2018;0.48;5.47
6385;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Overijssel (PV);2019;0.5;5.72
6386;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Overijssel (PV);2020;0.45;5.77
6387;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Overijssel (PV);2021;0.47;6.16
6388;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Overijssel (PV);2022;0.49;6.68
6389;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Overijssel (PV);2023;0.48;6.21
6390;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Flevoland (PV);2018;0.46;5.84
6391;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Flevoland (PV);2019;0.45;5.84
6392;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Flevoland (PV);2020;0.46;8.2
6393;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Flevoland (PV);2021;0.48;6.18
6394;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Flevoland (PV);2022;0.48;6.88
6395;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Flevoland (PV);2023;0.49;6.83
6396;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Gelderland (PV);2018;0.48;5.9
6397;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Gelderland (PV);2019;0.48;6.09
6398;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Gelderland (PV);2020;0.46;5.81
6399;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Gelderland (PV);2021;0.47;6.5
6400;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Gelderland (PV);2022;0.48;6.19
6401;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Gelderland (PV);2023;0.49;6.72
6402;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Utrecht (PV);2018;0.47;6.14
6403;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Utrecht (PV);2019;0.46;6.06
6404;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Utrecht (PV);2020;0.45;6.72
6405;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Utrecht (PV);2021;0.46;6.25
6406;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Utrecht (PV);2022;0.48;6.45
6407;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Utrecht (PV);2023;0.48;6.52
6408;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Holland (PV);2018;0.47;6.32
6409;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Holland (PV);2019;0.47;6.92
6410;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Holland (PV);2020;0.46;6.47
6411;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Holland (PV);2021;0.46;7.29
6412;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Holland (PV);2022;0.47;7.33
6413;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Holland (PV);2023;0.47;7.51
6414;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Holland (PV);2018;0.46;6.54
6415;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Holland (PV);2019;0.47;6.68
6416;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Holland (PV);2020;0.46;7.11
6417;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Holland (PV);2021;0.46;7.13
6418;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Holland (PV);2022;0.48;6.93
6419;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zuid-Holland (PV);2023;0.48;7.42
6420;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zeeland (PV);2018;0.45;5.52
6421;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zeeland (PV);2019;0.48;5.39
6422;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zeeland (PV);2020;0.48;5.79
6423;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zeeland (PV);2021;0.47;5.8
6424;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zeeland (PV);2022;0.44;5.61
6425;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Zeeland (PV);2023;0.48;5.52
6426;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Brabant (PV);2018;0.47;6.06
6427;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Brabant (PV);2019;0.47;6.41
6428;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Brabant (PV);2020;0.46;6.05
6429;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Brabant (PV);2021;0.47;6.33
6430;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Brabant (PV);2022;0.49;6.47
6431;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Noord-Brabant (PV);2023;0.48;6.5
6432;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Limburg (PV);2018;0.48;6.61
6433;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Limburg (PV);2019;0.49;7.01
6434;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Limburg (PV);2020;0.48;6.26
6435;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Limburg (PV);2021;0.45;6.62
6436;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Limburg (PV);2022;0.48;6.81
6437;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Limburg (PV);2023;0.48;6.38
6438;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Extremely urbanised;2018;0.46;6.67
6439;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Extremely urbanised;2019;0.46;7.03
6440;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Extremely urbanised;2020;0.45;7.1
6441;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Extremely urbanised;2021;0.45;7.34
6442;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Extremely urbanised;2022;0.47;7.33
6443;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Extremely urbanised;2023;0.46;7.6
6444;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Strongly urbanised;2018;0.48;6.34
6445;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Strongly urbanised;2019;0.48;6.6
6446;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Strongly urbanised;2020;0.46;6.59
6447;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Strongly urbanised;2021;0.47;6.93
6448;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Strongly urbanised;2022;0.49;7.16
6449;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Strongly urbanised;2023;0.49;6.91
6450;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Moderately urbanised;2018;0.48;5.86
6451;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Moderately urbanised;2019;0.49;6.23
6452;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Moderately urbanised;2020;0.47;6.1
6453;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Moderately urbanised;2021;0.47;5.94
6454;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Moderately urbanised;2022;0.49;6.23
6455;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Moderately urbanised;2023;0.49;6.64
6456;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Hardly urbanised;2018;0.47;5.69
6457;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Hardly urbanised;2019;0.47;5.82
6458;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Hardly urbanised;2020;0.46;5.77
6459;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Hardly urbanised;2021;0.47;5.96
6460;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Hardly urbanised;2022;0.47;5.84
6461;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Hardly urbanised;2023;0.49;6.14
6462;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Not urbanised;2018;0.46;5.23
6463;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Not urbanised;2019;0.47;5.42
6464;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Not urbanised;2020;0.47;5.6
6465;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Not urbanised;2021;0.44;6.88
6466;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Not urbanised;2022;0.46;5.22
6467;Distance: 0 to <1 km;Population 6 years or older;Total;Value;Not urbanised;2023;0.46;5.76
6468;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2018;0.47;6.05
6469;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2019;0.47;6.24
6470;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2020;0.46;6.27
6471;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2021;0.46;6.48
6472;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2022;0.47;6.52
6473;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;The Netherlands;2023;0.48;6.68
6474;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;0.45;5.35
6475;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;0.46;5.63
6476;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;0.46;5.49
6477;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;0.45;5.08
6478;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;0.44;5.53
6479;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;0.47;5.96
6480;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;0.47;5.58
6481;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;0.47;5.71
6482;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;0.45;5.66
6483;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;0.46;5.96
6484;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;0.47;6.04
6485;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;0.48;6.23
6486;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2018;0.46;6.22
6487;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2019;0.46;6.31
6488;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2020;0.45;6.55
6489;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2021;0.45;6.72
6490;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2022;0.47;6.71
6491;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;West-Nederland (LD);2023;0.47;6.96
6492;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;0.46;6.0
6493;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;0.46;6.21
6494;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;0.46;5.89
6495;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;0.45;6.06
6496;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;0.48;6.33
6497;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;0.47;6.24
6498;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2018;0.42;5.12
6499;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2019;0.44;5.62
6500;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2020;0.45;5.41
6501;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2021;0.43;5.48
6502;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2022;0.42;5.52
6503;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Groningen (PV);2023;0.45;5.84
6504;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2018;0.44;5.18
6505;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2019;0.44;5.32
6506;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2020;0.45;5.19
6507;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2021;0.44;3.93
6508;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2022;0.45;5.22
6509;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Fryslân (PV);2023;0.44;5.52
6510;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2018;0.45;5.14
6511;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2019;0.46;4.97
6512;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2020;0.44;4.6
