ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
3927;Total male and female;10000;Total background and generation;N01B Anesthetics, local;2018;195345;1.11
3928;Total male and female;10000;Total background and generation;N01B Anesthetics, local;2019;203390;1.15
3929;Total male and female;10000;Total background and generation;N01B Anesthetics, local;2020;188890;1.06
3930;Total male and female;10000;Total background and generation;N02 Analgesics;2006;1038690;6.24
3931;Total male and female;10000;Total background and generation;N02 Analgesics;2007;1113985;6.68
3932;Total male and female;10000;Total background and generation;N02 Analgesics;2008;1165040;6.95
3933;Total male and female;10000;Total background and generation;N02 Analgesics;2009;1224140;7.27
3934;Total male and female;10000;Total background and generation;N02 Analgesics;2010;1284115;7.58
3935;Total male and female;10000;Total background and generation;N02 Analgesics;2011;1361375;8.0
3936;Total male and female;10000;Total background and generation;N02 Analgesics;2012;1398535;8.19
3937;Total male and female;10000;Total background and generation;N02 Analgesics;2013;1145215;6.69
3938;Total male and female;10000;Total background and generation;N02 Analgesics;2014;1199070;6.97
3939;Total male and female;10000;Total background and generation;N02 Analgesics;2015;1256395;7.27
3940;Total male and female;10000;Total background and generation;N02 Analgesics;2016;1318480;7.58
3941;Total male and female;10000;Total background and generation;N02 Analgesics;2017;1377450;7.88
3942;Total male and female;10000;Total background and generation;N02 Analgesics;2018;1400435;7.96
3943;Total male and female;10000;Total background and generation;N02 Analgesics;2019;1201165;6.78
3944;Total male and female;10000;Total background and generation;N02 Analgesics;2020;1162135;6.53
3945;Total male and female;10000;Total background and generation;N02A Opioids;2006;595970;3.58
3946;Total male and female;10000;Total background and generation;N02A Opioids;2007;651730;3.91
3947;Total male and female;10000;Total background and generation;N02A Opioids;2008;697415;4.16
3948;Total male and female;10000;Total background and generation;N02A Opioids;2009;745095;4.42
3949;Total male and female;10000;Total background and generation;N02A Opioids;2010;805005;4.75
3950;Total male and female;10000;Total background and generation;N02A Opioids;2011;860135;5.05
3951;Total male and female;10000;Total background and generation;N02A Opioids;2012;898340;5.26
3952;Total male and female;10000;Total background and generation;N02A Opioids;2013;814210;4.75
3953;Total male and female;10000;Total background and generation;N02A Opioids;2014;863110;5.02
3954;Total male and female;10000;Total background and generation;N02A Opioids;2015;921765;5.33
3955;Total male and female;10000;Total background and generation;N02A Opioids;2016;975990;5.61
3956;Total male and female;10000;Total background and generation;N02A Opioids;2017;1027020;5.87
3957;Total male and female;10000;Total background and generation;N02A Opioids;2018;1030530;5.86
3958;Total male and female;10000;Total background and generation;N02A Opioids;2019;999700;5.64
3959;Total male and female;10000;Total background and generation;N02A Opioids;2020;966020;5.43
3960;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2006;316305;1.9
3961;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2007;335430;2.01
3962;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2008;345160;2.06
3963;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2009;363620;2.16
3964;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2010;370420;2.19
3965;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2011;402925;2.37
3966;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2012;417265;2.44
3967;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2013;194540;1.14
3968;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2014;218150;1.27
3969;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2015;242905;1.41
3970;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2016;270270;1.55
3971;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2017;294810;1.69
3972;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2018;330375;1.88
3973;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2019;5010;0.03
3974;Total male and female;10000;Total background and generation;N02B Other analgesics and antipyretics;2020;4510;0.03
3975;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2006;220270;1.32
3976;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2007;229415;1.38
3977;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2008;231460;1.38
3978;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2009;235645;1.4
3979;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2010;243755;1.44
3980;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2011;251335;1.48
3981;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2012;248115;1.45
3982;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2013;242790;1.42
3983;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2014;239930;1.39
3984;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2015;231880;1.34
3985;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2016;228970;1.32
3986;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2017;227060;1.3
3987;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2018;226570;1.29
3988;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2019;228280;1.29
3989;Total male and female;10000;Total background and generation;N02C Antimigraine preparations;2020;222140;1.25
3990;Total male and female;10000;Total background and generation;N03 Antiepileptics;2006;245220;1.47
3991;Total male and female;10000;Total background and generation;N03 Antiepileptics;2007;257800;1.55
3992;Total male and female;10000;Total background and generation;N03 Antiepileptics;2008;268835;1.6
3993;Total male and female;10000;Total background and generation;N03 Antiepileptics;2009;267565;1.59
3994;Total male and female;10000;Total background and generation;N03 Antiepileptics;2010;269660;1.59
3995;Total male and female;10000;Total background and generation;N03 Antiepileptics;2011;284290;1.67
3996;Total male and female;10000;Total background and generation;N03 Antiepileptics;2012;298345;1.75
3997;Total male and female;10000;Total background and generation;N03 Antiepileptics;2013;309175;1.8
3998;Total male and female;10000;Total background and generation;N03 Antiepileptics;2014;323740;1.88
3999;Total male and female;10000;Total background and generation;N03 Antiepileptics;2015;337415;1.95
4000;Total male and female;10000;Total background and generation;N03 Antiepileptics;2016;347535;2.0
4001;Total male and female;10000;Total background and generation;N03 Antiepileptics;2017;351860;2.01
4002;Total male and female;10000;Total background and generation;N03 Antiepileptics;2018;353225;2.01
4003;Total male and female;10000;Total background and generation;N03 Antiepileptics;2019;358755;2.02
4004;Total male and female;10000;Total background and generation;N03 Antiepileptics;2020;356490;2.0
4005;Total male and female;10000;Total background and generation;N03A Antiepileptics;2006;245220;1.47
4006;Total male and female;10000;Total background and generation;N03A Antiepileptics;2007;257800;1.55
4007;Total male and female;10000;Total background and generation;N03A Antiepileptics;2008;268835;1.6
4008;Total male and female;10000;Total background and generation;N03A Antiepileptics;2009;267565;1.59
4009;Total male and female;10000;Total background and generation;N03A Antiepileptics;2010;269660;1.59
4010;Total male and female;10000;Total background and generation;N03A Antiepileptics;2011;284290;1.67
4011;Total male and female;10000;Total background and generation;N03A Antiepileptics;2012;298345;1.75
4012;Total male and female;10000;Total background and generation;N03A Antiepileptics;2013;309175;1.8
4013;Total male and female;10000;Total background and generation;N03A Antiepileptics;2014;323740;1.88
4014;Total male and female;10000;Total background and generation;N03A Antiepileptics;2015;337415;1.95
4015;Total male and female;10000;Total background and generation;N03A Antiepileptics;2016;347535;2.0
4016;Total male and female;10000;Total background and generation;N03A Antiepileptics;2017;351860;2.01
4017;Total male and female;10000;Total background and generation;N03A Antiepileptics;2018;353225;2.01
4018;Total male and female;10000;Total background and generation;N03A Antiepileptics;2019;358755;2.02
4019;Total male and female;10000;Total background and generation;N03A Antiepileptics;2020;356490;2.0
4020;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2006;63500;0.38
4021;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2007;74700;0.45
4022;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2008;82725;0.49
4023;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2009;88515;0.53
4024;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2010;86720;0.51
4025;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2011;88575;0.52
4026;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2012;88730;0.52
4027;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2013;88700;0.52
4028;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2014;89785;0.52
4029;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2015;90950;0.53
4030;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2016;92035;0.53
4031;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2017;92435;0.53
4032;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2018;93395;0.53
4033;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2019;93915;0.53
4034;Total male and female;10000;Total background and generation;N04 Anti-parkinson drugs;2020;93845;0.53
4035;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2006;19230;0.12
4036;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2007;18815;0.11
4037;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2008;18055;0.11
4038;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2009;17315;0.1
4039;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2010;16900;0.1
4040;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2011;16650;0.1
4041;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2012;16445;0.1
4042;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2013;16025;0.09
4043;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2014;15480;0.09
4044;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2015;15190;0.09
4045;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2016;14745;0.08
4046;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2017;14275;0.08
4047;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2018;13980;0.08
4048;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2019;13250;0.07
4049;Total male and female;10000;Total background and generation;N04A Anticholinergic agents;2020;12880;0.07
4050;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2006;45790;0.28
4051;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2007;57400;0.34
4052;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2008;66150;0.39
4053;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2009;72535;0.43
4054;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2010;71045;0.42
4055;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2011;73080;0.43
4056;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2012;73365;0.43
4057;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2013;73675;0.43
4058;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2014;75285;0.44
4059;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2015;76735;0.44
4060;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2016;78220;0.45
4061;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2017;79035;0.45
4062;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2018;80330;0.46
4063;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2019;81490;0.46
4064;Total male and female;10000;Total background and generation;N04B Dopaminergic agents;2020;81735;0.46
4065;Total male and female;10000;Total background and generation;N05 Psycholeptics;2006;1852650;11.13
4066;Total male and female;10000;Total background and generation;N05 Psycholeptics;2007;1894905;11.36
4067;Total male and female;10000;Total background and generation;N05 Psycholeptics;2008;1890355;11.28
4068;Total male and female;10000;Total background and generation;N05 Psycholeptics;2009;549270;3.26
4069;Total male and female;10000;Total background and generation;N05 Psycholeptics;2010;573230;3.39
4070;Total male and female;10000;Total background and generation;N05 Psycholeptics;2011;606865;3.57
4071;Total male and female;10000;Total background and generation;N05 Psycholeptics;2012;612195;3.58
4072;Total male and female;10000;Total background and generation;N05 Psycholeptics;2013;604750;3.53
4073;Total male and female;10000;Total background and generation;N05 Psycholeptics;2014;623120;3.62
4074;Total male and female;10000;Total background and generation;N05 Psycholeptics;2015;640795;3.71
4075;Total male and female;10000;Total background and generation;N05 Psycholeptics;2016;656825;3.78
4076;Total male and female;10000;Total background and generation;N05 Psycholeptics;2017;674485;3.86
4077;Total male and female;10000;Total background and generation;N05 Psycholeptics;2018;691710;3.93
4078;Total male and female;10000;Total background and generation;N05 Psycholeptics;2019;700390;3.95
4079;Total male and female;10000;Total background and generation;N05 Psycholeptics;2020;705075;3.96
4080;Total male and female;10000;Total background and generation;N05A Antipsychotics;2006;232425;1.4
4081;Total male and female;10000;Total background and generation;N05A Antipsychotics;2007;244805;1.47
4082;Total male and female;10000;Total background and generation;N05A Antipsychotics;2008;251955;1.5
4083;Total male and female;10000;Total background and generation;N05A Antipsychotics;2009;258280;1.53
4084;Total male and female;10000;Total background and generation;N05A Antipsychotics;2010;268780;1.59
4085;Total male and female;10000;Total background and generation;N05A Antipsychotics;2011;279540;1.64
4086;Total male and female;10000;Total background and generation;N05A Antipsychotics;2012;286625;1.68
4087;Total male and female;10000;Total background and generation;N05A Antipsychotics;2013;293670;1.71
4088;Total male and female;10000;Total background and generation;N05A Antipsychotics;2014;305390;1.78
4089;Total male and female;10000;Total background and generation;N05A Antipsychotics;2015;314755;1.82
4090;Total male and female;10000;Total background and generation;N05A Antipsychotics;2016;320885;1.85
4091;Total male and female;10000;Total background and generation;N05A Antipsychotics;2017;326975;1.87
4092;Total male and female;10000;Total background and generation;N05A Antipsychotics;2018;337015;1.92
4093;Total male and female;10000;Total background and generation;N05A Antipsychotics;2019;343170;1.94
4094;Total male and female;10000;Total background and generation;N05A Antipsychotics;2020;354380;1.99
4095;Total male and female;10000;Total background and generation;N05B Anxiolytics;2006;1163235;6.99
4096;Total male and female;10000;Total background and generation;N05B Anxiolytics;2007;1184070;7.1
4097;Total male and female;10000;Total background and generation;N05B Anxiolytics;2008;1174575;7.01
4098;Total male and female;10000;Total background and generation;N05B Anxiolytics;2009;273590;1.62
4099;Total male and female;10000;Total background and generation;N05B Anxiolytics;2010;291815;1.72
4100;Total male and female;10000;Total background and generation;N05B Anxiolytics;2011;312625;1.84
4101;Total male and female;10000;Total background and generation;N05B Anxiolytics;2012;311605;1.82
4102;Total male and female;10000;Total background and generation;N05B Anxiolytics;2013;302300;1.76
4103;Total male and female;10000;Total background and generation;N05B Anxiolytics;2014;305920;1.78
4104;Total male and female;10000;Total background and generation;N05B Anxiolytics;2015;308915;1.79
4105;Total male and female;10000;Total background and generation;N05B Anxiolytics;2016;315165;1.81
4106;Total male and female;10000;Total background and generation;N05B Anxiolytics;2017;322760;1.85
4107;Total male and female;10000;Total background and generation;N05B Anxiolytics;2018;325150;1.85
4108;Total male and female;10000;Total background and generation;N05B Anxiolytics;2019;323240;1.82
4109;Total male and female;10000;Total background and generation;N05B Anxiolytics;2020;316815;1.78
4110;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2006;847170;5.09
4111;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2007;867425;5.2
4112;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2008;864605;5.16
4113;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2009;163955;0.97
4114;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2010;170780;1.01
4115;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2011;185080;1.09
4116;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2012;188015;1.1
4117;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2013;184575;1.08
4118;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2014;195565;1.14
4119;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2015;207540;1.2
4120;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2016;218180;1.25
4121;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2017;228695;1.31
4122;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2018;237430;1.35
4123;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2019;239585;1.35
4124;Total male and female;10000;Total background and generation;N05C Hypnotics and sedatives;2020;241660;1.36
4125;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2006;942170;5.66
4126;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2007;999390;5.99
4127;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2008;1029825;6.14
4128;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2009;1055950;6.27
4129;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2010;1089635;6.44
4130;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2011;1142260;6.71
4131;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2012;1162915;6.81
4132;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2013;1193310;6.97
4133;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2014;1220390;7.1
4134;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2015;1242070;7.19
4135;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2016;1248260;7.18
4136;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2017;1246920;7.13
4137;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2018;1260780;7.16
4138;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2019;1277350;7.21
4139;Total male and female;10000;Total background and generation;N06 Psychoanaleptics;2020;1269905;7.13
4140;Total male and female;10000;Total background and generation;N06A Antidepressants;2006;851935;5.12
4141;Total male and female;10000;Total background and generation;N06A Antidepressants;2007;892765;5.35
4142;Total male and female;10000;Total background and generation;N06A Antidepressants;2008;905190;5.4
4143;Total male and female;10000;Total background and generation;N06A Antidepressants;2009;912650;5.42
4144;Total male and female;10000;Total background and generation;N06A Antidepressants;2010;925470;5.47
4145;Total male and female;10000;Total background and generation;N06A Antidepressants;2011;960005;5.64
4146;Total male and female;10000;Total background and generation;N06A Antidepressants;2012;967230;5.66
4147;Total male and female;10000;Total background and generation;N06A Antidepressants;2013;988885;5.77
4148;Total male and female;10000;Total background and generation;N06A Antidepressants;2014;1005330;5.85
4149;Total male and female;10000;Total background and generation;N06A Antidepressants;2015;1023185;5.92
4150;Total male and female;10000;Total background and generation;N06A Antidepressants;2016;1028410;5.91
4151;Total male and female;10000;Total background and generation;N06A Antidepressants;2017;1030420;5.89
4152;Total male and female;10000;Total background and generation;N06A Antidepressants;2018;1046030;5.94
4153;Total male and female;10000;Total background and generation;N06A Antidepressants;2019;1058260;5.97
4154;Total male and female;10000;Total background and generation;N06A Antidepressants;2020;1048565;5.89
4155;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2006;78390;0.47
4156;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2007;95640;0.57
4157;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2008;112520;0.67
4158;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2009;130490;0.77
4159;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2010;152595;0.9
4160;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2011;172275;1.01
4161;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2012;186935;1.09
4162;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2013;199320;1.16
4163;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2014;213855;1.24
4164;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2015;220980;1.28
4165;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2016;225195;1.3
4166;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2017;225700;1.29
4167;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2018;227395;1.29
4168;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2019;234790;1.32
4169;Total male and female;10000;Total background and generation;N06B Psychostimul.,adhd agents,nootropic;2020;238670;1.34
4170;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2006;0;0.0
4171;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2007;0;0.0
4172;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2008;0;0.0
4173;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2009;0;0.0
4174;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2010;0;0.0
4175;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2011;0;0.0
4176;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2012;0;0.0
4177;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2013;0;0.0
4178;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2014;0;0.0
4179;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2015;0;0.0
4180;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2016;0;0.0
4181;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2017;0;0.0
4182;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2018;0;0.0
4183;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2019;0;0.0
4184;Total male and female;10000;Total background and generation;N06C Psycholeptics, -analeptics combin.;2020;0;0.0
4185;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2006;25380;0.15
4186;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2007;27725;0.17
4187;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2008;31870;0.19
4188;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2009;35130;0.21
4189;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2010;37340;0.22
4190;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2011;38330;0.23
4191;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2012;38320;0.22
4192;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2013;36475;0.21
4193;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2014;34265;0.2
4194;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2015;32240;0.19
4195;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2016;29700;0.17
4196;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2017;24860;0.14
4197;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2018;21670;0.12
4198;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2019;20475;0.12
4199;Total male and female;10000;Total background and generation;N06D Anti-dementia drugs;2020;19630;0.11
4200;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2006;150640;0.91
4201;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2007;153110;0.92
4202;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2008;150635;0.9
4203;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2009;149225;0.89
4204;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2010;149570;0.88
4205;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2011;181900;1.07
4206;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2012;143335;0.84
4207;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2013;164780;0.96
4208;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2014;155960;0.91
4209;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2015;155715;0.9
4210;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2016;162770;0.94
4211;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2017;162455;0.93
4212;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2018;141570;0.8
4213;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2019;135940;0.77
4214;Total male and female;10000;Total background and generation;N07 Other nervous system drugs;2020;143870;0.81
4215;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2006;8750;0.05
4216;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2007;8445;0.05
4217;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2008;7845;0.05
4218;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2009;7695;0.05
4219;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2010;7340;0.04
4220;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2011;7080;0.04
4221;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2012;6575;0.04
4222;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2013;6120;0.04
4223;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2014;6410;0.04
4224;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2015;6075;0.04
4225;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2016;5575;0.03
4226;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2017;5360;0.03
4227;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2018;5280;0.03
4228;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2019;6035;0.03
4229;Total male and female;10000;Total background and generation;N07A Parasympathomimetics;2020;6020;0.03
4230;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2006;22305;0.13
4231;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2007;24095;0.14
4232;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2008;25060;0.15
4233;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2009;25755;0.15
4234;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2010;26905;0.16
4235;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2011;60540;0.36
4236;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2012;27390;0.16
4237;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2013;56185;0.33
4238;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2014;49575;0.29
4239;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2015;53050;0.31
4240;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2016;62310;0.36
4241;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2017;66660;0.38
4242;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2018;51590;0.29
4243;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2019;53095;0.3
4244;Total male and female;10000;Total background and generation;N07B Drugs used in addictive disorders;2020;66025;0.37
4245;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2006;119125;0.72
4246;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2007;119910;0.72
4247;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2008;116965;0.7
4248;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2009;114935;0.68
4249;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2010;114340;0.68
4250;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2011;113520;0.67
4251;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2012;108165;0.63
4252;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2013;101435;0.59
4253;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2014;97825;0.57
4254;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2015;93415;0.54
4255;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2016;89800;0.52
