ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
4496;Total financing of residents;FS.4.1 Compulsory prepayment from...;Other goods and services;2019;447
4497;Total financing of residents;FS.4.1 Compulsory prepayment from...;Other goods and services;2020;469
4498;Total financing of residents;FS.4.1 Compulsory prepayment from...;Other goods and services;2021;485
4499;Total financing of residents;FS.4.1 Compulsory prepayment from...;Other goods and services;2022;508
4500;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;1998;268
4501;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;1999;285
4502;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2000;323
4503;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2001;358
4504;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2002;427
4505;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2003;480
4506;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2004;527
4507;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2005;525
4508;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2006;0
4509;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2007;0
4510;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2008;0
4511;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2009;0
4512;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2010;0
4513;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2011;0
4514;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2012;0
4515;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2013;0
4516;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2014;0
4517;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2015;0
4518;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2016;0
4519;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2017;0
4520;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2018;0
4521;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2019;0
4522;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2020;0
4523;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2021;0
4524;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health, social care and welfare;2022;0
4525;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;1998;262
4526;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;1999;279
4527;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2000;317
4528;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2001;350
4529;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2002;418
4530;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2003;470
4531;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2004;516
4532;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2005;513
4533;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2006;0
4534;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2007;0
4535;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2008;0
4536;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2009;0
4537;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2010;0
4538;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2011;0
4539;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2012;0
4540;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2013;0
4541;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2014;0
4542;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2015;0
4543;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2016;0
4544;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2017;0
4545;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2018;0
4546;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2019;0
4547;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2020;0
4548;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2021;0
4549;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total current expenditure on healthcare;2022;0
4550;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;1998;0
4551;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;1999;0
4552;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2000;0
4553;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2001;0
4554;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2002;0
4555;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2003;0
4556;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2004;0
4557;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2005;0
4558;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2006;0
4559;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2007;0
4560;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2008;0
4561;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2009;0
4562;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2010;0
4563;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2011;0
4564;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2012;0
4565;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2013;0
4566;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2014;0
4567;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2015;0
4568;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2016;0
4569;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2017;0
4570;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2018;0
4571;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2019;0
4572;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2020;0
4573;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2021;0
4574;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Total health related expenditure;2022;0
4575;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;1998;5
4576;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;1999;6
4577;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2000;6
4578;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2001;7
4579;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2002;9
4580;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2003;10
4581;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2004;11
4582;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2005;12
4583;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2006;0
4584;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2007;0
4585;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2008;0
4586;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2009;0
4587;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2010;0
4588;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2011;0
4589;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2012;0
4590;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2013;0
4591;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2014;0
4592;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2015;0
4593;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2016;0
4594;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2017;0
4595;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2018;0
4596;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2019;0
4597;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2020;0
4598;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2021;0
4599;Total financing of residents;FS.4.2 Compulsory prepayment from em ...;Other goods and services;2022;0
4600;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;1998;0
4601;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;1999;0
4602;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2000;0
4603;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2001;0
4604;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2002;0
4605;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2003;0
4606;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2004;0
4607;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2005;0
4608;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2006;0
4609;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2007;0
4610;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2008;0
4611;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2009;0
4612;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2010;0
4613;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2011;0
4614;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2012;0
4615;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2013;0
4616;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2014;0
4617;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2015;0
4618;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2016;0
4619;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2017;0
4620;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2018;0
4621;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2019;0
4622;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2020;0
4623;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2021;0
4624;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health, social care and welfare;2022;0
4625;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;1998;0
4626;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;1999;0
4627;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2000;0
4628;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2001;0
4629;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2002;0
4630;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2003;0
4631;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2004;0
4632;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2005;0
4633;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2006;0
4634;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2007;0
4635;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2008;0
4636;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2009;0
4637;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2010;0
4638;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2011;0
4639;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2012;0
4640;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2013;0
4641;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2014;0
4642;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2015;0
4643;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2016;0
4644;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2017;0
4645;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2018;0
4646;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2019;0
4647;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2020;0
4648;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2021;0
4649;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total current expenditure on healthcare;2022;0
4650;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;1998;0
4651;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;1999;0
4652;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2000;0
4653;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2001;0
4654;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2002;0
4655;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2003;0
4656;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2004;0
4657;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2005;0
4658;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2006;0
4659;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2007;0
4660;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2008;0
4661;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2009;0
4662;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2010;0
4663;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2011;0
4664;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2012;0
4665;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2013;0
4666;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2014;0
4667;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2015;0
4668;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2016;0
4669;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2017;0
4670;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2018;0
4671;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2019;0
4672;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2020;0
4673;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2021;0
4674;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Total health related expenditure;2022;0
4675;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;1998;0
4676;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;1999;0
4677;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2000;0
4678;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2001;0
4679;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2002;0
4680;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2003;0
4681;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2004;0
4682;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2005;0
4683;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2006;0
4684;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2007;0
4685;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2008;0
4686;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2009;0
4687;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2010;0
4688;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2011;0
4689;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2012;0
4690;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2013;0
4691;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2014;0
4692;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2015;0
4693;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2016;0
4694;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2017;0
4695;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2018;0
4696;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2019;0
4697;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2020;0
4698;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2021;0
4699;Total financing of residents;FS.4.3 Other compulsory prepaid revenues;Other goods and services;2022;0
4700;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;1998;5002
4701;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;1999;5394
4702;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2000;5680
4703;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2001;6325
4704;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2002;7289
4705;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2003;8081
4706;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2004;9382
4707;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2005;9776
4708;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2006;3316
4709;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2007;3590
4710;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2008;3932
4711;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2009;4104
4712;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2010;4225
4713;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2011;4504
4714;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2012;4669
4715;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2013;4413
4716;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2014;4303
4717;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2015;4350
4718;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2016;4390
4719;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2017;4451
4720;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2018;4523
4721;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2019;4503
4722;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2020;4458
4723;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2021;4259
4724;Total financing of residents;FS.5  Voluntary prepayment;Total health, social care and welfare;2022;4372
4725;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;1998;4922
4726;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;1999;5307
4727;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2000;5589
4728;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2001;6221
4729;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2002;7166
4730;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2003;7945
4731;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2004;9228
4732;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2005;9614
4733;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2006;3309
4734;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2007;3583
4735;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2008;3932
4736;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2009;4104
4737;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2010;4225
4738;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2011;4504
4739;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2012;4669
4740;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2013;4413
4741;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2014;4303
4742;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2015;4350
4743;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2016;4390
4744;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2017;4451
4745;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2018;4523
4746;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2019;4503
4747;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2020;4458
4748;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2021;4259
4749;Total financing of residents;FS.5  Voluntary prepayment;Total current expenditure on healthcare;2022;4372
4750;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;1998;0
4751;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;1999;0
4752;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2000;0
4753;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2001;0
4754;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2002;0
4755;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2003;0
4756;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2004;0
4757;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2005;0
4758;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2006;0
4759;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2007;0
4760;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2008;0
4761;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2009;0
4762;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2010;0
4763;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2011;0
4764;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2012;0
4765;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2013;0
4766;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2014;0
4767;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2015;0
4768;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2016;0
4769;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2017;0
4770;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2018;0
4771;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2019;0
4772;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2020;0
4773;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2021;0
4774;Total financing of residents;FS.5  Voluntary prepayment;Total health related expenditure;2022;0
4775;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;1998;79
4776;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;1999;87
4777;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2000;91
4778;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2001;104
4779;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2002;123
4780;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2003;136
4781;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2004;154
4782;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2005;162
4783;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2006;7
4784;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2007;8
4785;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2008;0
4786;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2009;0
4787;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2010;0
4788;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2011;0
4789;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2012;0
4790;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2013;0
4791;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2014;0
4792;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2015;0
4793;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2016;0
4794;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2017;0
4795;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2018;0
4796;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2019;0
4797;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2020;0
4798;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2021;0
4799;Total financing of residents;FS.5  Voluntary prepayment;Other goods and services;2022;0
4800;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;1998;3316
4801;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;1999;3586
4802;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2000;3799
4803;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2001;4250
