ID;HouseholdCharacteristics;ComponentsOfWealth;Periods;NumberOfPrivateHouseholds_1;TotalWealth_2;MeanWealth_3;MedianWealth_4
4855;Main earner: 65 to 74 years;2.2 Education loans;2019;23.5;0.4;17.0;10.4
4856;Main earner: 65 to 74 years;2.2 Education loans;2020;25.9;0.5;18.0;11.2
4857;Main earner: 65 to 74 years;2.2 Education loans;2021;28.2;0.5;18.5;11.2
4858;Main earner: 65 to 74 years;2.2 Education loans;2022;29.6;0.6;19.2;11.5
4859;Main earner: 65 to 74 years;2.2 Education loans;2023;32.4;0.6;20.1;11.9
4860;Main earner: 65 to 74 years;2.3 Other loans;2006;64.9;7.1;110.0;32.5
4861;Main earner: 65 to 74 years;2.3 Other loans;2007;70.8;8.3;118.0;35.0
4862;Main earner: 65 to 74 years;2.3 Other loans;2008;74.6;9.5;127.9;37.7
4863;Main earner: 65 to 74 years;2.3 Other loans;2009;81.4;11.1;136.6;39.6
4864;Main earner: 65 to 74 years;2.3 Other loans;2010;86.5;13.5;155.9;45.0
4865;Main earner: 65 to 74 years;2.3 Other loans;2011;247.9;14.4;58.0;1.6
4866;Main earner: 65 to 74 years;2.3 Other loans;2012;267.3;17.0;63.5;2.0
4867;Main earner: 65 to 74 years;2.3 Other loans;2013;334.4;18.2;54.6;1.1
4868;Main earner: 65 to 74 years;2.3 Other loans;2014;299.4;20.0;66.6;2.4
4869;Main earner: 65 to 74 years;2.3 Other loans;2015;306.2;20.0;65.2;2.3
4870;Main earner: 65 to 74 years;2.3 Other loans;2016;337.6;20.8;61.6;2.3
4871;Main earner: 65 to 74 years;2.3 Other loans;2017;316.1;21.8;68.9;2.6
4872;Main earner: 65 to 74 years;2.3 Other loans;2018;354.8;21.6;61.0;1.5
4873;Main earner: 65 to 74 years;2.3 Other loans;2019;309.3;22.3;72.1;2.7
4874;Main earner: 65 to 74 years;2.3 Other loans;2020;302.7;21.9;72.3;3.1
4875;Main earner: 65 to 74 years;2.3 Other loans;2021;323.0;22.3;69.2;2.0
4876;Main earner: 65 to 74 years;2.3 Other loans;2022;411.3;26.3;64.0;1.2
4877;Main earner: 65 to 74 years;2.3 Other loans;2023;497.4;27.5;55.3;0.8
4878;Main earner: 65 to 74 years;Wealth excluding principal residence;2006;803.9;94.5;117.6;22.9
4879;Main earner: 65 to 74 years;Wealth excluding principal residence;2007;812.8;101.2;124.6;23.1
4880;Main earner: 65 to 74 years;Wealth excluding principal residence;2008;825.5;110.2;133.5;23.4
4881;Main earner: 65 to 74 years;Wealth excluding principal residence;2009;846.8;109.4;129.2;23.7
4882;Main earner: 65 to 74 years;Wealth excluding principal residence;2010;877.6;127.8;145.6;24.9
4883;Main earner: 65 to 74 years;Wealth excluding principal residence;2011;896.3;131.4;146.6;24.9
4884;Main earner: 65 to 74 years;Wealth excluding principal residence;2012;953.1;140.8;147.7;24.9
4885;Main earner: 65 to 74 years;Wealth excluding principal residence;2013;1004.5;163.7;162.9;24.2
4886;Main earner: 65 to 74 years;Wealth excluding principal residence;2014;1041.9;167.5;160.7;23.9
4887;Main earner: 65 to 74 years;Wealth excluding principal residence;2015;1075.4;180.2;167.6;26.0
4888;Main earner: 65 to 74 years;Wealth excluding principal residence;2016;1103.1;184.4;167.1;25.9
4889;Main earner: 65 to 74 years;Wealth excluding principal residence;2017;1133.0;192.9;170.3;26.4
4890;Main earner: 65 to 74 years;Wealth excluding principal residence;2018;1160.6;203.0;175.0;27.2
4891;Main earner: 65 to 74 years;Wealth excluding principal residence;2019;1182.8;205.8;174.0;28.0
4892;Main earner: 65 to 74 years;Wealth excluding principal residence;2020;1201.4;221.4;184.3;29.3
4893;Main earner: 65 to 74 years;Wealth excluding principal residence;2021;1226.1;221.2;180.4;34.0
4894;Main earner: 65 to 74 years;Wealth excluding principal residence;2022;1218.9;241.2;197.9;36.4
4895;Main earner: 65 to 74 years;Wealth excluding principal residence;2023;1220.0;243.8;199.9;38.8
4896;Main earner: 75 to 84 years;Wealth;2006;571.0;117.1;205.1;30.8
4897;Main earner: 75 to 84 years;Wealth;2007;577.2;126.3;218.7;42.8
4898;Main earner: 75 to 84 years;Wealth;2008;585.3;137.3;234.6;55.5
4899;Main earner: 75 to 84 years;Wealth;2009;590.2;134.4;227.8;61.2
4900;Main earner: 75 to 84 years;Wealth;2010;599.0;137.4;229.3;70.4
4901;Main earner: 75 to 84 years;Wealth;2011;605.2;137.3;226.9;69.7
4902;Main earner: 75 to 84 years;Wealth;2012;614.1;136.2;221.9;73.6
4903;Main earner: 75 to 84 years;Wealth;2013;623.2;136.3;218.6;76.7
4904;Main earner: 75 to 84 years;Wealth;2014;631.2;139.3;220.7;80.6
4905;Main earner: 75 to 84 years;Wealth;2015;647.3;148.0;228.6;84.3
4906;Main earner: 75 to 84 years;Wealth;2016;660.6;155.1;234.7;90.2
4907;Main earner: 75 to 84 years;Wealth;2017;674.0;169.6;251.6;100.0
4908;Main earner: 75 to 84 years;Wealth;2018;686.3;186.4;271.6;114.9
4909;Main earner: 75 to 84 years;Wealth;2019;707.6;204.3;288.7;134.2
4910;Main earner: 75 to 84 years;Wealth;2020;730.4;231.4;316.9;155.2
4911;Main earner: 75 to 84 years;Wealth;2021;745.4;249.7;335.0;184.5
4912;Main earner: 75 to 84 years;Wealth;2022;794.5;315.7;397.4;241.0
4913;Main earner: 75 to 84 years;Wealth;2023;837.9;335.9;400.9;250.4
4914;Main earner: 75 to 84 years;1 Assets;2006;571.0;124.5;218.0;31.9
4915;Main earner: 75 to 84 years;1 Assets;2007;577.2;134.7;233.4;42.8
4916;Main earner: 75 to 84 years;1 Assets;2008;585.3;147.0;251.1;58.3
4917;Main earner: 75 to 84 years;1 Assets;2009;590.2;145.3;246.2;65.3
4918;Main earner: 75 to 84 years;1 Assets;2010;599.0;149.8;250.1;78.5
4919;Main earner: 75 to 84 years;1 Assets;2011;605.2;151.1;249.7;76.5
4920;Main earner: 75 to 84 years;1 Assets;2012;614.1;151.5;246.7;86.5
4921;Main earner: 75 to 84 years;1 Assets;2013;623.2;152.7;245.1;101.6
4922;Main earner: 75 to 84 years;1 Assets;2014;631.2;157.4;249.4;114.4
4923;Main earner: 75 to 84 years;1 Assets;2015;647.3;167.4;258.6;122.4
4924;Main earner: 75 to 84 years;1 Assets;2016;660.6;176.9;267.8;136.3
4925;Main earner: 75 to 84 years;1 Assets;2017;674.0;193.4;286.9;151.8
4926;Main earner: 75 to 84 years;1 Assets;2018;686.3;212.3;309.3;171.8
4927;Main earner: 75 to 84 years;1 Assets;2019;707.6;233.0;329.2;194.3
4928;Main earner: 75 to 84 years;1 Assets;2020;730.4;262.7;359.7;217.1
4929;Main earner: 75 to 84 years;1 Assets;2021;745.4;283.5;380.3;248.5
4930;Main earner: 75 to 84 years;1 Assets;2022;794.5;356.6;448.8;309.1
4931;Main earner: 75 to 84 years;1 Assets;2023;837.9;382.0;455.9;323.1
4932;Main earner: 75 to 84 years;1.1 Financial assets;2006;540.5;51.9;95.9;22.9
4933;Main earner: 75 to 84 years;1.1 Financial assets;2007;543.0;54.3;100.1;24.2
4934;Main earner: 75 to 84 years;1.1 Financial assets;2008;557.3;54.8;98.4;25.1
4935;Main earner: 75 to 84 years;1.1 Financial assets;2009;561.3;49.2;87.6;25.3
4936;Main earner: 75 to 84 years;1.1 Financial assets;2010;576.3;52.8;91.6;25.8
4937;Main earner: 75 to 84 years;1.1 Financial assets;2011;585.9;52.2;89.1;27.0
4938;Main earner: 75 to 84 years;1.1 Financial assets;2012;604.7;52.0;86.0;25.4
4939;Main earner: 75 to 84 years;1.1 Financial assets;2013;610.8;54.2;88.7;24.6
4940;Main earner: 75 to 84 years;1.1 Financial assets;2014;618.8;55.0;88.8;23.6
4941;Main earner: 75 to 84 years;1.1 Financial assets;2015;640.6;56.8;88.7;24.7
4942;Main earner: 75 to 84 years;1.1 Financial assets;2016;653.5;57.8;88.4;23.7
4943;Main earner: 75 to 84 years;1.1 Financial assets;2017;667.5;59.3;88.9;24.2
4944;Main earner: 75 to 84 years;1.1 Financial assets;2018;680.4;62.2;91.5;24.9
4945;Main earner: 75 to 84 years;1.1 Financial assets;2019;701.9;63.2;90.0;26.0
4946;Main earner: 75 to 84 years;1.1 Financial assets;2020;725.1;70.2;96.9;27.7
4947;Main earner: 75 to 84 years;1.1 Financial assets;2021;741.4;74.4;100.4;30.7
4948;Main earner: 75 to 84 years;1.1 Financial assets;2022;790.5;85.7;108.4;33.9
4949;Main earner: 75 to 84 years;1.1 Financial assets;2023;834.1;90.0;107.9;36.3
4950;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2006;539.9;27.3;50.6;22.9
4951;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2007;542.2;29.3;54.1;23.1
4952;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2008;556.8;32.1;57.7;23.4
4953;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2009;560.8;33.7;60.1;23.7
4954;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2010;576.1;34.9;60.6;24.2
4955;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2011;585.7;34.1;58.2;24.5
4956;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2012;604.6;35.3;58.3;23.5
4957;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2013;610.7;36.5;59.7;22.4
4958;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2014;618.7;36.4;58.8;21.7
4959;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2015;640.6;37.1;57.9;22.7
4960;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2016;653.5;37.2;57.0;21.6
4961;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2017;667.4;38.2;57.2;22.1
4962;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2018;680.3;39.4;58.0;22.7
4963;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2019;701.9;41.2;58.8;23.6
4964;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2020;725.1;44.1;60.9;25.0
4965;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2021;741.4;47.9;64.7;28.2
4966;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2022;790.5;53.7;67.9;30.8
4967;Main earner: 75 to 84 years;1.1.1 Bank and savings credits;2023;834.1;59.3;71.1;33.0
4968;Main earner: 75 to 84 years;1.1.2 Securities;2006;128.5;24.5;191.0;43.1
4969;Main earner: 75 to 84 years;1.1.2 Securities;2007;126.1;25.0;198.4;50.0
4970;Main earner: 75 to 84 years;1.1.2 Securities;2008;123.1;22.7;184.2;50.8
4971;Main earner: 75 to 84 years;1.1.2 Securities;2009;118.4;15.5;130.6;37.4
4972;Main earner: 75 to 84 years;1.1.2 Securities;2010;120.1;17.9;148.9;41.1
4973;Main earner: 75 to 84 years;1.1.2 Securities;2011;118.7;18.2;153.0;37.9
4974;Main earner: 75 to 84 years;1.1.2 Securities;2012;115.8;16.8;144.7;34.7
4975;Main earner: 75 to 84 years;1.1.2 Securities;2013;110.8;17.7;160.1;37.5
4976;Main earner: 75 to 84 years;1.1.2 Securities;2014;104.9;18.6;177.2;40.0
4977;Main earner: 75 to 84 years;1.1.2 Securities;2015;103.4;19.7;190.4;43.0
4978;Main earner: 75 to 84 years;1.1.2 Securities;2016;104.2;20.6;197.3;44.8
4979;Main earner: 75 to 84 years;1.1.2 Securities;2017;105.5;21.2;200.7;46.4
4980;Main earner: 75 to 84 years;1.1.2 Securities;2018;107.4;22.8;212.1;50.0
4981;Main earner: 75 to 84 years;1.1.2 Securities;2019;112.9;21.9;194.1;46.1
4982;Main earner: 75 to 84 years;1.1.2 Securities;2020;118.1;26.1;221.0;50.3
4983;Main earner: 75 to 84 years;1.1.2 Securities;2021;120.1;26.5;220.6;50.0
4984;Main earner: 75 to 84 years;1.1.2 Securities;2022;131.1;32.1;244.5;53.8
4985;Main earner: 75 to 84 years;1.1.2 Securities;2023;139.6;30.7;219.9;48.6
4986;Main earner: 75 to 84 years;1.2 Real estate;2006;200.2;64.3;321.1;258.3
4987;Main earner: 75 to 84 years;1.2 Real estate;2007;210.7;71.2;337.9;274.1
4988;Main earner: 75 to 84 years;1.2 Real estate;2008;234.4;82.3;350.9;284.6
4989;Main earner: 75 to 84 years;1.2 Real estate;2009;242.9;85.1;350.3;283.1
4990;Main earner: 75 to 84 years;1.2 Real estate;2010;253.8;84.3;332.1;266.2
4991;Main earner: 75 to 84 years;1.2 Real estate;2011;257.9;84.8;328.7;266.8
4992;Main earner: 75 to 84 years;1.2 Real estate;2012;268.7;84.4;314.0;253.4
4993;Main earner: 75 to 84 years;1.2 Real estate;2013;279.9;79.7;284.7;227.1
4994;Main earner: 75 to 84 years;1.2 Real estate;2014;293.8;83.0;282.3;225.4
4995;Main earner: 75 to 84 years;1.2 Real estate;2015;307.0;88.3;287.5;228.8
4996;Main earner: 75 to 84 years;1.2 Real estate;2016;321.2;95.5;297.3;236.6
4997;Main earner: 75 to 84 years;1.2 Real estate;2017;334.8;104.8;313.2;249.9
4998;Main earner: 75 to 84 years;1.2 Real estate;2018;349.5;117.5;336.2;267.2
4999;Main earner: 75 to 84 years;1.2 Real estate;2019;369.9;134.2;362.9;290.6
5000;Main earner: 75 to 84 years;1.2 Real estate;2020;391.4;151.0;385.9;309.3
5001;Main earner: 75 to 84 years;1.2 Real estate;2021;407.7;171.1;419.6;340.1
5002;Main earner: 75 to 84 years;1.2 Real estate;2022;445.1;223.6;502.4;414.3
5003;Main earner: 75 to 84 years;1.2 Real estate;2023;477.2;242.1;507.3;416.8
5004;Main earner: 75 to 84 years;1.2.1 Principal residence;2006;193.3;59.1;305.8;256.0
5005;Main earner: 75 to 84 years;1.2.1 Principal residence;2007;204.2;65.7;321.8;271.8
5006;Main earner: 75 to 84 years;1.2.1 Principal residence;2008;230.5;76.2;330.7;281.2
5007;Main earner: 75 to 84 years;1.2.1 Principal residence;2009;239.0;78.6;329.1;277.9
5008;Main earner: 75 to 84 years;1.2.1 Principal residence;2010;249.7;77.0;308.6;261.0
5009;Main earner: 75 to 84 years;1.2.1 Principal residence;2011;253.2;77.0;304.3;262.8
5010;Main earner: 75 to 84 years;1.2.1 Principal residence;2012;264.0;76.3;288.9;248.6
5011;Main earner: 75 to 84 years;1.2.1 Principal residence;2013;274.9;71.2;258.8;223.2
5012;Main earner: 75 to 84 years;1.2.1 Principal residence;2014;288.4;74.2;257.3;221.6
5013;Main earner: 75 to 84 years;1.2.1 Principal residence;2015;301.2;79.0;262.4;225.8
5014;Main earner: 75 to 84 years;1.2.1 Principal residence;2016;315.4;85.6;271.4;232.5
5015;Main earner: 75 to 84 years;1.2.1 Principal residence;2017;329.0;94.4;287.0;245.7
5016;Main earner: 75 to 84 years;1.2.1 Principal residence;2018;343.8;106.0;308.2;264.0
5017;Main earner: 75 to 84 years;1.2.1 Principal residence;2019;364.2;121.3;333.1;285.2
5018;Main earner: 75 to 84 years;1.2.1 Principal residence;2020;385.4;136.4;354.0;304.7
5019;Main earner: 75 to 84 years;1.2.1 Principal residence;2021;401.9;155.5;387.0;335.7
5020;Main earner: 75 to 84 years;1.2.1 Principal residence;2022;438.8;205.4;468.0;408.5
5021;Main earner: 75 to 84 years;1.2.1 Principal residence;2023;470.3;220.6;469.0;410.5
5022;Main earner: 75 to 84 years;1.2.2 Other real estate;2006;28.1;5.2;183.8;90.1
5023;Main earner: 75 to 84 years;1.2.2 Other real estate;2007;28.6;5.5;192.3;94.5
5024;Main earner: 75 to 84 years;1.2.2 Other real estate;2008;29.1;6.0;207.7;102.0
5025;Main earner: 75 to 84 years;1.2.2 Other real estate;2009;30.1;6.5;214.8;106.6
5026;Main earner: 75 to 84 years;1.2.2 Other real estate;2010;31.5;7.2;229.2;114.5
5027;Main earner: 75 to 84 years;1.2.2 Other real estate;2011;31.7;7.7;243.8;117.9
5028;Main earner: 75 to 84 years;1.2.2 Other real estate;2012;32.8;8.1;247.6;119.6
5029;Main earner: 75 to 84 years;1.2.2 Other real estate;2013;34.3;8.5;248.8;120.0
5030;Main earner: 75 to 84 years;1.2.2 Other real estate;2014;38.5;8.8;227.7;105.0
5031;Main earner: 75 to 84 years;1.2.2 Other real estate;2015;41.0;9.2;224.7;100.0
5032;Main earner: 75 to 84 years;1.2.2 Other real estate;2016;42.6;9.9;231.8;101.0
5033;Main earner: 75 to 84 years;1.2.2 Other real estate;2017;43.9;10.4;237.2;102.0
5034;Main earner: 75 to 84 years;1.2.2 Other real estate;2018;45.7;11.5;252.3;107.5
5035;Main earner: 75 to 84 years;1.2.2 Other real estate;2019;48.9;12.9;264.3;112.0
5036;Main earner: 75 to 84 years;1.2.2 Other real estate;2020;51.6;14.6;282.5;119.0
5037;Main earner: 75 to 84 years;1.2.2 Other real estate;2021;53.3;15.5;291.7;124.0
5038;Main earner: 75 to 84 years;1.2.2 Other real estate;2022;57.8;18.2;315.3;132.1
5039;Main earner: 75 to 84 years;1.2.2 Other real estate;2023;62.2;21.5;346.2;150.0
5040;Main earner: 75 to 84 years;1.3 Enterprise capital;2006;7.3;1.1;146.5;39.4
5041;Main earner: 75 to 84 years;1.3 Enterprise capital;2007;7.2;1.1;157.7;45.5
5042;Main earner: 75 to 84 years;1.3 Enterprise capital;2008;6.7;1.1;163.2;53.3
5043;Main earner: 75 to 84 years;1.3 Enterprise capital;2009;6.9;1.1;165.2;50.4
5044;Main earner: 75 to 84 years;1.3 Enterprise capital;2010;7.6;1.3;174.2;42.4
5045;Main earner: 75 to 84 years;1.3 Enterprise capital;2011;8.1;1.4;169.8;38.3
5046;Main earner: 75 to 84 years;1.3 Enterprise capital;2012;8.3;1.4;171.1;35.4
5047;Main earner: 75 to 84 years;1.3 Enterprise capital;2013;8.5;1.5;181.4;34.5
5048;Main earner: 75 to 84 years;1.3 Enterprise capital;2014;8.9;1.7;187.9;30.3
5049;Main earner: 75 to 84 years;1.3 Enterprise capital;2015;9.4;1.7;181.6;27.7
5050;Main earner: 75 to 84 years;1.3 Enterprise capital;2016;10.2;1.9;183.0;24.3
5051;Main earner: 75 to 84 years;1.3 Enterprise capital;2017;10.8;1.9;180.3;24.7
5052;Main earner: 75 to 84 years;1.3 Enterprise capital;2018;11.5;2.1;181.3;23.0
5053;Main earner: 75 to 84 years;1.3 Enterprise capital;2019;12.7;2.4;186.6;23.4
5054;Main earner: 75 to 84 years;1.3 Enterprise capital;2020;13.9;2.6;186.5;23.9
5055;Main earner: 75 to 84 years;1.3 Enterprise capital;2021;14.5;2.6;180.3;23.3
5056;Main earner: 75 to 84 years;1.3 Enterprise capital;2022;16.2;2.9;177.9;24.3
5057;Main earner: 75 to 84 years;1.3 Enterprise capital;2023;17.9;3.3;185.6;24.6
5058;Main earner: 75 to 84 years;1.4 Substantial interest;2006;5.1;3.8;745.0;67.2
5059;Main earner: 75 to 84 years;1.4 Substantial interest;2007;5.8;4.4;758.6;68.6
5060;Main earner: 75 to 84 years;1.4 Substantial interest;2008;6.5;4.7;715.6;72.5
5061;Main earner: 75 to 84 years;1.4 Substantial interest;2009;7.3;5.4;732.4;69.4
5062;Main earner: 75 to 84 years;1.4 Substantial interest;2010;8.3;6.6;794.5;76.7
5063;Main earner: 75 to 84 years;1.4 Substantial interest;2011;9.0;7.8;863.4;82.2
5064;Main earner: 75 to 84 years;1.4 Substantial interest;2012;10.0;8.7;864.3;88.1
5065;Main earner: 75 to 84 years;1.4 Substantial interest;2013;11.0;12.0;1091.6;104.1
5066;Main earner: 75 to 84 years;1.4 Substantial interest;2014;12.3;12.4;1009.2;103.3
5067;Main earner: 75 to 84 years;1.4 Substantial interest;2015;13.7;15.1;1100.6;110.4
5068;Main earner: 75 to 84 years;1.4 Substantial interest;2016;14.8;16.0;1077.8;119.2
5069;Main earner: 75 to 84 years;1.4 Substantial interest;2017;16.5;20.9;1263.2;130.3
5070;Main earner: 75 to 84 years;1.4 Substantial interest;2018;18.2;23.5;1293.3;152.1
5071;Main earner: 75 to 84 years;1.4 Substantial interest;2019;19.8;25.7;1302.1;187.9
5072;Main earner: 75 to 84 years;1.4 Substantial interest;2020;21.7;30.6;1410.9;211.3
5073;Main earner: 75 to 84 years;1.4 Substantial interest;2021;23.7;26.8;1131.2;200.7
5074;Main earner: 75 to 84 years;1.4 Substantial interest;2022;27.1;34.8;1283.0;228.3
5075;Main earner: 75 to 84 years;1.4 Substantial interest;2023;31.6;36.4;1150.2;214.1
5076;Main earner: 75 to 84 years;1.5 Other assets;2006;50.2;3.5;69.6;21.0
5077;Main earner: 75 to 84 years;1.5 Other assets;2007;51.1;3.7;72.6;22.7
5078;Main earner: 75 to 84 years;1.5 Other assets;2008;51.8;4.1;79.9;25.0
5079;Main earner: 75 to 84 years;1.5 Other assets;2009;52.1;4.5;85.9;28.5
5080;Main earner: 75 to 84 years;1.5 Other assets;2010;52.9;4.8;90.9;30.1
5081;Main earner: 75 to 84 years;1.5 Other assets;2011;44.7;4.9;110.4;43.4
5082;Main earner: 75 to 84 years;1.5 Other assets;2012;44.3;5.0;113.4;45.0
5083;Main earner: 75 to 84 years;1.5 Other assets;2013;45.0;5.3;117.7;47.6
5084;Main earner: 75 to 84 years;1.5 Other assets;2014;48.1;5.5;113.8;45.0
5085;Main earner: 75 to 84 years;1.5 Other assets;2015;48.9;5.5;113.0;43.0
5086;Main earner: 75 to 84 years;1.5 Other assets;2016;49.2;5.8;117.6;44.9
5087;Main earner: 75 to 84 years;1.5 Other assets;2017;51.3;6.3;123.8;45.8
5088;Main earner: 75 to 84 years;1.5 Other assets;2018;52.3;6.9;132.6;49.4
5089;Main earner: 75 to 84 years;1.5 Other assets;2019;54.8;7.5;136.0;50.0
5090;Main earner: 75 to 84 years;1.5 Other assets;2020;58.9;8.3;140.3;49.7
5091;Main earner: 75 to 84 years;1.5 Other assets;2021;61.2;8.6;140.1;49.5
5092;Main earner: 75 to 84 years;1.5 Other assets;2022;64.5;9.6;148.4;50.0
5093;Main earner: 75 to 84 years;1.5 Other assets;2023;61.0;10.1;166.5;61.8
5094;Main earner: 75 to 84 years;2 Liabilities;2006;95.7;7.4;77.3;43.7
5095;Main earner: 75 to 84 years;2 Liabilities;2007;102.7;8.5;82.6;45.4
5096;Main earner: 75 to 84 years;2 Liabilities;2008;110.0;9.7;88.0;48.5
5097;Main earner: 75 to 84 years;2 Liabilities;2009;115.6;10.8;93.8;51.5
5098;Main earner: 75 to 84 years;2 Liabilities;2010;124.2;12.5;100.3;55.2
5099;Main earner: 75 to 84 years;2 Liabilities;2011;180.6;13.8;76.4;36.3
5100;Main earner: 75 to 84 years;2 Liabilities;2012;188.4;15.2;80.9;40.0
5101;Main earner: 75 to 84 years;2 Liabilities;2013;234.0;16.5;70.5;28.5
5102;Main earner: 75 to 84 years;2 Liabilities;2014;209.7;18.2;86.6;45.4
5103;Main earner: 75 to 84 years;2 Liabilities;2015;214.3;19.4;90.7;47.6
5104;Main earner: 75 to 84 years;2 Liabilities;2016;236.1;21.9;92.7;48.0
5105;Main earner: 75 to 84 years;2 Liabilities;2017;240.9;23.8;98.6;53.6
5106;Main earner: 75 to 84 years;2 Liabilities;2018;276.8;25.9;93.6;48.5
5107;Main earner: 75 to 84 years;2 Liabilities;2019;261.0;28.7;109.8;62.4
5108;Main earner: 75 to 84 years;2 Liabilities;2020;272.7;31.3;114.8;67.4
5109;Main earner: 75 to 84 years;2 Liabilities;2021;297.7;33.8;113.5;65.2
5110;Main earner: 75 to 84 years;2 Liabilities;2022;355.5;40.9;115.0;62.3
5111;Main earner: 75 to 84 years;2 Liabilities;2023;401.0;46.0;114.8;61.0
5112;Main earner: 75 to 84 years;2.1 Principal residence loans;2006;76.4;4.8;62.2;42.7
5113;Main earner: 75 to 84 years;2.1 Principal residence loans;2007;82.5;5.5;66.3;45.4
5114;Main earner: 75 to 84 years;2.1 Principal residence loans;2008;88.8;6.2;69.8;45.5
5115;Main earner: 75 to 84 years;2.1 Principal residence loans;2009;92.9;6.9;73.8;50.0
5116;Main earner: 75 to 84 years;2.1 Principal residence loans;2010;100.5;7.7;76.7;52.6
5117;Main earner: 75 to 84 years;2.1 Principal residence loans;2011;114.8;8.9;77.8;54.5
5118;Main earner: 75 to 84 years;2.1 Principal residence loans;2012;124.3;10.0;80.3;56.7
5119;Main earner: 75 to 84 years;2.1 Principal residence loans;2013;133.8;11.0;82.3;59.0
5120;Main earner: 75 to 84 years;2.1 Principal residence loans;2014;143.1;12.2;84.9;61.2
5121;Main earner: 75 to 84 years;2.1 Principal residence loans;2015;147.8;13.1;88.7;65.0
5122;Main earner: 75 to 84 years;2.1 Principal residence loans;2016;160.4;14.7;91.5;67.6
5123;Main earner: 75 to 84 years;2.1 Principal residence loans;2017;171.8;16.1;93.7;68.6
5124;Main earner: 75 to 84 years;2.1 Principal residence loans;2018;182.6;17.7;96.9;71.5
5125;Main earner: 75 to 84 years;2.1 Principal residence loans;2019;197.1;19.8;100.4;74.8
5126;Main earner: 75 to 84 years;2.1 Principal residence loans;2020;211.2;21.7;102.5;76.6
5127;Main earner: 75 to 84 years;2.1 Principal residence loans;2021;223.5;23.5;105.3;79.8
5128;Main earner: 75 to 84 years;2.1 Principal residence loans;2022;248.9;27.2;109.3;82.3
5129;Main earner: 75 to 84 years;2.1 Principal residence loans;2023;272.9;31.0;113.6;86.5
5130;Main earner: 75 to 84 years;2.2 Education loans;2006;;;;
5131;Main earner: 75 to 84 years;2.2 Education loans;2007;;;;
5132;Main earner: 75 to 84 years;2.2 Education loans;2008;;;;
5133;Main earner: 75 to 84 years;2.2 Education loans;2009;;;;
5134;Main earner: 75 to 84 years;2.2 Education loans;2010;;;;
5135;Main earner: 75 to 84 years;2.2 Education loans;2011;0.8;0.0;13.9;7.0
5136;Main earner: 75 to 84 years;2.2 Education loans;2012;1.0;0.0;11.3;5.3
5137;Main earner: 75 to 84 years;2.2 Education loans;2013;1.1;0.0;11.6;5.7
5138;Main earner: 75 to 84 years;2.2 Education loans;2014;1.3;0.0;12.1;6.1
5139;Main earner: 75 to 84 years;2.2 Education loans;2015;1.4;0.0;13.3;6.9
5140;Main earner: 75 to 84 years;2.2 Education loans;2016;1.6;0.0;13.6;7.0
5141;Main earner: 75 to 84 years;2.2 Education loans;2017;1.8;0.0;13.8;6.9
5142;Main earner: 75 to 84 years;2.2 Education loans;2018;2.1;0.0;14.3;7.3
5143;Main earner: 75 to 84 years;2.2 Education loans;2019;2.3;0.0;16.2;9.1
5144;Main earner: 75 to 84 years;2.2 Education loans;2020;2.6;0.0;16.9;9.6
5145;Main earner: 75 to 84 years;2.2 Education loans;2021;2.9;0.0;17.2;9.3
5146;Main earner: 75 to 84 years;2.2 Education loans;2022;3.2;0.1;18.1;10.1
5147;Main earner: 75 to 84 years;2.2 Education loans;2023;3.5;0.1;18.5;10.8
5148;Main earner: 75 to 84 years;2.3 Other loans;2006;29.0;2.6;91.2;32.8
5149;Main earner: 75 to 84 years;2.3 Other loans;2007;31.4;3.0;96.1;35.0
5150;Main earner: 75 to 84 years;2.3 Other loans;2008;33.3;3.5;104.7;38.1
5151;Main earner: 75 to 84 years;2.3 Other loans;2009;35.7;4.0;111.7;40.1
5152;Main earner: 75 to 84 years;2.3 Other loans;2010;37.8;4.7;125.2;45.4
5153;Main earner: 75 to 84 years;2.3 Other loans;2011;96.0;4.9;50.7;1.0
5154;Main earner: 75 to 84 years;2.3 Other loans;2012;96.2;5.2;54.6;1.2
5155;Main earner: 75 to 84 years;2.3 Other loans;2013;147.2;5.5;37.2;0.4
5156;Main earner: 75 to 84 years;2.3 Other loans;2014;104.4;6.0;57.3;1.3
5157;Main earner: 75 to 84 years;2.3 Other loans;2015;104.7;6.3;60.2;1.4
