ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
4027;General government;AF22 Transferable deposits;General government;Face value;1999 4th quarter;;
4028;General government;AF22 Transferable deposits;General government;Face value;1999;;
4029;General government;AF22 Transferable deposits;General government;Face value;2000 1st quarter;;
4030;General government;AF22 Transferable deposits;General government;Face value;2000 2nd quarter;;
4031;General government;AF22 Transferable deposits;General government;Face value;2000 3rd quarter;;
4032;General government;AF22 Transferable deposits;General government;Face value;2000 4th quarter;;
4033;General government;AF22 Transferable deposits;General government;Face value;2000;;
4034;General government;AF22 Transferable deposits;General government;Face value;2001 1st quarter;;
4035;General government;AF22 Transferable deposits;General government;Face value;2001 2nd quarter;;
4036;General government;AF22 Transferable deposits;General government;Face value;2001 3rd quarter;;
4037;General government;AF22 Transferable deposits;General government;Face value;2001 4th quarter;;
4038;General government;AF22 Transferable deposits;General government;Face value;2001;;
4039;General government;AF22 Transferable deposits;General government;Face value;2002 1st quarter;;
4040;General government;AF22 Transferable deposits;General government;Face value;2002 2nd quarter;;
4041;General government;AF22 Transferable deposits;General government;Face value;2002 3rd quarter;;
4042;General government;AF22 Transferable deposits;General government;Face value;2002 4th quarter;;
4043;General government;AF22 Transferable deposits;General government;Face value;2002;;
4044;General government;AF22 Transferable deposits;General government;Face value;2003 1st quarter;;
4045;General government;AF22 Transferable deposits;General government;Face value;2003 2nd quarter;;
4046;General government;AF22 Transferable deposits;General government;Face value;2003 3rd quarter;;
4047;General government;AF22 Transferable deposits;General government;Face value;2003 4th quarter;;
4048;General government;AF22 Transferable deposits;General government;Face value;2003;;
4049;General government;AF22 Transferable deposits;General government;Face value;2004 1st quarter;;
4050;General government;AF22 Transferable deposits;General government;Face value;2004 2nd quarter;;
4051;General government;AF22 Transferable deposits;General government;Face value;2004 3rd quarter;;
4052;General government;AF22 Transferable deposits;General government;Face value;2004 4th quarter;;
4053;General government;AF22 Transferable deposits;General government;Face value;2004;;
4054;General government;AF22 Transferable deposits;General government;Face value;2005 1st quarter;;
4055;General government;AF22 Transferable deposits;General government;Face value;2005 2nd quarter;;
4056;General government;AF22 Transferable deposits;General government;Face value;2005 3rd quarter;;
4057;General government;AF22 Transferable deposits;General government;Face value;2005 4th quarter;;
4058;General government;AF22 Transferable deposits;General government;Face value;2005;;
4059;General government;AF22 Transferable deposits;General government;Face value;2006 1st quarter;;
4060;General government;AF22 Transferable deposits;General government;Face value;2006 2nd quarter;;
4061;General government;AF22 Transferable deposits;General government;Face value;2006 3rd quarter;;
4062;General government;AF22 Transferable deposits;General government;Face value;2006 4th quarter;;
4063;General government;AF22 Transferable deposits;General government;Face value;2006;;
4064;General government;AF22 Transferable deposits;General government;Face value;2007 1st quarter;;
4065;General government;AF22 Transferable deposits;General government;Face value;2007 2nd quarter;;
4066;General government;AF22 Transferable deposits;General government;Face value;2007 3rd quarter;;
4067;General government;AF22 Transferable deposits;General government;Face value;2007 4th quarter;;
4068;General government;AF22 Transferable deposits;General government;Face value;2007;;
4069;General government;AF22 Transferable deposits;General government;Face value;2008 1st quarter;;
4070;General government;AF22 Transferable deposits;General government;Face value;2008 2nd quarter;;
4071;General government;AF22 Transferable deposits;General government;Face value;2008 3rd quarter;;
4072;General government;AF22 Transferable deposits;General government;Face value;2008 4th quarter;;
4073;General government;AF22 Transferable deposits;General government;Face value;2008;;
4074;General government;AF22 Transferable deposits;General government;Face value;2009 1st quarter;;
4075;General government;AF22 Transferable deposits;General government;Face value;2009 2nd quarter;;
4076;General government;AF22 Transferable deposits;General government;Face value;2009 3rd quarter;;
4077;General government;AF22 Transferable deposits;General government;Face value;2009 4th quarter;;
4078;General government;AF22 Transferable deposits;General government;Face value;2009;;
4079;General government;AF22 Transferable deposits;General government;Face value;2010 1st quarter;;
4080;General government;AF22 Transferable deposits;General government;Face value;2010 2nd quarter;;
4081;General government;AF22 Transferable deposits;General government;Face value;2010 3rd quarter;;
4082;General government;AF22 Transferable deposits;General government;Face value;2010 4th quarter;;
4083;General government;AF22 Transferable deposits;General government;Face value;2010;;
4084;General government;AF22 Transferable deposits;General government;Face value;2011 1st quarter;;
4085;General government;AF22 Transferable deposits;General government;Face value;2011 2nd quarter;;
4086;General government;AF22 Transferable deposits;General government;Face value;2011 3rd quarter;;
4087;General government;AF22 Transferable deposits;General government;Face value;2011 4th quarter;;
4088;General government;AF22 Transferable deposits;General government;Face value;2011;;
4089;General government;AF22 Transferable deposits;General government;Face value;2012 1st quarter;;
4090;General government;AF22 Transferable deposits;General government;Face value;2012 2nd quarter;;
4091;General government;AF22 Transferable deposits;General government;Face value;2012 3rd quarter;;
4092;General government;AF22 Transferable deposits;General government;Face value;2012 4th quarter;;
4093;General government;AF22 Transferable deposits;General government;Face value;2012;;
4094;General government;AF22 Transferable deposits;General government;Face value;2013 1st quarter;;
4095;General government;AF22 Transferable deposits;General government;Face value;2013 2nd quarter;;
4096;General government;AF22 Transferable deposits;General government;Face value;2013 3rd quarter;;
4097;General government;AF22 Transferable deposits;General government;Face value;2013 4th quarter;;
4098;General government;AF22 Transferable deposits;General government;Face value;2013;;
4099;General government;AF22 Transferable deposits;General government;Face value;2014 1st quarter;;
4100;General government;AF22 Transferable deposits;General government;Face value;2014 2nd quarter;;
4101;General government;AF22 Transferable deposits;General government;Face value;2014 3rd quarter;;
4102;General government;AF22 Transferable deposits;General government;Face value;2014 4th quarter;;
4103;General government;AF22 Transferable deposits;General government;Face value;2014;;
4104;General government;AF22 Transferable deposits;General government;Face value;2015 1st quarter;;
4105;General government;AF22 Transferable deposits;General government;Face value;2015 2nd quarter;;
4106;General government;AF22 Transferable deposits;General government;Face value;2015 3rd quarter;;
4107;General government;AF22 Transferable deposits;General government;Face value;2015 4th quarter;;
4108;General government;AF22 Transferable deposits;General government;Face value;2015;;
4109;General government;AF22 Transferable deposits;General government;Face value;2016 1st quarter;;
4110;General government;AF22 Transferable deposits;General government;Face value;2016 2nd quarter;;
4111;General government;AF22 Transferable deposits;General government;Face value;2016 3rd quarter;;
4112;General government;AF22 Transferable deposits;General government;Face value;2016 4th quarter;;
4113;General government;AF22 Transferable deposits;General government;Face value;2016;;
4114;General government;AF22 Transferable deposits;General government;Face value;2017 1st quarter;;
4115;General government;AF22 Transferable deposits;General government;Face value;2017 2nd quarter;;
4116;General government;AF22 Transferable deposits;General government;Face value;2017 3rd quarter;;
4117;General government;AF22 Transferable deposits;General government;Face value;2017 4th quarter;;
4118;General government;AF22 Transferable deposits;General government;Face value;2017;;
4119;General government;AF22 Transferable deposits;General government;Face value;2018 1st quarter;;
4120;General government;AF22 Transferable deposits;General government;Face value;2018 2nd quarter;;
4121;General government;AF22 Transferable deposits;General government;Face value;2018 3rd quarter;;
4122;General government;AF22 Transferable deposits;General government;Face value;2018 4th quarter;;
4123;General government;AF22 Transferable deposits;General government;Face value;2018;;
4124;General government;AF22 Transferable deposits;General government;Face value;2019 1st quarter;;
4125;General government;AF22 Transferable deposits;General government;Face value;2019 2nd quarter;;
4126;General government;AF22 Transferable deposits;General government;Face value;2019 3rd quarter;;
4127;General government;AF22 Transferable deposits;General government;Face value;2019 4th quarter;;
4128;General government;AF22 Transferable deposits;General government;Face value;2019;;
4129;General government;AF22 Transferable deposits;General government;Face value;2020 1st quarter;;
4130;General government;AF22 Transferable deposits;General government;Face value;2020 2nd quarter;;
4131;General government;AF22 Transferable deposits;General government;Face value;2020 3rd quarter;;
4132;General government;AF22 Transferable deposits;General government;Face value;2020 4th quarter;;
4133;General government;AF22 Transferable deposits;General government;Face value;2020;;
4134;General government;AF22 Transferable deposits;General government;Face value;2021 1st quarter;;
4135;General government;AF22 Transferable deposits;General government;Face value;2021 2nd quarter;;
4136;General government;AF22 Transferable deposits;General government;Face value;2021 3rd quarter;;
4137;General government;AF22 Transferable deposits;General government;Face value;2021 4th quarter;;
4138;General government;AF22 Transferable deposits;General government;Face value;2021;;
4139;General government;AF22 Transferable deposits;General government;Face value;2022 1st quarter;;
4140;General government;AF22 Transferable deposits;General government;Face value;2022 2nd quarter;;
4141;General government;AF22 Transferable deposits;General government;Face value;2022 3rd quarter;;
4142;General government;AF22 Transferable deposits;General government;Face value;2022 4th quarter;;
4143;General government;AF22 Transferable deposits;General government;Face value;2022;;
4144;General government;AF22 Transferable deposits;General government;Face value;2023 1st quarter;;
4145;General government;AF22 Transferable deposits;General government;Face value;2023 2nd quarter;;
4146;General government;AF22 Transferable deposits;General government;Face value;2023 3rd quarter;;
4147;General government;AF22 Transferable deposits;General government;Face value;2023 4th quarter;;
4148;General government;AF22 Transferable deposits;General government;Face value;2023;;
4149;General government;AF22 Transferable deposits;General government;Face value;2024 1st quarter;;
4150;General government;AF22 Transferable deposits;General government;Face value;2024 2nd quarter;;
4151;General government;AF22 Transferable deposits;General government;Face value;2024 3rd quarter;;
4152;General government;AF22 Transferable deposits;General government;Face value;2024 4th quarter;;
4153;General government;AF22 Transferable deposits;General government;Face value;2024;;
4154;General government;AF22 Transferable deposits;General government;Market value;1995;;
4155;General government;AF22 Transferable deposits;General government;Market value;1996;;
4156;General government;AF22 Transferable deposits;General government;Market value;1997;;
4157;General government;AF22 Transferable deposits;General government;Market value;1998;;
4158;General government;AF22 Transferable deposits;General government;Market value;1999 1st quarter;;
4159;General government;AF22 Transferable deposits;General government;Market value;1999 2nd quarter;;
4160;General government;AF22 Transferable deposits;General government;Market value;1999 3rd quarter;;
4161;General government;AF22 Transferable deposits;General government;Market value;1999 4th quarter;;
4162;General government;AF22 Transferable deposits;General government;Market value;1999;;
4163;General government;AF22 Transferable deposits;General government;Market value;2000 1st quarter;;
4164;General government;AF22 Transferable deposits;General government;Market value;2000 2nd quarter;;
4165;General government;AF22 Transferable deposits;General government;Market value;2000 3rd quarter;;
4166;General government;AF22 Transferable deposits;General government;Market value;2000 4th quarter;;
4167;General government;AF22 Transferable deposits;General government;Market value;2000;;
4168;General government;AF22 Transferable deposits;General government;Market value;2001 1st quarter;;
4169;General government;AF22 Transferable deposits;General government;Market value;2001 2nd quarter;;
4170;General government;AF22 Transferable deposits;General government;Market value;2001 3rd quarter;;
4171;General government;AF22 Transferable deposits;General government;Market value;2001 4th quarter;;
4172;General government;AF22 Transferable deposits;General government;Market value;2001;;
4173;General government;AF22 Transferable deposits;General government;Market value;2002 1st quarter;;
4174;General government;AF22 Transferable deposits;General government;Market value;2002 2nd quarter;;
4175;General government;AF22 Transferable deposits;General government;Market value;2002 3rd quarter;;
4176;General government;AF22 Transferable deposits;General government;Market value;2002 4th quarter;;
4177;General government;AF22 Transferable deposits;General government;Market value;2002;;
4178;General government;AF22 Transferable deposits;General government;Market value;2003 1st quarter;;
4179;General government;AF22 Transferable deposits;General government;Market value;2003 2nd quarter;;
4180;General government;AF22 Transferable deposits;General government;Market value;2003 3rd quarter;;
4181;General government;AF22 Transferable deposits;General government;Market value;2003 4th quarter;;
4182;General government;AF22 Transferable deposits;General government;Market value;2003;;
4183;General government;AF22 Transferable deposits;General government;Market value;2004 1st quarter;;
4184;General government;AF22 Transferable deposits;General government;Market value;2004 2nd quarter;;
4185;General government;AF22 Transferable deposits;General government;Market value;2004 3rd quarter;;
4186;General government;AF22 Transferable deposits;General government;Market value;2004 4th quarter;;
4187;General government;AF22 Transferable deposits;General government;Market value;2004;;
4188;General government;AF22 Transferable deposits;General government;Market value;2005 1st quarter;;
4189;General government;AF22 Transferable deposits;General government;Market value;2005 2nd quarter;;
4190;General government;AF22 Transferable deposits;General government;Market value;2005 3rd quarter;;
4191;General government;AF22 Transferable deposits;General government;Market value;2005 4th quarter;;
4192;General government;AF22 Transferable deposits;General government;Market value;2005;;
4193;General government;AF22 Transferable deposits;General government;Market value;2006 1st quarter;;
4194;General government;AF22 Transferable deposits;General government;Market value;2006 2nd quarter;;
4195;General government;AF22 Transferable deposits;General government;Market value;2006 3rd quarter;;
4196;General government;AF22 Transferable deposits;General government;Market value;2006 4th quarter;;
4197;General government;AF22 Transferable deposits;General government;Market value;2006;;
4198;General government;AF22 Transferable deposits;General government;Market value;2007 1st quarter;;
4199;General government;AF22 Transferable deposits;General government;Market value;2007 2nd quarter;;
4200;General government;AF22 Transferable deposits;General government;Market value;2007 3rd quarter;;
4201;General government;AF22 Transferable deposits;General government;Market value;2007 4th quarter;;
4202;General government;AF22 Transferable deposits;General government;Market value;2007;;
4203;General government;AF22 Transferable deposits;General government;Market value;2008 1st quarter;;
4204;General government;AF22 Transferable deposits;General government;Market value;2008 2nd quarter;;
4205;General government;AF22 Transferable deposits;General government;Market value;2008 3rd quarter;;
4206;General government;AF22 Transferable deposits;General government;Market value;2008 4th quarter;;
4207;General government;AF22 Transferable deposits;General government;Market value;2008;;
4208;General government;AF22 Transferable deposits;General government;Market value;2009 1st quarter;;
4209;General government;AF22 Transferable deposits;General government;Market value;2009 2nd quarter;;
4210;General government;AF22 Transferable deposits;General government;Market value;2009 3rd quarter;;
4211;General government;AF22 Transferable deposits;General government;Market value;2009 4th quarter;;
4212;General government;AF22 Transferable deposits;General government;Market value;2009;;
4213;General government;AF22 Transferable deposits;General government;Market value;2010 1st quarter;;
4214;General government;AF22 Transferable deposits;General government;Market value;2010 2nd quarter;;
4215;General government;AF22 Transferable deposits;General government;Market value;2010 3rd quarter;;
4216;General government;AF22 Transferable deposits;General government;Market value;2010 4th quarter;;
4217;General government;AF22 Transferable deposits;General government;Market value;2010;;
4218;General government;AF22 Transferable deposits;General government;Market value;2011 1st quarter;;
4219;General government;AF22 Transferable deposits;General government;Market value;2011 2nd quarter;;
4220;General government;AF22 Transferable deposits;General government;Market value;2011 3rd quarter;;
4221;General government;AF22 Transferable deposits;General government;Market value;2011 4th quarter;;
4222;General government;AF22 Transferable deposits;General government;Market value;2011;;
4223;General government;AF22 Transferable deposits;General government;Market value;2012 1st quarter;;
4224;General government;AF22 Transferable deposits;General government;Market value;2012 2nd quarter;;
4225;General government;AF22 Transferable deposits;General government;Market value;2012 3rd quarter;;
4226;General government;AF22 Transferable deposits;General government;Market value;2012 4th quarter;;
4227;General government;AF22 Transferable deposits;General government;Market value;2012;;
4228;General government;AF22 Transferable deposits;General government;Market value;2013 1st quarter;;
4229;General government;AF22 Transferable deposits;General government;Market value;2013 2nd quarter;;
4230;General government;AF22 Transferable deposits;General government;Market value;2013 3rd quarter;;
4231;General government;AF22 Transferable deposits;General government;Market value;2013 4th quarter;;
4232;General government;AF22 Transferable deposits;General government;Market value;2013;;
4233;General government;AF22 Transferable deposits;General government;Market value;2014 1st quarter;;
4234;General government;AF22 Transferable deposits;General government;Market value;2014 2nd quarter;;
4235;General government;AF22 Transferable deposits;General government;Market value;2014 3rd quarter;;
4236;General government;AF22 Transferable deposits;General government;Market value;2014 4th quarter;;
4237;General government;AF22 Transferable deposits;General government;Market value;2014;;
4238;General government;AF22 Transferable deposits;General government;Market value;2015 1st quarter;;
4239;General government;AF22 Transferable deposits;General government;Market value;2015 2nd quarter;;
4240;General government;AF22 Transferable deposits;General government;Market value;2015 3rd quarter;;
4241;General government;AF22 Transferable deposits;General government;Market value;2015 4th quarter;;
4242;General government;AF22 Transferable deposits;General government;Market value;2015;;
4243;General government;AF22 Transferable deposits;General government;Market value;2016 1st quarter;;
4244;General government;AF22 Transferable deposits;General government;Market value;2016 2nd quarter;;
4245;General government;AF22 Transferable deposits;General government;Market value;2016 3rd quarter;;
4246;General government;AF22 Transferable deposits;General government;Market value;2016 4th quarter;;
4247;General government;AF22 Transferable deposits;General government;Market value;2016;;
4248;General government;AF22 Transferable deposits;General government;Market value;2017 1st quarter;;
4249;General government;AF22 Transferable deposits;General government;Market value;2017 2nd quarter;;
4250;General government;AF22 Transferable deposits;General government;Market value;2017 3rd quarter;;
4251;General government;AF22 Transferable deposits;General government;Market value;2017 4th quarter;;
4252;General government;AF22 Transferable deposits;General government;Market value;2017;;
4253;General government;AF22 Transferable deposits;General government;Market value;2018 1st quarter;;
4254;General government;AF22 Transferable deposits;General government;Market value;2018 2nd quarter;;
4255;General government;AF22 Transferable deposits;General government;Market value;2018 3rd quarter;;
4256;General government;AF22 Transferable deposits;General government;Market value;2018 4th quarter;;
4257;General government;AF22 Transferable deposits;General government;Market value;2018;;
4258;General government;AF22 Transferable deposits;General government;Market value;2019 1st quarter;;
4259;General government;AF22 Transferable deposits;General government;Market value;2019 2nd quarter;;
4260;General government;AF22 Transferable deposits;General government;Market value;2019 3rd quarter;;
4261;General government;AF22 Transferable deposits;General government;Market value;2019 4th quarter;;
4262;General government;AF22 Transferable deposits;General government;Market value;2019;;
4263;General government;AF22 Transferable deposits;General government;Market value;2020 1st quarter;;
4264;General government;AF22 Transferable deposits;General government;Market value;2020 2nd quarter;;
4265;General government;AF22 Transferable deposits;General government;Market value;2020 3rd quarter;;
4266;General government;AF22 Transferable deposits;General government;Market value;2020 4th quarter;;
4267;General government;AF22 Transferable deposits;General government;Market value;2020;;
4268;General government;AF22 Transferable deposits;General government;Market value;2021 1st quarter;;
4269;General government;AF22 Transferable deposits;General government;Market value;2021 2nd quarter;;
4270;General government;AF22 Transferable deposits;General government;Market value;2021 3rd quarter;;
4271;General government;AF22 Transferable deposits;General government;Market value;2021 4th quarter;;
4272;General government;AF22 Transferable deposits;General government;Market value;2021;;
4273;General government;AF22 Transferable deposits;General government;Market value;2022 1st quarter;;
4274;General government;AF22 Transferable deposits;General government;Market value;2022 2nd quarter;;
4275;General government;AF22 Transferable deposits;General government;Market value;2022 3rd quarter;;
4276;General government;AF22 Transferable deposits;General government;Market value;2022 4th quarter;;
4277;General government;AF22 Transferable deposits;General government;Market value;2022;;
4278;General government;AF22 Transferable deposits;General government;Market value;2023 1st quarter;;
4279;General government;AF22 Transferable deposits;General government;Market value;2023 2nd quarter;;
4280;General government;AF22 Transferable deposits;General government;Market value;2023 3rd quarter;;
4281;General government;AF22 Transferable deposits;General government;Market value;2023 4th quarter;;
4282;General government;AF22 Transferable deposits;General government;Market value;2023;;
4283;General government;AF22 Transferable deposits;General government;Market value;2024 1st quarter;;
4284;General government;AF22 Transferable deposits;General government;Market value;2024 2nd quarter;;
4285;General government;AF22 Transferable deposits;General government;Market value;2024 3rd quarter;;
4286;General government;AF22 Transferable deposits;General government;Market value;2024 4th quarter;;
4287;General government;AF22 Transferable deposits;General government;Market value;2024;;
4288;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1995;200.0;
4289;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1996;200.0;
4290;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1997;200.0;
4291;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1998;200.0;
4292;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1999 1st quarter;;
4293;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1999 2nd quarter;;
4294;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1999 3rd quarter;;
4295;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1999 4th quarter;200.0;
4296;General government;AF22 Transferable deposits;Households including NPISHs;Face value;1999;200.0;
4297;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2000 1st quarter;;
4298;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2000 2nd quarter;;
4299;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2000 3rd quarter;;
4300;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2000 4th quarter;200.0;
4301;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2000;200.0;
4302;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2001 1st quarter;;
4303;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2001 2nd quarter;;
4304;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2001 3rd quarter;;
4305;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2001 4th quarter;279.0;
4306;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2001;279.0;
4307;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2002 1st quarter;;
4308;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2002 2nd quarter;;
4309;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2002 3rd quarter;;
4310;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2002 4th quarter;132.0;
4311;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2002;132.0;
4312;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2003 1st quarter;;
4313;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2003 2nd quarter;;
4314;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2003 3rd quarter;;
4315;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2003 4th quarter;103.0;
4316;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2003;103.0;
4317;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2004 1st quarter;;
4318;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2004 2nd quarter;;
4319;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2004 3rd quarter;;
4320;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2004 4th quarter;72.0;
4321;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2004;72.0;
4322;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2005 1st quarter;;
4323;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2005 2nd quarter;;
4324;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2005 3rd quarter;;
4325;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2005 4th quarter;92.0;
4326;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2005;92.0;
4327;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2006 1st quarter;;
4328;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2006 2nd quarter;;
4329;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2006 3rd quarter;;
4330;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2006 4th quarter;118.0;
4331;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2006;118.0;
4332;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2007 1st quarter;;
4333;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2007 2nd quarter;;
4334;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2007 3rd quarter;;
4335;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2007 4th quarter;110.0;
4336;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2007;110.0;
4337;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2008 1st quarter;77.0;
4338;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2008 2nd quarter;55.0;
4339;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2008 3rd quarter;53.0;
4340;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2008 4th quarter;81.0;
4341;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2008;81.0;
4342;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2009 1st quarter;80.0;
4343;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2009 2nd quarter;96.0;
4344;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2009 3rd quarter;100.0;
4345;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2009 4th quarter;58.0;
4346;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2009;58.0;
4347;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2010 1st quarter;114.0;
4348;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2010 2nd quarter;118.0;
4349;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2010 3rd quarter;126.0;
4350;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2010 4th quarter;107.0;
4351;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2010;107.0;
4352;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2011 1st quarter;74.0;
4353;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2011 2nd quarter;83.0;
4354;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2011 3rd quarter;98.0;
4355;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2011 4th quarter;127.0;
4356;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2011;127.0;
4357;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2012 1st quarter;78.0;
4358;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2012 2nd quarter;32.0;
4359;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2012 3rd quarter;46.0;
4360;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2012 4th quarter;114.0;
4361;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2012;114.0;
4362;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2013 1st quarter;42.0;
4363;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2013 2nd quarter;77.0;
4364;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2013 3rd quarter;75.0;
4365;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2013 4th quarter;121.0;
4366;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2013;121.0;
4367;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2014 1st quarter;137.0;
4368;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2014 2nd quarter;196.0;
4369;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2014 3rd quarter;141.0;
4370;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2014 4th quarter;167.0;
4371;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2014;167.0;
4372;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2015 1st quarter;140.0;
4373;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2015 2nd quarter;144.0;
4374;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2015 3rd quarter;155.0;
4375;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2015 4th quarter;148.0;
4376;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2015;148.0;
4377;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2016 1st quarter;140.0;
4378;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2016 2nd quarter;150.0;
4379;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2016 3rd quarter;143.0;
4380;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2016 4th quarter;133.0;
4381;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2016;133.0;
4382;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2017 1st quarter;118.0;
4383;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2017 2nd quarter;121.0;
4384;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2017 3rd quarter;105.0;
4385;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2017 4th quarter;102.0;
4386;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2017;102.0;
4387;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2018 1st quarter;86.0;
4388;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2018 2nd quarter;76.0;
4389;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2018 3rd quarter;73.0;
4390;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2018 4th quarter;77.0;
4391;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2018;77.0;
4392;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2019 1st quarter;68.0;
4393;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2019 2nd quarter;45.0;
4394;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2019 3rd quarter;45.0;
4395;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2019 4th quarter;47.0;
4396;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2019;47.0;
