ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
1225;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2017;133;87;28.41;2571;2566;36640;30850;5780;0;23.8;23.8;1084;1666
1226;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2018;138;90;28.49;2569;2565;36520;30820;5700;0;23.8;23.8;1080;1659
1227;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2019;143;92;29.11;2607;2603;36970;31290;5680;0;23.6;23.5;1073;1668
1228;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2020;146;93;30.09;2675;2669;38110;32100;6010;0;23.5;23.4;1065;1666
1229;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2021;145;92;30.6;2705;2702;38310;32460;5850;0;23.2;23.2;1059;1675
1230;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2022;149;94;31.31;2753;2749;39400;33040;6360;0;23.1;23.0;1054;1675
1231;Sex: Male;Type of employment contract: part-time;Cao-sector: government;Total employed persons;2023;153;97;33.36;2932;2928;41670;35180;6490;0;23.2;23.2;1053;1659
1232;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2009;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1233;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2010 before change of method;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1234;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2010 after change of method;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1235;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2011;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1236;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2012;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1237;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2013;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1238;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2014;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1239;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2015;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1240;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2016;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1241;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2017;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1242;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2018;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1243;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2019;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1244;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2020;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1245;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2021;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1246;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2022;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1247;Sex: Male;Type of employment contract: part-time;Cao-sector: government;0 to 9 employed persons;2023;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
1248;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2009;5;3;24.17;2003;1995;28420;24040;4380;30;21.9;21.8;990;1652
1249;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2010 before change of method;6;4;24.26;2022;2010;28700;24270;4430;20;22.0;21.9;994;1645
1250;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2010 after change of method;7;4;22.73;1692;1682;24890;20310;4590;10;19.6;19.5;888;1655
1251;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2011;8;4;24.81;1941;1931;27400;23290;4120;10;20.5;20.4;934;1664
1252;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2012;7;4;25.46;2050;2041;28900;24600;4300;10;21.3;21.2;962;1647
1253;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2013;7;4;25.88;2154;2147;30380;25850;4530;10;22.1;22.0;996;1655
1254;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2014;7;4;23.87;1871;1865;26210;22460;3750;10;20.7;20.6;937;1657
1255;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2015;6;3;25.68;2193;2186;30810;26320;4490;20;22.7;22.6;1022;1649
1256;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2016;6;3;25.4;1901;1895;26720;22810;3910;10;19.8;19.7;895;1661
1257;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2017;5;3;26.32;2235;2231;31820;26820;5000;10;22.4;22.3;1017;1671
1258;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2018;5;3;27.2;2309;2306;32760;27710;5050;10;22.5;22.4;1017;1660
1259;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2019;4;3;27.37;2378;2373;33350;28530;4820;10;22.9;22.8;1041;1670
1260;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2020;4;3;28.58;2470;2466;35080;29640;5440;10;22.9;22.9;1035;1672
1261;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2021;4;2;28.58;2419;2416;34000;29030;4980;0;22.3;22.3;1014;1678
1262;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2022;4;2;29.92;2564;2560;36680;30770;5910;10;22.5;22.5;1027;1679
1263;Sex: Male;Type of employment contract: part-time;Cao-sector: government;10 to 99 employed persons;2023;4;2;31.59;2759;2756;39060;33110;5950;0;23.0;23.0;1047;1673
1264;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2009;103;66;26.48;2319;2305;32890;27830;5070;0;23.3;23.2;1044;1626
1265;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2010 before change of method;103;66;27.23;2346;2333;33400;28150;5250;0;23.2;23.1;1028;1606
1266;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2010 after change of method;108;68;26.71;2246;2233;32180;26950;5240;0;22.6;22.5;1003;1610
1267;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2011;119;75;27.24;2351;2339;33540;28210;5330;0;22.9;22.8;1030;1624
1268;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2012;119;75;27.59;2368;2356;33730;28420;5310;0;23.1;23.0;1025;1611
1269;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2013;114;74;27.99;2448;2441;34880;29370;5510;0;23.6;23.5;1047;1615
1270;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2014;108;68;27.24;2334;2320;32990;28010;4990;0;23.0;22.9;1022;1619
1271;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2015;112;69;27.89;2313;2303;32760;27760;5000;0;22.4;22.3;991;1606
1272;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2016;111;69;28.41;2399;2390;34100;28790;5300;0;22.7;22.7;1009;1612
1273;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2017;128;83;28.49;2586;2581;36850;31030;5820;0;23.9;23.9;1087;1666
1274;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2018;133;87;28.53;2579;2575;36680;30950;5730;0;23.9;23.9;1083;1659
1275;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2019;139;89;29.15;2616;2612;37110;31390;5720;0;23.6;23.6;1075;1668
1276;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2020;142;91;30.13;2683;2676;38220;32190;6030;0;23.5;23.5;1066;1666
1277;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2021;141;89;30.66;2715;2711;38460;32580;5880;0;23.2;23.2;1061;1675
1278;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2022;145;92;31.34;2760;2755;39500;33110;6380;0;23.1;23.1;1055;1675
1279;Sex: Male;Type of employment contract: part-time;Cao-sector: government;100 or more employed persons;2023;149;95;33.4;2937;2933;41760;35240;6510;0;23.2;23.2;1054;1658
1280;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2009;2963;2963;22.38;3372;3317;46620;40460;6160;1110;39.5;38.8;1779;1779
1281;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2010 before change of method;2947;2947;22.6;3396;3336;47010;40750;6260;1050;39.5;38.7;1772;1772
1282;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2010 after change of method;2969;2969;22.65;3406;3346;47190;40870;6320;1070;39.5;38.8;1773;1773
1283;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2011;2906;2906;22.96;3473;3418;48190;41670;6520;1040;39.4;38.7;1787;1787
1284;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2012;2839;2840;23.55;3542;3488;49040;42500;6540;1060;39.5;38.9;1777;1776
1285;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2013;2781;2781;23.82;3595;3532;50290;43140;7150;1030;39.8;39.1;1779;1779
1286;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2014;2740;2740;23.99;3634;3576;50590;43610;6980;960;39.8;39.1;1789;1789
1287;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2015;2742;2742;24.64;3716;3655;51740;44590;7150;870;39.8;39.1;1780;1780
1288;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2016;2793;2793;24.68;3745;3682;52230;44940;7280;850;39.9;39.1;1790;1790
1289;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2017;2827;2827;24.75;3779;3709;52740;45350;7390;890;40.0;39.2;1799;1799
1290;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2018;2889;2889;25.22;3843;3771;53500;46110;7380;930;40.1;39.3;1794;1794
1291;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2019;2920;2920;25.71;3933;3864;54870;47200;7670;980;40.1;39.3;1803;1803
1292;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2020;2867;2867;26.62;4050;3987;56420;48600;7820;1020;40.0;39.3;1797;1797
1293;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2021;2913;2913;27.0;4139;4072;58160;49670;8490;1030;40.0;39.3;1810;1810
1294;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2022;2967;2967;27.98;4288;4222;60740;51460;9270;1070;40.0;39.3;1811;1811
1295;Sex: Male;Type of employment contract: full-time;Total;Total employed persons;2023;2979;2979;29.87;4547;4480;63930;54560;9370;1150;39.9;39.3;1800;1800
1296;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2009;437;437;22.88;3461;3437;45090;41530;3560;1940;39.5;39.2;1802;1802
1297;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2010 before change of method;426;426;22.74;3434;3402;44820;41200;3620;1720;39.6;39.1;1795;1795
1298;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2010 after change of method;441;441;22.95;3475;3444;45330;41700;3620;1780;39.7;39.3;1800;1801
1299;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2011;423;423;23.62;3587;3564;46730;43040;3690;1750;39.5;39.2;1811;1811
1300;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2012;409;410;24.17;3649;3626;47390;43780;3600;1750;39.6;39.3;1801;1800
1301;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2013;397;397;24.41;3693;3666;48650;44310;4330;1700;39.8;39.5;1802;1802
1302;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2014;390;390;24.43;3717;3692;48600;44600;4000;1560;39.9;39.5;1814;1814
1303;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2015;388;388;25.02;3793;3768;49510;45520;3990;1480;39.9;39.5;1807;1807
1304;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2016;395;395;25.1;3830;3803;49920;45960;3960;1460;40.0;39.6;1818;1818
1305;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2017;407;407;25.46;3878;3847;50920;46540;4380;1490;39.9;39.5;1813;1813
1306;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2018;408;408;26.03;3957;3925;51560;47480;4080;1590;40.0;39.6;1810;1810
1307;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2019;410;410;26.58;4058;4027;52860;48700;4170;1690;40.0;39.6;1818;1818
1308;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2020;396;396;27.05;4117;4089;53800;49400;4400;1740;40.0;39.7;1814;1814
1309;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2021;414;414;27.4;4201;4171;55100;50410;4690;1740;40.0;39.7;1827;1827
1310;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2022;425;425;28.69;4394;4366;57590;52720;4870;1860;39.9;39.7;1826;1826
1311;Sex: Male;Type of employment contract: full-time;Total;0 to 9 employed persons;2023;425;425;30.43;4638;4611;60420;55660;4760;2020;39.9;39.7;1818;1818
1312;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2009;850;850;20.2;3119;3038;42490;37420;5070;1220;40.3;39.3;1804;1804
1313;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2010 before change of method;828;828;20.58;3174;3084;43200;38090;5110;1200;40.4;39.3;1798;1798
1314;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2010 after change of method;831;831;20.62;3181;3091;43340;38170;5170;1210;40.4;39.3;1799;1799
1315;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2011;831;831;20.82;3230;3146;43960;38760;5210;1160;40.3;39.3;1814;1814
1316;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2012;800;800;21.37;3290;3210;44760;39480;5280;1180;40.4;39.4;1803;1802
1317;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2013;777;777;21.53;3333;3239;45470;39990;5480;1140;40.7;39.6;1805;1805
1318;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2014;760;760;21.62;3358;3270;45860;40300;5560;1070;40.7;39.6;1815;1815
1319;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2015;762;762;22.07;3412;3319;46660;40950;5710;980;40.7;39.5;1805;1805
1320;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2016;778;778;22.12;3441;3344;47110;41300;5810;950;40.7;39.6;1814;1814
1321;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2017;804;804;22.4;3486;3382;47740;41840;5910;980;40.7;39.5;1812;1812
1322;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2018;822;822;22.83;3542;3439;48660;42500;6150;1020;40.7;39.6;1808;1808
1323;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2019;825;825;23.36;3636;3537;49850;43630;6220;1090;40.7;39.6;1817;1817
1324;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2020;810;810;24.06;3720;3631;50940;44640;6300;1130;40.6;39.7;1811;1811
1325;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2021;816;816;24.42;3811;3715;52800;45730;7070;1160;40.7;39.7;1826;1826
1326;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2022;826;826;25.46;3967;3872;55260;47610;7650;1180;40.6;39.7;1825;1825
1327;Sex: Male;Type of employment contract: full-time;Total;10 to 99 employed persons;2023;803;803;27.15;4206;4109;58250;50470;7780;1270;40.5;39.6;1816;1816
1328;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2009;1675;1675;23.38;3477;3428;49120;41720;7400;840;39.0;38.5;1760;1760
1329;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2010 before change of method;1693;1693;23.57;3495;3443;49430;41940;7480;810;39.0;38.4;1753;1753
1330;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2010 after change of method;1697;1697;23.58;3498;3446;49570;41970;7590;810;39.0;38.4;1753;1753
1331;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2011;1652;1652;23.88;3566;3517;50690;42790;7900;800;38.9;38.4;1767;1767
1332;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2012;1630;1630;24.5;3638;3589;51560;43660;7900;830;39.1;38.5;1758;1758
1333;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2013;1607;1607;24.8;3698;3640;53030;44370;8660;810;39.4;38.7;1761;1761
1334;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2014;1590;1590;25.03;3746;3694;53340;44950;8390;760;39.3;38.7;1771;1771
1335;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2015;1593;1593;25.81;3842;3788;54720;46110;8610;670;39.3;38.7;1761;1761
1336;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2016;1619;1619;25.83;3871;3814;55250;46450;8800;660;39.4;38.8;1772;1772
1337;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2017;1616;1616;25.75;3900;3837;55690;46800;8890;690;39.7;39.0;1788;1788
1338;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2018;1659;1659;26.22;3963;3898;56370;47560;8810;730;39.8;39.1;1784;1784
1339;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2019;1685;1685;26.67;4049;3984;57810;48580;9230;760;39.8;39.1;1793;1793
1340;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2020;1662;1662;27.78;4195;4137;59720;50340;9370;790;39.7;39.1;1787;1787
1341;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2021;1682;1682;28.16;4284;4221;61520;51400;10110;790;39.7;39.1;1799;1799
1342;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2022;1716;1716;29.04;4417;4355;64150;53000;11150;820;39.7;39.1;1800;1800
1343;Sex: Male;Type of employment contract: full-time;Total;100 or more employed persons;2023;1750;1750;31.0;4681;4619;67390;56170;11220;880;39.6;39.1;1788;1788
1344;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2009;2364;2364;22.13;3386;3324;46720;40630;6090;1370;40.1;39.3;1802;1802
1345;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2010 before change of method;2351;2351;22.3;3405;3335;46980;40860;6120;1290;40.1;39.2;1795;1795
1346;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2010 after change of method;2367;2367;22.36;3417;3348;47220;41010;6210;1310;40.1;39.3;1797;1797
1347;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2011;2328;2328;22.74;3493;3429;48350;41910;6440;1270;40.0;39.2;1810;1810
1348;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2012;2279;2280;23.33;3562;3499;49150;42740;6410;1300;40.1;39.3;1800;1799
1349;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2013;2234;2234;23.58;3621;3547;50530;43450;7080;1260;40.5;39.6;1805;1805
1350;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2014;2196;2196;23.79;3667;3598;50910;44010;6900;1180;40.5;39.6;1815;1815
1351;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2015;2208;2208;24.38;3739;3666;51960;44870;7090;1070;40.4;39.6;1805;1805
1352;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2016;2268;2268;24.33;3753;3678;52210;45040;7180;1030;40.5;39.6;1814;1814
1353;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2017;2328;2328;24.45;3781;3699;52640;45370;7260;1060;40.5;39.6;1815;1815
1354;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2018;2397;2397;24.9;3839;3756;53360;46070;7290;1110;40.6;39.7;1810;1810
1355;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2019;2428;2428;25.41;3931;3851;54680;47170;7510;1160;40.5;39.7;1818;1818
1356;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2020;2385;2385;26.27;4039;3967;56070;48470;7610;1200;40.4;39.7;1812;1812
1357;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2021;2422;2422;26.64;4129;4052;57980;49550;8430;1220;40.4;39.6;1825;1825
1358;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2022;2475;2475;27.64;4280;4204;60470;51360;9120;1260;40.4;39.7;1825;1825
1359;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;Total employed persons;2023;2482;2482;29.47;4535;4459;63680;54420;9260;1360;40.3;39.6;1815;1815
1360;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2009;430;430;22.87;3461;3436;45080;41530;3550;1950;39.6;39.3;1803;1803
1361;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2010 before change of method;418;418;22.57;3411;3378;44520;40930;3590;1720;39.6;39.2;1796;1796
1362;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2010 after change of method;433;433;22.79;3453;3422;45040;41440;3600;1780;39.7;39.3;1801;1801
1363;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2011;416;416;23.44;3562;3538;46400;42740;3660;1760;39.5;39.2;1811;1811
1364;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2012;402;402;24.01;3626;3603;47090;43510;3580;1750;39.6;39.3;1801;1801
1365;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2013;391;391;24.25;3670;3643;48340;44040;4300;1710;39.8;39.5;1803;1803
1366;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2014;384;384;24.28;3695;3670;48310;44340;3980;1570;39.9;39.6;1814;1814
1367;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2015;380;380;24.64;3737;3711;48830;44840;3990;1490;39.9;39.6;1807;1807
1368;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2016;387;387;24.72;3774;3746;49240;45290;3960;1460;40.0;39.6;1818;1818
1369;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2017;399;399;25.1;3824;3792;50270;45890;4380;1490;39.9;39.5;1813;1813
1370;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2018;400;400;25.66;3901;3869;50890;46810;4080;1590;40.0;39.6;1810;1810
1371;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2019;401;401;26.2;4001;3970;52190;48020;4170;1700;40.0;39.6;1818;1818
1372;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2020;387;387;26.68;4061;4033;53140;48740;4400;1740;40.0;39.7;1814;1814
1373;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2021;405;405;27.05;4149;4119;54490;49790;4700;1740;40.0;39.7;1827;1827
1374;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2022;415;415;28.36;4345;4317;57020;52140;4880;1870;39.9;39.7;1826;1826
1375;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;0 to 9 employed persons;2023;416;416;30.1;4590;4562;59840;55080;4760;2030;39.9;39.7;1818;1818
1376;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2009;823;823;20.13;3115;3032;42430;37380;5040;1250;40.4;39.4;1808;1808
1377;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2010 before change of method;799;799;20.48;3167;3075;43070;38010;5060;1230;40.5;39.3;1802;1802
1378;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2010 after change of method;803;803;20.51;3174;3082;43220;38090;5130;1240;40.5;39.4;1803;1803
1379;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2011;803;803;20.73;3225;3139;43860;38700;5170;1190;40.4;39.4;1817;1817
1380;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2012;774;775;21.28;3284;3202;44640;39410;5230;1210;40.5;39.5;1806;1805
1381;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2013;752;752;21.45;3329;3233;45390;39950;5440;1170;40.8;39.7;1809;1809
1382;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2014;733;733;21.53;3353;3262;45750;40240;5510;1100;40.8;39.7;1818;1818
1383;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2015;737;737;21.97;3406;3310;46550;40880;5670;1000;40.8;39.6;1808;1808
1384;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2016;754;754;22.04;3436;3336;47000;41240;5770;970;40.8;39.6;1817;1817
1385;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2017;780;780;22.31;3480;3373;47620;41760;5860;990;40.8;39.6;1814;1814
1386;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2018;799;799;22.74;3535;3430;48550;42420;6120;1040;40.8;39.6;1810;1810
1387;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2019;802;802;23.28;3629;3529;49740;43550;6190;1110;40.8;39.7;1819;1819
1388;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2020;787;787;23.98;3713;3623;50830;44560;6270;1150;40.7;39.7;1813;1813
1389;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2021;793;793;24.33;3803;3705;52680;45640;7050;1180;40.7;39.7;1828;1828
1390;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2022;803;803;25.37;3960;3863;55150;47530;7620;1200;40.7;39.7;1827;1827
1391;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;10 to 99 employed persons;2023;780;780;27.06;4198;4099;58140;50380;7760;1290;40.6;39.7;1818;1818
