ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
3272;HP51: Pharmacies;HF1: Government, comp. Contr. schemes;2013;3345.0
3273;HP51: Pharmacies;HF1: Government, comp. Contr. schemes;2014;3353.0
3274;HP51: Pharmacies;HF1: Government, comp. Contr. schemes;2015;3463.0
3275;HP51: Pharmacies;HF1: Government, comp. Contr. schemes;2016;3556.0
3276;HP51: Pharmacies;HF11: Government schemes;2005;0.0
3277;HP51: Pharmacies;HF11: Government schemes;2006;0.0
3278;HP51: Pharmacies;HF11: Government schemes;2007;0.0
3279;HP51: Pharmacies;HF11: Government schemes;2008;0.0
3280;HP51: Pharmacies;HF11: Government schemes;2009;0.0
3281;HP51: Pharmacies;HF11: Government schemes;2010;0.0
3282;HP51: Pharmacies;HF11: Government schemes;2011;0.0
3283;HP51: Pharmacies;HF11: Government schemes;2012;0.0
3284;HP51: Pharmacies;HF11: Government schemes;2013;0.0
3285;HP51: Pharmacies;HF11: Government schemes;2014;0.0
3286;HP51: Pharmacies;HF11: Government schemes;2015;0.0
3287;HP51: Pharmacies;HF11: Government schemes;2016;0.0
3288;HP51: Pharmacies;HF12: Compulsory contributory schemes;2005;2987.0
3289;HP51: Pharmacies;HF12: Compulsory contributory schemes;2006;4381.0
3290;HP51: Pharmacies;HF12: Compulsory contributory schemes;2007;4765.0
3291;HP51: Pharmacies;HF12: Compulsory contributory schemes;2008;4344.0
3292;HP51: Pharmacies;HF12: Compulsory contributory schemes;2009;4353.0
3293;HP51: Pharmacies;HF12: Compulsory contributory schemes;2010;4433.0
3294;HP51: Pharmacies;HF12: Compulsory contributory schemes;2011;4409.0
3295;HP51: Pharmacies;HF12: Compulsory contributory schemes;2012;3758.0
3296;HP51: Pharmacies;HF12: Compulsory contributory schemes;2013;3345.0
3297;HP51: Pharmacies;HF12: Compulsory contributory schemes;2014;3353.0
3298;HP51: Pharmacies;HF12: Compulsory contributory schemes;2015;3463.0
3299;HP51: Pharmacies;HF12: Compulsory contributory schemes;2016;3556.0
3300;HP51: Pharmacies;HF121a: Long-term care insurance;2005;0.0
3301;HP51: Pharmacies;HF121a: Long-term care insurance;2006;0.0
3302;HP51: Pharmacies;HF121a: Long-term care insurance;2007;0.0
3303;HP51: Pharmacies;HF121a: Long-term care insurance;2008;0.0
3304;HP51: Pharmacies;HF121a: Long-term care insurance;2009;0.0
3305;HP51: Pharmacies;HF121a: Long-term care insurance;2010;0.0
3306;HP51: Pharmacies;HF121a: Long-term care insurance;2011;0.0
3307;HP51: Pharmacies;HF121a: Long-term care insurance;2012;0.0
3308;HP51: Pharmacies;HF121a: Long-term care insurance;2013;0.0
3309;HP51: Pharmacies;HF121a: Long-term care insurance;2014;0.0
3310;HP51: Pharmacies;HF121a: Long-term care insurance;2015;0.0
3311;HP51: Pharmacies;HF121a: Long-term care insurance;2016;0.0
3312;HP51: Pharmacies;HF121b: Health Insurance Fund;2005;2987.0
3313;HP51: Pharmacies;HF121b: Health Insurance Fund;2006;
3314;HP51: Pharmacies;HF121b: Health Insurance Fund;2007;
3315;HP51: Pharmacies;HF121b: Health Insurance Fund;2008;
3316;HP51: Pharmacies;HF121b: Health Insurance Fund;2009;
3317;HP51: Pharmacies;HF121b: Health Insurance Fund;2010;
3318;HP51: Pharmacies;HF121b: Health Insurance Fund;2011;
3319;HP51: Pharmacies;HF121b: Health Insurance Fund;2012;
3320;HP51: Pharmacies;HF121b: Health Insurance Fund;2013;
3321;HP51: Pharmacies;HF121b: Health Insurance Fund;2014;
3322;HP51: Pharmacies;HF121b: Health Insurance Fund;2015;
3323;HP51: Pharmacies;HF121b: Health Insurance Fund;2016;
3324;HP51: Pharmacies;HF122: Compulsory private insurance;2005;
3325;HP51: Pharmacies;HF122: Compulsory private insurance;2006;4381.0
3326;HP51: Pharmacies;HF122: Compulsory private insurance;2007;4765.0
3327;HP51: Pharmacies;HF122: Compulsory private insurance;2008;4344.0
3328;HP51: Pharmacies;HF122: Compulsory private insurance;2009;4353.0
3329;HP51: Pharmacies;HF122: Compulsory private insurance;2010;4433.0
3330;HP51: Pharmacies;HF122: Compulsory private insurance;2011;4409.0
3331;HP51: Pharmacies;HF122: Compulsory private insurance;2012;3758.0
3332;HP51: Pharmacies;HF122: Compulsory private insurance;2013;3345.0
3333;HP51: Pharmacies;HF122: Compulsory private insurance;2014;3353.0
3334;HP51: Pharmacies;HF122: Compulsory private insurance;2015;3463.0
3335;HP51: Pharmacies;HF122: Compulsory private insurance;2016;3556.0
3336;HP51: Pharmacies;Voluntary schemes (incl. OOP);2005;2225.0
3337;HP51: Pharmacies;Voluntary schemes (incl. OOP);2006;956.0
3338;HP51: Pharmacies;Voluntary schemes (incl. OOP);2007;1013.0
3339;HP51: Pharmacies;Voluntary schemes (incl. OOP);2008;1494.0
3340;HP51: Pharmacies;Voluntary schemes (incl. OOP);2009;1553.0
3341;HP51: Pharmacies;Voluntary schemes (incl. OOP);2010;1604.0
3342;HP51: Pharmacies;Voluntary schemes (incl. OOP);2011;1621.0
3343;HP51: Pharmacies;Voluntary schemes (incl. OOP);2012;1676.0
3344;HP51: Pharmacies;Voluntary schemes (incl. OOP);2013;1820.0
3345;HP51: Pharmacies;Voluntary schemes (incl. OOP);2014;1814.0
3346;HP51: Pharmacies;Voluntary schemes (incl. OOP);2015;1880.0
3347;HP51: Pharmacies;Voluntary schemes (incl. OOP);2016;1916.0
3348;HP51: Pharmacies;HF2: Voluntary schemes;2005;1257.0
3349;HP51: Pharmacies;HF2: Voluntary schemes;2006;76.0
3350;HP51: Pharmacies;HF2: Voluntary schemes;2007;76.0
3351;HP51: Pharmacies;HF2: Voluntary schemes;2008;40.0
3352;HP51: Pharmacies;HF2: Voluntary schemes;2009;58.0
3353;HP51: Pharmacies;HF2: Voluntary schemes;2010;55.0
3354;HP51: Pharmacies;HF2: Voluntary schemes;2011;66.0
3355;HP51: Pharmacies;HF2: Voluntary schemes;2012;66.0
3356;HP51: Pharmacies;HF2: Voluntary schemes;2013;63.0
3357;HP51: Pharmacies;HF2: Voluntary schemes;2014;52.0
3358;HP51: Pharmacies;HF2: Voluntary schemes;2015;58.0
3359;HP51: Pharmacies;HF2: Voluntary schemes;2016;53.0
3360;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2005;1257.0
3361;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2006;76.0
3362;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2007;76.0
3363;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2008;40.0
3364;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2009;58.0
3365;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2010;55.0
3366;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2011;66.0
3367;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2012;66.0
3368;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2013;63.0
3369;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2014;52.0
3370;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2015;58.0
3371;HP51: Pharmacies;HF21: Voluntary health insurance schemes;2016;53.0
3372;HP51: Pharmacies;HF22: Financing schemes NPI;2005;0.0
3373;HP51: Pharmacies;HF22: Financing schemes NPI;2006;0.0
3374;HP51: Pharmacies;HF22: Financing schemes NPI;2007;0.0
3375;HP51: Pharmacies;HF22: Financing schemes NPI;2008;0.0
3376;HP51: Pharmacies;HF22: Financing schemes NPI;2009;0.0
3377;HP51: Pharmacies;HF22: Financing schemes NPI;2010;0.0
3378;HP51: Pharmacies;HF22: Financing schemes NPI;2011;0.0
3379;HP51: Pharmacies;HF22: Financing schemes NPI;2012;0.0
3380;HP51: Pharmacies;HF22: Financing schemes NPI;2013;0.0
3381;HP51: Pharmacies;HF22: Financing schemes NPI;2014;0.0
3382;HP51: Pharmacies;HF22: Financing schemes NPI;2015;0.0
3383;HP51: Pharmacies;HF22: Financing schemes NPI;2016;0.0
3384;HP51: Pharmacies;HF23: Enterprise financing schemes;2005;0.0
3385;HP51: Pharmacies;HF23: Enterprise financing schemes;2006;0.0
3386;HP51: Pharmacies;HF23: Enterprise financing schemes;2007;0.0
3387;HP51: Pharmacies;HF23: Enterprise financing schemes;2008;0.0
3388;HP51: Pharmacies;HF23: Enterprise financing schemes;2009;0.0
3389;HP51: Pharmacies;HF23: Enterprise financing schemes;2010;0.0
3390;HP51: Pharmacies;HF23: Enterprise financing schemes;2011;0.0
3391;HP51: Pharmacies;HF23: Enterprise financing schemes;2012;0.0
3392;HP51: Pharmacies;HF23: Enterprise financing schemes;2013;0.0
3393;HP51: Pharmacies;HF23: Enterprise financing schemes;2014;0.0
3394;HP51: Pharmacies;HF23: Enterprise financing schemes;2015;0.0
3395;HP51: Pharmacies;HF23: Enterprise financing schemes;2016;0.0
3396;HP51: Pharmacies;HF3: Household out-of-pocket payments;2005;968.0
3397;HP51: Pharmacies;HF3: Household out-of-pocket payments;2006;880.0
3398;HP51: Pharmacies;HF3: Household out-of-pocket payments;2007;937.0
3399;HP51: Pharmacies;HF3: Household out-of-pocket payments;2008;1454.0
3400;HP51: Pharmacies;HF3: Household out-of-pocket payments;2009;1495.0
3401;HP51: Pharmacies;HF3: Household out-of-pocket payments;2010;1549.0
3402;HP51: Pharmacies;HF3: Household out-of-pocket payments;2011;1555.0
3403;HP51: Pharmacies;HF3: Household out-of-pocket payments;2012;1610.0
3404;HP51: Pharmacies;HF3: Household out-of-pocket payments;2013;1757.0
3405;HP51: Pharmacies;HF3: Household out-of-pocket payments;2014;1762.0
3406;HP51: Pharmacies;HF3: Household out-of-pocket payments;2015;1822.0
3407;HP51: Pharmacies;HF3: Household out-of-pocket payments;2016;1863.0
3408;HP51: Pharmacies;"Rest of the world; exports";2005;21.0
3409;HP51: Pharmacies;"Rest of the world; exports";2006;21.0
3410;HP51: Pharmacies;"Rest of the world; exports";2007;21.0
3411;HP51: Pharmacies;"Rest of the world; exports";2008;21.0
3412;HP51: Pharmacies;"Rest of the world; exports";2009;20.0
3413;HP51: Pharmacies;"Rest of the world; exports";2010;26.0
3414;HP51: Pharmacies;"Rest of the world; exports";2011;24.0
3415;HP51: Pharmacies;"Rest of the world; exports";2012;24.0
3416;HP51: Pharmacies;"Rest of the world; exports";2013;25.0
3417;HP51: Pharmacies;"Rest of the world; exports";2014;26.0
3418;HP51: Pharmacies;"Rest of the world; exports";2015;27.0
3419;HP51: Pharmacies;"Rest of the world; exports";2016;27.0
3420;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2005;2486.0
3421;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2006;2558.0
3422;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2007;2636.0
3423;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2008;2928.0
3424;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2009;2678.0
3425;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2010;2819.0
3426;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2011;3053.0
3427;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2012;3187.0
3428;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2013;3051.0
3429;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2014;3089.0
3430;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2015;3464.0
3431;HP52 : Suppliers of medical appliances.;Total financ schemes health,social care;2016;3347.0
3432;HP52 : Suppliers of medical appliances.;Total financing of residents;2005;2486.0
3433;HP52 : Suppliers of medical appliances.;Total financing of residents;2006;2558.0
3434;HP52 : Suppliers of medical appliances.;Total financing of residents;2007;2636.0
3435;HP52 : Suppliers of medical appliances.;Total financing of residents;2008;2928.0
3436;HP52 : Suppliers of medical appliances.;Total financing of residents;2009;2678.0
3437;HP52 : Suppliers of medical appliances.;Total financing of residents;2010;2819.0
3438;HP52 : Suppliers of medical appliances.;Total financing of residents;2011;3053.0
3439;HP52 : Suppliers of medical appliances.;Total financing of residents;2012;3187.0
3440;HP52 : Suppliers of medical appliances.;Total financing of residents;2013;3051.0
3441;HP52 : Suppliers of medical appliances.;Total financing of residents;2014;3089.0
3442;HP52 : Suppliers of medical appliances.;Total financing of residents;2015;3464.0
3443;HP52 : Suppliers of medical appliances.;Total financing of residents;2016;3347.0
3444;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2005;900.0
3445;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2006;1174.0
3446;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2007;1233.0
3447;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2008;1222.0
3448;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2009;1308.0
3449;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2010;1327.0
3450;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2011;1356.0
3451;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2012;1376.0
3452;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2013;1275.0
3453;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2014;1292.0
3454;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2015;1595.0
3455;HP52 : Suppliers of medical appliances.;HF1: Government, comp. Contr. schemes;2016;1537.0
3456;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2005;135.0
3457;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2006;131.0
3458;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2007;125.0
3459;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2008;130.0
3460;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2009;150.0
3461;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2010;141.0
3462;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2011;137.0
3463;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2012;127.0
3464;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2013;111.0
3465;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2014;103.0
3466;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2015;403.0
3467;HP52 : Suppliers of medical appliances.;HF11: Government schemes;2016;428.0
3468;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2005;765.0
3469;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2006;1043.0
3470;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2007;1108.0
3471;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2008;1092.0
3472;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2009;1158.0
3473;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2010;1186.0
3474;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2011;1219.0
3475;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2012;1249.0
3476;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2013;1164.0
3477;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2014;1190.0
3478;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2015;1192.0
3479;HP52 : Suppliers of medical appliances.;HF12: Compulsory contributory schemes;2016;1109.0
3480;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2005;0.0
3481;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2006;0.0
3482;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2007;0.0
3483;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2008;0.0
3484;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2009;0.0
3485;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2010;0.0
3486;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2011;0.0
3487;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2012;0.0
3488;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2013;0.0
3489;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2014;0.0
3490;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2015;0.0
3491;HP52 : Suppliers of medical appliances.;HF121a: Long-term care insurance;2016;0.0
3492;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2005;765.0
3493;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2006;
3494;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2007;
3495;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2008;
3496;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2009;
3497;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2010;
3498;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2011;
3499;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2012;
3500;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2013;
3501;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2014;
3502;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2015;
3503;HP52 : Suppliers of medical appliances.;HF121b: Health Insurance Fund;2016;
3504;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2005;
3505;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2006;1043.0
3506;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2007;1108.0
3507;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2008;1092.0
3508;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2009;1158.0
3509;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2010;1186.0
3510;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2011;1219.0
3511;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2012;1249.0
3512;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2013;1164.0
3513;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2014;1190.0
3514;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2015;1192.0
3515;HP52 : Suppliers of medical appliances.;HF122: Compulsory private insurance;2016;1109.0
3516;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2005;1586.0
3517;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2006;1385.0
3518;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2007;1403.0
3519;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2008;1706.0
3520;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2009;1370.0
3521;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2010;1492.0
3522;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2011;1697.0
3523;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2012;1811.0
3524;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2013;1776.0
3525;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2014;1796.0
3526;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2015;1868.0
3527;HP52 : Suppliers of medical appliances.;Voluntary schemes (incl. OOP);2016;1810.0
3528;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2005;508.0
3529;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2006;257.0
3530;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2007;274.0
3531;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2008;305.0
3532;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2009;318.0
3533;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2010;312.0
3534;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2011;389.0
3535;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2012;409.0
3536;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2013;402.0
3537;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2014;400.0
3538;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2015;402.0
3539;HP52 : Suppliers of medical appliances.;HF2: Voluntary schemes;2016;403.0
3540;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2005;431.0
3541;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2006;176.0
3542;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2007;189.0
3543;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2008;216.0
3544;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2009;224.0
3545;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2010;215.0
3546;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2011;287.0
3547;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2012;302.0
3548;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2013;295.0
3549;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2014;291.0
3550;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2015;293.0
3551;HP52 : Suppliers of medical appliances.;HF21: Voluntary health insurance schemes;2016;294.0
3552;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2005;77.0
3553;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2006;81.0
3554;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2007;85.0
3555;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2008;89.0
3556;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2009;94.0
3557;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2010;97.0
3558;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2011;102.0
3559;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2012;107.0
3560;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2013;107.0
3561;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2014;109.0
3562;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2015;109.0
3563;HP52 : Suppliers of medical appliances.;HF22: Financing schemes NPI;2016;109.0
3564;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2005;0.0
3565;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2006;0.0
3566;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2007;0.0
3567;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2008;0.0
3568;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2009;0.0
3569;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2010;0.0
3570;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2011;0.0
3571;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2012;0.0
3572;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2013;0.0
3573;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2014;0.0
3574;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2015;0.0
3575;HP52 : Suppliers of medical appliances.;HF23: Enterprise financing schemes;2016;0.0
3576;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2005;1078.0
3577;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2006;1128.0
3578;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2007;1129.0
3579;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2008;1401.0
3580;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2009;1052.0
3581;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2010;1180.0
3582;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2011;1308.0
3583;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2012;1402.0
3584;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2013;1375.0
3585;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2014;1397.0
3586;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2015;1467.0
3587;HP52 : Suppliers of medical appliances.;HF3: Household out-of-pocket payments;2016;1407.0
3588;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2005;0.0
3589;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2006;0.0
3590;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2007;0.0
3591;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2008;0.0
3592;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2009;0.0
3593;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2010;0.0
3594;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2011;0.0
3595;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2012;0.0
3596;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2013;0.0
3597;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2014;0.0
3598;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2015;0.0
3599;HP52 : Suppliers of medical appliances.;"Rest of the world; exports";2016;0.0
3600;HP6: Providers of preventive care;Total financ schemes health,social care;2005;1412.0
3601;HP6: Providers of preventive care;Total financ schemes health,social care;2006;1330.0
3602;HP6: Providers of preventive care;Total financ schemes health,social care;2007;1415.0
3603;HP6: Providers of preventive care;Total financ schemes health,social care;2008;1297.0
3604;HP6: Providers of preventive care;Total financ schemes health,social care;2009;1403.0
3605;HP6: Providers of preventive care;Total financ schemes health,social care;2010;1467.0
3606;HP6: Providers of preventive care;Total financ schemes health,social care;2011;1435.0
3607;HP6: Providers of preventive care;Total financ schemes health,social care;2012;1410.0
3608;HP6: Providers of preventive care;Total financ schemes health,social care;2013;1386.0
3609;HP6: Providers of preventive care;Total financ schemes health,social care;2014;1410.0
3610;HP6: Providers of preventive care;Total financ schemes health,social care;2015;1391.0
3611;HP6: Providers of preventive care;Total financ schemes health,social care;2016;1418.0
3612;HP6: Providers of preventive care;Total financing of residents;2005;1412.0
3613;HP6: Providers of preventive care;Total financing of residents;2006;1330.0
3614;HP6: Providers of preventive care;Total financing of residents;2007;1415.0
3615;HP6: Providers of preventive care;Total financing of residents;2008;1297.0
3616;HP6: Providers of preventive care;Total financing of residents;2009;1403.0
3617;HP6: Providers of preventive care;Total financing of residents;2010;1467.0
3618;HP6: Providers of preventive care;Total financing of residents;2011;1435.0
3619;HP6: Providers of preventive care;Total financing of residents;2012;1410.0
3620;HP6: Providers of preventive care;Total financing of residents;2013;1386.0
3621;HP6: Providers of preventive care;Total financing of residents;2014;1410.0
3622;HP6: Providers of preventive care;Total financing of residents;2015;1391.0
3623;HP6: Providers of preventive care;Total financing of residents;2016;1418.0
3624;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2005;731.0
3625;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2006;749.0
3626;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2007;819.0
3627;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2008;811.0
3628;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2009;826.0
3629;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2010;881.0
3630;HP6: Providers of preventive care;HF1: Government, comp. Contr. schemes;2011;889.0
