ID;PersonalCharacteristics;Periods;VeryContented_1;Contented_2;NotContentedNotDiscontented_3;Discontented_4;VeryDiscontented_5;DutchLabourParty_6;ChristianDemocraticAppeal_7;PeopleSPartyForFreedomAndDemocracy_8;Democrats1966_9;GreenLeftParty_10;PoliticalReformedPartyChristianUnion_11;SocialistParty_12;LiveableNetherlands_13;ListPimFortuyn_14;OtherPoliticalParties_15;NonVotersAbstentions_16;DoNotKnow_17;CastHisHerVote_18;DutchLabourParty_19;ChristianDemocraticAppeal_20;PeopleSPartyForFreedomAndDemocracy_21;Democrats1966_22;GreenLeftParty_23;PoliticalReformedPartyChristianUnion_24;SocialistParty_25;LiveableNetherlands_26;ListPimFortuyn_27;OtherPoliticalParties_28;Abstentions_29;DoNotKnow_30;VeryMuchInterested_31;RatherInterested_32;NotMuchInterested_33;NotInterestedAtAll_34;ActiveDebater_35;Listens_36;DoesNotListen_37;MemberOfAPoliticalParty_38;AttendsMeetingsPolParty1529Yrs_39;BondWithPolitcalParty_40;VeryStrongBond_41;RatherStrongBond_42;ModeratelyStrongBond_43;WeakVeryWeakBond_44;IsMemberOfAStudentsTradeUnion_45;EmployersOrgTradeUnion_46;NoRestrictions_47;MustBeRestricted_48;MustBeStoppedAltogether_49;NoRestrictions_50;MustBeRestricted_51;MustBeStoppedAltogether_52;NoRestrictions_53;MustBeRestricted_54;MustBeStoppedAltogether_55;MakeMuchMoreDifficult_56;MakeMoreDifficult_57;PreferCurrentSituation_58;MakeEasier_59;MakeMuchEasier_60;RetainOwnCultureCompletely_61;LargelyRetainOwnCulture_62;NotRetainOwnCultureNotConform_63;LargelyConformToDutchCulture_64;ConformCompletelyToDutchCulture_65;AgreeCompletely_66;Agree_67;DoNotAgreeDoNotDisagree_68;Disagree_69;DisagreeCompletely_70;AgreeCompletely_71;Agree_72;DoNotAgreeDoNotDisagree_73;Disagree_74;DisagreeCompletely_75;FamilyEthnicMinority_76;DutchFamily_77;ShouldNotMakeAnyDifference_78;EmployeeWithFamily_79;EmployeeWithoutFamily_80;ShouldNotMakeAnyDifference_81;AForeigner_82;ADutchman_83;ShouldNotMakeAnyDifference_84;AMan_85;AWoman_86;ShouldNotMakeAnyDifference_87;AYoungEmployee_88;AnOlderEmployee_89;ShouldNotMakeAnyDifference_90;AWhiteEmployee_91;AColouredEmployee_92;ShouldNotMakeAnyDifference_93;Annoying_94;NotAnnoying_95;DoNotKnow_96;Annoying_97;NotAnnoying_98;DoNotKnow_99;ExtremelyImportant_100;VeryImportant_101;Important_102;NotSure_103;Unimportant_104;ExtremelyImportant_105;VeryImportant_106;Important_107;NotSure_108;Unimportant_109;ExtremelyImportant_110;VeryImportant_111;Important_112;NotSure_113;Unimportant_114;ExtremelyImportant_115;VeryImportant_116;Important_117;NotSure_118;Unimportant_119;ExtremelyImportant_120;VeryImportant_121;Important_122;NotSure_123;Unimportant_124;ExtremelyImportant_125;VeryImportant_126;Important_127;NotSure_128;Unimportant_129;ExtremelyImportant_130;VeryImportant_131;Important_132;NotSure_133;Unimportant_134;ExtremelyImportant_135;VeryImportant_136;Important_137;NotSure_138;Unimportant_139;ExtremelyImportant_140;VeryImportant_141;Important_142;NotSure_143;Unimportant_144;ExtremelyImportant_145;VeryImportant_146;Important_147;NotSure_148;Unimportant_149;ExtremelyImportant_150;VeryImportant_151;Important_152;NotSure_153;Unimportant_154;ExtremelyImportant_155;VeryImportant_156;Important_157;NotSure_158;Unimportant_159;ExtremelyImportant_160;VeryImportant_161;Important_162;NotSure_163;Unimportant_164;ExtremelyImportant_165;VeryImportant_166;Important_167;NotSure_168;Unimportant_169;LargelyAgree_170;DoNotAgreeDoNotDisagree_171;DoNotAgreeAtAll_172;LargelyAgree_173;DoNotAgreeDoNotDisagree_174;DoNotAgreeAtAll_175;LargelyAgree_176;DoNotAgreeDoNotDisagree_177;DoNotAgreeAtAll_178;LargelyAgree_179;DoNotAgreeDoNotDisagree_180;DoNotAgreeAtAll_181;LargelyAgree_182;DoNotAgreeDoNotDisagree_183;DoNotAgreeAtAll_184;LargelyAgree_185;DoNotAgreeDoNotDisagree_186;DoNotAgreeAtAll_187;AdulteryEndsARelationship_188;AdulteryIsWrongButNotTheEnd_189;AdulteryShouldBePossible_190;NoOpinionDoesNotKnowRefuses_191
317;Disabled;2002;1.0;20.0;33.0;33.0;13.0;17.0;17.0;8.0;4.0;6.0;3.0;8.0;1.0;5.0;1.0;13.0;18.0;;;;;;;;;;;;;;17.0;37.0;24.0;22.0;44.0;38.0;18.0;1.0;;52.0;12.0;44.0;39.0;5.0;;;4.0;71.0;24.0;25.0;65.0;10.0;9.0;59.0;32.0;30.0;23.0;30.0;9.0;9.0;4.0;1.0;34.0;19.0;42.0;3.0;17.0;21.0;31.0;27.0;12.0;45.0;15.0;19.0;9.0;0.0;23.0;77.0;;;;;;;;;;;;;;;;;;;;;;16.0;12.0;29.0;5.0;38.0;37.0;30.0;27.0;1.0;4.0;61.0;19.0;13.0;1.0;6.0;49.0;27.0;19.0;1.0;4.0;14.0;27.0;41.0;11.0;8.0;20.0;31.0;48.0;0.0;1.0;15.0;34.0;38.0;7.0;6.0;22.0;31.0;42.0;3.0;3.0;8.0;15.0;52.0;12.0;13.0;17.0;30.0;44.0;5.0;3.0;14.0;19.0;41.0;19.0;7.0;16.0;29.0;40.0;12.0;2.0;43.0;35.0;22.0;0.0;1.0;28.0;37.0;34.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;
318;Disabled;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;Disabled;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;Early retirement, pension (58-64 yrs);1997;0.0;40.0;38.0;17.0;4.0;22.0;22.0;19.0;2.0;4.0;3.0;2.0;;;2.0;13.0;11.0;;;;;;;;;;;;;;15.0;47.0;25.0;14.0;49.0;39.0;12.0;8.0;;71.0;20.0;36.0;40.0;3.0;;;8.0;77.0;15.0;26.0;63.0;11.0;6.0;67.0;27.0;29.0;27.0;31.0;11.0;2.0;9.0;5.0;25.0;27.0;33.0;1.0;17.0;22.0;38.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;Early retirement, pension (58-64 yrs);1998;2.0;45.0;36.0;14.0;3.0;25.0;22.0;21.0;4.0;4.0;3.0;3.0;;;2.0;9.0;6.0;90.0;21.0;36.0;23.0;6.0;4.0;2.0;1.0;;;4.0;1.0;1.0;17.0;44.0;24.0;15.0;51.0;35.0;14.0;5.0;;72.0;22.0;40.0;37.0;1.0;;;7.0;74.0;19.0;32.0;58.0;10.0;4.0;70.0;26.0;23.0;24.0;42.0;7.0;3.0;2.0;13.0;28.0;33.0;24.0;0.0;10.0;32.0;41.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;Early retirement, pension (58-64 yrs);1999;1.0;34.0;42.0;19.0;4.0;20.0;25.0;18.0;4.0;5.0;3.0;2.0;;;1.0;15.0;7.0;;;;;;;;;;;;;;16.0;46.0;24.0;13.0;51.0;38.0;11.0;8.0;;64.0;21.0;43.0;33.0;3.0;;;4.0;79.0;18.0;24.0;62.0;14.0;6.0;62.0;31.0;32.0;30.0;28.0;5.0;6.0;1.0;3.0;32.0;26.0;37.0;2.0;18.0;22.0;34.0;24.0;14.0;57.0;7.0;14.0;8.0;2.0;31.0;67.0;3.0;50.0;47.0;21.0;2.0;77.0;1.0;10.0;89.0;20.0;19.0;62.0;2.0;5.0;93.0;19.0;75.0;6.0;9.0;87.0;3.0;22.0;16.0;46.0;3.0;13.0;35.0;29.0;34.0;1.0;1.0;61.0;17.0;17.0;0.0;5.0;53.0;25.0;19.0;1.0;1.0;17.0;21.0;49.0;4.0;9.0;18.0;17.0;61.0;2.0;2.0;11.0;26.0;50.0;6.0;7.0;20.0;22.0;56.0;1.0;1.0;14.0;16.0;37.0;15.0;18.0;13.0;18.0;48.0;11.0;11.0;20.0;18.0;37.0;19.0;6.0;14.0;26.0;45.0;9.0;6.0;39.0;30.0;31.0;0.0;0.0;23.0;29.0;43.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;
323;Early retirement, pension (58-64 yrs);2000;1.0;40.0;41.0;16.0;2.0;22.0;25.0;18.0;3.0;4.0;4.0;1.0;;;1.0;11.0;11.0;;;;;;;;;;;;;;18.0;43.0;25.0;14.0;51.0;37.0;12.0;11.0;;67.0;17.0;41.0;35.0;7.0;;;6.0;78.0;16.0;43.0;46.0;11.0;10.0;69.0;21.0;20.0;28.0;32.0;11.0;9.0;2.0;12.0;25.0;27.0;35.0;2.0;32.0;14.0;40.0;12.0;21.0;63.0;11.0;4.0;1.0;0.0;15.0;85.0;5.0;51.0;44.0;13.0;2.0;85.0;0.0;6.0;94.0;14.0;15.0;72.0;1.0;5.0;94.0;11.0;85.0;5.0;6.0;87.0;7.0;23.0;16.0;39.0;4.0;18.0;31.0;27.0;37.0;2.0;3.0;50.0;23.0;22.0;4.0;1.0;44.0;28.0;24.0;1.0;3.0;15.0;19.0;49.0;6.0;11.0;14.0;29.0;56.0;1.0;0.0;13.0;30.0;48.0;2.0;8.0;15.0;31.0;53.0;1.0;0.0;8.0;22.0;48.0;12.0;10.0;15.0;21.0;48.0;11.0;4.0;17.0;13.0;37.0;23.0;11.0;11.0;26.0;46.0;12.0;4.0;40.0;32.0;28.0;0.0;0.0;27.0;27.0;41.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;
324;Early retirement, pension (58-64 yrs);2001;0.0;36.0;42.0;17.0;5.0;20.0;19.0;21.0;2.0;7.0;6.0;3.0;;;4.0;10.0;9.0;;;;;;;;;;;;;;16.0;47.0;22.0;15.0;55.0;34.0;11.0;7.0;;68.0;14.0;41.0;39.0;5.0;;;5.0;74.0;22.0;28.0;64.0;8.0;9.0;66.0;26.0;29.0;21.0;27.0;14.0;9.0;1.0;2.0;32.0;31.0;35.0;4.0;26.0;9.0;43.0;18.0;20.0;55.0;8.0;10.0;8.0;0.0;20.0;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;Early retirement, pension (58-64 yrs);2002;2.0;25.0;39.0;29.0;5.0;16.0;32.0;13.0;4.0;4.0;2.0;3.0;2.0;3.0;2.0;6.0;11.0;;;;;;;;;;;;;;19.0;49.0;21.0;11.0;59.0;32.0;9.0;4.0;;71.0;14.0;45.0;34.0;6.0;;;10.0;70.0;20.0;40.0;49.0;11.0;8.0;59.0;33.0;31.0;21.0;29.0;9.0;11.0;2.0;6.0;34.0;31.0;26.0;3.0;12.0;19.0;45.0;21.0;14.0;55.0;13.0;13.0;6.0;0.0;24.0;76.0;;;;;;;;;;;;;;;;;;;;;;13.0;27.0;39.0;1.0;19.0;31.0;34.0;30.0;3.0;2.0;48.0;32.0;18.0;0.0;3.0;46.0;27.0;24.0;0.0;3.0;6.0;25.0;54.0;2.0;12.0;13.0;24.0;61.0;3.0;0.0;11.0;22.0;54.0;5.0;8.0;13.0;29.0;55.0;2.0;0.0;7.0;17.0;45.0;14.0;16.0;10.0;14.0;53.0;19.0;5.0;14.0;21.0;34.0;19.0;12.0;11.0;18.0;46.0;17.0;7.0;43.0;23.0;32.0;0.0;2.0;25.0;20.0;52.0;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;
326;Early retirement, pension (58-64 yrs);2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;Early retirement, pension (58-64 yrs);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;Cares for household with minor(s);1997;1.0;28.0;55.0;13.0;3.0;16.0;16.0;13.0;8.0;3.0;8.0;2.0;;;1.0;18.0;15.0;;;;;;;;;;;;;;3.0;29.0;39.0;29.0;23.0;54.0;23.0;2.0;;51.0;12.0;42.0;43.0;3.0;;;6.0;72.0;23.0;11.0;74.0;15.0;4.0;71.0;25.0;19.0;26.0;40.0;9.0;5.0;2.0;8.0;37.0;27.0;26.0;1.0;12.0;29.0;35.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;Cares for household with minor(s);1998;1.0;34.0;53.0;11.0;1.0;21.0;14.0;15.0;6.0;5.0;9.0;2.0;;;1.0;17.0;10.0;74.0;29.0;21.0;17.0;6.0;6.0;14.0;5.0;;;1.0;1.0;1.0;3.0;30.0;38.0;29.0;26.0;49.0;25.0;2.0;;54.0;12.0;50.0;33.0;4.0;;;7.0;75.0;18.0;15.0;73.0;12.0;8.0;70.0;22.0;21.0;26.0;39.0;11.0;4.0;3.0;8.0;38.0;26.0;25.0;3.0;12.0;29.0;32.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;Cares for household with minor(s);1999;1.0;27.0;56.0;15.0;1.0;17.0;14.0;16.0;4.0;7.0;9.0;2.0;;;1.0;20.0;12.0;;;;;;;;;;;;;;3.0;28.0;37.0;32.0;26.0;51.0;23.0;5.0;;53.0;17.0;44.0;36.0;3.0;;;9.0;70.0;20.0;17.0;69.0;13.0;10.0;66.0;23.0;20.0;31.0;33.0;9.0;7.0;4.0;5.0;34.0;32.0;24.0;2.0;17.0;25.0;40.0;16.0;9.0;53.0;16.0;15.0;7.0;1.0;17.0;82.0;4.0;40.0;56.0;8.0;3.0;89.0;2.0;6.0;92.0;16.0;12.0;72.0;1.0;3.0;96.0;11.0;83.0;6.0;7.0;90.0;4.0;20.0;16.0;39.0;3.0;22.0;60.0;24.0;15.0;1.0;0.0;73.0;19.0;8.0;0.0;0.0;66.0;23.0;10.0;1.0;0.0;20.0;24.0;49.0;3.0;4.0;19.0;24.0;53.0;3.0;1.0;18.0;23.0;49.0;7.0;4.0;17.0;25.0;52.0;3.0;2.0;8.0;15.0;41.0;24.0;12.0;10.0;30.0;44.0;11.0;5.0;11.0;21.0;35.0;21.0;12.0;15.0;25.0;47.0;9.0;4.0;47.0;32.0;18.0;1.0;1.0;41.0;29.0;27.0;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;
331;Cares for household with minor(s);2000;1.0;33.0;52.0;12.0;2.0;17.0;13.0;12.0;4.0;6.0;9.0;1.0;;;1.0;20.0;15.0;;;;;;;;;;;;;;3.0;27.0;37.0;33.0;24.0;49.0;26.0;4.0;;49.0;18.0;40.0;38.0;4.0;;;7.0;73.0;20.0;20.0;66.0;14.0;12.0;63.0;26.0;31.0;20.0;35.0;10.0;4.0;3.0;5.0;32.0;32.0;27.0;3.0;12.0;25.0;35.0;26.0;11.0;49.0;18.0;13.0;8.0;1.0;24.0;75.0;4.0;41.0;55.0;7.0;3.0;91.0;1.0;6.0;93.0;17.0;16.0;67.0;1.0;2.0;97.0;15.0;74.0;11.0;7.0;85.0;8.0;18.0;13.0;39.0;6.0;25.0;62.0;22.0;16.0;0.0;0.0;72.0;20.0;8.0;0.0;0.0;65.0;22.0;13.0;0.0;0.0;18.0;30.0;42.0;3.0;6.0;21.0;23.0;52.0;2.0;2.0;22.0;25.0;44.0;3.0;6.0;19.0;30.0;49.0;3.0;0.0;7.0;16.0;45.0;18.0;14.0;17.0;23.0;41.0;11.0;8.0;14.0;17.0;38.0;18.0;12.0;17.0;23.0;46.0;8.0;6.0;52.0;25.0;22.0;1.0;1.0;43.0;31.0;26.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;
332;Cares for household with minor(s);2001;1.0;31.0;53.0;13.0;2.0;16.0;13.0;11.0;3.0;6.0;8.0;2.0;;;2.0;21.0;18.0;;;;;;;;;;;;;;3.0;29.0;36.0;31.0;27.0;52.0;22.0;2.0;;45.0;16.0;45.0;34.0;5.0;;;8.0;75.0;17.0;19.0;71.0;10.0;11.0;70.0;19.0;19.0;26.0;40.0;11.0;4.0;4.0;6.0;32.0;34.0;25.0;3.0;18.0;26.0;35.0;18.0;8.0;55.0;19.0;12.0;6.0;0.0;21.0;78.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;Cares for household with minor(s);2002;1.0;20.0;51.0;23.0;5.0;12.0;21.0;9.0;3.0;4.0;10.0;4.0;1.0;4.0;1.0;14.0;16.0;83.0;;;;;;;;;;;;;6.0;37.0;32.0;26.0;35.0;45.0;19.0;4.0;;47.0;19.0;44.0;31.0;6.0;;;8.0;73.0;18.0;16.0;74.0;10.0;12.0;70.0;18.0;16.0;28.0;39.0;11.0;6.0;2.0;6.0;35.0;32.0;25.0;2.0;16.0;34.0;31.0;16.0;10.0;50.0;18.0;15.0;7.0;2.0;17.0;81.0;;;;;;;;;;;;;;;;;;;;;;22.0;19.0;31.0;7.0;21.0;50.0;33.0;14.0;3.0;0.0;68.0;20.0;11.0;1.0;0.0;58.0;29.0;13.0;0.0;1.0;20.0;26.0;42.0;7.0;5.0;16.0;25.0;54.0;3.0;2.0;15.0;27.0;41.0;10.0;6.0;16.0;27.0;52.0;4.0;1.0;4.0;14.0;51.0;19.0;12.0;10.0;23.0;52.0;10.0;5.0;14.0;14.0;48.0;18.0;7.0;13.0;28.0;44.0;10.0;4.0;51.0;23.0;24.0;3.0;0.0;39.0;30.0;25.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;
334;Cares for household with minor(s);2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.0;21.0;31.0;24.0;26.0;50.0;55.0;18.0;27.0;38.0;25.0;35.0;62.0;11.0;25.0;20.0;20.0;57.0;66.0;19.0;3.0;12.0
335;Cares for household with minor(s);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;Other socio-economic group;1997;1.0;30.0;48.0;18.0;4.0;22.0;18.0;14.0;5.0;3.0;4.0;3.0;;;3.0;16.0;13.0;;;;;;;;;;;;;;8.0;36.0;32.0;25.0;30.0;48.0;22.0;4.0;;58.0;15.0;40.0;40.0;5.0;;;7.0;67.0;25.0;17.0;64.0;19.0;6.0;58.0;36.0;31.0;23.0;34.0;6.0;6.0;6.0;4.0;32.0;20.0;38.0;1.0;12.0;24.0;30.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;Other socio-economic group;1998;1.0;34.0;47.0;15.0;3.0;26.0;18.0;16.0;4.0;5.0;4.0;3.0;;;2.0;14.0;8.0;84.0;32.0;19.0;23.0;6.0;6.0;4.0;5.0;;;3.0;1.0;0.0;8.0;38.0;30.0;24.0;34.0;44.0;22.0;5.0;;61.0;15.0;45.0;37.0;3.0;;;8.0;69.0;22.0;18.0;66.0;16.0;10.0;61.0;29.0;30.0;20.0;34.0;10.0;6.0;4.0;8.0;35.0;21.0;32.0;3.0;15.0;22.0;38.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;Other socio-economic group;1999;0.0;28.0;48.0;19.0;4.0;23.0;18.0;15.0;4.0;7.0;4.0;3.0;;;1.0;15.0;10.0;;;;;;;;;;;;;;8.0;36.0;31.0;25.0;33.0;46.0;21.0;3.0;;61.0;13.0;41.0;41.0;5.0;;;7.0;72.0;22.0;19.0;65.0;15.0;8.0;63.0;29.0;27.0;21.0;34.0;10.0;8.0;4.0;4.0;35.0;25.0;31.0;3.0;18.0;23.0;36.0;21.0;11.0;56.0;13.0;14.0;6.0;1.0;27.0;73.0;6.0;42.0;53.0;12.0;5.0;83.0;1.0;10.0;89.0;18.0;19.0;63.0;2.0;5.0;93.0;12.0;80.0;8.0;7.0;85.0;8.0;18.0;15.0;40.0;3.0;25.0;39.0;30.0;28.0;1.0;2.0;58.0;24.0;14.0;1.0;4.0;50.0;27.0;20.0;1.0;2.0;15.0;22.0;50.0;3.0;10.0;19.0;23.0;54.0;1.0;3.0;14.0;25.0;50.0;6.0;5.0;16.0;29.0;51.0;2.0;2.0;8.0;17.0;46.0;17.0;11.0;14.0;20.0;48.0;13.0;6.0;10.0;16.0;41.0;25.0;9.0;14.0;20.0;51.0;10.0;4.0;43.0;28.0;28.0;1.0;1.0;24.0;32.0;40.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
339;Other socio-economic group;2000;1.0;31.0;48.0;17.0;3.0;21.0;17.0;16.0;3.0;6.0;3.0;3.0;;;1.0;16.0;14.0;;;;;;;;;;;;;;8.0;35.0;32.0;25.0;34.0;47.0;19.0;3.0;;58.0;12.0;37.0;47.0;4.0;;;9.0;70.0;22.0;24.0;65.0;11.0;10.0;66.0;25.0;23.0;24.0;39.0;8.0;5.0;4.0;8.0;31.0;24.0;33.0;2.0;17.0;26.0;40.0;15.0;13.0;54.0;12.0;15.0;6.0;2.0;25.0;73.0;4.0;43.0;53.0;11.0;4.0;85.0;1.0;11.0;88.0;17.0;18.0;65.0;2.0;3.0;94.0;11.0;80.0;9.0;7.0;86.0;6.0;14.0;17.0;40.0;4.0;25.0;36.0;29.0;31.0;2.0;2.0;54.0;24.0;17.0;1.0;3.0;43.0;34.0;21.0;1.0;1.0;12.0;25.0;52.0;3.0;8.0;15.0;26.0;54.0;2.0;2.0;13.0;27.0;52.0;3.0;5.0;15.0;29.0;51.0;3.0;2.0;8.0;18.0;46.0;17.0;11.0;12.0;22.0;50.0;12.0;4.0;13.0;17.0;41.0;20.0;9.0;11.0;23.0;52.0;10.0;4.0;42.0;32.0;25.0;1.0;0.0;28.0;34.0;35.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;
340;Other socio-economic group;2001;1.0;29.0;49.0;18.0;3.0;22.0;17.0;15.0;3.0;5.0;3.0;3.0;;;3.0;15.0;14.0;;;;;;;;;;;;;;9.0;36.0;29.0;25.0;38.0;43.0;20.0;3.0;;56.0;12.0;44.0;38.0;7.0;;;8.0;68.0;24.0;22.0;64.0;14.0;9.0;62.0;29.0;28.0;22.0;35.0;8.0;7.0;4.0;5.0;33.0;24.0;34.0;3.0;24.0;19.0;36.0;19.0;15.0;53.0;13.0;14.0;5.0;1.0;24.0;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;Other socio-economic group;2002;1.0;20.0;46.0;27.0;6.0;16.0;26.0;10.0;2.0;3.0;4.0;4.0;3.0;4.0;1.0;12.0;16.0;87.0;14.0;40.0;16.0;3.0;0.0;2.0;6.0;1.0;17.0;0.0;0.0;0.0;11.0;39.0;29.0;21.0;41.0;43.0;16.0;4.0;;56.0;14.0;38.0;43.0;4.0;;;5.0;68.0;27.0;21.0;61.0;18.0;7.0;60.0;33.0;24.0;26.0;35.0;10.0;5.0;2.0;4.0;31.0;22.0;41.0;1.0;20.0;22.0;37.0;19.0;6.0;56.0;17.0;15.0;6.0;1.0;31.0;68.0;;;;;;;;;;;;;;;;;;;;;;19.0;13.0;39.0;7.0;22.0;41.0;31.0;25.0;2.0;1.0;57.0;24.0;17.0;1.0;1.0;47.0;35.0;17.0;1.0;0.0;15.0;21.0;53.0;4.0;7.0;19.0;24.0;54.0;1.0;2.0;16.0;26.0;47.0;5.0;6.0;13.0;32.0;53.0;2.0;0.0;6.0;12.0;52.0;18.0;12.0;11.0;23.0;50.0;12.0;4.0;11.0;16.0;42.0;26.0;5.0;13.0;24.0;45.0;13.0;5.0;48.0;23.0;28.0;1.0;0.0;36.0;29.0;33.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
342;Other socio-economic group;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;Other socio-economic group;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
