ID;Sex;Characteristics;CaribbeanNetherlands;Periods;Persons_1;PersonalGrossIncomeMean_2;PersonalGrossIncomeMedian_3;PersonalIncomeMean_4;PersonalIncomeMedian_5
1358;Male;Pos. in hh.: Main earner, single parent;Bonaire;2013;100.0;29.4;20.4;27.8;18.9
1359;Male;Pos. in hh.: Main earner, single parent;Bonaire;2014;100.0;31.4;20.5;29.7;19.8
1360;Male;Pos. in hh.: Main earner, single parent;Bonaire;2015;100.0;30.1;23.0;28.5;21.6
1361;Male;Pos. in hh.: Main earner, single parent;Bonaire;2016;100.0;31.3;22.7;28.3;22.6
1362;Male;Pos. in hh.: Main earner, single parent;Bonaire;2017;100.0;41.8;21.9;33.0;21.9
1363;Male;Pos. in hh.: Main earner, single parent;Bonaire;2018;150.0;32.1;21.5;27.5;21.1
1364;Male;Pos. in hh.: Main earner, single parent;Bonaire;2019;150.0;28.9;21.7;26.7;21.6
1365;Male;Pos. in hh.: Main earner, single parent;Bonaire;2020;150.0;36.2;22.9;30.7;22.4
1366;Male;Pos. in hh.: Main earner, single parent;Bonaire;2021;150.0;33.8;22.0;28.6;21.4
1367;Male;Pos. in hh.: Main earner, single parent;Bonaire;2022;200.0;38.1;25.6;32.3;24.9
1368;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2011;0.0;;;;
1369;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2012;0.0;;;;
1370;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2013;50.0;;;;
1371;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2014;0.0;;;;
1372;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2015;0.0;;;;
1373;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2016;50.0;;;;
1374;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2017;0.0;;;;
1375;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2018;0.0;;;;
1376;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2019;50.0;;;;
1377;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2020;50.0;;;;
1378;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2021;50.0;;;;
1379;Male;Pos. in hh.: Main earner, single parent;St. Eustatius;2022;50.0;;;;
1380;Male;Pos. in hh.: Main earner, single parent;Saba;2011;0.0;;;;
1381;Male;Pos. in hh.: Main earner, single parent;Saba;2012;0.0;;;;
1382;Male;Pos. in hh.: Main earner, single parent;Saba;2013;0.0;;;;
1383;Male;Pos. in hh.: Main earner, single parent;Saba;2014;0.0;;;;
1384;Male;Pos. in hh.: Main earner, single parent;Saba;2015;0.0;;;;
1385;Male;Pos. in hh.: Main earner, single parent;Saba;2016;0.0;;;;
1386;Male;Pos. in hh.: Main earner, single parent;Saba;2017;0.0;;;;
1387;Male;Pos. in hh.: Main earner, single parent;Saba;2018;0.0;;;;
1388;Male;Pos. in hh.: Main earner, single parent;Saba;2019;0.0;;;;
1389;Male;Pos. in hh.: Main earner, single parent;Saba;2020;0.0;;;;
1390;Male;Pos. in hh.: Main earner, single parent;Saba;2021;0.0;;;;
1391;Male;Pos. in hh.: Main earner, single parent;Saba;2022;0.0;;;;
1392;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2011;2200.0;40.9;29.7;38.1;28.3
1393;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2012;2250.0;41.2;30.1;38.6;29.1
1394;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2013;2400.0;41.9;31.5;39.1;30.1
1395;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2014;2450.0;42.5;32.2;39.6;30.9
1396;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2015;2500.0;42.9;32.4;39.8;31.1
1397;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2016;2650.0;46.2;33.0;40.4;30.9
1398;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2017;2750.0;46.7;33.0;40.7;31.1
1399;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2018;2900.0;47.8;34.0;41.9;32.6
1400;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2019;2950.0;48.0;33.4;41.9;31.5
1401;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2020;2850.0;48.3;34.0;42.3;32.7
1402;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2021;2850.0;48.3;34.7;42.4;32.7
1403;Male;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2022;2900.0;49.1;35.8;42.8;33.5
1404;Male;Pos. in hh.: Main earner with partner;Bonaire;2011;1750.0;38.5;28.4;36.0;27.2
1405;Male;Pos. in hh.: Main earner with partner;Bonaire;2012;1850.0;38.9;28.7;36.6;27.5
1406;Male;Pos. in hh.: Main earner with partner;Bonaire;2013;1950.0;39.5;29.9;36.9;28.5
1407;Male;Pos. in hh.: Main earner with partner;Bonaire;2014;2000.0;40.6;30.6;37.9;29.6
1408;Male;Pos. in hh.: Main earner with partner;Bonaire;2015;2000.0;39.9;31.0;37.1;29.6
1409;Male;Pos. in hh.: Main earner with partner;Bonaire;2016;2150.0;44.3;31.7;38.1;30.1
1410;Male;Pos. in hh.: Main earner with partner;Bonaire;2017;2250.0;44.4;31.4;38.1;29.5
1411;Male;Pos. in hh.: Main earner with partner;Bonaire;2018;2400.0;45.3;32.4;39.1;31.1
1412;Male;Pos. in hh.: Main earner with partner;Bonaire;2019;2450.0;45.4;31.5;39.0;30.1
1413;Male;Pos. in hh.: Main earner with partner;Bonaire;2020;2400.0;45.8;32.2;39.8;30.8
1414;Male;Pos. in hh.: Main earner with partner;Bonaire;2021;2400.0;47.1;33.9;40.9;31.8
1415;Male;Pos. in hh.: Main earner with partner;Bonaire;2022;2450.0;48.0;34.8;41.2;32.4
1416;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2011;250.0;55.9;42.6;51.4;40.1
1417;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2012;300.0;55.5;43.8;51.5;40.6
1418;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2013;250.0;57.9;47.4;53.5;44.9
1419;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2014;250.0;56.3;44.9;52.0;41.8
1420;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2015;250.0;64.1;50.7;59.6;48.3
1421;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2016;300.0;60.2;46.2;56.6;44.5
1422;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2017;300.0;64.7;53.5;60.1;50.0
1423;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2018;300.0;65.7;50.8;61.0;46.7
1424;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2019;300.0;67.9;52.7;63.3;48.5
1425;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2020;250.0;68.2;58.0;61.8;54.2
1426;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2021;250.0;61.0;50.0;56.9;47.1
1427;Male;Pos. in hh.: Main earner with partner;St. Eustatius;2022;250.0;59.0;48.4;55.2;47.5
1428;Male;Pos. in hh.: Main earner with partner;Saba;2011;150.0;43.4;31.0;40.3;29.0
1429;Male;Pos. in hh.: Main earner with partner;Saba;2012;150.0;43.0;32.5;40.0;31.4
1430;Male;Pos. in hh.: Main earner with partner;Saba;2013;150.0;43.4;32.8;40.4;30.7
1431;Male;Pos. in hh.: Main earner with partner;Saba;2014;200.0;43.3;33.4;39.8;31.8
1432;Male;Pos. in hh.: Main earner with partner;Saba;2015;200.0;44.3;32.0;41.0;29.8
1433;Male;Pos. in hh.: Main earner with partner;Saba;2016;200.0;46.3;34.6;42.2;31.7
1434;Male;Pos. in hh.: Main earner with partner;Saba;2017;200.0;46.5;33.1;42.7;31.0
1435;Male;Pos. in hh.: Main earner with partner;Saba;2018;200.0;51.3;37.3;47.0;36.0
1436;Male;Pos. in hh.: Main earner with partner;Saba;2019;200.0;51.1;38.0;47.5;36.4
1437;Male;Pos. in hh.: Main earner with partner;Saba;2020;150.0;52.4;38.8;48.1;37.5
1438;Male;Pos. in hh.: Main earner with partner;Saba;2021;150.0;45.5;35.6;42.8;34.7
1439;Male;Pos. in hh.: Main earner with partner;Saba;2022;200.0;48.8;39.6;45.7;37.6
1440;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2011;850.0;18.6;14.5;17.6;14.2
1441;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2012;900.0;19.6;15.3;18.5;15.0
1442;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2013;950.0;19.3;15.8;18.3;15.4
1443;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2014;1100.0;20.0;16.1;19.0;15.5
1444;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2015;1100.0;20.4;16.1;19.2;15.8
1445;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2016;1200.0;21.0;16.4;19.2;15.9
1446;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2017;1250.0;23.4;17.5;21.1;16.8
1447;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2018;1300.0;23.7;18.1;21.2;17.4
1448;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2019;1350.0;23.5;17.9;21.1;17.4
1449;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2020;1450.0;22.7;17.1;20.7;16.7
1450;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2021;1550.0;23.2;17.1;20.9;16.5
1451;Male;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2022;1450.0;25.5;19.3;22.4;18.3
1452;Male;Pos. in hh.: Partner of main earner;Bonaire;2011;700.0;18.4;14.5;17.4;14.1
1453;Male;Pos. in hh.: Partner of main earner;Bonaire;2012;750.0;19.3;15.1;18.3;14.7
1454;Male;Pos. in hh.: Partner of main earner;Bonaire;2013;750.0;19.0;15.7;18.1;15.3
1455;Male;Pos. in hh.: Partner of main earner;Bonaire;2014;900.0;19.1;15.4;18.2;15.0
1456;Male;Pos. in hh.: Partner of main earner;Bonaire;2015;900.0;19.5;15.8;18.4;15.5
1457;Male;Pos. in hh.: Partner of main earner;Bonaire;2016;1000.0;20.6;16.0;18.9;15.6
1458;Male;Pos. in hh.: Partner of main earner;Bonaire;2017;1050.0;23.0;17.1;20.7;16.7
1459;Male;Pos. in hh.: Partner of main earner;Bonaire;2018;1100.0;23.5;18.0;20.9;17.3
1460;Male;Pos. in hh.: Partner of main earner;Bonaire;2019;1150.0;23.2;17.8;20.7;17.1
1461;Male;Pos. in hh.: Partner of main earner;Bonaire;2020;1200.0;22.1;16.6;20.1;16.3
1462;Male;Pos. in hh.: Partner of main earner;Bonaire;2021;1300.0;22.6;16.9;20.1;16.1
1463;Male;Pos. in hh.: Partner of main earner;Bonaire;2022;1250.0;24.9;18.7;21.7;17.9
1464;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2011;100.0;;;;
1465;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2012;100.0;;;;
1466;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2013;100.0;;;;
1467;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2014;100.0;25.4;19.5;23.5;19.2
1468;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2015;100.0;25.9;22.4;24.1;21.1
1469;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2016;100.0;24.5;19.5;21.7;17.3
1470;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2017;100.0;;;;
1471;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2018;100.0;26.8;21.5;24.6;20.9
1472;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2019;100.0;25.9;19.7;24.1;18.5
1473;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2020;150.0;27.3;23.5;25.4;22.4
1474;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2021;150.0;27.4;21.7;25.5;20.4
1475;Male;Pos. in hh.: Partner of main earner;St. Eustatius;2022;150.0;28.0;22.5;25.9;21.3
1476;Male;Pos. in hh.: Partner of main earner;Saba;2011;50.0;;;;
1477;Male;Pos. in hh.: Partner of main earner;Saba;2012;50.0;;;;
1478;Male;Pos. in hh.: Partner of main earner;Saba;2013;100.0;;;;
1479;Male;Pos. in hh.: Partner of main earner;Saba;2014;100.0;;;;
1480;Male;Pos. in hh.: Partner of main earner;Saba;2015;100.0;;;;
1481;Male;Pos. in hh.: Partner of main earner;Saba;2016;100.0;;;;
1482;Male;Pos. in hh.: Partner of main earner;Saba;2017;100.0;;;;
1483;Male;Pos. in hh.: Partner of main earner;Saba;2018;100.0;;;;
1484;Male;Pos. in hh.: Partner of main earner;Saba;2019;100.0;;;;
1485;Male;Pos. in hh.: Partner of main earner;Saba;2020;100.0;23.7;19.0;22.0;18.1
1486;Male;Pos. in hh.: Partner of main earner;Saba;2021;100.0;26.2;20.3;24.5;20.1
1487;Male;Pos. in hh.: Partner of main earner;Saba;2022;100.0;28.7;24.9;26.5;23.4
1488;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2011;100.0;;;;
1489;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2012;100.0;;;;
1490;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2013;50.0;;;;
1491;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2014;50.0;;;;
1492;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2015;100.0;;;;
1493;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2016;100.0;;;;
1494;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2017;100.0;;;;
1495;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2018;100.0;2.2;1.5;2.1;1.4
1496;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2019;100.0;;;;
1497;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2020;100.0;;;;
1498;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2021;100.0;;;;
1499;Male;Pos. in hh.: Child underage;Caribbean Netherlands;2022;150.0;2.7;2.3;2.7;2.3
1500;Male;Pos. in hh.: Child underage;Bonaire;2011;100.0;;;;
1501;Male;Pos. in hh.: Child underage;Bonaire;2012;50.0;;;;
1502;Male;Pos. in hh.: Child underage;Bonaire;2013;50.0;;;;
1503;Male;Pos. in hh.: Child underage;Bonaire;2014;50.0;;;;
1504;Male;Pos. in hh.: Child underage;Bonaire;2015;100.0;;;;
1505;Male;Pos. in hh.: Child underage;Bonaire;2016;100.0;;;;
1506;Male;Pos. in hh.: Child underage;Bonaire;2017;100.0;;;;
1507;Male;Pos. in hh.: Child underage;Bonaire;2018;100.0;;;;
1508;Male;Pos. in hh.: Child underage;Bonaire;2019;100.0;;;;
1509;Male;Pos. in hh.: Child underage;Bonaire;2020;50.0;;;;
1510;Male;Pos. in hh.: Child underage;Bonaire;2021;100.0;;;;
1511;Male;Pos. in hh.: Child underage;Bonaire;2022;100.0;2.6;2.2;2.5;2.2
1512;Male;Pos. in hh.: Child underage;St. Eustatius;2011;0.0;;;;
1513;Male;Pos. in hh.: Child underage;St. Eustatius;2012;0.0;;;;
1514;Male;Pos. in hh.: Child underage;St. Eustatius;2013;0.0;;;;
1515;Male;Pos. in hh.: Child underage;St. Eustatius;2014;0.0;;;;
1516;Male;Pos. in hh.: Child underage;St. Eustatius;2015;0.0;;;;
1517;Male;Pos. in hh.: Child underage;St. Eustatius;2016;0.0;;;;
1518;Male;Pos. in hh.: Child underage;St. Eustatius;2017;0.0;;;;
1519;Male;Pos. in hh.: Child underage;St. Eustatius;2018;0.0;;;;
1520;Male;Pos. in hh.: Child underage;St. Eustatius;2019;0.0;;;;
1521;Male;Pos. in hh.: Child underage;St. Eustatius;2020;0.0;;;;
1522;Male;Pos. in hh.: Child underage;St. Eustatius;2021;0.0;;;;
1523;Male;Pos. in hh.: Child underage;St. Eustatius;2022;0.0;;;;
1524;Male;Pos. in hh.: Child underage;Saba;2011;0.0;;;;
1525;Male;Pos. in hh.: Child underage;Saba;2012;0.0;;;;
1526;Male;Pos. in hh.: Child underage;Saba;2013;0.0;;;;
1527;Male;Pos. in hh.: Child underage;Saba;2014;0.0;;;;
1528;Male;Pos. in hh.: Child underage;Saba;2015;0.0;;;;
1529;Male;Pos. in hh.: Child underage;Saba;2016;0.0;;;;
1530;Male;Pos. in hh.: Child underage;Saba;2017;0.0;;;;
1531;Male;Pos. in hh.: Child underage;Saba;2018;0.0;;;;
1532;Male;Pos. in hh.: Child underage;Saba;2019;0.0;;;;
1533;Male;Pos. in hh.: Child underage;Saba;2020;0.0;;;;
1534;Male;Pos. in hh.: Child underage;Saba;2021;0.0;;;;
1535;Male;Pos. in hh.: Child underage;Saba;2022;0.0;;;;
1536;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2011;700.0;17.4;13.4;16.5;13.1
1537;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2012;750.0;18.3;14.4;17.3;14.0
1538;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2013;750.0;18.1;14.1;17.2;13.8
1539;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2014;850.0;19.2;15.0;18.2;14.6
1540;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2015;950.0;18.3;13.4;17.4;13.1
1541;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2016;950.0;18.8;14.1;17.6;13.8
1542;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2017;1050.0;19.7;14.6;18.4;14.1
1543;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2018;1100.0;19.8;14.7;18.7;14.4
1544;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2019;1150.0;19.6;14.8;18.6;14.5
1545;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2020;1150.0;20.3;14.5;18.8;14.3
1546;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2021;1200.0;19.8;14.8;18.6;14.6
1547;Male;Pos. in hh.: Child of age;Caribbean Netherlands;2022;1250.0;21.3;16.0;20.0;15.7
1548;Male;Pos. in hh.: Child of age;Bonaire;2011;600.0;16.2;13.1;15.4;12.9
1549;Male;Pos. in hh.: Child of age;Bonaire;2012;650.0;16.5;13.7;15.7;13.4
1550;Male;Pos. in hh.: Child of age;Bonaire;2013;650.0;16.5;13.7;15.7;13.4
1551;Male;Pos. in hh.: Child of age;Bonaire;2014;700.0;17.9;14.6;17.0;14.3
1552;Male;Pos. in hh.: Child of age;Bonaire;2015;800.0;17.0;13.0;16.1;12.8
1553;Male;Pos. in hh.: Child of age;Bonaire;2016;850.0;17.6;13.8;16.4;13.6
1554;Male;Pos. in hh.: Child of age;Bonaire;2017;900.0;18.2;13.8;16.9;13.5
1555;Male;Pos. in hh.: Child of age;Bonaire;2018;950.0;19.0;14.6;18.0;14.2
1556;Male;Pos. in hh.: Child of age;Bonaire;2019;950.0;18.6;14.3;17.6;14.1
1557;Male;Pos. in hh.: Child of age;Bonaire;2020;950.0;19.6;14.5;18.1;14.3
1558;Male;Pos. in hh.: Child of age;Bonaire;2021;1000.0;18.6;14.6;17.5;14.3
1559;Male;Pos. in hh.: Child of age;Bonaire;2022;1050.0;20.6;15.9;19.2;15.6
1560;Male;Pos. in hh.: Child of age;St. Eustatius;2011;100.0;;;;
1561;Male;Pos. in hh.: Child of age;St. Eustatius;2012;100.0;;;;
1562;Male;Pos. in hh.: Child of age;St. Eustatius;2013;100.0;;;;
1563;Male;Pos. in hh.: Child of age;St. Eustatius;2014;100.0;;;;
1564;Male;Pos. in hh.: Child of age;St. Eustatius;2015;100.0;;;;
1565;Male;Pos. in hh.: Child of age;St. Eustatius;2016;100.0;;;;
1566;Male;Pos. in hh.: Child of age;St. Eustatius;2017;100.0;33.5;24.0;32.1;23.5
1567;Male;Pos. in hh.: Child of age;St. Eustatius;2018;150.0;25.4;18.2;24.4;17.9
1568;Male;Pos. in hh.: Child of age;St. Eustatius;2019;150.0;28.1;18.9;26.9;18.7
1569;Male;Pos. in hh.: Child of age;St. Eustatius;2020;150.0;25.1;15.0;23.9;14.9
1570;Male;Pos. in hh.: Child of age;St. Eustatius;2021;150.0;26.9;18.2;25.6;17.9
1571;Male;Pos. in hh.: Child of age;St. Eustatius;2022;150.0;25.9;15.9;24.7;15.7
1572;Male;Pos. in hh.: Child of age;Saba;2011;50.0;;;;
1573;Male;Pos. in hh.: Child of age;Saba;2012;50.0;;;;
1574;Male;Pos. in hh.: Child of age;Saba;2013;50.0;;;;
1575;Male;Pos. in hh.: Child of age;Saba;2014;50.0;;;;
1576;Male;Pos. in hh.: Child of age;Saba;2015;50.0;;;;
1577;Male;Pos. in hh.: Child of age;Saba;2016;50.0;;;;
1578;Male;Pos. in hh.: Child of age;Saba;2017;50.0;;;;
1579;Male;Pos. in hh.: Child of age;Saba;2018;50.0;;;;
1580;Male;Pos. in hh.: Child of age;Saba;2019;50.0;;;;
1581;Male;Pos. in hh.: Child of age;Saba;2020;50.0;;;;
1582;Male;Pos. in hh.: Child of age;Saba;2021;50.0;;;;
1583;Male;Pos. in hh.: Child of age;Saba;2022;50.0;;;;
1584;Male;Pos. in hh.: Other member;Caribbean Netherlands;2011;700.0;15.7;11.8;14.9;11.6
1585;Male;Pos. in hh.: Other member;Caribbean Netherlands;2012;650.0;16.2;11.6;15.5;11.4
1586;Male;Pos. in hh.: Other member;Caribbean Netherlands;2013;700.0;16.6;12.0;15.9;11.8
1587;Male;Pos. in hh.: Other member;Caribbean Netherlands;2014;600.0;17.2;12.3;16.4;12.1
1588;Male;Pos. in hh.: Other member;Caribbean Netherlands;2015;650.0;17.9;14.0;17.2;13.7
1589;Male;Pos. in hh.: Other member;Caribbean Netherlands;2016;600.0;18.1;13.6;17.0;13.1
1590;Male;Pos. in hh.: Other member;Caribbean Netherlands;2017;550.0;18.3;13.5;17.3;13.3
1591;Male;Pos. in hh.: Other member;Caribbean Netherlands;2018;500.0;19.0;14.0;17.5;13.7
1592;Male;Pos. in hh.: Other member;Caribbean Netherlands;2019;550.0;18.7;13.9;17.5;13.4
1593;Male;Pos. in hh.: Other member;Caribbean Netherlands;2020;550.0;18.1;14.3;17.0;13.6
1594;Male;Pos. in hh.: Other member;Caribbean Netherlands;2021;650.0;16.9;13.1;15.8;12.7
1595;Male;Pos. in hh.: Other member;Caribbean Netherlands;2022;600.0;18.7;15.1;17.7;14.7
1596;Male;Pos. in hh.: Other member;Bonaire;2011;600.0;15.0;12.0;14.4;11.7
1597;Male;Pos. in hh.: Other member;Bonaire;2012;550.0;14.8;11.4;14.3;11.2
1598;Male;Pos. in hh.: Other member;Bonaire;2013;600.0;15.7;11.8;15.0;11.6
1599;Male;Pos. in hh.: Other member;Bonaire;2014;500.0;16.0;12.2;15.3;11.9
1600;Male;Pos. in hh.: Other member;Bonaire;2015;550.0;17.2;14.0;16.5;13.9
1601;Male;Pos. in hh.: Other member;Bonaire;2016;550.0;17.4;13.5;16.2;13.1
1602;Male;Pos. in hh.: Other member;Bonaire;2017;500.0;17.4;12.8;16.5;12.5
1603;Male;Pos. in hh.: Other member;Bonaire;2018;400.0;18.0;13.4;16.5;13.2
1604;Male;Pos. in hh.: Other member;Bonaire;2019;450.0;17.4;12.8;16.4;12.6
1605;Male;Pos. in hh.: Other member;Bonaire;2020;500.0;17.6;13.7;16.5;13.5
1606;Male;Pos. in hh.: Other member;Bonaire;2021;550.0;16.8;13.1;15.6;12.7
1607;Male;Pos. in hh.: Other member;Bonaire;2022;550.0;17.9;15.1;17.0;14.8
1608;Male;Pos. in hh.: Other member;St. Eustatius;2011;100.0;;;;
1609;Male;Pos. in hh.: Other member;St. Eustatius;2012;100.0;;;;
1610;Male;Pos. in hh.: Other member;St. Eustatius;2013;50.0;;;;
1611;Male;Pos. in hh.: Other member;St. Eustatius;2014;50.0;;;;
1612;Male;Pos. in hh.: Other member;St. Eustatius;2015;50.0;;;;
1613;Male;Pos. in hh.: Other member;St. Eustatius;2016;50.0;;;;
1614;Male;Pos. in hh.: Other member;St. Eustatius;2017;50.0;;;;
1615;Male;Pos. in hh.: Other member;St. Eustatius;2018;50.0;;;;
1616;Male;Pos. in hh.: Other member;St. Eustatius;2019;50.0;;;;
1617;Male;Pos. in hh.: Other member;St. Eustatius;2020;50.0;;;;
1618;Male;Pos. in hh.: Other member;St. Eustatius;2021;50.0;;;;
1619;Male;Pos. in hh.: Other member;St. Eustatius;2022;50.0;;;;
1620;Male;Pos. in hh.: Other member;Saba;2011;50.0;;;;
1621;Male;Pos. in hh.: Other member;Saba;2012;0.0;;;;
1622;Male;Pos. in hh.: Other member;Saba;2013;0.0;;;;
1623;Male;Pos. in hh.: Other member;Saba;2014;0.0;;;;
1624;Male;Pos. in hh.: Other member;Saba;2015;0.0;;;;
1625;Male;Pos. in hh.: Other member;Saba;2016;0.0;;;;
1626;Male;Pos. in hh.: Other member;Saba;2017;0.0;;;;
1627;Male;Pos. in hh.: Other member;Saba;2018;0.0;;;;
1628;Male;Pos. in hh.: Other member;Saba;2019;0.0;;;;
1629;Male;Pos. in hh.: Other member;Saba;2020;50.0;;;;
1630;Male;Pos. in hh.: Other member;Saba;2021;50.0;;;;
1631;Male;Pos. in hh.: Other member;Saba;2022;50.0;;;;
1632;Male;Age: younger than 20 years;Caribbean Netherlands;2011;200.0;4.6;2.4;4.5;2.4
1633;Male;Age: younger than 20 years;Caribbean Netherlands;2012;200.0;4.0;2.4;3.9;2.3
1634;Male;Age: younger than 20 years;Caribbean Netherlands;2013;200.0;3.8;2.9;3.8;2.9
1635;Male;Age: younger than 20 years;Caribbean Netherlands;2014;200.0;3.6;2.2;3.5;2.2
1636;Male;Age: younger than 20 years;Caribbean Netherlands;2015;250.0;3.0;1.7;2.9;1.6
1637;Male;Age: younger than 20 years;Caribbean Netherlands;2016;250.0;3.5;2.4;3.4;2.4
1638;Male;Age: younger than 20 years;Caribbean Netherlands;2017;250.0;3.5;2.2;3.5;2.2
1639;Male;Age: younger than 20 years;Caribbean Netherlands;2018;300.0;3.6;2.4;3.5;2.3
1640;Male;Age: younger than 20 years;Caribbean Netherlands;2019;300.0;4.2;2.7;4.1;2.7
1641;Male;Age: younger than 20 years;Caribbean Netherlands;2020;250.0;3.8;2.9;3.7;2.9
1642;Male;Age: younger than 20 years;Caribbean Netherlands;2021;300.0;3.7;2.8;3.7;2.8
1643;Male;Age: younger than 20 years;Caribbean Netherlands;2022;350.0;4.4;3.1;4.3;3.1
1644;Male;Age: younger than 20 years;Bonaire;2011;200.0;4.4;2.3;4.3;2.3
1645;Male;Age: younger than 20 years;Bonaire;2012;200.0;3.8;2.2;3.7;2.2
1646;Male;Age: younger than 20 years;Bonaire;2013;150.0;3.7;2.6;3.7;2.6
1647;Male;Age: younger than 20 years;Bonaire;2014;150.0;3.6;2.2;3.5;2.1
1648;Male;Age: younger than 20 years;Bonaire;2015;250.0;2.9;1.5;2.8;1.4
1649;Male;Age: younger than 20 years;Bonaire;2016;250.0;3.3;2.1;3.3;2.1
1650;Male;Age: younger than 20 years;Bonaire;2017;250.0;3.4;2.2;3.4;2.2
1651;Male;Age: younger than 20 years;Bonaire;2018;250.0;3.5;2.1;3.4;2.1
1652;Male;Age: younger than 20 years;Bonaire;2019;250.0;4.1;2.4;4.0;2.4
1653;Male;Age: younger than 20 years;Bonaire;2020;200.0;3.5;2.3;3.5;2.3
1654;Male;Age: younger than 20 years;Bonaire;2021;250.0;3.6;2.6;3.5;2.5
1655;Male;Age: younger than 20 years;Bonaire;2022;250.0;4.3;3.1;4.3;3.0
1656;Male;Age: younger than 20 years;St. Eustatius;2011;0.0;;;;
1657;Male;Age: younger than 20 years;St. Eustatius;2012;0.0;;;;
