ID;SectorBranches;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1;BusinessAgeInEventOfBankruptcy_2;EmployeesInEventOfBankruptcy_3
1238;J Information and communication;Total entities with/without legal pers.;2022 4th quarter;27;7.8;175.0
1239;J Information and communication;Total entities with/without legal pers.;2022;76;6.9;348.0
1240;J Information and communication;Companies and institutions;2015 1st quarter;66;8.6;223.0
1241;J Information and communication;Companies and institutions;2015 2nd quarter;52;8.2;189.0
1242;J Information and communication;Companies and institutions;2015 3rd quarter;54;9.3;244.0
1243;J Information and communication;Companies and institutions;2015 4th quarter;46;9.9;246.0
1244;J Information and communication;Companies and institutions;2015;218;9.0;901.0
1245;J Information and communication;Companies and institutions;2016 1st quarter;42;7.3;160.0
1246;J Information and communication;Companies and institutions;2016 2nd quarter;37;9.6;110.0
1247;J Information and communication;Companies and institutions;2016 3rd quarter;38;7.7;225.0
1248;J Information and communication;Companies and institutions;2016 4th quarter;34;7.9;148.0
1249;J Information and communication;Companies and institutions;2016;151;8.1;643.0
1250;J Information and communication;Companies and institutions;2017 1st quarter;35;7.2;162.0
1251;J Information and communication;Companies and institutions;2017 2nd quarter;45;6.5;206.0
1252;J Information and communication;Companies and institutions;2017 3rd quarter;33;8.7;113.0
1253;J Information and communication;Companies and institutions;2017 4th quarter;40;11.0;206.0
1254;J Information and communication;Companies and institutions;2017;153;8.3;686.0
1255;J Information and communication;Companies and institutions;2018 1st quarter;30;9.0;92.0
1256;J Information and communication;Companies and institutions;2018 2nd quarter;46;9.3;130.0
1257;J Information and communication;Companies and institutions;2018 3rd quarter;33;6.1;136.0
1258;J Information and communication;Companies and institutions;2018 4th quarter;42;7.9;294.0
1259;J Information and communication;Companies and institutions;2018;151;8.2;651.0
1260;J Information and communication;Companies and institutions;2019 1st quarter;32;7.8;273.0
1261;J Information and communication;Companies and institutions;2019 2nd quarter;32;6.9;167.0
1262;J Information and communication;Companies and institutions;2019 3rd quarter;31;6.6;126.0
1263;J Information and communication;Companies and institutions;2019 4th quarter;40;10.1;449.0
1264;J Information and communication;Companies and institutions;2019;135;8.0;1016.0
1265;J Information and communication;Companies and institutions;2020 1st quarter;34;7.4;214.0
1266;J Information and communication;Companies and institutions;2020 2nd quarter;20;10.6;75.0
1267;J Information and communication;Companies and institutions;2020 3rd quarter;17;7.0;68.0
1268;J Information and communication;Companies and institutions;2020 4th quarter;14;8.6;36.0
1269;J Information and communication;Companies and institutions;2020;85;8.2;393.0
1270;J Information and communication;Companies and institutions;2021 1st quarter;16;12.3;20.0
1271;J Information and communication;Companies and institutions;2021 2nd quarter;21;7.2;44.0
1272;J Information and communication;Companies and institutions;2021 3rd quarter;18;6.1;57.0
1273;J Information and communication;Companies and institutions;2021 4th quarter;18;5.1;32.0
1274;J Information and communication;Companies and institutions;2021;73;7.5;152.0
1275;J Information and communication;Companies and institutions;2022 1st quarter;15;6.2;41.0
1276;J Information and communication;Companies and institutions;2022 2nd quarter;14;6.4;62.0
1277;J Information and communication;Companies and institutions;2022 3rd quarter;16;7.6;66.0
1278;J Information and communication;Companies and institutions;2022 4th quarter;27;7.8;175.0
1279;J Information and communication;Companies and institutions;2022;72;7.1;344.0
1280;J Information and communication;Natural persons with sole proprietorship;2015 1st quarter;5;11.5;7.0
1281;J Information and communication;Natural persons with sole proprietorship;2015 2nd quarter;4;8.6;4.0
1282;J Information and communication;Natural persons with sole proprietorship;2015 3rd quarter;2;7.1;2.0
1283;J Information and communication;Natural persons with sole proprietorship;2015 4th quarter;2;4.7;2.0
1284;J Information and communication;Natural persons with sole proprietorship;2015;13;8.9;15.0
1285;J Information and communication;Natural persons with sole proprietorship;2016 1st quarter;2;11.4;2.0
1286;J Information and communication;Natural persons with sole proprietorship;2016 2nd quarter;1;16.0;1.0
1287;J Information and communication;Natural persons with sole proprietorship;2016 3rd quarter;1;15.3;2.0
1288;J Information and communication;Natural persons with sole proprietorship;2016 4th quarter;2;3.5;2.0
1289;J Information and communication;Natural persons with sole proprietorship;2016;6;10.2;7.0
1290;J Information and communication;Natural persons with sole proprietorship;2017 1st quarter;2;7.0;2.0
1291;J Information and communication;Natural persons with sole proprietorship;2017 2nd quarter;5;9.1;5.0
1292;J Information and communication;Natural persons with sole proprietorship;2017 3rd quarter;2;0.8;2.0
1293;J Information and communication;Natural persons with sole proprietorship;2017 4th quarter;2;13.2;9.0
1294;J Information and communication;Natural persons with sole proprietorship;2017;11;7.8;18.0
1295;J Information and communication;Natural persons with sole proprietorship;2018 1st quarter;3;6.5;3.0
1296;J Information and communication;Natural persons with sole proprietorship;2018 2nd quarter;0;;
1297;J Information and communication;Natural persons with sole proprietorship;2018 3rd quarter;2;6.0;4.0
1298;J Information and communication;Natural persons with sole proprietorship;2018 4th quarter;2;5.4;2.0
1299;J Information and communication;Natural persons with sole proprietorship;2018;7;6.0;9.0
1300;J Information and communication;Natural persons with sole proprietorship;2019 1st quarter;3;3.1;7.0
1301;J Information and communication;Natural persons with sole proprietorship;2019 2nd quarter;1;8.8;0.0
1302;J Information and communication;Natural persons with sole proprietorship;2019 3rd quarter;2;2.6;1.0
1303;J Information and communication;Natural persons with sole proprietorship;2019 4th quarter;3;13.5;3.0
1304;J Information and communication;Natural persons with sole proprietorship;2019;9;7.1;12.0
1305;J Information and communication;Natural persons with sole proprietorship;2020 1st quarter;0;;
1306;J Information and communication;Natural persons with sole proprietorship;2020 2nd quarter;1;16.5;0.0
1307;J Information and communication;Natural persons with sole proprietorship;2020 3rd quarter;0;;
1308;J Information and communication;Natural persons with sole proprietorship;2020 4th quarter;1;1.7;1.0
1309;J Information and communication;Natural persons with sole proprietorship;2020;2;9.1;2.0
1310;J Information and communication;Natural persons with sole proprietorship;2021 1st quarter;1;;1.0
1311;J Information and communication;Natural persons with sole proprietorship;2021 2nd quarter;1;;1.0
1312;J Information and communication;Natural persons with sole proprietorship;2021 3rd quarter;1;1.6;1.0
1313;J Information and communication;Natural persons with sole proprietorship;2021 4th quarter;0;;
1314;J Information and communication;Natural persons with sole proprietorship;2021;3;1.6;3.0
1315;J Information and communication;Natural persons with sole proprietorship;2022 1st quarter;1;1.6;1.0
1316;J Information and communication;Natural persons with sole proprietorship;2022 2nd quarter;3;3.8;2.0
1317;J Information and communication;Natural persons with sole proprietorship;2022 3rd quarter;0;;
1318;J Information and communication;Natural persons with sole proprietorship;2022 4th quarter;0;;
1319;J Information and communication;Natural persons with sole proprietorship;2022;4;3.2;3.0
1320;K Financial institutions;Total entities with/without legal pers.;2015 1st quarter;283;13.0;162.0
1321;K Financial institutions;Total entities with/without legal pers.;2015 2nd quarter;251;12.4;165.0
1322;K Financial institutions;Total entities with/without legal pers.;2015 3rd quarter;182;13.5;150.0
1323;K Financial institutions;Total entities with/without legal pers.;2015 4th quarter;234;12.4;132.0
1324;K Financial institutions;Total entities with/without legal pers.;2015;950;12.8;609.0
1325;K Financial institutions;Total entities with/without legal pers.;2016 1st quarter;212;12.1;189.0
1326;K Financial institutions;Total entities with/without legal pers.;2016 2nd quarter;198;13.0;179.0
1327;K Financial institutions;Total entities with/without legal pers.;2016 3rd quarter;155;13.0;140.0
1328;K Financial institutions;Total entities with/without legal pers.;2016 4th quarter;195;10.6;82.0
1329;K Financial institutions;Total entities with/without legal pers.;2016;760;12.2;590.0
1330;K Financial institutions;Total entities with/without legal pers.;2017 1st quarter;154;14.2;148.0
1331;K Financial institutions;Total entities with/without legal pers.;2017 2nd quarter;128;11.7;117.0
1332;K Financial institutions;Total entities with/without legal pers.;2017 3rd quarter;103;12.6;41.0
1333;K Financial institutions;Total entities with/without legal pers.;2017 4th quarter;102;13.2;99.0
1334;K Financial institutions;Total entities with/without legal pers.;2017;487;13.0;405.0
1335;K Financial institutions;Total entities with/without legal pers.;2018 1st quarter;127;14.9;109.0
1336;K Financial institutions;Total entities with/without legal pers.;2018 2nd quarter;106;12.0;98.0
1337;K Financial institutions;Total entities with/without legal pers.;2018 3rd quarter;88;10.9;39.0
1338;K Financial institutions;Total entities with/without legal pers.;2018 4th quarter;96;12.6;67.0
1339;K Financial institutions;Total entities with/without legal pers.;2018;417;12.8;313.0
1340;K Financial institutions;Total entities with/without legal pers.;2019 1st quarter;106;10.4;77.0
1341;K Financial institutions;Total entities with/without legal pers.;2019 2nd quarter;102;11.8;86.0
1342;K Financial institutions;Total entities with/without legal pers.;2019 3rd quarter;94;10.8;85.0
1343;K Financial institutions;Total entities with/without legal pers.;2019 4th quarter;96;9.0;138.0
1344;K Financial institutions;Total entities with/without legal pers.;2019;398;10.5;386.0
1345;K Financial institutions;Total entities with/without legal pers.;2020 1st quarter;100;12.3;93.0
1346;K Financial institutions;Total entities with/without legal pers.;2020 2nd quarter;91;12.3;88.0
1347;K Financial institutions;Total entities with/without legal pers.;2020 3rd quarter;65;8.8;29.0
1348;K Financial institutions;Total entities with/without legal pers.;2020 4th quarter;56;17.1;37.0
1349;K Financial institutions;Total entities with/without legal pers.;2020;312;12.5;248.0
1350;K Financial institutions;Total entities with/without legal pers.;2021 1st quarter;60;12.0;17.0
1351;K Financial institutions;Total entities with/without legal pers.;2021 2nd quarter;45;10.2;12.0
1352;K Financial institutions;Total entities with/without legal pers.;2021 3rd quarter;40;11.9;56.0
1353;K Financial institutions;Total entities with/without legal pers.;2021 4th quarter;43;12.1;19.0
1354;K Financial institutions;Total entities with/without legal pers.;2021;188;11.5;104.0
1355;K Financial institutions;Total entities with/without legal pers.;2022 1st quarter;40;14.4;33.0
1356;K Financial institutions;Total entities with/without legal pers.;2022 2nd quarter;38;11.0;137.0
1357;K Financial institutions;Total entities with/without legal pers.;2022 3rd quarter;44;13.0;56.0
1358;K Financial institutions;Total entities with/without legal pers.;2022 4th quarter;59;9.2;358.0
1359;K Financial institutions;Total entities with/without legal pers.;2022;181;11.7;584.0
1360;K Financial institutions;Companies and institutions;2015 1st quarter;280;12.9;159.0
1361;K Financial institutions;Companies and institutions;2015 2nd quarter;250;12.4;164.0
1362;K Financial institutions;Companies and institutions;2015 3rd quarter;181;13.5;149.0
1363;K Financial institutions;Companies and institutions;2015 4th quarter;234;12.4;132.0
1364;K Financial institutions;Companies and institutions;2015;945;12.7;604.0
1365;K Financial institutions;Companies and institutions;2016 1st quarter;211;12.0;186.0
1366;K Financial institutions;Companies and institutions;2016 2nd quarter;197;12.9;173.0
1367;K Financial institutions;Companies and institutions;2016 3rd quarter;155;13.0;140.0
1368;K Financial institutions;Companies and institutions;2016 4th quarter;195;10.6;82.0
1369;K Financial institutions;Companies and institutions;2016;758;12.1;581.0
1370;K Financial institutions;Companies and institutions;2017 1st quarter;154;14.2;148.0
1371;K Financial institutions;Companies and institutions;2017 2nd quarter;128;11.7;117.0
1372;K Financial institutions;Companies and institutions;2017 3rd quarter;103;12.6;41.0
1373;K Financial institutions;Companies and institutions;2017 4th quarter;102;13.2;99.0
1374;K Financial institutions;Companies and institutions;2017;487;13.0;405.0
1375;K Financial institutions;Companies and institutions;2018 1st quarter;127;14.9;109.0
1376;K Financial institutions;Companies and institutions;2018 2nd quarter;106;12.0;98.0
1377;K Financial institutions;Companies and institutions;2018 3rd quarter;88;10.9;39.0
1378;K Financial institutions;Companies and institutions;2018 4th quarter;96;12.6;67.0
1379;K Financial institutions;Companies and institutions;2018;417;12.8;313.0
1380;K Financial institutions;Companies and institutions;2019 1st quarter;105;10.5;76.0
1381;K Financial institutions;Companies and institutions;2019 2nd quarter;102;11.8;86.0
1382;K Financial institutions;Companies and institutions;2019 3rd quarter;93;10.9;84.0
1383;K Financial institutions;Companies and institutions;2019 4th quarter;96;9.0;138.0
1384;K Financial institutions;Companies and institutions;2019;396;10.5;384.0
1385;K Financial institutions;Companies and institutions;2020 1st quarter;100;12.3;93.0
1386;K Financial institutions;Companies and institutions;2020 2nd quarter;91;12.3;88.0
1387;K Financial institutions;Companies and institutions;2020 3rd quarter;65;8.8;29.0
1388;K Financial institutions;Companies and institutions;2020 4th quarter;56;17.1;37.0
1389;K Financial institutions;Companies and institutions;2020;312;12.5;248.0
1390;K Financial institutions;Companies and institutions;2021 1st quarter;60;12.0;17.0
1391;K Financial institutions;Companies and institutions;2021 2nd quarter;45;10.2;12.0
1392;K Financial institutions;Companies and institutions;2021 3rd quarter;40;11.9;56.0
1393;K Financial institutions;Companies and institutions;2021 4th quarter;43;12.1;19.0
1394;K Financial institutions;Companies and institutions;2021;188;11.5;104.0
1395;K Financial institutions;Companies and institutions;2022 1st quarter;40;14.4;33.0
1396;K Financial institutions;Companies and institutions;2022 2nd quarter;38;11.0;137.0
1397;K Financial institutions;Companies and institutions;2022 3rd quarter;44;13.0;56.0
1398;K Financial institutions;Companies and institutions;2022 4th quarter;58;9.3;356.0
1399;K Financial institutions;Companies and institutions;2022;180;11.7;583.0
1400;K Financial institutions;Natural persons with sole proprietorship;2015 1st quarter;3;23.5;3.0
1401;K Financial institutions;Natural persons with sole proprietorship;2015 2nd quarter;1;21.1;1.0
1402;K Financial institutions;Natural persons with sole proprietorship;2015 3rd quarter;1;20.7;1.0
1403;K Financial institutions;Natural persons with sole proprietorship;2015 4th quarter;0;;
1404;K Financial institutions;Natural persons with sole proprietorship;2015;5;22.4;5.0
1405;K Financial institutions;Natural persons with sole proprietorship;2016 1st quarter;1;26.2;3.0
1406;K Financial institutions;Natural persons with sole proprietorship;2016 2nd quarter;1;49.4;6.0
1407;K Financial institutions;Natural persons with sole proprietorship;2016 3rd quarter;0;;
1408;K Financial institutions;Natural persons with sole proprietorship;2016 4th quarter;0;;
1409;K Financial institutions;Natural persons with sole proprietorship;2016;2;37.8;9.0
1410;K Financial institutions;Natural persons with sole proprietorship;2017 1st quarter;0;;
1411;K Financial institutions;Natural persons with sole proprietorship;2017 2nd quarter;0;;
1412;K Financial institutions;Natural persons with sole proprietorship;2017 3rd quarter;0;;
1413;K Financial institutions;Natural persons with sole proprietorship;2017 4th quarter;0;;
1414;K Financial institutions;Natural persons with sole proprietorship;2017;0;;
1415;K Financial institutions;Natural persons with sole proprietorship;2018 1st quarter;0;;
1416;K Financial institutions;Natural persons with sole proprietorship;2018 2nd quarter;0;;
1417;K Financial institutions;Natural persons with sole proprietorship;2018 3rd quarter;0;;
1418;K Financial institutions;Natural persons with sole proprietorship;2018 4th quarter;0;;
1419;K Financial institutions;Natural persons with sole proprietorship;2018;0;;
1420;K Financial institutions;Natural persons with sole proprietorship;2019 1st quarter;1;4.2;1.0
1421;K Financial institutions;Natural persons with sole proprietorship;2019 2nd quarter;0;;
1422;K Financial institutions;Natural persons with sole proprietorship;2019 3rd quarter;1;4.2;1.0
1423;K Financial institutions;Natural persons with sole proprietorship;2019 4th quarter;0;;
1424;K Financial institutions;Natural persons with sole proprietorship;2019;2;4.2;2.0
1425;K Financial institutions;Natural persons with sole proprietorship;2020 1st quarter;0;;
1426;K Financial institutions;Natural persons with sole proprietorship;2020 2nd quarter;0;;
1427;K Financial institutions;Natural persons with sole proprietorship;2020 3rd quarter;0;;
1428;K Financial institutions;Natural persons with sole proprietorship;2020 4th quarter;0;;
1429;K Financial institutions;Natural persons with sole proprietorship;2020;0;;
1430;K Financial institutions;Natural persons with sole proprietorship;2021 1st quarter;0;;
1431;K Financial institutions;Natural persons with sole proprietorship;2021 2nd quarter;0;;
1432;K Financial institutions;Natural persons with sole proprietorship;2021 3rd quarter;0;;
1433;K Financial institutions;Natural persons with sole proprietorship;2021 4th quarter;0;;
1434;K Financial institutions;Natural persons with sole proprietorship;2021;0;;
1435;K Financial institutions;Natural persons with sole proprietorship;2022 1st quarter;0;;
1436;K Financial institutions;Natural persons with sole proprietorship;2022 2nd quarter;0;;
1437;K Financial institutions;Natural persons with sole proprietorship;2022 3rd quarter;0;;
1438;K Financial institutions;Natural persons with sole proprietorship;2022 4th quarter;1;5.6;1.0
1439;K Financial institutions;Natural persons with sole proprietorship;2022;1;5.6;1.0
1440;L Renting, buying, selling real estate;Total entities with/without legal pers.;2015 1st quarter;46;15.9;54.0
1441;L Renting, buying, selling real estate;Total entities with/without legal pers.;2015 2nd quarter;41;11.7;26.0
1442;L Renting, buying, selling real estate;Total entities with/without legal pers.;2015 3rd quarter;30;14.0;36.0
1443;L Renting, buying, selling real estate;Total entities with/without legal pers.;2015 4th quarter;36;14.1;2.0
1444;L Renting, buying, selling real estate;Total entities with/without legal pers.;2015;153;13.9;117.0
1445;L Renting, buying, selling real estate;Total entities with/without legal pers.;2016 1st quarter;47;10.7;37.0
1446;L Renting, buying, selling real estate;Total entities with/without legal pers.;2016 2nd quarter;29;18.7;22.0
1447;L Renting, buying, selling real estate;Total entities with/without legal pers.;2016 3rd quarter;37;18.0;21.0
1448;L Renting, buying, selling real estate;Total entities with/without legal pers.;2016 4th quarter;33;15.7;49.0
1449;L Renting, buying, selling real estate;Total entities with/without legal pers.;2016;146;15.3;129.0
1450;L Renting, buying, selling real estate;Total entities with/without legal pers.;2017 1st quarter;31;15.8;35.0
1451;L Renting, buying, selling real estate;Total entities with/without legal pers.;2017 2nd quarter;21;15.2;24.0
1452;L Renting, buying, selling real estate;Total entities with/without legal pers.;2017 3rd quarter;21;13.8;8.0
1453;L Renting, buying, selling real estate;Total entities with/without legal pers.;2017 4th quarter;23;16.3;59.0
1454;L Renting, buying, selling real estate;Total entities with/without legal pers.;2017;96;15.3;126.0
1455;L Renting, buying, selling real estate;Total entities with/without legal pers.;2018 1st quarter;14;15.0;20.0
1456;L Renting, buying, selling real estate;Total entities with/without legal pers.;2018 2nd quarter;17;10.1;14.0
1457;L Renting, buying, selling real estate;Total entities with/without legal pers.;2018 3rd quarter;13;15.6;17.0
1458;L Renting, buying, selling real estate;Total entities with/without legal pers.;2018 4th quarter;6;8.1;12.0
1459;L Renting, buying, selling real estate;Total entities with/without legal pers.;2018;50;12.7;63.0
1460;L Renting, buying, selling real estate;Total entities with/without legal pers.;2019 1st quarter;13;10.2;20.0
1461;L Renting, buying, selling real estate;Total entities with/without legal pers.;2019 2nd quarter;11;12.6;10.0
1462;L Renting, buying, selling real estate;Total entities with/without legal pers.;2019 3rd quarter;11;17.4;2.0
1463;L Renting, buying, selling real estate;Total entities with/without legal pers.;2019 4th quarter;18;15.4;6.0
1464;L Renting, buying, selling real estate;Total entities with/without legal pers.;2019;53;13.9;38.0
1465;L Renting, buying, selling real estate;Total entities with/without legal pers.;2020 1st quarter;10;13.4;3.0
1466;L Renting, buying, selling real estate;Total entities with/without legal pers.;2020 2nd quarter;16;14.2;16.0
1467;L Renting, buying, selling real estate;Total entities with/without legal pers.;2020 3rd quarter;9;19.6;75.0
1468;L Renting, buying, selling real estate;Total entities with/without legal pers.;2020 4th quarter;10;14.9;6.0
1469;L Renting, buying, selling real estate;Total entities with/without legal pers.;2020;45;15.4;101.0
1470;L Renting, buying, selling real estate;Total entities with/without legal pers.;2021 1st quarter;5;12.9;5.0
1471;L Renting, buying, selling real estate;Total entities with/without legal pers.;2021 2nd quarter;11;15.7;4.0
1472;L Renting, buying, selling real estate;Total entities with/without legal pers.;2021 3rd quarter;4;4.7;0.0
1473;L Renting, buying, selling real estate;Total entities with/without legal pers.;2021 4th quarter;10;11.2;13.0
1474;L Renting, buying, selling real estate;Total entities with/without legal pers.;2021;30;12.3;22.0
1475;L Renting, buying, selling real estate;Total entities with/without legal pers.;2022 1st quarter;15;8.1;1.0
1476;L Renting, buying, selling real estate;Total entities with/without legal pers.;2022 2nd quarter;6;3.7;4.0
1477;L Renting, buying, selling real estate;Total entities with/without legal pers.;2022 3rd quarter;2;4.3;0.0
1478;L Renting, buying, selling real estate;Total entities with/without legal pers.;2022 4th quarter;14;14.4;40.0
1479;L Renting, buying, selling real estate;Total entities with/without legal pers.;2022;37;9.7;45.0
1480;L Renting, buying, selling real estate;Companies and institutions;2015 1st quarter;46;15.9;54.0
1481;L Renting, buying, selling real estate;Companies and institutions;2015 2nd quarter;39;11.9;24.0
1482;L Renting, buying, selling real estate;Companies and institutions;2015 3rd quarter;30;14.0;36.0
1483;L Renting, buying, selling real estate;Companies and institutions;2015 4th quarter;36;14.1;2.0
1484;L Renting, buying, selling real estate;Companies and institutions;2015;151;14.0;115.0
1485;L Renting, buying, selling real estate;Companies and institutions;2016 1st quarter;47;10.7;37.0
1486;L Renting, buying, selling real estate;Companies and institutions;2016 2nd quarter;28;19.3;22.0
1487;L Renting, buying, selling real estate;Companies and institutions;2016 3rd quarter;37;18.0;21.0
1488;L Renting, buying, selling real estate;Companies and institutions;2016 4th quarter;32;16.1;48.0
1489;L Renting, buying, selling real estate;Companies and institutions;2016;144;15.4;128.0
1490;L Renting, buying, selling real estate;Companies and institutions;2017 1st quarter;28;16.5;31.0
1491;L Renting, buying, selling real estate;Companies and institutions;2017 2nd quarter;21;15.2;24.0
1492;L Renting, buying, selling real estate;Companies and institutions;2017 3rd quarter;21;13.8;8.0
1493;L Renting, buying, selling real estate;Companies and institutions;2017 4th quarter;22;16.2;58.0
1494;L Renting, buying, selling real estate;Companies and institutions;2017;92;15.5;121.0
1495;L Renting, buying, selling real estate;Companies and institutions;2018 1st quarter;14;15.0;20.0
1496;L Renting, buying, selling real estate;Companies and institutions;2018 2nd quarter;17;10.1;14.0
1497;L Renting, buying, selling real estate;Companies and institutions;2018 3rd quarter;11;14.5;15.0
1498;L Renting, buying, selling real estate;Companies and institutions;2018 4th quarter;6;8.1;12.0
1499;L Renting, buying, selling real estate;Companies and institutions;2018;48;12.4;61.0
1500;L Renting, buying, selling real estate;Companies and institutions;2019 1st quarter;13;10.2;20.0
1501;L Renting, buying, selling real estate;Companies and institutions;2019 2nd quarter;11;12.6;10.0
1502;L Renting, buying, selling real estate;Companies and institutions;2019 3rd quarter;11;17.4;2.0
1503;L Renting, buying, selling real estate;Companies and institutions;2019 4th quarter;18;15.4;6.0
1504;L Renting, buying, selling real estate;Companies and institutions;2019;53;13.9;38.0
1505;L Renting, buying, selling real estate;Companies and institutions;2020 1st quarter;10;13.4;3.0
1506;L Renting, buying, selling real estate;Companies and institutions;2020 2nd quarter;14;9.4;12.0
1507;L Renting, buying, selling real estate;Companies and institutions;2020 3rd quarter;9;19.6;75.0
1508;L Renting, buying, selling real estate;Companies and institutions;2020 4th quarter;9;15.8;6.0
1509;L Renting, buying, selling real estate;Companies and institutions;2020;42;14.1;96.0
1510;L Renting, buying, selling real estate;Companies and institutions;2021 1st quarter;5;12.9;5.0
1511;L Renting, buying, selling real estate;Companies and institutions;2021 2nd quarter;10;15.4;3.0
1512;L Renting, buying, selling real estate;Companies and institutions;2021 3rd quarter;4;4.7;0.0
1513;L Renting, buying, selling real estate;Companies and institutions;2021 4th quarter;10;11.2;13.0
1514;L Renting, buying, selling real estate;Companies and institutions;2021;29;12.1;21.0
1515;L Renting, buying, selling real estate;Companies and institutions;2022 1st quarter;15;8.1;1.0
1516;L Renting, buying, selling real estate;Companies and institutions;2022 2nd quarter;5;3.7;3.0
1517;L Renting, buying, selling real estate;Companies and institutions;2022 3rd quarter;2;4.3;0.0
1518;L Renting, buying, selling real estate;Companies and institutions;2022 4th quarter;13;15.2;39.0
1519;L Renting, buying, selling real estate;Companies and institutions;2022;35;9.9;44.0
1520;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2015 1st quarter;0;;
1521;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2015 2nd quarter;2;7.8;2.0
1522;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2015 3rd quarter;0;;
1523;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2015 4th quarter;0;;
1524;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2015;2;7.8;2.0
1525;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2016 1st quarter;0;;
1526;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2016 2nd quarter;1;3.1;0.0
1527;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2016 3rd quarter;0;;
1528;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2016 4th quarter;1;3.0;1.0
1529;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2016;2;3.1;1.0
1530;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2017 1st quarter;3;9.7;4.0
1531;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2017 2nd quarter;0;;
1532;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2017 3rd quarter;0;;
1533;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2017 4th quarter;1;19.6;1.0
1534;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2017;4;12.1;5.0
1535;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2018 1st quarter;0;;
1536;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2018 2nd quarter;0;;
1537;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2018 3rd quarter;2;20.3;2.0
1538;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2018 4th quarter;0;;
1539;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2018;2;20.3;2.0
1540;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2019 1st quarter;0;;
1541;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2019 2nd quarter;0;;
1542;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2019 3rd quarter;0;;
1543;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2019 4th quarter;0;;
1544;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2019;0;;
1545;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2020 1st quarter;0;;
1546;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2020 2nd quarter;2;43.3;4.0
1547;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2020 3rd quarter;0;;
1548;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2020 4th quarter;1;7.4;1.0
1549;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2020;3;31.3;5.0
1550;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2021 1st quarter;0;;
1551;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2021 2nd quarter;1;18.4;1.0
1552;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2021 3rd quarter;0;;
1553;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2021 4th quarter;0;;
1554;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2021;1;18.4;1.0
1555;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2022 1st quarter;0;;
1556;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2022 2nd quarter;1;;1.0
1557;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2022 3rd quarter;0;;
1558;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2022 4th quarter;1;5.0;0.0
1559;L Renting, buying, selling real estate;Natural persons with sole proprietorship;2022;2;5.0;1.0
1560;M Other specialised business services;Total entities with/without legal pers.;2015 1st quarter;213;12.6;695.0
1561;M Other specialised business services;Total entities with/without legal pers.;2015 2nd quarter;158;11.5;505.0
1562;M Other specialised business services;Total entities with/without legal pers.;2015 3rd quarter;155;11.5;916.0
1563;M Other specialised business services;Total entities with/without legal pers.;2015 4th quarter;142;10.8;475.0
1564;M Other specialised business services;Total entities with/without legal pers.;2015;668;11.7;2592.0
1565;M Other specialised business services;Total entities with/without legal pers.;2016 1st quarter;160;10.9;322.0
1566;M Other specialised business services;Total entities with/without legal pers.;2016 2nd quarter;148;11.7;539.0
1567;M Other specialised business services;Total entities with/without legal pers.;2016 3rd quarter;133;11.2;393.0
1568;M Other specialised business services;Total entities with/without legal pers.;2016 4th quarter;127;10.2;583.0
1569;M Other specialised business services;Total entities with/without legal pers.;2016;568;11.0;1837.0
1570;M Other specialised business services;Total entities with/without legal pers.;2017 1st quarter;127;11.4;444.0
