ID;EmploymentType;Sex;Periods;EmployedPersons_1;Jobs_2;HoursWorked_3;HoursWorkedPerEmployedPerson_4;HoursWorkedPerJob_5;EmployedPersons_6;Jobs_7;HoursWorked_8;HoursWorkedPerEmployedPerson_9;HoursWorkedPerJob_10
543;Self-employed;Male;2013 4th quarter;729;1019;426;585;418;741.0;1030.0;408.0;551.0;396.0
544;Self-employed;Male;2013;727;1016;1600;2200;1574;;;;;
545;Self-employed;Male;2014 1st quarter;745;1034;394;528;381;747.0;1035.0;406.0;544.0;393.0
546;Self-employed;Male;2014 2nd quarter;751;1045;425;566;407;749.0;1039.0;416.0;555.0;400.0
547;Self-employed;Male;2014 3rd quarter;737;1024;391;531;382;745.0;1038.0;405.0;543.0;390.0
548;Self-employed;Male;2014 4th quarter;751;1053;440;586;418;745.0;1048.0;422.0;566.0;402.0
549;Self-employed;Male;2014;746;1039;1650;2212;1588;;;;;
550;Self-employed;Male;2015 1st quarter;745;1055;402;540;381;746.0;1057.0;416.0;557.0;393.0
551;Self-employed;Male;2015 2nd quarter;742;1055;428;577;406;746.0;1059.0;419.0;562.0;396.0
552;Self-employed;Male;2015 3rd quarter;760;1076;419;551;389;751.0;1063.0;431.0;574.0;405.0
553;Self-employed;Male;2015 4th quarter;742;1052;445;599;423;753.0;1066.0;428.0;568.0;401.0
554;Self-employed;Male;2015;747;1059;1694;2266;1599;;;;;
555;Self-employed;Male;2016 1st quarter;755;1078;419;555;389;754.0;1069.0;432.0;574.0;405.0
556;Self-employed;Male;2016 2nd quarter;759;1078;439;579;408;758.0;1075.0;431.0;569.0;401.0
557;Self-employed;Male;2016 3rd quarter;758;1073;419;553;390;759.0;1076.0;431.0;568.0;401.0
558;Self-employed;Male;2016 4th quarter;758;1075;454;599;423;758.0;1074.0;437.0;576.0;407.0
559;Self-employed;Male;2016;757;1076;1731;2286;1609;;;;;
560;Self-employed;Male;2017 1st quarter;760;1084;421;553;388;760.0;1078.0;433.0;571.0;402.0
561;Self-employed;Male;2017 2nd quarter;768;1094;457;595;417;762.0;1084.0;448.0;588.0;414.0
562;Self-employed;Male;2017 3rd quarter;768;1085;429;559;396;768.0;1094.0;442.0;576.0;405.0
563;Self-employed;Male;2017 4th quarter;765;1097;460;601;419;774.0;1104.0;442.0;571.0;400.0
564;Self-employed;Male;2017;765;1090;1766;2308;1621;;;;;
565;Self-employed;Male;2018 1st quarter;786;1123;434;552;387;776.0;1108.0;446.0;575.0;402.0
566;Self-employed;Male;2018 2nd quarter;770;1099;450;584;410;780.0;1114.0;442.0;566.0;396.0
567;Self-employed;Male;2018 3rd quarter;796;1130;439;552;389;787.0;1122.0;455.0;578.0;405.0
568;Self-employed;Male;2018 4th quarter;775;1109;471;608;425;795.0;1126.0;453.0;570.0;402.0
569;Self-employed;Male;2018;782;1115;1795;2295;1609;;;;;
570;Self-employed;Male;2019 1st quarter;817;1145;451;552;394;800.0;1129.0;462.0;577.0;409.0
571;Self-employed;Male;2019 2nd quarter;805;1132;471;586;416;802.0;1133.0;462.0;576.0;408.0
572;Self-employed;Male;2019 3rd quarter;797;1131;427;535;377;804.0;1139.0;443.0;551.0;389.0
573;Self-employed;Male;2019 4th quarter;812;1152;484;596;420;807.0;1145.0;466.0;578.0;407.0
574;Self-employed;Male;2019;808;1140;1833;2270;1608;;;;;
575;Self-employed;Male;2020 1st quarter;811;1145;430;530;375;809.0;1145.0;439.0;543.0;383.0
576;Self-employed;Male;2020 2nd quarter;818;1152;422;517;367;813.0;1143.0;413.0;508.0;361.0
577;Self-employed;Male;2020 3rd quarter;814;1139;431;530;378;821.0;1148.0;449.0;547.0;391.0
578;Self-employed;Male;2020 4th quarter;822;1156;458;558;396;833.0;1161.0;441.0;529.0;379.0
579;Self-employed;Male;2020;816;1148;1741;2134;1517;;;;;
580;Self-employed;Male;2021 1st quarter;864;1213;473;547;390;847.0;1182.0;479.0;565.0;405.0
581;Self-employed;Male;2021 2nd quarter;845;1193;474;561;397;846.0;1188.0;465.0;550.0;392.0
582;Self-employed;Male;2021 3rd quarter;825;1163;428;518;368;833.0;1181.0;448.0;537.0;379.0
583;Self-employed;Male;2021 4th quarter;835;1186;458;549;386;835.0;1188.0;442.0;529.0;372.0
584;Self-employed;Male;2021;842;1188;1832;2176;1542;;;;;
585;Self-employed;Male;2022 1st quarter;862;1222;471;547;386;854.0;1212.0;478.0;560.0;395.0
586;Self-employed;Male;2022 2nd quarter;877;1238;490;559;396;884.0;1245.0;480.0;543.0;386.0
587;Self-employed;Male;2022 3rd quarter;913;1274;470;515;369;909.0;1272.0;492.0;541.0;387.0
588;Self-employed;Male;2022 4th quarter;920;1286;510;555;397;912.0;1279.0;492.0;539.0;385.0
589;Self-employed;Male;2022;893;1255;1942;2174;1547;;;;;
590;Self-employed;Male;2023 1st quarter;894;1269;487;545;384;903.0;1276.0;494.0;547.0;387.0
591;Self-employed;Male;2023 2nd quarter;900;1276;500;556;392;907.0;1286.0;490.0;540.0;381.0
592;Self-employed;Male;2023 3rd quarter;938;1315;480;512;365;928.0;1308.0;503.0;542.0;385.0
593;Self-employed;Male;2023 4th quarter;956;1343;524;548;391;946.0;1325.0;505.0;534.0;382.0
594;Self-employed;Male;2023;922;1301;1992;2160;1532;;;;;
595;Self-employed;Male;2024 1st quarter;952;1318;496;521;376;955.0;1333.0;503.0;526.0;377.0
596;Self-employed;Male;2024 2nd quarter;951;1340;520;547;388;959.0;1342.0;510.0;531.0;380.0
597;Self-employed;Male;2024 3rd quarter;972;1361;488;502;359;961.0;1351.0;511.0;532.0;378.0
598;Self-employed;Male;2024 4th quarter;967;1364;520;538;381;965.0;1362.0;501.0;519.0;368.0
599;Self-employed;Male;2024;961;1346;2024;2107;1504;;;;;
600;Self-employed;Female;2010 1st quarter;692;984;233;336;237;688.0;973.0;236.0;343.0;242.0
601;Self-employed;Female;2010 2nd quarter;689;975;237;344;243;689.0;975.0;234.0;339.0;240.0
602;Self-employed;Female;2010 3rd quarter;685;967;227;331;234;688.0;973.0;235.0;341.0;241.0
603;Self-employed;Female;2010 4th quarter;690;971;246;356;253;689.0;974.0;237.0;344.0;243.0
604;Self-employed;Female;2010;689;974;942;1367;967;;;;;
605;Self-employed;Female;2011 1st quarter;704;996;232;330;233;693.0;981.0;236.0;341.0;240.0
606;Self-employed;Female;2011 2nd quarter;692;987;242;349;245;696.0;990.0;239.0;343.0;241.0
607;Self-employed;Female;2011 3rd quarter;697;994;231;331;232;698.0;999.0;240.0;343.0;240.0
608;Self-employed;Female;2011 4th quarter;701;1007;257;366;255;702.0;1006.0;246.0;350.0;244.0
609;Self-employed;Female;2011;698;996;961;1376;965;;;;;
610;Self-employed;Female;2012 1st quarter;707;1008;241;341;239;704.0;1005.0;246.0;349.0;244.0
611;Self-employed;Female;2012 2nd quarter;699;997;245;350;246;705.0;1001.0;241.0;343.0;241.0
612;Self-employed;Female;2012 3rd quarter;705;998;229;325;230;705.0;999.0;239.0;339.0;239.0
613;Self-employed;Female;2012 4th quarter;716;1010;259;362;256;707.0;1000.0;248.0;350.0;248.0
614;Self-employed;Female;2012;707;1003;974;1378;971;;;;;
615;Self-employed;Female;2013 1st quarter;707;1001;234;330;234;710.0;1006.0;238.0;336.0;237.0
616;Self-employed;Female;2013 2nd quarter;712;1015;252;354;248;716.0;1016.0;248.0;347.0;244.0
617;Self-employed;Female;2013 3rd quarter;719;1022;242;337;237;721.0;1022.0;253.0;351.0;248.0
618;Self-employed;Female;2013 4th quarter;722;1019;265;366;260;721.0;1022.0;252.0;349.0;246.0
619;Self-employed;Female;2013;715;1014;992;1388;978;;;;;
620;Self-employed;Female;2014 1st quarter;714;1012;244;342;241;722.0;1021.0;250.0;346.0;245.0
621;Self-employed;Female;2014 2nd quarter;724;1027;258;356;251;724.0;1022.0;254.0;351.0;249.0
622;Self-employed;Female;2014 3rd quarter;725;1025;239;330;233;728.0;1031.0;249.0;342.0;242.0
623;Self-employed;Female;2014 4th quarter;740;1049;273;369;260;730.0;1037.0;259.0;355.0;250.0
624;Self-employed;Female;2014;726;1028;1014;1397;987;;;;;
625;Self-employed;Female;2015 1st quarter;719;1026;242;337;236;732.0;1042.0;249.0;340.0;239.0
626;Self-employed;Female;2015 2nd quarter;738;1056;262;355;248;734.0;1050.0;258.0;352.0;246.0
627;Self-employed;Female;2015 3rd quarter;735;1050;251;342;239;736.0;1055.0;263.0;357.0;249.0
628;Self-employed;Female;2015 4th quarter;737;1056;278;378;264;737.0;1058.0;264.0;358.0;250.0
629;Self-employed;Female;2015;732;1047;1034;1412;987;;;;;
630;Self-employed;Female;2016 1st quarter;746;1071;263;353;246;739.0;1064.0;270.0;365.0;253.0
631;Self-employed;Female;2016 2nd quarter;735;1059;270;367;254;739.0;1062.0;265.0;359.0;250.0
632;Self-employed;Female;2016 3rd quarter;738;1057;254;344;240;742.0;1063.0;265.0;357.0;249.0
633;Self-employed;Female;2016 4th quarter;752;1074;288;383;268;750.0;1074.0;274.0;365.0;255.0
634;Self-employed;Female;2016;743;1065;1074;1446;1008;;;;;
635;Self-employed;Female;2017 1st quarter;753;1078;263;349;244;753.0;1080.0;270.0;358.0;250.0
636;Self-employed;Female;2017 2nd quarter;752;1082;279;371;258;754.0;1084.0;275.0;364.0;253.0
637;Self-employed;Female;2017 3rd quarter;755;1086;264;349;243;755.0;1087.0;276.0;366.0;254.0
638;Self-employed;Female;2017 4th quarter;754;1087;289;383;266;757.0;1087.0;275.0;363.0;253.0
639;Self-employed;Female;2017;754;1083;1095;1453;1011;;;;;
640;Self-employed;Female;2018 1st quarter;761;1090;271;355;248;762.0;1093.0;277.0;364.0;254.0
641;Self-employed;Female;2018 2nd quarter;767;1105;281;367;254;768.0;1105.0;276.0;360.0;250.0
642;Self-employed;Female;2018 3rd quarter;770;1111;275;358;248;769.0;1109.0;288.0;375.0;260.0
643;Self-employed;Female;2018 4th quarter;757;1096;297;392;271;767.0;1106.0;283.0;369.0;256.0
644;Self-employed;Female;2018;764;1101;1124;1472;1021;;;;;
645;Self-employed;Female;2019 1st quarter;775;1109;283;365;255;768.0;1104.0;290.0;377.0;262.0
646;Self-employed;Female;2019 2nd quarter;770;1105;300;390;272;767.0;1103.0;294.0;384.0;267.0
647;Self-employed;Female;2019 3rd quarter;759;1100;276;364;251;767.0;1108.0;289.0;377.0;261.0
648;Self-employed;Female;2019 4th quarter;785;1139;313;399;275;773.0;1118.0;299.0;387.0;267.0
649;Self-employed;Female;2019;772;1113;1173;1519;1053;;;;;
650;Self-employed;Female;2020 1st quarter;772;1115;278;360;249;774.0;1119.0;284.0;367.0;254.0
651;Self-employed;Female;2020 2nd quarter;768;1112;246;320;221;772.0;1114.0;241.0;312.0;216.0
652;Self-employed;Female;2020 3rd quarter;775;1113;266;343;239;773.0;1111.0;279.0;361.0;251.0
653;Self-employed;Female;2020 4th quarter;773;1112;281;364;253;772.0;1109.0;269.0;349.0;243.0
654;Self-employed;Female;2020;772;1113;1070;1386;962;;;;;
655;Self-employed;Female;2021 1st quarter;762;1097;274;360;250;776.0;1117.0;278.0;358.0;249.0
656;Self-employed;Female;2021 2nd quarter;788;1133;295;374;260;790.0;1136.0;289.0;366.0;255.0
657;Self-employed;Female;2021 3rd quarter;803;1157;281;350;243;802.0;1150.0;295.0;368.0;256.0
658;Self-employed;Female;2021 4th quarter;813;1167;309;379;264;809.0;1159.0;296.0;366.0;255.0
659;Self-employed;Female;2021;792;1139;1158;1463;1017;;;;;
660;Self-employed;Female;2022 1st quarter;818;1174;297;364;253;815.0;1168.0;300.0;368.0;257.0
661;Self-employed;Female;2022 2nd quarter;819;1175;307;375;261;822.0;1180.0;301.0;367.0;255.0
662;Self-employed;Female;2022 3rd quarter;835;1199;296;354;247;838.0;1202.0;311.0;372.0;259.0
663;Self-employed;Female;2022 4th quarter;864;1236;322;373;261;859.0;1229.0;310.0;361.0;252.0
664;Self-employed;Female;2022;834;1196;1222;1465;1021;;;;;
665;Self-employed;Female;2023 1st quarter;867;1247;311;359;250;868.0;1244.0;314.0;361.0;252.0
666;Self-employed;Female;2023 2nd quarter;863;1234;324;376;263;863.0;1240.0;318.0;369.0;257.0
667;Self-employed;Female;2023 3rd quarter;852;1233;295;347;240;854.0;1233.0;312.0;365.0;253.0
668;Self-employed;Female;2023 4th quarter;852;1233;321;376;260;850.0;1232.0;309.0;363.0;251.0
669;Self-employed;Female;2023;859;1237;1252;1458;1012;;;;;
670;Self-employed;Female;2024 1st quarter;854;1235;308;360;249;855.0;1237.0;310.0;363.0;251.0
671;Self-employed;Female;2024 2nd quarter;866;1245;318;368;256;864.0;1246.0;312.0;361.0;250.0
672;Self-employed;Female;2024 3rd quarter;865;1250;292;337;233;868.0;1250.0;308.0;355.0;246.0
673;Self-employed;Female;2024 4th quarter;867;1243;325;374;261;869.0;1249.0;312.0;360.0;250.0
674;Self-employed;Female;2024;863;1243;1242;1439;999;;;;;
