ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
3759;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2004;315.0;182.0;160.0;22.0;134.0;57.6;50.7;11.9
3760;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2005;333.0;197.0;169.0;27.0;136.0;59.1;50.9;13.9
3761;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2006;317.0;182.0;160.0;22.0;135.0;57.4;50.4;12.2
3762;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2007;317.0;186.0;169.0;17.0;131.0;58.7;53.3;9.2
3763;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2008;267.0;168.0;154.0;13.0;99.0;62.8;57.8;8.0
3764;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2009;250.0;152.0;138.0;14.0;97.0;61.0;55.4;9.0
3765;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2010;259.0;147.0;133.0;15.0;111.0;56.9;51.2;10.1
3766;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2011;278.0;162.0;143.0;19.0;117.0;58.1;51.4;11.5
3767;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;2;2012;;;;;;;;
3768;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2001;;;;;;;;
3769;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2002;;;;;;;;
3770;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2003;;;;;;;;
3771;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2004;;;;;;;;
3772;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2005;;;;;;;;
3773;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2006;;;;;;;;
3774;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2007;;;;;;;;
3775;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2008;;;;;;;;
3776;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2009;15.0;12.0;11.0;;3.0;79.0;74.2;
3777;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2010;15.0;11.0;10.0;;4.0;73.2;66.7;
3778;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2011;;;;;;;;
3779;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;3;2012;;;;;;;;
3780;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2001;;;;;;;;
3781;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2002;;;;;;;;
3782;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2003;;;;;;;;
3783;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2004;;;;;;;;
3784;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2005;;;;;;;;
3785;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2006;;;;;;;;
3786;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2007;;;;;;;;
3787;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2008;;;;;;;;
3788;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2009;;;;;;;;
3789;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2010;15.0;11.0;10.0;;4.0;72.2;65.1;
3790;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2011;15.0;12.0;10.0;2.0;3.0;78.9;65.4;17.1
3791;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;4;2012;;;;;;;;
3792;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2001;132.0;98.0;94.0;4.0;34.0;73.9;71.0;3.9
3793;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2002;131.0;96.0;90.0;6.0;35.0;73.0;68.4;6.3
3794;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2003;138.0;104.0;95.0;9.0;34.0;75.1;68.8;8.3
3795;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2004;124.0;94.0;84.0;10.0;30.0;76.1;68.1;10.5
3796;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2005;117.0;92.0;81.0;11.0;26.0;78.1;69.1;11.5
3797;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2006;118.0;92.0;82.0;10.0;25.0;78.4;69.6;11.2
3798;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2007;130.0;102.0;93.0;9.0;28.0;78.5;71.8;8.6
3799;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2008;149.0;116.0;109.0;7.0;33.0;77.8;72.9;6.3
3800;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2009;168.0;128.0;117.0;11.0;40.0;75.9;69.4;8.6
3801;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2010;164.0;121.0;108.0;13.0;43.0;73.8;65.9;10.7
3802;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2011;164.0;122.0;108.0;14.0;42.0;74.7;65.8;11.8
3803;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;5;2012;;;;;;;;
3804;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2001;17.0;14.0;13.0;;3.0;83.0;81.2;
3805;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2002;17.0;13.0;12.0;;4.0;75.6;74.0;
3806;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2003;19.0;15.0;14.0;;4.0;77.6;73.3;
3807;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2004;16.0;13.0;12.0;;2.0;85.8;80.4;
3808;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2005;15.0;12.0;11.0;;2.0;84.2;77.1;
3809;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2006;16.0;13.0;12.0;;3.0;81.4;74.9;
3810;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2007;18.0;15.0;13.0;;4.0;80.5;73.3;
3811;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2008;18.0;14.0;13.0;;4.0;79.6;73.0;
3812;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2009;22.0;19.0;17.0;2.0;4.0;82.4;74.6;9.4
3813;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2010;22.0;18.0;16.0;2.0;4.0;81.3;74.2;8.8
3814;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2011;21.0;16.0;15.0;;5.0;77.4;71.7;
3815;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;6;2012;;;;;;;;
3816;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2001;;;;;;;;
3817;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2002;;;;;;;;
3818;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2003;;;;;;;;
3819;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2004;17.0;13.0;12.0;;4.0;75.6;68.7;
3820;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2005;20.0;15.0;13.0;2.0;4.0;77.2;67.0;13.2
3821;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2006;18.0;13.0;12.0;2.0;5.0;74.3;65.3;12.1
3822;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2007;;;;;;;;
3823;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2008;;;;;;;;
3824;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2009;16.0;13.0;12.0;;3.0;79.7;72.5;
3825;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2010;19.0;15.0;14.0;;4.0;78.4;71.9;
3826;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2011;20.0;16.0;14.0;2.0;4.0;80.7;69.5;13.9
3827;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;7;2012;;;;;;;;
3828;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2001;107.0;86.0;83.0;3.0;21.0;80.6;77.5;3.9
3829;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2002;106.0;87.0;84.0;3.0;18.0;82.5;79.5;3.7
3830;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2003;118.0;95.0;89.0;6.0;23.0;80.7;75.5;6.5
3831;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2004;110.0;88.0;80.0;8.0;22.0;80.1;73.1;8.7
3832;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2005;102.0;84.0;79.0;6.0;18.0;82.3;76.7;6.8
3833;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2006;104.0;86.0;80.0;6.0;18.0;82.4;76.9;6.6
3834;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2007;102.0;85.0;82.0;3.0;18.0;82.8;79.8;3.6
3835;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2008;121.0;102.0;96.0;5.0;19.0;84.2;80.0;4.9
3836;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2009;125.0;104.0;95.0;9.0;22.0;82.7;75.7;8.5
3837;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2010;120.0;95.0;87.0;8.0;25.0;79.2;72.7;8.2
3838;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2011;130.0;106.0;97.0;8.0;24.0;81.3;74.8;8.1
3839;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;8;2012;;;;;;;;
3840;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2001;;;;;;;;
3841;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2002;;;;;;;;
3842;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2003;;;;;;;;
3843;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2004;;;;;;;;
3844;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2005;;;;;;;;
3845;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2006;;;;;;;;
3846;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2007;;;;;;;;
3847;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2008;;;;;;;;
3848;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2009;;;;;;;;
3849;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2010;;;;;;;;
3850;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2011;;;;;;;;
3851;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;9;2012;;;;;;;;
3852;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2001;87.0;57.0;53.0;3.0;30.0;65.5;61.7;5.8
3853;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2002;101.0;71.0;67.0;4.0;30.0;70.1;66.2;5.5
3854;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2003;101.0;73.0;67.0;5.0;29.0;71.8;66.4;7.5
3855;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2004;95.0;68.0;63.0;5.0;27.0;72.0;66.6;7.5
3856;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2005;97.0;69.0;62.0;6.0;28.0;70.7;64.0;9.5
3857;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2006;105.0;78.0;71.0;6.0;27.0;74.2;68.1;8.2
3858;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2007;105.0;78.0;74.0;4.0;27.0;74.6;70.9;4.9
3859;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2008;120.0;89.0;85.0;4.0;31.0;73.8;70.7;4.2
3860;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2009;134.0;97.0;91.0;6.0;37.0;72.5;68.3;5.8
3861;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2010;137.0;97.0;90.0;7.0;40.0;71.0;65.7;7.3
3862;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2011;126.0;93.0;86.0;7.0;33.0;73.8;68.6;7.1
3863;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Health and welfare;2012;;;;;;;;
3864;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2001;24.0;20.0;19.0;;4.0;83.0;79.5;
3865;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2002;25.0;22.0;21.0;2.0;3.0;87.3;81.2;7.0
3866;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2003;26.0;21.0;20.0;;4.0;82.8;77.4;
3867;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2004;27.0;22.0;20.0;2.0;5.0;80.6;73.0;9.4
3868;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2005;28.0;22.0;20.0;2.0;6.0;79.2;71.1;10.2
3869;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2006;35.0;28.0;26.0;2.0;7.0;80.3;74.0;7.8
3870;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2007;33.0;27.0;26.0;;6.0;82.3;78.4;
3871;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2008;34.0;27.0;25.0;2.0;7.0;78.4;73.6;6.1
3872;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2009;36.0;29.0;26.0;2.0;7.0;79.4;73.1;7.9
3873;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2010;36.0;27.0;25.0;3.0;9.0;75.3;68.2;9.4
3874;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2011;37.0;29.0;27.0;2.0;8.0;78.4;72.3;7.7
3875;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Personal, transport services, logistics;2012;;;;;;;;
3876;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2001;;;;;;;;
3877;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2002;;;;;;;;
3878;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2003;;;;;;;;
3879;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2004;93.0;58.0;50.0;9.0;35.0;62.7;53.5;14.6
3880;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2005;141.0;94.0;82.0;12.0;47.0;66.8;58.1;13.1
3881;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2006;147.0;97.0;86.0;11.0;50.0;66.1;58.5;11.4
3882;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2007;151.0;101.0;90.0;11.0;50.0;66.9;59.7;10.8
3883;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2008;69.0;47.0;44.0;4.0;22.0;68.5;63.2;7.8
3884;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2009;22.0;15.0;13.0;2.0;8.0;65.8;56.8;13.8
3885;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2010;25.0;17.0;15.0;2.0;8.0;68.5;60.7;11.4
3886;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2011;22.0;15.0;13.0;;7.0;67.4;61.2;
3887;Total men and women;Total aged 15 to 65 years;Foreign background;Havo, vwo, mbo;Unknown field of education;2012;;;;;;;;
3888;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2001;242.0;170.0;162.0;8.0;72.0;70.2;66.9;4.7
3889;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2002;253.0;185.0;175.0;10.0;68.0;73.1;69.1;5.5
3890;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2003;255.0;189.0;173.0;15.0;66.0;74.1;68.2;8.1
3891;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2004;278.0;196.0;175.0;21.0;82.0;70.4;62.9;10.6
3892;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2005;309.0;220.0;194.0;26.0;89.0;71.3;62.8;11.9
3893;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2006;335.0;238.0;213.0;25.0;97.0;71.0;63.4;10.7
3894;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2007;344.0;246.0;226.0;21.0;98.0;71.5;65.5;8.3
3895;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2008;316.0;231.0;216.0;15.0;85.0;73.1;68.4;6.4
3896;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2009;307.0;224.0;203.0;21.0;83.0;73.1;66.3;9.3
3897;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2010;296.0;208.0;188.0;20.0;88.0;70.3;63.5;9.8
3898;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2011;288.0;207.0;184.0;23.0;81.0;71.8;64.0;10.9
3899;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;1;2012;327.0;240.0;210.0;29.0;87.0;73.4;64.4;12.2
3900;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2001;;;;;;;;
3901;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2002;;;;;;;;
3902;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2003;;;;;;;;
3903;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2004;;;;;;;;
3904;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2005;;;;;;;;
3905;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2006;;;;;;;;
3906;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2007;;;;;;;;
3907;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2008;;;;;;;;
3908;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2009;;;;;;;;
3909;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2010;;;;;;;;
3910;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2011;;;;;;;;
3911;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;2;2012;;;;;;;;
3912;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2001;;;;;;;;
3913;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2002;;;;;;;;
3914;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2003;;;;;;;;
3915;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2004;;;;;;;;
3916;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2005;;;;;;;;
3917;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2006;;;;;;;;
3918;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2007;;;;;;;;
3919;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2008;;;;;;;;
3920;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2009;;;;;;;;
3921;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2010;;;;;;;;
3922;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2011;;;;;;;;
3923;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;3;2012;;;;;;;;
3924;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2001;;;;;;;;
3925;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2002;;;;;;;;
3926;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2003;;;;;;;;
3927;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2004;;;;;;;;
3928;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2005;;;;;;;;
3929;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2006;;;;;;;;
3930;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2007;;;;;;;;
3931;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2008;;;;;;;;
3932;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2009;;;;;;;;
3933;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2010;;;;;;;;
3934;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2011;;;;;;;;
3935;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;4;2012;;;;;;;;
3936;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2001;67.0;43.0;42.0;2.0;23.0;65.0;62.2;4.2
3937;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2002;69.0;45.0;42.0;3.0;24.0;65.5;60.8;7.2
3938;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2003;72.0;50.0;45.0;5.0;22.0;69.1;61.8;10.6
3939;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2004;50.0;35.0;31.0;5.0;14.0;71.0;61.6;13.1
3940;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2005;41.0;29.0;25.0;4.0;12.0;70.6;62.0;12.3
3941;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2006;48.0;34.0;29.0;5.0;14.0;71.3;61.4;13.9
3942;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2007;51.0;36.0;32.0;5.0;15.0;71.1;62.1;12.6
3943;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2008;69.0;48.0;44.0;3.0;21.0;69.3;64.2;7.3
3944;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2009;79.0;53.0;48.0;5.0;25.0;67.7;60.7;10.3
3945;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2010;72.0;46.0;41.0;6.0;25.0;64.6;56.7;12.2
3946;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2011;73.0;49.0;42.0;7.0;25.0;66.5;57.5;13.5
3947;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;5;2012;;;;;;;;
3948;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2001;;;;;;;;
3949;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2002;;;;;;;;
3950;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2003;;;;;;;;
3951;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2004;;;;;;;;
3952;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2005;;;;;;;;
3953;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2006;;;;;;;;
3954;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2007;;;;;;;;
3955;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2008;;;;;;;;
3956;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2009;17.0;15.0;13.0;;3.0;83.5;75.1;
3957;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2010;15.0;12.0;12.0;;3.0;81.2;75.2;
3958;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2011;15.0;12.0;11.0;;3.0;79.8;73.1;
3959;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;6;2012;;;;;;;;
3960;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2001;;;;;;;;
3961;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2002;;;;;;;;
3962;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2003;;;;;;;;
3963;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2004;;;;;;;;
3964;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2005;;;;;;;;
3965;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2006;;;;;;;;
3966;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2007;;;;;;;;
3967;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2008;;;;;;;;
3968;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2009;;;;;;;;
3969;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2010;;;;;;;;
3970;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2011;;;;;;;;
