ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
1994;Total health related expenditure;HF22: Financing schemes NPISH;2017;0.0
1995;Total health related expenditure;HF22: Financing schemes NPISH;2018;0.0
1996;Total health related expenditure;HF22: Financing schemes NPISH;2019;0.0
1997;Total health related expenditure;HF22: Financing schemes NPISH;2020;0.0
1998;Total health related expenditure;HF22: Financing schemes NPISH;2021;0.0
1999;Total health related expenditure;HF22: Financing schemes NPISH;2022;0.0
2000;Total health related expenditure;HF23: Enterprise financing schemes;1998;48.0
2001;Total health related expenditure;HF23: Enterprise financing schemes;1999;57.0
2002;Total health related expenditure;HF23: Enterprise financing schemes;2000;63.0
2003;Total health related expenditure;HF23: Enterprise financing schemes;2001;82.0
2004;Total health related expenditure;HF23: Enterprise financing schemes;2002;108.0
2005;Total health related expenditure;HF23: Enterprise financing schemes;2003;91.0
2006;Total health related expenditure;HF23: Enterprise financing schemes;2004;92.0
2007;Total health related expenditure;HF23: Enterprise financing schemes;2005;79.0
2008;Total health related expenditure;HF23: Enterprise financing schemes;2006;45.0
2009;Total health related expenditure;HF23: Enterprise financing schemes;2007;48.0
2010;Total health related expenditure;HF23: Enterprise financing schemes;2008;56.0
2011;Total health related expenditure;HF23: Enterprise financing schemes;2009;57.0
2012;Total health related expenditure;HF23: Enterprise financing schemes;2010;66.0
2013;Total health related expenditure;HF23: Enterprise financing schemes;2011;62.0
2014;Total health related expenditure;HF23: Enterprise financing schemes;2012;61.0
2015;Total health related expenditure;HF23: Enterprise financing schemes;2013;58.0
2016;Total health related expenditure;HF23: Enterprise financing schemes;2014;110.0
2017;Total health related expenditure;HF23: Enterprise financing schemes;2015;104.0
2018;Total health related expenditure;HF23: Enterprise financing schemes;2016;112.0
2019;Total health related expenditure;HF23: Enterprise financing schemes;2017;118.0
2020;Total health related expenditure;HF23: Enterprise financing schemes;2018;104.0
2021;Total health related expenditure;HF23: Enterprise financing schemes;2019;112.0
2022;Total health related expenditure;HF23: Enterprise financing schemes;2020;120.0
2023;Total health related expenditure;HF23: Enterprise financing schemes;2021;144.0
2024;Total health related expenditure;HF23: Enterprise financing schemes;2022;153.0
2025;Total health related expenditure;HF3: Household out-of-pocket payments;1998;269.0
2026;Total health related expenditure;HF3: Household out-of-pocket payments;1999;277.0
2027;Total health related expenditure;HF3: Household out-of-pocket payments;2000;277.0
2028;Total health related expenditure;HF3: Household out-of-pocket payments;2001;274.0
2029;Total health related expenditure;HF3: Household out-of-pocket payments;2002;282.0
2030;Total health related expenditure;HF3: Household out-of-pocket payments;2003;290.0
2031;Total health related expenditure;HF3: Household out-of-pocket payments;2004;343.0
2032;Total health related expenditure;HF3: Household out-of-pocket payments;2005;364.0
2033;Total health related expenditure;HF3: Household out-of-pocket payments;2006;254.0
2034;Total health related expenditure;HF3: Household out-of-pocket payments;2007;377.0
2035;Total health related expenditure;HF3: Household out-of-pocket payments;2008;387.0
2036;Total health related expenditure;HF3: Household out-of-pocket payments;2009;422.0
2037;Total health related expenditure;HF3: Household out-of-pocket payments;2010;502.0
2038;Total health related expenditure;HF3: Household out-of-pocket payments;2011;566.0
2039;Total health related expenditure;HF3: Household out-of-pocket payments;2012;573.0
2040;Total health related expenditure;HF3: Household out-of-pocket payments;2013;605.0
2041;Total health related expenditure;HF3: Household out-of-pocket payments;2014;615.0
2042;Total health related expenditure;HF3: Household out-of-pocket payments;2015;681.0
2043;Total health related expenditure;HF3: Household out-of-pocket payments;2016;622.0
2044;Total health related expenditure;HF3: Household out-of-pocket payments;2017;559.0
2045;Total health related expenditure;HF3: Household out-of-pocket payments;2018;555.0
2046;Total health related expenditure;HF3: Household out-of-pocket payments;2019;508.0
2047;Total health related expenditure;HF3: Household out-of-pocket payments;2020;554.0
2048;Total health related expenditure;HF3: Household out-of-pocket payments;2021;546.0
2049;Total health related expenditure;HF3: Household out-of-pocket payments;2022;569.0
2050;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;1998;0.0
2051;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;1999;0.0
2052;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2000;0.0
2053;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2001;0.0
2054;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2002;0.0
2055;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2003;0.0
2056;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2004;0.0
2057;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2005;0.0
2058;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2006;0.0
2059;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2007;0.0
2060;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2008;0.0
2061;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2009;0.0
2062;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2010;0.0
2063;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2011;0.0
2064;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2012;0.0
2065;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2013;0.0
2066;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2014;0.0
2067;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2015;0.0
2068;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2016;0.0
2069;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2017;0.0
2070;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2018;0.0
2071;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2019;0.0
2072;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2020;0.0
2073;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2021;0.0
2074;Total health related expenditure;HF31: Out-of-pocket excl cost sharing;2022;0.0
2075;Total health related expenditure;HF32: Cost sharing;1998;269.0
2076;Total health related expenditure;HF32: Cost sharing;1999;277.0
2077;Total health related expenditure;HF32: Cost sharing;2000;277.0
2078;Total health related expenditure;HF32: Cost sharing;2001;274.0
2079;Total health related expenditure;HF32: Cost sharing;2002;282.0
2080;Total health related expenditure;HF32: Cost sharing;2003;290.0
2081;Total health related expenditure;HF32: Cost sharing;2004;343.0
2082;Total health related expenditure;HF32: Cost sharing;2005;364.0
2083;Total health related expenditure;HF32: Cost sharing;2006;254.0
2084;Total health related expenditure;HF32: Cost sharing;2007;377.0
2085;Total health related expenditure;HF32: Cost sharing;2008;387.0
2086;Total health related expenditure;HF32: Cost sharing;2009;422.0
2087;Total health related expenditure;HF32: Cost sharing;2010;502.0
2088;Total health related expenditure;HF32: Cost sharing;2011;566.0
2089;Total health related expenditure;HF32: Cost sharing;2012;573.0
2090;Total health related expenditure;HF32: Cost sharing;2013;605.0
2091;Total health related expenditure;HF32: Cost sharing;2014;615.0
2092;Total health related expenditure;HF32: Cost sharing;2015;681.0
2093;Total health related expenditure;HF32: Cost sharing;2016;622.0
2094;Total health related expenditure;HF32: Cost sharing;2017;559.0
2095;Total health related expenditure;HF32: Cost sharing;2018;555.0
2096;Total health related expenditure;HF32: Cost sharing;2019;508.0
2097;Total health related expenditure;HF32: Cost sharing;2020;554.0
2098;Total health related expenditure;HF32: Cost sharing;2021;546.0
2099;Total health related expenditure;HF32: Cost sharing;2022;569.0
2100;Total health related expenditure;"Rest of the world; exports";1998;0.0
2101;Total health related expenditure;"Rest of the world; exports";1999;0.0
2102;Total health related expenditure;"Rest of the world; exports";2000;0.0
2103;Total health related expenditure;"Rest of the world; exports";2001;0.0
2104;Total health related expenditure;"Rest of the world; exports";2002;0.0
2105;Total health related expenditure;"Rest of the world; exports";2003;0.0
2106;Total health related expenditure;"Rest of the world; exports";2004;0.0
2107;Total health related expenditure;"Rest of the world; exports";2005;0.0
2108;Total health related expenditure;"Rest of the world; exports";2006;0.0
2109;Total health related expenditure;"Rest of the world; exports";2007;0.0
2110;Total health related expenditure;"Rest of the world; exports";2008;0.0
2111;Total health related expenditure;"Rest of the world; exports";2009;0.0
2112;Total health related expenditure;"Rest of the world; exports";2010;0.0
2113;Total health related expenditure;"Rest of the world; exports";2011;0.0
2114;Total health related expenditure;"Rest of the world; exports";2012;0.0
2115;Total health related expenditure;"Rest of the world; exports";2013;0.0
2116;Total health related expenditure;"Rest of the world; exports";2014;0.0
2117;Total health related expenditure;"Rest of the world; exports";2015;0.0
2118;Total health related expenditure;"Rest of the world; exports";2016;0.0
2119;Total health related expenditure;"Rest of the world; exports";2017;0.0
2120;Total health related expenditure;"Rest of the world; exports";2018;0.0
2121;Total health related expenditure;"Rest of the world; exports";2019;0.0
2122;Total health related expenditure;"Rest of the world; exports";2020;0.0
2123;Total health related expenditure;"Rest of the world; exports";2021;0.0
2124;Total health related expenditure;"Rest of the world; exports";2022;0.0
2125;HCR1: Long-term care (social);Total financ schemes health,social care;1998;3106.0
2126;HCR1: Long-term care (social);Total financ schemes health,social care;1999;3311.0
2127;HCR1: Long-term care (social);Total financ schemes health,social care;2000;3598.0
2128;HCR1: Long-term care (social);Total financ schemes health,social care;2001;4041.0
2129;HCR1: Long-term care (social);Total financ schemes health,social care;2002;4604.0
2130;HCR1: Long-term care (social);Total financ schemes health,social care;2003;5135.0
2131;HCR1: Long-term care (social);Total financ schemes health,social care;2004;5458.0
2132;HCR1: Long-term care (social);Total financ schemes health,social care;2005;5889.0
2133;HCR1: Long-term care (social);Total financ schemes health,social care;2006;5981.0
2134;HCR1: Long-term care (social);Total financ schemes health,social care;2007;6335.0
2135;HCR1: Long-term care (social);Total financ schemes health,social care;2008;6253.0
2136;HCR1: Long-term care (social);Total financ schemes health,social care;2009;7233.0
2137;HCR1: Long-term care (social);Total financ schemes health,social care;2010;7778.0
2138;HCR1: Long-term care (social);Total financ schemes health,social care;2011;8091.0
2139;HCR1: Long-term care (social);Total financ schemes health,social care;2012;8499.0
2140;HCR1: Long-term care (social);Total financ schemes health,social care;2013;8243.0
2141;HCR1: Long-term care (social);Total financ schemes health,social care;2014;8302.0
2142;HCR1: Long-term care (social);Total financ schemes health,social care;2015;9068.0
2143;HCR1: Long-term care (social);Total financ schemes health,social care;2016;8984.0
2144;HCR1: Long-term care (social);Total financ schemes health,social care;2017;9002.0
2145;HCR1: Long-term care (social);Total financ schemes health,social care;2018;9500.0
2146;HCR1: Long-term care (social);Total financ schemes health,social care;2019;9995.0
2147;HCR1: Long-term care (social);Total financ schemes health,social care;2020;10830.0
2148;HCR1: Long-term care (social);Total financ schemes health,social care;2021;10884.0
2149;HCR1: Long-term care (social);Total financ schemes health,social care;2022;11169.0
2150;HCR1: Long-term care (social);Total financing of residents;1998;3106.0
2151;HCR1: Long-term care (social);Total financing of residents;1999;3311.0
2152;HCR1: Long-term care (social);Total financing of residents;2000;3598.0
2153;HCR1: Long-term care (social);Total financing of residents;2001;4041.0
2154;HCR1: Long-term care (social);Total financing of residents;2002;4604.0
2155;HCR1: Long-term care (social);Total financing of residents;2003;5135.0
2156;HCR1: Long-term care (social);Total financing of residents;2004;5458.0
2157;HCR1: Long-term care (social);Total financing of residents;2005;5889.0
2158;HCR1: Long-term care (social);Total financing of residents;2006;5981.0
2159;HCR1: Long-term care (social);Total financing of residents;2007;6335.0
2160;HCR1: Long-term care (social);Total financing of residents;2008;6253.0
2161;HCR1: Long-term care (social);Total financing of residents;2009;7233.0
2162;HCR1: Long-term care (social);Total financing of residents;2010;7778.0
2163;HCR1: Long-term care (social);Total financing of residents;2011;8091.0
2164;HCR1: Long-term care (social);Total financing of residents;2012;8499.0
2165;HCR1: Long-term care (social);Total financing of residents;2013;8243.0
2166;HCR1: Long-term care (social);Total financing of residents;2014;8302.0
2167;HCR1: Long-term care (social);Total financing of residents;2015;9068.0
2168;HCR1: Long-term care (social);Total financing of residents;2016;8984.0
2169;HCR1: Long-term care (social);Total financing of residents;2017;9002.0
2170;HCR1: Long-term care (social);Total financing of residents;2018;9500.0
2171;HCR1: Long-term care (social);Total financing of residents;2019;9995.0
2172;HCR1: Long-term care (social);Total financing of residents;2020;10830.0
2173;HCR1: Long-term care (social);Total financing of residents;2021;10884.0
2174;HCR1: Long-term care (social);Total financing of residents;2022;11169.0
2175;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;1998;2837.0
2176;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;1999;3033.0
2177;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2000;3321.0
2178;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2001;3767.0
2179;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2002;4322.0
2180;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2003;4844.0
2181;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2004;5115.0
2182;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2005;5525.0
2183;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2006;5727.0
2184;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2007;5958.0
2185;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2008;5865.0
2186;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2009;6811.0
2187;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2010;7276.0
2188;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2011;7526.0
2189;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2012;7926.0
2190;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2013;7638.0
2191;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2014;7687.0
2192;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2015;8387.0
2193;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2016;8361.0
2194;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2017;8442.0
2195;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2018;8945.0
2196;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2019;9487.0
2197;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2020;10276.0
2198;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2021;10338.0
2199;HCR1: Long-term care (social);HF1: Government, comp. contr. schemes;2022;10600.0
2200;HCR1: Long-term care (social);HF11: Government schemes;1998;57.0
2201;HCR1: Long-term care (social);HF11: Government schemes;1999;62.0
2202;HCR1: Long-term care (social);HF11: Government schemes;2000;64.0
2203;HCR1: Long-term care (social);HF11: Government schemes;2001;111.0
2204;HCR1: Long-term care (social);HF11: Government schemes;2002;119.0
2205;HCR1: Long-term care (social);HF11: Government schemes;2003;128.0
2206;HCR1: Long-term care (social);HF11: Government schemes;2004;108.0
2207;HCR1: Long-term care (social);HF11: Government schemes;2005;156.0
2208;HCR1: Long-term care (social);HF11: Government schemes;2006;219.0
2209;HCR1: Long-term care (social);HF11: Government schemes;2007;1139.0
2210;HCR1: Long-term care (social);HF11: Government schemes;2008;1152.0
2211;HCR1: Long-term care (social);HF11: Government schemes;2009;1249.0
2212;HCR1: Long-term care (social);HF11: Government schemes;2010;1377.0
2213;HCR1: Long-term care (social);HF11: Government schemes;2011;1464.0
2214;HCR1: Long-term care (social);HF11: Government schemes;2012;1402.0
2215;HCR1: Long-term care (social);HF11: Government schemes;2013;1377.0
2216;HCR1: Long-term care (social);HF11: Government schemes;2014;1295.0
2217;HCR1: Long-term care (social);HF11: Government schemes;2015;4658.0
2218;HCR1: Long-term care (social);HF11: Government schemes;2016;4443.0
2219;HCR1: Long-term care (social);HF11: Government schemes;2017;4664.0
2220;HCR1: Long-term care (social);HF11: Government schemes;2018;5019.0
2221;HCR1: Long-term care (social);HF11: Government schemes;2019;5313.0
2222;HCR1: Long-term care (social);HF11: Government schemes;2020;5806.0
2223;HCR1: Long-term care (social);HF11: Government schemes;2021;5148.0
2224;HCR1: Long-term care (social);HF11: Government schemes;2022;4998.0
2225;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;1998;2780.0
2226;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;1999;2972.0
2227;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2000;3257.0
2228;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2001;3656.0
2229;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2002;4204.0
2230;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2003;4716.0
2231;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2004;5007.0
2232;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2005;5369.0
2233;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2006;5508.0
2234;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2007;4820.0
2235;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2008;4713.0
2236;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2009;5563.0
2237;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2010;5899.0
2238;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2011;6062.0
2239;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2012;6525.0
2240;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2013;6260.0
2241;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2014;6392.0
2242;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2015;3729.0
2243;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2016;3919.0
2244;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2017;3779.0
2245;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2018;3926.0
2246;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2019;4173.0
2247;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2020;4470.0
2248;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2021;5190.0
2249;HCR1: Long-term care (social);HF12: Compulsory contributory schemes;2022;5602.0
2250;HCR1: Long-term care (social);HF121a: Long-term care insurance;1998;2780.0
2251;HCR1: Long-term care (social);HF121a: Long-term care insurance;1999;2972.0
2252;HCR1: Long-term care (social);HF121a: Long-term care insurance;2000;3257.0
2253;HCR1: Long-term care (social);HF121a: Long-term care insurance;2001;3656.0
2254;HCR1: Long-term care (social);HF121a: Long-term care insurance;2002;4204.0
2255;HCR1: Long-term care (social);HF121a: Long-term care insurance;2003;4716.0
2256;HCR1: Long-term care (social);HF121a: Long-term care insurance;2004;5007.0
2257;HCR1: Long-term care (social);HF121a: Long-term care insurance;2005;5369.0
2258;HCR1: Long-term care (social);HF121a: Long-term care insurance;2006;5507.0
2259;HCR1: Long-term care (social);HF121a: Long-term care insurance;2007;4818.0
2260;HCR1: Long-term care (social);HF121a: Long-term care insurance;2008;4713.0
2261;HCR1: Long-term care (social);HF121a: Long-term care insurance;2009;5563.0
2262;HCR1: Long-term care (social);HF121a: Long-term care insurance;2010;5899.0
2263;HCR1: Long-term care (social);HF121a: Long-term care insurance;2011;6062.0
2264;HCR1: Long-term care (social);HF121a: Long-term care insurance;2012;6525.0
2265;HCR1: Long-term care (social);HF121a: Long-term care insurance;2013;6260.0
2266;HCR1: Long-term care (social);HF121a: Long-term care insurance;2014;6392.0
2267;HCR1: Long-term care (social);HF121a: Long-term care insurance;2015;3584.0
2268;HCR1: Long-term care (social);HF121a: Long-term care insurance;2016;3754.0
2269;HCR1: Long-term care (social);HF121a: Long-term care insurance;2017;3596.0
2270;HCR1: Long-term care (social);HF121a: Long-term care insurance;2018;3731.0
2271;HCR1: Long-term care (social);HF121a: Long-term care insurance;2019;3973.0
2272;HCR1: Long-term care (social);HF121a: Long-term care insurance;2020;4287.0
2273;HCR1: Long-term care (social);HF121a: Long-term care insurance;2021;5032.0
2274;HCR1: Long-term care (social);HF121a: Long-term care insurance;2022;5462.0
2275;HCR1: Long-term care (social);HF121b: Health Insurance Fund;1998;0.0
2276;HCR1: Long-term care (social);HF121b: Health Insurance Fund;1999;0.0
2277;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2000;0.0
2278;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2001;0.0
2279;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2002;0.0
2280;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2003;0.0
2281;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2004;0.0
2282;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2005;0.0
2283;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2006;
2284;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2007;
2285;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2008;
2286;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2009;
2287;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2010;
2288;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2011;
2289;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2012;
2290;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2013;
2291;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2014;
2292;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2015;
2293;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2016;
2294;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2017;
2295;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2018;
2296;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2019;
2297;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2020;
2298;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2021;
2299;HCR1: Long-term care (social);HF121b: Health Insurance Fund;2022;
2300;HCR1: Long-term care (social);HF122: Compulsory private insurance;1998;
2301;HCR1: Long-term care (social);HF122: Compulsory private insurance;1999;
2302;HCR1: Long-term care (social);HF122: Compulsory private insurance;2000;
2303;HCR1: Long-term care (social);HF122: Compulsory private insurance;2001;
2304;HCR1: Long-term care (social);HF122: Compulsory private insurance;2002;
2305;HCR1: Long-term care (social);HF122: Compulsory private insurance;2003;
2306;HCR1: Long-term care (social);HF122: Compulsory private insurance;2004;
2307;HCR1: Long-term care (social);HF122: Compulsory private insurance;2005;
2308;HCR1: Long-term care (social);HF122: Compulsory private insurance;2006;1.0
2309;HCR1: Long-term care (social);HF122: Compulsory private insurance;2007;1.0
2310;HCR1: Long-term care (social);HF122: Compulsory private insurance;2008;0.0
2311;HCR1: Long-term care (social);HF122: Compulsory private insurance;2009;0.0
2312;HCR1: Long-term care (social);HF122: Compulsory private insurance;2010;0.0
2313;HCR1: Long-term care (social);HF122: Compulsory private insurance;2011;0.0
2314;HCR1: Long-term care (social);HF122: Compulsory private insurance;2012;0.0
2315;HCR1: Long-term care (social);HF122: Compulsory private insurance;2013;0.0
2316;HCR1: Long-term care (social);HF122: Compulsory private insurance;2014;0.0
2317;HCR1: Long-term care (social);HF122: Compulsory private insurance;2015;145.0
2318;HCR1: Long-term care (social);HF122: Compulsory private insurance;2016;165.0
2319;HCR1: Long-term care (social);HF122: Compulsory private insurance;2017;183.0
2320;HCR1: Long-term care (social);HF122: Compulsory private insurance;2018;195.0
2321;HCR1: Long-term care (social);HF122: Compulsory private insurance;2019;201.0
2322;HCR1: Long-term care (social);HF122: Compulsory private insurance;2020;182.0
2323;HCR1: Long-term care (social);HF122: Compulsory private insurance;2021;158.0
2324;HCR1: Long-term care (social);HF122: Compulsory private insurance;2022;139.0
2325;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);1998;269.0
2326;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);1999;277.0
2327;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2000;277.0
2328;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2001;274.0
2329;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2002;282.0
2330;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2003;290.0
2331;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2004;343.0
2332;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2005;364.0
2333;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2006;254.0
2334;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2007;377.0
2335;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2008;387.0
2336;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2009;422.0
2337;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2010;502.0
2338;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2011;566.0
2339;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2012;573.0
2340;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2013;605.0
2341;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2014;615.0
2342;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2015;681.0
2343;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2016;622.0
2344;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2017;559.0
2345;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2018;555.0
2346;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2019;508.0
2347;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2020;554.0
2348;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2021;546.0
2349;HCR1: Long-term care (social);Voluntary schemes (incl. OOP);2022;569.0
2350;HCR1: Long-term care (social);HF2: Voluntary schemes;1998;0.0
2351;HCR1: Long-term care (social);HF2: Voluntary schemes;1999;0.0
2352;HCR1: Long-term care (social);HF2: Voluntary schemes;2000;0.0
2353;HCR1: Long-term care (social);HF2: Voluntary schemes;2001;0.0
2354;HCR1: Long-term care (social);HF2: Voluntary schemes;2002;0.0
2355;HCR1: Long-term care (social);HF2: Voluntary schemes;2003;0.0
2356;HCR1: Long-term care (social);HF2: Voluntary schemes;2004;0.0
2357;HCR1: Long-term care (social);HF2: Voluntary schemes;2005;0.0
2358;HCR1: Long-term care (social);HF2: Voluntary schemes;2006;0.0
2359;HCR1: Long-term care (social);HF2: Voluntary schemes;2007;0.0
2360;HCR1: Long-term care (social);HF2: Voluntary schemes;2008;0.0
2361;HCR1: Long-term care (social);HF2: Voluntary schemes;2009;0.0
2362;HCR1: Long-term care (social);HF2: Voluntary schemes;2010;0.0
2363;HCR1: Long-term care (social);HF2: Voluntary schemes;2011;0.0
2364;HCR1: Long-term care (social);HF2: Voluntary schemes;2012;0.0
2365;HCR1: Long-term care (social);HF2: Voluntary schemes;2013;0.0
2366;HCR1: Long-term care (social);HF2: Voluntary schemes;2014;0.0
2367;HCR1: Long-term care (social);HF2: Voluntary schemes;2015;0.0
2368;HCR1: Long-term care (social);HF2: Voluntary schemes;2016;0.0
2369;HCR1: Long-term care (social);HF2: Voluntary schemes;2017;0.0
2370;HCR1: Long-term care (social);HF2: Voluntary schemes;2018;0.0
2371;HCR1: Long-term care (social);HF2: Voluntary schemes;2019;0.0
2372;HCR1: Long-term care (social);HF2: Voluntary schemes;2020;0.0
2373;HCR1: Long-term care (social);HF2: Voluntary schemes;2021;0.0
2374;HCR1: Long-term care (social);HF2: Voluntary schemes;2022;0.0
2375;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;1998;0.0
2376;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;1999;0.0
2377;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2000;0.0
2378;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2001;0.0
2379;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2002;0.0
2380;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2003;0.0
2381;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2004;0.0
2382;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2005;0.0
2383;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2006;0.0
