ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
3954;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2005;275.0
3955;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2006;317.0
3956;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2007;392.0
3957;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2008;476.0
3958;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2009;553.0
3959;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2010;606.0
3960;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2011;572.0
3961;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2012;550.0
3962;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2013;633.0
3963;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2014;618.0
3964;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2015;728.0
3965;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2016;823.0
3966;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2017;817.0
3967;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2018;870.0
3968;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2019;951.0
3969;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2020;1075.0
3970;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2021;1309.0
3971;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2022;1437.0
3972;Total government expenditure;3.6 Public order and safety n.e.c;Local government;2023;1575.0
3973;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;1995;0.0
3974;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;1996;0.0
3975;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;1997;0.0
3976;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;1998;0.0
3977;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;1999;0.0
3978;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2000;0.0
3979;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2001;0.0
3980;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2002;0.0
3981;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2003;0.0
3982;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2004;0.0
3983;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2005;0.0
3984;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2006;0.0
3985;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2007;0.0
3986;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2008;0.0
3987;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2009;0.0
3988;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2010;0.0
3989;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2011;0.0
3990;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2012;0.0
3991;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2013;0.0
3992;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2014;0.0
3993;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2015;0.0
3994;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2016;0.0
3995;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2017;0.0
3996;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2018;0.0
3997;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2019;0.0
3998;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2020;0.0
3999;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2021;0.0
4000;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2022;0.0
4001;Total government expenditure;3.6 Public order and safety n.e.c;Social security funds;2023;0.0
4002;Total government expenditure;4. Economic affairs;General government;1995;16891.0
4003;Total government expenditure;4. Economic affairs;General government;1996;18272.0
4004;Total government expenditure;4. Economic affairs;General government;1997;19968.0
4005;Total government expenditure;4. Economic affairs;General government;1998;21217.0
4006;Total government expenditure;4. Economic affairs;General government;1999;21826.0
4007;Total government expenditure;4. Economic affairs;General government;2000;23418.0
4008;Total government expenditure;4. Economic affairs;General government;2001;28505.0
4009;Total government expenditure;4. Economic affairs;General government;2002;29238.0
4010;Total government expenditure;4. Economic affairs;General government;2003;29857.0
4011;Total government expenditure;4. Economic affairs;General government;2004;28986.0
4012;Total government expenditure;4. Economic affairs;General government;2005;28018.0
4013;Total government expenditure;4. Economic affairs;General government;2006;29025.0
4014;Total government expenditure;4. Economic affairs;General government;2007;29897.0
4015;Total government expenditure;4. Economic affairs;General government;2008;33008.0
4016;Total government expenditure;4. Economic affairs;General government;2009;37693.0
4017;Total government expenditure;4. Economic affairs;General government;2010;37182.0
4018;Total government expenditure;4. Economic affairs;General government;2011;35553.0
4019;Total government expenditure;4. Economic affairs;General government;2012;33818.0
4020;Total government expenditure;4. Economic affairs;General government;2013;33374.0
4021;Total government expenditure;4. Economic affairs;General government;2014;32476.0
4022;Total government expenditure;4. Economic affairs;General government;2015;30724.0
4023;Total government expenditure;4. Economic affairs;General government;2016;31261.0
4024;Total government expenditure;4. Economic affairs;General government;2017;31431.0
4025;Total government expenditure;4. Economic affairs;General government;2018;33017.0
4026;Total government expenditure;4. Economic affairs;General government;2019;34111.0
4027;Total government expenditure;4. Economic affairs;General government;2020;54237.0
4028;Total government expenditure;4. Economic affairs;General government;2021;55257.0
4029;Total government expenditure;4. Economic affairs;General government;2022;55970.0
4030;Total government expenditure;4. Economic affairs;General government;2023;54626.0
4031;Total government expenditure;4. Economic affairs;Central government;1995;14065.0
4032;Total government expenditure;4. Economic affairs;Central government;1996;15251.0
4033;Total government expenditure;4. Economic affairs;Central government;1997;15949.0
4034;Total government expenditure;4. Economic affairs;Central government;1998;16248.0
4035;Total government expenditure;4. Economic affairs;Central government;1999;16462.0
4036;Total government expenditure;4. Economic affairs;Central government;2000;18163.0
4037;Total government expenditure;4. Economic affairs;Central government;2001;22839.0
4038;Total government expenditure;4. Economic affairs;Central government;2002;22918.0
4039;Total government expenditure;4. Economic affairs;Central government;2003;22942.0
4040;Total government expenditure;4. Economic affairs;Central government;2004;21304.0
4041;Total government expenditure;4. Economic affairs;Central government;2005;20710.0
4042;Total government expenditure;4. Economic affairs;Central government;2006;21324.0
4043;Total government expenditure;4. Economic affairs;Central government;2007;21284.0
4044;Total government expenditure;4. Economic affairs;Central government;2008;23203.0
4045;Total government expenditure;4. Economic affairs;Central government;2009;27017.0
4046;Total government expenditure;4. Economic affairs;Central government;2010;26202.0
4047;Total government expenditure;4. Economic affairs;Central government;2011;25728.0
4048;Total government expenditure;4. Economic affairs;Central government;2012;24700.0
4049;Total government expenditure;4. Economic affairs;Central government;2013;24882.0
4050;Total government expenditure;4. Economic affairs;Central government;2014;23411.0
4051;Total government expenditure;4. Economic affairs;Central government;2015;21789.0
4052;Total government expenditure;4. Economic affairs;Central government;2016;22778.0
4053;Total government expenditure;4. Economic affairs;Central government;2017;22060.0
4054;Total government expenditure;4. Economic affairs;Central government;2018;23022.0
4055;Total government expenditure;4. Economic affairs;Central government;2019;23689.0
4056;Total government expenditure;4. Economic affairs;Central government;2020;42321.0
4057;Total government expenditure;4. Economic affairs;Central government;2021;44278.0
4058;Total government expenditure;4. Economic affairs;Central government;2022;43389.0
4059;Total government expenditure;4. Economic affairs;Central government;2023;40679.0
4060;Total government expenditure;4. Economic affairs;The State;1995;12026.0
4061;Total government expenditure;4. Economic affairs;The State;1996;13075.0
4062;Total government expenditure;4. Economic affairs;The State;1997;13524.0
4063;Total government expenditure;4. Economic affairs;The State;1998;13950.0
4064;Total government expenditure;4. Economic affairs;The State;1999;14274.0
4065;Total government expenditure;4. Economic affairs;The State;2000;15836.0
4066;Total government expenditure;4. Economic affairs;The State;2001;20241.0
4067;Total government expenditure;4. Economic affairs;The State;2002;20424.0
4068;Total government expenditure;4. Economic affairs;The State;2003;20687.0
4069;Total government expenditure;4. Economic affairs;The State;2004;19062.0
4070;Total government expenditure;4. Economic affairs;The State;2005;18567.0
4071;Total government expenditure;4. Economic affairs;The State;2006;19092.0
4072;Total government expenditure;4. Economic affairs;The State;2007;19013.0
4073;Total government expenditure;4. Economic affairs;The State;2008;20210.0
4074;Total government expenditure;4. Economic affairs;The State;2009;24222.0
4075;Total government expenditure;4. Economic affairs;The State;2010;25099.0
4076;Total government expenditure;4. Economic affairs;The State;2011;23063.0
4077;Total government expenditure;4. Economic affairs;The State;2012;21404.0
4078;Total government expenditure;4. Economic affairs;The State;2013;22361.0
4079;Total government expenditure;4. Economic affairs;The State;2014;20495.0
4080;Total government expenditure;4. Economic affairs;The State;2015;19057.0
4081;Total government expenditure;4. Economic affairs;The State;2016;19654.0
4082;Total government expenditure;4. Economic affairs;The State;2017;18874.0
4083;Total government expenditure;4. Economic affairs;The State;2018;19921.0
4084;Total government expenditure;4. Economic affairs;The State;2019;20365.0
4085;Total government expenditure;4. Economic affairs;The State;2020;38763.0
4086;Total government expenditure;4. Economic affairs;The State;2021;40365.0
4087;Total government expenditure;4. Economic affairs;The State;2022;39743.0
4088;Total government expenditure;4. Economic affairs;The State;2023;36064.0
4089;Total government expenditure;4. Economic affairs;Other central government;1995;3410.0
4090;Total government expenditure;4. Economic affairs;Other central government;1996;3737.0
4091;Total government expenditure;4. Economic affairs;Other central government;1997;3983.0
4092;Total government expenditure;4. Economic affairs;Other central government;1998;4140.0
4093;Total government expenditure;4. Economic affairs;Other central government;1999;4383.0
4094;Total government expenditure;4. Economic affairs;Other central government;2000;4547.0
4095;Total government expenditure;4. Economic affairs;Other central government;2001;5056.0
4096;Total government expenditure;4. Economic affairs;Other central government;2002;5163.0
4097;Total government expenditure;4. Economic affairs;Other central government;2003;4986.0
4098;Total government expenditure;4. Economic affairs;Other central government;2004;4879.0
4099;Total government expenditure;4. Economic affairs;Other central government;2005;4724.0
4100;Total government expenditure;4. Economic affairs;Other central government;2006;4855.0
4101;Total government expenditure;4. Economic affairs;Other central government;2007;4732.0
4102;Total government expenditure;4. Economic affairs;Other central government;2008;5236.0
4103;Total government expenditure;4. Economic affairs;Other central government;2009;5097.0
4104;Total government expenditure;4. Economic affairs;Other central government;2010;5395.0
4105;Total government expenditure;4. Economic affairs;Other central government;2011;5554.0
4106;Total government expenditure;4. Economic affairs;Other central government;2012;5851.0
4107;Total government expenditure;4. Economic affairs;Other central government;2013;5552.0
4108;Total government expenditure;4. Economic affairs;Other central government;2014;5605.0
4109;Total government expenditure;4. Economic affairs;Other central government;2015;5090.0
4110;Total government expenditure;4. Economic affairs;Other central government;2016;5292.0
4111;Total government expenditure;4. Economic affairs;Other central government;2017;5649.0
4112;Total government expenditure;4. Economic affairs;Other central government;2018;5687.0
4113;Total government expenditure;4. Economic affairs;Other central government;2019;5875.0
4114;Total government expenditure;4. Economic affairs;Other central government;2020;6308.0
4115;Total government expenditure;4. Economic affairs;Other central government;2021;6790.0
4116;Total government expenditure;4. Economic affairs;Other central government;2022;7026.0
4117;Total government expenditure;4. Economic affairs;Other central government;2023;8174.0
4118;Total government expenditure;4. Economic affairs;Local government;1995;6528.0
4119;Total government expenditure;4. Economic affairs;Local government;1996;6767.0
4120;Total government expenditure;4. Economic affairs;Local government;1997;7302.0
4121;Total government expenditure;4. Economic affairs;Local government;1998;8220.0
4122;Total government expenditure;4. Economic affairs;Local government;1999;8999.0
4123;Total government expenditure;4. Economic affairs;Local government;2000;9840.0
4124;Total government expenditure;4. Economic affairs;Local government;2001;10494.0
4125;Total government expenditure;4. Economic affairs;Local government;2002;11176.0
4126;Total government expenditure;4. Economic affairs;Local government;2003;11579.0
4127;Total government expenditure;4. Economic affairs;Local government;2004;11385.0
4128;Total government expenditure;4. Economic affairs;Local government;2005;11705.0
4129;Total government expenditure;4. Economic affairs;Local government;2006;11443.0
4130;Total government expenditure;4. Economic affairs;Local government;2007;12620.0
4131;Total government expenditure;4. Economic affairs;Local government;2008;13768.0
4132;Total government expenditure;4. Economic affairs;Local government;2009;15186.0
4133;Total government expenditure;4. Economic affairs;Local government;2010;15334.0
4134;Total government expenditure;4. Economic affairs;Local government;2011;14043.0
4135;Total government expenditure;4. Economic affairs;Local government;2012;13159.0
4136;Total government expenditure;4. Economic affairs;Local government;2013;13101.0
4137;Total government expenditure;4. Economic affairs;Local government;2014;13481.0
4138;Total government expenditure;4. Economic affairs;Local government;2015;12904.0
4139;Total government expenditure;4. Economic affairs;Local government;2016;12031.0
4140;Total government expenditure;4. Economic affairs;Local government;2017;11669.0
4141;Total government expenditure;4. Economic affairs;Local government;2018;12357.0
4142;Total government expenditure;4. Economic affairs;Local government;2019;12793.0
4143;Total government expenditure;4. Economic affairs;Local government;2020;15090.0
4144;Total government expenditure;4. Economic affairs;Local government;2021;14079.0
4145;Total government expenditure;4. Economic affairs;Local government;2022;14902.0
4146;Total government expenditure;4. Economic affairs;Local government;2023;16487.0
4147;Total government expenditure;4. Economic affairs;Social security funds;1995;113.0
4148;Total government expenditure;4. Economic affairs;Social security funds;1996;160.0
4149;Total government expenditure;4. Economic affairs;Social security funds;1997;300.0
4150;Total government expenditure;4. Economic affairs;Social security funds;1998;354.0
4151;Total government expenditure;4. Economic affairs;Social security funds;1999;390.0
4152;Total government expenditure;4. Economic affairs;Social security funds;2000;169.0
4153;Total government expenditure;4. Economic affairs;Social security funds;2001;292.0
4154;Total government expenditure;4. Economic affairs;Social security funds;2002;303.0
4155;Total government expenditure;4. Economic affairs;Social security funds;2003;311.0
4156;Total government expenditure;4. Economic affairs;Social security funds;2004;1103.0
4157;Total government expenditure;4. Economic affairs;Social security funds;2005;1090.0
4158;Total government expenditure;4. Economic affairs;Social security funds;2006;1075.0
4159;Total government expenditure;4. Economic affairs;Social security funds;2007;1113.0
4160;Total government expenditure;4. Economic affairs;Social security funds;2008;1118.0
4161;Total government expenditure;4. Economic affairs;Social security funds;2009;1766.0
4162;Total government expenditure;4. Economic affairs;Social security funds;2010;1487.0
4163;Total government expenditure;4. Economic affairs;Social security funds;2011;1130.0
4164;Total government expenditure;4. Economic affairs;Social security funds;2012;1031.0
4165;Total government expenditure;4. Economic affairs;Social security funds;2013;580.0
4166;Total government expenditure;4. Economic affairs;Social security funds;2014;544.0
4167;Total government expenditure;4. Economic affairs;Social security funds;2015;491.0
4168;Total government expenditure;4. Economic affairs;Social security funds;2016;471.0
4169;Total government expenditure;4. Economic affairs;Social security funds;2017;376.0
4170;Total government expenditure;4. Economic affairs;Social security funds;2018;94.0
4171;Total government expenditure;4. Economic affairs;Social security funds;2019;100.0
4172;Total government expenditure;4. Economic affairs;Social security funds;2020;11807.0
4173;Total government expenditure;4. Economic affairs;Social security funds;2021;7809.0
4174;Total government expenditure;4. Economic affairs;Social security funds;2022;1670.0
4175;Total government expenditure;4. Economic affairs;Social security funds;2023;658.0
4176;Total government expenditure;4.1 General economic, commercial and l..;General government;1995;2278.0
4177;Total government expenditure;4.1 General economic, commercial and l..;General government;1996;2215.0
4178;Total government expenditure;4.1 General economic, commercial and l..;General government;1997;2729.0
4179;Total government expenditure;4.1 General economic, commercial and l..;General government;1998;3213.0
4180;Total government expenditure;4.1 General economic, commercial and l..;General government;1999;3367.0
4181;Total government expenditure;4.1 General economic, commercial and l..;General government;2000;4511.0
4182;Total government expenditure;4.1 General economic, commercial and l..;General government;2001;4833.0
4183;Total government expenditure;4.1 General economic, commercial and l..;General government;2002;5425.0
4184;Total government expenditure;4.1 General economic, commercial and l..;General government;2003;5085.0
4185;Total government expenditure;4.1 General economic, commercial and l..;General government;2004;5246.0
4186;Total government expenditure;4.1 General economic, commercial and l..;General government;2005;4840.0
4187;Total government expenditure;4.1 General economic, commercial and l..;General government;2006;4751.0
4188;Total government expenditure;4.1 General economic, commercial and l..;General government;2007;4560.0
4189;Total government expenditure;4.1 General economic, commercial and l..;General government;2008;4581.0
4190;Total government expenditure;4.1 General economic, commercial and l..;General government;2009;7370.0
4191;Total government expenditure;4.1 General economic, commercial and l..;General government;2010;6105.0
4192;Total government expenditure;4.1 General economic, commercial and l..;General government;2011;4215.0
4193;Total government expenditure;4.1 General economic, commercial and l..;General government;2012;3902.0
4194;Total government expenditure;4.1 General economic, commercial and l..;General government;2013;4367.0
4195;Total government expenditure;4.1 General economic, commercial and l..;General government;2014;3093.0
4196;Total government expenditure;4.1 General economic, commercial and l..;General government;2015;2345.0
4197;Total government expenditure;4.1 General economic, commercial and l..;General government;2016;2779.0
4198;Total government expenditure;4.1 General economic, commercial and l..;General government;2017;3133.0
4199;Total government expenditure;4.1 General economic, commercial and l..;General government;2018;3316.0
4200;Total government expenditure;4.1 General economic, commercial and l..;General government;2019;3375.0
4201;Total government expenditure;4.1 General economic, commercial and l..;General government;2020;19731.0
4202;Total government expenditure;4.1 General economic, commercial and l..;General government;2021;19361.0
4203;Total government expenditure;4.1 General economic, commercial and l..;General government;2022;7301.0
4204;Total government expenditure;4.1 General economic, commercial and l..;General government;2023;6529.0
4205;Total government expenditure;4.1 General economic, commercial and l..;Central government;1995;3022.0
4206;Total government expenditure;4.1 General economic, commercial and l..;Central government;1996;2968.0
4207;Total government expenditure;4.1 General economic, commercial and l..;Central government;1997;2878.0
4208;Total government expenditure;4.1 General economic, commercial and l..;Central government;1998;3121.0
4209;Total government expenditure;4.1 General economic, commercial and l..;Central government;1999;3114.0
4210;Total government expenditure;4.1 General economic, commercial and l..;Central government;2000;4560.0
4211;Total government expenditure;4.1 General economic, commercial and l..;Central government;2001;5093.0
4212;Total government expenditure;4.1 General economic, commercial and l..;Central government;2002;5593.0
4213;Total government expenditure;4.1 General economic, commercial and l..;Central government;2003;4953.0
4214;Total government expenditure;4.1 General economic, commercial and l..;Central government;2004;4013.0
4215;Total government expenditure;4.1 General economic, commercial and l..;Central government;2005;3876.0
4216;Total government expenditure;4.1 General economic, commercial and l..;Central government;2006;3627.0
4217;Total government expenditure;4.1 General economic, commercial and l..;Central government;2007;3089.0
4218;Total government expenditure;4.1 General economic, commercial and l..;Central government;2008;3269.0
4219;Total government expenditure;4.1 General economic, commercial and l..;Central government;2009;5317.0
4220;Total government expenditure;4.1 General economic, commercial and l..;Central government;2010;4435.0
4221;Total government expenditure;4.1 General economic, commercial and l..;Central government;2011;2940.0
4222;Total government expenditure;4.1 General economic, commercial and l..;Central government;2012;2395.0
4223;Total government expenditure;4.1 General economic, commercial and l..;Central government;2013;3415.0
4224;Total government expenditure;4.1 General economic, commercial and l..;Central government;2014;2184.0
4225;Total government expenditure;4.1 General economic, commercial and l..;Central government;2015;1076.0
4226;Total government expenditure;4.1 General economic, commercial and l..;Central government;2016;1497.0
4227;Total government expenditure;4.1 General economic, commercial and l..;Central government;2017;1911.0
4228;Total government expenditure;4.1 General economic, commercial and l..;Central government;2018;2359.0
4229;Total government expenditure;4.1 General economic, commercial and l..;Central government;2019;2443.0
4230;Total government expenditure;4.1 General economic, commercial and l..;Central government;2020;17136.0
4231;Total government expenditure;4.1 General economic, commercial and l..;Central government;2021;17810.0
4232;Total government expenditure;4.1 General economic, commercial and l..;Central government;2022;5325.0
4233;Total government expenditure;4.1 General economic, commercial and l..;Central government;2023;4292.0
4234;Total government expenditure;4.1 General economic, commercial and l..;The State;1995;2716.0
4235;Total government expenditure;4.1 General economic, commercial and l..;The State;1996;2674.0
4236;Total government expenditure;4.1 General economic, commercial and l..;The State;1997;2555.0
4237;Total government expenditure;4.1 General economic, commercial and l..;The State;1998;2847.0
4238;Total government expenditure;4.1 General economic, commercial and l..;The State;1999;2988.0
4239;Total government expenditure;4.1 General economic, commercial and l..;The State;2000;4375.0
4240;Total government expenditure;4.1 General economic, commercial and l..;The State;2001;5015.0
4241;Total government expenditure;4.1 General economic, commercial and l..;The State;2002;5525.0
4242;Total government expenditure;4.1 General economic, commercial and l..;The State;2003;4594.0
4243;Total government expenditure;4.1 General economic, commercial and l..;The State;2004;3872.0
4244;Total government expenditure;4.1 General economic, commercial and l..;The State;2005;3608.0
4245;Total government expenditure;4.1 General economic, commercial and l..;The State;2006;3329.0
4246;Total government expenditure;4.1 General economic, commercial and l..;The State;2007;2785.0
4247;Total government expenditure;4.1 General economic, commercial and l..;The State;2008;2963.0
4248;Total government expenditure;4.1 General economic, commercial and l..;The State;2009;5001.0
4249;Total government expenditure;4.1 General economic, commercial and l..;The State;2010;4089.0
4250;Total government expenditure;4.1 General economic, commercial and l..;The State;2011;2595.0
4251;Total government expenditure;4.1 General economic, commercial and l..;The State;2012;2044.0
4252;Total government expenditure;4.1 General economic, commercial and l..;The State;2013;3546.0
4253;Total government expenditure;4.1 General economic, commercial and l..;The State;2014;1921.0
4254;Total government expenditure;4.1 General economic, commercial and l..;The State;2015;1160.0
4255;Total government expenditure;4.1 General economic, commercial and l..;The State;2016;1276.0
4256;Total government expenditure;4.1 General economic, commercial and l..;The State;2017;1757.0
4257;Total government expenditure;4.1 General economic, commercial and l..;The State;2018;2176.0
4258;Total government expenditure;4.1 General economic, commercial and l..;The State;2019;2232.0
4259;Total government expenditure;4.1 General economic, commercial and l..;The State;2020;16960.0
4260;Total government expenditure;4.1 General economic, commercial and l..;The State;2021;17617.0
4261;Total government expenditure;4.1 General economic, commercial and l..;The State;2022;5126.0
4262;Total government expenditure;4.1 General economic, commercial and l..;The State;2023;4100.0
4263;Total government expenditure;4.1 General economic, commercial and l..;Other central government;1995;315.0
4264;Total government expenditure;4.1 General economic, commercial and l..;Other central government;1996;321.0
4265;Total government expenditure;4.1 General economic, commercial and l..;Other central government;1997;331.0
4266;Total government expenditure;4.1 General economic, commercial and l..;Other central government;1998;322.0
4267;Total government expenditure;4.1 General economic, commercial and l..;Other central government;1999;289.0
4268;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2000;299.0
4269;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2001;274.0
4270;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2002;280.0
4271;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2003;545.0
4272;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2004;298.0
4273;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2005;298.0
4274;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2006;299.0
4275;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2007;311.0
4276;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2008;309.0
4277;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2009;325.0
4278;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2010;352.0
4279;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2011;355.0
4280;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2012;360.0
4281;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2013;352.0
4282;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2014;421.0
4283;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2015;70.0
4284;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2016;352.0
4285;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2017;281.0
4286;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2018;315.0
4287;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2019;344.0
4288;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2020;321.0
4289;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2021;360.0
4290;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2022;367.0
4291;Total government expenditure;4.1 General economic, commercial and l..;Other central government;2023;406.0
4292;Total government expenditure;4.1 General economic, commercial and l..;Local government;1995;1289.0
4293;Total government expenditure;4.1 General economic, commercial and l..;Local government;1996;1269.0
4294;Total government expenditure;4.1 General economic, commercial and l..;Local government;1997;1618.0
4295;Total government expenditure;4.1 General economic, commercial and l..;Local government;1998;1901.0
4296;Total government expenditure;4.1 General economic, commercial and l..;Local government;1999;2026.0
4297;Total government expenditure;4.1 General economic, commercial and l..;Local government;2000;2278.0
4298;Total government expenditure;4.1 General economic, commercial and l..;Local government;2001;2331.0
4299;Total government expenditure;4.1 General economic, commercial and l..;Local government;2002;2331.0
4300;Total government expenditure;4.1 General economic, commercial and l..;Local government;2003;2365.0
4301;Total government expenditure;4.1 General economic, commercial and l..;Local government;2004;2430.0
4302;Total government expenditure;4.1 General economic, commercial and l..;Local government;2005;2411.0
4303;Total government expenditure;4.1 General economic, commercial and l..;Local government;2006;2311.0
4304;Total government expenditure;4.1 General economic, commercial and l..;Local government;2007;2360.0
4305;Total government expenditure;4.1 General economic, commercial and l..;Local government;2008;2347.0
4306;Total government expenditure;4.1 General economic, commercial and l..;Local government;2009;2300.0
4307;Total government expenditure;4.1 General economic, commercial and l..;Local government;2010;2182.0
4308;Total government expenditure;4.1 General economic, commercial and l..;Local government;2011;1839.0
4309;Total government expenditure;4.1 General economic, commercial and l..;Local government;2012;1553.0
4310;Total government expenditure;4.1 General economic, commercial and l..;Local government;2013;1414.0
4311;Total government expenditure;4.1 General economic, commercial and l..;Local government;2014;1276.0
4312;Total government expenditure;4.1 General economic, commercial and l..;Local government;2015;1006.0
4313;Total government expenditure;4.1 General economic, commercial and l..;Local government;2016;1063.0
4314;Total government expenditure;4.1 General economic, commercial and l..;Local government;2017;1100.0
4315;Total government expenditure;4.1 General economic, commercial and l..;Local government;2018;1160.0
4316;Total government expenditure;4.1 General economic, commercial and l..;Local government;2019;1186.0
4317;Total government expenditure;4.1 General economic, commercial and l..;Local government;2020;3425.0
4318;Total government expenditure;4.1 General economic, commercial and l..;Local government;2021;2282.0
4319;Total government expenditure;4.1 General economic, commercial and l..;Local government;2022;1736.0
4320;Total government expenditure;4.1 General economic, commercial and l..;Local government;2023;1808.0
4321;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;1995;73.0
4322;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;1996;115.0
4323;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;1997;250.0
4324;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;1998;299.0
4325;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;1999;330.0
4326;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2000;126.0
4327;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2001;244.0
4328;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2002;251.0
4329;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2003;256.0
4330;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2004;1053.0
4331;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2005;1036.0
4332;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2006;1027.0
4333;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2007;1063.0
4334;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2008;1067.0
4335;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2009;1713.0
4336;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2010;1425.0
4337;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2011;1068.0
4338;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2012;966.0
4339;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2013;513.0
4340;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2014;476.0
4341;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2015;423.0
4342;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2016;402.0
4343;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2017;310.0
4344;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2018;26.0
4345;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2019;32.0
4346;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2020;11740.0
