ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
5681;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2009;230.0
5682;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2010;216.0
5683;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2011;206.0
5684;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2012;192.0
5685;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2013;177.0
5686;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2014;166.0
5687;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 35 to 54 years;2015;
5688;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2008;98.0
5689;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2009;99.0
5690;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2010;99.0
5691;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2011;104.0
5692;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2012;102.0
5693;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2013;98.0
5694;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2014;99.0
5695;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Age: 55 years or older;2015;
5696;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2008;142.0
5697;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2009;137.0
5698;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2010;131.0
5699;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2011;130.0
5700;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2012;124.0
5701;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2013;117.0
5702;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2014;115.0
5703;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: low (among lowest 30 percent);2015;
5704;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2008;279.0
5705;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2009;261.0
5706;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2010;246.0
5707;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2011;238.0
5708;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2012;222.0
5709;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2013;202.0
5710;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2014;192.0
5711;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: middle;2015;
5712;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2008;44.0
5713;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2009;39.0
5714;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2010;35.0
5715;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2011;36.0
5716;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2012;34.0
5717;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2013;32.0
5718;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2014;29.0
5719;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Wage: high (among highest 20 percent);2015;
5720;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2008;443.0
5721;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2009;415.0
5722;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2010;392.0
5723;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2011;383.0
5724;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2012;359.0
5725;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2013;331.0
5726;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2014;317.0
5727;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Dutch;2015;
5728;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2008;
5729;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2009;
5730;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2010;
5731;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2011;
5732;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2012;
5733;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2013;
5734;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2014;
5735;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Belgian;2015;
5736;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2008;
5737;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2009;
5738;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2010;
5739;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2011;
5740;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2012;
5741;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2013;
5742;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2014;
5743;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: British;2015;
5744;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2008;2.0
5745;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2009;2.0
5746;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2010;2.0
5747;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2011;3.0
5748;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2012;2.0
5749;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2013;2.0
5750;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2014;2.0
5751;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: German;2015;
5752;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2008;
5753;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2009;
5754;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2010;
5755;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2011;
5756;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2012;5.0
5757;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2013;5.0
5758;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2014;4.0
5759;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Polish;2015;
5760;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2008;
5761;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2009;
5762;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2010;
5763;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2011;
5764;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2012;
5765;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2013;
5766;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2014;
5767;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: Indian;2015;
5768;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2008;15.0
5769;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2009;14.0
5770;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2010;13.0
5771;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2011;14.0
5772;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2012;13.0
5773;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2013;12.0
5774;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2014;12.0
5775;Total domestic and foreign;B-F Manufacturing and energy;100 Lower education;Nationality: other;2015;
5776;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2008;618.0
5777;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2009;601.0
5778;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2010;592.0
5779;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2011;600.0
5780;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2012;592.0
5781;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2013;574.0
5782;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2014;567.0
5783;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Total ;2015;
5784;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2008;92.0
5785;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2009;89.0
5786;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2010;90.0
5787;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2011;97.0
5788;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2012;100.0
5789;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2013;101.0
5790;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2014;102.0
5791;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: specified time;2015;
5792;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2008;508.0
5793;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2009;492.0
5794;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2010;483.0
5795;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2011;484.0
5796;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2012;472.0
5797;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2013;454.0
5798;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2014;447.0
5799;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: unspecified time;2015;
5800;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2008;18.0
5801;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2009;18.0
5802;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2010;19.0
5803;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2011;19.0
5804;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2012;19.0
5805;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2013;19.0
5806;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2014;18.0
5807;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Type of contract: other;2015;
5808;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2008;513.0
5809;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2009;499.0
5810;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2010;491.0
5811;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2011;497.0
5812;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2012;489.0
5813;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2013;474.0
5814;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2014;468.0
5815;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Male;2015;
5816;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2008;105.0
5817;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2009;101.0
5818;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2010;101.0
5819;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2011;103.0
5820;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2012;103.0
5821;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2013;100.0
5822;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2014;99.0
5823;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Sex: Female;2015;
5824;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2008;188.0
5825;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2009;176.0
5826;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2010;171.0
5827;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2011;172.0
5828;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2012;166.0
5829;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2013;158.0
5830;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2014;155.0
5831;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 15 to 34 years;2015;
5832;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2008;343.0
5833;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2009;335.0
5834;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2010;330.0
5835;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2011;330.0
5836;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2012;323.0
5837;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2013;311.0
5838;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2014;304.0
5839;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 35 to 54 years;2015;
5840;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2008;87.0
5841;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2009;90.0
5842;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2010;91.0
5843;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2011;98.0
5844;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2012;102.0
5845;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2013;105.0
5846;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2014;109.0
5847;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Age: 55 years or older;2015;
5848;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2008;82.0
5849;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2009;80.0
5850;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2010;81.0
5851;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2011;84.0
5852;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2012;84.0
5853;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2013;85.0
5854;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2014;85.0
5855;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: low (among lowest 30 percent);2015;
5856;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2008;397.0
5857;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2009;389.0
5858;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2010;385.0
5859;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2011;387.0
5860;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2012;378.0
5861;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2013;362.0
5862;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2014;356.0
5863;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: middle;2015;
5864;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2008;139.0
5865;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2009;131.0
5866;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2010;127.0
5867;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2011;129.0
5868;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2012;130.0
5869;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2013;127.0
5870;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2014;127.0
5871;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Wage: high (among highest 20 percent);2015;
5872;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2008;597.0
5873;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2009;580.0
5874;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2010;571.0
5875;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2011;576.0
5876;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2012;567.0
5877;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2013;550.0
5878;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2014;543.0
5879;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Dutch;2015;
5880;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2008;
5881;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2009;
5882;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2010;
5883;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2011;
5884;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2012;
5885;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2013;
5886;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2014;
5887;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Belgian;2015;
5888;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2008;
5889;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2009;
5890;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2010;
5891;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2011;
5892;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2012;
5893;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2013;
5894;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2014;
5895;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: British;2015;
5896;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2008;5.0
5897;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2009;4.0
5898;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2010;4.0
5899;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2011;4.0
5900;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2012;5.0
5901;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2013;4.0
5902;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2014;4.0
5903;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: German;2015;
5904;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2008;
5905;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2009;
5906;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2010;
5907;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2011;
5908;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2012;4.0
5909;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2013;4.0
5910;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2014;4.0
5911;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Polish;2015;
5912;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2008;
5913;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2009;
5914;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2010;
5915;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2011;
5916;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2012;
5917;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2013;
5918;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2014;
5919;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: Indian;2015;
5920;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2008;10.0
5921;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2009;9.0
5922;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2010;9.0
5923;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2011;9.0
5924;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2012;10.0
5925;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2013;10.0
5926;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2014;10.0
5927;Total domestic and foreign;B-F Manufacturing and energy;200 Intermediate education;Nationality: other;2015;
5928;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2008;197.0
5929;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2009;194.0
5930;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2010;198.0
5931;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2011;204.0
5932;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2012;209.0
5933;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2013;209.0
5934;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2014;213.0
5935;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Total ;2015;
5936;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2008;25.0
5937;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2009;24.0
5938;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2010;26.0
5939;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2011;27.0
5940;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2012;30.0
5941;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2013;31.0
5942;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2014;32.0
5943;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: specified time;2015;
5944;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2008;166.0
5945;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2009;163.0
5946;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2010;165.0
5947;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2011;169.0
5948;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2012;172.0
5949;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2013;170.0
5950;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2014;173.0
5951;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: unspecified time;2015;
5952;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2008;7.0
5953;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2009;7.0
5954;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2010;7.0
5955;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2011;8.0
5956;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2012;8.0
5957;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2013;8.0
5958;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2014;8.0
5959;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Type of contract: other;2015;
5960;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2008;159.0
