ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
4182;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2005;241.0
4183;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2006;123.0
4184;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2007;168.0
4185;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2008;161.0
4186;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2009;150.0
4187;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2010;164.0
4188;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2011;177.0
4189;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2012;188.0
4190;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2013;222.0
4191;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2014;212.0
4192;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2015;196.0
4193;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2016;192.0
4194;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2017;223.0
4195;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2018;206.0
4196;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2019;180.0
4197;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2020;49.0
4198;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2021;139.0
4199;HC13.9: Other out-patient curative care;HF31: Out-of-pocket excl cost sharing;2022;170.0
4200;HC13.9: Other out-patient curative care;HF32: Cost sharing;1998;0.0
4201;HC13.9: Other out-patient curative care;HF32: Cost sharing;1999;0.0
4202;HC13.9: Other out-patient curative care;HF32: Cost sharing;2000;0.0
4203;HC13.9: Other out-patient curative care;HF32: Cost sharing;2001;0.0
4204;HC13.9: Other out-patient curative care;HF32: Cost sharing;2002;0.0
4205;HC13.9: Other out-patient curative care;HF32: Cost sharing;2003;0.0
4206;HC13.9: Other out-patient curative care;HF32: Cost sharing;2004;0.0
4207;HC13.9: Other out-patient curative care;HF32: Cost sharing;2005;0.0
4208;HC13.9: Other out-patient curative care;HF32: Cost sharing;2006;0.0
4209;HC13.9: Other out-patient curative care;HF32: Cost sharing;2007;0.0
4210;HC13.9: Other out-patient curative care;HF32: Cost sharing;2008;0.0
4211;HC13.9: Other out-patient curative care;HF32: Cost sharing;2009;0.0
4212;HC13.9: Other out-patient curative care;HF32: Cost sharing;2010;0.0
4213;HC13.9: Other out-patient curative care;HF32: Cost sharing;2011;0.0
4214;HC13.9: Other out-patient curative care;HF32: Cost sharing;2012;0.0
4215;HC13.9: Other out-patient curative care;HF32: Cost sharing;2013;0.0
4216;HC13.9: Other out-patient curative care;HF32: Cost sharing;2014;0.0
4217;HC13.9: Other out-patient curative care;HF32: Cost sharing;2015;0.0
4218;HC13.9: Other out-patient curative care;HF32: Cost sharing;2016;0.0
4219;HC13.9: Other out-patient curative care;HF32: Cost sharing;2017;0.0
4220;HC13.9: Other out-patient curative care;HF32: Cost sharing;2018;0.0
4221;HC13.9: Other out-patient curative care;HF32: Cost sharing;2019;0.0
4222;HC13.9: Other out-patient curative care;HF32: Cost sharing;2020;0.0
4223;HC13.9: Other out-patient curative care;HF32: Cost sharing;2021;0.0
4224;HC13.9: Other out-patient curative care;HF32: Cost sharing;2022;0.0
4225;HC13.9: Other out-patient curative care;"Rest of the world; exports";1998;2.0
4226;HC13.9: Other out-patient curative care;"Rest of the world; exports";1999;3.0
4227;HC13.9: Other out-patient curative care;"Rest of the world; exports";2000;2.0
4228;HC13.9: Other out-patient curative care;"Rest of the world; exports";2001;2.0
4229;HC13.9: Other out-patient curative care;"Rest of the world; exports";2002;2.0
4230;HC13.9: Other out-patient curative care;"Rest of the world; exports";2003;2.0
4231;HC13.9: Other out-patient curative care;"Rest of the world; exports";2004;2.0
4232;HC13.9: Other out-patient curative care;"Rest of the world; exports";2005;2.0
4233;HC13.9: Other out-patient curative care;"Rest of the world; exports";2006;2.0
4234;HC13.9: Other out-patient curative care;"Rest of the world; exports";2007;2.0
4235;HC13.9: Other out-patient curative care;"Rest of the world; exports";2008;2.0
4236;HC13.9: Other out-patient curative care;"Rest of the world; exports";2009;2.0
4237;HC13.9: Other out-patient curative care;"Rest of the world; exports";2010;2.0
4238;HC13.9: Other out-patient curative care;"Rest of the world; exports";2011;2.0
4239;HC13.9: Other out-patient curative care;"Rest of the world; exports";2012;2.0
4240;HC13.9: Other out-patient curative care;"Rest of the world; exports";2013;2.0
4241;HC13.9: Other out-patient curative care;"Rest of the world; exports";2014;2.0
4242;HC13.9: Other out-patient curative care;"Rest of the world; exports";2015;2.0
4243;HC13.9: Other out-patient curative care;"Rest of the world; exports";2016;2.0
4244;HC13.9: Other out-patient curative care;"Rest of the world; exports";2017;2.0
4245;HC13.9: Other out-patient curative care;"Rest of the world; exports";2018;2.0
4246;HC13.9: Other out-patient curative care;"Rest of the world; exports";2019;2.0
4247;HC13.9: Other out-patient curative care;"Rest of the world; exports";2020;2.0
4248;HC13.9: Other out-patient curative care;"Rest of the world; exports";2021;2.0
4249;HC13.9: Other out-patient curative care;"Rest of the world; exports";2022;2.0
4250;HC14: Services of curative home care;Total financ schemes health,social care;1998;278.0
4251;HC14: Services of curative home care;Total financ schemes health,social care;1999;287.0
4252;HC14: Services of curative home care;Total financ schemes health,social care;2000;325.0
4253;HC14: Services of curative home care;Total financ schemes health,social care;2001;364.0
4254;HC14: Services of curative home care;Total financ schemes health,social care;2002;403.0
4255;HC14: Services of curative home care;Total financ schemes health,social care;2003;454.0
4256;HC14: Services of curative home care;Total financ schemes health,social care;2004;436.0
4257;HC14: Services of curative home care;Total financ schemes health,social care;2005;426.0
4258;HC14: Services of curative home care;Total financ schemes health,social care;2006;444.0
4259;HC14: Services of curative home care;Total financ schemes health,social care;2007;453.0
4260;HC14: Services of curative home care;Total financ schemes health,social care;2008;488.0
4261;HC14: Services of curative home care;Total financ schemes health,social care;2009;512.0
4262;HC14: Services of curative home care;Total financ schemes health,social care;2010;530.0
4263;HC14: Services of curative home care;Total financ schemes health,social care;2011;545.0
4264;HC14: Services of curative home care;Total financ schemes health,social care;2012;553.0
4265;HC14: Services of curative home care;Total financ schemes health,social care;2013;550.0
4266;HC14: Services of curative home care;Total financ schemes health,social care;2014;588.0
4267;HC14: Services of curative home care;Total financ schemes health,social care;2015;584.0
4268;HC14: Services of curative home care;Total financ schemes health,social care;2016;590.0
4269;HC14: Services of curative home care;Total financ schemes health,social care;2017;600.0
4270;HC14: Services of curative home care;Total financ schemes health,social care;2018;620.0
4271;HC14: Services of curative home care;Total financ schemes health,social care;2019;643.0
4272;HC14: Services of curative home care;Total financ schemes health,social care;2020;631.0
4273;HC14: Services of curative home care;Total financ schemes health,social care;2021;663.0
4274;HC14: Services of curative home care;Total financ schemes health,social care;2022;651.0
4275;HC14: Services of curative home care;Total financing of residents;1998;278.0
4276;HC14: Services of curative home care;Total financing of residents;1999;287.0
4277;HC14: Services of curative home care;Total financing of residents;2000;325.0
4278;HC14: Services of curative home care;Total financing of residents;2001;364.0
4279;HC14: Services of curative home care;Total financing of residents;2002;402.0
4280;HC14: Services of curative home care;Total financing of residents;2003;454.0
4281;HC14: Services of curative home care;Total financing of residents;2004;435.0
4282;HC14: Services of curative home care;Total financing of residents;2005;426.0
4283;HC14: Services of curative home care;Total financing of residents;2006;444.0
4284;HC14: Services of curative home care;Total financing of residents;2007;452.0
4285;HC14: Services of curative home care;Total financing of residents;2008;488.0
4286;HC14: Services of curative home care;Total financing of residents;2009;512.0
4287;HC14: Services of curative home care;Total financing of residents;2010;529.0
4288;HC14: Services of curative home care;Total financing of residents;2011;545.0
4289;HC14: Services of curative home care;Total financing of residents;2012;553.0
4290;HC14: Services of curative home care;Total financing of residents;2013;550.0
4291;HC14: Services of curative home care;Total financing of residents;2014;588.0
4292;HC14: Services of curative home care;Total financing of residents;2015;584.0
4293;HC14: Services of curative home care;Total financing of residents;2016;590.0
4294;HC14: Services of curative home care;Total financing of residents;2017;600.0
4295;HC14: Services of curative home care;Total financing of residents;2018;620.0
4296;HC14: Services of curative home care;Total financing of residents;2019;643.0
4297;HC14: Services of curative home care;Total financing of residents;2020;631.0
4298;HC14: Services of curative home care;Total financing of residents;2021;662.0
4299;HC14: Services of curative home care;Total financing of residents;2022;651.0
4300;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;1998;200.0
4301;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;1999;213.0
4302;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2000;247.0
4303;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2001;282.0
4304;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2002;301.0
4305;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2003;331.0
4306;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2004;315.0
4307;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2005;297.0
4308;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2006;405.0
4309;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2007;416.0
4310;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2008;455.0
4311;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2009;472.0
4312;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2010;489.0
4313;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2011;504.0
4314;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2012;512.0
4315;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2013;511.0
4316;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2014;547.0
4317;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2015;552.0
4318;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2016;561.0
4319;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2017;574.0
4320;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2018;594.0
4321;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2019;616.0
4322;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2020;605.0
4323;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2021;635.0
4324;HC14: Services of curative home care;HF1: Government, comp. contr. schemes;2022;625.0
4325;HC14: Services of curative home care;HF11: Government schemes;1998;0.0
4326;HC14: Services of curative home care;HF11: Government schemes;1999;0.0
4327;HC14: Services of curative home care;HF11: Government schemes;2000;0.0
4328;HC14: Services of curative home care;HF11: Government schemes;2001;0.0
4329;HC14: Services of curative home care;HF11: Government schemes;2002;0.0
4330;HC14: Services of curative home care;HF11: Government schemes;2003;0.0
4331;HC14: Services of curative home care;HF11: Government schemes;2004;0.0
4332;HC14: Services of curative home care;HF11: Government schemes;2005;0.0
4333;HC14: Services of curative home care;HF11: Government schemes;2006;0.0
4334;HC14: Services of curative home care;HF11: Government schemes;2007;0.0
4335;HC14: Services of curative home care;HF11: Government schemes;2008;0.0
4336;HC14: Services of curative home care;HF11: Government schemes;2009;0.0
4337;HC14: Services of curative home care;HF11: Government schemes;2010;0.0
4338;HC14: Services of curative home care;HF11: Government schemes;2011;0.0
4339;HC14: Services of curative home care;HF11: Government schemes;2012;0.0
4340;HC14: Services of curative home care;HF11: Government schemes;2013;0.0
4341;HC14: Services of curative home care;HF11: Government schemes;2014;0.0
4342;HC14: Services of curative home care;HF11: Government schemes;2015;0.0
4343;HC14: Services of curative home care;HF11: Government schemes;2016;0.0
4344;HC14: Services of curative home care;HF11: Government schemes;2017;0.0
4345;HC14: Services of curative home care;HF11: Government schemes;2018;0.0
4346;HC14: Services of curative home care;HF11: Government schemes;2019;0.0
4347;HC14: Services of curative home care;HF11: Government schemes;2020;0.0
4348;HC14: Services of curative home care;HF11: Government schemes;2021;0.0
4349;HC14: Services of curative home care;HF11: Government schemes;2022;0.0
4350;HC14: Services of curative home care;HF12: Compulsory contributory schemes;1998;200.0
4351;HC14: Services of curative home care;HF12: Compulsory contributory schemes;1999;213.0
4352;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2000;247.0
4353;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2001;282.0
4354;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2002;301.0
4355;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2003;331.0
4356;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2004;315.0
4357;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2005;297.0
4358;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2006;405.0
4359;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2007;416.0
4360;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2008;455.0
4361;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2009;472.0
4362;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2010;489.0
4363;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2011;504.0
4364;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2012;512.0
4365;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2013;511.0
4366;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2014;547.0
4367;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2015;552.0
4368;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2016;561.0
4369;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2017;574.0
4370;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2018;594.0
4371;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2019;616.0
4372;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2020;605.0
4373;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2021;635.0
4374;HC14: Services of curative home care;HF12: Compulsory contributory schemes;2022;625.0
4375;HC14: Services of curative home care;HF121a: Long-term care insurance;1998;0.0
4376;HC14: Services of curative home care;HF121a: Long-term care insurance;1999;0.0
4377;HC14: Services of curative home care;HF121a: Long-term care insurance;2000;0.0
4378;HC14: Services of curative home care;HF121a: Long-term care insurance;2001;0.0
4379;HC14: Services of curative home care;HF121a: Long-term care insurance;2002;0.0
4380;HC14: Services of curative home care;HF121a: Long-term care insurance;2003;0.0
4381;HC14: Services of curative home care;HF121a: Long-term care insurance;2004;0.0
4382;HC14: Services of curative home care;HF121a: Long-term care insurance;2005;0.0
4383;HC14: Services of curative home care;HF121a: Long-term care insurance;2006;0.0
4384;HC14: Services of curative home care;HF121a: Long-term care insurance;2007;0.0
4385;HC14: Services of curative home care;HF121a: Long-term care insurance;2008;0.0
4386;HC14: Services of curative home care;HF121a: Long-term care insurance;2009;0.0
4387;HC14: Services of curative home care;HF121a: Long-term care insurance;2010;0.0
4388;HC14: Services of curative home care;HF121a: Long-term care insurance;2011;0.0
4389;HC14: Services of curative home care;HF121a: Long-term care insurance;2012;0.0
4390;HC14: Services of curative home care;HF121a: Long-term care insurance;2013;0.0
4391;HC14: Services of curative home care;HF121a: Long-term care insurance;2014;0.0
4392;HC14: Services of curative home care;HF121a: Long-term care insurance;2015;1.0
4393;HC14: Services of curative home care;HF121a: Long-term care insurance;2016;0.0
4394;HC14: Services of curative home care;HF121a: Long-term care insurance;2017;0.0
4395;HC14: Services of curative home care;HF121a: Long-term care insurance;2018;0.0
4396;HC14: Services of curative home care;HF121a: Long-term care insurance;2019;0.0
4397;HC14: Services of curative home care;HF121a: Long-term care insurance;2020;0.0
4398;HC14: Services of curative home care;HF121a: Long-term care insurance;2021;0.0
4399;HC14: Services of curative home care;HF121a: Long-term care insurance;2022;0.0
4400;HC14: Services of curative home care;HF121b: Health Insurance Fund;1998;200.0
4401;HC14: Services of curative home care;HF121b: Health Insurance Fund;1999;213.0
4402;HC14: Services of curative home care;HF121b: Health Insurance Fund;2000;247.0
4403;HC14: Services of curative home care;HF121b: Health Insurance Fund;2001;282.0
4404;HC14: Services of curative home care;HF121b: Health Insurance Fund;2002;301.0
4405;HC14: Services of curative home care;HF121b: Health Insurance Fund;2003;331.0
4406;HC14: Services of curative home care;HF121b: Health Insurance Fund;2004;315.0
4407;HC14: Services of curative home care;HF121b: Health Insurance Fund;2005;297.0
4408;HC14: Services of curative home care;HF121b: Health Insurance Fund;2006;0.0
4409;HC14: Services of curative home care;HF121b: Health Insurance Fund;2007;
4410;HC14: Services of curative home care;HF121b: Health Insurance Fund;2008;
4411;HC14: Services of curative home care;HF121b: Health Insurance Fund;2009;
4412;HC14: Services of curative home care;HF121b: Health Insurance Fund;2010;
4413;HC14: Services of curative home care;HF121b: Health Insurance Fund;2011;
4414;HC14: Services of curative home care;HF121b: Health Insurance Fund;2012;
4415;HC14: Services of curative home care;HF121b: Health Insurance Fund;2013;
4416;HC14: Services of curative home care;HF121b: Health Insurance Fund;2014;
4417;HC14: Services of curative home care;HF121b: Health Insurance Fund;2015;
4418;HC14: Services of curative home care;HF121b: Health Insurance Fund;2016;
4419;HC14: Services of curative home care;HF121b: Health Insurance Fund;2017;
4420;HC14: Services of curative home care;HF121b: Health Insurance Fund;2018;
4421;HC14: Services of curative home care;HF121b: Health Insurance Fund;2019;
4422;HC14: Services of curative home care;HF121b: Health Insurance Fund;2020;
4423;HC14: Services of curative home care;HF121b: Health Insurance Fund;2021;
4424;HC14: Services of curative home care;HF121b: Health Insurance Fund;2022;
4425;HC14: Services of curative home care;HF122: Compulsory private insurance;1998;
4426;HC14: Services of curative home care;HF122: Compulsory private insurance;1999;
4427;HC14: Services of curative home care;HF122: Compulsory private insurance;2000;
4428;HC14: Services of curative home care;HF122: Compulsory private insurance;2001;
4429;HC14: Services of curative home care;HF122: Compulsory private insurance;2002;
4430;HC14: Services of curative home care;HF122: Compulsory private insurance;2003;
4431;HC14: Services of curative home care;HF122: Compulsory private insurance;2004;
4432;HC14: Services of curative home care;HF122: Compulsory private insurance;2005;
4433;HC14: Services of curative home care;HF122: Compulsory private insurance;2006;405.0
4434;HC14: Services of curative home care;HF122: Compulsory private insurance;2007;416.0
4435;HC14: Services of curative home care;HF122: Compulsory private insurance;2008;455.0
4436;HC14: Services of curative home care;HF122: Compulsory private insurance;2009;472.0
4437;HC14: Services of curative home care;HF122: Compulsory private insurance;2010;489.0
4438;HC14: Services of curative home care;HF122: Compulsory private insurance;2011;504.0
4439;HC14: Services of curative home care;HF122: Compulsory private insurance;2012;512.0
4440;HC14: Services of curative home care;HF122: Compulsory private insurance;2013;511.0
4441;HC14: Services of curative home care;HF122: Compulsory private insurance;2014;547.0
4442;HC14: Services of curative home care;HF122: Compulsory private insurance;2015;550.0
4443;HC14: Services of curative home care;HF122: Compulsory private insurance;2016;561.0
4444;HC14: Services of curative home care;HF122: Compulsory private insurance;2017;574.0
4445;HC14: Services of curative home care;HF122: Compulsory private insurance;2018;594.0
4446;HC14: Services of curative home care;HF122: Compulsory private insurance;2019;616.0
4447;HC14: Services of curative home care;HF122: Compulsory private insurance;2020;605.0
4448;HC14: Services of curative home care;HF122: Compulsory private insurance;2021;635.0
4449;HC14: Services of curative home care;HF122: Compulsory private insurance;2022;625.0
4450;HC14: Services of curative home care;Voluntary schemes (incl. OOP);1998;78.0
4451;HC14: Services of curative home care;Voluntary schemes (incl. OOP);1999;74.0
4452;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2000;77.0
4453;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2001;82.0
4454;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2002;102.0
4455;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2003;123.0
4456;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2004;120.0
4457;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2005;129.0
4458;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2006;39.0
4459;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2007;37.0
4460;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2008;33.0
4461;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2009;40.0
4462;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2010;41.0
4463;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2011;41.0
4464;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2012;41.0
4465;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2013;39.0
4466;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2014;41.0
4467;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2015;32.0
4468;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2016;29.0
4469;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2017;26.0
4470;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2018;26.0
4471;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2019;26.0
4472;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2020;26.0
4473;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2021;27.0
4474;HC14: Services of curative home care;Voluntary schemes (incl. OOP);2022;26.0
4475;HC14: Services of curative home care;HF2: Voluntary schemes;1998;45.0
4476;HC14: Services of curative home care;HF2: Voluntary schemes;1999;47.0
4477;HC14: Services of curative home care;HF2: Voluntary schemes;2000;49.0
4478;HC14: Services of curative home care;HF2: Voluntary schemes;2001;53.0
4479;HC14: Services of curative home care;HF2: Voluntary schemes;2002;65.0
4480;HC14: Services of curative home care;HF2: Voluntary schemes;2003;78.0
4481;HC14: Services of curative home care;HF2: Voluntary schemes;2004;77.0
4482;HC14: Services of curative home care;HF2: Voluntary schemes;2005;78.0
4483;HC14: Services of curative home care;HF2: Voluntary schemes;2006;0.0
4484;HC14: Services of curative home care;HF2: Voluntary schemes;2007;0.0
4485;HC14: Services of curative home care;HF2: Voluntary schemes;2008;0.0
4486;HC14: Services of curative home care;HF2: Voluntary schemes;2009;0.0
4487;HC14: Services of curative home care;HF2: Voluntary schemes;2010;0.0
4488;HC14: Services of curative home care;HF2: Voluntary schemes;2011;0.0
4489;HC14: Services of curative home care;HF2: Voluntary schemes;2012;0.0
4490;HC14: Services of curative home care;HF2: Voluntary schemes;2013;0.0
4491;HC14: Services of curative home care;HF2: Voluntary schemes;2014;0.0
4492;HC14: Services of curative home care;HF2: Voluntary schemes;2015;0.0
4493;HC14: Services of curative home care;HF2: Voluntary schemes;2016;0.0
4494;HC14: Services of curative home care;HF2: Voluntary schemes;2017;0.0
4495;HC14: Services of curative home care;HF2: Voluntary schemes;2018;0.0
4496;HC14: Services of curative home care;HF2: Voluntary schemes;2019;0.0
4497;HC14: Services of curative home care;HF2: Voluntary schemes;2020;0.0
4498;HC14: Services of curative home care;HF2: Voluntary schemes;2021;0.0
4499;HC14: Services of curative home care;HF2: Voluntary schemes;2022;0.0
4500;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;1998;45.0
4501;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;1999;47.0
4502;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2000;49.0
4503;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2001;53.0
4504;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2002;65.0
4505;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2003;78.0
4506;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2004;77.0
4507;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2005;78.0
4508;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2006;0.0
4509;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2007;0.0
4510;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2008;0.0
4511;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2009;0.0
4512;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2010;0.0
4513;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2011;0.0
4514;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2012;0.0
4515;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2013;0.0
4516;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2014;0.0
4517;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2015;0.0
4518;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2016;0.0
4519;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2017;0.0
4520;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2018;0.0
4521;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2019;0.0
4522;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2020;0.0
4523;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2021;0.0
4524;HC14: Services of curative home care;HF21: Voluntary health insurance schemes;2022;0.0
4525;HC14: Services of curative home care;HF22: Financing schemes NPI;1998;0.0
4526;HC14: Services of curative home care;HF22: Financing schemes NPI;1999;0.0
4527;HC14: Services of curative home care;HF22: Financing schemes NPI;2000;0.0
4528;HC14: Services of curative home care;HF22: Financing schemes NPI;2001;0.0
4529;HC14: Services of curative home care;HF22: Financing schemes NPI;2002;0.0
4530;HC14: Services of curative home care;HF22: Financing schemes NPI;2003;0.0
4531;HC14: Services of curative home care;HF22: Financing schemes NPI;2004;0.0
4532;HC14: Services of curative home care;HF22: Financing schemes NPI;2005;0.0
4533;HC14: Services of curative home care;HF22: Financing schemes NPI;2006;0.0
4534;HC14: Services of curative home care;HF22: Financing schemes NPI;2007;0.0
4535;HC14: Services of curative home care;HF22: Financing schemes NPI;2008;0.0
4536;HC14: Services of curative home care;HF22: Financing schemes NPI;2009;0.0
4537;HC14: Services of curative home care;HF22: Financing schemes NPI;2010;0.0
4538;HC14: Services of curative home care;HF22: Financing schemes NPI;2011;0.0
4539;HC14: Services of curative home care;HF22: Financing schemes NPI;2012;0.0
4540;HC14: Services of curative home care;HF22: Financing schemes NPI;2013;0.0
4541;HC14: Services of curative home care;HF22: Financing schemes NPI;2014;0.0
4542;HC14: Services of curative home care;HF22: Financing schemes NPI;2015;0.0
4543;HC14: Services of curative home care;HF22: Financing schemes NPI;2016;0.0
4544;HC14: Services of curative home care;HF22: Financing schemes NPI;2017;0.0
4545;HC14: Services of curative home care;HF22: Financing schemes NPI;2018;0.0
4546;HC14: Services of curative home care;HF22: Financing schemes NPI;2019;0.0
4547;HC14: Services of curative home care;HF22: Financing schemes NPI;2020;0.0
4548;HC14: Services of curative home care;HF22: Financing schemes NPI;2021;0.0
4549;HC14: Services of curative home care;HF22: Financing schemes NPI;2022;0.0
4550;HC14: Services of curative home care;HF23: Enterprise financing schemes;1998;0.0
4551;HC14: Services of curative home care;HF23: Enterprise financing schemes;1999;0.0
4552;HC14: Services of curative home care;HF23: Enterprise financing schemes;2000;0.0
4553;HC14: Services of curative home care;HF23: Enterprise financing schemes;2001;0.0
4554;HC14: Services of curative home care;HF23: Enterprise financing schemes;2002;0.0
4555;HC14: Services of curative home care;HF23: Enterprise financing schemes;2003;0.0
4556;HC14: Services of curative home care;HF23: Enterprise financing schemes;2004;0.0
4557;HC14: Services of curative home care;HF23: Enterprise financing schemes;2005;0.0
4558;HC14: Services of curative home care;HF23: Enterprise financing schemes;2006;0.0
4559;HC14: Services of curative home care;HF23: Enterprise financing schemes;2007;0.0
4560;HC14: Services of curative home care;HF23: Enterprise financing schemes;2008;0.0
4561;HC14: Services of curative home care;HF23: Enterprise financing schemes;2009;0.0
4562;HC14: Services of curative home care;HF23: Enterprise financing schemes;2010;0.0
4563;HC14: Services of curative home care;HF23: Enterprise financing schemes;2011;0.0
4564;HC14: Services of curative home care;HF23: Enterprise financing schemes;2012;0.0
4565;HC14: Services of curative home care;HF23: Enterprise financing schemes;2013;0.0
