ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
1362;Mannen;26 jaar;1975 tot 1980;88.3;4.1;11.8;84.1;37.4;3.3;;;92.3;72.4;19.9;78.5;21.5;7.7;2.8;4.9;;;38.0;68.0;7.0
1363;Mannen;26 jaar;1980 tot 1985;89.6;4.7;13.9;81.4;37.0;3.3;;3.3;91.3;67.5;23.8;73.9;26.1;8.7;2.3;6.4;26.4;73.6;34.0;72.0;7.0
1364;Mannen;26 jaar;1985 tot 1990;82.4;5.9;18.8;75.3;35.8;3.4;;3.4;88.9;58.0;30.9;65.3;34.7;11.1;2.0;9.1;18.0;82.0;;;
1365;Mannen;26 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1366;Mannen;26 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1367;Mannen;26 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1368;Mannen;27 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1369;Mannen;27 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1370;Mannen;27 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1371;Mannen;27 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1372;Mannen;27 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1373;Mannen;27 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1374;Mannen;27 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1375;Mannen;27 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1376;Mannen;27 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
1377;Mannen;27 jaar;1955 tot 1960;87.3;3.7;8.0;88.3;38.5;;;;92.1;;;;;7.9;;;;;;;
1378;Mannen;27 jaar;1960 tot 1965;88.3;2.2;6.8;91.0;39.2;3.9;;;92.6;83.4;9.9;89.4;10.6;7.4;2.5;4.1;;;;;
1379;Mannen;27 jaar;1965 tot 1970;87.4;1.9;6.9;91.2;39.8;3.9;;;91.8;76.7;15.1;83.5;16.5;8.2;3.0;5.2;36.5;63.5;;;
1380;Mannen;27 jaar;1970 tot 1975;90.6;1.5;7.5;91.0;39.4;3.4;;;92.8;76.0;16.9;81.8;18.2;7.2;2.7;4.5;;;;;6.0
1381;Mannen;27 jaar;1975 tot 1980;90.4;2.6;10.8;86.6;38.3;3.6;;;91.8;73.7;18.1;80.3;19.7;8.2;2.5;5.7;30.6;69.4;42.0;64.0;7.0
1382;Mannen;27 jaar;1980 tot 1985;89.3;3.3;13.2;83.5;37.7;3.7;;3.7;90.3;68.5;21.8;75.9;24.1;9.7;2.4;7.4;24.3;75.7;38.0;69.0;8.0
1383;Mannen;27 jaar;1985 tot 1990;85.3;3.7;17.5;78.7;37.1;3.7;;3.7;88.5;59.7;29.5;66.9;33.1;11.5;2.6;8.9;22.9;77.1;;;
1384;Mannen;27 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1385;Mannen;27 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1386;Mannen;27 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1387;Mannen;28 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1388;Mannen;28 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1389;Mannen;28 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1390;Mannen;28 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1391;Mannen;28 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1392;Mannen;28 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1393;Mannen;28 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1394;Mannen;28 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1395;Mannen;28 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
1396;Mannen;28 jaar;1955 tot 1960;87.0;2.5;5.5;92.0;39.2;;;;92.2;;;;;7.8;;;;;;;
1397;Mannen;28 jaar;1960 tot 1965;90.4;1.6;6.2;92.2;39.6;4.5;;;93.1;82.9;10.2;89.0;11.0;6.9;2.6;4.4;;;;;
1398;Mannen;28 jaar;1965 tot 1970;88.6;1.4;6.7;92.0;40.0;4.4;;;91.3;77.8;13.5;85.2;14.8;8.7;3.9;4.9;44.3;55.7;;;
1399;Mannen;28 jaar;1970 tot 1975;92.1;1.1;6.8;92.1;40.1;3.8;;;90.4;77.3;13.1;85.5;14.5;9.6;3.6;6.0;37.8;62.2;45.0;64.0;6.0
1400;Mannen;28 jaar;1975 tot 1980;91.3;1.9;9.9;88.2;39.1;4.0;;;90.4;73.4;17.0;81.2;18.8;9.6;3.4;6.2;35.2;64.8;46.0;60.0;7.0
1401;Mannen;28 jaar;1980 tot 1985;89.3;2.4;12.1;85.5;38.4;4.1;;4.1;88.4;69.1;19.2;78.2;21.8;11.6;3.0;8.6;25.9;74.1;;;
1402;Mannen;28 jaar;1985 tot 1990;87.3;2.7;15.1;82.2;38.1;4.1;;4.1;87.6;64.6;26.7;70.8;29.2;12.4;2.6;9.8;21.1;78.9;;;
1403;Mannen;28 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1404;Mannen;28 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1405;Mannen;28 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1406;Mannen;29 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1407;Mannen;29 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1408;Mannen;29 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1409;Mannen;29 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1410;Mannen;29 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1411;Mannen;29 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1412;Mannen;29 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1413;Mannen;29 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1414;Mannen;29 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
1415;Mannen;29 jaar;1955 tot 1960;88.8;1.9;6.8;91.3;39.8;;;;91.5;;;;;8.5;;;;;;;
1416;Mannen;29 jaar;1960 tot 1965;89.1;1.3;6.6;92.1;40.0;5.0;;;90.7;81.9;8.6;90.5;9.5;9.3;3.9;5.5;41.7;58.3;;;
1417;Mannen;29 jaar;1965 tot 1970;90.9;0.9;6.4;92.7;40.2;4.7;;;91.6;79.3;12.2;86.6;13.4;8.4;3.2;5.3;37.6;62.4;;;
1418;Mannen;29 jaar;1970 tot 1975;92.6;0.8;7.9;91.4;39.9;4.2;;;89.7;77.8;11.9;86.7;13.3;10.3;4.3;6.0;41.6;58.4;50.0;59.0;7.0
1419;Mannen;29 jaar;1975 tot 1980;92.4;1.2;9.2;89.6;39.7;4.3;;;89.0;73.9;15.1;83.1;16.9;11.0;3.7;7.3;33.3;66.7;49.0;58.0;7.0
1420;Mannen;29 jaar;1980 tot 1985;90.1;1.9;12.0;86.1;38.6;4.5;;4.5;87.6;69.5;18.1;79.4;20.6;12.4;3.4;9.0;27.4;72.6;;;
1421;Mannen;29 jaar;1985 tot 1990;89.0;2.0;14.1;83.9;38.5;4.4;;4.4;86.6;70.0;23.5;74.9;25.1;13.4;3.6;9.8;27.1;72.9;;;
1422;Mannen;29 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1423;Mannen;29 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1424;Mannen;29 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1425;Mannen;30 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1426;Mannen;30 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1427;Mannen;30 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1428;Mannen;30 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1429;Mannen;30 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1430;Mannen;30 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1431;Mannen;30 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1432;Mannen;30 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1433;Mannen;30 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
1434;Mannen;30 jaar;1955 tot 1960;90.7;1.8;7.8;90.4;39.4;;;;90.8;;;;;9.2;;;;;;;
1435;Mannen;30 jaar;1960 tot 1965;89.7;0.8;6.6;92.5;40.3;5.4;;;90.9;82.6;8.0;91.1;8.9;9.1;3.9;5.5;41.6;58.4;;;
1436;Mannen;30 jaar;1965 tot 1970;91.7;1.0;6.2;92.8;40.3;5.0;;;90.6;78.2;12.4;86.3;13.7;9.4;4.6;4.8;48.5;51.5;;;
1437;Mannen;30 jaar;1970 tot 1975;92.0;0.7;8.0;91.2;39.9;4.7;;;88.9;77.6;11.3;87.2;12.8;11.1;4.3;6.8;38.6;61.4;54.0;54.0;8.0
1438;Mannen;30 jaar;1975 tot 1980;93.4;0.8;9.5;89.7;39.7;4.6;;;88.5;74.5;14.0;84.2;15.8;11.5;3.4;8.1;29.8;70.2;51.0;57.0;7.0
1439;Mannen;30 jaar;1980 tot 1985;89.5;1.7;12.7;85.7;38.8;4.9;;4.9;87.0;69.4;17.6;79.8;20.2;13.0;3.0;10.0;23.4;76.6;;;
1440;Mannen;30 jaar;1985 tot 1990;89.7;1.4;14.8;83.8;38.6;4.7;;4.7;86.0;73.1;22.0;76.9;23.1;14.0;3.8;10.3;26.8;73.2;;;
1441;Mannen;30 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1442;Mannen;30 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1443;Mannen;30 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1444;Mannen;31 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1445;Mannen;31 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1446;Mannen;31 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1447;Mannen;31 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1448;Mannen;31 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1449;Mannen;31 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1450;Mannen;31 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1451;Mannen;31 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1452;Mannen;31 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
1453;Mannen;31 jaar;1955 tot 1960;89.6;1.5;7.8;90.7;39.7;;;;90.4;;;;;9.6;;;;;;;
1454;Mannen;31 jaar;1960 tot 1965;90.3;0.8;6.6;92.6;40.6;6.2;;;89.4;82.5;6.8;92.4;7.6;10.6;4.4;6.2;41.2;58.8;;;
1455;Mannen;31 jaar;1965 tot 1970;92.0;0.5;7.9;91.6;40.3;5.2;;;89.9;78.9;11.1;87.7;12.3;10.1;4.4;5.7;43.7;56.3;;;
1456;Mannen;31 jaar;1970 tot 1975;91.8;0.9;8.4;90.7;40.1;5.1;;;87.4;76.5;10.8;87.6;12.4;12.6;4.5;8.1;35.8;64.2;56.0;50.0;8.0
1457;Mannen;31 jaar;1975 tot 1980;93.4;0.6;9.5;89.9;40.0;5.0;;5.0;86.4;73.5;12.8;85.1;14.9;13.6;4.2;9.4;30.9;69.1;52.0;56.0;8.0
1458;Mannen;31 jaar;1980 tot 1985;90.1;1.5;11.3;87.2;39.3;5.5;;5.4;84.6;68.4;16.2;80.9;19.1;15.4;3.8;11.5;24.9;75.1;;;
1459;Mannen;31 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1460;Mannen;31 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1461;Mannen;31 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1462;Mannen;31 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1463;Mannen;32 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1464;Mannen;32 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1465;Mannen;32 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1466;Mannen;32 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1467;Mannen;32 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1468;Mannen;32 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1469;Mannen;32 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1470;Mannen;32 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1471;Mannen;32 jaar;1950 tot 1955;89.1;;9.6;89.1;39.2;;;;90.3;;;;;9.7;;;;;;;
1472;Mannen;32 jaar;1955 tot 1960;91.1;1.3;7.8;90.9;39.9;6.4;;;90.0;82.1;6.9;92.3;7.7;10.0;4.8;6.3;;;;;
1473;Mannen;32 jaar;1960 tot 1965;90.8;0.7;6.8;92.5;40.6;6.6;;;89.1;82.0;7.1;92.1;7.9;10.9;4.5;6.4;41.6;58.4;;;
1474;Mannen;32 jaar;1965 tot 1970;93.0;0.7;7.5;91.9;40.6;5.9;;;87.9;78.8;9.1;89.7;10.3;12.1;5.3;6.9;43.4;56.6;;;7.0
1475;Mannen;32 jaar;1970 tot 1975;92.3;0.8;8.9;90.3;40.1;5.6;;;86.9;77.5;9.5;89.1;10.9;13.1;4.9;8.2;37.4;62.6;57.0;48.0;8.0
1476;Mannen;32 jaar;1975 tot 1980;93.4;0.8;9.7;89.5;40.0;5.5;;5.7;85.4;73.5;11.9;86.1;13.9;14.6;4.5;10.1;30.8;69.2;53.0;53.0;8.0
1477;Mannen;32 jaar;1980 tot 1985;90.3;1.2;12.6;86.2;39.5;6.0;;6.0;83.7;69.6;15.5;81.8;18.2;16.3;4.3;11.9;26.7;73.3;;;
1478;Mannen;32 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1479;Mannen;32 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1480;Mannen;32 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1481;Mannen;32 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1482;Mannen;33 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1483;Mannen;33 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1484;Mannen;33 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1485;Mannen;33 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1486;Mannen;33 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1487;Mannen;33 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1488;Mannen;33 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1489;Mannen;33 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1490;Mannen;33 jaar;1950 tot 1955;90.8;1.9;8.0;90.0;39.6;;;;90.0;;;;;10.0;;;;;;;
1491;Mannen;33 jaar;1955 tot 1960;91.2;1.2;7.2;91.6;40.1;7.1;;;89.8;82.4;6.4;92.8;7.2;10.2;5.2;6.1;;;;;
1492;Mannen;33 jaar;1960 tot 1965;90.8;0.8;7.4;91.8;40.6;7.0;;;89.2;81.4;7.7;91.3;8.7;10.8;5.1;5.8;46.8;53.2;;;
1493;Mannen;33 jaar;1965 tot 1970;93.6;0.7;7.7;91.6;40.7;6.1;;;86.8;78.3;8.5;90.2;9.8;13.2;5.9;7.3;44.9;55.1;58.0;50.0;8.0
1494;Mannen;33 jaar;1970 tot 1975;93.2;0.9;8.9;90.2;40.3;6.0;;;85.2;75.4;9.7;88.6;11.4;14.8;6.2;8.6;41.7;58.3;58.0;45.0;8.0
1495;Mannen;33 jaar;1975 tot 1980;92.9;0.8;11.2;88.0;39.9;5.9;;6.0;85.0;72.8;12.2;85.7;14.3;15.0;5.0;10.0;33.3;66.7;;;
1496;Mannen;33 jaar;1980 tot 1985;88.9;1.2;14.0;84.8;39.3;6.3;;6.3;83.0;72.4;15.6;82.3;17.7;17.0;4.9;12.1;28.8;71.2;;;
1497;Mannen;33 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1498;Mannen;33 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1499;Mannen;33 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1500;Mannen;33 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1501;Mannen;34 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1502;Mannen;34 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1503;Mannen;34 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1504;Mannen;34 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1505;Mannen;34 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1506;Mannen;34 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1507;Mannen;34 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1508;Mannen;34 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1509;Mannen;34 jaar;1950 tot 1955;91.2;1.9;9.2;88.9;39.7;;;;89.5;;;;;10.5;;;;;;;
1510;Mannen;34 jaar;1955 tot 1960;91.0;1.1;7.7;91.1;40.3;7.7;;;89.0;83.3;5.3;94.0;6.0;11.0;4.8;6.6;42.2;57.8;;;
1511;Mannen;34 jaar;1960 tot 1965;92.4;0.7;7.7;91.7;40.8;7.5;;;87.6;80.0;7.7;91.3;8.7;12.4;5.8;6.6;46.5;53.5;;;
1512;Mannen;34 jaar;1965 tot 1970;93.0;0.6;8.3;91.1;40.7;6.4;;;85.8;77.1;8.7;89.9;10.1;14.2;6.2;8.0;43.8;56.2;59.0;46.0;8.0
1513;Mannen;34 jaar;1970 tot 1975;93.8;0.7;9.8;89.5;40.5;6.2;;;84.4;74.9;9.6;88.7;11.3;15.6;6.1;9.4;39.5;60.5;58.0;45.0;8.0
1514;Mannen;34 jaar;1975 tot 1980;91.4;1.0;11.9;87.1;39.7;6.4;;6.4;84.1;72.1;12.0;85.8;14.2;15.9;5.7;10.2;36.0;64.0;;;
1515;Mannen;34 jaar;1980 tot 1985;90.2;0.9;14.4;84.7;39.4;6.6;;6.6;81.4;73.4;15.7;82.4;17.6;18.6;6.1;12.5;32.9;67.1;;;
1516;Mannen;34 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1517;Mannen;34 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1518;Mannen;34 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1519;Mannen;34 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1520;Mannen;35 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1521;Mannen;35 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1522;Mannen;35 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1523;Mannen;35 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1524;Mannen;35 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1525;Mannen;35 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1526;Mannen;35 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1527;Mannen;35 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1528;Mannen;35 jaar;1950 tot 1955;92.2;2.3;8.2;89.5;39.9;;;;88.8;;;;;11.2;;;;;;;
1529;Mannen;35 jaar;1955 tot 1960;91.1;0.7;7.5;91.8;40.4;8.5;;;89.0;83.1;5.5;93.8;6.2;11.0;5.3;6.1;46.4;53.6;;;
1530;Mannen;35 jaar;1960 tot 1965;92.3;0.7;8.1;91.2;40.7;7.9;;;88.2;80.9;7.3;91.8;8.2;11.8;5.6;6.2;47.5;52.5;;;
1531;Mannen;35 jaar;1965 tot 1970;92.7;0.6;8.8;90.6;40.5;6.9;;;85.3;77.7;7.6;91.1;8.9;14.7;5.8;8.9;39.7;60.3;61.0;42.0;9.0
1532;Mannen;35 jaar;1970 tot 1975;93.6;0.6;10.3;89.2;40.5;6.6;;;83.2;73.5;9.6;88.4;11.6;16.8;6.6;10.2;39.4;60.6;58.0;45.0;8.0
1533;Mannen;35 jaar;1975 tot 1980;90.6;0.9;12.3;86.9;39.8;7.0;;7.0;82.7;70.5;12.1;85.3;14.7;17.3;6.1;11.3;35.1;64.9;;;
1534;Mannen;35 jaar;1980 tot 1985;91.2;0.9;13.4;85.8;39.4;7.0;;7.0;81.9;77.6;16.0;82.9;17.1;18.1;5.3;12.7;29.5;70.5;;;
1535;Mannen;35 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1536;Mannen;35 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1537;Mannen;35 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1538;Mannen;35 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1539;Mannen;36 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1540;Mannen;36 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1541;Mannen;36 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1542;Mannen;36 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1543;Mannen;36 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1544;Mannen;36 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1545;Mannen;36 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1546;Mannen;36 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
1547;Mannen;36 jaar;1950 tot 1955;90.6;1.5;9.8;88.7;39.8;;;;89.0;;;;;11.0;;;;;;;
1548;Mannen;36 jaar;1955 tot 1960;90.5;0.8;7.5;91.8;40.8;8.9;;;87.8;83.1;4.8;94.6;5.4;12.2;5.5;6.6;45.3;54.7;;;
1549;Mannen;36 jaar;1960 tot 1965;93.3;0.6;8.4;91.0;40.8;8.1;;;85.6;78.7;6.8;92.0;8.0;14.4;6.9;7.5;47.8;52.2;;;
1550;Mannen;36 jaar;1965 tot 1970;92.9;0.7;9.5;89.8;40.5;7.4;;;84.1;77.5;6.6;92.1;7.9;15.9;6.4;9.4;40.5;59.5;61.0;40.0;9.0
1551;Mannen;36 jaar;1970 tot 1975;94.0;0.6;10.0;89.4;40.5;7.1;;7.0;82.2;73.1;9.1;88.9;11.1;17.8;6.9;10.8;39.1;60.9;57.0;45.0;8.0
1552;Mannen;36 jaar;1975 tot 1980;89.4;0.9;12.3;86.9;39.5;7.6;;7.5;82.5;71.2;11.3;86.3;13.7;17.5;5.6;11.9;32.0;68.0;;;
1553;Mannen;36 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
1554;Mannen;36 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1555;Mannen;36 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1556;Mannen;36 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1557;Mannen;36 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1558;Mannen;37 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1559;Mannen;37 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1560;Mannen;37 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1561;Mannen;37 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1562;Mannen;37 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1563;Mannen;37 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1564;Mannen;37 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1565;Mannen;37 jaar;1945 tot 1950;89.2;1.9;9.0;89.1;39.7;;;;86.7;;;;;13.3;;;;;;;
1566;Mannen;37 jaar;1950 tot 1955;91.6;1.4;8.3;90.3;40.2;9.7;;;88.0;85.3;3.4;96.1;3.9;12.0;5.4;5.9;;;;;
1567;Mannen;37 jaar;1955 tot 1960;90.2;0.6;7.7;91.7;40.7;9.4;;;87.4;82.6;4.8;94.5;5.5;12.6;6.2;6.4;49.0;51.0;;;
1568;Mannen;37 jaar;1960 tot 1965;92.6;0.5;8.6;90.9;40.8;8.5;;;85.9;79.1;6.8;92.1;7.9;14.1;7.2;6.9;51.3;48.7;;;9.0
1569;Mannen;37 jaar;1965 tot 1970;92.0;0.6;9.8;89.6;40.4;7.7;;;84.0;77.4;6.6;92.1;7.9;16.0;6.9;9.1;43.2;56.8;61.0;38.0;9.0
1570;Mannen;37 jaar;1970 tot 1975;93.4;0.6;10.5;88.8;40.6;7.4;;7.4;81.2;72.6;8.6;89.4;10.6;18.8;7.0;11.8;37.2;62.8;57.0;44.0;9.0
1571;Mannen;37 jaar;1975 tot 1980;88.5;1.2;12.5;86.4;39.9;8.0;;8.0;78.5;69.0;11.5;85.7;14.3;21.5;7.0;14.5;32.4;67.6;;;
1572;Mannen;37 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
1573;Mannen;37 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1574;Mannen;37 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1575;Mannen;37 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1576;Mannen;37 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1577;Mannen;38 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1578;Mannen;38 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
1579;Mannen;38 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
1580;Mannen;38 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
1581;Mannen;38 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
1582;Mannen;38 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
1583;Mannen;38 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
1584;Mannen;38 jaar;1945 tot 1950;91.0;1.5;6.9;91.6;41.0;;;;86.3;;;;;13.7;;;;;;;
1585;Mannen;38 jaar;1950 tot 1955;91.8;1.4;8.5;90.1;40.4;10.2;;;87.5;82.1;4.7;94.6;5.4;12.5;5.7;7.5;;;;;
