ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
922;Congo (Democratic Republic);1998;410.0;260.0;150.0;0.0;410.0;80.0;90.0;240.0
923;Congo (Democratic Republic);1999 1st quarter;50.0;30.0;20.0;0.0;50.0;20.0;10.0;30.0
924;Congo (Democratic Republic);1999 2nd quarter;60.0;40.0;20.0;0.0;60.0;10.0;20.0;30.0
925;Congo (Democratic Republic);1999 3rd quarter;60.0;40.0;30.0;;60.0;30.0;10.0;30.0
926;Congo (Democratic Republic);1999 4th quarter;80.0;50.0;40.0;;80.0;20.0;20.0;40.0
927;Congo (Democratic Republic);1999;250.0;150.0;100.0;0.0;250.0;80.0;50.0;120.0
928;Congo (Democratic Republic);2000 1st quarter;140.0;90.0;50.0;;140.0;30.0;20.0;90.0
929;Congo (Democratic Republic);2000 2nd quarter;100.0;50.0;40.0;0.0;100.0;20.0;20.0;60.0
930;Congo (Democratic Republic);2000 3rd quarter;150.0;90.0;60.0;0.0;150.0;40.0;20.0;90.0
931;Congo (Democratic Republic);2000 4th quarter;150.0;80.0;70.0;0.0;150.0;30.0;30.0;90.0
932;Congo (Democratic Republic);2000;530.0;310.0;220.0;0.0;530.0;120.0;100.0;320.0
933;Congo (Democratic Republic);2001 1st quarter;140.0;80.0;50.0;10.0;140.0;20.0;30.0;90.0
934;Congo (Democratic Republic);2001 2nd quarter;110.0;60.0;50.0;0.0;110.0;20.0;30.0;70.0
935;Congo (Democratic Republic);2001 3rd quarter;100.0;60.0;50.0;0.0;100.0;30.0;20.0;60.0
936;Congo (Democratic Republic);2001 4th quarter;150.0;80.0;60.0;0.0;150.0;30.0;30.0;90.0
937;Congo (Democratic Republic);2001;500.0;280.0;210.0;10.0;500.0;100.0;100.0;300.0
938;Congo (Democratic Republic);2002 1st quarter;190.0;100.0;90.0;0.0;190.0;30.0;20.0;130.0
939;Congo (Democratic Republic);2002 2nd quarter;160.0;90.0;70.0;;160.0;30.0;30.0;110.0
940;Congo (Democratic Republic);2002 3rd quarter;110.0;60.0;40.0;10.0;110.0;20.0;20.0;80.0
941;Congo (Democratic Republic);2002 4th quarter;70.0;30.0;40.0;0.0;70.0;20.0;10.0;40.0
942;Congo (Democratic Republic);2002;530.0;280.0;230.0;10.0;530.0;90.0;80.0;350.0
943;Congo (Democratic Republic);2003 1st quarter;60.0;30.0;30.0;0.0;60.0;10.0;10.0;40.0
944;Congo (Democratic Republic);2003 2nd quarter;60.0;40.0;20.0;;60.0;10.0;10.0;40.0
945;Congo (Democratic Republic);2003 3rd quarter;60.0;30.0;20.0;0.0;60.0;10.0;10.0;40.0
946;Congo (Democratic Republic);2003 4th quarter;40.0;20.0;20.0;;40.0;10.0;10.0;30.0
947;Congo (Democratic Republic);2003;220.0;110.0;100.0;10.0;220.0;40.0;40.0;150.0
948;Congo (Democratic Republic);2004 1st quarter;40.0;20.0;20.0;;40.0;10.0;10.0;20.0
949;Congo (Democratic Republic);2004 2nd quarter;30.0;10.0;20.0;0.0;30.0;10.0;10.0;10.0
950;Congo (Democratic Republic);2004 3rd quarter;10.0;10.0;10.0;;10.0;0.0;;10.0
951;Congo (Democratic Republic);2004 4th quarter;30.0;10.0;20.0;;30.0;10.0;0.0;10.0
952;Congo (Democratic Republic);2004;100.0;50.0;50.0;0.0;100.0;30.0;10.0;60.0
953;Congo (Democratic Republic);2005 1st quarter;20.0;10.0;10.0;0.0;20.0;10.0;0.0;20.0
954;Congo (Democratic Republic);2005 2nd quarter;50.0;30.0;30.0;;50.0;20.0;10.0;30.0
955;Congo (Democratic Republic);2005 3rd quarter;40.0;30.0;20.0;;40.0;20.0;0.0;30.0
956;Congo (Democratic Republic);2005 4th quarter;60.0;30.0;40.0;;60.0;30.0;0.0;30.0
957;Congo (Democratic Republic);2005;190.0;90.0;90.0;0.0;190.0;70.0;10.0;100.0
958;Congo (Democratic Republic);2006 1st quarter;120.0;70.0;50.0;;120.0;40.0;10.0;70.0
959;Congo (Democratic Republic);2006 2nd quarter;110.0;60.0;40.0;0.0;110.0;30.0;20.0;60.0
960;Congo (Democratic Republic);2006 3rd quarter;30.0;10.0;10.0;;30.0;10.0;0.0;20.0
961;Congo (Democratic Republic);2006 4th quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
962;Congo (Democratic Republic);2006;270.0;150.0;110.0;0.0;270.0;80.0;20.0;160.0
963;Congo (Democratic Republic);2007 1st quarter;20.0;10.0;10.0;;20.0;0.0;;20.0
964;Congo (Democratic Republic);2007 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;20.0
965;Congo (Democratic Republic);2007 3rd quarter;10.0;10.0;0.0;;10.0;;;10.0
966;Congo (Democratic Republic);2007 4th quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
967;Congo (Democratic Republic);2007;60.0;40.0;20.0;;60.0;10.0;0.0;50.0
968;Congo (Democratic Republic);2008 1st quarter;;;;;;;;
969;Croatia;1998 1st quarter;30.0;30.0;10.0;;30.0;10.0;0.0;20.0
970;Croatia;1998 2nd quarter;50.0;30.0;20.0;0.0;50.0;10.0;0.0;30.0
971;Croatia;1998 3rd quarter;50.0;30.0;20.0;;50.0;20.0;0.0;30.0
972;Croatia;1998 4th quarter;20.0;10.0;10.0;;20.0;0.0;;10.0
973;Croatia;1998;150.0;100.0;50.0;0.0;150.0;40.0;10.0;100.0
974;Croatia;1999 1st quarter;20.0;10.0;10.0;;20.0;;0.0;20.0
975;Croatia;1999 2nd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
976;Croatia;1999 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
977;Croatia;1999 4th quarter;50.0;30.0;20.0;;50.0;10.0;;40.0
978;Croatia;1999;130.0;80.0;50.0;;130.0;30.0;10.0;100.0
979;Croatia;2000 1st quarter;50.0;30.0;20.0;;50.0;20.0;0.0;40.0
980;Croatia;2000 2nd quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
981;Croatia;2000 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
982;Croatia;2000 4th quarter;20.0;10.0;10.0;;20.0;0.0;0.0;20.0
983;Croatia;2000;130.0;80.0;50.0;;130.0;30.0;10.0;100.0
984;Croatia;2001 1st quarter;30.0;20.0;10.0;0.0;30.0;0.0;0.0;20.0
985;Croatia;2001 2nd quarter;20.0;20.0;10.0;;20.0;0.0;0.0;20.0
986;Croatia;2001 3rd quarter;10.0;0.0;0.0;0.0;10.0;0.0;0.0;10.0
987;Croatia;2001 4th quarter;10.0;10.0;0.0;;10.0;;;10.0
988;Croatia;2001;60.0;40.0;20.0;0.0;60.0;10.0;10.0;50.0
989;Croatia;2002 1st quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
990;Croatia;2002 2nd quarter;10.0;0.0;0.0;;10.0;;;10.0
991;Croatia;2002 3rd quarter;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
992;Croatia;2002 4th quarter;10.0;0.0;10.0;;10.0;0.0;;10.0
993;Croatia;2002;40.0;20.0;20.0;0.0;40.0;10.0;0.0;30.0
994;Croatia;2003 1st quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
995;Croatia;2003 2nd quarter;;;;;;;;
996;Croatia;2003 3rd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
997;Croatia;2003 4th quarter;0.0;0.0;0.0;;0.0;;;0.0
998;Croatia;2003;10.0;10.0;10.0;;10.0;0.0;;10.0
999;Croatia;2004 1st quarter;10.0;10.0;0.0;;10.0;0.0;0.0;0.0
1000;Croatia;2004 2nd quarter;0.0;0.0;;;0.0;;;0.0
1001;Croatia;2004 3rd quarter;;;;;;;;
1002;Croatia;2004 4th quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
1003;Croatia;2004;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
1004;Croatia;2005 1st quarter;0.0;;0.0;;0.0;;;0.0
1005;Croatia;2005 2nd quarter;;;;;;;;
1006;Croatia;2005 3rd quarter;0.0;0.0;0.0;;0.0;;;0.0
1007;Croatia;2005 4th quarter;0.0;0.0;;;0.0;0.0;;
1008;Croatia;2005;10.0;0.0;0.0;;10.0;0.0;;0.0
1009;Croatia;2006 1st quarter;10.0;0.0;10.0;;10.0;0.0;;10.0
1010;Croatia;2006 2nd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1011;Croatia;2006 3rd quarter;10.0;0.0;0.0;;10.0;;;10.0
1012;Croatia;2006 4th quarter;0.0;0.0;0.0;;0.0;;;0.0
1013;Croatia;2006;30.0;10.0;10.0;;30.0;10.0;0.0;20.0
1014;Croatia;2007 1st quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1015;Croatia;2007 2nd quarter;;;;;;;;
1016;Croatia;2007 3rd quarter;;;;;;;;
1017;Croatia;2007 4th quarter;;;;;;;;
1018;Croatia;2007;0.0;0.0;0.0;;0.0;0.0;;0.0
1019;Croatia;2008 1st quarter;;;;;;;;
1020;Lebanon;1998 1st quarter;30.0;20.0;10.0;;30.0;10.0;;20.0
1021;Lebanon;1998 2nd quarter;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
1022;Lebanon;1998 3rd quarter;50.0;30.0;20.0;;50.0;20.0;0.0;30.0
1023;Lebanon;1998 4th quarter;50.0;40.0;20.0;;50.0;10.0;10.0;30.0
1024;Lebanon;1998;160.0;110.0;50.0;0.0;160.0;40.0;10.0;110.0
1025;Lebanon;1999 1st quarter;40.0;30.0;10.0;;40.0;10.0;0.0;20.0
1026;Lebanon;1999 2nd quarter;20.0;20.0;0.0;;20.0;10.0;;20.0
1027;Lebanon;1999 3rd quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
1028;Lebanon;1999 4th quarter;40.0;20.0;20.0;0.0;40.0;10.0;10.0;30.0
1029;Lebanon;1999;130.0;90.0;40.0;0.0;130.0;30.0;10.0;90.0
1030;Lebanon;2000 1st quarter;40.0;30.0;10.0;0.0;40.0;0.0;0.0;30.0
1031;Lebanon;2000 2nd quarter;40.0;20.0;20.0;0.0;40.0;10.0;0.0;30.0
1032;Lebanon;2000 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1033;Lebanon;2000 4th quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
1034;Lebanon;2000;140.0;100.0;40.0;0.0;140.0;20.0;10.0;110.0
1035;Lebanon;2001 1st quarter;30.0;30.0;0.0;;30.0;;0.0;30.0
1036;Lebanon;2001 2nd quarter;20.0;10.0;0.0;;20.0;0.0;;10.0
1037;Lebanon;2001 3rd quarter;30.0;20.0;10.0;0.0;30.0;10.0;;20.0
1038;Lebanon;2001 4th quarter;20.0;10.0;0.0;0.0;20.0;0.0;0.0;10.0
1039;Lebanon;2001;80.0;70.0;10.0;0.0;80.0;10.0;0.0;70.0
1040;Lebanon;2002 1st quarter;30.0;30.0;0.0;;30.0;;;30.0
1041;Lebanon;2002 2nd quarter;20.0;10.0;10.0;;20.0;10.0;;20.0
1042;Lebanon;2002 3rd quarter;20.0;10.0;0.0;0.0;20.0;0.0;0.0;10.0
1043;Lebanon;2002 4th quarter;10.0;10.0;0.0;;10.0;;;10.0
1044;Lebanon;2002;80.0;60.0;10.0;0.0;80.0;10.0;0.0;70.0
1045;Lebanon;2003 1st quarter;0.0;0.0;;;0.0;;;0.0
1046;Lebanon;2003 2nd quarter;10.0;10.0;10.0;;10.0;0.0;;10.0
1047;Lebanon;2003 3rd quarter;10.0;10.0;0.0;;10.0;;;10.0
1048;Lebanon;2003 4th quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1049;Lebanon;2003;40.0;30.0;10.0;;40.0;10.0;;30.0
1050;Lebanon;2004 1st quarter;10.0;10.0;10.0;0.0;10.0;0.0;0.0;10.0
1051;Lebanon;2004 2nd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1052;Lebanon;2004 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1053;Lebanon;2004 4th quarter;0.0;0.0;;;0.0;;;0.0
1054;Lebanon;2004;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
1055;Lebanon;2005 1st quarter;0.0;0.0;;;0.0;;;0.0
1056;Lebanon;2005 2nd quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
1057;Lebanon;2005 3rd quarter;0.0;0.0;0.0;;0.0;;;0.0
1058;Lebanon;2005 4th quarter;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
1059;Lebanon;2005;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1060;Lebanon;2006 1st quarter;20.0;10.0;10.0;;20.0;0.0;10.0;10.0
1061;Lebanon;2006 2nd quarter;20.0;10.0;10.0;;20.0;10.0;0.0;20.0
1062;Lebanon;2006 3rd quarter;20.0;20.0;10.0;;20.0;0.0;0.0;20.0
1063;Lebanon;2006 4th quarter;10.0;10.0;0.0;;10.0;;0.0;10.0
1064;Lebanon;2006;70.0;50.0;20.0;;70.0;10.0;10.0;50.0
1065;Lebanon;2007 1st quarter;0.0;0.0;;;0.0;;;0.0
1066;Lebanon;2007 2nd quarter;0.0;0.0;0.0;;0.0;;;0.0
1067;Lebanon;2007 3rd quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
1068;Lebanon;2007 4th quarter;0.0;0.0;;;0.0;;;0.0
1069;Lebanon;2007;20.0;10.0;10.0;;20.0;0.0;;20.0
1070;Lebanon;2008 1st quarter;;;;;;;;
1071;Liberia;1998 1st quarter;50.0;30.0;20.0;;50.0;0.0;10.0;40.0
1072;Liberia;1998 2nd quarter;50.0;40.0;20.0;;50.0;10.0;10.0;30.0
1073;Liberia;1998 3rd quarter;50.0;30.0;20.0;;50.0;0.0;10.0;30.0
1074;Liberia;1998 4th quarter;40.0;30.0;10.0;;40.0;10.0;10.0;30.0
1075;Liberia;1998;190.0;130.0;60.0;;190.0;20.0;40.0;130.0
1076;Liberia;1999 1st quarter;40.0;30.0;10.0;;40.0;0.0;10.0;30.0
1077;Liberia;1999 2nd quarter;40.0;30.0;10.0;;40.0;0.0;0.0;30.0
1078;Liberia;1999 3rd quarter;40.0;30.0;10.0;;40.0;0.0;10.0;30.0
1079;Liberia;1999 4th quarter;60.0;40.0;20.0;;60.0;10.0;10.0;40.0
1080;Liberia;1999;180.0;120.0;50.0;;180.0;10.0;20.0;140.0
1081;Liberia;2000 1st quarter;80.0;60.0;20.0;0.0;80.0;10.0;30.0;50.0
1082;Liberia;2000 2nd quarter;40.0;30.0;10.0;0.0;40.0;0.0;10.0;30.0
1083;Liberia;2000 3rd quarter;50.0;30.0;20.0;;50.0;10.0;10.0;30.0
1084;Liberia;2000 4th quarter;70.0;40.0;30.0;0.0;70.0;10.0;10.0;50.0
1085;Liberia;2000;240.0;160.0;70.0;0.0;240.0;30.0;60.0;160.0
1086;Liberia;2001 1st quarter;30.0;20.0;10.0;0.0;30.0;;10.0;20.0
1087;Liberia;2001 2nd quarter;50.0;30.0;20.0;;50.0;0.0;0.0;40.0
1088;Liberia;2001 3rd quarter;50.0;30.0;10.0;0.0;50.0;10.0;10.0;40.0
1089;Liberia;2001 4th quarter;40.0;30.0;10.0;0.0;40.0;0.0;0.0;30.0
1090;Liberia;2001;170.0;120.0;50.0;0.0;170.0;20.0;20.0;130.0
1091;Liberia;2002 1st quarter;70.0;40.0;20.0;0.0;70.0;10.0;10.0;50.0
1092;Liberia;2002 2nd quarter;80.0;60.0;10.0;0.0;80.0;0.0;10.0;60.0
1093;Liberia;2002 3rd quarter;70.0;60.0;10.0;0.0;70.0;0.0;20.0;50.0
1094;Liberia;2002 4th quarter;80.0;60.0;20.0;0.0;80.0;10.0;10.0;60.0
1095;Liberia;2002;290.0;220.0;60.0;10.0;290.0;20.0;50.0;220.0
1096;Liberia;2003 1st quarter;40.0;30.0;10.0;;40.0;0.0;10.0;30.0
1097;Liberia;2003 2nd quarter;70.0;50.0;20.0;0.0;70.0;10.0;10.0;60.0
1098;Liberia;2003 3rd quarter;200.0;140.0;50.0;10.0;200.0;20.0;30.0;150.0
1099;Liberia;2003 4th quarter;130.0;80.0;50.0;10.0;130.0;10.0;30.0;90.0
1100;Liberia;2003;440.0;310.0;120.0;10.0;440.0;40.0;70.0;330.0
1101;Liberia;2004 1st quarter;60.0;50.0;10.0;0.0;60.0;0.0;10.0;50.0
1102;Liberia;2004 2nd quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
1103;Liberia;2004 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1104;Liberia;2004 4th quarter;20.0;20.0;10.0;0.0;20.0;0.0;10.0;10.0
1105;Liberia;2004;140.0;100.0;40.0;0.0;140.0;10.0;20.0;110.0
1106;Liberia;2005 1st quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1107;Liberia;2005 2nd quarter;30.0;10.0;10.0;0.0;30.0;0.0;10.0;10.0
1108;Liberia;2005 3rd quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
1109;Liberia;2005 4th quarter;100.0;50.0;50.0;;100.0;40.0;10.0;50.0
1110;Liberia;2005;180.0;90.0;90.0;0.0;180.0;50.0;30.0;100.0
1111;Liberia;2006 1st quarter;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
1112;Liberia;2006 2nd quarter;20.0;20.0;0.0;;20.0;0.0;0.0;20.0
1113;Liberia;2006 3rd quarter;10.0;10.0;0.0;;10.0;;;10.0
1114;Liberia;2006 4th quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
1115;Liberia;2006;80.0;60.0;20.0;0.0;80.0;20.0;0.0;60.0
1116;Liberia;2007 1st quarter;30.0;20.0;20.0;;30.0;10.0;;30.0
1117;Liberia;2007 2nd quarter;30.0;10.0;10.0;;30.0;10.0;0.0;20.0
1118;Liberia;2007 3rd quarter;10.0;0.0;10.0;;10.0;0.0;;10.0
1119;Liberia;2007 4th quarter;30.0;10.0;10.0;;30.0;10.0;0.0;20.0
1120;Liberia;2007;100.0;50.0;50.0;;100.0;20.0;0.0;70.0
1121;Liberia;2008 1st quarter;;;;;;;;
1122;Macedonia;1998 1st quarter;10.0;10.0;10.0;;10.0;0.0;;10.0
1123;Macedonia;1998 2nd quarter;30.0;20.0;10.0;;30.0;10.0;;20.0
1124;Macedonia;1998 3rd quarter;40.0;30.0;10.0;;40.0;10.0;0.0;30.0
1125;Macedonia;1998 4th quarter;40.0;20.0;10.0;;40.0;10.0;0.0;20.0
1126;Macedonia;1998;120.0;80.0;40.0;;120.0;30.0;0.0;80.0
1127;Macedonia;1999 1st quarter;10.0;10.0;0.0;;10.0;;0.0;10.0
1128;Macedonia;1999 2nd quarter;20.0;20.0;10.0;;20.0;10.0;;20.0
1129;Macedonia;1999 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1130;Macedonia;1999 4th quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1131;Macedonia;1999;80.0;50.0;30.0;;80.0;20.0;0.0;60.0
1132;Macedonia;2000 1st quarter;20.0;10.0;10.0;0.0;20.0;10.0;;10.0
1133;Macedonia;2000 2nd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1134;Macedonia;2000 3rd quarter;20.0;10.0;0.0;;20.0;0.0;;10.0
1135;Macedonia;2000 4th quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
1136;Macedonia;2000;60.0;40.0;20.0;0.0;60.0;10.0;;50.0
1137;Macedonia;2001 1st quarter;10.0;10.0;0.0;;10.0;;;10.0
1138;Macedonia;2001 2nd quarter;40.0;30.0;10.0;0.0;40.0;0.0;;30.0
1139;Macedonia;2001 3rd quarter;100.0;70.0;30.0;0.0;100.0;30.0;10.0;60.0
1140;Macedonia;2001 4th quarter;50.0;30.0;10.0;;50.0;10.0;0.0;30.0
1141;Macedonia;2001;190.0;130.0;50.0;0.0;190.0;40.0;10.0;140.0
1142;Macedonia;2002 1st quarter;30.0;20.0;10.0;10.0;30.0;10.0;;20.0
1143;Macedonia;2002 2nd quarter;10.0;10.0;10.0;0.0;10.0;0.0;0.0;10.0
1144;Macedonia;2002 3rd quarter;20.0;20.0;0.0;;20.0;0.0;;20.0
1145;Macedonia;2002 4th quarter;20.0;10.0;10.0;0.0;20.0;0.0;;20.0
1146;Macedonia;2002;80.0;50.0;20.0;10.0;80.0;10.0;0.0;70.0
1147;Macedonia;2003 1st quarter;10.0;10.0;0.0;0.0;10.0;0.0;;10.0
1148;Macedonia;2003 2nd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1149;Macedonia;2003 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1150;Macedonia;2003 4th quarter;0.0;0.0;;;0.0;;;0.0
1151;Macedonia;2003;30.0;20.0;10.0;0.0;30.0;10.0;;20.0
1152;Macedonia;2004 1st quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1153;Macedonia;2004 2nd quarter;10.0;0.0;0.0;0.0;10.0;;0.0;0.0
1154;Macedonia;2004 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1155;Macedonia;2004 4th quarter;0.0;0.0;;0.0;0.0;;;0.0
1156;Macedonia;2004;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
1157;Macedonia;2005 1st quarter;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
1158;Macedonia;2005 2nd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1159;Macedonia;2005 3rd quarter;0.0;0.0;;;0.0;;;0.0
1160;Macedonia;2005 4th quarter;0.0;;0.0;;0.0;;;0.0
1161;Macedonia;2005;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
1162;Macedonia;2006 1st quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1163;Macedonia;2006 2nd quarter;0.0;0.0;;;0.0;;;0.0
1164;Macedonia;2006 3rd quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
1165;Macedonia;2006 4th quarter;0.0;0.0;;;0.0;;;0.0
1166;Macedonia;2006;30.0;10.0;10.0;;30.0;10.0;0.0;20.0
1167;Macedonia;2007 1st quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1168;Macedonia;2007 2nd quarter;0.0;0.0;;;0.0;;;0.0
1169;Macedonia;2007 3rd quarter;0.0;0.0;;;0.0;;;0.0
1170;Macedonia;2007 4th quarter;;;;;;;;
1171;Macedonia;2007;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
1172;Macedonia;2008 1st quarter;;;;;;;;
1173;Pakistan;1998 1st quarter;50.0;40.0;10.0;;50.0;10.0;0.0;40.0
1174;Pakistan;1998 2nd quarter;50.0;50.0;10.0;;50.0;10.0;0.0;40.0
1175;Pakistan;1998 3rd quarter;80.0;60.0;20.0;;80.0;20.0;0.0;60.0
1176;Pakistan;1998 4th quarter;40.0;30.0;0.0;0.0;40.0;10.0;;30.0
1177;Pakistan;1998;210.0;170.0;40.0;0.0;210.0;40.0;10.0;170.0
1178;Pakistan;1999 1st quarter;40.0;30.0;0.0;0.0;40.0;0.0;;30.0
1179;Pakistan;1999 2nd quarter;40.0;40.0;0.0;0.0;40.0;0.0;0.0;40.0
1180;Pakistan;1999 3rd quarter;40.0;20.0;10.0;;40.0;10.0;;30.0
1181;Pakistan;1999 4th quarter;40.0;40.0;10.0;0.0;40.0;10.0;0.0;40.0
1182;Pakistan;1999;160.0;130.0;30.0;0.0;160.0;20.0;10.0;130.0
1183;Pakistan;2000 1st quarter;60.0;40.0;20.0;;60.0;20.0;;50.0
1184;Pakistan;2000 2nd quarter;20.0;20.0;0.0;;20.0;0.0;0.0;20.0
1185;Pakistan;2000 3rd quarter;30.0;20.0;0.0;;30.0;0.0;0.0;20.0
1186;Pakistan;2000 4th quarter;50.0;40.0;10.0;0.0;50.0;10.0;10.0;30.0
1187;Pakistan;2000;160.0;120.0;40.0;0.0;160.0;30.0;10.0;120.0
1188;Pakistan;2001 1st quarter;20.0;20.0;;0.0;20.0;;0.0;20.0
1189;Pakistan;2001 2nd quarter;30.0;20.0;10.0;0.0;30.0;0.0;;20.0
1190;Pakistan;2001 3rd quarter;20.0;20.0;0.0;0.0;20.0;0.0;;20.0
1191;Pakistan;2001 4th quarter;40.0;30.0;10.0;0.0;40.0;10.0;0.0;30.0
1192;Pakistan;2001;110.0;80.0;20.0;10.0;110.0;10.0;10.0;90.0
1193;Pakistan;2002 1st quarter;30.0;20.0;0.0;0.0;30.0;0.0;0.0;20.0
1194;Pakistan;2002 2nd quarter;20.0;20.0;0.0;0.0;20.0;0.0;0.0;20.0
1195;Pakistan;2002 3rd quarter;20.0;20.0;0.0;;20.0;;;20.0
1196;Pakistan;2002 4th quarter;10.0;10.0;0.0;0.0;10.0;;;10.0
1197;Pakistan;2002;80.0;60.0;10.0;10.0;80.0;10.0;0.0;70.0
1198;Pakistan;2003 1st quarter;20.0;20.0;0.0;0.0;20.0;0.0;0.0;20.0
1199;Pakistan;2003 2nd quarter;20.0;20.0;0.0;;20.0;0.0;0.0;20.0
1200;Pakistan;2003 3rd quarter;20.0;20.0;0.0;;20.0;;0.0;20.0
1201;Pakistan;2003 4th quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1202;Pakistan;2003;80.0;70.0;10.0;0.0;80.0;10.0;10.0;70.0
1203;Pakistan;2004 1st quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1204;Pakistan;2004 2nd quarter;20.0;10.0;10.0;0.0;20.0;10.0;;10.0
1205;Pakistan;2004 3rd quarter;10.0;10.0;0.0;;10.0;;;10.0
1206;Pakistan;2004 4th quarter;30.0;20.0;10.0;;30.0;0.0;;20.0
1207;Pakistan;2004;70.0;50.0;20.0;0.0;70.0;10.0;;60.0
1208;Pakistan;2005 1st quarter;20.0;10.0;0.0;;20.0;0.0;0.0;10.0
1209;Pakistan;2005 2nd quarter;20.0;20.0;10.0;;20.0;10.0;0.0;10.0
1210;Pakistan;2005 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1211;Pakistan;2005 4th quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1212;Pakistan;2005;80.0;60.0;20.0;;80.0;10.0;10.0;60.0
1213;Pakistan;2006 1st quarter;60.0;30.0;30.0;;60.0;20.0;0.0;40.0
1214;Pakistan;2006 2nd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
1215;Pakistan;2006 3rd quarter;20.0;20.0;;;20.0;;0.0;20.0
1216;Pakistan;2006 4th quarter;10.0;10.0;;;10.0;;0.0;10.0
1217;Pakistan;2006;120.0;90.0;30.0;;120.0;20.0;10.0;90.0
1218;Pakistan;2007 1st quarter;10.0;10.0;;;10.0;;;10.0
1219;Pakistan;2007 2nd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
1220;Pakistan;2007 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1221;Pakistan;2007 4th quarter;0.0;0.0;0.0;;0.0;;;0.0
1222;Pakistan;2007;30.0;30.0;10.0;;30.0;0.0;0.0;30.0
1223;Pakistan;2008 1st quarter;;;;;;;;
1224;Poland;1998 1st quarter;0.0;0.0;;;0.0;;;0.0
1225;Poland;1998 2nd quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
1226;Poland;1998 3rd quarter;10.0;10.0;10.0;;10.0;10.0;0.0;0.0
1227;Poland;1998 4th quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
1228;Poland;1998;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
1229;Poland;1999 1st quarter;0.0;0.0;;;0.0;;;0.0
1230;Poland;1999 2nd quarter;;;;;;;;
