ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
4280;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 1st quarter;1.0
4281;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 2nd quarter;1.0
4282;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 3rd quarter;1.0
4283;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 4th quarter;1.0
4284;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010;1.0
4285;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 1st quarter;1.0
4286;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 2nd quarter;1.0
4287;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 3rd quarter;1.0
4288;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 4th quarter;1.0
4289;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011;1.0
4290;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 1st quarter;1.1
4291;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 2nd quarter;1.1
4292;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 3rd quarter;1.1
4293;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 4th quarter;1.1
4294;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012;1.1
4295;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 1st quarter;1.2
4296;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 2nd quarter;1.3
4297;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 3rd quarter;1.3
4298;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 4th quarter;1.3
4299;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013;1.3
4300;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 1st quarter;1.3
4301;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 2nd quarter;1.4
4302;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 3rd quarter;1.4
4303;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 4th quarter;1.4
4304;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014;1.4
4305;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 1st quarter;1.5
4306;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 2nd quarter;1.6
4307;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 3rd quarter;1.5
4308;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 4th quarter;1.6
4309;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015;1.6
4310;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 1st quarter;1.7
4311;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 2nd quarter;1.7
4312;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 3rd quarter;1.6
4313;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 4th quarter;1.7
4314;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016;1.7
4315;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 1st quarter;1.7
4316;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 2nd quarter;1.8
4317;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 3rd quarter;1.8
4318;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 4th quarter;1.9
4319;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017;1.8
4320;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 1st quarter;3.2
4321;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 2nd quarter;3.1
4322;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 3rd quarter;3.1
4323;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 4th quarter;3.1
4324;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010;3.1
4325;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 1st quarter;3.2
4326;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 2nd quarter;3.2
4327;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 3rd quarter;3.2
4328;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 4th quarter;3.2
4329;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011;3.2
4330;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 1st quarter;3.3
4331;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 2nd quarter;3.2
4332;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 3rd quarter;3.2
4333;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 4th quarter;3.2
4334;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012;3.2
4335;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 1st quarter;3.2
4336;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 2nd quarter;3.2
4337;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 3rd quarter;3.2
4338;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 4th quarter;3.2
4339;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013;3.2
4340;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 1st quarter;3.1
4341;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 2nd quarter;3.1
4342;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 3rd quarter;3.1
4343;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 4th quarter;3.1
4344;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014;3.1
4345;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 1st quarter;3.2
4346;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 2nd quarter;3.2
4347;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 3rd quarter;3.1
4348;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 4th quarter;3.2
4349;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015;3.2
4350;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 1st quarter;3.2
4351;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 2nd quarter;3.2
4352;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 3rd quarter;3.3
4353;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 4th quarter;3.3
4354;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016;3.3
4355;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 1st quarter;3.4
4356;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 2nd quarter;3.5
4357;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 3rd quarter;3.5
4358;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 4th quarter;3.5
4359;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017;3.5
4360;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 1st quarter;10.4
4361;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 2nd quarter;10.3
4362;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 3rd quarter;10.1
4363;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 4th quarter;10.4
4364;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010;10.3
4365;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 1st quarter;10.8
4366;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 2nd quarter;10.8
4367;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 3rd quarter;10.9
4368;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 4th quarter;11.0
4369;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011;10.9
4370;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 1st quarter;11.8
4371;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 2nd quarter;11.8
4372;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 3rd quarter;11.9
4373;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 4th quarter;11.9
4374;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012;11.8
4375;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 1st quarter;12.8
4376;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 2nd quarter;12.8
4377;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 3rd quarter;12.4
4378;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 4th quarter;12.5
4379;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013;12.6
4380;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 1st quarter;12.9
4381;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 2nd quarter;12.8
4382;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 3rd quarter;12.6
4383;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 4th quarter;12.8
4384;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014;12.8
4385;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 1st quarter;13.9
4386;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 2nd quarter;14.3
4387;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 3rd quarter;14.1
4388;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 4th quarter;14.3
4389;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015;14.2
4390;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 1st quarter;14.9
4391;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 2nd quarter;15.2
4392;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 3rd quarter;15.2
4393;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 4th quarter;15.8
4394;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016;15.3
4395;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 1st quarter;16.3
4396;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 2nd quarter;16.9
4397;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 3rd quarter;17.2
4398;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 4th quarter;17.6
4399;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017;17.0
4400;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2010 1st quarter;31.2
4401;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2010 2nd quarter;31.4
4402;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2010 3rd quarter;31.7
4403;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2010 4th quarter;31.8
4404;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2010;31.5
4405;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2011 1st quarter;32.9
4406;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2011 2nd quarter;33.0
4407;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2011 3rd quarter;33.8
4408;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2011 4th quarter;34.1
4409;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2011;33.5
4410;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2012 1st quarter;35.8
4411;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2012 2nd quarter;36.2
4412;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2012 3rd quarter;36.9
4413;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2012 4th quarter;36.0
4414;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2012;36.2
4415;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2013 1st quarter;39.1
4416;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2013 2nd quarter;39.2
4417;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2013 3rd quarter;38.5
4418;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2013 4th quarter;38.6
4419;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2013;38.9
4420;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2014 1st quarter;39.9
4421;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2014 2nd quarter;40.3
4422;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2014 3rd quarter;39.8
4423;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2014 4th quarter;40.2
4424;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2014;40.0
4425;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2015 1st quarter;43.7
4426;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2015 2nd quarter;44.1
4427;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2015 3rd quarter;43.1
4428;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2015 4th quarter;43.8
4429;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2015;43.7
4430;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2016 1st quarter;45.4
4431;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2016 2nd quarter;46.3
4432;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2016 3rd quarter;46.3
4433;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2016 4th quarter;47.3
4434;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2016;46.3
4435;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2017 1st quarter;49.4
4436;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2017 2nd quarter;51.1
4437;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2017 3rd quarter;52.1
4438;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2017 4th quarter;53.2
4439;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Total;2017;51.5
4440;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2010 1st quarter;2.3
4441;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2010 2nd quarter;2.3
4442;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2010 3rd quarter;2.3
4443;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2010 4th quarter;2.3
4444;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2010;2.3
4445;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2011 1st quarter;2.4
4446;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2011 2nd quarter;2.4
4447;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2011 3rd quarter;2.4
4448;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2011 4th quarter;2.5
4449;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2011;2.4
4450;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2012 1st quarter;2.6
4451;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2012 2nd quarter;2.6
4452;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2012 3rd quarter;2.7
4453;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2012 4th quarter;2.6
4454;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2012;2.6
4455;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2013 1st quarter;2.9
4456;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2013 2nd quarter;2.9
4457;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2013 3rd quarter;2.8
4458;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2013 4th quarter;2.8
4459;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2013;2.8
4460;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2014 1st quarter;2.9
4461;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2014 2nd quarter;2.9
4462;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2014 3rd quarter;2.8
4463;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2014 4th quarter;2.9
4464;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2014;2.9
4465;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2015 1st quarter;3.2
4466;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2015 2nd quarter;3.3
4467;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2015 3rd quarter;3.2
4468;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2015 4th quarter;3.3
4469;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2015;3.3
4470;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2016 1st quarter;3.5
4471;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2016 2nd quarter;3.6
4472;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2016 3rd quarter;3.5
4473;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2016 4th quarter;3.6
4474;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2016;3.6
4475;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2017 1st quarter;3.8
4476;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2017 2nd quarter;4.0
4477;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2017 3rd quarter;4.0
4478;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2017 4th quarter;4.1
4479;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Africa;2017;4.0
4480;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2010 1st quarter;7.4
4481;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2010 2nd quarter;7.4
4482;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2010 3rd quarter;7.4
4483;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2010 4th quarter;7.4
4484;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2010;7.4
4485;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2011 1st quarter;7.7
4486;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2011 2nd quarter;7.7
4487;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2011 3rd quarter;7.8
4488;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2011 4th quarter;7.7
4489;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2011;7.7
4490;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2012 1st quarter;8.4
4491;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2012 2nd quarter;8.6
4492;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2012 3rd quarter;8.5
4493;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2012 4th quarter;8.2
4494;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2012;8.4
4495;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2013 1st quarter;9.1
4496;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2013 2nd quarter;9.1
4497;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2013 3rd quarter;8.8
4498;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2013 4th quarter;8.8
4499;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2013;8.9
4500;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2014 1st quarter;8.9
4501;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2014 2nd quarter;9.0
4502;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2014 3rd quarter;8.8
4503;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2014 4th quarter;8.8
4504;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2014;8.9
4505;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2015 1st quarter;9.8
4506;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2015 2nd quarter;9.9
4507;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2015 3rd quarter;9.5
4508;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2015 4th quarter;9.7
4509;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2015;9.7
4510;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2016 1st quarter;10.1
