ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
5686;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2014 2nd quarter;1.5
5687;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2014 3rd quarter;1.5
5688;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2014 4th quarter;1.5
5689;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2014;1.5
5690;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2015 1st quarter;1.6
5691;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2015 2nd quarter;1.6
5692;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2015 3rd quarter;1.6
5693;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2015 4th quarter;1.7
5694;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2015;1.6
5695;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2016 1st quarter;1.8
5696;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2016 2nd quarter;1.8
5697;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2016 3rd quarter;1.8
5698;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2016 4th quarter;1.9
5699;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2016;1.8
5700;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2017 1st quarter;2.0
5701;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2017 2nd quarter;2.1
5702;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2017 3rd quarter;2.1
5703;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2017 4th quarter;2.2
5704;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2017;2.1
5705;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2018 1st quarter;2.4
5706;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2018 2nd quarter;2.5
5707;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2018 3rd quarter;2.5
5708;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2018 4th quarter;2.6
5709;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2018;2.5
5710;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2019 1st quarter;2.7
5711;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2019 2nd quarter;2.8
5712;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2019 3rd quarter;2.9
5713;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2019 4th quarter;3.0
5714;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2019;2.8
5715;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2020 1st quarter;3.1
5716;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2020 2nd quarter;3.1
5717;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2020 3rd quarter;3.2
5718;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2020 4th quarter;3.2
5719;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Italy;2020;3.1
5720;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2010 1st quarter;2.0
5721;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2010 2nd quarter;2.1
5722;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2010 3rd quarter;2.3
5723;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2010 4th quarter;2.4
5724;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2010;2.2
5725;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2011 1st quarter;2.3
5726;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2011 2nd quarter;2.5
5727;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2011 3rd quarter;2.8
5728;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2011 4th quarter;2.8
5729;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2011;2.6
5730;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2012 1st quarter;2.8
5731;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2012 2nd quarter;3.0
5732;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2012 3rd quarter;3.3
5733;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2012 4th quarter;3.3
5734;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2012;3.1
5735;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2013 1st quarter;3.0
5736;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2013 2nd quarter;3.1
5737;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2013 3rd quarter;3.2
5738;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2013 4th quarter;3.1
5739;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2013;3.1
5740;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2014 1st quarter;3.0
5741;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2014 2nd quarter;3.1
5742;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2014 3rd quarter;3.2
5743;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2014 4th quarter;3.3
5744;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2014;3.1
5745;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2015 1st quarter;3.8
5746;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2015 2nd quarter;3.9
5747;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2015 3rd quarter;3.8
5748;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2015 4th quarter;3.8
5749;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2015;3.8
5750;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2016 1st quarter;3.8
5751;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2016 2nd quarter;4.0
5752;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2016 3rd quarter;4.1
5753;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2016 4th quarter;4.2
5754;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2016;4.0
5755;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2017 1st quarter;4.3
5756;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2017 2nd quarter;4.7
5757;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2017 3rd quarter;4.8
5758;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2017 4th quarter;5.0
5759;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2017;4.7
5760;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2018 1st quarter;5.6
5761;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2018 2nd quarter;6.2
5762;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2018 3rd quarter;6.4
5763;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2018 4th quarter;6.7
5764;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2018;6.2
5765;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2019 1st quarter;7.4
5766;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2019 2nd quarter;8.0
5767;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2019 3rd quarter;8.1
5768;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2019 4th quarter;8.5
5769;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2019;8.0
5770;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2020 1st quarter;9.8
5771;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2020 2nd quarter;10.1
5772;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2020 3rd quarter;10.1
5773;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2020 4th quarter;10.1
5774;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Poland;2020;10.0
5775;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2010 1st quarter;0.7
5776;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2010 2nd quarter;0.6
5777;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2010 3rd quarter;0.6
5778;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2010 4th quarter;0.6
5779;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2010;0.6
5780;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2011 1st quarter;0.6
5781;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2011 2nd quarter;0.7
5782;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2011 3rd quarter;0.7
5783;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2011 4th quarter;0.7
5784;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2011;0.7
5785;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2012 1st quarter;0.8
5786;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2012 2nd quarter;0.8
5787;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2012 3rd quarter;0.8
5788;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2012 4th quarter;0.8
5789;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2012;0.8
5790;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2013 1st quarter;0.9
5791;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2013 2nd quarter;0.9
5792;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2013 3rd quarter;0.8
5793;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2013 4th quarter;0.8
5794;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2013;0.9
5795;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2014 1st quarter;0.9
5796;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2014 2nd quarter;0.9
5797;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2014 3rd quarter;0.9
5798;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2014 4th quarter;0.9
5799;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2014;0.9
5800;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2015 1st quarter;1.0
5801;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2015 2nd quarter;1.0
5802;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2015 3rd quarter;1.0
5803;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2015 4th quarter;1.1
5804;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2015;1.0
5805;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2016 1st quarter;1.1
5806;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2016 2nd quarter;1.1
5807;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2016 3rd quarter;1.1
5808;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2016 4th quarter;1.2
5809;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2016;1.1
5810;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2017 1st quarter;1.2
5811;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2017 2nd quarter;1.3
5812;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2017 3rd quarter;1.3
5813;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2017 4th quarter;1.3
5814;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2017;1.3
5815;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2018 1st quarter;1.4
5816;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2018 2nd quarter;1.5
5817;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2018 3rd quarter;1.5
5818;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2018 4th quarter;1.5
5819;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2018;1.5
5820;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2019 1st quarter;1.5
5821;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2019 2nd quarter;1.6
5822;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2019 3rd quarter;1.7
5823;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2019 4th quarter;1.7
5824;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2019;1.6
5825;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2020 1st quarter;1.8
5826;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2020 2nd quarter;1.8
5827;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2020 3rd quarter;1.9
5828;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2020 4th quarter;1.8
5829;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Portugal;2020;1.8
5830;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2010 1st quarter;0.6
5831;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2010 2nd quarter;0.6
5832;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2010 3rd quarter;0.6
5833;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2010 4th quarter;0.7
5834;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2010;0.6
5835;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2011 1st quarter;0.7
5836;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2011 2nd quarter;0.6
5837;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2011 3rd quarter;0.7
5838;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2011 4th quarter;0.7
5839;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2011;0.7
5840;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2012 1st quarter;0.7
5841;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2012 2nd quarter;0.7
5842;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2012 3rd quarter;0.8
5843;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2012 4th quarter;0.8
5844;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2012;0.7
5845;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2013 1st quarter;0.8
5846;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2013 2nd quarter;0.8
5847;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2013 3rd quarter;0.8
5848;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2013 4th quarter;0.8
5849;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2013;0.8
5850;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2014 1st quarter;1.0
5851;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2014 2nd quarter;1.0
5852;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2014 3rd quarter;1.1
5853;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2014 4th quarter;1.0
5854;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2014;1.0
5855;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2015 1st quarter;1.2
5856;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2015 2nd quarter;1.2
5857;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2015 3rd quarter;1.1
5858;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2015 4th quarter;1.2
5859;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2015;1.1
5860;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2016 1st quarter;1.3
5861;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2016 2nd quarter;1.3
5862;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2016 3rd quarter;1.4
5863;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2016 4th quarter;1.4
5864;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2016;1.4
5865;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2017 1st quarter;1.5
5866;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2017 2nd quarter;1.5
5867;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2017 3rd quarter;1.5
5868;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2017 4th quarter;1.6
5869;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2017;1.5
5870;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2018 1st quarter;1.7
5871;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2018 2nd quarter;1.8
5872;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2018 3rd quarter;1.9
5873;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2018 4th quarter;2.0
5874;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2018;1.9
5875;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2019 1st quarter;2.1
5876;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2019 2nd quarter;2.2
5877;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2019 3rd quarter;2.4
5878;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2019 4th quarter;2.5
5879;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2019;2.3
5880;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2020 1st quarter;2.5
5881;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2020 2nd quarter;2.5
5882;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2020 3rd quarter;2.6
5883;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2020 4th quarter;2.6
5884;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Romania;2020;2.5
5885;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 1st quarter;0.9
5886;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 2nd quarter;0.9
5887;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 3rd quarter;0.9
5888;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010 4th quarter;0.9
5889;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2010;0.9
5890;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 1st quarter;0.9
5891;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 2nd quarter;0.9
5892;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 3rd quarter;0.9
5893;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011 4th quarter;0.9
5894;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2011;0.9
5895;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 1st quarter;1.0
5896;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 2nd quarter;1.0
5897;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 3rd quarter;1.0
5898;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012 4th quarter;1.0
5899;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2012;1.0
5900;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 1st quarter;1.1
5901;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 2nd quarter;1.2
5902;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 3rd quarter;1.2
5903;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013 4th quarter;1.2
5904;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2013;1.2
5905;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 1st quarter;1.2
5906;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 2nd quarter;1.3
5907;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 3rd quarter;1.3
5908;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014 4th quarter;1.3
5909;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2014;1.3
5910;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 1st quarter;1.4
5911;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 2nd quarter;1.4
5912;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 3rd quarter;1.4
5913;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015 4th quarter;1.5
5914;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2015;1.4
5915;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 1st quarter;1.5
5916;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 2nd quarter;1.6
5917;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 3rd quarter;1.5
5918;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016 4th quarter;1.6
5919;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2016;1.6
5920;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 1st quarter;1.6
5921;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 2nd quarter;1.6
5922;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 3rd quarter;1.7
5923;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017 4th quarter;1.7
