ID;CharacteristicsHouseholdsAndPersons;CaribbeanNetherlands;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2
852;Source: Income as employee/self-employed;Bonaire;2017;2.4;42.0
853;Source: Income as employee/self-employed;Bonaire;2018;0.0;50.0
854;Source: Income as employee/self-employed;Bonaire;2019;4.5;37.0
855;Source: Income as employee/self-employed;Bonaire;2020;5.1;35.0
856;Source: Income as employee/self-employed;Bonaire;2021;2.5;42.0
857;Source: Income as employee/self-employed;Bonaire;2022;-4.9;62.0
858;Source: Income as employee/self-employed;St. Eustatius;2012;3.9;42.0
859;Source: Income as employee/self-employed;St. Eustatius;2013;3.1;42.0
860;Source: Income as employee/self-employed;St. Eustatius;2014;1.6;46.0
861;Source: Income as employee/self-employed;St. Eustatius;2015;5.4;36.0
862;Source: Income as employee/self-employed;St. Eustatius;2016;1.7;44.0
863;Source: Income as employee/self-employed;St. Eustatius;2017;3.9;41.0
864;Source: Income as employee/self-employed;St. Eustatius;2018;3.5;39.0
865;Source: Income as employee/self-employed;St. Eustatius;2019;7.6;33.0
866;Source: Income as employee/self-employed;St. Eustatius;2020;1.7;46.0
867;Source: Income as employee/self-employed;St. Eustatius;2021;1.7;41.0
868;Source: Income as employee/self-employed;St. Eustatius;2022;-4.1;61.0
869;Source: Income as employee/self-employed;Saba;2012;5.0;38.0
870;Source: Income as employee/self-employed;Saba;2013;4.3;39.0
871;Source: Income as employee/self-employed;Saba;2014;2.7;40.0
872;Source: Income as employee/self-employed;Saba;2015;4.3;35.0
873;Source: Income as employee/self-employed;Saba;2016;5.6;30.0
874;Source: Income as employee/self-employed;Saba;2017;1.5;42.0
875;Source: Income as employee/self-employed;Saba;2018;0.7;47.0
876;Source: Income as employee/self-employed;Saba;2019;5.6;29.0
877;Source: Income as employee/self-employed;Saba;2020;4.5;33.0
878;Source: Income as employee/self-employed;Saba;2021;1.9;42.0
879;Source: Income as employee/self-employed;Saba;2022;-1.7;57.0
880;Source: Transfer income;Caribbean Netherlands;2012;2.9;30.0
881;Source: Transfer income;Caribbean Netherlands;2013;0.7;30.0
882;Source: Transfer income;Caribbean Netherlands;2014;0.3;40.0
883;Source: Transfer income;Caribbean Netherlands;2015;2.5;26.0
884;Source: Transfer income;Caribbean Netherlands;2016;0.1;49.0
885;Source: Transfer income;Caribbean Netherlands;2017;0.1;37.0
886;Source: Transfer income;Caribbean Netherlands;2018;-2.8;67.0
887;Source: Transfer income;Caribbean Netherlands;2019;-1.3;65.0
888;Source: Transfer income;Caribbean Netherlands;2020;18.3;18.0
889;Source: Transfer income;Caribbean Netherlands;2021;-0.9;64.0
890;Source: Transfer income;Caribbean Netherlands;2022;1.8;45.0
891;Source: Transfer income;Bonaire;2012;2.9;34.0
892;Source: Transfer income;Bonaire;2013;0.4;34.0
893;Source: Transfer income;Bonaire;2014;0.3;36.0
894;Source: Transfer income;Bonaire;2015;2.5;26.0
895;Source: Transfer income;Bonaire;2016;-0.5;58.0
896;Source: Transfer income;Bonaire;2017;0.1;41.0
897;Source: Transfer income;Bonaire;2018;-2.8;73.0
898;Source: Transfer income;Bonaire;2019;-1.3;67.0
899;Source: Transfer income;Bonaire;2020;18.3;19.0
900;Source: Transfer income;Bonaire;2021;-1.0;70.0
901;Source: Transfer income;Bonaire;2022;2.2;48.0
902;Source: Transfer income;St. Eustatius;2012;5.7;17.0
903;Source: Transfer income;St. Eustatius;2013;2.2;21.0
904;Source: Transfer income;St. Eustatius;2014;-0.9;75.0
905;Source: Transfer income;St. Eustatius;2015;4.5;30.0
906;Source: Transfer income;St. Eustatius;2016;8.5;16.0
907;Source: Transfer income;St. Eustatius;2017;6.3;17.0
908;Source: Transfer income;St. Eustatius;2018;3.4;21.0
909;Source: Transfer income;St. Eustatius;2019;-0.7;63.0
910;Source: Transfer income;St. Eustatius;2020;11.0;15.0
911;Source: Transfer income;St. Eustatius;2021;0.9;23.0
912;Source: Transfer income;St. Eustatius;2022;2.5;23.0
913;Source: Transfer income;Saba;2012;;
914;Source: Transfer income;Saba;2013;;
915;Source: Transfer income;Saba;2014;;
916;Source: Transfer income;Saba;2015;2.2;21.0
917;Source: Transfer income;Saba;2016;;
918;Source: Transfer income;Saba;2017;;
919;Source: Transfer income;Saba;2018;;
920;Source: Transfer income;Saba;2019;;
921;Source: Transfer income;Saba;2020;;
922;Source: Transfer income;Saba;2021;-0.9;75.0
923;Source: Transfer income;Saba;2022;-0.2;55.0
924;Sex: Male;Caribbean Netherlands;2012;3.5;42.0
925;Sex: Male;Caribbean Netherlands;2013;1.8;44.0
926;Sex: Male;Caribbean Netherlands;2014;1.8;44.0
927;Sex: Male;Caribbean Netherlands;2015;4.5;36.0
928;Sex: Male;Caribbean Netherlands;2016;2.7;42.0
929;Sex: Male;Caribbean Netherlands;2017;2.0;42.0
930;Sex: Male;Caribbean Netherlands;2018;0.0;50.0
931;Sex: Male;Caribbean Netherlands;2019;3.8;39.0
932;Sex: Male;Caribbean Netherlands;2020;4.9;36.0
933;Sex: Male;Caribbean Netherlands;2021;1.4;45.0
934;Sex: Male;Caribbean Netherlands;2022;-4.1;60.0
935;Sex: Male;Bonaire;2012;3.0;43.0
936;Sex: Male;Bonaire;2013;1.4;45.0
937;Sex: Male;Bonaire;2014;1.8;44.0
938;Sex: Male;Bonaire;2015;4.4;36.0
939;Sex: Male;Bonaire;2016;2.5;43.0
940;Sex: Male;Bonaire;2017;1.7;43.0
941;Sex: Male;Bonaire;2018;-0.6;52.0
942;Sex: Male;Bonaire;2019;3.4;40.0
943;Sex: Male;Bonaire;2020;5.4;35.0
944;Sex: Male;Bonaire;2021;1.5;46.0
945;Sex: Male;Bonaire;2022;-4.3;60.0
946;Sex: Male;St. Eustatius;2012;5.0;41.0
947;Sex: Male;St. Eustatius;2013;2.9;41.0
948;Sex: Male;St. Eustatius;2014;0.0;50.0
949;Sex: Male;St. Eustatius;2015;5.4;35.0
950;Sex: Male;St. Eustatius;2016;1.5;44.0
951;Sex: Male;St. Eustatius;2017;4.9;39.0
952;Sex: Male;St. Eustatius;2018;3.4;38.0
953;Sex: Male;St. Eustatius;2019;6.1;37.0
954;Sex: Male;St. Eustatius;2020;2.1;45.0
955;Sex: Male;St. Eustatius;2021;0.9;40.0
956;Sex: Male;St. Eustatius;2022;-3.4;59.0
957;Sex: Male;Saba;2012;5.2;36.0
958;Sex: Male;Saba;2013;3.7;39.0
959;Sex: Male;Saba;2014;3.3;38.0
960;Sex: Male;Saba;2015;3.5;33.0
961;Sex: Male;Saba;2016;6.1;30.0
962;Sex: Male;Saba;2017;1.8;41.0
963;Sex: Male;Saba;2018;0.1;50.0
964;Sex: Male;Saba;2019;5.3;31.0
965;Sex: Male;Saba;2020;4.2;34.0
966;Sex: Male;Saba;2021;1.3;44.0
967;Sex: Male;Saba;2022;-2.1;58.0
968;Sex: Female;Caribbean Netherlands;2012;3.8;41.0
969;Sex: Female;Caribbean Netherlands;2013;2.1;43.0
970;Sex: Female;Caribbean Netherlands;2014;2.1;43.0
971;Sex: Female;Caribbean Netherlands;2015;4.6;36.0
972;Sex: Female;Caribbean Netherlands;2016;3.2;41.0
973;Sex: Female;Caribbean Netherlands;2017;2.1;42.0
974;Sex: Female;Caribbean Netherlands;2018;0.4;49.0
975;Sex: Female;Caribbean Netherlands;2019;4.6;37.0
976;Sex: Female;Caribbean Netherlands;2020;5.5;35.0
977;Sex: Female;Caribbean Netherlands;2021;1.8;43.0
978;Sex: Female;Caribbean Netherlands;2022;-3.7;60.0
979;Sex: Female;Bonaire;2012;3.6;42.0
980;Sex: Female;Bonaire;2013;1.8;44.0
981;Sex: Female;Bonaire;2014;2.1;43.0
982;Sex: Female;Bonaire;2015;4.9;35.0
983;Sex: Female;Bonaire;2016;2.8;42.0
984;Sex: Female;Bonaire;2017;1.9;42.0
985;Sex: Female;Bonaire;2018;-0.3;51.0
986;Sex: Female;Bonaire;2019;4.1;39.0
987;Sex: Female;Bonaire;2020;5.9;35.0
988;Sex: Female;Bonaire;2021;2.1;43.0
989;Sex: Female;Bonaire;2022;-4.1;60.0
990;Sex: Female;St. Eustatius;2012;4.3;41.0
991;Sex: Female;St. Eustatius;2013;2.2;41.0
992;Sex: Female;St. Eustatius;2014;1.5;46.0
993;Sex: Female;St. Eustatius;2015;4.4;39.0
994;Sex: Female;St. Eustatius;2016;3.4;40.0
995;Sex: Female;St. Eustatius;2017;4.5;39.0
996;Sex: Female;St. Eustatius;2018;3.5;37.0
997;Sex: Female;St. Eustatius;2019;7.0;33.0
998;Sex: Female;St. Eustatius;2020;3.2;43.0
999;Sex: Female;St. Eustatius;2021;1.6;39.0
1000;Sex: Female;St. Eustatius;2022;-3.1;57.0
1001;Sex: Female;Saba;2012;4.4;36.0
1002;Sex: Female;Saba;2013;3.3;37.0
1003;Sex: Female;Saba;2014;2.9;39.0
1004;Sex: Female;Saba;2015;2.8;34.0
1005;Sex: Female;Saba;2016;6.3;30.0
1006;Sex: Female;Saba;2017;1.7;41.0
1007;Sex: Female;Saba;2018;0.4;48.0
1008;Sex: Female;Saba;2019;5.6;30.0
1009;Sex: Female;Saba;2020;5.2;31.0
1010;Sex: Female;Saba;2021;1.0;46.0
1011;Sex: Female;Saba;2022;-1.0;54.0
1012;Pos. in hh.: Main earner;Caribbean Netherlands;2012;3.8;40.0
1013;Pos. in hh.: Main earner;Caribbean Netherlands;2013;2.0;42.0
1014;Pos. in hh.: Main earner;Caribbean Netherlands;2014;1.9;42.0
1015;Pos. in hh.: Main earner;Caribbean Netherlands;2015;4.2;34.0
1016;Pos. in hh.: Main earner;Caribbean Netherlands;2016;2.8;42.0
1017;Pos. in hh.: Main earner;Caribbean Netherlands;2017;2.3;40.0
1018;Pos. in hh.: Main earner;Caribbean Netherlands;2018;-0.1;50.0
1019;Pos. in hh.: Main earner;Caribbean Netherlands;2019;3.7;39.0
1020;Pos. in hh.: Main earner;Caribbean Netherlands;2020;5.6;33.0
1021;Pos. in hh.: Main earner;Caribbean Netherlands;2021;1.5;44.0
1022;Pos. in hh.: Main earner;Caribbean Netherlands;2022;-3.2;59.0
1023;Pos. in hh.: Main earner;Bonaire;2012;3.4;40.0
1024;Pos. in hh.: Main earner;Bonaire;2013;1.6;43.0
1025;Pos. in hh.: Main earner;Bonaire;2014;2.0;41.0
1026;Pos. in hh.: Main earner;Bonaire;2015;3.9;34.0
1027;Pos. in hh.: Main earner;Bonaire;2016;2.4;43.0
1028;Pos. in hh.: Main earner;Bonaire;2017;1.9;41.0
1029;Pos. in hh.: Main earner;Bonaire;2018;-0.8;52.0
1030;Pos. in hh.: Main earner;Bonaire;2019;3.1;40.0
1031;Pos. in hh.: Main earner;Bonaire;2020;6.0;33.0
1032;Pos. in hh.: Main earner;Bonaire;2021;1.7;45.0
1033;Pos. in hh.: Main earner;Bonaire;2022;-3.5;59.0
1034;Pos. in hh.: Main earner;St. Eustatius;2012;5.6;39.0
1035;Pos. in hh.: Main earner;St. Eustatius;2013;2.2;39.0
1036;Pos. in hh.: Main earner;St. Eustatius;2014;0.4;49.0
1037;Pos. in hh.: Main earner;St. Eustatius;2015;6.0;31.0
1038;Pos. in hh.: Main earner;St. Eustatius;2016;2.9;39.0
1039;Pos. in hh.: Main earner;St. Eustatius;2017;5.9;35.0
1040;Pos. in hh.: Main earner;St. Eustatius;2018;3.3;39.0
1041;Pos. in hh.: Main earner;St. Eustatius;2019;5.9;36.0
1042;Pos. in hh.: Main earner;St. Eustatius;2020;3.4;40.0
1043;Pos. in hh.: Main earner;St. Eustatius;2021;0.9;38.0
1044;Pos. in hh.: Main earner;St. Eustatius;2022;-2.4;57.0
1045;Pos. in hh.: Main earner;Saba;2012;4.4;34.0
1046;Pos. in hh.: Main earner;Saba;2013;3.2;36.0
1047;Pos. in hh.: Main earner;Saba;2014;3.0;38.0
1048;Pos. in hh.: Main earner;Saba;2015;2.7;34.0
1049;Pos. in hh.: Main earner;Saba;2016;5.6;31.0
1050;Pos. in hh.: Main earner;Saba;2017;2.1;38.0
1051;Pos. in hh.: Main earner;Saba;2018;-0.1;50.0
1052;Pos. in hh.: Main earner;Saba;2019;5.3;29.0
1053;Pos. in hh.: Main earner;Saba;2020;4.7;30.0
1054;Pos. in hh.: Main earner;Saba;2021;1.1;46.0
1055;Pos. in hh.: Main earner;Saba;2022;-2.1;59.0
1056;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2012;3.9;38.0
1057;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2013;2.0;41.0
1058;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2014;1.8;41.0
1059;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2015;3.6;33.0
1060;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2016;2.9;41.0
1061;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2017;2.3;39.0
1062;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2018;-0.3;51.0
1063;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2019;3.3;40.0
1064;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2020;6.1;30.0
1065;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2021;1.2;45.0
1066;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2022;-2.2;57.0
1067;Pos. in hh.: Main earner without partner;Bonaire;2012;3.6;39.0
1068;Pos. in hh.: Main earner without partner;Bonaire;2013;1.7;41.0
1069;Pos. in hh.: Main earner without partner;Bonaire;2014;2.0;40.0
1070;Pos. in hh.: Main earner without partner;Bonaire;2015;3.3;33.0
1071;Pos. in hh.: Main earner without partner;Bonaire;2016;2.4;43.0
1072;Pos. in hh.: Main earner without partner;Bonaire;2017;1.6;40.0
1073;Pos. in hh.: Main earner without partner;Bonaire;2018;-1.1;53.0
1074;Pos. in hh.: Main earner without partner;Bonaire;2019;2.7;41.0
1075;Pos. in hh.: Main earner without partner;Bonaire;2020;6.7;30.0
1076;Pos. in hh.: Main earner without partner;Bonaire;2021;1.5;46.0
1077;Pos. in hh.: Main earner without partner;Bonaire;2022;-2.2;57.0
1078;Pos. in hh.: Main earner without partner;St. Eustatius;2012;5.6;39.0
1079;Pos. in hh.: Main earner without partner;St. Eustatius;2013;2.2;39.0
1080;Pos. in hh.: Main earner without partner;St. Eustatius;2014;-0.2;51.0
1081;Pos. in hh.: Main earner without partner;St. Eustatius;2015;4.7;32.0
1082;Pos. in hh.: Main earner without partner;St. Eustatius;2016;4.0;36.0
1083;Pos. in hh.: Main earner without partner;St. Eustatius;2017;6.4;33.0
1084;Pos. in hh.: Main earner without partner;St. Eustatius;2018;3.2;40.0
1085;Pos. in hh.: Main earner without partner;St. Eustatius;2019;5.1;38.0
1086;Pos. in hh.: Main earner without partner;St. Eustatius;2020;4.1;36.0
1087;Pos. in hh.: Main earner without partner;St. Eustatius;2021;0.8;37.0
1088;Pos. in hh.: Main earner without partner;St. Eustatius;2022;-2.1;55.0
1089;Pos. in hh.: Main earner without partner;Saba;2012;4.5;30.0
1090;Pos. in hh.: Main earner without partner;Saba;2013;3.0;36.0
1091;Pos. in hh.: Main earner without partner;Saba;2014;3.5;37.0
1092;Pos. in hh.: Main earner without partner;Saba;2015;2.3;33.0
1093;Pos. in hh.: Main earner without partner;Saba;2016;6.3;30.0
1094;Pos. in hh.: Main earner without partner;Saba;2017;2.4;34.0
1095;Pos. in hh.: Main earner without partner;Saba;2018;-0.6;51.0
1096;Pos. in hh.: Main earner without partner;Saba;2019;5.4;27.0
1097;Pos. in hh.: Main earner without partner;Saba;2020;4.7;28.0
1098;Pos. in hh.: Main earner without partner;Saba;2021;0.8;47.0
1099;Pos. in hh.: Main earner without partner;Saba;2022;-2.1;62.0
1100;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2012;3.1;39.0
1101;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2013;1.8;41.0
1102;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2014;1.3;42.0
1103;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2015;2.8;33.0
1104;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2016;1.7;45.0
1105;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2017;1.9;40.0
1106;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2018;-1.2;54.0
1107;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2019;2.0;43.0
1108;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2020;5.7;31.0
1109;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2021;0.6;47.0
1110;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2022;-2.4;58.0
1111;Pos. in hh.: Main earner, single person;Bonaire;2012;2.9;39.0
1112;Pos. in hh.: Main earner, single person;Bonaire;2013;1.0;42.0
1113;Pos. in hh.: Main earner, single person;Bonaire;2014;1.2;40.0
1114;Pos. in hh.: Main earner, single person;Bonaire;2015;2.5;34.0
1115;Pos. in hh.: Main earner, single person;Bonaire;2016;1.1;47.0
1116;Pos. in hh.: Main earner, single person;Bonaire;2017;1.0;42.0
1117;Pos. in hh.: Main earner, single person;Bonaire;2018;-2.1;56.0
1118;Pos. in hh.: Main earner, single person;Bonaire;2019;1.5;45.0
1119;Pos. in hh.: Main earner, single person;Bonaire;2020;6.2;30.0
1120;Pos. in hh.: Main earner, single person;Bonaire;2021;0.7;49.0
1121;Pos. in hh.: Main earner, single person;Bonaire;2022;-2.5;58.0
1122;Pos. in hh.: Main earner, single person;St. Eustatius;2012;5.5;40.0
1123;Pos. in hh.: Main earner, single person;St. Eustatius;2013;2.2;38.0
1124;Pos. in hh.: Main earner, single person;St. Eustatius;2014;-0.8;54.0
1125;Pos. in hh.: Main earner, single person;St. Eustatius;2015;4.8;29.0
1126;Pos. in hh.: Main earner, single person;St. Eustatius;2016;3.0;38.0
1127;Pos. in hh.: Main earner, single person;St. Eustatius;2017;6.5;32.0
1128;Pos. in hh.: Main earner, single person;St. Eustatius;2018;2.3;43.0
1129;Pos. in hh.: Main earner, single person;St. Eustatius;2019;4.0;42.0
1130;Pos. in hh.: Main earner, single person;St. Eustatius;2020;3.2;36.0
1131;Pos. in hh.: Main earner, single person;St. Eustatius;2021;0.6;37.0
1132;Pos. in hh.: Main earner, single person;St. Eustatius;2022;-2.1;56.0
1133;Pos. in hh.: Main earner, single person;Saba;2012;3.7;32.0
1134;Pos. in hh.: Main earner, single person;Saba;2013;3.2;34.0
1135;Pos. in hh.: Main earner, single person;Saba;2014;3.5;35.0
1136;Pos. in hh.: Main earner, single person;Saba;2015;2.2;32.0
1137;Pos. in hh.: Main earner, single person;Saba;2016;6.3;31.0
1138;Pos. in hh.: Main earner, single person;Saba;2017;2.5;34.0
1139;Pos. in hh.: Main earner, single person;Saba;2018;-1.4;54.0
1140;Pos. in hh.: Main earner, single person;Saba;2019;4.4;29.0
1141;Pos. in hh.: Main earner, single person;Saba;2020;4.4;28.0
1142;Pos. in hh.: Main earner, single person;Saba;2021;0.3;50.0
1143;Pos. in hh.: Main earner, single person;Saba;2022;-2.7;64.0
1144;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2012;5.8;36.0
1145;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2013;3.7;40.0
1146;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2014;4.0;38.0
1147;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2015;6.7;33.0
1148;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2016;6.6;32.0
1149;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2017;3.9;35.0
1150;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2018;2.4;44.0
1151;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2019;8.0;30.0
1152;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2020;7.8;30.0
1153;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2021;3.4;38.0
1154;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2022;-1.3;53.0
1155;Pos. in hh.: Main earner, single parent;Bonaire;2012;5.6;37.0
1156;Pos. in hh.: Main earner, single parent;Bonaire;2013;3.9;40.0
1157;Pos. in hh.: Main earner, single parent;Bonaire;2014;5.4;37.0
1158;Pos. in hh.: Main earner, single parent;Bonaire;2015;7.1;32.0
1159;Pos. in hh.: Main earner, single parent;Bonaire;2016;6.5;33.0
1160;Pos. in hh.: Main earner, single parent;Bonaire;2017;3.6;36.0
1161;Pos. in hh.: Main earner, single parent;Bonaire;2018;1.3;46.0
1162;Pos. in hh.: Main earner, single parent;Bonaire;2019;7.7;31.0
1163;Pos. in hh.: Main earner, single parent;Bonaire;2020;8.2;29.0
1164;Pos. in hh.: Main earner, single parent;Bonaire;2021;3.9;39.0
1165;Pos. in hh.: Main earner, single parent;Bonaire;2022;-1.3;53.0
1166;Pos. in hh.: Main earner, single parent;St. Eustatius;2012;6.3;35.0
1167;Pos. in hh.: Main earner, single parent;St. Eustatius;2013;2.7;39.0
1168;Pos. in hh.: Main earner, single parent;St. Eustatius;2014;1.5;43.0
1169;Pos. in hh.: Main earner, single parent;St. Eustatius;2015;4.7;38.0
1170;Pos. in hh.: Main earner, single parent;St. Eustatius;2016;7.0;30.0
1171;Pos. in hh.: Main earner, single parent;St. Eustatius;2017;6.0;33.0
1172;Pos. in hh.: Main earner, single parent;St. Eustatius;2018;7.6;32.0
1173;Pos. in hh.: Main earner, single parent;St. Eustatius;2019;8.8;30.0
1174;Pos. in hh.: Main earner, single parent;St. Eustatius;2020;5.8;36.0
1175;Pos. in hh.: Main earner, single parent;St. Eustatius;2021;2.9;37.0
1176;Pos. in hh.: Main earner, single parent;St. Eustatius;2022;-2.1;54.0
1177;Pos. in hh.: Main earner, single parent;Saba;2012;;
1178;Pos. in hh.: Main earner, single parent;Saba;2013;;
1179;Pos. in hh.: Main earner, single parent;Saba;2014;;
1180;Pos. in hh.: Main earner, single parent;Saba;2015;;
1181;Pos. in hh.: Main earner, single parent;Saba;2016;;
1182;Pos. in hh.: Main earner, single parent;Saba;2017;;
1183;Pos. in hh.: Main earner, single parent;Saba;2018;;
1184;Pos. in hh.: Main earner, single parent;Saba;2019;;
1185;Pos. in hh.: Main earner, single parent;Saba;2020;;
1186;Pos. in hh.: Main earner, single parent;Saba;2021;2.2;41.0
1187;Pos. in hh.: Main earner, single parent;Saba;2022;-1.4;57.0
1188;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2012;3.6;42.0
1189;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2013;1.9;43.0
1190;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2014;2.1;43.0
1191;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2015;4.7;35.0
1192;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2016;2.6;42.0
1193;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2017;2.3;41.0
1194;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2018;0.2;49.0
1195;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2019;4.0;38.0
1196;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2020;5.0;37.0
1197;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2021;2.0;43.0
1198;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2022;-4.5;61.0
1199;Pos. in hh.: Main earner with partner;Bonaire;2012;3.2;42.0
1200;Pos. in hh.: Main earner with partner;Bonaire;2013;1.6;44.0
1201;Pos. in hh.: Main earner with partner;Bonaire;2014;2.1;43.0
1202;Pos. in hh.: Main earner with partner;Bonaire;2015;4.5;35.0
1203;Pos. in hh.: Main earner with partner;Bonaire;2016;2.4;42.0
1204;Pos. in hh.: Main earner with partner;Bonaire;2017;2.2;41.0
1205;Pos. in hh.: Main earner with partner;Bonaire;2018;-0.4;51.0
1206;Pos. in hh.: Main earner with partner;Bonaire;2019;3.5;39.0
1207;Pos. in hh.: Main earner with partner;Bonaire;2020;5.3;36.0
1208;Pos. in hh.: Main earner with partner;Bonaire;2021;2.2;43.0
1209;Pos. in hh.: Main earner with partner;Bonaire;2022;-4.9;62.0
1210;Pos. in hh.: Main earner with partner;St. Eustatius;2012;5.6;40.0
1211;Pos. in hh.: Main earner with partner;St. Eustatius;2013;2.6;41.0
1212;Pos. in hh.: Main earner with partner;St. Eustatius;2014;1.5;47.0
1213;Pos. in hh.: Main earner with partner;St. Eustatius;2015;8.4;30.0
1214;Pos. in hh.: Main earner with partner;St. Eustatius;2016;1.9;44.0
1215;Pos. in hh.: Main earner with partner;St. Eustatius;2017;4.7;40.0
1216;Pos. in hh.: Main earner with partner;St. Eustatius;2018;3.4;37.0
1217;Pos. in hh.: Main earner with partner;St. Eustatius;2019;7.5;33.0
1218;Pos. in hh.: Main earner with partner;St. Eustatius;2020;1.7;47.0
1219;Pos. in hh.: Main earner with partner;St. Eustatius;2021;1.7;41.0
1220;Pos. in hh.: Main earner with partner;St. Eustatius;2022;-3.0;59.0
1221;Pos. in hh.: Main earner with partner;Saba;2012;4.4;39.0
1222;Pos. in hh.: Main earner with partner;Saba;2013;4.1;36.0
1223;Pos. in hh.: Main earner with partner;Saba;2014;2.6;39.0
1224;Pos. in hh.: Main earner with partner;Saba;2015;3.1;35.0
1225;Pos. in hh.: Main earner with partner;Saba;2016;5.2;33.0
1226;Pos. in hh.: Main earner with partner;Saba;2017;1.8;41.0
1227;Pos. in hh.: Main earner with partner;Saba;2018;0.1;49.0
1228;Pos. in hh.: Main earner with partner;Saba;2019;5.3;31.0
1229;Pos. in hh.: Main earner with partner;Saba;2020;4.7;33.0
1230;Pos. in hh.: Main earner with partner;Saba;2021;1.3;45.0
1231;Pos. in hh.: Main earner with partner;Saba;2022;-1.3;54.0
1232;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2012;2.9;44.0
1233;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2013;1.4;45.0
1234;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2014;1.4;45.0
1235;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2015;3.5;37.0
1236;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2016;1.8;44.0
1237;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2017;1.3;44.0
1238;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2018;-0.5;51.0
1239;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2019;3.3;40.0
1240;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2020;4.4;39.0
1241;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2021;1.5;45.0
1242;Pos. in hh.: Partner of main earner;Caribbean Netherlands;2022;-5.1;63.0
1243;Pos. in hh.: Partner of main earner;Bonaire;2012;2.7;44.0
1244;Pos. in hh.: Partner of main earner;Bonaire;2013;1.0;46.0
1245;Pos. in hh.: Partner of main earner;Bonaire;2014;1.3;45.0
1246;Pos. in hh.: Partner of main earner;Bonaire;2015;3.4;38.0
1247;Pos. in hh.: Partner of main earner;Bonaire;2016;1.7;45.0
1248;Pos. in hh.: Partner of main earner;Bonaire;2017;1.1;44.0
1249;Pos. in hh.: Partner of main earner;Bonaire;2018;-1.1;53.0
1250;Pos. in hh.: Partner of main earner;Bonaire;2019;2.9;41.0
1251;Pos. in hh.: Partner of main earner;Bonaire;2020;4.6;38.0
1252;Pos. in hh.: Partner of main earner;Bonaire;2021;1.6;45.0
1253;Pos. in hh.: Partner of main earner;Bonaire;2022;-5.5;64.0
1254;Pos. in hh.: Partner of main earner;St. Eustatius;2012;4.2;42.0
1255;Pos. in hh.: Partner of main earner;St. Eustatius;2013;2.2;43.0
1256;Pos. in hh.: Partner of main earner;St. Eustatius;2014;0.7;49.0
