ID;EconomicActivityNCEA2008;Regions;Periods;NumberOfLocalUnits_1
5500;0124 Growing of pome and stone fruits;Leiden (SG);2006;0
5501;0124 Growing of pome and stone fruits;Leiden (SG);2007;0
5502;0124 Growing of pome and stone fruits;Leiden (SG);2008;0
5503;0124 Growing of pome and stone fruits;Leiden (SG);2009;0
5504;0124 Growing of pome and stone fruits;Leiden (SG);2010;0
5505;0124 Growing of pome and stone fruits;'s-Gravenhage (SG);2006;0
5506;0124 Growing of pome and stone fruits;'s-Gravenhage (SG);2007;0
5507;0124 Growing of pome and stone fruits;'s-Gravenhage (SG);2008;0
5508;0124 Growing of pome and stone fruits;'s-Gravenhage (SG);2009;0
5509;0124 Growing of pome and stone fruits;'s-Gravenhage (SG);2010;0
5510;0124 Growing of pome and stone fruits;Rotterdam (SG);2006;15
5511;0124 Growing of pome and stone fruits;Rotterdam (SG);2007;15
5512;0124 Growing of pome and stone fruits;Rotterdam (SG);2008;10
5513;0124 Growing of pome and stone fruits;Rotterdam (SG);2009;10
5514;0124 Growing of pome and stone fruits;Rotterdam (SG);2010;10
5515;0124 Growing of pome and stone fruits;Dordrecht (SG);2006;5
5516;0124 Growing of pome and stone fruits;Dordrecht (SG);2007;5
5517;0124 Growing of pome and stone fruits;Dordrecht (SG);2008;5
5518;0124 Growing of pome and stone fruits;Dordrecht (SG);2009;5
5519;0124 Growing of pome and stone fruits;Dordrecht (SG);2010;5
5520;0124 Growing of pome and stone fruits;Breda (SG);2006;5
5521;0124 Growing of pome and stone fruits;Breda (SG);2007;5
5522;0124 Growing of pome and stone fruits;Breda (SG);2008;5
5523;0124 Growing of pome and stone fruits;Breda (SG);2009;5
5524;0124 Growing of pome and stone fruits;Breda (SG);2010;5
5525;0124 Growing of pome and stone fruits;Tilburg (SG);2006;0
5526;0124 Growing of pome and stone fruits;Tilburg (SG);2007;5
5527;0124 Growing of pome and stone fruits;Tilburg (SG);2008;5
5528;0124 Growing of pome and stone fruits;Tilburg (SG);2009;5
5529;0124 Growing of pome and stone fruits;Tilburg (SG);2010;5
5530;0124 Growing of pome and stone fruits;'s-Hertogenbosch (SG);2006;5
5531;0124 Growing of pome and stone fruits;'s-Hertogenbosch (SG);2007;5
5532;0124 Growing of pome and stone fruits;'s-Hertogenbosch (SG);2008;5
5533;0124 Growing of pome and stone fruits;'s-Hertogenbosch (SG);2009;5
5534;0124 Growing of pome and stone fruits;'s-Hertogenbosch (SG);2010;5
5535;0124 Growing of pome and stone fruits;Eindhoven (SG);2006;5
5536;0124 Growing of pome and stone fruits;Eindhoven (SG);2007;0
5537;0124 Growing of pome and stone fruits;Eindhoven (SG);2008;5
5538;0124 Growing of pome and stone fruits;Eindhoven (SG);2009;5
5539;0124 Growing of pome and stone fruits;Eindhoven (SG);2010;5
5540;0124 Growing of pome and stone fruits;Geleen/Sittard (SG);2006;15
5541;0124 Growing of pome and stone fruits;Geleen/Sittard (SG);2007;10
5542;0124 Growing of pome and stone fruits;Geleen/Sittard (SG);2008;10
5543;0124 Growing of pome and stone fruits;Geleen/Sittard (SG);2009;10
5544;0124 Growing of pome and stone fruits;Geleen/Sittard (SG);2010;15
5545;0124 Growing of pome and stone fruits;Heerlen (SG);2006;20
5546;0124 Growing of pome and stone fruits;Heerlen (SG);2007;20
5547;0124 Growing of pome and stone fruits;Heerlen (SG);2008;20
5548;0124 Growing of pome and stone fruits;Heerlen (SG);2009;25
5549;0124 Growing of pome and stone fruits;Heerlen (SG);2010;25
5550;0124 Growing of pome and stone fruits;Maastricht (SG);2006;85
5551;0124 Growing of pome and stone fruits;Maastricht (SG);2007;85
5552;0124 Growing of pome and stone fruits;Maastricht (SG);2008;95
5553;0124 Growing of pome and stone fruits;Maastricht (SG);2009;95
5554;0124 Growing of pome and stone fruits;Maastricht (SG);2010;105
5555;0125 Growing of other fruits and nuts;Nederland;2006;0
5556;0125 Growing of other fruits and nuts;Nederland;2007;0
5557;0125 Growing of other fruits and nuts;Nederland;2008;0
5558;0125 Growing of other fruits and nuts;Nederland;2009;0
5559;0125 Growing of other fruits and nuts;Nederland;2010;0
5560;0125 Growing of other fruits and nuts;Noord-Nederland (LD);2006;0
5561;0125 Growing of other fruits and nuts;Noord-Nederland (LD);2007;0
5562;0125 Growing of other fruits and nuts;Noord-Nederland (LD);2008;0
5563;0125 Growing of other fruits and nuts;Noord-Nederland (LD);2009;0
5564;0125 Growing of other fruits and nuts;Noord-Nederland (LD);2010;0
5565;0125 Growing of other fruits and nuts;Oost-Nederland (LD);2006;0
5566;0125 Growing of other fruits and nuts;Oost-Nederland (LD);2007;0
5567;0125 Growing of other fruits and nuts;Oost-Nederland (LD);2008;0
5568;0125 Growing of other fruits and nuts;Oost-Nederland (LD);2009;0
5569;0125 Growing of other fruits and nuts;Oost-Nederland (LD);2010;0
5570;0125 Growing of other fruits and nuts;West-Nederland (LD);2006;0
5571;0125 Growing of other fruits and nuts;West-Nederland (LD);2007;0
5572;0125 Growing of other fruits and nuts;West-Nederland (LD);2008;0
5573;0125 Growing of other fruits and nuts;West-Nederland (LD);2009;0
5574;0125 Growing of other fruits and nuts;West-Nederland (LD);2010;0
5575;0125 Growing of other fruits and nuts;Zuid-Nederland (LD);2006;0
5576;0125 Growing of other fruits and nuts;Zuid-Nederland (LD);2007;0
5577;0125 Growing of other fruits and nuts;Zuid-Nederland (LD);2008;0
5578;0125 Growing of other fruits and nuts;Zuid-Nederland (LD);2009;0
5579;0125 Growing of other fruits and nuts;Zuid-Nederland (LD);2010;0
5580;0125 Growing of other fruits and nuts;Groningen (PV);2006;0
5581;0125 Growing of other fruits and nuts;Groningen (PV);2007;0
5582;0125 Growing of other fruits and nuts;Groningen (PV);2008;0
5583;0125 Growing of other fruits and nuts;Groningen (PV);2009;0
5584;0125 Growing of other fruits and nuts;Groningen (PV);2010;0
5585;0125 Growing of other fruits and nuts;Friesland (PV);2006;0
5586;0125 Growing of other fruits and nuts;Friesland (PV);2007;0
5587;0125 Growing of other fruits and nuts;Friesland (PV);2008;0
5588;0125 Growing of other fruits and nuts;Friesland (PV);2009;0
5589;0125 Growing of other fruits and nuts;Friesland (PV);2010;0
5590;0125 Growing of other fruits and nuts;Drenthe (PV);2006;0
5591;0125 Growing of other fruits and nuts;Drenthe (PV);2007;0
5592;0125 Growing of other fruits and nuts;Drenthe (PV);2008;0
5593;0125 Growing of other fruits and nuts;Drenthe (PV);2009;0
5594;0125 Growing of other fruits and nuts;Drenthe (PV);2010;0
5595;0125 Growing of other fruits and nuts;Overijssel (PV);2006;0
5596;0125 Growing of other fruits and nuts;Overijssel (PV);2007;0
5597;0125 Growing of other fruits and nuts;Overijssel (PV);2008;0
5598;0125 Growing of other fruits and nuts;Overijssel (PV);2009;0
5599;0125 Growing of other fruits and nuts;Overijssel (PV);2010;0
5600;0125 Growing of other fruits and nuts;Flevoland (PV);2006;0
5601;0125 Growing of other fruits and nuts;Flevoland (PV);2007;0
5602;0125 Growing of other fruits and nuts;Flevoland (PV);2008;0
5603;0125 Growing of other fruits and nuts;Flevoland (PV);2009;0
5604;0125 Growing of other fruits and nuts;Flevoland (PV);2010;0
5605;0125 Growing of other fruits and nuts;Gelderland (PV);2006;0
5606;0125 Growing of other fruits and nuts;Gelderland (PV);2007;0
5607;0125 Growing of other fruits and nuts;Gelderland (PV);2008;0
5608;0125 Growing of other fruits and nuts;Gelderland (PV);2009;0
5609;0125 Growing of other fruits and nuts;Gelderland (PV);2010;0
5610;0125 Growing of other fruits and nuts;Utrecht (PV);2006;0
5611;0125 Growing of other fruits and nuts;Utrecht (PV);2007;0
5612;0125 Growing of other fruits and nuts;Utrecht (PV);2008;0
5613;0125 Growing of other fruits and nuts;Utrecht (PV);2009;0
5614;0125 Growing of other fruits and nuts;Utrecht (PV);2010;0
5615;0125 Growing of other fruits and nuts;Noord-Holland (PV);2006;0
5616;0125 Growing of other fruits and nuts;Noord-Holland (PV);2007;0
5617;0125 Growing of other fruits and nuts;Noord-Holland (PV);2008;0
5618;0125 Growing of other fruits and nuts;Noord-Holland (PV);2009;0
5619;0125 Growing of other fruits and nuts;Noord-Holland (PV);2010;0
5620;0125 Growing of other fruits and nuts;Zuid-Holland (PV);2006;0
5621;0125 Growing of other fruits and nuts;Zuid-Holland (PV);2007;0
5622;0125 Growing of other fruits and nuts;Zuid-Holland (PV);2008;0
5623;0125 Growing of other fruits and nuts;Zuid-Holland (PV);2009;0
5624;0125 Growing of other fruits and nuts;Zuid-Holland (PV);2010;0
5625;0125 Growing of other fruits and nuts;Zeeland (PV);2006;0
5626;0125 Growing of other fruits and nuts;Zeeland (PV);2007;0
5627;0125 Growing of other fruits and nuts;Zeeland (PV);2008;0
5628;0125 Growing of other fruits and nuts;Zeeland (PV);2009;0
5629;0125 Growing of other fruits and nuts;Zeeland (PV);2010;0
5630;0125 Growing of other fruits and nuts;Noord-Brabant (PV);2006;0
5631;0125 Growing of other fruits and nuts;Noord-Brabant (PV);2007;0
5632;0125 Growing of other fruits and nuts;Noord-Brabant (PV);2008;0
5633;0125 Growing of other fruits and nuts;Noord-Brabant (PV);2009;0
5634;0125 Growing of other fruits and nuts;Noord-Brabant (PV);2010;0
5635;0125 Growing of other fruits and nuts;Limburg (PV);2006;0
5636;0125 Growing of other fruits and nuts;Limburg (PV);2007;0
5637;0125 Growing of other fruits and nuts;Limburg (PV);2008;0
5638;0125 Growing of other fruits and nuts;Limburg (PV);2009;0
5639;0125 Growing of other fruits and nuts;Limburg (PV);2010;0
5640;0125 Growing of other fruits and nuts;Oost-Groningen (CR);2006;0
5641;0125 Growing of other fruits and nuts;Oost-Groningen (CR);2007;0
5642;0125 Growing of other fruits and nuts;Oost-Groningen (CR);2008;0
5643;0125 Growing of other fruits and nuts;Oost-Groningen (CR);2009;0
5644;0125 Growing of other fruits and nuts;Oost-Groningen (CR);2010;0
5645;0125 Growing of other fruits and nuts;Delfzijl en omgeving (CR);2006;0
5646;0125 Growing of other fruits and nuts;Delfzijl en omgeving (CR);2007;0
5647;0125 Growing of other fruits and nuts;Delfzijl en omgeving (CR);2008;0
5648;0125 Growing of other fruits and nuts;Delfzijl en omgeving (CR);2009;0
5649;0125 Growing of other fruits and nuts;Delfzijl en omgeving (CR);2010;0
5650;0125 Growing of other fruits and nuts;Overig Groningen (CR);2006;0
5651;0125 Growing of other fruits and nuts;Overig Groningen (CR);2007;0
5652;0125 Growing of other fruits and nuts;Overig Groningen (CR);2008;0
5653;0125 Growing of other fruits and nuts;Overig Groningen (CR);2009;0
5654;0125 Growing of other fruits and nuts;Overig Groningen (CR);2010;0
5655;0125 Growing of other fruits and nuts;Noord-Friesland (CR);2006;0
5656;0125 Growing of other fruits and nuts;Noord-Friesland (CR);2007;0
5657;0125 Growing of other fruits and nuts;Noord-Friesland (CR);2008;0
5658;0125 Growing of other fruits and nuts;Noord-Friesland (CR);2009;0
5659;0125 Growing of other fruits and nuts;Noord-Friesland (CR);2010;0
5660;0125 Growing of other fruits and nuts;Zuidwest-Friesland (CR);2006;0
5661;0125 Growing of other fruits and nuts;Zuidwest-Friesland (CR);2007;0
5662;0125 Growing of other fruits and nuts;Zuidwest-Friesland (CR);2008;0
5663;0125 Growing of other fruits and nuts;Zuidwest-Friesland (CR);2009;0
5664;0125 Growing of other fruits and nuts;Zuidwest-Friesland (CR);2010;0
5665;0125 Growing of other fruits and nuts;Zuidoost-Friesland (CR);2006;0
5666;0125 Growing of other fruits and nuts;Zuidoost-Friesland (CR);2007;0
5667;0125 Growing of other fruits and nuts;Zuidoost-Friesland (CR);2008;0
5668;0125 Growing of other fruits and nuts;Zuidoost-Friesland (CR);2009;0
5669;0125 Growing of other fruits and nuts;Zuidoost-Friesland (CR);2010;0
5670;0125 Growing of other fruits and nuts;Noord-Drenthe (CR);2006;0
5671;0125 Growing of other fruits and nuts;Noord-Drenthe (CR);2007;0
5672;0125 Growing of other fruits and nuts;Noord-Drenthe (CR);2008;0
5673;0125 Growing of other fruits and nuts;Noord-Drenthe (CR);2009;0
5674;0125 Growing of other fruits and nuts;Noord-Drenthe (CR);2010;0
5675;0125 Growing of other fruits and nuts;Zuidoost-Drenthe (CR);2006;0
5676;0125 Growing of other fruits and nuts;Zuidoost-Drenthe (CR);2007;0
5677;0125 Growing of other fruits and nuts;Zuidoost-Drenthe (CR);2008;0
5678;0125 Growing of other fruits and nuts;Zuidoost-Drenthe (CR);2009;0
5679;0125 Growing of other fruits and nuts;Zuidoost-Drenthe (CR);2010;0
5680;0125 Growing of other fruits and nuts;Zuidwest-Drenthe (CR);2006;0
5681;0125 Growing of other fruits and nuts;Zuidwest-Drenthe (CR);2007;0
5682;0125 Growing of other fruits and nuts;Zuidwest-Drenthe (CR);2008;0
5683;0125 Growing of other fruits and nuts;Zuidwest-Drenthe (CR);2009;0
5684;0125 Growing of other fruits and nuts;Zuidwest-Drenthe (CR);2010;0
5685;0125 Growing of other fruits and nuts;Noord-Overijssel (CR);2006;0
5686;0125 Growing of other fruits and nuts;Noord-Overijssel (CR);2007;0
5687;0125 Growing of other fruits and nuts;Noord-Overijssel (CR);2008;0
5688;0125 Growing of other fruits and nuts;Noord-Overijssel (CR);2009;0
5689;0125 Growing of other fruits and nuts;Noord-Overijssel (CR);2010;0
5690;0125 Growing of other fruits and nuts;Zuidwest-Overijssel (CR);2006;0
5691;0125 Growing of other fruits and nuts;Zuidwest-Overijssel (CR);2007;0
5692;0125 Growing of other fruits and nuts;Zuidwest-Overijssel (CR);2008;0
5693;0125 Growing of other fruits and nuts;Zuidwest-Overijssel (CR);2009;0
5694;0125 Growing of other fruits and nuts;Zuidwest-Overijssel (CR);2010;0
5695;0125 Growing of other fruits and nuts;Twente (CR);2006;0
5696;0125 Growing of other fruits and nuts;Twente (CR);2007;0
5697;0125 Growing of other fruits and nuts;Twente (CR);2008;0
5698;0125 Growing of other fruits and nuts;Twente (CR);2009;0
5699;0125 Growing of other fruits and nuts;Twente (CR);2010;0
5700;0125 Growing of other fruits and nuts;Veluwe (CR);2006;0
5701;0125 Growing of other fruits and nuts;Veluwe (CR);2007;0
5702;0125 Growing of other fruits and nuts;Veluwe (CR);2008;0
5703;0125 Growing of other fruits and nuts;Veluwe (CR);2009;0
5704;0125 Growing of other fruits and nuts;Veluwe (CR);2010;0
5705;0125 Growing of other fruits and nuts;Achterhoek (CR);2006;0
5706;0125 Growing of other fruits and nuts;Achterhoek (CR);2007;0
5707;0125 Growing of other fruits and nuts;Achterhoek (CR);2008;0
5708;0125 Growing of other fruits and nuts;Achterhoek (CR);2009;0
5709;0125 Growing of other fruits and nuts;Achterhoek (CR);2010;0
5710;0125 Growing of other fruits and nuts;Arnhem/Nijmegen (CR);2006;0
5711;0125 Growing of other fruits and nuts;Arnhem/Nijmegen (CR);2007;0
5712;0125 Growing of other fruits and nuts;Arnhem/Nijmegen (CR);2008;0
5713;0125 Growing of other fruits and nuts;Arnhem/Nijmegen (CR);2009;0
5714;0125 Growing of other fruits and nuts;Arnhem/Nijmegen (CR);2010;0
5715;0125 Growing of other fruits and nuts;Zuidwest-Gelderland (CR);2006;0
5716;0125 Growing of other fruits and nuts;Zuidwest-Gelderland (CR);2007;0
5717;0125 Growing of other fruits and nuts;Zuidwest-Gelderland (CR);2008;0
5718;0125 Growing of other fruits and nuts;Zuidwest-Gelderland (CR);2009;0
5719;0125 Growing of other fruits and nuts;Zuidwest-Gelderland (CR);2010;0
5720;0125 Growing of other fruits and nuts;Utrecht (CR);2006;0
5721;0125 Growing of other fruits and nuts;Utrecht (CR);2007;0
5722;0125 Growing of other fruits and nuts;Utrecht (CR);2008;0
5723;0125 Growing of other fruits and nuts;Utrecht (CR);2009;0
5724;0125 Growing of other fruits and nuts;Utrecht (CR);2010;0
5725;0125 Growing of other fruits and nuts;Kop van Noord-Holland (CR);2006;0
5726;0125 Growing of other fruits and nuts;Kop van Noord-Holland (CR);2007;0
5727;0125 Growing of other fruits and nuts;Kop van Noord-Holland (CR);2008;0
5728;0125 Growing of other fruits and nuts;Kop van Noord-Holland (CR);2009;0
5729;0125 Growing of other fruits and nuts;Kop van Noord-Holland (CR);2010;0
5730;0125 Growing of other fruits and nuts;Alkmaar en omgeving (CR);2006;0
5731;0125 Growing of other fruits and nuts;Alkmaar en omgeving (CR);2007;0
5732;0125 Growing of other fruits and nuts;Alkmaar en omgeving (CR);2008;0
5733;0125 Growing of other fruits and nuts;Alkmaar en omgeving (CR);2009;0
5734;0125 Growing of other fruits and nuts;Alkmaar en omgeving (CR);2010;0
5735;0125 Growing of other fruits and nuts;IJmond (CR);2006;0
5736;0125 Growing of other fruits and nuts;IJmond (CR);2007;0
5737;0125 Growing of other fruits and nuts;IJmond (CR);2008;0
5738;0125 Growing of other fruits and nuts;IJmond (CR);2009;0
5739;0125 Growing of other fruits and nuts;IJmond (CR);2010;0
5740;0125 Growing of other fruits and nuts;Agglomeratie Haarlem (CR);2006;0
5741;0125 Growing of other fruits and nuts;Agglomeratie Haarlem (CR);2007;0
5742;0125 Growing of other fruits and nuts;Agglomeratie Haarlem (CR);2008;0
5743;0125 Growing of other fruits and nuts;Agglomeratie Haarlem (CR);2009;0
5744;0125 Growing of other fruits and nuts;Agglomeratie Haarlem (CR);2010;0
5745;0125 Growing of other fruits and nuts;Zaanstreek (CR);2006;0
5746;0125 Growing of other fruits and nuts;Zaanstreek (CR);2007;0
5747;0125 Growing of other fruits and nuts;Zaanstreek (CR);2008;0
5748;0125 Growing of other fruits and nuts;Zaanstreek (CR);2009;0
5749;0125 Growing of other fruits and nuts;Zaanstreek (CR);2010;0
5750;0125 Growing of other fruits and nuts;Groot-Amsterdam (CR);2006;0
5751;0125 Growing of other fruits and nuts;Groot-Amsterdam (CR);2007;0
5752;0125 Growing of other fruits and nuts;Groot-Amsterdam (CR);2008;0
5753;0125 Growing of other fruits and nuts;Groot-Amsterdam (CR);2009;0
5754;0125 Growing of other fruits and nuts;Groot-Amsterdam (CR);2010;0
5755;0125 Growing of other fruits and nuts;Het Gooi en Vechtstreek (CR);2006;0
5756;0125 Growing of other fruits and nuts;Het Gooi en Vechtstreek (CR);2007;0
5757;0125 Growing of other fruits and nuts;Het Gooi en Vechtstreek (CR);2008;0
5758;0125 Growing of other fruits and nuts;Het Gooi en Vechtstreek (CR);2009;0
5759;0125 Growing of other fruits and nuts;Het Gooi en Vechtstreek (CR);2010;0
5760;0125 Growing of other fruits and nuts;Agglomeratie Leiden en Bollenstreek (CR);2006;0
5761;0125 Growing of other fruits and nuts;Agglomeratie Leiden en Bollenstreek (CR);2007;0
5762;0125 Growing of other fruits and nuts;Agglomeratie Leiden en Bollenstreek (CR);2008;0
5763;0125 Growing of other fruits and nuts;Agglomeratie Leiden en Bollenstreek (CR);2009;0
5764;0125 Growing of other fruits and nuts;Agglomeratie Leiden en Bollenstreek (CR);2010;0
5765;0125 Growing of other fruits and nuts;Agglomeratie 's-Gravenhage (CR);2006;0
5766;0125 Growing of other fruits and nuts;Agglomeratie 's-Gravenhage (CR);2007;0
5767;0125 Growing of other fruits and nuts;Agglomeratie 's-Gravenhage (CR);2008;0
5768;0125 Growing of other fruits and nuts;Agglomeratie 's-Gravenhage (CR);2009;0
5769;0125 Growing of other fruits and nuts;Agglomeratie 's-Gravenhage (CR);2010;0
5770;0125 Growing of other fruits and nuts;Delft en Westland (CR);2006;0
5771;0125 Growing of other fruits and nuts;Delft en Westland (CR);2007;0
5772;0125 Growing of other fruits and nuts;Delft en Westland (CR);2008;0
5773;0125 Growing of other fruits and nuts;Delft en Westland (CR);2009;0
5774;0125 Growing of other fruits and nuts;Delft en Westland (CR);2010;0
5775;0125 Growing of other fruits and nuts;Oost-Zuid-Holland (CR);2006;0
5776;0125 Growing of other fruits and nuts;Oost-Zuid-Holland (CR);2007;0
5777;0125 Growing of other fruits and nuts;Oost-Zuid-Holland (CR);2008;0
5778;0125 Growing of other fruits and nuts;Oost-Zuid-Holland (CR);2009;0
5779;0125 Growing of other fruits and nuts;Oost-Zuid-Holland (CR);2010;0
5780;0125 Growing of other fruits and nuts;Groot-Rijnmond (CR);2006;0
5781;0125 Growing of other fruits and nuts;Groot-Rijnmond (CR);2007;0
5782;0125 Growing of other fruits and nuts;Groot-Rijnmond (CR);2008;0
5783;0125 Growing of other fruits and nuts;Groot-Rijnmond (CR);2009;0
5784;0125 Growing of other fruits and nuts;Groot-Rijnmond (CR);2010;0
5785;0125 Growing of other fruits and nuts;Zuidoost-Zuid-Holland (CR);2006;0
5786;0125 Growing of other fruits and nuts;Zuidoost-Zuid-Holland (CR);2007;0
5787;0125 Growing of other fruits and nuts;Zuidoost-Zuid-Holland (CR);2008;0
5788;0125 Growing of other fruits and nuts;Zuidoost-Zuid-Holland (CR);2009;0
5789;0125 Growing of other fruits and nuts;Zuidoost-Zuid-Holland (CR);2010;0
5790;0125 Growing of other fruits and nuts;Zeeuwsch-Vlaanderen (CR);2006;0
5791;0125 Growing of other fruits and nuts;Zeeuwsch-Vlaanderen (CR);2007;0
5792;0125 Growing of other fruits and nuts;Zeeuwsch-Vlaanderen (CR);2008;0
5793;0125 Growing of other fruits and nuts;Zeeuwsch-Vlaanderen (CR);2009;0
5794;0125 Growing of other fruits and nuts;Zeeuwsch-Vlaanderen (CR);2010;0
5795;0125 Growing of other fruits and nuts;Overig Zeeland (CR);2006;0
5796;0125 Growing of other fruits and nuts;Overig Zeeland (CR);2007;0
5797;0125 Growing of other fruits and nuts;Overig Zeeland (CR);2008;0
5798;0125 Growing of other fruits and nuts;Overig Zeeland (CR);2009;0
5799;0125 Growing of other fruits and nuts;Overig Zeeland (CR);2010;0
5800;0125 Growing of other fruits and nuts;West-Noord-Brabant (CR);2006;0
5801;0125 Growing of other fruits and nuts;West-Noord-Brabant (CR);2007;0
5802;0125 Growing of other fruits and nuts;West-Noord-Brabant (CR);2008;0
5803;0125 Growing of other fruits and nuts;West-Noord-Brabant (CR);2009;0
5804;0125 Growing of other fruits and nuts;West-Noord-Brabant (CR);2010;0
5805;0125 Growing of other fruits and nuts;Midden-Noord-Brabant (CR);2006;0
5806;0125 Growing of other fruits and nuts;Midden-Noord-Brabant (CR);2007;0
5807;0125 Growing of other fruits and nuts;Midden-Noord-Brabant (CR);2008;0
5808;0125 Growing of other fruits and nuts;Midden-Noord-Brabant (CR);2009;0
5809;0125 Growing of other fruits and nuts;Midden-Noord-Brabant (CR);2010;0
5810;0125 Growing of other fruits and nuts;Noordoost-Noord-Brabant (CR);2006;0
5811;0125 Growing of other fruits and nuts;Noordoost-Noord-Brabant (CR);2007;0
5812;0125 Growing of other fruits and nuts;Noordoost-Noord-Brabant (CR);2008;0
5813;0125 Growing of other fruits and nuts;Noordoost-Noord-Brabant (CR);2009;0
5814;0125 Growing of other fruits and nuts;Noordoost-Noord-Brabant (CR);2010;0
5815;0125 Growing of other fruits and nuts;Zuidoost-Noord-Brabant (CR);2006;0
5816;0125 Growing of other fruits and nuts;Zuidoost-Noord-Brabant (CR);2007;0
5817;0125 Growing of other fruits and nuts;Zuidoost-Noord-Brabant (CR);2008;0
5818;0125 Growing of other fruits and nuts;Zuidoost-Noord-Brabant (CR);2009;0
5819;0125 Growing of other fruits and nuts;Zuidoost-Noord-Brabant (CR);2010;0
5820;0125 Growing of other fruits and nuts;Noord-Limburg (CR);2006;0
5821;0125 Growing of other fruits and nuts;Noord-Limburg (CR);2007;0
5822;0125 Growing of other fruits and nuts;Noord-Limburg (CR);2008;0
5823;0125 Growing of other fruits and nuts;Noord-Limburg (CR);2009;0
5824;0125 Growing of other fruits and nuts;Noord-Limburg (CR);2010;0
5825;0125 Growing of other fruits and nuts;Midden-Limburg (CR);2006;0
5826;0125 Growing of other fruits and nuts;Midden-Limburg (CR);2007;0
5827;0125 Growing of other fruits and nuts;Midden-Limburg (CR);2008;0
5828;0125 Growing of other fruits and nuts;Midden-Limburg (CR);2009;0
5829;0125 Growing of other fruits and nuts;Midden-Limburg (CR);2010;0
5830;0125 Growing of other fruits and nuts;Zuid-Limburg (CR);2006;0
5831;0125 Growing of other fruits and nuts;Zuid-Limburg (CR);2007;0
5832;0125 Growing of other fruits and nuts;Zuid-Limburg (CR);2008;0
5833;0125 Growing of other fruits and nuts;Zuid-Limburg (CR);2009;0
5834;0125 Growing of other fruits and nuts;Zuid-Limburg (CR);2010;0
5835;0125 Growing of other fruits and nuts;Flevoland (CR);2006;0
5836;0125 Growing of other fruits and nuts;Flevoland (CR);2007;0
5837;0125 Growing of other fruits and nuts;Flevoland (CR);2008;0
5838;0125 Growing of other fruits and nuts;Flevoland (CR);2009;0
5839;0125 Growing of other fruits and nuts;Flevoland (CR);2010;0
5840;0125 Growing of other fruits and nuts;Groningen (GA);2006;0
5841;0125 Growing of other fruits and nuts;Groningen (GA);2007;0
5842;0125 Growing of other fruits and nuts;Groningen (GA);2008;0
5843;0125 Growing of other fruits and nuts;Groningen (GA);2009;0
5844;0125 Growing of other fruits and nuts;Groningen (GA);2010;0
5845;0125 Growing of other fruits and nuts;Leeuwarden (GA);2006;0
5846;0125 Growing of other fruits and nuts;Leeuwarden (GA);2007;0
5847;0125 Growing of other fruits and nuts;Leeuwarden (GA);2008;0
5848;0125 Growing of other fruits and nuts;Leeuwarden (GA);2009;0
5849;0125 Growing of other fruits and nuts;Leeuwarden (GA);2010;0
5850;0125 Growing of other fruits and nuts;Zwolle (GA);2006;0
5851;0125 Growing of other fruits and nuts;Zwolle (GA);2007;0
5852;0125 Growing of other fruits and nuts;Zwolle (GA);2008;0
5853;0125 Growing of other fruits and nuts;Zwolle (GA);2009;0
5854;0125 Growing of other fruits and nuts;Zwolle (GA);2010;0
5855;0125 Growing of other fruits and nuts;Enschede (GA);2006;0
5856;0125 Growing of other fruits and nuts;Enschede (GA);2007;0
5857;0125 Growing of other fruits and nuts;Enschede (GA);2008;0
5858;0125 Growing of other fruits and nuts;Enschede (GA);2009;0
5859;0125 Growing of other fruits and nuts;Enschede (GA);2010;0
5860;0125 Growing of other fruits and nuts;Apeldoorn (GA);2006;0
5861;0125 Growing of other fruits and nuts;Apeldoorn (GA);2007;0
5862;0125 Growing of other fruits and nuts;Apeldoorn (GA);2008;0
5863;0125 Growing of other fruits and nuts;Apeldoorn (GA);2009;0
5864;0125 Growing of other fruits and nuts;Apeldoorn (GA);2010;0
5865;0125 Growing of other fruits and nuts;Arnhem (GA);2006;0
5866;0125 Growing of other fruits and nuts;Arnhem (GA);2007;0
5867;0125 Growing of other fruits and nuts;Arnhem (GA);2008;0
5868;0125 Growing of other fruits and nuts;Arnhem (GA);2009;0
5869;0125 Growing of other fruits and nuts;Arnhem (GA);2010;0
5870;0125 Growing of other fruits and nuts;Nijmegen (GA);2006;0
5871;0125 Growing of other fruits and nuts;Nijmegen (GA);2007;0
5872;0125 Growing of other fruits and nuts;Nijmegen (GA);2008;0
5873;0125 Growing of other fruits and nuts;Nijmegen (GA);2009;0
5874;0125 Growing of other fruits and nuts;Nijmegen (GA);2010;0
5875;0125 Growing of other fruits and nuts;Amersfoort (GA);2006;0
5876;0125 Growing of other fruits and nuts;Amersfoort (GA);2007;0
5877;0125 Growing of other fruits and nuts;Amersfoort (GA);2008;0
5878;0125 Growing of other fruits and nuts;Amersfoort (GA);2009;0
5879;0125 Growing of other fruits and nuts;Amersfoort (GA);2010;0
5880;0125 Growing of other fruits and nuts;Utrecht (GA);2006;0
5881;0125 Growing of other fruits and nuts;Utrecht (GA);2007;0
5882;0125 Growing of other fruits and nuts;Utrecht (GA);2008;0
5883;0125 Growing of other fruits and nuts;Utrecht (GA);2009;0
5884;0125 Growing of other fruits and nuts;Utrecht (GA);2010;0
5885;0125 Growing of other fruits and nuts;Amsterdam (GA);2006;0
5886;0125 Growing of other fruits and nuts;Amsterdam (GA);2007;0
